DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
6.000000E+00 	1.500000E+03 	3.100000E+01 	1.547319E+00 	5.363741E-01 
1.600000E+01 	1.500000E+03 	3.200000E+01 	1.326711E+00 	6.552621E-01 
3.300000E+01 	1.500000E+03 	3.100000E+01 	1.258118E+00 	5.500081E-01 
4.000000E+01 	1.500000E+03 	2.700000E+01 	2.389007E+00 	3.340936E-01 
5.600000E+01 	1.500000E+03 	2.400000E+01 	2.243397E+00 	2.217651E-01 
5.800000E+01 	1.500000E+03 	2.200000E+01 	2.109021E+00 	1.954367E-01 
7.200000E+01 	1.500000E+03 	2.500000E+01 	1.821635E+00 	2.863935E-01 
9.300000E+01 	1.500000E+03 	2.700000E+01 	1.860252E+00 	3.444183E-01 
9.700000E+01 	1.500000E+03 	3.200000E+01 	1.532900E+00 	6.103893E-01 
1.080000E+02 	1.500000E+03 	3.200000E+01 	1.191630E+00 	6.894806E-01 
1.160000E+02 	1.500000E+03 	2.600000E+01 	1.815964E+00 	3.566064E-01 
1.260000E+02 	1.500000E+03 	2.400000E+01 	2.403402E+00 	2.274903E-01 
1.270000E+02 	1.500000E+03 	2.700000E+01 	2.121730E+00 	3.268162E-01 
1.590000E+02 	1.500000E+03 	2.700000E+01 	2.424859E+00 	2.931888E-01 
1.600000E+02 	1.500000E+03 	2.500000E+01 	1.835973E+00 	2.831755E-01 
1.640000E+02 	1.500000E+03 	3.000000E+01 	1.480652E+00 	4.878962E-01 
1.650000E+02 	1.500000E+03 	3.100000E+01 	1.511576E+00 	5.214440E-01 
1.680000E+02 	1.500000E+03 	3.200000E+01 	1.737199E+00 	5.197425E-01 
2.440000E+02 	1.500000E+03 	2.300000E+01 	2.119012E+00 	2.189385E-01 
2.450000E+02 	1.500000E+03 	3.000000E+01 	1.481338E+00 	4.625247E-01 
2.480000E+02 	1.500000E+03 	3.000000E+01 	1.437965E+00 	5.219761E-01 
2.810000E+02 	1.500000E+03 	3.100000E+01 	1.432235E+00 	5.529295E-01 
2.890000E+02 	1.500000E+03 	2.800000E+01 	1.624047E+00 	4.445185E-01 
3.490000E+02 	1.500000E+03 	2.400000E+01 	2.317306E+00 	2.399606E-01 
3.570000E+02 	1.500000E+03 	2.600000E+01 	1.710815E+00 	3.234953E-01 
3.850000E+02 	1.500000E+03 	2.800000E+01 	2.250076E+00 	3.527503E-01 
4.190000E+02 	1.500000E+03 	2.900000E+01 	1.372111E+00 	4.655806E-01 
4.460000E+02 	1.500000E+03 	2.400000E+01 	2.021471E+00 	2.445720E-01 
4.570000E+02 	1.500000E+03 	3.000000E+01 	1.459536E+00 	4.528726E-01 
4.870000E+02 	1.500000E+03 	3.000000E+01 	1.429234E+00 	5.199697E-01 
5.110000E+02 	1.500000E+03 	3.200000E+01 	1.408885E+00 	5.656667E-01 
5.370000E+02 	1.500000E+03 	2.300000E+01 	2.314536E+00 	2.118161E-01 
5.960000E+02 	1.500000E+03 	3.200000E+01 	1.218378E+00 	5.829716E-01 
6.010000E+02 	1.500000E+03 	3.000000E+01 	1.453354E+00 	4.399324E-01 
6.030000E+02 	1.500000E+03 	3.500000E+01 	1.289773E+00 	7.527716E-01 
6.100000E+02 	1.500000E+03 	3.400000E+01 	1.215859E+00 	7.157740E-01 
6.180000E+02 	1.500000E+03 	2.700000E+01 	2.044734E+00 	3.481565E-01 
6.330000E+02 	1.500000E+03 	2.700000E+01 	1.686037E+00 	3.375006E-01 
6.610000E+02 	1.500000E+03 	2.700000E+01 	1.929603E+00 	3.242748E-01 
6.710000E+02 	1.500000E+03 	2.500000E+01 	2.181831E+00 	2.710600E-01 
6.720000E+02 	1.500000E+03 	2.400000E+01 	2.020618E+00 	2.473589E-01 
7.440000E+02 	1.500000E+03 	3.100000E+01 	1.239825E+00 	5.760380E-01 
7.550000E+02 	1.500000E+03 	3.200000E+01 	1.568611E+00 	5.509851E-01 
7.900000E+02 	1.500000E+03 	3.300000E+01 	1.294046E+00 	6.721967E-01 
7.980000E+02 	1.500000E+03 	2.700000E+01 	1.803659E+00 	3.582290E-01 
8.010000E+02 	1.500000E+03 	3.200000E+01 	1.309593E+00 	6.297098E-01 
8.060000E+02 	1.500000E+03 	2.700000E+01 	2.068364E+00 	3.320512E-01 
8.320000E+02 	1.500000E+03 	3.500000E+01 	9.437853E-01 	8.713348E-01 
8.740000E+02 	1.500000E+03 	3.400000E+01 	1.225726E+00 	7.267979E-01 
8.960000E+02 	1.500000E+03 	2.500000E+01 	1.788246E+00 	2.849965E-01 
9.420000E+02 	1.500000E+03 	3.000000E+01 	1.558648E+00 	4.759034E-01 
9.940000E+02 	1.500000E+03 	3.600000E+01 	1.049549E+00 	8.896639E-01 
1.103000E+03 	1.500000E+03 	2.300000E+01 	1.992136E+00 	2.363179E-01 
1.124000E+03 	1.500000E+03 	2.700000E+01 	1.959840E+00 	3.254163E-01 
1.143000E+03 	1.500000E+03 	3.200000E+01 	1.356627E+00 	6.313778E-01 
1.184000E+03 	1.500000E+03 	2.900000E+01 	1.568686E+00 	4.514706E-01 
1.215000E+03 	1.500000E+03 	2.700000E+01 	2.071305E+00 	3.305146E-01 
1.262000E+03 	1.500000E+03 	2.600000E+01 	2.036438E+00 	3.000425E-01 
1.274000E+03 	1.500000E+03 	3.400000E+01 	1.072666E+00 	6.590482E-01 
1.298000E+03 	1.500000E+03 	2.900000E+01 	1.724427E+00 	4.036236E-01 
1.307000E+03 	1.500000E+03 	2.700000E+01 	2.144858E+00 	3.153920E-01 
1.361000E+03 	1.500000E+03 	2.500000E+01 	1.890505E+00 	2.774306E-01 
1.387000E+03 	1.500000E+03 	2.500000E+01 	2.422566E+00 	2.761193E-01 
1.408000E+03 	1.500000E+03 	2.600000E+01 	1.863417E+00 	3.133800E-01 
1.426000E+03 	1.500000E+03 	2.700000E+01 	1.841112E+00 	3.523997E-01 
1.435000E+03 	1.500000E+03 	2.300000E+01 	2.104045E+00 	2.368628E-01 
1.463000E+03 	1.500000E+03 	2.800000E+01 	1.752771E+00 	3.765699E-01 
1.514000E+03 	1.500000E+03 	3.200000E+01 	1.225017E+00 	6.601615E-01 
1.569000E+03 	1.500000E+03 	3.500000E+01 	8.819553E-01 	9.086462E-01 
1.575000E+03 	1.500000E+03 	2.600000E+01 	1.763527E+00 	2.951457E-01 
1.592000E+03 	1.500000E+03 	3.400000E+01 	1.199900E+00 	6.918756E-01 
1.620000E+03 	1.500000E+03 	3.200000E+01 	1.568539E+00 	5.711435E-01 
1.664000E+03 	1.500000E+03 	3.100000E+01 	1.693861E+00 	4.531809E-01 
1.686000E+03 	1.500000E+03 	3.100000E+01 	1.343352E+00 	5.026969E-01 
1.704000E+03 	1.500000E+03 	2.700000E+01 	1.755621E+00 	3.579975E-01 
1.707000E+03 	1.500000E+03 	3.300000E+01 	1.261930E+00 	6.833302E-01 
1.717000E+03 	1.500000E+03 	2.300000E+01 	2.242460E+00 	2.266599E-01 
1.761000E+03 	1.500000E+03 	2.900000E+01 	1.487708E+00 	4.112706E-01 
1.773000E+03 	1.500000E+03 	3.300000E+01 	1.214039E+00 	6.649384E-01 
1.780000E+03 	1.500000E+03 	3.600000E+01 	9.295630E-01 	1.105029E+00 
1.813000E+03 	1.500000E+03 	3.200000E+01 	1.199819E+00 	7.297042E-01 
1.824000E+03 	1.500000E+03 	3.100000E+01 	1.439473E+00 	4.778025E-01 
1.938000E+03 	1.500000E+03 	2.700000E+01 	2.226868E+00 	2.941397E-01 
1.953000E+03 	1.500000E+03 	3.700000E+01 	7.917585E-01 	1.160040E+00 
1.973000E+03 	1.500000E+03 	2.700000E+01 	2.292716E+00 	3.111051E-01 
1.985000E+03 	1.500000E+03 	2.700000E+01 	1.921934E+00 	3.396093E-01 
1.998000E+03 	1.500000E+03 	3.100000E+01 	1.598675E+00 	5.069259E-01 
2.108000E+03 	1.500000E+03 	3.700000E+01 	6.975356E-01 	1.199205E+00 
2.207000E+03 	1.500000E+03 	2.800000E+01 	1.832445E+00 	3.506489E-01 
2.233000E+03 	1.500000E+03 	3.100000E+01 	1.487098E+00 	5.606165E-01 
2.262000E+03 	1.500000E+03 	2.600000E+01 	2.040922E+00 	2.688946E-01 
2.300000E+03 	1.500000E+03 	2.600000E+01 	1.927626E+00 	3.037908E-01 
2.313000E+03 	1.500000E+03 	2.900000E+01 	1.409612E+00 	4.493201E-01 
2.315000E+03 	1.500000E+03 	2.400000E+01 	1.975048E+00 	2.897091E-01 
2.321000E+03 	1.500000E+03 	3.100000E+01 	1.610875E+00 	4.762624E-01 
2.324000E+03 	1.500000E+03 	3.200000E+01 	1.196511E+00 	6.961212E-01 
2.328000E+03 	1.500000E+03 	3.000000E+01 	1.357832E+00 	4.807971E-01 
2.359000E+03 	1.500000E+03 	3.600000E+01 	8.090488E-01 	9.921901E-01 
2.362000E+03 	1.500000E+03 	3.200000E+01 	1.216986E+00 	5.766407E-01 
2.375000E+03 	1.500000E+03 	2.800000E+01 	1.908568E+00 	3.552099E-01 
2.390000E+03 	1.500000E+03 	3.100000E+01 	1.409268E+00 	4.895918E-01 
