DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
6.000000E+00 	1.500000E+03 	3.700000E+01 	8.828299E-01 	5.216350E-01 
1.600000E+01 	1.500000E+03 	3.700000E+01 	8.087416E-01 	6.354814E-01 
3.300000E+01 	1.500000E+03 	3.700000E+01 	7.178247E-01 	5.348943E-01 
4.000000E+01 	1.500000E+03 	3.700000E+01 	1.052400E+00 	3.230876E-01 
5.600000E+01 	1.500000E+03 	3.700000E+01 	8.776943E-01 	2.144103E-01 
5.800000E+01 	1.500000E+03 	3.700000E+01 	7.369222E-01 	1.891944E-01 
7.200000E+01 	1.500000E+03 	3.700000E+01 	7.375895E-01 	2.768318E-01 
9.300000E+01 	1.500000E+03 	3.700000E+01 	8.194740E-01 	3.330722E-01 
9.700000E+01 	1.500000E+03 	3.700000E+01 	9.344310E-01 	5.919632E-01 
1.080000E+02 	1.500000E+03 	3.700000E+01 	7.263981E-01 	6.686669E-01 
1.160000E+02 	1.500000E+03 	3.700000E+01 	7.649614E-01 	3.447237E-01 
1.260000E+02 	1.500000E+03 	3.700000E+01 	9.402941E-01 	2.199456E-01 
1.270000E+02 	1.500000E+03 	3.700000E+01 	9.346595E-01 	3.160500E-01 
1.590000E+02 	1.500000E+03 	3.700000E+01 	1.068193E+00 	2.835304E-01 
1.600000E+02 	1.500000E+03 	3.700000E+01 	7.433952E-01 	2.737212E-01 
1.640000E+02 	1.500000E+03 	3.700000E+01 	7.950858E-01 	4.734829E-01 
1.650000E+02 	1.500000E+03 	3.700000E+01 	8.624364E-01 	5.071152E-01 
1.680000E+02 	1.500000E+03 	3.700000E+01 	1.058968E+00 	5.040528E-01 
2.440000E+02 	1.500000E+03 	3.700000E+01 	7.635327E-01 	2.117846E-01 
2.450000E+02 	1.500000E+03 	3.700000E+01 	7.954542E-01 	4.488609E-01 
2.480000E+02 	1.500000E+03 	3.700000E+01 	7.721633E-01 	5.065560E-01 
2.810000E+02 	1.500000E+03 	3.700000E+01 	8.171679E-01 	5.377355E-01 
2.890000E+02 	1.500000E+03 	3.700000E+01 	7.531356E-01 	4.302067E-01 
3.490000E+02 	1.500000E+03 	3.700000E+01 	9.066103E-01 	2.320023E-01 
3.570000E+02 	1.500000E+03 	3.700000E+01 	7.206682E-01 	3.127159E-01 
