DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
6.000000E+00 	1.500000E+03 	3.600000E+01 	1.031915E+00 	5.277215E-01 
1.600000E+01 	1.500000E+03 	3.600000E+01 	9.453151E-01 	6.428963E-01 
3.300000E+01 	1.500000E+03 	3.600000E+01 	8.390448E-01 	5.411355E-01 
4.000000E+01 	1.500000E+03 	3.600000E+01 	1.230120E+00 	3.268575E-01 
5.600000E+01 	1.500000E+03 	3.600000E+01 	1.025912E+00 	2.169121E-01 
5.800000E+01 	1.500000E+03 	3.600000E+01 	8.613674E-01 	1.914019E-01 
7.200000E+01 	1.500000E+03 	3.600000E+01 	8.621474E-01 	2.800619E-01 
9.300000E+01 	1.500000E+03 	3.600000E+01 	9.578598E-01 	3.369585E-01 
9.700000E+01 	1.500000E+03 	3.600000E+01 	1.092230E+00 	5.988703E-01 
1.080000E+02 	1.500000E+03 	3.700000E+01 	7.263981E-01 	6.686669E-01 
1.160000E+02 	1.500000E+03 	3.700000E+01 	7.649614E-01 	3.447237E-01 
1.260000E+02 	1.500000E+03 	3.500000E+01 	1.196662E+00 	2.235086E-01 
1.270000E+02 	1.500000E+03 	3.600000E+01 	1.092497E+00 	3.197377E-01 
1.590000E+02 	1.500000E+03 	3.600000E+01 	1.248580E+00 	2.868387E-01 
1.600000E+02 	1.500000E+03 	3.700000E+01 	7.433952E-01 	2.737212E-01 
1.640000E+02 	1.500000E+03 	3.700000E+01 	7.950858E-01 	4.734829E-01 
1.650000E+02 	1.500000E+03 	3.600000E+01 	1.008077E+00 	5.130323E-01 
1.680000E+02 	1.500000E+03 	3.600000E+01 	1.237798E+00 	5.099341E-01 
2.440000E+02 	1.500000E+03 	3.600000E+01 	8.924716E-01 	2.142557E-01 
2.450000E+02 	1.500000E+03 	3.600000E+01 	9.297837E-01 	4.540983E-01 
2.480000E+02 	1.500000E+03 	3.700000E+01 	7.721633E-01 	5.065560E-01 
2.810000E+02 	1.500000E+03 	3.600000E+01 	9.551642E-01 	5.440099E-01 
2.890000E+02 	1.500000E+03 	3.700000E+01 	7.531356E-01 	4.302067E-01 
3.490000E+02 	1.500000E+03 	3.600000E+01 	1.059711E+00 	2.347094E-01 
3.570000E+02 	1.500000E+03 	3.600000E+01 	8.423686E-01 	3.163647E-01 
3.850000E+02 	1.500000E+03 	3.600000E+01 	1.219659E+00 	3.453765E-01 
4.190000E+02 	1.500000E+03 	3.700000E+01 	6.971307E-01 	4.511053E-01 
4.460000E+02 	1.500000E+03 	3.700000E+01 	7.908693E-01 	2.364607E-01 
4.570000E+02 	1.500000E+03 	3.600000E+01 	9.160991E-01 	4.446220E-01 
4.870000E+02 	1.500000E+03 	3.700000E+01 	7.674748E-01 	5.046089E-01 
5.110000E+02 	1.500000E+03 	3.700000E+01 	8.588335E-01 	5.485906E-01 
5.370000E+02 	1.500000E+03 	3.600000E+01 	9.748209E-01 	2.072856E-01 
5.960000E+02 	1.500000E+03 	3.600000E+01 	8.681250E-01 	5.719700E-01 
6.010000E+02 	1.500000E+03 	3.600000E+01 	9.122193E-01 	4.319176E-01 
6.030000E+02 	1.500000E+03 	3.600000E+01 	1.184601E+00 	7.494147E-01 
6.100000E+02 	1.500000E+03 	3.500000E+01 	1.131969E+00 	7.114158E-01 
6.180000E+02 	1.500000E+03 	3.600000E+01 	1.052851E+00 	3.406158E-01 
6.330000E+02 	1.500000E+03 	3.600000E+01 	8.681550E-01 	3.301907E-01 
6.610000E+02 	1.500000E+03 	3.500000E+01 	1.081780E+00 	3.186724E-01 
6.710000E+02 	1.500000E+03 	3.600000E+01 	1.032622E+00 	2.650674E-01 
