Starting 04_CH4_Air_Diffusion ...
Sat Aug 28 20:01:19 CEST 2021
FlameMaster written by Heinz Pitsch

version                  4.2.0
executed command         './FlameMaster -i 04_CH4_Air_Diffusion.input'
git sha1                 2f6cf8faa680ac64a3b079373561e6f4912beda1
working directory status CLEAN
operating system         Linux, version 3.10.0-1160.36.2.el7.x86_64
target architechture     x86_64
c++ compiler             Intel, version 19.0.0.20181018
c   compiler             Intel, version 19.0.0.20181018

use mechanism file './../Mechanisms/GRI3/gri.30.pre'
outpath is './Outputs/'
initial pressure is 1.01325 bar
use multi geometry species transport model
model has 77 species
        7 spherical
       20 linear
       50 non-linear
    -----
       77 / 77 geometry parameters expected
initial pressure is 1.01325 bar
write output to 'stderr'

Use DASSL solver

Coal solid species COALSOLIDCOAL1 found.
Coal solid species COALSOLIDGCOAL1 found.
Coal solid species COALSOLIDGCH2 found.
Coal solid species COALSOLIDCHAR found.
Coal solid species COALSOLIDCHARH found.
Coal solid species COALSOLIDTAR1 found.
Coal solid species COALSOLIDCOAL2 found.
Coal solid species COALSOLIDGBTX2 found.
Coal solid species COALSOLIDGCH4 found.
Coal solid species COALSOLIDGCOH2 found.
Coal solid species COALSOLIDGCO2S found.
Coal solid species COALSOLIDGH2O found.
Coal solid species COALSOLIDGCOL found.
Coal solid species COALSOLIDTAR2 found.
Coal solid species COALSOLIDGCO2TS found.
Coal solid species COALSOLIDCOAL3 found.
Coal solid species COALSOLIDGCOAL3 found.
Coal solid species COALSOLIDTAR3 found.
Coal solid species COALSOLIDGCO2 found.
Coal solid species COALSOLIDCHARG found.

Species CH4 specified on the left boundary!
interpolate initial solution from boundary conditions
Initial time step is 1e-10 s
gp: 0, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 1, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 2, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 3, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 4, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 5, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 6, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 7, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 8, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 9, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 10, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 11, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 12, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 13, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 14, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 15, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 16, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 17, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 18, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 19, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 20, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 21, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 22, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 23, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 24, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 25, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 26, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 27, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 28, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 16.042000
gp: 29, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 30, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 31, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 32, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 33, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 34, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 35, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 36, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 37, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 38, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 39, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 40, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 41, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 42, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 43, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 44, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 45, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 46, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 47, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 48, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 49, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 50, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 51, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 52, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 53, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 54, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 55, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 56, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 57, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 58, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 59, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 60, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 61, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 62, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 63, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 64, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 65, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 66, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 67, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 68, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 69, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 70, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 71, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 72, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 73, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 74, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 75, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 76, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 77, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 78, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 79, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 80, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 81, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 82, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 83, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 84, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 85, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 86, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 87, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 88, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 89, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 90, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 91, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 92, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 93, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 94, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 95, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 96, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 97, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236
gp: 98, Temp: 300.000000, Pressure: 101325.000000, MixMolarMass: 28.856236

Initial particle mass is 0 g and radius is 45 micron

Using linear solver method to initialize time terms

Including Species transport and energy equation at solid gas interface using central difference scheme


dump output

start computation

solve system from t = 0 ms with p = 1.01325 bar	T_p_c = 300 K T_p_s = 300 K	 m_Coal = 0 mg	
             to t = 0.1 ms with p = 1.01325 bar
stp =     1    dt = 3.91e-13 s    ord = 1    time = 3.91e-10 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =     2    dt = 1.82e-14 s    ord = 1    time = 4.09e-10 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =     3    dt = 1.82e-14 s    ord = 1    time = 4.27e-10 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =     4    dt = 3.63e-14 s    ord = 1    time = 4.63e-10 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =     5    dt = 7.27e-14 s    ord = 1    time = 5.36e-10 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =     6    dt = 1.45e-13 s    ord = 1    time = 6.81e-10 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =     7    dt = 2.91e-13 s    ord = 1    time = 9.72e-10 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =     8    dt = 5.82e-13 s    ord = 1    time = 1.55e-09 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =     9    dt = 1.16e-12 s    ord = 1    time = 2.72e-09 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    10    dt = 2.33e-12 s    ord = 1    time = 5.04e-09 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    11    dt = 4.65e-12 s    ord = 1    time = 9.70e-09 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    12    dt = 9.31e-12 s    ord = 1    time = 1.90e-08 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    13    dt = 1.86e-11 s    ord = 1    time = 3.76e-08 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    14    dt = 3.72e-11 s    ord = 1    time = 7.48e-08 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    15    dt = 7.44e-11 s    ord = 1    time = 1.49e-07 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    16    dt = 1.49e-10 s    ord = 1    time = 2.98e-07 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    17    dt = 2.98e-10 s    ord = 1    time = 5.96e-07 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    18    dt = 2.98e-10 s    ord = 1    time = 8.94e-07 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    19    dt = 2.98e-10 s    ord = 1    time = 1.19e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    20    dt = 5.96e-10 s    ord = 2    time = 1.79e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    21    dt = 5.96e-10 s    ord = 2    time = 2.38e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    22    dt = 5.96e-10 s    ord = 2    time = 2.98e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    23    dt = 5.96e-10 s    ord = 2    time = 3.57e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    24    dt = 5.96e-10 s    ord = 2    time = 4.17e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    25    dt = 5.96e-10 s    ord = 2    time = 4.76e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    26    dt = 5.96e-10 s    ord = 2    time = 5.36e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    27    dt = 5.96e-10 s    ord = 2    time = 5.96e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    28    dt = 5.96e-10 s    ord = 2    time = 6.55e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    29    dt = 5.96e-10 s    ord = 2    time = 7.15e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    30    dt = 5.96e-10 s    ord = 2    time = 7.74e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    31    dt = 5.96e-10 s    ord = 2    time = 8.34e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    32    dt = 5.96e-10 s    ord = 2    time = 8.93e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    33    dt = 5.96e-10 s    ord = 2    time = 9.53e-06 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    34    dt = 5.96e-10 s    ord = 2    time = 1.01e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    35    dt = 5.96e-10 s    ord = 2    time = 1.07e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    36    dt = 5.96e-10 s    ord = 2    time = 1.13e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    37    dt = 5.96e-10 s    ord = 2    time = 1.19e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    38    dt = 5.96e-10 s    ord = 2    time = 1.25e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    39    dt = 5.96e-10 s    ord = 2    time = 1.31e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    40    dt = 5.96e-10 s    ord = 2    time = 1.37e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    41    dt = 5.96e-10 s    ord = 2    time = 1.43e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    42    dt = 5.96e-10 s    ord = 2    time = 1.49e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    43    dt = 5.96e-10 s    ord = 2    time = 1.55e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    44    dt = 5.96e-10 s    ord = 2    time = 1.61e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    45    dt = 5.96e-10 s    ord = 2    time = 1.67e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    46    dt = 5.96e-10 s    ord = 2    time = 1.73e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    47    dt = 5.96e-10 s    ord = 2    time = 1.79e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    48    dt = 5.96e-10 s    ord = 1    time = 1.85e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    49    dt = 5.22e-10 s    ord = 1    time = 1.90e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    50    dt = 5.22e-10 s    ord = 1    time = 1.95e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    51    dt = 5.22e-10 s    ord = 1    time = 2.00e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    52    dt = 1.04e-09 s    ord = 2    time = 2.11e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    53    dt = 1.04e-09 s    ord = 2    time = 2.21e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
stp =    54    dt = 1.04e-09 s    ord = 2    time = 2.32e-05 ms    Tp_s =   300.00 K    Tp_c =   300.00 K   temp =   300.00 K    mCoal = 0.0000e+00 mg	
