            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        1.283496E-16	        5.627916E-19	        1.556850E-16	        4.253276E-14	        2.723897E-14	       -1.533822E-14	        1.177430E-15	        2.462067E-15	        3.227210E-15	       -6.675896E-10	        1.236025E-13	        5.590379E-13	       -3.898607E-16	        1.155176E-12	        4.206379E-26	        3.787901E-12	        1.490310E-13	        2.026900E-23	        2.348948E-12	       -8.306289E-13	        1.646137E-15	        3.216463E-17	        1.665696E-13	       -5.471325E-13	        3.932030E-22	        1.400774E-15	        3.696275E-12	        0.000000E+00	        4.250968E-10	        2.965285E-13	        5.944387E-15	        6.026196E-13	        8.136537E-11	        5.078845E-10	        5.131816E-16	       -5.376834E-17	        5.378934E-17	        3.530174E-12	        1.567844E-10	        1.611337E-11	        1.394625E-10	       -3.065936E-12	        2.702590E-25	        5.720232E-14	        2.155585E-12	        2.035230E-10	       -4.181583E-14	        4.865967E-13	        1.443984E-17	        5.635901E-08	        3.061383E-19	        5.651797E-08	        3.367353E-13	       -1.455550E-10	        5.072051E-10	        1.074494E-13	        0.000000E+00	        6.716555E-13	       -2.380069E-10	        4.925410E-12	        4.299654E-25	       -8.922538E-13	        7.402886E-20	        3.417659E-13	        9.974757E-14	        5.621962E-08	       -2.206258E-10	       -1.277921E-15	       -1.183666E-11	       -5.617850E-08	        5.617756E-08	        3.919787E-24	        3.585920E-20	        1.815648E-14	        2.464861E-17	        3.982494E-16	       -2.754481E-17	        3.999261E-20	        8.612694E-16	        9.087618E-22	       -2.003704E-14	        9.776831E-17	        2.870288E-16	       -2.066761E-13	        2.065415E-13	        1.255318E-17	        3.138248E-16	        4.482518E-17	        5.450844E-28	        2.264876E-19	        2.249550E-19	       -2.910530E-15	       -1.481985E-10	        1.515470E-16	       -5.388000E-15	        2.259200E-15	       -9.440237E-18	        5.420150E-15	        1.481990E-10	        3.600933E-29	        6.037253E-23	        1.112463E-22	        0.000000E+00	        4.380890E-33	        1.421362E-17	        6.894932E-19	        9.345782E-24
        2.000000E-03	       -9.112043E-14	        1.659644E-16	        2.053920E-13	        6.618635E-13	       -1.144590E-12	       -2.844232E-11	        1.664895E-12	       -4.970986E-14	        1.809368E-11	       -9.234721E-09	        1.471192E-12	        2.082042E-11	        1.223136E-12	        1.091924E-11	        1.872734E-22	        2.080833E-10	        1.645214E-12	        1.486930E-20	        5.501353E-12	       -7.100011E-11	        1.710575E-14	        1.749163E-14	       -8.036299E-12	       -3.000022E-11	        3.030493E-19	       -3.474422E-11	        1.585437E-10	        0.000000E+00	        5.918237E-10	       -1.399395E-12	       -1.822796E-16	        3.074571E-11	        1.793394E-09	        7.032530E-09	        7.739689E-14	       -9.294336E-13	       -8.699702E-15	        4.392175E-11	        2.097633E-09	        8.984031E-10	        9.304517E-10	       -1.931299E-11	        4.442840E-21	        5.459081E-12	       -6.915156E-12	        2.285374E-09	       -1.707039E-11	        4.098803E-11	        1.696699E-15	        5.008321E-07	        2.958739E-14	        5.014925E-07	        2.283805E-11	       -2.819677E-09	        7.192707E-09	        2.319086E-12	        0.000000E+00	        1.257138E-11	       -2.365530E-10	        3.254891E-10	        1.181243E-22	       -7.237757E-11	        1.128323E-16	       -1.342590E-11	        2.703497E-12	        5.000419E-07	       -2.793622E-09	       -2.150737E-12	       -5.033280E-10	       -4.979870E-07	        4.979780E-07	        4.563878E-20	        4.376319E-17	        1.627188E-12	       -2.072826E-15	       -4.318411E-15	       -2.600315E-15	        4.940370E-18	        6.148002E-14	        1.396554E-18	       -1.759824E-12	        1.837547E-14	        6.753618E-14	       -5.280907E-13	        8.056032E-13	        2.740865E-15	        6.949360E-15	        6.595360E-15	        6.335719E-25	        1.222027E-15	        3.525191E-17	       -2.689298E-13	       -9.327493E-09	        2.966470E-14	       -8.290199E-12	       -4.398200E-14	        3.370926E-15	        8.287854E-12	        9.327470E-09	        3.114619E-16	        1.645847E-18	        1.029064E-19	        1.075731E-23	        3.639209E-27	        3.711338E-15	        9.283883E-17	        2.306382E-19
        3.100000E-03	       -4.473566E-11	        1.676861E-14	        1.016599E-10	        1.740243E-13	       -3.237421E-11	       -1.006131E-09	        6.690566E-11	       -1.691032E-11	        1.839504E-09	       -5.005880E-08	        1.582348E-10	        1.897356E-10	        1.162665E-10	        2.101518E-11	        6.362767E-20	        7.825642E-09	       -1.388994E-10	        5.169690E-17	       -5.361238E-10	       -2.183063E-09	        1.039895E-12	        8.685379E-13	        5.676834E-11	       -3.758122E-10	        7.943134E-18	       -3.289367E-09	        4.748351E-09	        0.000000E+00	        2.022946E-09	       -1.412049E-10	       -9.412760E-12	        1.950436E-09	        1.088375E-08	        3.660592E-08	        9.632784E-12	       -1.636111E-10	        7.939112E-12	        2.091040E-10	        1.116757E-08	        2.204538E-08	        9.720132E-10	       -8.814060E-13	        1.705454E-18	        1.948316E-10	       -7.167732E-10	        9.326400E-09	       -1.225068E-09	        1.080310E-09	        5.367576E-14	        1.539905E-06	        1.461710E-11	        1.585726E-06	        3.194083E-10	       -5.910029E-08	        6.506808E-08	       -1.879523E-10	        0.000000E+00	       -2.389243E-09	        1.915931E-09	        6.206969E-09	        7.553040E-20	       -1.288911E-09	        7.048208E-15	       -6.245765E-09	       -1.075337E-09	        1.536541E-06	       -1.251126E-08	       -1.266872E-10	       -8.603421E-09	       -1.523580E-06	        1.523975E-06	        8.834387E-18	        2.446312E-15	        1.560522E-11	       -8.887518E-14	       -3.053342E-13	        8.122552E-15	        2.782326E-16	        5.288547E-12	        1.150973E-16	       -2.565727E-11	       -4.383636E-12	        9.520584E-12	        4.697880E-12	        1.915032E-12	        3.257177E-14	        1.961979E-13	        2.029774E-14	        4.615956E-22	        1.527042E-13	        6.930769E-16	       -5.103589E-12	       -7.673828E-08	        4.748441E-13	       -1.521500E-10	       -2.206180E-12	        7.688752E-14	        1.520879E-10	        7.673797E-08	        2.569296E-14	        1.435861E-15	        9.118266E-18	        2.974939E-21	        1.308029E-24	        7.809100E-14	        2.083504E-15	        3.651007E-17
        4.100000E-03	       -2.679098E-10	        2.091558E-13	        2.295301E-09	       -6.859415E-12	        4.259079E-11	       -2.568581E-09	        4.448957E-11	       -5.235107E-11	        1.001765E-08	       -1.490948E-07	        2.303000E-09	        6.872403E-10	        1.066476E-09	        4.341002E-11	        5.692033E-18	        5.940200E-08	       -1.522852E-09	        2.979100E-15	       -1.305506E-09	       -1.179865E-08	        1.950721E-11	        8.117190E-12	        1.815718E-09	       -1.967993E-09	        4.119263E-17	       -1.642942E-08	        2.917771E-08	        1.981280E-22	        1.432330E-08	        2.363129E-11	       -5.954451E-11	        1.173526E-08	        2.829711E-08	        1.031173E-07	        8.796145E-11	       -1.713186E-09	        1.662354E-10	        4.020532E-09	        3.167322E-08	        8.271672E-08	       -2.536824E-09	        1.639253E-09	        5.483462E-17	        1.107277E-09	       -1.162006E-09	        2.280403E-08	       -1.175784E-08	        7.094329E-09	        5.465862E-13	        2.872344E-06	        2.273217E-10	        3.193046E-06	        1.458380E-09	       -3.313568E-07	        3.389606E-07	       -2.039107E-09	        0.000000E+00	       -3.010160E-08	        1.997733E-08	        1.808411E-08	        4.550429E-18	       -6.923202E-09	        1.689252E-14	       -5.864766E-08	       -1.242378E-08	        2.858169E-06	       -3.143303E-08	       -9.905639E-10	       -3.526242E-08	       -2.822970E-06	        2.823154E-06	        3.784944E-17	        6.086150E-15	        1.539669E-11	       -1.887948E-13	       -1.450288E-12	       -2.059847E-13	        1.711090E-15	        2.159730E-11	        9.499742E-16	       -7.597034E-11	       -6.862888E-11	        1.096158E-10	        1.531596E-11	        3.396297E-12	       -8.153522E-14	        1.154165E-12	       -1.906101E-14	        7.390839E-21	        6.250885E-13	        2.736916E-15	       -1.979487E-11	       -1.383613E-07	        1.781284E-12	       -6.831150E-10	       -2.680900E-12	        3.296115E-13	        6.828160E-10	        1.383608E-07	        2.502056E-13	        3.092146E-14	        5.664645E-17	        3.532710E-20	        1.517471E-23	        3.111265E-13	        1.406309E-14	        5.042834E-16
        5.000000E-03	       -5.782961E-10	        1.004510E-12	        1.119183E-08	       -6.091565E-12	        5.098754E-10	       -2.485470E-09	       -1.469327E-09	       -1.527338E-10	        2.194670E-08	       -3.018435E-07	        1.079461E-08	        1.524828E-09	        2.957434E-09	        1.498580E-10	        1.241276E-16	        2.097956E-07	       -4.458868E-09	        2.280100E-14	        4.854717E-10	       -3.762401E-08	        1.145077E-10	        3.488128E-11	        6.902852E-09	       -5.747311E-09	        1.299324E-16	       -2.961721E-08	        8.480256E-08	        2.275860E-20	        5.106491E-08	        2.605792E-09	       -1.184103E-10	        3.329130E-08	        4.850948E-08	        1.899617E-07	        2.869545E-10	       -8.187705E-09	        8.114504E-10	        1.915963E-08	        5.619356E-08	        1.535494E-07	       -1.228829E-08	        8.425062E-09	        4.843609E-16	        3.386880E-09	        1.152945E-09	        4.659458E-08	       -5.290180E-08	        2.639814E-08	        2.701969E-12	        4.140545E-06	        1.064859E-09	        5.341940E-06	        3.978772E-09	       -1.132023E-06	        1.197902E-06	       -1.000619E-08	        0.000000E+00	       -1.587756E-07	        9.189148E-08	        2.106603E-08	        5.317699E-17	       -2.190985E-08	        1.880822E-14	       -2.273082E-07	       -6.705072E-08	        4.141577E-06	       -5.873788E-08	       -4.345334E-09	       -8.808482E-08	       -4.047630E-06	        4.045248E-06	        1.119906E-16	        8.058139E-15	        4.723441E-11	       -6.211467E-13	       -4.783495E-12	       -4.434868E-13	        8.844949E-15	        3.062847E-11	        3.060468E-15	       -2.300131E-10	       -2.254917E-10	        3.852625E-10	        3.501227E-11	        5.159129E-12	       -8.376734E-13	        4.041274E-12	        3.158983E-13	        6.740027E-20	        1.282902E-12	        7.478825E-15	       -5.736678E-11	       -1.764480E-07	        4.984100E-12	       -1.527305E-09	        2.378700E-12	        6.762433E-13	        1.526630E-09	        1.764489E-07	        1.151088E-12	        1.560179E-13	       -2.473279E-15	        1.780433E-19	        1.471635E-22	        9.393368E-13	        5.095754E-14	        2.964487E-15
        6.000000E-03	       -1.151030E-09	        3.139045E-12	        3.369432E-08	        5.806711E-11	        2.367080E-09	       -1.269343E-09	       -1.112873E-08	       -5.751692E-10	        3.713143E-08	       -5.553261E-07	        3.337158E-08	        2.541791E-09	        5.481267E-09	        1.201556E-09	        1.564418E-15	        5.296293E-07	       -9.644482E-09	        8.378000E-14	        1.265598E-08	       -1.010463E-07	        4.294377E-10	        1.216062E-10	        2.238591E-08	       -1.625534E-08	        4.436717E-16	       -2.257326E-08	        1.775057E-07	        1.003974E-18	        1.119435E-07	        1.529508E-08	       -5.354267E-11	        8.309429E-08	        7.127622E-08	        2.927087E-07	        7.147774E-10	       -3.284791E-08	        2.922176E-09	        7.316002E-08	        7.682612E-08	        1.824648E-07	       -3.183092E-08	        2.633504E-08	        2.834916E-15	        9.169883E-09	        1.069079E-08	        9.664384E-08	       -1.913680E-07	        8.641146E-08	        1.040161E-11	        5.385798E-06	        3.405119E-09	        9.153615E-06	        9.114445E-09	       -3.452301E-06	        3.986971E-06	       -3.996359E-08	        0.000000E+00	       -6.445856E-07	        3.688630E-07	       -3.407760E-08	        3.587969E-16	       -6.152866E-08	        3.005320E-14	       -6.416472E-07	       -2.832427E-07	        5.405015E-06	       -1.007157E-07	       -1.581488E-08	       -2.050883E-07	       -5.266800E-06	        5.259752E-06	        3.138332E-16	        1.516725E-14	        1.228634E-10	       -2.492954E-12	       -1.487879E-11	       -5.685771E-13	        2.919131E-14	        4.947071E-11	        1.082826E-14	       -6.987646E-10	       -3.549718E-10	        9.065968E-10	        9.118712E-11	        7.561029E-12	       -1.107709E-13	        1.441656E-11	        1.627912E-12	        4.841563E-19	        3.667538E-12	        1.854214E-14	       -1.609079E-10	       -1.999297E-07	        1.354675E-11	       -2.833608E-09	        1.107800E-11	        1.162566E-12	        2.832330E-09	        1.999363E-07	        7.901894E-12	        5.712693E-13	       -7.414243E-12	        9.524309E-19	       -7.664376E-20	        2.853170E-12	        1.610111E-13	        1.296654E-14
        7.000000E-03	       -2.194833E-09	        5.396154E-12	        6.442840E-08	        3.067335E-10	        8.048059E-09	        8.040293E-10	       -4.347922E-08	       -1.348328E-09	        5.263479E-08	       -9.054712E-07	        6.696098E-08	        3.208705E-09	        6.782664E-09	        7.274058E-09	        9.499884E-15	        8.590184E-07	       -1.744185E-08	        1.024100E-13	        4.716698E-08	       -1.939812E-07	        1.000678E-09	        2.908290E-10	        5.559060E-08	       -3.912501E-08	        1.130638E-15	        2.535514E-08	        2.384472E-07	        1.013214E-17	        1.395145E-07	        4.966362E-08	        4.708515E-10	        1.658258E-07	        9.726491E-08	        3.923002E-07	        1.294531E-09	       -9.258514E-08	        7.423666E-09	        2.040468E-07	        7.412947E-08	        6.987531E-08	       -5.792257E-08	        5.407332E-08	        1.036837E-14	        1.872407E-08	        3.124891E-08	        1.738424E-07	       -4.807009E-07	        2.203537E-07	        2.791959E-11	        6.122940E-06	        7.681667E-09	        1.466566E-05	        1.679904E-08	       -7.962909E-06	        9.892250E-06	       -1.095634E-07	        0.000000E+00	       -1.732913E-06	        1.100042E-06	       -2.317154E-07	        1.389325E-15	       -1.382681E-07	        6.311046E-14	       -1.231746E-06	       -7.792349E-07	        6.054343E-06	       -1.539415E-07	       -3.880977E-08	       -3.863396E-07	       -6.081850E-06	        6.068962E-06	        5.451911E-16	        3.445873E-14	        2.268783E-10	       -6.686446E-12	       -3.531755E-11	       -9.033277E-13	        4.619698E-14	        5.639553E-11	        3.198355E-14	       -1.604576E-09	       -1.409144E-10	        1.526284E-09	        1.722888E-10	        1.060147E-11	        1.923773E-11	        4.010745E-11	        4.991579E-12	        7.517646E-18	        8.846080E-12	        3.572014E-14	       -3.323800E-10	       -2.162735E-07	        2.770036E-11	       -4.478104E-09	        2.093100E-11	        1.686946E-12	        4.476030E-09	        2.162919E-07	       -8.146128E-11	        1.504519E-12	        6.121787E-11	        5.218448E-18	       -1.325876E-17	        6.503728E-12	        3.751692E-13	        3.668264E-14
        8.000000E-03	       -3.749044E-09	        7.029008E-12	        9.148000E-08	        8.807053E-10	        2.114530E-08	        3.337054E-09	       -1.152344E-07	       -1.873922E-09	        7.047445E-08	       -1.350275E-06	        1.017240E-07	        3.585103E-09	        5.977205E-09	        2.593994E-08	        3.511247E-14	        1.020245E-06	       -2.850057E-08	       -4.365000E-13	        1.138695E-07	       -3.011530E-07	        1.679618E-09	        5.016396E-10	        1.076249E-07	       -7.688051E-08	        2.238374E-15	        1.101492E-07	        2.332885E-07	        4.468808E-17	        7.396321E-08	        1.124480E-07	        1.864217E-09	        2.764457E-07	        1.318473E-07	        5.039379E-07	        1.786625E-09	       -1.963722E-07	        1.471864E-08	        4.459282E-07	        3.719235E-08	       -1.911014E-07	       -8.626301E-08	        8.532310E-08	        2.694175E-14	        3.178455E-08	        6.259231E-08	        2.778694E-07	       -9.078893E-07	        4.579197E-07	        5.802305E-11	        6.576814E-06	        1.351504E-08	        2.171914E-05	        2.682414E-08	       -1.457961E-05	        1.890744E-05	       -2.299265E-07	        0.000000E+00	       -3.409505E-06	        2.556417E-06	       -5.428346E-07	        3.601988E-15	       -2.600673E-07	        1.354078E-13	       -1.885713E-06	       -1.549005E-06	        6.229185E-06	       -2.158472E-07	       -7.114109E-08	       -6.115314E-07	       -6.778720E-06	        6.759158E-06	        6.334659E-16	        7.458051E-14	        3.434161E-10	       -1.244657E-11	       -6.412986E-11	       -1.705425E-12	        5.014125E-14	        4.509516E-11	        7.511431E-14	       -2.842724E-09	        4.063454E-10	        2.175121E-09	        2.275380E-10	        1.374514E-11	        1.175941E-11	        8.662414E-11	        6.353983E-12	       -1.810513E-17	        1.556854E-11	        5.705265E-14	       -5.252229E-10	       -2.435511E-07	        4.419318E-11	       -6.355037E-09	        2.990100E-11	        2.239658E-12	        6.352000E-09	        2.435875E-07	        8.834851E-13	        3.039358E-12	       -1.149329E-11	        6.305944E-18	        2.098093E-17	        1.112629E-11	        6.416581E-13	        7.315212E-14
        9.000000E-03	       -6.004792E-09	        7.479311E-12	        1.069773E-07	        1.937723E-09	        4.519935E-08	        6.031855E-09	       -2.345710E-07	       -1.446448E-09	        9.494738E-08	       -1.873896E-06	        1.326114E-07	        3.573589E-09	        3.295823E-09	        6.493501E-08	        9.378276E-14	        1.017551E-06	       -4.356493E-08	       -2.349200E-12	        2.210884E-07	       -4.283164E-07	        2.379710E-09	        6.602519E-10	        1.798599E-07	       -1.295572E-07	        3.184633E-15	        2.242920E-07	        1.957808E-07	        1.049027E-16	       -9.922776E-08	        2.068970E-07	        4.614771E-09	        4.094758E-07	        1.768076E-07	        6.152955E-07	        2.034448E-09	       -3.453155E-07	        2.509192E-08	        8.292542E-07	       -4.485025E-08	       -5.874290E-07	       -1.125273E-07	        1.141702E-07	        5.470267E-14	        4.778176E-08	        1.049688E-07	        4.176563E-07	       -1.434064E-06	        8.259758E-07	        1.018081E-10	        6.827410E-06	        1.992923E-08	        2.984223E-05	        3.837093E-08	       -2.310113E-05	        3.053591E-05	       -4.068098E-07	        0.000000E+00	       -5.525949E-06	        5.015201E-06	       -8.926539E-07	        7.295599E-15	       -4.307810E-07	        2.635804E-13	       -2.598625E-06	       -2.523411E-06	        6.036660E-06	       -2.852512E-07	       -1.109867E-07	       -8.969833E-07	       -7.439820E-06	        7.412548E-06	        6.279991E-16	        1.407862E-13	        4.936062E-10	       -1.894691E-11	       -9.837226E-11	       -3.170929E-12	        3.004777E-14	        2.748094E-11	        1.507543E-13	       -4.305147E-09	        1.181131E-09	        2.823922E-09	        2.316894E-10	        1.688252E-11	        1.232121E-11	        1.586658E-10	        1.061836E-11	       -5.078025E-16	        2.231867E-11	        8.079280E-14	       -7.218111E-10	       -2.660232E-07	        6.187963E-11	       -8.361438E-09	        3.598100E-11	        2.838774E-12	        8.357300E-09	        2.660840E-07	        3.266174E-11	        5.193199E-12	       -4.442680E-11	        1.490754E-17	        5.122635E-16	        1.582066E-11	        8.640772E-13	        1.187262E-13
        1.010000E-02	       -9.259227E-09	        5.529738E-12	        1.034123E-07	        4.006349E-09	        9.332933E-08	        9.900215E-09	       -4.247498E-07	        1.361762E-09	        1.388980E-07	       -2.536761E-06	        1.565301E-07	        2.497251E-09	       -1.963444E-09	        1.453737E-07	        2.204947E-13	        8.545429E-07	       -6.587229E-08	       -7.317000E-12	        4.092637E-07	       -6.011683E-07	        3.243696E-09	        5.687491E-10	        2.938589E-07	       -2.084022E-07	        2.750786E-15	        3.961806E-07	        1.256781E-07	        1.768690E-16	       -4.586190E-07	        3.642945E-07	        1.018507E-08	        5.916690E-07	        2.451164E-07	        7.185343E-07	        1.565107E-09	       -5.670579E-07	        4.203123E-08	        1.498914E-06	       -2.000563E-07	       -1.259228E-06	       -1.379067E-07	        1.379432E-07	        9.268102E-14	        6.855989E-08	        1.709601E-07	        6.304654E-07	       -2.120826E-06	        1.462101E-06	        1.645892E-10	        6.695000E-06	        2.608235E-08	        3.936296E-05	        5.158766E-08	       -3.490882E-05	        4.644139E-05	       -6.731167E-07	        0.000000E+00	       -8.345849E-06	        9.454101E-06	       -1.353497E-06	        1.358101E-14	       -6.802076E-07	        5.044205E-13	       -3.472955E-06	       -3.821752E-06	        5.239468E-06	       -3.706923E-07	       -1.649484E-07	       -1.308082E-06	       -7.995380E-06	        7.960046E-06	        5.743172E-16	        2.516863E-13	        7.442401E-10	       -2.757844E-11	       -1.440673E-10	       -5.838415E-12	       -5.326749E-14	       -2.699563E-12	        2.949734E-13	       -6.232104E-09	        2.403276E-09	        3.468570E-09	        1.603444E-10	        2.016174E-11	       -1.687401E-11	        2.762494E-10	        1.779629E-11	       -1.181066E-16	        2.950669E-11	        1.106449E-13	       -9.624694E-10	       -2.487818E-07	        8.436973E-11	       -1.077847E-08	        3.885300E-11	        3.575092E-12	        1.077290E-08	        2.488806E-07	        6.364886E-11	        8.383648E-12	       -4.465708E-11	        2.614735E-17	        1.735923E-16	        2.083914E-11	        9.565442E-13	        1.765856E-13
