            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       4.431285E-189	       2.553357E-187	      -2.475165E-188	       1.624338E-180	       2.798599E-182	       1.235138E-182	      -1.835529E-186	       3.036857E-195	       1.025404E-185	      -6.801443E-176	       5.265295E-179	       3.276487E-181	      -4.371975E-189	       2.621287E-178	        0.000000E+00	       4.581305E-180	       5.768448E-181	        0.000000E+00	       3.587487E-178	      -1.469114E-179	       3.139081E-182	      -1.467921E-196	       5.503931E-180	      -4.378331E-180	        0.000000E+00	       1.190307E-182	       6.358451E-179	        0.000000E+00	        5.798164E-11	       1.810475E-180	       2.959344E-181	       3.221904E-180	       1.088787E-179	       5.055241E-176	       2.067795E-187	        0.000000E+00	      -1.412144E-201	       1.909590E-178	       1.719690E-176	       1.063205E-177	       4.012308E-177	      -5.609181E-178	        0.000000E+00	       4.807046E-181	       1.801534E-178	       3.647353E-177	      -5.747311E-182	       1.974778E-178	        0.000000E+00	       7.934175E-175	      -2.742363E-200	       7.762987E-175	       2.819156E-180	       -3.764740E-11	       4.983238E-176	       1.169721E-180	        0.000000E+00	       5.918373E-179	       6.018056E-181	      -5.130966E-179	        0.000000E+00	      -6.223678E-180	       -1.731316E-11	       1.719450E-180	      -5.718922E-181	       7.769624E-175	      -3.519611E-177	       3.569481E-183	      -2.951395E-178	      -7.762134E-175	       7.762120E-175	       7.822071E-193	       1.612207E-182	       2.956790E-180	       1.249249E-186	       6.418354E-184	      -3.468261E-191	        3.355001E-17	       3.308392E-183	        1.731313E-11	      -2.960739E-180	        3.355097E-17	        2.005281E-25	      -1.228908E-178	       1.228908E-178	       5.074352E-185	      -1.610409E-202	       1.398723E-186	       1.390433E-205	        0.000000E+00	       9.616965E-206	      -3.874405E-181	      -6.116837E-178	       4.962251E-186	       8.692741E-185	       4.179157E-183	      -4.150403E-192	       9.895966E-198	       6.120669E-178	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	      -9.639362E-204	        0.000000E+00	        0.000000E+00
        2.000000E-03	       1.118110E-179	       3.794562E-177	      -7.162659E-177	       5.399711E-171	       1.708156E-171	      -1.278487E-175	      -2.408436E-177	       5.222471E-178	      -1.763701E-176	      -1.910715E-169	       3.874653E-169	       1.078128E-170	      -1.504064E-177	       7.358851E-172	        0.000000E+00	       7.990393E-171	       8.436372E-171	        0.000000E+00	       3.312605E-169	      -2.605214E-170	       7.452874E-172	      -1.422791E-181	       1.829545E-170	      -1.342243E-171	        0.000000E+00	       5.582424E-173	       3.964454E-169	        0.000000E+00	        5.800474E-11	       7.324080E-170	       9.834629E-172	       1.801880E-169	      -1.405822E-169	       6.753296E-170	       1.968752E-176	        0.000000E+00	      -1.075634E-179	       7.464897E-169	       3.433715E-170	       1.765350E-166	       3.720045E-168	      -4.155928E-168	        0.000000E+00	       5.849020E-173	       6.102276E-169	       3.159688E-169	      -1.553862E-172	       1.776964E-168	        0.000000E+00	       2.139845E-168	      -1.902755E-184	       2.499211E-168	       1.897137E-173	       -3.764740E-11	      -1.744239E-166	      -9.201666E-173	        0.000000E+00	       2.126697E-169	       8.595511E-172	      -2.029467E-169	        0.000000E+00	      -1.050409E-171	       -1.729006E-11	       9.266172E-172	       8.738348E-172	       1.767865E-166	      -9.134362E-171	       3.217285E-173	      -9.811234E-169	      -2.024051E-168	       2.023902E-168	       3.352661E-183	       6.662053E-172	       5.866794E-171	       2.782282E-177	       1.489978E-174	      -8.666318E-178	        5.949237E-17	       8.077790E-174	        1.729000E-11	      -5.876156E-171	        5.949539E-17	        6.289939E-25	      -1.489356E-169	       1.489355E-169	       6.094894E-176	      -1.483418E-185	       4.919234E-177	       5.472567E-196	      -5.472760E-188	       1.653837E-188	      -5.451878E-172	      -9.911309E-171	       1.238150E-176	      -4.799863E-176	       7.137806E-176	      -1.089671E-178	       4.942935E-176	       1.045641E-170	       2.420050E-197	      -9.915913E-207	        0.000000E+00	        0.000000E+00	        0.000000E+00	      -2.809724E-188	      -1.541189E-187	       1.540419E-187
        3.100000E-03	       1.349267E-172	       5.696661E-169	      -3.422162E-170	       9.672106E-163	       8.269608E-163	      -3.810574E-170	      -2.776308E-168	       7.026906E-171	      -5.637057E-168	       2.534911E-165	       1.587358E-161	       1.616258E-163	      -1.762492E-171	       2.399901E-168	        0.000000E+00	      -3.197377E-163	       1.278210E-162	      -4.944622E-188	       6.027774E-161	      -7.678171E-162	       1.320134E-165	      -5.226934E-175	       3.277330E-162	      -1.669438E-163	      -2.646793E-181	       1.697228E-163	       3.978202E-161	        0.000000E+00	        5.803127E-11	       1.680659E-161	       1.762156E-163	       2.622644E-162	      -2.546371E-162	      -1.675412E-161	       2.127451E-170	      -5.281512E-319	      -9.700962E-173	       1.486282E-160	      -1.251395E-162	       2.886981E-157	       1.523432E-160	      -1.686322E-160	        0.000000E+00	       2.713143E-165	       1.108546E-160	       6.194557E-161	      -3.684822E-163	       3.128911E-160	       1.084276E-319	      -5.600658E-162	      -2.625510E-176	       1.836539E-161	      -1.773762E-164	       -3.764740E-11	      -2.890674E-157	      -4.016450E-164	        0.000000E+00	       3.716463E-161	       3.249252E-163	      -3.693148E-161	        0.000000E+00	      -3.596996E-164	       -1.726353E-11	      -2.484620E-163	       2.918173E-163	       2.893149E-157	      -1.669191E-167	       1.005628E-165	      -1.757406E-160	      -1.769591E-165	       2.095526E-165	       4.438256E-177	       4.203124E-163	       5.360493E-164	       1.073224E-169	       1.706086E-168	      -2.219926E-173	        8.948457E-17	       6.733715E-168	        1.726344E-11	      -5.326682E-164	        8.949139E-17	        1.419349E-24	      -4.914453E-163	       4.914450E-163	       2.558458E-169	      -2.568115E-178	       5.783052E-170	       8.338046E-188	      -4.622075E-178	      -8.195204E-180	      -3.883244E-165	      -4.738517E-165	       1.326451E-169	      -1.835441E-170	       5.784197E-170	       1.367969E-173	       1.955738E-170	       8.621568E-165	       1.333848E-176	      -1.164698E-183	        0.000000E+00	        0.000000E+00	        0.000000E+00	      -1.273630E-181	      -2.763008E-180	       2.761558E-180
        4.100000E-03	       1.171336E-166	       7.490828E-164	      -5.730019E-165	       2.077358E-157	       4.529428E-157	      -1.123177E-167	      -3.962273E-162	       3.554585E-165	      -1.212650E-162	       8.753353E-161	       7.055070E-156	       5.943291E-158	      -2.306843E-168	       2.073655E-162	       1.545929E-187	       1.483167E-157	       1.676856E-157	      -4.710613E-177	       1.292830E-155	      -1.464236E-156	       5.258951E-160	      -1.868187E-169	       7.039016E-157	      -9.416153E-159	      -1.288305E-174	       2.795042E-156	       1.555197E-155	        0.000000E+00	        5.805705E-11	       1.484157E-156	       3.784732E-158	       3.791252E-156	      -1.067187E-156	      -1.471896E-156	       1.518368E-165	      -1.519643E-305	      -3.688047E-167	       6.553060E-155	      -1.413029E-157	       7.643968E-150	       6.786851E-155	      -7.494582E-155	      -1.545929E-187	       6.412420E-161	       2.379090E-155	       1.434879E-155	      -1.742999E-156	       5.804886E-154	       6.319667E-309	      -3.840393E-155	      -1.669140E-169	       1.632806E-155	      -2.128095E-159	       -3.764740E-11	      -7.652665E-150	      -1.335429E-158	        0.000000E+00	       1.472383E-155	       1.136595E-156	      -1.450922E-155	       7.564026E-318	      -1.118799E-159	       -1.723775E-11	      -5.573581E-156	       9.235167E-157	       7.660898E-150	      -1.551059E-165	       3.372950E-160	      -3.774526E-155	      -6.518899E-164	       2.530255E-160	       1.316308E-171	       4.881881E-157	       3.340061E-158	       2.514102E-163	       5.415708E-163	      -6.429057E-171	        1.188195E-16	       1.347404E-162	        1.723763E-11	      -2.423039E-158	        1.188314E-16	        2.496665E-24	      -2.877730E-157	       2.877728E-157	       1.182361E-163	      -1.083044E-172	       3.701352E-164	       3.987515E-182	      -6.378143E-173	      -3.602433E-174	      -1.298401E-159	       1.067855E-159	       5.888813E-164	       3.043888E-167	       1.573662E-165	      -4.494920E-170	       2.293484E-168	       2.304864E-160	       5.890820E-171	      -2.483171E-178	       7.934266E-316	        0.000000E+00	      -1.924990E-189	      -6.768874E-176	      -1.354438E-175	       1.353694E-175
        5.000000E-03	       5.637971E-162	       3.243865E-158	      -5.140140E-161	       1.421519E-151	       2.212907E-152	      -6.803889E-167	      -2.729635E-157	       1.795620E-160	       6.266236E-157	       3.004402E-159	       4.017036E-151	       3.138541E-153	      -3.690608E-165	       1.428491E-157	       7.717245E-178	      -7.237704E-153	       7.288719E-152	      -2.036400E-172	       8.871793E-150	      -1.136452E-150	       1.421344E-155	      -1.984731E-164	       4.816756E-151	      -1.632349E-153	      -5.601233E-172	       1.221293E-151	       2.137937E-150	        0.000000E+00	        5.808165E-11	       2.816658E-150	       2.589862E-152	       1.722324E-151	      -5.738077E-152	      -2.813610E-150	       2.375796E-162	      -8.641258E-297	      -1.116169E-162	       2.177541E-149	      -5.332996E-152	       1.458822E-144	       3.864487E-150	      -4.266413E-150	      -7.717245E-178	      -2.205242E-158	       1.631261E-149	       1.033190E-149	      -3.169603E-152	       9.670295E-149	       1.566570E-298	      -1.837879E-150	      -6.538259E-165	       8.128398E-151	      -5.961798E-156	       -3.764740E-11	      -1.460855E-144	      -1.084686E-155	        0.000000E+00	       2.096945E-150	       2.953709E-152	      -2.085747E-150	      -1.943440E-190	      -3.847910E-158	       -1.721315E-11	      -2.442439E-151	       2.173095E-152	       1.462799E-144	      -2.482059E-164	      -8.708550E-156	      -2.582877E-149	      -7.693892E-163	       4.169214E-155	       6.145470E-167	       7.370059E-152	       3.690693E-153	       5.143639E-159	       1.465428E-158	      -1.431179E-167	        1.469802E-16	       5.674288E-158	        1.721300E-11	      -1.940300E-153	        1.469985E-16	        3.812476E-24	      -1.116696E-152	       1.116695E-152	       4.431077E-159	      -1.316367E-167	       1.727916E-159	      -1.312278E-174	      -7.828711E-168	       5.010206E-171	      -7.689257E-155	       7.669779E-155	       4.313781E-159	       2.457052E-164	       1.300697E-162	      -1.095128E-166	       2.481764E-165	       1.904675E-157	       3.901323E-167	      -1.134694E-173	      -2.514996E-182	       3.667746E-319	      -3.939082E-177	      -3.833309E-171	      -2.912377E-171	       2.910711E-171
        6.000000E-03	       4.124254E-158	       1.293803E-153	      -2.458910E-157	       5.276898E-147	       8.613992E-146	      -1.671762E-165	      -3.650194E-151	       8.227607E-156	       5.609143E-151	       2.034623E-157	       1.887461E-146	       1.465236E-148	      -7.444467E-162	       1.910303E-151	       9.253558E-173	      -2.528651E-146	       2.875868E-147	      -1.157068E-168	       3.294881E-145	      -8.633080E-146	       2.016627E-151	      -5.028074E-159	       1.788061E-146	      -7.053708E-149	      -3.093047E-169	       1.046840E-145	       2.062096E-144	      -1.578232E-189	        5.811064E-11	       2.199494E-145	       9.613968E-148	       1.069799E-145	      -2.686721E-147	      -2.167581E-145	       5.454383E-159	      -5.525487E-284	      -7.875126E-159	       5.104281E-144	      -9.327076E-147	       4.818916E-139	       1.815601E-145	      -2.004377E-145	      -9.261190E-173	      -3.409907E-156	       6.059042E-145	       5.074574E-145	      -1.916802E-145	       4.945095E-143	       2.954948E-289	      -4.263578E-144	      -2.342620E-158	       4.434951E-145	      -8.105912E-153	       -3.764740E-11	      -4.827240E-139	      -2.581524E-152	        0.000000E+00	       2.079278E-144	       1.289287E-145	      -2.062988E-144	      -8.778368E-177	      -2.612050E-156	       -1.718416E-11	      -2.093683E-145	       1.002657E-145	       4.835117E-139	      -5.405549E-163	      -1.927305E-149	      -9.588039E-145	      -1.436634E-161	       2.040046E-149	       7.178168E-163	       5.564219E-146	       6.381670E-148	       1.821781E-152	       2.552075E-154	      -2.736265E-164	        1.803407E-16	       4.974192E-154	        1.718398E-11	      -5.991987E-149	        1.803682E-16	        5.726479E-24	      -5.228749E-148	       5.228745E-148	       2.063243E-154	      -8.454314E-163	       9.899529E-155	      -9.238891E-170	      -1.041590E-162	       2.598493E-166	      -3.523114E-150	       3.522343E-150	       2.425023E-154	       7.039114E-161	       3.605081E-159	      -3.702840E-163	       4.590145E-162	       5.279103E-154	       1.040616E-163	      -1.311322E-168	      -1.302757E-173	       5.403145E-311	      -1.497289E-172	      -2.989059E-166	      -1.995865E-167	       1.994662E-167
        7.000000E-03	       2.203510E-154	       3.607280E-149	      -1.601760E-153	       1.029739E-142	       1.213484E-140	      -5.655153E-164	      -5.112807E-146	       1.979729E-151	       1.429306E-145	       5.707701E-156	       3.125381E-142	       4.959345E-145	      -1.226275E-158	       2.675817E-146	       1.757955E-167	      -3.542461E-141	       8.032366E-143	      -8.766776E-165	       6.437931E-141	      -5.487839E-141	       5.685956E-148	      -1.575761E-154	       3.489252E-142	      -1.166833E-144	      -2.419890E-166	       7.887016E-140	       2.099429E-139	      -2.727537E-173	        5.814130E-11	       8.346129E-141	       1.876079E-143	       7.887261E-140	      -9.185284E-144	      -8.020215E-141	       1.572022E-156	      -5.685470E-273	      -2.421038E-155	       3.522162E-139	      -2.139544E-142	       4.258093E-133	       3.006258E-141	      -3.318825E-141	      -1.762051E-167	      -3.838721E-154	       1.184929E-140	       2.156275E-140	      -2.717072E-140	       2.592429E-137	       1.438150E-280	      -3.328885E-139	      -3.366939E-153	       2.475084E-139	      -3.545835E-150	       -3.764740E-11	      -4.266678E-133	      -5.655633E-150	        0.000000E+00	       2.114157E-139	       2.173991E-140	      -2.102867E-139	      -3.387217E-171	      -7.365025E-155	       -1.715350E-11	      -1.577403E-139	       1.363862E-140	       4.275009E-133	      -1.330018E-161	      -1.266257E-144	      -1.871019E-140	      -6.530405E-161	       1.263247E-144	       3.962696E-159	       1.855747E-140	       5.117677E-142	       4.379678E-147	       2.415186E-149	      -3.556794E-161	        2.158382E-16	       1.734954E-150	        1.715328E-11	      -8.328466E-145	        2.158776E-16	        8.184057E-24	      -3.365457E-144	       3.365455E-144	       1.326929E-150	      -3.298221E-158	       8.414329E-151	       3.851845E-165	      -4.985384E-158	       6.268799E-162	      -2.982183E-146	       2.981833E-146	       2.456616E-150	       1.450264E-157	       7.128566E-156	      -6.241050E-160	       3.245374E-159	       1.043867E-150	       2.080540E-160	      -1.375190E-163	      -3.047346E-169	       8.623227E-304	      -4.338094E-167	      -9.831568E-162	      -2.552674E-163	       2.550987E-163
        8.000000E-03	       2.615285E-151	       2.444625E-145	      -3.254475E-150	       3.389609E-139	       5.471659E-136	      -6.339151E-163	      -2.300718E-141	       9.239564E-148	       5.746971E-141	       4.719428E-155	       8.711583E-139	       3.993977E-141	      -8.051604E-156	       1.204125E-141	       5.993006E-164	      -3.560194E-136	       5.440691E-139	      -4.610600E-162	       2.143627E-137	      -1.163251E-136	       5.370175E-144	      -5.511919E-150	       1.148568E-138	      -3.473151E-141	      -4.081038E-165	       7.105205E-135	       5.178270E-135	      -5.459302E-168	        5.817358E-11	       9.998718E-137	       6.175522E-140	       7.105078E-135	      -7.405204E-140	      -9.194781E-137	      -9.645692E-152	      -1.988299E-263	      -1.056152E-151	       9.858178E-135	      -1.664674E-138	       7.336984E-128	       8.379827E-138	      -9.250963E-138	      -7.157952E-164	      -3.469519E-152	       3.966224E-137	       4.008936E-136	      -6.041241E-136	       4.162979E-132	       4.750321E-273	      -9.765064E-135	      -2.140715E-148	       2.157740E-134	      -6.247881E-149	       -3.764740E-11	      -7.354252E-128	      -1.563179E-148	        0.000000E+00	       5.220576E-135	       7.454161E-136	      -5.186993E-135	      -2.433272E-167	      -6.098221E-154	       -1.712122E-11	      -1.421041E-134	       2.601991E-136	       7.371106E-128	      -6.925124E-160	      -4.331374E-140	      -6.158867E-137	      -9.645733E-160	       4.238215E-140	       4.446413E-155	       2.672260E-135	       8.804006E-137	       2.543862E-142	       1.945083E-144	      -4.787174E-158	        2.534205E-16	       2.462047E-146	        1.712097E-11	      -2.790574E-141	        2.534746E-16	        1.125663E-23	      -1.711027E-140	       1.711026E-140	       6.747915E-147	      -1.087010E-153	       1.015122E-146	       2.891225E-160	      -8.808356E-154	       2.926020E-158	      -1.188390E-142	       1.188253E-142	       1.149352E-146	       2.997641E-154	       1.446492E-152	      -8.050547E-157	       1.108150E-156	       2.118404E-147	       1.074386E-157	      -1.372397E-158	      -4.821557E-167	      -1.963665E-186	      -1.527066E-163	      -1.080407E-157	      -1.073826E-159	       1.073059E-159
        9.000000E-03	       5.597388E-148	       1.452184E-141	      -4.471557E-147	       8.351810E-136	       1.595647E-131	      -4.082552E-161	      -5.914273E-137	       4.454261E-144	       2.036155E-136	       1.601780E-154	       8.457482E-135	       9.181136E-138	      -2.401950E-153	       3.095434E-137	      -1.561367E-160	      -1.094552E-131	       3.242965E-135	      -3.830569E-160	       5.998425E-134	      -5.172443E-133	       2.248453E-140	      -4.993502E-146	       2.830019E-135	      -2.070355E-137	      -5.332015E-164	       2.144996E-130	       1.301868E-130	      -2.754351E-166	        5.820747E-11	       6.149760E-133	       1.521614E-136	       2.144977E-130	      -1.723641E-136	      -4.128523E-133	      -1.601555E-147	      -1.262382E-254	      -1.662239E-148	       2.350123E-130	      -1.376578E-134	       3.777162E-123	       8.135336E-134	      -8.980941E-134	      -1.896820E-161	      -2.449128E-151	       9.926959E-134	       5.408704E-132	      -1.584533E-131	       2.129591E-127	       3.507334E-265	      -2.355391E-130	      -5.349383E-144	       6.472767E-130	      -8.687393E-148	       -3.764740E-11	      -3.787411E-123	      -1.225683E-147	        0.000000E+00	       1.311622E-130	       2.412669E-131	      -1.304105E-130	      -1.513400E-163	      -2.108566E-153	       -1.708733E-11	      -4.289992E-130	       6.493618E-132	       3.797447E-123	      -7.268720E-158	      -6.695750E-136	      -1.517511E-133	      -1.517611E-158	       6.544599E-136	       6.738176E-152	       1.352264E-130	       4.532273E-132	       5.191389E-138	       6.689568E-140	      -7.061376E-155	        2.931205E-16	       2.198232E-143	        1.708703E-11	      -1.482055E-137	        2.931927E-16	        1.502546E-23	      -7.225773E-137	       7.225768E-137	       2.848582E-143	      -1.537987E-149	       2.572555E-142	       1.096364E-155	      -2.621562E-150	       1.410571E-154	      -7.763986E-139	       7.763085E-139	       8.684812E-143	       4.644762E-151	       2.233354E-149	       5.239797E-154	       6.638949E-155	       3.270891E-144	       1.581979E-155	      -8.503380E-154	      -1.277883E-165	      -1.379859E-177	      -1.673825E-161	      -4.603869E-154	      -3.369633E-156	       3.367125E-156
        1.010000E-02	       1.618677E-145	       9.653326E-138	      -3.673692E-143	       3.660141E-132	       1.155962E-126	      -1.518445E-159	      -1.747987E-132	       5.635878E-140	       1.162172E-131	       1.157348E-154	       6.861464E-131	       1.968651E-134	      -7.651227E-151	       9.148968E-133	      -1.001949E-156	      -1.064103E-126	       2.154865E-131	      -1.682699E-158	       4.909606E-130	      -6.925749E-129	       2.189892E-136	      -5.253144E-142	       1.240249E-131	      -5.412030E-134	      -2.338852E-164	       9.643116E-126	       3.807328E-126	      -4.933689E-165	        5.824655E-11	       9.838787E-129	       6.668404E-133	       9.643087E-126	      -4.686668E-133	      -3.927594E-129	      -3.947732E-143	      -4.952557E-245	      -4.607578E-145	       8.070800E-126	      -8.116988E-131	       3.503989E-118	       6.600266E-130	      -7.286116E-130	      -1.813205E-159	      -2.101018E-151	       4.662380E-130	       2.066988E-127	      -2.902039E-127	       1.968587E-122	       2.681696E-257	      -8.103362E-126	      -1.828483E-139	       2.912502E-125	      -6.123596E-147	       -3.764740E-11	      -3.514959E-118	      -2.343652E-146	        0.000000E+00	       3.840115E-126	       1.196581E-126	      -3.813978E-126	      -1.062820E-160	      -1.542954E-153	       -1.704825E-11	      -1.928623E-125	       5.826445E-129	       3.525732E-118	      -9.565255E-156	      -9.343158E-132	      -6.650421E-130	      -1.301221E-157	       9.123313E-132	       2.114791E-148	       1.242381E-125	       4.204476E-127	       3.857822E-133	       6.484589E-135	      -2.189177E-151	        3.391828E-16	       7.555244E-140	        1.704791E-11	      -1.008971E-133	        3.392792E-16	        2.006813E-23	      -3.183732E-133	       3.183730E-133	       1.255137E-139	      -4.104848E-145	       1.860534E-137	       7.474519E-151	      -2.726375E-146	       1.784752E-150	      -3.703522E-135	       3.703042E-135	       4.793485E-139	       2.159968E-148	       1.038441E-146	       2.298119E-149	       1.368659E-153	       1.520869E-141	       1.622392E-153	      -2.308286E-149	      -4.480286E-165	      -1.102002E-174	       1.630923E-160	      -5.694441E-150	      -1.325617E-152	       1.324637E-152
