           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        1.00000E-03  	        1.39992E+03  	        2.51198E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        1.04941E-18  	        0.00000E+00  	        1.10933E-19  	        5.03060E-19  	        4.18135E-16  	        0.00000E+00  	        3.06135E-19  	        1.56440E-12  	        1.12527E-14  	        9.09686E-15  	        5.33318E-17  	        7.57244E-21  	        0.00000E+00  	        8.33810E-14  	        1.71029E-17  	        0.00000E+00  	        3.16136E-16  	        2.28165E-12  	        8.14251E-17  	        7.44419E-19  	        8.53839E-21  	        2.13938E-14  	        0.00000E+00  	        3.21238E-18  	        7.83906E-14  	        0.00000E+00  	        4.30486E-12  	        2.66783E-17  	        4.89464E-20  	        8.35372E-15  	        3.18371E-12  	        1.50989E-12  	        6.61905E-18  	        3.66196E-14  	        0.00000E+00  	        5.40034E-17  	        2.59976E-13  	        2.50507E-13  	        1.77325E-12  	        8.48967E-11  	        0.00000E+00  	        1.05777E-15  	        2.18035E-16  	        2.51116E-13  	        1.40141E-13  	        3.15497E-17  	        4.10897E-19  	        5.41744E-12  	        5.57576E-23  	        4.24568E-11  	        1.03131E-14  	        2.32920E-01  	        9.85847E-08  	        8.20218E-14  	        0.00000E+00  	        5.11796E-14  	        1.39278E-11  	        6.05420E-11  	        0.00000E+00  	        2.49391E-13  	        7.67080E-01  	        3.86538E-13  	        7.21728E-12  	        9.83575E-13  	        3.16599E-12  	        1.41815E-12  	        8.28785E-12  	        2.19798E-12  	        1.73908E-16  	        0.00000E+00  	        0.00000E+00  	        1.31965E-15  	        1.07687E-20  	        2.72634E-18  	        2.00429E-18  	        0.00000E+00  	        1.14853E-16  	        2.97271E-12  	        1.68056E-11  	        5.96128E-12  	        4.68295E-17  	        6.76949E-12  	        1.86461E-14  	        0.00000E+00  	        6.03293E-19  	        2.67765E-17  	        0.00000E+00  	        1.75093E-22  	        0.00000E+00  	        1.02870E-11  	        6.73011E-17  	        0.00000E+00  	        3.55163E-20  	        2.75256E-22  	        1.24503E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.50467E-18  	        1.51342E-20  	        0.00000E+00
        2.00000E-03  	        1.39980E+03  	        2.51224E-01  	        1.01325E+05  	        1.56530E-21  	        0.00000E+00  	        1.30447E-15  	        1.09971E-19  	        3.66904E-17  	        2.18872E-15  	        2.12545E-13  	        2.90369E-19  	        3.64389E-16  	        5.50969E-11  	        1.08634E-13  	        5.08495E-13  	        5.51706E-14  	        2.09930E-18  	        0.00000E+00  	        4.95614E-12  	        5.37134E-16  	        0.00000E+00  	        5.28947E-14  	        1.19076E-10  	        9.92160E-16  	        2.91348E-16  	        2.11116E-17  	        2.11884E-12  	        0.00000E+00  	        3.14745E-14  	        3.11351E-12  	        0.00000E+00  	        3.24357E-11  	        1.92558E-15  	        1.12781E-17  	        3.15029E-13  	        1.18723E-10  	        6.99883E-11  	        6.34339E-16  	        1.17542E-11  	        2.46405E-18  	        2.69520E-15  	        1.06336E-11  	        1.33046E-11  	        7.28184E-11  	        5.22923E-10  	        0.00000E+00  	        1.61181E-13  	        2.37348E-14  	        7.85930E-12  	        3.93158E-11  	        2.02756E-15  	        1.04448E-16  	        2.04076E-10  	        1.36202E-16  	        6.12272E-10  	        1.34751E-12  	        2.32920E-01  	        1.49851E-06  	        9.09731E-12  	        0.00000E+00  	        6.57733E-12  	        3.12043E-10  	        8.08428E-10  	        0.00000E+00  	        2.63690E-11  	        7.67079E-01  	        8.91046E-11  	        1.56553E-10  	        4.91758E-11  	        1.02702E-10  	        8.88297E-11  	        2.92531E-10  	        3.76241E-11  	        3.94988E-15  	        0.00000E+00  	        6.78642E-23  	        1.07967E-13  	        9.46039E-18  	        3.93658E-16  	        1.12894E-15  	        0.00000E+00  	        5.27155E-15  	        5.88942E-12  	        1.48082E-10  	        5.25667E-11  	        4.60946E-15  	        5.97028E-11  	        1.73064E-13  	        7.41288E-21  	        4.53337E-16  	        2.76943E-15  	        0.00000E+00  	        5.02051E-17  	        5.99205E-22  	        9.06363E-11  	        8.33074E-15  	        0.00000E+00  	        2.22589E-17  	        2.02145E-18  	        1.73821E-16  	        3.83868E-20  	        1.40589E-19  	        0.00000E+00  	        1.64269E-20  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        5.32415E-16  	        1.50783E-17  	        0.00000E+00
        3.10000E-03  	        1.39964E+03  	        2.51260E-01  	        1.01325E+05  	        3.73595E-18  	        0.00000E+00  	        2.72747E-13  	        8.32257E-18  	        1.03951E-15  	        3.31304E-13  	        1.10015E-11  	        1.78061E-17  	        5.06520E-14  	        5.89085E-10  	        2.33889E-12  	        6.97679E-12  	        4.59275E-12  	        1.63618E-16  	        0.00000E+00  	        1.20305E-10  	        8.67080E-15  	        1.53117E-20  	        1.80575E-12  	        1.35566E-09  	        9.22021E-15  	        1.37591E-14  	        1.06372E-15  	        3.80530E-11  	        1.00779E-22  	        9.70636E-12  	        4.84219E-11  	        0.00000E+00  	        1.99204E-10  	        5.19607E-14  	        1.31128E-15  	        7.53647E-12  	        1.10403E-09  	        8.11257E-10  	        6.63404E-14  	        4.20673E-10  	        5.62558E-16  	        6.02728E-14  	        1.31893E-10  	        3.78730E-10  	        6.44132E-10  	        1.69073E-09  	        0.00000E+00  	        7.20213E-12  	        9.87992E-13  	        6.58761E-11  	        1.35774E-09  	        5.21083E-14  	        3.96644E-15  	        1.87420E-09  	        1.53252E-13  	        5.49065E-09  	        2.97006E-11  	        2.32918E-01  	        7.14152E-06  	        1.84398E-10  	        0.00000E+00  	        2.13160E-10  	        5.55663E-09  	        5.27067E-09  	        0.00000E+00  	        4.92695E-10  	        7.67074E-01  	        2.77978E-09  	        1.90406E-09  	        5.71394E-10  	        8.36957E-10  	        1.11228E-09  	        2.52063E-09  	        2.26472E-10  	        7.99829E-14  	        3.36301E-18  	        2.57019E-19  	        2.86270E-12  	        7.26986E-16  	        4.23954E-14  	        5.10923E-14  	        2.98627E-20  	        3.26706E-13  	        9.14161E-12  	        5.82859E-10  	        2.07838E-10  	        7.04910E-13  	        2.36765E-10  	        7.18968E-13  	        1.73867E-18  	        3.07700E-14  	        5.16491E-14  	        0.00000E+00  	        1.49754E-14  	        7.26043E-19  	        3.56401E-10  	        2.00618E-13  	        0.00000E+00  	        1.00024E-15  	        1.13168E-16  	        4.82410E-15  	        2.02231E-18  	        6.24620E-18  	        1.60217E-21  	        8.99741E-17  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.96817E-14  	        4.82033E-16  	        1.07431E-18
        4.10000E-03  	        1.39946E+03  	        2.51302E-01  	        1.01325E+05  	        7.56164E-17  	        0.00000E+00  	        1.30609E-11  	        1.06310E-16  	        6.92441E-15  	        2.93553E-12  	        1.15871E-10  	        1.38828E-16  	        6.83938E-13  	        2.72930E-09  	        5.58197E-11  	        3.54496E-11  	        7.14541E-11  	        2.11909E-15  	        0.00000E+00  	        1.42040E-09  	        1.36446E-13  	        2.22905E-17  	        1.07728E-11  	        5.66702E-09  	        1.48569E-13  	        1.73842E-13  	        5.98269E-15  	        2.03109E-10  	        1.73873E-19  	        1.40234E-10  	        3.87042E-10  	        0.00000E+00  	        6.29097E-10  	        3.62328E-13  	        2.28251E-14  	        7.19584E-11  	        4.19392E-09  	        3.77603E-09  	        1.76077E-12  	        3.41350E-09  	        7.99634E-15  	        4.18733E-13  	        7.49142E-10  	        3.24962E-09  	        2.27010E-09  	        3.59643E-09  	        1.12566E-20  	        7.95007E-11  	        5.52213E-12  	        2.54520E-10  	        1.08254E-08  	        3.56610E-13  	        4.80374E-14  	        7.13270E-09  	        6.56735E-12  	        2.96061E-08  	        1.95391E-10  	        2.32916E-01  	        1.58176E-05  	        1.15870E-09  	        0.00000E+00  	        1.70053E-09  	        3.96181E-08  	        1.80315E-08  	        0.00000E+00  	        2.82940E-09  	        7.67068E-01  	        2.01675E-08  	        1.02122E-08  	        2.09308E-09  	        2.87578E-09  	        4.98522E-09  	        8.71438E-09  	        7.21157E-10  	        3.63311E-13  	        9.04800E-17  	        3.67748E-18  	        1.12185E-11  	        3.76650E-15  	        3.76640E-13  	        2.83159E-13  	        2.70380E-19  	        6.67551E-12  	        1.24279E-11  	        1.35905E-09  	        4.83187E-10  	        1.65523E-11  	        5.59678E-10  	        1.76065E-12  	        1.27497E-17  	        3.37993E-13  	        2.22941E-13  	        4.25197E-22  	        2.76084E-13  	        7.87573E-18  	        8.26310E-10  	        8.28666E-13  	        0.00000E+00  	        1.30732E-14  	        6.81474E-16  	        3.26056E-14  	        1.47346E-17  	        3.95414E-17  	        3.47783E-19  	        5.80872E-15  	        5.91351E-20  	        4.33598E-22  	        1.02582E-21  	        1.42408E-13  	        4.30655E-15  	        5.08745E-17
        5.00000E-03  	        1.39928E+03  	        2.51341E-01  	        1.01325E+05  	        2.64903E-16  	        2.26002E-21  	        1.38617E-10  	        4.54962E-16  	        2.52224E-14  	        5.89782E-12  	        5.50153E-10  	        5.08319E-16  	        3.21495E-12  	        7.98412E-09  	        4.55314E-10  	        1.09985E-10  	        3.93874E-10  	        1.16787E-14  	        2.72374E-21  	        7.27413E-09  	        6.91085E-13  	        7.95531E-16  	        2.65824E-11  	        1.47949E-08  	        1.47251E-12  	        1.03508E-12  	        1.42637E-14  	        6.24831E-10  	        2.70836E-18  	        4.67184E-10  	        1.70767E-09  	        0.00000E+00  	        1.61076E-09  	        1.29279E-12  	        1.14755E-13  	        2.67021E-10  	        1.01204E-08  	        1.10700E-08  	        1.35791E-11  	        1.31999E-08  	        3.86184E-14  	        1.43824E-12  	        2.59988E-09  	        1.16934E-08  	        5.13191E-09  	        6.49242E-09  	        1.90056E-18  	        3.26563E-10  	        1.28658E-11  	        6.47717E-10  	        4.13474E-08  	        1.22465E-12  	        2.95973E-13  	        1.83031E-08  	        5.64527E-11  	        1.02357E-07  	        6.80252E-10  	        2.32914E-01  	        2.50338E-05  	        4.14349E-09  	        0.00000E+00  	        6.53060E-09  	        1.48772E-07  	        4.28896E-08  	        2.78749E-22  	        9.19772E-09  	        7.67060E-01  	        7.19563E-08  	        3.29615E-08  	        5.15231E-09  	        6.73481E-09  	        1.37755E-08  	        1.95401E-08  	        1.57257E-09  	        8.49583E-13  	        3.07514E-16  	        1.66776E-17  	        1.99867E-11  	        7.69107E-15  	        1.33170E-12  	        5.15010E-13  	        5.40981E-19  	        2.51325E-11  	        1.63203E-11  	        2.45148E-09  	        8.46701E-10  	        1.06308E-10  	        1.02383E-09  	        3.31727E-12  	        4.57474E-17  	        1.48291E-12  	        5.51485E-13  	        4.50372E-20  	        1.01017E-12  	        2.44616E-17  	        1.47666E-09  	        1.60969E-12  	        0.00000E+00  	        5.17291E-14  	        1.19273E-15  	        9.98224E-14  	        4.81648E-17  	        1.33568E-16  	        1.33138E-18  	        6.18589E-14  	        2.01550E-18  	        1.00005E-20  	        5.91951E-20  	        4.70226E-13  	        1.99364E-14  	        4.51582E-16
        6.00000E-03  	        1.39907E+03  	        2.51389E-01  	        1.01325E+05  	        6.92205E-16  	        8.79438E-20  	        8.61330E-10  	        1.57599E-15  	        1.05338E-13  	        8.88360E-12  	        2.20882E-09  	        2.27930E-15  	        1.36086E-11  	        2.02084E-08  	        2.62623E-09  	        3.07216E-10  	        1.50527E-09  	        7.53600E-14  	        2.08977E-18  	        3.00627E-08  	        2.23301E-12  	        1.39009E-14  	        6.21616E-11  	        3.40096E-08  	        1.09024E-11  	        5.33141E-12  	        3.59679E-14  	        1.72890E-09  	        2.12626E-17  	        1.09424E-09  	        6.40033E-09  	        0.00000E+00  	        4.59858E-09  	        4.88219E-12  	        4.45305E-13  	        8.60853E-10  	        2.15102E-08  	        2.84193E-08  	        7.29635E-11  	        4.01684E-08  	        1.82290E-13  	        4.98560E-12  	        7.92269E-09  	        3.31900E-08  	        1.01798E-08  	        1.24563E-08  	        4.01595E-17  	        1.08013E-09  	        3.01454E-11  	        1.63045E-09  	        1.23942E-07  	        4.40043E-12  	        1.62100E-12  	        4.37197E-08  	        3.11134E-10  	        3.16326E-07  	        2.03483E-09  	        2.32911E-01  	        3.61948E-05  	        1.31551E-08  	        0.00000E+00  	        1.97323E-08  	        4.54436E-07  	        9.38737E-08  	        1.15795E-18  	        2.59085E-08  	        7.67051E-01  	        1.98274E-07  	        9.10179E-08  	        1.37386E-08  	        1.44552E-08  	        3.38759E-08  	        3.83647E-08  	        3.05588E-09  	        1.84670E-12  	        8.27310E-16  	        6.82163E-17  	        3.92073E-11  	        2.56928E-14  	        4.12580E-12  	        7.16618E-13  	        4.65033E-18  	        6.05666E-11  	        2.37550E-11  	        4.15036E-09  	        1.35587E-09  	        4.43137E-10  	        1.77668E-09  	        5.95733E-12  	        1.65387E-16  	        5.62801E-12  	        1.54536E-12  	        2.43414E-18  	        2.60307E-12  	        6.07570E-17  	        2.46256E-09  	        3.39759E-12  	        0.00000E+00  	        1.34042E-13  	        1.66608E-15  	        2.47365E-13  	        1.36126E-16  	        4.55502E-16  	        3.35511E-18  	        3.71764E-13  	        1.80044E-17  	        3.24023E-19  	        2.52771E-18  	        1.43519E-12  	        8.04238E-14  	        3.02499E-15
        7.00000E-03  	        1.39884E+03  	        2.51440E-01  	        1.01325E+05  	        1.54674E-15  	        2.28219E-18  	        3.33142E-09  	        4.69301E-15  	        4.38826E-13  	        1.27106E-11  	        6.84161E-09  	        1.09145E-14  	        4.81484E-11  	        4.16528E-08  	        1.03721E-08  	        7.11249E-10  	        4.07418E-09  	        4.62021E-13  	        8.00779E-17  	        9.58759E-08  	        5.51509E-12  	        1.25994E-13  	        1.51338E-10  	        6.32463E-08  	        5.33908E-11  	        2.22255E-11  	        9.06185E-14  	        4.06828E-09  	        1.02226E-16  	        2.02660E-09  	        1.86625E-08  	        1.30635E-22  	        1.24554E-08  	        1.69758E-11  	        1.41613E-12  	        2.19701E-09  	        3.88470E-08  	        5.66979E-08  	        2.67100E-10  	        9.08648E-08  	        7.67586E-13  	        1.59941E-11  	        1.91484E-08  	        7.29879E-08  	        1.71497E-08  	        2.44058E-08  	        3.89838E-16  	        2.93208E-09  	        7.09446E-11  	        3.88827E-09  	        2.73720E-07  	        1.53841E-11  	        6.97128E-12  	        9.03782E-08  	        1.10949E-09  	        8.23898E-07  	        4.88319E-09  	        2.32907E-01  	        4.84255E-05  	        3.35240E-08  	        0.00000E+00  	        4.41190E-08  	        1.06975E-06  	        1.77319E-07  	        2.82496E-17  	        5.94790E-08  	        7.67040E-01  	        3.84383E-07  	        1.96133E-07  	        3.56731E-08  	        2.68836E-08  	        6.83579E-08  	        6.35447E-08  	        5.22956E-09  	        4.03997E-12  	        2.32796E-15  	        2.43334E-16  	        8.04756E-11  	        1.06069E-13  	        1.09119E-11  	        1.01674E-12  	        4.08541E-17  	        1.30387E-10  	        4.01175E-11  	        6.34716E-09  	        2.03718E-09  	        1.23093E-09  	        2.85100E-09  	        9.84747E-12  	        5.32879E-16  	        1.97210E-11  	        4.46415E-12  	        2.17399E-17  	        6.65626E-12  	        1.36148E-16  	        3.66514E-09  	        7.82057E-12  	        0.00000E+00  	        2.71247E-13  	        2.17888E-15  	        5.56592E-13  	        3.52008E-16  	        1.36140E-15  	        1.47988E-17  	        1.52813E-12  	        1.74774E-16  	        4.90520E-18  	        3.50123E-17  	        4.19724E-12  	        2.70884E-13  	        1.46247E-14
        8.00000E-03  	        1.39861E+03  	        2.51488E-01  	        1.01325E+05  	        3.18698E-15  	        1.68716E-17  	        9.08470E-09  	        1.18160E-14  	        1.40846E-12  	        1.76365E-11  	        1.69232E-08  	        3.94953E-14  	        1.29935E-10  	        7.47590E-08  	        3.01407E-08  	        1.38558E-09  	        8.70741E-09  	        1.95816E-12  	        1.06044E-15  	        2.28144E-07  	        1.15052E-11  	        6.86474E-13  	        3.41401E-10  	        9.92255E-08  	        1.86680E-10  	        7.37818E-11  	        1.86209E-13  	        8.11119E-09  	        3.55954E-16  	        3.18105E-09  	        4.00354E-08  	        1.30583E-19  	        2.97695E-08  	        4.42775E-11  	        3.68120E-12  	        3.97940E-09  	        6.44108E-08  	        9.10937E-08  	        7.28614E-10  	        1.66762E-07  	        2.50097E-12  	        4.16896E-11  	        3.83410E-08  	        1.27497E-07  	        2.57735E-08  	        4.65907E-08  	        2.31619E-15  	        6.53425E-09  	        1.39757E-10  	        7.79237E-09  	        4.83330E-07  	        4.40913E-11  	        2.32822E-11  	        1.62299E-07  	        2.86910E-09  	        1.89717E-06  	        9.80181E-09  	        2.32903E-01  	        6.21142E-05  	        7.10334E-08  	        0.00000E+00  	        7.93957E-08  	        2.14402E-06  	        2.90396E-07  	        2.14978E-16  	        1.17112E-07  	        7.67027E-01  	        5.88460E-07  	        3.46377E-07  	        8.30876E-08  	        4.47021E-08  	        1.15851E-07  	        9.46298E-08  	        8.01785E-09  	        8.42985E-12  	        6.09503E-15  	        6.91286E-16  	        1.53499E-10  	        3.75956E-13  	        2.46976E-11  	        1.63773E-12  	        2.63146E-16  	        2.40796E-10  	        7.81373E-11  	        8.87115E-09  	        3.28250E-09  	        2.59262E-09  	        4.33920E-09  	        1.54137E-11  	        1.38185E-15  	        6.40693E-11  	        1.19883E-11  	        9.77371E-17  	        1.81283E-11  	        3.02331E-16  	        4.90391E-09  	        1.58429E-11  	        0.00000E+00  	        4.68985E-13  	        2.73380E-15  	        1.08857E-12  	        7.68143E-16  	        3.08636E-15  	        7.06382E-17  	        5.18218E-12  	        3.90908E-16  	        3.12767E-17  	        1.81577E-16  	        1.14270E-11  	        7.70325E-13  	        5.03421E-14
        9.00000E-03  	        1.39837E+03  	        2.51540E-01  	        1.01325E+05  	        5.81412E-15  	        5.85951E-17  	        1.88381E-08  	        2.41785E-14  	        3.02861E-12  	        2.35861E-11  	        3.39604E-08  	        9.04236E-14  	        2.61951E-10  	        1.21536E-07  	        6.66033E-08  	        2.30939E-09  	        1.55305E-08  	        4.98580E-12  	        6.49753E-15  	        4.01697E-07  	        1.97586E-11  	        2.36918E-12  	        6.20840E-10  	        1.43536E-07  	        4.66108E-10  	        1.84931E-10  	        3.00388E-13  	        1.37740E-08  	        9.76861E-16  	        4.43442E-09  	        6.32671E-08  	        4.97943E-18  	        6.01671E-08  	        8.04830E-11  	        7.63198E-12  	        5.72465E-09  	        1.03032E-07  	        1.30194E-07  	        1.55237E-09  	        2.63566E-07  	        5.81766E-12  	        8.19261E-11  	        6.71280E-08  	        1.84777E-07  	        3.55920E-08  	        8.19132E-08  	        8.77688E-15  	        1.20678E-08  	        2.21618E-10  	        1.21964E-08  	        7.30247E-07  	        9.37796E-11  	        5.93245E-11  	        2.51398E-07  	        5.86199E-09  	        3.82351E-06  	        1.71620E-08  	        2.32896E-01  	        7.76897E-05  	        1.31957E-07  	        0.00000E+00  	        1.22576E-07  	        3.88430E-06  	        4.16994E-07  	        8.90313E-16  	        2.06007E-07  	        7.67012E-01  	        8.21645E-07  	        5.27624E-07  	        1.61020E-07  	        6.80936E-08  	        1.73592E-07  	        1.35867E-07  	        1.13549E-08  	        1.43023E-11  	        1.16644E-14  	        1.46224E-15  	        2.43163E-10  	        9.14064E-13  	        4.39052E-11  	        2.84157E-12  	        9.60613E-16  	        3.46942E-10  	        1.58756E-10  	        1.14585E-08  	        5.75911E-09  	        4.55195E-09  	        6.28218E-09  	        2.28908E-11  	        2.71308E-15  	        1.76357E-10  	        2.78466E-11  	        2.45137E-16  	        4.28195E-11  	        6.11994E-16  	        6.04401E-09  	        2.47717E-11  	        0.00000E+00  	        7.17856E-13  	        3.32751E-15  	        1.69915E-12  	        1.29374E-15  	        4.96379E-15  	        4.17207E-17  	        1.39257E-11  	        2.22030E-15  	        1.16941E-16  	        4.71528E-16  	        2.59669E-11  	        1.72058E-12  	        1.17039E-13
        1.01000E-02  	        1.39811E+03  	        2.51594E-01  	        1.01325E+05  	        9.92203E-15  	        1.51231E-16  	        3.41349E-08  	        4.60250E-14  	        5.29120E-12  	        3.08532E-11  	        6.06172E-08  	        1.62228E-13  	        4.54790E-10  	        1.89900E-07  	        1.28102E-07  	        3.59220E-09  	        2.55653E-08  	        9.59337E-12  	        2.59931E-14  	        5.90949E-07  	        3.03943E-11  	        6.32193E-12  	        1.00693E-09  	        2.07441E-07  	        9.37444E-10  	        3.97730E-10  	        4.54926E-13  	        2.20017E-08  	        2.44350E-15  	        5.79989E-09  	        8.51832E-08  	        3.96336E-17  	        1.14409E-07  	        1.24664E-10  	        1.44896E-11  	        7.82130E-09  	        1.65124E-07  	        1.84891E-07  	        2.97744E-09  	        3.85486E-07  	        1.13501E-11  	        1.38622E-10  	        1.11915E-07  	        2.42113E-07  	        4.75162E-08  	        1.36342E-07  	        2.70488E-14  	        2.06250E-08  	        3.28020E-10  	        1.63981E-08  	        1.02667E-06  	        1.75007E-10  	        1.31593E-10  	        3.60388E-07  	        1.07964E-08  	        7.13815E-06  	        2.86910E-08  	        2.32887E-01  	        9.75314E-05  	        2.33903E-07  	        0.00000E+00  	        1.75675E-07  	        6.86856E-06  	        5.68357E-07  	        2.75877E-15  	        3.47896E-07  	        7.66993E-01  	        1.12956E-06  	        7.51087E-07  	        2.82883E-07  	        1.00127E-07  	        2.51271E-07  	        2.00921E-07  	        1.55894E-08  	        2.15414E-11  	        1.60733E-14  	        2.72405E-15  	        3.25566E-10  	        1.75164E-12  	        6.68321E-11  	        5.15048E-12  	        2.61850E-15  	        4.15847E-10  	        3.30204E-10  	        1.42463E-08  	        1.05216E-08  	        7.35240E-09  	        8.90175E-09  	        3.30180E-11  	        4.74076E-15  	        4.34832E-10  	        6.16231E-11  	        4.53588E-16  	        8.58095E-11  	        1.15381E-15  	        7.27721E-09  	        3.37020E-11  	        0.00000E+00  	        1.03085E-12  	        3.93435E-15  	        2.36456E-12  	        1.91822E-15  	        6.63729E-15  	        2.02165E-16  	        3.19152E-11  	        2.32959E-15  	        3.39558E-16  	        9.11073E-16  	        5.07716E-11  	        3.20216E-12  	        2.06968E-13
