           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        3.3913E-195  	        6.7591E-208  	        1.8624E-199  	        5.0492E-196  	        6.5919E-188  	        0.00000E+00  	        8.2151E-197  	        9.7801E-182  	        1.3523E-183  	        1.6347E-184  	        9.7284E-191  	        8.1270E-195  	        0.00000E+00  	        4.3749E-183  	        4.1609E-188  	        0.00000E+00  	        1.8154E-186  	        7.1379E-182  	        3.2341E-186  	        6.3856E-197  	        1.9813E-199  	        4.5814E-185  	        0.00000E+00  	        2.2132E-194  	        3.5265E-183  	        0.00000E+00  	        1.91561E-14  	        3.4091E-187  	        6.6679E-195  	        2.9259E-184  	        2.5975E-182  	        9.0158E-183  	        2.3387E-189  	        4.7843E-186  	        0.00000E+00  	        3.4527E-187  	        2.6162E-183  	        1.6483E-182  	        9.9476E-184  	        2.7449E-179  	        0.00000E+00  	        2.2688E-187  	        2.7334E-186  	        4.1984E-183  	        5.6760E-185  	        1.0990E-185  	        3.1966E-195  	        1.1800E-181  	        5.5338E-209  	        2.6801E-180  	        1.2889E-186  	        1.82829E-03  	        4.3842E-176  	        4.7299E-185  	        0.00000E+00  	        4.3215E-182  	        1.2459E-179  	        4.0559E-180  	        0.00000E+00  	        1.2878E-184  	        6.87641E-03  	        1.4548E-184  	        6.5412E-181  	        2.0490E-182  	        4.2739E-182  	        1.5860E-183  	        3.5366E-181  	        4.4292E-182  	        3.9238E-187  	        0.00000E+00  	        0.00000E+00  	        3.7539E-186  	        5.3903E-210  	        2.5928E-199  	        1.5710E-195  	        0.00000E+00  	        1.4494E-187  	        5.70794E-15  	        1.8370E-180  	        3.5959E-181  	        1.2574E-188  	        4.5626E-181  	        2.4952E-184  	        0.00000E+00  	        2.4970E-200  	        5.6947E-190  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.3668E-181  	        3.7805E-188  	        0.00000E+00  	        1.5010E-206  	        0.00000E+00  	        1.6670E-197  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.1449E-197  	        3.7506E-209  	        0.00000E+00
        2.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.0508E-198  	        0.00000E+00  	        7.5901E-183  	        1.8422E-186  	        4.0926E-184  	        1.2883E-182  	        9.7870E-180  	        3.3009E-188  	        4.7454E-183  	        1.3621E-175  	        8.7178E-174  	        1.0784E-174  	        1.9175E-181  	        3.8362E-182  	        0.00000E+00  	        1.1955E-172  	        1.2634E-180  	        0.00000E+00  	        8.2301E-178  	        2.3526E-173  	        4.7457E-177  	        1.7779E-183  	        8.3636E-184  	        5.3662E-177  	        0.00000E+00  	        1.6386E-182  	        8.3962E-173  	        0.00000E+00  	        3.39573E-14  	        6.8987E-179  	        7.1944E-183  	        1.9564E-174  	        3.3512E-172  	        3.9450E-173  	        4.8958E-180  	        1.6307E-177  	        1.9782E-188  	        1.0806E-178  	        4.3256E-174  	        4.8346E-172  	        8.8400E-175  	        8.3382E-170  	        0.00000E+00  	        1.0529E-178  	        1.4211E-177  	        5.7974E-174  	        1.1388E-176  	        2.1768E-177  	        2.3813E-183  	        2.3254E-172  	        7.9518E-187  	        6.0241E-171  	        1.6582E-177  	        1.82829E-03  	        1.8806E-165  	        3.5459E-177  	        0.00000E+00  	        3.8771E-174  	        2.8721E-170  	        5.6104E-171  	        0.00000E+00  	        3.3870E-177  	        6.87641E-03  	        1.0874E-175  	        2.7568E-172  	        5.5665E-172  	        5.6185E-176  	        2.9584E-175  	        2.8301E-172  	        5.5780E-176  	        5.2626E-178  	        0.00000E+00  	        1.1401E-200  	        4.0315E-177  	        3.9712E-187  	        5.4501E-183  	        1.3950E-182  	        0.00000E+00  	        5.2256E-179  	        1.00935E-14  	        1.0522E-171  	        1.4449E-172  	        5.8156E-181  	        1.6363E-172  	        5.8776E-176  	        0.00000E+00  	        1.4262E-184  	        5.0971E-181  	        0.00000E+00  	        1.2056E-187  	        0.00000E+00  	        1.0662E-172  	        7.6693E-181  	        0.00000E+00  	        2.5208E-186  	        7.2538E-190  	        3.6040E-184  	        4.2249E-203  	        2.2745E-198  	        0.00000E+00  	        7.7090E-204  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        4.4837E-184  	        1.5898E-186  	        0.00000E+00
        3.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        9.7484E-183  	        0.00000E+00  	        2.2097E-176  	        2.1123E-179  	        5.6616E-178  	        2.7339E-178  	        6.2727E-172  	        1.5522E-180  	        8.4511E-176  	        1.1876E-172  	        1.6523E-167  	        2.3604E-167  	        8.6066E-176  	        1.8412E-177  	        0.00000E+00  	        1.2558E-164  	        1.4878E-174  	        4.3713E-191  	        1.0170E-171  	        1.7750E-165  	        7.1819E-171  	        2.0980E-177  	        4.7974E-178  	        6.4097E-169  	        4.7080E-190  	        9.8643E-177  	        6.9546E-165  	        0.00000E+00  	        5.10481E-14  	        1.3744E-172  	        6.6483E-177  	        4.0439E-168  	        9.5230E-165  	        2.3105E-165  	        1.8921E-173  	        1.2728E-168  	        8.8947E-181  	        9.0276E-173  	        1.5453E-166  	        8.2029E-164  	        1.5406E-168  	        6.8170E-162  	        0.00000E+00  	        1.9077E-172  	        2.3029E-171  	        6.9129E-167  	        5.1509E-168  	        4.5840E-171  	        1.2775E-178  	        4.8045E-164  	        1.2144E-178  	        4.6591E-163  	        7.2571E-170  	        1.82829E-03  	        3.9628E-156  	        1.6328E-169  	        0.00000E+00  	        5.4398E-167  	        4.8463E-162  	        3.2444E-163  	        0.00000E+00  	        3.5066E-171  	        6.87641E-03  	        5.6211E-167  	        8.4023E-166  	        1.2301E-163  	        6.0531E-173  	        2.9687E-167  	        1.7396E-164  	        3.1280E-173  	        6.6784E-175  	        9.8092E-203  	        7.4962E-183  	        3.5620E-171  	        1.9917E-180  	        2.8276E-176  	        3.1803E-179  	        5.5538E-198  	        1.1691E-172  	        1.51340E-14  	        4.9251E-165  	        1.6161E-166  	        5.4936E-175  	        1.5281E-166  	        3.3625E-168  	        2.2917E-186  	        1.1213E-178  	        4.5844E-175  	        0.00000E+00  	        1.2129E-180  	        1.3365E-186  	        2.4139E-166  	        3.0062E-175  	        0.00000E+00  	        1.0906E-180  	        9.9454E-182  	        8.9712E-180  	        4.4924E-184  	        4.2184E-183  	        0.00000E+00  	        1.6404E-183  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.2751E-178  	        2.6912E-180  	        6.9941E-192
        4.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.2080E-179  	        2.9547E-198  	        1.5284E-171  	        1.7258E-174  	        3.1009E-172  	        1.7203E-175  	        2.9660E-166  	        7.4105E-177  	        4.3574E-170  	        7.1072E-171  	        2.2078E-161  	        8.9228E-162  	        2.0773E-172  	        9.8136E-176  	        0.00000E+00  	        3.4519E-159  	        2.5512E-169  	        3.2462E-181  	        2.1713E-165  	        2.4839E-160  	        1.0154E-164  	        1.6496E-171  	        4.9803E-173  	        2.4338E-164  	        1.8104E-180  	        4.0794E-171  	        1.0745E-159  	        0.00000E+00  	        6.77480E-14  	        1.0356E-166  	        4.6650E-172  	        1.9059E-162  	        3.7945E-159  	        2.3697E-160  	        1.4308E-167  	        1.1415E-162  	        4.7253E-176  	        1.8211E-166  	        4.1098E-161  	        1.2400E-158  	        3.9897E-163  	        5.4778E-156  	        6.3205E-188  	        1.7943E-167  	        2.6250E-165  	        3.0725E-161  	        4.0492E-162  	        1.3187E-165  	        9.7398E-173  	        1.6511E-158  	        4.8311E-172  	        1.3481E-157  	        9.1843E-165  	        1.82829E-03  	        2.2240E-149  	        1.4283E-164  	        0.00000E+00  	        9.4057E-162  	        6.8241E-157  	        4.8830E-158  	        0.00000E+00  	        4.0113E-167  	        6.87641E-03  	        1.1730E-160  	        3.5380E-160  	        1.1370E-157  	        3.7313E-171  	        6.3440E-162  	        5.7462E-159  	        1.6035E-171  	        4.5199E-173  	        1.8452E-183  	        2.5874E-179  	        6.7642E-166  	        2.0159E-176  	        4.7636E-171  	        1.4278E-176  	        4.6746E-183  	        2.5415E-167  	        2.00385E-14  	        4.6267E-159  	        2.4777E-160  	        1.5715E-169  	        6.2375E-160  	        4.3287E-164  	        4.1212E-180  	        5.5497E-173  	        1.6758E-170  	        6.8271E-190  	        4.0238E-175  	        1.8367E-180  	        3.9673E-160  	        1.1261E-171  	        0.00000E+00  	        1.4266E-178  	        1.6596E-179  	        6.4620E-176  	        6.2660E-180  	        2.5999E-179  	        2.4191E-188  	        1.8015E-179  	        1.9314E-197  	        0.00000E+00  	        9.1380E-189  	        3.0722E-173  	        5.1372E-176  	        6.9655E-181
        5.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.0842E-177  	        4.6638E-182  	        3.2888E-167  	        2.4862E-171  	        6.4355E-168  	        1.4668E-173  	        4.8588E-161  	        2.4143E-173  	        5.4916E-165  	        6.7675E-169  	        7.0913E-157  	        1.8704E-156  	        1.1833E-169  	        8.5049E-172  	        1.0044E-191  	        1.0830E-153  	        3.3599E-165  	        4.8133E-178  	        3.6418E-161  	        1.3641E-154  	        5.5611E-161  	        9.8460E-167  	        2.9456E-170  	        1.3045E-159  	        4.8724E-178  	        1.1830E-165  	        5.6844E-154  	        0.00000E+00  	        8.37902E-14  	        4.8833E-162  	        5.3098E-169  	        6.3567E-158  	        3.0338E-154  	        8.9280E-155  	        1.4795E-162  	        3.4591E-158  	        9.4221E-172  	        4.6835E-162  	        1.0951E-155  	        3.8946E-153  	        4.0833E-159  	        3.4776E-151  	        7.7081E-180  	        1.3738E-164  	        6.7402E-161  	        5.5190E-156  	        2.7017E-157  	        1.1874E-160  	        2.2653E-168  	        3.2849E-153  	        4.1242E-167  	        4.5784E-152  	        2.4874E-161  	        1.82829E-03  	        1.3608E-144  	        3.7901E-161  	        0.00000E+00  	        3.1452E-156  	        9.4780E-151  	        2.1050E-152  	        2.3339E-197  	        2.4689E-164  	        6.87641E-03  	        2.2227E-156  	        1.4815E-154  	        1.0799E-152  	        7.9278E-170  	        1.8182E-156  	        1.1093E-153  	        6.9048E-170  	        4.2454E-171  	        7.2875E-179  	        7.1126E-175  	        2.6088E-161  	        3.3277E-173  	        1.0522E-166  	        3.6832E-174  	        2.2852E-179  	        3.8888E-163  	        2.47324E-14  	        1.2731E-154  	        6.0101E-156  	        2.2331E-165  	        9.4867E-156  	        6.6473E-160  	        2.8804E-176  	        4.3192E-168  	        2.2748E-167  	        1.3725E-180  	        3.3626E-170  	        8.1601E-179  	        7.4424E-156  	        3.2758E-168  	        0.00000E+00  	        4.1964E-176  	        5.5166E-178  	        9.3476E-173  	        6.9914E-178  	        1.0292E-175  	        9.8306E-181  	        5.5139E-175  	        1.0271E-182  	        0.00000E+00  	        2.2329E-180  	        2.1742E-168  	        4.1345E-172  	        6.0891E-177
        6.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.5293E-175  	        1.7208E-178  	        1.6423E-163  	        6.1512E-168  	        6.4129E-164  	        2.3886E-172  	        5.0749E-155  	        6.7700E-170  	        8.4562E-161  	        1.5435E-166  	        1.6600E-152  	        1.5508E-151  	        1.7269E-166  	        3.5109E-168  	        5.2376E-180  	        6.1263E-148  	        9.9872E-162  	        2.5667E-174  	        4.6017E-157  	        3.1180E-149  	        1.7411E-157  	        6.1361E-162  	        1.1273E-166  	        5.5006E-155  	        7.7940E-176  	        1.5969E-161  	        2.0541E-148  	        0.00000E+00  	        1.02728E-13  	        8.3397E-158  	        1.4297E-165  	        2.1600E-153  	        1.6005E-149  	        1.1564E-149  	        3.2211E-158  	        2.5471E-151  	        3.8472E-168  	        5.8526E-158  	        4.3191E-151  	        2.7231E-147  	        1.6399E-155  	        1.7457E-146  	        4.5028E-176  	        9.7658E-162  	        6.7344E-157  	        1.8549E-151  	        4.4668E-151  	        2.0411E-156  	        8.5635E-164  	        2.5183E-147  	        2.4603E-161  	        2.8605E-146  	        4.7246E-158  	        1.82829E-03  	        2.9180E-138  	        7.5848E-158  	        0.00000E+00  	        2.4422E-150  	        1.4944E-145  	        9.5902E-147  	        1.7130E-180  	        3.3444E-162  	        6.87641E-03  	        4.8835E-150  	        1.8298E-149  	        1.5003E-146  	        2.5963E-168  	        1.2099E-150  	        5.1762E-149  	        1.3144E-168  	        9.2192E-168  	        2.1611E-175  	        3.7522E-171  	        2.2269E-157  	        1.4161E-169  	        2.3437E-162  	        7.2881E-171  	        4.7410E-177  	        3.7528E-159  	        3.02533E-14  	        6.9400E-150  	        3.4929E-151  	        2.1333E-160  	        3.7240E-151  	        4.1321E-156  	        1.6616E-172  	        3.6285E-163  	        1.5119E-163  	        1.7450E-176  	        5.2977E-165  	        8.2261E-177  	        3.9900E-151  	        6.3706E-165  	        0.00000E+00  	        2.7842E-173  	        2.7126E-175  	        3.4612E-169  	        4.4674E-175  	        2.9997E-172  	        1.6745E-178  	        9.6907E-170  	        8.6390E-179  	        0.00000E+00  	        8.5784E-178  	        1.1074E-163  	        9.2438E-169  	        3.1785E-172
        7.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        5.5901E-173  	        8.1431E-175  	        9.2474E-160  	        3.3721E-165  	        3.6506E-160  	        8.6910E-171  	        3.1228E-150  	        4.3089E-166  	        8.6406E-156  	        1.5750E-164  	        5.9841E-149  	        4.8158E-147  	        2.1313E-163  	        1.6090E-164  	        1.6375E-174  	        3.5318E-143  	        1.8479E-158  	        6.5063E-171  	        2.2873E-153  	        9.7879E-145  	        5.8041E-154  	        3.6209E-157  	        2.3323E-163  	        3.9760E-151  	        2.2370E-173  	        7.1765E-157  	        1.4693E-143  	        1.0570E-197  	        1.22812E-13  	        1.9426E-154  	        3.2195E-162  	        1.1400E-149  	        1.2978E-145  	        3.3649E-145  	        9.6359E-154  	        3.1874E-146  	        1.8536E-164  	        1.5003E-154  	        9.6870E-147  	        8.9336E-143  	        8.9695E-152  	        3.8523E-142  	        2.3128E-172  	        2.7228E-159  	        1.7780E-153  	        4.1110E-147  	        6.3663E-146  	        9.7090E-153  	        9.6026E-160  	        1.8067E-142  	        2.4343E-155  	        3.2473E-141  	        1.0032E-155  	        1.82829E-03  	        8.7454E-133  	        3.6018E-155  	        0.00000E+00  	        3.4182E-145  	        1.0216E-140  	        8.9964E-142  	        1.6822E-174  	        2.6802E-160  	        6.87641E-03  	        2.8161E-144  	        3.7547E-144  	        1.8908E-141  	        3.7452E-167  	        3.3006E-146  	        9.9894E-145  	        1.7459E-167  	        3.6500E-164  	        5.2183E-172  	        1.0972E-167  	        6.4994E-154  	        3.5241E-166  	        6.2980E-159  	        5.2730E-168  	        1.7180E-171  	        6.4546E-155  	        3.60861E-14  	        1.0988E-145  	        1.6291E-147  	        1.3496E-155  	        1.7745E-147  	        9.1101E-153  	        3.4723E-169  	        9.2703E-159  	        2.0942E-160  	        4.2187E-172  	        3.3670E-161  	        1.9465E-174  	        3.0918E-147  	        1.5248E-161  	        0.00000E+00  	        1.2765E-170  	        7.4673E-173  	        3.7288E-166  	        3.3212E-172  	        3.7580E-169  	        7.8239E-177  	        5.0801E-165  	        1.5887E-176  	        0.00000E+00  	        3.1414E-173  	        1.0590E-159  	        6.6987E-165  	        2.4766E-168
        8.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.0729E-170  	        6.5472E-171  	        1.2586E-156  	        7.0423E-163  	        3.5891E-156  	        7.5439E-170  	        2.4277E-145  	        6.1865E-163  	        1.3135E-151  	        6.2731E-163  	        3.7404E-145  	        7.8615E-143  	        6.8695E-161  	        6.5375E-161  	        1.8383E-169  	        9.7713E-139  	        2.3176E-155  	        8.9500E-168  	        2.1106E-150  	        1.6848E-140  	        5.1401E-150  	        2.5062E-153  	        5.8973E-161  	        1.1138E-147  	        1.2879E-171  	        5.8515E-153  	        4.2133E-139  	        1.3948E-180  	        1.44032E-13  	        5.8084E-151  	        1.1629E-159  	        5.3304E-146  	        7.3896E-142  	        2.8005E-141  	        1.3111E-149  	        2.3123E-141  	        3.3999E-161  	        1.0478E-150  	        3.2461E-143  	        3.9101E-138  	        2.7392E-148  	        2.0096E-138  	        1.7513E-168  	        4.4924E-157  	        3.0682E-150  	        1.4378E-143  	        2.1819E-141  	        4.3537E-149  	        6.4599E-156  	        5.8161E-138  	        2.1213E-150  	        1.6002E-136  	        3.5138E-154  	        1.82829E-03  	        8.0678E-128  	        4.8892E-154  	        0.00000E+00  	        1.5558E-140  	        2.6772E-136  	        2.1289E-137  	        1.4776E-170  	        1.9947E-158  	        6.87641E-03  	        1.1235E-139  	        1.2934E-139  	        8.5906E-137  	        1.2060E-165  	        1.7358E-141  	        5.5069E-141  	        3.4025E-166  	        6.9933E-161  	        1.2195E-168  	        1.3416E-164  	        4.2033E-150  	        6.4258E-163  	        1.3821E-155  	        7.0451E-165  	        6.9492E-168  	        1.8400E-151  	        4.22257E-14  	        3.7568E-142  	        1.3419E-143  	        1.0313E-150  	        7.3203E-144  	        6.6450E-149  	        1.4605E-166  	        1.2489E-154  	        5.4697E-157  	        3.1329E-168  	        6.7201E-158  	        4.3095E-172  	        1.5603E-143  	        2.4345E-158  	        0.00000E+00  	        3.2496E-168  	        1.3014E-170  	        4.1455E-163  	        4.6504E-170  	        2.2147E-166  	        1.2696E-171  	        5.4443E-161  	        8.4186E-174  	        6.2832E-182  	        2.3298E-169  	        4.4047E-156  	        2.0113E-161  	        6.5715E-165
        9.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.8965E-169  	        5.5376E-168  	        1.5756E-153  	        4.6778E-161  	        1.6485E-152  	        7.6433E-169  	        5.1304E-141  	        1.3082E-159  	        1.9173E-148  	        2.1400E-161  	        2.7155E-141  	        3.9718E-139  	        1.4805E-158  	        9.2360E-158  	        4.4595E-165  	        2.0228E-134  	        4.1666E-152  	        2.5667E-165  	        5.7542E-147  	        7.5398E-137  	        3.7096E-146  	        1.2716E-149  	        1.0409E-158  	        5.6110E-144  	        8.2975E-170  	        2.9722E-149  	        7.3467E-135  	        6.0501E-175  	        1.66375E-13  	        6.8935E-148  	        2.5208E-157  	        2.8360E-142  	        1.6148E-138  	        1.2854E-137  	        1.4269E-145  	        5.7569E-137  	        7.0620E-158  	        1.0937E-147  	        2.3835E-139  	        4.5302E-134  	        3.8299E-145  	        1.4460E-134  	        4.9711E-165  	        3.6095E-155  	        6.0411E-147  	        7.5168E-140  	        3.1307E-137  	        1.6789E-145  	        2.6494E-152  	        8.5146E-134  	        6.4169E-146  	        3.4143E-132  	        1.5088E-152  	        1.82829E-03  	        3.2248E-123  	        2.4262E-152  	        0.00000E+00  	        3.3942E-136  	        6.5570E-132  	        5.4891E-133  	        6.3665E-167  	        3.1806E-157  	        6.87641E-03  	        4.1044E-135  	        3.3773E-135  	        1.7603E-132  	        2.8648E-164  	        1.6786E-137  	        8.1040E-138  	        3.4253E-165  	        1.6478E-157  	        1.5977E-165  	        4.9417E-162  	        6.7065E-147  	        1.0184E-159  	        1.5177E-152  	        3.9743E-162  	        2.2835E-164  	        1.9897E-148  	        4.86653E-14  	        2.1998E-138  	        5.1166E-140  	        1.6727E-146  	        2.1533E-140  	        6.6517E-146  	        3.8234E-164  	        4.2279E-151  	        1.2317E-153  	        6.0501E-165  	        1.3327E-154  	        1.4292E-169  	        5.1482E-140  	        1.9958E-155  	        0.00000E+00  	        6.2396E-166  	        1.4240E-168  	        1.5635E-160  	        8.6275E-168  	        3.9482E-164  	        3.2531E-171  	        1.1498E-157  	        1.7097E-170  	        1.8610E-175  	        6.0754E-166  	        2.9899E-152  	        3.0211E-158  	        2.1421E-161
        1.01000E-02  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        5.5344E-167  	        1.6763E-165  	        9.3086E-150  	        5.3404E-159  	        4.6723E-149  	        1.6233E-167  	        1.3607E-136  	        4.0524E-156  	        1.0744E-144  	        1.9066E-160  	        1.8277E-137  	        5.4091E-135  	        4.8987E-156  	        3.0417E-154  	        3.9505E-161  	        6.2456E-130  	        6.8597E-149  	        6.8213E-163  	        1.9864E-143  	        1.1304E-132  	        5.1428E-142  	        1.8034E-145  	        1.1684E-156  	        1.3404E-140  	        6.7119E-168  	        1.1077E-145  	        2.2178E-130  	        1.0986E-170  	        1.92225E-13  	        6.7533E-144  	        3.6271E-155  	        2.1499E-138  	        5.6199E-135  	        1.1588E-133  	        1.0970E-141  	        2.8849E-132  	        2.3610E-154  	        4.7804E-144  	        1.2240E-135  	        8.7726E-130  	        1.2223E-141  	        1.1537E-130  	        1.3860E-161  	        1.1290E-153  	        7.6500E-144  	        6.6063E-136  	        5.2529E-133  	        4.4670E-142  	        3.6100E-148  	        2.0743E-129  	        2.1060E-141  	        1.6212E-127  	        1.0507E-150  	        1.82829E-03  	        1.8695E-118  	        1.6819E-150  	        0.00000E+00  	        1.3762E-131  	        2.1879E-127  	        1.3883E-128  	        3.3706E-163  	        1.1453E-155  	        6.87641E-03  	        1.7656E-130  	        1.2394E-130  	        8.9790E-128  	        1.5865E-162  	        2.7683E-133  	        3.6291E-134  	        4.9298E-164  	        6.0094E-154  	        8.2249E-163  	        1.4771E-159  	        2.4411E-143  	        1.5267E-156  	        9.1279E-149  	        4.8660E-159  	        5.1603E-161  	        6.9943E-145  	        5.60859E-14  	        1.7032E-134  	        2.1436E-136  	        2.1018E-142  	        1.2229E-136  	        1.4809E-142  	        1.2179E-161  	        8.0466E-147  	        1.0932E-150  	        2.1713E-162  	        3.1339E-151  	        1.8063E-167  	        3.9845E-136  	        2.9419E-152  	        0.00000E+00  	        8.3821E-164  	        1.0827E-166  	        7.1024E-158  	        9.1476E-166  	        1.4533E-161  	        2.1358E-168  	        1.6402E-153  	        1.6062E-169  	        2.3199E-174  	        8.7334E-164  	        2.6317E-148  	        1.3552E-154  	        1.5414E-157
