           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolX_C2H5O  	            VolX_CH  	          VolX_H2O2  	     VolX_CH2CH2CHO  	         VolX_T-CH2  	      VolX_C6H5OCH2  	         VolX_CH3OH  	         VolX_S-CH2  	          VolX_HCCO  	        VolX_C3H6O2  	          VolX_C5H6  	        VolX_P-C3H4  	     VolX_C5H5CH3-1  	         VolX_CH2OH  	        VolX_IXC4H7  	         VolX_CH2CO  	          VolX_CH3O  	VolX_CH2CCHCH2CHCH2  	        VolX_CH2CHO  	          VolX_C2H6  	        VolX_A-C3H5  	          VolX_C3H6  	        VolX_C2H5CO  	        VolX_CHOCHO  	        VolX_ACETOL  	         VolX_C4H3O  	          VolX_C2H2  	       VolX_IC5H9OH  	             VolX_O  	          VolX_C2H3  	      VolX_CH3CHCHO  	          VolX_C3H3  	          VolX_C5H5  	       VolX_C2H3CHO  	       VolX_CH3CHCO  	        VolX_C2H5OH  	       VolX_CH3CHOH  	           VolX_HCO  	        VolX_CH3CHO  	           VolX_HO2  	           VolX_A1O  	        VolX_C6H5OH  	        VolX_IXC4H8  	        VolX_C3H4O3  	          VolX_C2H5  	           VolX_CH3  	       VolX_CH3CO2H  	             VolX_H  	         VolX_A1CH3  	          VolX_CH2O  	        VolX_CC4H4O  	            VolX_CO  	        VolX_C6H8O4  	            VolX_O2  	           VolX_H2O  	        VolX_C6H6O3  	            VolX_AR  	            VolX_H2  	           VolX_CO2  	          VolX_C2H4  	          VolX_C5H8  	       VolX_C6H10O5  	            VolX_N2  	      VolX_FURFURAL  	           VolX_CH4  	            VolX_OH  	      VolX_C6H5OCH3  	          VolX_C6H6  	       VolX_C2H5CHO  	      VolX_OC8H7OOH  	           VolX_A1-  	          VolX_N2H2  	           VolX_NNH  	           VolX_NH2  	            VolX_NH  	           VolX_HNO  	          VolX_HONO  	             VolX_N  	          VolX_H2NO  	           VolX_N2O  	           VolX_NH3  	            VolX_NO  	           VolX_NO2  	           VolX_HCN  	           VolX_HNC  	            VolX_CN  	          VolX_HNCO  	           VolX_NCO  	           VolX_NCN  	        VolX_CH3NH2  	          VolX_H2CN  	         VolX_C5H5N  	         VolX_C5H4N  	        VolX_C5H5NO  	        VolX_C5H4NO  	       VolX_C5H4NO2  	        VolX_PYRLYL  	      VolX_BNC4H4CO  	        VolX_C4H4CN  	        VolX_CHCHCN  	         VolX_C4H5N  	       VolX_CH2CHCN  	          VolX_C2N2  	          VolX_HNCN  	          VolX_HOCN  	         VolX_CH3CN  	         VolX_CH2CN
        1.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        3.8959E-193  	        7.7648E-206  	        2.1395E-197  	        5.8006E-194  	        7.5728E-186  	        0.00000E+00  	        9.4376E-195  	        1.1235E-179  	        1.5536E-181  	        1.8780E-182  	        1.1176E-188  	        9.3364E-193  	        0.00000E+00  	        5.0259E-181  	        4.7801E-186  	        0.00000E+00  	        2.0856E-184  	        8.2000E-180  	        3.7153E-184  	        7.3358E-195  	        2.2762E-197  	        5.2631E-183  	        0.00000E+00  	        2.5425E-192  	        4.0513E-181  	        0.00000E+00  	        2.20066E-12  	        3.9164E-185  	        7.6601E-193  	        3.3613E-182  	        2.9840E-180  	        1.0357E-180  	        2.6867E-187  	        5.4962E-184  	        0.00000E+00  	        3.9664E-185  	        3.0055E-181  	        1.8936E-180  	        1.1428E-181  	        3.1534E-177  	        0.00000E+00  	        2.6064E-185  	        3.1401E-184  	        4.8232E-181  	        6.5206E-183  	        1.2625E-183  	        3.6723E-193  	        1.3556E-179  	        6.3573E-207  	        3.0789E-178  	        1.4807E-184  	        2.10035E-01  	        5.0366E-174  	        5.4337E-183  	        0.00000E+00  	        4.9645E-180  	        1.4313E-177  	        4.6594E-178  	        0.00000E+00  	        1.4794E-182  	        7.89965E-01  	        1.6713E-182  	        7.5146E-179  	        2.3539E-180  	        4.9099E-180  	        1.8220E-181  	        4.0629E-179  	        5.0883E-180  	        4.5076E-185  	        0.00000E+00  	        0.00000E+00  	        4.3125E-184  	        6.1924E-208  	        2.9786E-197  	        1.8048E-193  	        0.00000E+00  	        1.6651E-185  	        6.55731E-13  	        2.1104E-178  	        4.1310E-179  	        1.4446E-186  	        5.2415E-179  	        2.8665E-182  	        0.00000E+00  	        2.8685E-198  	        6.5420E-188  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.7190E-179  	        4.3430E-186  	        0.00000E+00  	        1.7244E-204  	        0.00000E+00  	        1.9151E-195  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.3153E-195  	        4.3087E-207  	        0.00000E+00
        2.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.2071E-196  	        0.00000E+00  	        8.7196E-181  	        2.1164E-184  	        4.7016E-182  	        1.4800E-180  	        1.1243E-177  	        3.7920E-186  	        5.4515E-181  	        1.5648E-173  	        1.0015E-171  	        1.2388E-172  	        2.2028E-179  	        4.4070E-180  	        0.00000E+00  	        1.3734E-170  	        1.4514E-178  	        0.00000E+00  	        9.4547E-176  	        2.7027E-171  	        5.4519E-175  	        2.0424E-181  	        9.6082E-182  	        6.1647E-175  	        0.00000E+00  	        1.8824E-180  	        9.6455E-171  	        0.00000E+00  	        3.90102E-12  	        7.9253E-177  	        8.2649E-181  	        2.2475E-172  	        3.8498E-170  	        4.5321E-171  	        5.6243E-178  	        1.8734E-175  	        2.2725E-186  	        1.2414E-176  	        4.9692E-172  	        5.5541E-170  	        1.0155E-172  	        9.5790E-168  	        0.00000E+00  	        1.2095E-176  	        1.6325E-175  	        6.6600E-172  	        1.3083E-174  	        2.5007E-175  	        2.7356E-181  	        2.6714E-170  	        9.1350E-185  	        6.9205E-169  	        1.9049E-175  	        2.10035E-01  	        2.1604E-163  	        4.0736E-175  	        0.00000E+00  	        4.4541E-172  	        3.2995E-168  	        6.4452E-169  	        0.00000E+00  	        3.8910E-175  	        7.89965E-01  	        1.2492E-173  	        3.1670E-170  	        6.3948E-170  	        6.4546E-174  	        3.3987E-173  	        3.2513E-170  	        6.4080E-174  	        6.0457E-176  	        0.00000E+00  	        1.3098E-198  	        4.6314E-175  	        4.5622E-185  	        6.2611E-181  	        1.6025E-180  	        0.00000E+00  	        6.0032E-177  	        1.15954E-12  	        1.2087E-169  	        1.6599E-170  	        6.6810E-179  	        1.8798E-170  	        6.7522E-174  	        0.00000E+00  	        1.6384E-182  	        5.8556E-179  	        0.00000E+00  	        1.3850E-185  	        0.00000E+00  	        1.2249E-170  	        8.8106E-179  	        0.00000E+00  	        2.8959E-184  	        8.3332E-188  	        4.1403E-182  	        4.8535E-201  	        2.6129E-196  	        0.00000E+00  	        8.8562E-202  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        5.1509E-182  	        1.8264E-184  	        0.00000E+00
        3.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.1199E-180  	        0.00000E+00  	        2.5385E-174  	        2.4266E-177  	        6.5040E-176  	        3.1408E-176  	        7.2061E-170  	        1.7832E-178  	        9.7087E-174  	        1.3643E-170  	        1.8982E-165  	        2.7116E-165  	        9.8873E-174  	        2.1152E-175  	        0.00000E+00  	        1.4427E-162  	        1.7092E-172  	        5.0218E-189  	        1.1683E-169  	        2.0392E-163  	        8.2506E-169  	        2.4102E-175  	        5.5113E-176  	        7.3635E-167  	        5.4086E-188  	        1.1332E-174  	        7.9894E-163  	        0.00000E+00  	        5.86442E-12  	        1.5790E-170  	        7.6376E-175  	        4.6457E-166  	        1.0940E-162  	        2.6543E-163  	        2.1736E-171  	        1.4622E-166  	        1.0218E-178  	        1.0371E-170  	        1.7752E-164  	        9.4235E-162  	        1.7699E-166  	        7.8314E-160  	        0.00000E+00  	        2.1916E-170  	        2.6455E-169  	        7.9416E-165  	        5.9174E-166  	        5.2661E-169  	        1.4676E-176  	        5.5195E-162  	        1.3951E-176  	        5.3524E-161  	        8.3369E-168  	        2.10035E-01  	        4.5524E-154  	        1.8758E-167  	        0.00000E+00  	        6.2493E-165  	        5.5675E-160  	        3.7272E-161  	        0.00000E+00  	        4.0284E-169  	        7.89965E-01  	        6.4576E-165  	        9.6526E-164  	        1.4131E-161  	        6.9538E-171  	        3.4104E-165  	        1.9985E-162  	        3.5935E-171  	        7.6722E-173  	        1.1269E-200  	        8.6117E-181  	        4.0920E-169  	        2.2881E-178  	        3.2484E-174  	        3.6536E-177  	        6.3802E-196  	        1.3431E-170  	        1.73861E-12  	        5.6580E-163  	        1.8565E-164  	        6.3110E-173  	        1.7555E-164  	        3.8628E-166  	        2.6327E-184  	        1.2882E-176  	        5.2665E-173  	        0.00000E+00  	        1.3933E-178  	        1.5354E-184  	        2.7731E-164  	        3.4536E-173  	        0.00000E+00  	        1.2529E-178  	        1.1425E-179  	        1.0306E-177  	        5.1609E-182  	        4.8461E-181  	        0.00000E+00  	        1.8845E-181  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.4649E-176  	        3.0917E-178  	        8.0348E-190
        4.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.3877E-177  	        3.3943E-196  	        1.7558E-169  	        1.9826E-172  	        3.5623E-170  	        1.9763E-173  	        3.4073E-164  	        8.5133E-175  	        5.0058E-168  	        8.1648E-169  	        2.5364E-159  	        1.0251E-159  	        2.3864E-170  	        1.1274E-173  	        0.00000E+00  	        3.9656E-157  	        2.9308E-167  	        3.7293E-179  	        2.4944E-163  	        2.8535E-158  	        1.1665E-162  	        1.8951E-169  	        5.7214E-171  	        2.7960E-162  	        2.0797E-178  	        4.6865E-169  	        1.2344E-157  	        0.00000E+00  	        7.78292E-12  	        1.1897E-164  	        5.3592E-170  	        2.1895E-160  	        4.3591E-157  	        2.7223E-158  	        1.6437E-165  	        1.3113E-160  	        5.4284E-174  	        2.0921E-164  	        4.7214E-159  	        1.4246E-156  	        4.5834E-161  	        6.2929E-154  	        7.2610E-186  	        2.0613E-165  	        3.0156E-163  	        3.5297E-159  	        4.6518E-160  	        1.5149E-163  	        1.1189E-170  	        1.8967E-156  	        5.5499E-170  	        1.5487E-155  	        1.0551E-162  	        2.10035E-01  	        2.5550E-147  	        1.6409E-162  	        0.00000E+00  	        1.0805E-159  	        7.8396E-155  	        5.6096E-156  	        0.00000E+00  	        4.6082E-165  	        7.89965E-01  	        1.3476E-158  	        4.0645E-158  	        1.3062E-155  	        4.2865E-169  	        7.2880E-160  	        6.6012E-157  	        1.8421E-169  	        5.1925E-171  	        2.1198E-181  	        2.9724E-177  	        7.7708E-164  	        2.3159E-174  	        5.4725E-169  	        1.6403E-174  	        5.3702E-181  	        2.9197E-165  	        2.30204E-12  	        5.3151E-157  	        2.8464E-158  	        1.8053E-167  	        7.1657E-158  	        4.9728E-162  	        4.7344E-178  	        6.3755E-171  	        1.9252E-168  	        7.8430E-188  	        4.6225E-173  	        2.1100E-178  	        4.5577E-158  	        1.2937E-169  	        0.00000E+00  	        1.6389E-176  	        1.9066E-177  	        7.4236E-174  	        7.1984E-178  	        2.9867E-177  	        2.7791E-186  	        2.0696E-177  	        2.2189E-195  	        0.00000E+00  	        1.0498E-186  	        3.5294E-171  	        5.9017E-174  	        8.0020E-179
        5.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.3944E-175  	        5.3578E-180  	        3.7782E-165  	        2.8562E-169  	        7.3932E-166  	        1.6850E-171  	        5.5818E-159  	        2.7736E-171  	        6.3088E-163  	        7.7745E-167  	        8.1465E-155  	        2.1488E-154  	        1.3594E-167  	        9.7705E-170  	        1.1539E-189  	        1.2442E-151  	        3.8599E-163  	        5.5295E-176  	        4.1838E-159  	        1.5671E-152  	        6.3886E-159  	        1.1311E-164  	        3.3839E-168  	        1.4987E-157  	        5.5975E-176  	        1.3590E-163  	        6.5302E-152  	        0.00000E+00  	        9.62585E-12  	        5.6100E-160  	        6.0999E-167  	        7.3026E-156  	        3.4852E-152  	        1.0256E-152  	        1.6997E-160  	        3.9739E-156  	        1.0824E-169  	        5.3804E-160  	        1.2580E-153  	        4.4742E-151  	        4.6909E-157  	        3.9951E-149  	        8.8551E-178  	        1.5782E-162  	        7.7432E-159  	        6.3402E-154  	        3.1038E-155  	        1.3641E-158  	        2.6024E-166  	        3.7737E-151  	        4.7379E-165  	        5.2597E-150  	        2.8575E-159  	        2.10035E-01  	        1.5633E-142  	        4.3541E-159  	        0.00000E+00  	        3.6132E-154  	        1.0888E-148  	        2.4183E-150  	        2.6812E-195  	        2.8362E-162  	        7.89965E-01  	        2.5535E-154  	        1.7019E-152  	        1.2406E-150  	        9.1075E-168  	        2.0887E-154  	        1.2743E-151  	        7.9323E-168  	        4.8771E-169  	        8.3719E-177  	        8.1709E-173  	        2.9970E-159  	        3.8229E-171  	        1.2088E-164  	        4.2313E-172  	        2.6253E-177  	        4.4675E-161  	        2.84127E-12  	        1.4625E-152  	        6.9044E-154  	        2.5653E-163  	        1.0898E-153  	        7.6365E-158  	        3.3090E-174  	        4.9619E-166  	        2.6133E-165  	        1.5768E-178  	        3.8629E-168  	        9.3743E-177  	        8.5499E-154  	        3.7633E-166  	        0.00000E+00  	        4.8209E-174  	        6.3375E-176  	        1.0739E-170  	        8.0317E-176  	        1.1824E-173  	        1.1293E-178  	        6.3344E-173  	        1.1800E-180  	        0.00000E+00  	        2.5651E-178  	        2.4978E-166  	        4.7497E-170  	        6.9952E-175
        6.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.9056E-173  	        1.9769E-176  	        1.8867E-161  	        7.0665E-166  	        7.3672E-162  	        2.7440E-170  	        5.8301E-153  	        7.7774E-168  	        9.7145E-159  	        1.7732E-164  	        1.9070E-150  	        1.7816E-149  	        1.9839E-164  	        4.0333E-166  	        6.0170E-178  	        7.0379E-146  	        1.1473E-159  	        2.9487E-172  	        5.2864E-155  	        3.5820E-147  	        2.0002E-155  	        7.0492E-160  	        1.2950E-164  	        6.3192E-153  	        8.9537E-174  	        1.8345E-159  	        2.3598E-146  	        0.00000E+00  	        1.18014E-11  	        9.5807E-156  	        1.6424E-163  	        2.4814E-151  	        1.8387E-147  	        1.3285E-147  	        3.7004E-156  	        2.9261E-149  	        4.4197E-166  	        6.7234E-156  	        4.9618E-149  	        3.1283E-145  	        1.8839E-153  	        2.0055E-144  	        5.1729E-174  	        1.1219E-159  	        7.7365E-155  	        2.1309E-149  	        5.1314E-149  	        2.3448E-154  	        9.8378E-162  	        2.8930E-145  	        2.8264E-159  	        3.2862E-144  	        5.4276E-156  	        2.10035E-01  	        3.3523E-136  	        8.7134E-156  	        0.00000E+00  	        2.8057E-148  	        1.7168E-143  	        1.1017E-144  	        1.9679E-178  	        3.8420E-160  	        7.89965E-01  	        5.6102E-148  	        2.1021E-147  	        1.7235E-144  	        2.9826E-166  	        1.3900E-148  	        5.9465E-147  	        1.5100E-166  	        1.0591E-165  	        2.4827E-173  	        4.3105E-169  	        2.5583E-155  	        1.6268E-167  	        2.6925E-160  	        8.3726E-169  	        5.4464E-175  	        4.3112E-157  	        3.47552E-12  	        7.9727E-148  	        4.0127E-149  	        2.4508E-158  	        4.2782E-149  	        4.7469E-154  	        1.9089E-170  	        4.1684E-161  	        1.7369E-161  	        2.0046E-174  	        6.0860E-163  	        9.4501E-175  	        4.5837E-149  	        7.3186E-163  	        0.00000E+00  	        3.1985E-171  	        3.1162E-173  	        3.9762E-167  	        5.1322E-173  	        3.4461E-170  	        1.9237E-176  	        1.1133E-167  	        9.9245E-177  	        0.00000E+00  	        9.8549E-176  	        1.2722E-161  	        1.0619E-166  	        3.6514E-170
        7.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        6.4220E-171  	        9.3548E-173  	        1.0623E-157  	        3.8738E-163  	        4.1938E-158  	        9.9842E-169  	        3.5875E-148  	        4.9501E-164  	        9.9264E-154  	        1.8094E-162  	        6.8746E-147  	        5.5324E-145  	        2.4485E-161  	        1.8484E-162  	        1.8811E-172  	        4.0573E-141  	        2.1229E-156  	        7.4744E-169  	        2.6277E-151  	        1.1244E-142  	        6.6677E-152  	        4.1597E-155  	        2.6793E-161  	        4.5676E-149  	        2.5699E-171  	        8.2444E-155  	        1.6880E-141  	        1.2143E-195  	        1.41086E-11  	        2.2317E-152  	        3.6986E-160  	        1.3097E-147  	        1.4910E-143  	        3.8657E-143  	        1.1070E-151  	        3.6617E-144  	        2.1295E-162  	        1.7235E-152  	        1.1128E-144  	        1.0263E-140  	        1.0304E-149  	        4.4255E-140  	        2.6569E-170  	        3.1279E-157  	        2.0426E-151  	        4.7227E-145  	        7.3137E-144  	        1.1154E-150  	        1.1032E-157  	        2.0755E-140  	        2.7965E-153  	        3.7305E-139  	        1.1525E-153  	        2.10035E-01  	        1.0047E-130  	        4.1378E-153  	        0.00000E+00  	        3.9269E-143  	        1.1737E-138  	        1.0335E-139  	        1.9326E-172  	        3.0790E-158  	        7.89965E-01  	        3.2351E-142  	        4.3134E-142  	        2.1721E-139  	        4.3025E-165  	        3.7917E-144  	        1.1476E-142  	        2.0057E-165  	        4.1931E-162  	        5.9948E-170  	        1.2605E-165  	        7.4666E-152  	        4.0486E-164  	        7.2352E-157  	        6.0577E-166  	        1.9736E-169  	        7.4150E-153  	        4.14559E-12  	        1.2623E-143  	        1.8715E-145  	        1.5504E-153  	        2.0386E-145  	        1.0466E-150  	        3.9890E-167  	        1.0650E-156  	        2.4059E-158  	        4.8465E-170  	        3.8680E-159  	        2.2361E-172  	        3.5519E-145  	        1.7517E-159  	        0.00000E+00  	        1.4665E-168  	        8.5785E-171  	        4.2837E-164  	        3.8154E-170  	        4.3172E-167  	        8.9882E-175  	        5.8360E-163  	        1.8251E-174  	        0.00000E+00  	        3.6089E-171  	        1.2165E-157  	        7.6955E-163  	        2.8452E-166
        8.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.2325E-168  	        7.5215E-169  	        1.4459E-154  	        8.0902E-161  	        4.1232E-154  	        8.6665E-168  	        2.7889E-143  	        7.1071E-161  	        1.5089E-149  	        7.2065E-161  	        4.2970E-143  	        9.0313E-141  	        7.8918E-159  	        7.5103E-159  	        2.1118E-167  	        1.1225E-136  	        2.6625E-153  	        1.0282E-165  	        2.4246E-148  	        1.9356E-138  	        5.9050E-148  	        2.8791E-151  	        6.7748E-159  	        1.2796E-145  	        1.4796E-169  	        6.7222E-151  	        4.8403E-137  	        1.6024E-178  	        1.65465E-11  	        6.6728E-149  	        1.3359E-157  	        6.1235E-144  	        8.4893E-140  	        3.2172E-139  	        1.5062E-147  	        2.6564E-139  	        3.9059E-159  	        1.2037E-148  	        3.7291E-141  	        4.4919E-136  	        3.1467E-146  	        2.3086E-136  	        2.0119E-166  	        5.1609E-155  	        3.5248E-148  	        1.6517E-141  	        2.5065E-139  	        5.0015E-147  	        7.4211E-154  	        6.6816E-136  	        2.4369E-148  	        1.8383E-134  	        4.0366E-152  	        2.10035E-01  	        9.2683E-126  	        5.6168E-152  	        0.00000E+00  	        1.7873E-138  	        3.0756E-134  	        2.4457E-135  	        1.6975E-168  	        2.2915E-156  	        7.89965E-01  	        1.2907E-137  	        1.4859E-137  	        9.8689E-135  	        1.3855E-163  	        1.9941E-139  	        6.3264E-139  	        3.9088E-164  	        8.0340E-159  	        1.4010E-166  	        1.5412E-162  	        4.8288E-148  	        7.3820E-161  	        1.5877E-153  	        8.0934E-163  	        7.9833E-166  	        2.1138E-149  	        4.85090E-12  	        4.3159E-140  	        1.5415E-141  	        1.1847E-148  	        8.4096E-142  	        7.6339E-147  	        1.6779E-164  	        1.4347E-152  	        6.2836E-155  	        3.5991E-166  	        7.7201E-156  	        4.9508E-170  	        1.7925E-141  	        2.7967E-156  	        0.00000E+00  	        3.7331E-166  	        1.4950E-168  	        4.7624E-161  	        5.3424E-168  	        2.5442E-164  	        1.4585E-169  	        6.2544E-159  	        9.6713E-172  	        7.2182E-180  	        2.6764E-167  	        5.0601E-154  	        2.3106E-159  	        7.5493E-163
        9.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        3.3276E-167  	        6.3617E-166  	        1.8101E-151  	        5.3738E-159  	        1.8938E-150  	        8.7807E-167  	        5.8938E-139  	        1.5029E-157  	        2.2026E-146  	        2.4584E-159  	        3.1196E-139  	        4.5628E-137  	        1.7008E-156  	        1.0610E-155  	        5.1230E-163  	        2.3239E-132  	        4.7866E-150  	        2.9487E-163  	        6.6104E-145  	        8.6618E-135  	        4.2616E-144  	        1.4608E-147  	        1.1958E-156  	        6.4460E-142  	        9.5322E-168  	        3.4144E-147  	        8.4399E-133  	        6.9503E-173  	        1.91132E-11  	        7.9193E-146  	        2.8959E-155  	        3.2581E-140  	        1.8551E-136  	        1.4767E-135  	        1.6392E-143  	        6.6135E-135  	        8.1128E-156  	        1.2565E-145  	        2.7382E-137  	        5.2043E-132  	        4.3998E-143  	        1.6612E-132  	        5.7109E-163  	        4.1466E-153  	        6.9400E-145  	        8.6353E-138  	        3.5966E-135  	        1.9288E-143  	        3.0436E-150  	        9.7817E-132  	        7.3718E-144  	        3.9223E-130  	        1.7334E-150  	        2.10035E-01  	        3.7047E-121  	        2.7873E-150  	        0.00000E+00  	        3.8992E-134  	        7.5327E-130  	        6.3059E-131  	        7.3138E-165  	        3.6539E-155  	        7.89965E-01  	        4.7151E-133  	        3.8798E-133  	        2.0223E-130  	        3.2911E-162  	        1.9284E-135  	        9.3099E-136  	        3.9350E-163  	        1.8929E-155  	        1.8354E-163  	        5.6770E-160  	        7.7045E-145  	        1.1699E-157  	        1.7435E-150  	        4.5656E-160  	        2.6233E-162  	        2.2858E-146  	        5.59069E-12  	        2.5272E-136  	        5.8780E-138  	        1.9216E-144  	        2.4737E-138  	        7.6414E-144  	        4.3924E-162  	        4.8570E-149  	        1.4149E-151  	        6.9503E-163  	        1.5310E-152  	        1.6418E-167  	        5.9142E-138  	        2.2928E-153  	        0.00000E+00  	        7.1681E-164  	        1.6359E-166  	        1.7962E-158  	        9.9113E-166  	        4.5357E-162  	        3.7371E-169  	        1.3209E-155  	        1.9641E-168  	        2.1379E-173  	        6.9795E-164  	        3.4349E-150  	        3.4707E-156  	        2.4608E-159
        1.01000E-02  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        6.3580E-165  	        1.9257E-163  	        1.0694E-147  	        6.1351E-157  	        5.3675E-147  	        1.8648E-165  	        1.5632E-134  	        4.6554E-154  	        1.2343E-142  	        2.1903E-158  	        2.0997E-135  	        6.2139E-133  	        5.6276E-154  	        3.4943E-152  	        4.5384E-159  	        7.1750E-128  	        7.8805E-147  	        7.8363E-161  	        2.2820E-141  	        1.2986E-130  	        5.9081E-140  	        2.0717E-143  	        1.3423E-154  	        1.5399E-138  	        7.7106E-166  	        1.2725E-143  	        2.5479E-128  	        1.2621E-168  	        2.20829E-11  	        7.7583E-142  	        4.1668E-153  	        2.4698E-136  	        6.4561E-133  	        1.3312E-131  	        1.2602E-139  	        3.3142E-130  	        2.7123E-152  	        5.4917E-142  	        1.4061E-133  	        1.0078E-127  	        1.4041E-139  	        1.3254E-128  	        1.5922E-159  	        1.2970E-151  	        8.7883E-142  	        7.5894E-134  	        6.0345E-131  	        5.1317E-140  	        4.1471E-146  	        2.3830E-127  	        2.4193E-139  	        1.8624E-125  	        1.2071E-148  	        2.10035E-01  	        2.1476E-116  	        1.9322E-148  	        0.00000E+00  	        1.5810E-129  	        2.5134E-125  	        1.5949E-126  	        3.8721E-161  	        1.3157E-153  	        7.89965E-01  	        2.0283E-128  	        1.4238E-128  	        1.0315E-125  	        1.8226E-160  	        3.1802E-131  	        4.1691E-132  	        5.6634E-162  	        6.9036E-152  	        9.4487E-161  	        1.6969E-157  	        2.8044E-141  	        1.7538E-154  	        1.0486E-146  	        5.5901E-157  	        5.9282E-159  	        8.0351E-143  	        6.44317E-12  	        1.9566E-132  	        2.4626E-134  	        2.4146E-140  	        1.4048E-134  	        1.7013E-140  	        1.3991E-159  	        9.2440E-145  	        1.2559E-148  	        2.4944E-160  	        3.6002E-149  	        2.0751E-165  	        4.5774E-134  	        3.3797E-150  	        0.00000E+00  	        9.6294E-162  	        1.2439E-164  	        8.1593E-156  	        1.0509E-163  	        1.6695E-159  	        2.4537E-166  	        1.8843E-151  	        1.8452E-167  	        2.6651E-172  	        1.0033E-161  	        3.0233E-146  	        1.5569E-152  	        1.7708E-155
