           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.40000E+03  	        4.18362E-01  	        1.01325E+05  	        3.0992E-193  	        0.00000E+00  	        8.2438E-183  	        1.1910E-185  	        4.2834E-184  	        2.0813E-184  	        6.7071E-176  	        1.3608E-186  	        8.9018E-182  	        4.5702E-176  	        1.8975E-180  	        7.5663E-180  	        3.0459E-182  	        1.0416E-183  	        0.00000E+00  	        5.1159E-178  	        3.6220E-182  	        6.4040E-203  	        2.0604E-180  	        7.7235E-176  	        3.7006E-183  	        6.2461E-184  	        1.4438E-184  	        6.2806E-177  	        4.7721E-192  	        1.4131E-182  	        4.0386E-178  	        0.00000E+00  	        1.99477E-14  	        1.8382E-180  	        1.2935E-184  	        4.7076E-179  	        3.2074E-177  	        1.6437E-176  	        1.8635E-182  	        1.9365E-177  	        8.5358E-186  	        3.8469E-180  	        3.6706E-176  	        1.1413E-176  	        4.8384E-179  	        3.1783E-176  	        0.00000E+00  	        1.3303E-178  	        2.4998E-180  	        2.3803E-177  	        2.1209E-176  	        5.6548E-179  	        1.8650E-184  	        5.0901E-176  	        6.3605E-186  	        2.9693E-175  	        1.1282E-177  	        1.82829E-03  	        4.8527E-175  	        4.2209E-176  	        0.00000E+00  	        8.4116E-176  	        2.8781E-175  	        9.7134E-176  	        0.00000E+00  	        1.9317E-176  	        6.87641E-03  	        2.8387E-176  	        1.0413E-175  	        1.6649E-176  	        5.1212E-177  	        8.6371E-177  	        6.3516E-176  	        4.8470E-177  	        7.3741E-183  	        1.0506E-195  	        1.9303E-187  	        7.7348E-182  	        2.9354E-185  	        2.0499E-184  	        3.7036E-184  	        1.2509E-198  	        3.3777E-183  	        5.94392E-15  	        2.0553E-176  	        3.9181E-177  	        4.2381E-183  	        4.9678E-177  	        3.1640E-180  	        4.6447E-188  	        1.3519E-184  	        9.7057E-184  	        6.2660E-207  	        8.1314E-186  	        2.0773E-193  	        5.0176E-177  	        6.7469E-183  	        0.00000E+00  	        8.8253E-186  	        2.6721E-187  	        2.8264E-184  	        3.2551E-189  	        2.2565E-187  	        6.5729E-199  	        1.1129E-191  	        4.7614E-205  	        2.6073E-202  	        0.00000E+00  	        3.6668E-184  	        2.0198E-185  	        5.7152E-195
        2.00000E-03  	        1.40000E+03  	        4.74693E-01  	        1.01325E+05  	        1.0565E-179  	        2.2948E-185  	        2.8982E-175  	        1.0939E-178  	        4.6486E-177  	        9.4630E-177  	        9.1159E-167  	        4.3495E-179  	        4.4459E-173  	        1.3587E-170  	        1.1091E-170  	        1.0094E-169  	        6.7713E-175  	        2.3259E-176  	        8.4110E-189  	        2.2056E-167  	        3.4020E-174  	        1.4331E-183  	        6.1708E-172  	        8.3514E-167  	        1.6899E-173  	        5.2005E-176  	        8.7934E-178  	        4.0828E-170  	        4.2797E-181  	        7.8884E-174  	        1.0507E-167  	        0.00000E+00  	        3.42209E-14  	        6.6441E-172  	        7.1086E-177  	        6.7592E-170  	        6.1138E-168  	        8.2728E-167  	        1.6761E-173  	        1.7046E-168  	        6.7025E-179  	        1.9207E-172  	        4.3099E-167  	        1.4525E-166  	        3.6299E-172  	        3.7039E-167  	        1.2981E-184  	        2.0437E-170  	        7.9957E-172  	        4.7391E-168  	        2.0995E-167  	        5.0005E-171  	        1.1569E-176  	        2.2328E-166  	        1.9846E-177  	        1.5166E-165  	        2.9104E-168  	        1.82829E-03  	        1.2855E-165  	        8.3047E-168  	        0.00000E+00  	        5.8885E-167  	        8.1861E-166  	        2.3679E-166  	        6.5734E-191  	        1.4989E-168  	        6.87641E-03  	        1.9434E-166  	        1.2226E-166  	        3.8343E-166  	        1.5345E-171  	        9.1379E-168  	        8.4771E-167  	        9.7893E-172  	        2.9889E-174  	        5.5753E-181  	        5.4992E-180  	        6.8950E-172  	        5.0430E-178  	        1.3224E-175  	        1.4924E-176  	        6.6013E-182  	        2.6295E-173  	        1.01717E-14  	        1.4433E-167  	        1.7046E-168  	        7.8226E-174  	        3.6532E-168  	        3.8104E-171  	        2.6949E-179  	        1.6727E-176  	        2.0257E-174  	        2.9085E-184  	        1.6683E-177  	        6.1255E-181  	        3.8527E-168  	        3.4700E-175  	        7.4172E-187  	        1.7095E-178  	        3.2439E-179  	        3.4986E-177  	        1.2333E-180  	        9.4626E-180  	        1.2840E-182  	        2.6769E-179  	        6.2175E-184  	        3.1995E-183  	        3.6032E-185  	        2.2419E-176  	        6.0297E-178  	        5.5032E-181
        3.10000E-03  	        1.40000E+03  	        4.70445E-01  	        1.01325E+05  	        2.3359E-175  	        4.1547E-178  	        1.0824E-167  	        2.3561E-172  	        2.4518E-169  	        3.3998E-172  	        6.3862E-158  	        6.9053E-173  	        3.8185E-165  	        1.2662E-168  	        9.1263E-162  	        1.6892E-161  	        5.7837E-170  	        7.2061E-170  	        2.6444E-178  	        1.4433E-158  	        1.8694E-166  	        2.5000E-176  	        8.6458E-164  	        5.4570E-158  	        1.1388E-164  	        5.4063E-167  	        5.6969E-171  	        5.9646E-162  	        5.3965E-177  	        8.6751E-166  	        5.6901E-159  	        4.9170E-184  	        5.21898E-14  	        6.5464E-164  	        4.1739E-170  	        2.0461E-161  	        1.1194E-159  	        2.7375E-158  	        7.8363E-165  	        1.5301E-160  	        9.9131E-173  	        2.7753E-164  	        1.6248E-158  	        1.4258E-157  	        1.1482E-163  	        2.7671E-158  	        3.6850E-177  	        7.9786E-164  	        7.8631E-164  	        1.0968E-159  	        6.5473E-159  	        4.4981E-163  	        1.1595E-167  	        2.2199E-157  	        8.7761E-168  	        1.8103E-156  	        1.1313E-161  	        1.82829E-03  	        1.7934E-156  	        2.2583E-161  	        0.00000E+00  	        1.4115E-158  	        1.1964E-156  	        2.3105E-157  	        4.4183E-179  	        4.2742E-164  	        6.87641E-03  	        1.9369E-157  	        1.0679E-157  	        5.2032E-157  	        1.8083E-169  	        4.4455E-159  	        1.7799E-158  	        2.2674E-169  	        5.9972E-171  	        1.4529E-172  	        5.3559E-174  	        8.6627E-163  	        2.6893E-171  	        1.7396E-166  	        5.5751E-173  	        3.9713E-175  	        5.1107E-164  	        1.54730E-14  	        5.8520E-159  	        4.3247E-160  	        3.1544E-164  	        5.4868E-160  	        8.1166E-163  	        3.9605E-173  	        1.1119E-166  	        5.6200E-166  	        1.7508E-176  	        7.7115E-168  	        5.2575E-176  	        1.2907E-159  	        1.1013E-167  	        8.6465E-180  	        1.0835E-173  	        3.8623E-175  	        3.9841E-171  	        3.1225E-175  	        1.9704E-173  	        7.1642E-177  	        3.6241E-170  	        2.8062E-175  	        1.0037E-176  	        3.0311E-177  	        5.4487E-167  	        1.5050E-169  	        1.2441E-172
        4.10000E-03  	        1.40000E+03  	        4.95167E-01  	        1.01325E+05  	        2.9413E-173  	        1.2128E-173  	        4.7842E-164  	        1.4838E-168  	        1.6838E-164  	        3.4616E-170  	        1.5197E-151  	        2.8986E-168  	        2.8645E-160  	        2.1237E-166  	        2.3060E-156  	        4.9009E-156  	        2.6527E-166  	        1.7617E-165  	        2.4451E-172  	        2.9605E-152  	        4.6590E-162  	        1.1182E-171  	        2.2956E-159  	        1.8684E-152  	        1.3382E-159  	        6.3326E-162  	        7.4405E-167  	        5.7195E-156  	        1.2097E-173  	        5.6943E-161  	        9.3963E-153  	        9.6174E-178  	        6.86232E-14  	        1.7355E-159  	        8.1953E-166  	        8.3751E-156  	        1.5108E-154  	        6.1138E-153  	        1.9207E-159  	        3.0309E-155  	        2.3248E-168  	        3.5418E-160  	        8.1279E-153  	        6.6185E-151  	        1.5195E-159  	        3.8545E-152  	        3.5566E-172  	        3.7301E-161  	        2.0567E-159  	        1.3153E-154  	        1.1979E-153  	        3.6074E-158  	        2.6265E-162  	        8.5865E-151  	        2.5718E-161  	        1.4857E-149  	        7.4309E-158  	        1.82829E-03  	        4.2237E-150  	        4.0884E-157  	        0.00000E+00  	        3.7850E-153  	        5.8705E-150  	        6.0561E-151  	        3.5513E-174  	        3.0663E-162  	        6.87641E-03  	        7.7207E-151  	        1.9624E-151  	        2.4891E-150  	        8.8019E-168  	        2.1314E-153  	        5.6307E-153  	        7.2477E-168  	        1.0883E-166  	        1.7411E-167  	        3.1558E-169  	        5.5207E-158  	        8.2413E-167  	        1.2861E-161  	        1.5211E-168  	        5.7584E-170  	        4.7104E-159  	        2.02963E-14  	        1.9516E-153  	        3.0083E-154  	        5.3449E-158  	        2.4024E-154  	        3.6111E-158  	        9.8658E-169  	        3.5137E-160  	        3.0148E-161  	        4.3755E-171  	        4.6840E-162  	        3.7250E-173  	        4.4704E-154  	        2.8951E-163  	        1.7862E-176  	        4.6999E-170  	        7.0429E-172  	        9.5718E-167  	        1.9110E-171  	        1.0166E-168  	        2.2733E-171  	        3.0655E-163  	        1.2147E-170  	        1.4538E-171  	        1.1740E-171  	        7.3815E-162  	        1.2246E-164  	        1.6138E-167
        5.00000E-03  	        1.40000E+03  	        5.20416E-01  	        1.01325E+05  	        2.5549E-171  	        1.9897E-170  	        2.2449E-159  	        2.8052E-165  	        1.7051E-159  	        4.3195E-169  	        8.6481E-147  	        2.5750E-164  	        8.1301E-156  	        1.3921E-164  	        4.1313E-151  	        1.1918E-150  	        4.0905E-163  	        2.1218E-161  	        7.2859E-167  	        1.2639E-147  	        1.0037E-157  	        7.4102E-169  	        6.4471E-155  	        4.6993E-147  	        3.8751E-154  	        1.0962E-156  	        3.6422E-164  	        1.2186E-151  	        6.4154E-172  	        2.8232E-156  	        1.9387E-148  	        1.3602E-174  	        8.50278E-14  	        5.4427E-155  	        7.5163E-163  	        2.4054E-151  	        5.0767E-149  	        5.4959E-147  	        1.8537E-154  	        1.9497E-149  	        9.5653E-165  	        3.6058E-155  	        1.7823E-147  	        1.1498E-146  	        2.0984E-153  	        1.7724E-147  	        1.1339E-166  	        9.7218E-159  	        3.5863E-155  	        8.1863E-149  	        1.1318E-147  	        9.5763E-154  	        6.7991E-157  	        8.3779E-147  	        8.8332E-157  	        5.2959E-145  	        3.8792E-156  	        1.82829E-03  	        2.1457E-145  	        5.7221E-156  	        0.00000E+00  	        1.0197E-147  	        9.2137E-146  	        1.9776E-146  	        1.8260E-168  	        3.4552E-160  	        6.87641E-03  	        3.2838E-146  	        1.4164E-146  	        1.7999E-145  	        1.4957E-166  	        3.3620E-148  	        2.0686E-147  	        8.7896E-167  	        1.1095E-162  	        8.4359E-162  	        2.1937E-166  	        2.1589E-152  	        1.1470E-162  	        7.2030E-156  	        1.5202E-164  	        5.2066E-167  	        2.1073E-153  	        2.50958E-14  	        5.8512E-148  	        9.2841E-149  	        1.5713E-152  	        1.0969E-148  	        7.1290E-152  	        1.2118E-165  	        6.9006E-155  	        1.6779E-156  	        6.3262E-168  	        7.0437E-157  	        5.8983E-170  	        8.9125E-149  	        6.5814E-159  	        2.5484E-174  	        4.8036E-167  	        7.1929E-169  	        1.1847E-162  	        2.9300E-168  	        1.0942E-165  	        6.5045E-170  	        2.7371E-158  	        1.4564E-169  	        3.9770E-166  	        5.6037E-168  	        8.0411E-157  	        2.9196E-159  	        5.9957E-162
        6.00000E-03  	        1.40000E+03  	        5.25303E-01  	        1.01325E+05  	        1.5733E-169  	        5.5238E-168  	        9.1019E-156  	        3.4837E-163  	        5.2682E-155  	        6.8823E-169  	        9.2641E-141  	        8.2523E-161  	        1.9240E-151  	        2.1954E-163  	        3.0728E-145  	        7.2624E-145  	        5.5605E-160  	        6.7626E-158  	        6.5342E-162  	        2.2847E-141  	        3.4754E-154  	        1.6505E-165  	        2.9904E-151  	        3.5273E-141  	        6.6911E-148  	        9.5212E-151  	        9.1926E-161  	        2.4451E-147  	        1.1868E-170  	        5.8199E-152  	        2.3524E-141  	        3.9605E-172  	        1.04480E-13  	        6.4780E-151  	        4.4315E-160  	        1.9623E-146  	        1.8586E-143  	        4.9003E-142  	        4.3004E-148  	        2.7728E-144  	        4.2786E-161  	        1.1657E-150  	        2.9060E-142  	        3.3346E-140  	        9.9263E-148  	        5.5077E-141  	        4.8308E-163  	        8.3738E-157  	        2.1110E-151  	        1.0082E-143  	        1.4941E-142  	        1.9844E-149  	        1.5245E-151  	        1.2358E-139  	        1.7081E-150  	        7.1916E-139  	        3.6118E-154  	        1.82829E-03  	        3.5863E-139  	        1.0650E-153  	        0.00000E+00  	        8.7147E-142  	        4.2902E-139  	        2.3486E-140  	        2.3174E-164  	        4.6932E-159  	        6.87641E-03  	        4.9772E-140  	        1.8086E-140  	        5.5554E-139  	        8.4727E-165  	        3.2982E-142  	        4.7973E-143  	        2.4476E-166  	        3.2769E-159  	        2.6276E-157  	        4.7524E-163  	        4.9687E-147  	        4.1045E-159  	        2.4247E-151  	        4.2614E-161  	        1.0700E-163  	        4.8495E-148  	        3.07664E-14  	        3.8684E-142  	        1.5587E-143  	        9.6034E-147  	        1.6338E-143  	        5.3429E-147  	        1.8593E-162  	        2.8337E-149  	        1.5715E-152  	        1.8214E-164  	        1.8014E-151  	        3.8024E-167  	        9.8141E-143  	        2.1021E-154  	        1.7206E-172  	        8.6592E-164  	        1.2632E-165  	        5.1423E-159  	        4.9714E-165  	        1.6762E-162  	        1.2325E-167  	        2.1571E-152  	        1.2793E-169  	        2.0794E-161  	        1.0107E-164  	        1.1956E-150  	        5.2266E-154  	        6.0601E-157
        7.00000E-03  	        1.40000E+03  	        5.26741E-01  	        1.01325E+05  	        7.4362E-168  	        6.6219E-166  	        3.0396E-152  	        1.1057E-161  	        5.8528E-151  	        2.8885E-167  	        9.0487E-136  	        8.3373E-158  	        6.4004E-148  	        9.2167E-163  	        1.9242E-140  	        4.6512E-140  	        1.6417E-156  	        7.6176E-155  	        1.1125E-157  	        2.0817E-135  	        5.4476E-151  	        1.0389E-162  	        1.1100E-147  	        7.6230E-137  	        7.9510E-144  	        2.7869E-146  	        1.2187E-158  	        2.1919E-143  	        2.9746E-170  	        1.3177E-148  	        1.9314E-136  	        1.3183E-170  	        1.25201E-13  	        1.7709E-147  	        5.0287E-158  	        5.2428E-142  	        5.0954E-139  	        9.8856E-138  	        5.0710E-143  	        2.1852E-139  	        2.7563E-158  	        4.0649E-147  	        4.4514E-138  	        6.4351E-135  	        7.8092E-144  	        6.6938E-136  	        1.2712E-159  	        7.6756E-156  	        9.7745E-148  	        1.5468E-139  	        3.6367E-138  	        1.1023E-145  	        8.3006E-147  	        1.2647E-134  	        1.2577E-145  	        5.5513E-133  	        1.5471E-152  	        1.82829E-03  	        2.5117E-133  	        2.8583E-152  	        0.00000E+00  	        4.0855E-137  	        1.1743E-133  	        6.7018E-135  	        3.2185E-161  	        3.8625E-158  	        6.87641E-03  	        4.6581E-135  	        1.5422E-135  	        7.0662E-134  	        9.5970E-163  	        1.9418E-137  	        7.4295E-139  	        9.0700E-165  	        4.2110E-156  	        1.5057E-153  	        9.5365E-161  	        1.0586E-142  	        9.1910E-156  	        1.1531E-147  	        1.6550E-157  	        2.6579E-160  	        5.8369E-144  	        3.67833E-14  	        1.8222E-137  	        2.2311E-138  	        6.0996E-141  	        1.6737E-138  	        4.4624E-143  	        6.2752E-159  	        1.1437E-143  	        8.2559E-149  	        2.7699E-162  	        2.7447E-147  	        5.8487E-165  	        4.9994E-138  	        4.5742E-151  	        1.6166E-170  	        8.2393E-161  	        2.0531E-163  	        2.2253E-155  	        1.1414E-162  	        6.0999E-159  	        6.6158E-166  	        7.0761E-147  	        5.4389E-168  	        5.9053E-158  	        1.6402E-162  	        8.1265E-146  	        1.1199E-149  	        4.2455E-153
        8.00000E-03  	        1.40000E+03  	        5.28275E-01  	        1.01325E+05  	        4.3722E-167  	        9.2051E-164  	        3.0095E-149  	        1.5549E-161  	        3.1039E-147  	        8.9813E-167  	        1.5636E-131  	        3.1124E-154  	        2.0585E-144  	        1.0446E-161  	        4.9937E-136  	        9.2523E-136  	        1.0144E-154  	        2.0043E-151  	        5.2637E-154  	        1.3678E-130  	        4.6302E-148  	        1.4917E-160  	        2.5614E-144  	        1.4173E-132  	        1.1120E-139  	        1.8693E-142  	        1.2994E-156  	        4.8390E-140  	        2.3786E-169  	        4.6430E-145  	        2.0002E-131  	        2.2898E-168  	        1.47121E-13  	        3.7428E-144  	        8.7998E-157  	        6.0119E-138  	        9.7674E-135  	        5.8383E-134  	        9.0636E-139  	        4.3044E-135  	        1.0690E-154  	        2.6542E-143  	        2.4135E-134  	        1.3332E-130  	        3.1926E-140  	        1.5717E-131  	        4.5270E-157  	        2.4129E-156  	        2.0210E-144  	        8.5147E-136  	        6.7779E-134  	        7.1195E-142  	        2.7101E-142  	        2.1625E-130  	        3.8446E-141  	        4.6068E-128  	        3.7304E-151  	        1.82829E-03  	        1.8189E-128  	        5.8331E-151  	        0.00000E+00  	        9.3782E-133  	        8.5783E-129  	        2.5624E-130  	        1.1249E-157  	        1.2656E-157  	        6.87641E-03  	        1.0177E-130  	        3.4831E-131  	        8.3439E-129  	        9.3012E-161  	        3.5812E-133  	        4.2777E-135  	        7.0114E-164  	        1.2307E-152  	        2.1571E-150  	        2.2458E-158  	        5.8540E-139  	        1.2778E-152  	        8.5611E-144  	        1.8772E-154  	        3.5868E-157  	        3.2273E-140  	        4.31239E-14  	        4.0445E-133  	        5.1033E-134  	        2.7891E-136  	        3.1877E-134  	        8.6817E-139  	        2.1763E-156  	        7.4368E-139  	        1.4289E-145  	        4.7725E-160  	        1.6954E-143  	        6.9778E-163  	        9.7454E-134  	        1.6518E-147  	        2.1541E-169  	        1.0092E-158  	        2.4529E-161  	        1.0946E-151  	        3.4930E-160  	        1.2407E-156  	        7.7331E-164  	        1.8327E-142  	        9.4869E-167  	        5.3714E-154  	        8.1167E-162  	        3.7377E-141  	        3.8738E-146  	        2.1381E-149
        9.00000E-03  	        1.40000E+03  	        5.38162E-01  	        1.01325E+05  	        2.3795E-166  	        4.2852E-162  	        7.8162E-146  	        7.7185E-163  	        4.9536E-144  	        4.7162E-166  	        2.6018E-127  	        2.3993E-151  	        2.5070E-141  	        1.3395E-160  	        7.8403E-132  	        1.8203E-131  	        4.7007E-152  	        2.4100E-148  	        7.4545E-151  	        2.2402E-126  	        7.8344E-146  	        1.3921E-158  	        5.1828E-141  	        8.6341E-129  	        5.2102E-136  	        1.7370E-138  	        2.7206E-155  	        6.3592E-137  	        7.3069E-169  	        6.7089E-142  	        3.3078E-127  	        2.3144E-167  	        1.70264E-13  	        1.0191E-140  	        1.7860E-156  	        2.8082E-134  	        1.0571E-130  	        4.0828E-130  	        1.1226E-134  	        4.5593E-131  	        6.1615E-152  	        3.4285E-140  	        5.8653E-131  	        2.3658E-126  	        1.0090E-136  	        3.1376E-127  	        5.1607E-155  	        1.5530E-155  	        2.3183E-142  	        3.6381E-132  	        3.3238E-130  	        7.8762E-139  	        2.5381E-138  	        6.2810E-126  	        1.3856E-137  	        2.7098E-123  	        2.7066E-150  	        1.82829E-03  	        9.5410E-124  	        4.5037E-150  	        0.00000E+00  	        1.1994E-128  	        2.0726E-124  	        5.4435E-126  	        8.4878E-155  	        4.9933E-157  	        6.87641E-03  	        1.7138E-126  	        7.4191E-127  	        1.5908E-124  	        1.0018E-158  	        6.4240E-129  	        6.1070E-132  	        3.5534E-163  	        2.7992E-150  	        2.0294E-147  	        3.4259E-156  	        6.5757E-135  	        2.6892E-149  	        1.3006E-140  	        3.5788E-151  	        1.8576E-154  	        2.4175E-136  	        4.97923E-14  	        5.8271E-129  	        1.4046E-129  	        7.5337E-132  	        6.4462E-130  	        9.0169E-135  	        2.7043E-154  	        1.2000E-134  	        2.1791E-142  	        4.3003E-158  	        9.4173E-140  	        3.7086E-161  	        1.4114E-129  	        1.8513E-144  	        1.6371E-168  	        2.4224E-156  	        2.6975E-159  	        3.2223E-148  	        1.6372E-158  	        1.4211E-154  	        1.0520E-163  	        4.2112E-138  	        6.4073E-166  	        9.5432E-151  	        2.0601E-160  	        4.9911E-137  	        2.9494E-142  	        3.9655E-146
        1.01000E-02  	        1.40000E+03  	        5.47466E-01  	        1.01325E+05  	        3.5105E-165  	        4.8127E-160  	        1.7212E-142  	        9.2566E-164  	        1.4785E-140  	        6.4827E-165  	        6.6718E-123  	        3.8932E-149  	        1.2194E-137  	        1.1833E-159  	        8.9230E-128  	        5.5619E-127  	        7.2112E-150  	        1.2952E-145  	        2.6165E-147  	        1.4129E-121  	        1.3841E-143  	        3.5419E-156  	        5.9817E-138  	        5.6498E-125  	        6.9884E-132  	        5.2846E-135  	        1.0397E-154  	        3.2426E-133  	        1.1519E-167  	        6.1099E-139  	        1.7876E-122  	        4.0314E-166  	        1.97156E-13  	        7.8240E-138  	        9.2071E-157  	        4.5241E-130  	        1.6150E-126  	        7.9136E-127  	        1.5252E-130  	        9.1264E-127  	        1.7743E-149  	        1.2904E-136  	        4.1292E-127  	        5.2833E-122  	        3.0172E-132  	        1.4226E-122  	        2.2942E-152  	        1.0173E-155  	        1.6131E-140  	        1.4157E-128  	        4.5617E-126  	        2.2518E-135  	        3.6699E-134  	        1.2467E-121  	        3.7734E-133  	        1.3484E-118  	        9.5866E-150  	        1.82829E-03  	        4.5336E-119  	        8.8387E-150  	        0.00000E+00  	        3.3817E-124  	        1.4772E-119  	        1.8646E-121  	        1.7115E-152  	        9.9225E-157  	        6.87641E-03  	        3.0749E-122  	        2.5327E-122  	        7.3549E-120  	        5.7778E-157  	        5.6440E-125  	        7.9544E-129  	        4.3948E-162  	        1.0713E-147  	        7.2470E-145  	        4.1979E-154  	        2.4846E-131  	        1.6610E-146  	        2.9879E-137  	        1.3512E-147  	        7.6584E-152  	        5.8268E-133  	        5.75104E-14  	        1.4994E-124  	        7.3796E-125  	        2.5095E-127  	        1.9767E-125  	        1.0220E-130  	        1.1828E-151  	        4.6260E-130  	        7.9679E-139  	        3.4103E-156  	        1.7512E-136  	        4.1888E-159  	        1.3342E-125  	        1.0268E-140  	        7.2664E-168  	        1.3177E-154  	        5.2452E-158  	        9.4807E-145  	        1.5553E-156  	        8.8812E-152  	        9.2050E-164  	        6.9747E-134  	        1.7461E-164  	        2.6638E-147  	        7.4154E-159  	        5.2803E-133  	        6.8792E-139  	        2.7117E-143
