           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        1.00000E-03  	        1.40000E+03  	        4.18362E-01  	        1.01325E+05  	        6.05694E-14  	        0.00000E+00  	        2.84680E-09  	        3.30717E-13  	        1.53875E-11  	        9.07289E-10  	        2.42005E-05  	        2.16301E-13  	        3.75241E-10  	        4.13134E-05  	        1.43245E-08  	        3.40862E-09  	        1.27791E-08  	        4.62363E-11  	        0.00000E+00  	        2.39193E-07  	        5.37462E-11  	        2.62558E-16  	        2.47840E-08  	        2.63329E-05  	        1.41862E-11  	        8.25349E-11  	        1.37943E-11  	        4.99995E-06  	        1.21609E-14  	        2.04773E-08  	        4.25692E-08  	        0.00000E+00  	        7.41445E-07  	        6.40372E-10  	        1.04407E-10  	        2.52519E-08  	        2.19998E-06  	        1.13758E-05  	        1.77940E-09  	        1.10509E-06  	        1.29850E-12  	        6.98886E-10  	        1.79488E-05  	        1.65516E-06  	        2.02683E-06  	        3.45513E-05  	        0.00000E+00  	        1.73596E-07  	        1.29884E-08  	        2.86234E-07  	        1.49818E-05  	        7.93383E-10  	        5.11125E-11  	        1.57432E-05  	        1.36606E-10  	        8.84445E-05  	        7.80657E-07  	        2.32920E-01  	        9.62257E-05  	        7.14520E-05  	        0.00000E+00  	        2.09010E-06  	        1.39710E-04  	        3.13099E-05  	        0.00000E+00  	        4.35614E-05  	        7.67080E-01  	        1.84109E-05  	        1.90842E-05  	        8.72146E-07  	        7.59621E-06  	        8.05989E-06  	        4.33243E-05  	        7.75592E-06  	        7.64705E-10  	        2.13222E-14  	        1.04158E-14  	        8.41270E-09  	        6.92453E-12  	        2.02521E-10  	        1.01011E-10  	        6.44825E-16  	        9.69918E-10  	        1.42904E-10  	        4.18824E-06  	        1.44984E-06  	        3.68136E-09  	        1.65792E-06  	        1.34864E-09  	        3.94362E-14  	        8.49242E-11  	        4.06819E-10  	        1.10535E-18  	        4.01785E-11  	        1.83584E-14  	        4.70157E-06  	        2.37931E-09  	        0.00000E+00  	        6.93374E-12  	        4.96008E-13  	        6.15923E-11  	        4.85852E-14  	        1.81004E-13  	        3.98644E-16  	        1.76269E-12  	        4.56428E-17  	        1.44229E-16  	        0.00000E+00  	        5.28353E-11  	        3.09182E-12  	        1.13561E-14
        2.00000E-03  	        1.40000E+03  	        4.74693E-01  	        1.01325E+05  	        1.76894E-11  	        9.87247E-15  	        2.84852E-06  	        4.58109E-11  	        6.24988E-10  	        6.87248E-08  	        2.35196E-04  	        1.37956E-11  	        2.79187E-08  	        4.30337E-04  	        4.74523E-06  	        8.27452E-08  	        2.17340E-06  	        1.83665E-09  	        1.28212E-14  	        1.69089E-05  	        2.10608E-08  	        1.84471E-11  	        5.67814E-07  	        2.51590E-04  	        8.46071E-09  	        1.43780E-08  	        4.80614E-10  	        4.52281E-05  	        9.79526E-13  	        1.18388E-06  	        2.66912E-06  	        0.00000E+00  	        5.13106E-06  	        3.33795E-08  	        1.49693E-08  	        1.24738E-06  	        1.54561E-05  	        9.55031E-05  	        6.99337E-07  	        1.10350E-05  	        8.27566E-11  	        2.26880E-08  	        1.72597E-04  	        4.74285E-05  	        2.73987E-05  	        3.48219E-04  	        1.43613E-13  	        7.05982E-06  	        3.15555E-07  	        2.80623E-06  	        1.48336E-04  	        2.40533E-08  	        5.84371E-09  	        1.64656E-04  	        1.46214E-07  	        9.92041E-04  	        7.08398E-06  	        2.32920E-01  	        1.02885E-03  	        6.82047E-04  	        0.00000E+00  	        2.12359E-05  	        1.41621E-03  	        3.24328E-04  	        4.54336E-15  	        4.21959E-04  	        7.67080E-01  	        1.87798E-04  	        1.89656E-04  	        8.92652E-06  	        7.86444E-05  	        7.92175E-05  	        4.13440E-04  	        6.35390E-05  	        7.63554E-09  	        1.27058E-11  	        3.27097E-13  	        1.16585E-07  	        4.90600E-10  	        5.65365E-08  	        6.30438E-09  	        3.51247E-13  	        3.64412E-07  	        2.47231E-09  	        4.17952E-05  	        1.37667E-05  	        1.88693E-06  	        1.69269E-05  	        1.14093E-08  	        2.56684E-12  	        2.76536E-08  	        1.04078E-08  	        4.31502E-14  	        1.35483E-08  	        1.97765E-12  	        4.65035E-05  	        9.70800E-08  	        5.65770E-16  	        4.85462E-09  	        7.58679E-11  	        8.50371E-09  	        9.72565E-12  	        1.01510E-11  	        1.29677E-11  	        9.44110E-09  	        2.83039E-13  	        1.87477E-13  	        6.98285E-14  	        4.26876E-09  	        4.24058E-10  	        9.62505E-12
        3.10000E-03  	        1.40000E+03  	        4.70445E-01  	        1.01325E+05  	        1.73240E-10  	        9.01908E-14  	        2.52974E-05  	        2.24756E-10  	        2.53117E-09  	        2.00343E-07  	        6.84704E-04  	        5.95340E-11  	        1.55424E-07  	        1.29705E-03  	        3.28472E-05  	        5.74022E-07  	        1.13670E-05  	        6.12564E-09  	        1.27120E-12  	        8.16480E-05  	        5.32897E-08  	        1.00923E-09  	        1.28613E-06  	        7.29145E-04  	        1.09452E-07  	        1.46243E-07  	        1.12732E-09  	        1.31487E-04  	        6.72729E-12  	        4.43107E-06  	        1.33977E-05  	        2.43221E-14  	        9.94852E-06  	        1.18392E-07  	        5.28409E-08  	        3.38583E-06  	        2.96278E-05  	        2.23481E-04  	        4.21913E-06  	        3.23512E-05  	        3.96292E-10  	        7.76983E-08  	        4.96739E-04  	        1.03614E-04  	        7.40540E-05  	        1.04728E-03  	        4.92940E-12  	        2.35229E-05  	        6.36477E-07  	        5.45429E-06  	        4.34078E-04  	        6.48284E-08  	        4.43463E-08  	        4.80170E-04  	        1.47430E-06  	        3.15673E-03  	        2.01277E-05  	        2.32920E-01  	        3.17404E-03  	        1.97181E-03  	        0.00000E+00  	        6.38016E-05  	        4.23523E-03  	        9.63488E-04  	        3.30883E-13  	        1.23076E-03  	        7.67080E-01  	        5.37120E-04  	        5.58483E-04  	        2.12701E-05  	        2.37606E-04  	        2.32000E-04  	        1.18990E-03  	        1.56107E-04  	        4.56093E-08  	        7.06303E-11  	        1.01320E-12  	        2.62463E-07  	        2.17846E-09  	        2.97024E-07  	        3.60235E-08  	        3.27805E-12  	        8.94095E-07  	        1.45824E-08  	        1.22691E-04  	        3.45025E-05  	        1.90029E-05  	        5.04407E-05  	        3.56002E-08  	        1.50687E-11  	        2.35857E-07  	        4.19005E-08  	        4.89980E-13  	        6.79134E-08  	        2.05505E-11  	        1.35803E-04  	        2.46708E-07  	        1.62725E-15  	        4.95741E-08  	        1.61386E-10  	        3.00367E-08  	        4.71545E-11  	        4.28189E-11  	        1.14937E-10  	        1.27880E-07  	        5.42407E-10  	        3.28188E-12  	        1.06909E-12  	        2.73303E-08  	        3.88736E-09  	        1.63078E-10
        4.10000E-03  	        1.40000E+03  	        4.95167E-01  	        1.01325E+05  	        3.48168E-10  	        1.67084E-13  	        5.48398E-05  	        4.55673E-10  	        3.69561E-09  	        3.68902E-07  	        1.02337E-03  	        8.73889E-11  	        2.51091E-07  	        1.89172E-03  	        6.66846E-05  	        1.09379E-06  	        2.13609E-05  	        8.49310E-09  	        7.84872E-12  	        1.31377E-04  	        7.50205E-08  	        4.16657E-09  	        1.55943E-06  	        1.08649E-03  	        2.65756E-07  	        3.65202E-07  	        1.37892E-09  	        1.96360E-04  	        1.56583E-11  	        7.07869E-06  	        2.19832E-05  	        3.59603E-13  	        1.30557E-05  	        1.61478E-07  	        8.04425E-08  	        4.25131E-06  	        4.06415E-05  	        3.24366E-04  	        9.03354E-06  	        4.92753E-05  	        6.58753E-10  	        1.08745E-07  	        7.52594E-04  	        1.25609E-04  	        1.01186E-04  	        1.60575E-03  	        2.20705E-11  	        3.73010E-05  	        7.43223E-07  	        6.78385E-06  	        6.53128E-04  	        8.54123E-08  	        1.04190E-07  	        7.34450E-04  	        3.93631E-06  	        5.12050E-03  	        3.06750E-05  	        2.32920E-01  	        5.04646E-03  	        2.93301E-03  	        0.00000E+00  	        9.92883E-05  	        6.51021E-03  	        1.46181E-03  	        1.76970E-12  	        1.83613E-03  	        7.67080E-01  	        8.03430E-04  	        8.43815E-04  	        2.79721E-05  	        3.54279E-04  	        3.50044E-04  	        1.76517E-03  	        2.15150E-04  	        7.36243E-08  	        1.39985E-10  	        1.39223E-12  	        3.58914E-07  	        3.73607E-09  	        4.21735E-07  	        8.61014E-08  	        6.99703E-12  	        1.16082E-06  	        4.26372E-08  	        1.86480E-04  	        4.85984E-05  	        4.36166E-05  	        7.80921E-05  	        5.82082E-08  	        2.22808E-11  	        6.59273E-07  	        8.73146E-08  	        1.24552E-12  	        1.38706E-07  	        4.40761E-11  	        2.05325E-04  	        3.24555E-07  	        2.17498E-15  	        9.44378E-08  	        2.76596E-10  	        4.05495E-08  	        6.85051E-11  	        6.07554E-11  	        1.15611E-10  	        2.98424E-07  	        6.30199E-10  	        1.20235E-11  	        2.56615E-12  	        6.20831E-08  	        1.05259E-08  	        5.13788E-10
        5.00000E-03  	        1.40000E+03  	        5.20416E-01  	        1.01325E+05  	        4.20519E-10  	        2.65617E-13  	        7.95131E-05  	        5.98667E-10  	        4.78167E-09  	        5.12043E-07  	        1.21929E-03  	        1.14731E-10  	        3.46901E-07  	        2.25886E-03  	        1.06626E-04  	        1.59866E-06  	        2.95972E-05  	        1.04917E-08  	        2.11625E-11  	        1.72907E-04  	        8.61062E-08  	        8.98168E-09  	        1.66653E-06  	        1.29364E-03  	        4.37080E-07  	        6.79110E-07  	        1.51201E-09  	        2.33367E-04  	        2.54835E-11  	        8.24495E-06  	        3.00021E-05  	        1.34307E-12  	        1.72242E-05  	        1.95229E-07  	        8.95308E-08  	        4.89657E-06  	        5.25491E-05  	        3.83047E-04  	        1.25805E-05  	        5.90456E-05  	        9.39984E-10  	        1.35227E-07  	        8.97254E-04  	        1.34996E-04  	        1.07709E-04  	        1.94591E-03  	        5.74907E-11  	        4.62300E-05  	        7.94677E-07  	        7.77258E-06  	        7.80737E-04  	        1.05453E-07  	        1.88336E-07  	        8.77971E-04  	        6.76279E-06  	        6.56625E-03  	        4.03459E-05  	        2.32920E-01  	        6.36479E-03  	        3.48390E-03  	        0.00000E+00  	        1.20685E-04  	        7.98341E-03  	        1.75204E-03  	        4.63338E-12  	        2.18475E-03  	        7.67080E-01  	        9.54924E-04  	        1.01174E-03  	        3.46980E-05  	        4.23018E-04  	        4.18685E-04  	        2.09478E-03  	        2.46183E-04  	        8.25272E-08  	        2.20817E-10  	        1.83490E-12  	        4.56266E-07  	        5.82944E-09  	        4.64707E-07  	        1.57402E-07  	        1.33249E-11  	        1.39307E-06  	        8.91623E-08  	        2.23462E-04  	        5.41290E-05  	        6.75372E-05  	        9.50782E-05  	        8.29115E-08  	        3.33869E-11  	        1.24159E-06  	        1.52733E-07  	        2.45273E-12  	        2.24995E-07  	        5.28701E-11  	        2.45193E-04  	        3.90786E-07  	        2.59390E-15  	        1.28848E-07  	        4.12180E-10  	        4.63614E-08  	        7.87845E-11  	        7.85834E-11  	        1.85332E-12  	        5.23987E-07  	        2.37214E-10  	        2.76192E-11  	        4.66149E-12  	        9.93519E-08  	        2.02759E-08  	        1.02804E-09
        6.00000E-03  	        1.40000E+03  	        5.25303E-01  	        1.01325E+05  	        4.98139E-10  	        3.62744E-13  	        1.00347E-04  	        6.88913E-10  	        5.50995E-09  	        5.52958E-07  	        1.33635E-03  	        1.32997E-10  	        4.04726E-07  	        2.53507E-03  	        1.50941E-04  	        1.97203E-06  	        3.83113E-05  	        1.15246E-08  	        4.60102E-11  	        1.98608E-04  	        8.98595E-08  	        1.56691E-08  	        1.70083E-06  	        1.42046E-03  	        6.28097E-07  	        1.00991E-06  	        1.52640E-09  	        2.52602E-04  	        3.46821E-11  	        9.16930E-06  	        3.48945E-05  	        3.71862E-12  	        2.81080E-05  	        2.08541E-07  	        9.46228E-08  	        5.14988E-06  	        7.12231E-05  	        4.19995E-04  	        1.55451E-05  	        6.44546E-05  	        1.14617E-09  	        1.48556E-07  	        9.76955E-04  	        1.35883E-04  	        1.09712E-04  	        2.15228E-03  	        1.14002E-10  	        5.33353E-05  	        8.20509E-07  	        8.17931E-06  	        8.54521E-04  	        1.22381E-07  	        2.77752E-07  	        9.53035E-04  	        1.01371E-05  	        7.41278E-03  	        4.69892E-05  	        2.32920E-01  	        7.14273E-03  	        3.81436E-03  	        0.00000E+00  	        1.32166E-04  	        8.91012E-03  	        1.91305E-03  	        9.91085E-12  	        2.39640E-03  	        7.67080E-01  	        1.04179E-03  	        1.10839E-03  	        4.58129E-05  	        4.68376E-04  	        4.58354E-04  	        2.29452E-03  	        2.65419E-04  	        9.85688E-08  	        3.14704E-10  	        2.31964E-12  	        5.48193E-07  	        9.27068E-09  	        4.83307E-07  	        2.44189E-07  	        2.76785E-11  	        1.53366E-06  	        2.01751E-07  	        2.44210E-04  	        5.33539E-05  	        9.38869E-05  	        1.04813E-04  	        1.05199E-07  	        4.63422E-11  	        2.33452E-06  	        3.27764E-07  	        4.92533E-12  	        3.34589E-07  	        7.14875E-11  	        2.67847E-04  	        4.27213E-07  	        2.82620E-15  	        1.59237E-07  	        6.20468E-10  	        4.60088E-08  	        8.11195E-11  	        8.94568E-11  	        3.12571E-12  	        7.54492E-07  	        3.66617E-10  	        5.71536E-11  	        7.22657E-12  	        1.48669E-07  	        3.24483E-08  	        1.68574E-09
        7.00000E-03  	        1.40000E+03  	        5.26741E-01  	        1.01325E+05  	        5.82491E-10  	        4.73880E-13  	        1.16367E-04  	        8.07266E-10  	        6.08346E-09  	        6.54718E-07  	        1.56355E-03  	        1.47439E-10  	        4.50887E-07  	        2.92551E-03  	        1.97088E-04  	        2.32221E-06  	        4.67827E-05  	        1.24396E-08  	        7.47762E-11  	        2.16740E-04  	        9.77156E-08  	        2.29516E-08  	        1.93173E-06  	        1.66049E-03  	        7.97518E-07  	        1.33750E-06  	        1.65262E-09  	        3.00943E-04  	        4.60124E-11  	        9.79040E-06  	        3.85174E-05  	        8.38825E-12  	        4.67702E-05  	        2.26929E-07  	        1.09254E-07  	        5.61718E-06  	        9.37344E-05  	        5.07053E-04  	        1.84378E-05  	        7.65653E-05  	        1.32684E-09  	        1.62636E-07  	        1.14796E-03  	        1.42790E-04  	        1.23171E-04  	        2.52997E-03  	        1.81613E-10  	        6.02604E-05  	        9.06719E-07  	        8.71694E-06  	        1.00343E-03  	        1.41785E-07  	        3.65153E-07  	        1.11486E-03  	        1.37942E-05  	        9.49801E-03  	        5.29027E-05  	        2.32920E-01  	        9.08805E-03  	        4.46541E-03  	        0.00000E+00  	        1.58991E-04  	        1.09254E-02  	        2.24970E-03  	        1.67840E-11  	        2.80346E-03  	        7.67080E-01  	        1.21797E-03  	        1.30385E-03  	        5.91177E-05  	        5.43822E-04  	        5.38756E-04  	        2.68187E-03  	        3.30974E-04  	        1.12143E-07  	        3.71333E-10  	        2.91563E-12  	        5.93577E-07  	        1.27289E-08  	        5.36837E-07  	        3.45943E-07  	        4.92271E-11  	        1.62619E-06  	        4.23726E-07  	        2.88646E-04  	        6.84561E-05  	        1.20195E-04  	        1.27081E-04  	        1.25266E-07  	        6.06847E-11  	        3.81999E-06  	        6.30064E-07  	        8.43030E-12  	        4.42938E-07  	        8.62288E-11  	        3.15356E-04  	        4.68953E-07  	        3.10187E-15  	        1.89052E-07  	        7.64409E-10  	        5.27016E-08  	        8.94408E-11  	        9.83109E-11  	        3.36044E-12  	        9.86557E-07  	        5.08405E-10  	        9.66809E-11  	        1.00736E-11  	        1.92639E-07  	        4.51723E-08  	        2.34124E-09
        8.00000E-03  	        1.40000E+03  	        5.28275E-01  	        1.01325E+05  	        6.54694E-10  	        6.37289E-13  	        1.32953E-04  	        9.58894E-10  	        7.04479E-09  	        7.89242E-07  	        1.81255E-03  	        1.70734E-10  	        5.32075E-07  	        3.36485E-03  	        2.49595E-04  	        2.78525E-06  	        5.54196E-05  	        1.41010E-08  	        1.08649E-10  	        2.40827E-04  	        1.05415E-07  	        3.24109E-08  	        2.04464E-06  	        1.92592E-03  	        9.85958E-07  	        1.74740E-06  	        1.81276E-09  	        3.44642E-04  	        6.09498E-11  	        1.03753E-05  	        4.39187E-05  	        1.57386E-11  	        6.81461E-05  	        2.56765E-07  	        1.28963E-07  	        6.34010E-06  	        1.17483E-04  	        5.77735E-04  	        2.19195E-05  	        8.83035E-05  	        1.60038E-09  	        1.85720E-07  	        1.34097E-03  	        1.49747E-04  	        1.29077E-04  	        2.96449E-03  	        2.71157E-10  	        6.81322E-05  	        9.99401E-07  	        9.45715E-06  	        1.16444E-03  	        1.68980E-07  	        4.67856E-07  	        1.30021E-03  	        1.79465E-05  	        1.12357E-02  	        6.12249E-05  	        2.32920E-01  	        1.08073E-02  	        5.16938E-03  	        0.00000E+00  	        1.86129E-04  	        1.30740E-02  	        2.61611E-03  	        2.60893E-11  	        3.24966E-03  	        7.67080E-01  	        1.41639E-03  	        1.51615E-03  	        7.18396E-05  	        6.30445E-04  	        6.26075E-04  	        3.10109E-03  	        3.71906E-04  	        1.16935E-07  	        4.24774E-10  	        3.68412E-12  	        6.33254E-07  	        1.59102E-08  	        5.69273E-07  	        4.65853E-07  	        7.45064E-11  	        1.75120E-06  	        8.12529E-07  	        3.34165E-04  	        7.65518E-05  	        1.48409E-04  	        1.48479E-04  	        1.50769E-07  	        7.89107E-11  	        5.58385E-06  	        9.54268E-07  	        1.25392E-11  	        5.53312E-07  	        9.35729E-11  	        3.65083E-04  	        5.29198E-07  	        3.48742E-15  	        2.21760E-07  	        8.14368E-10  	        5.83115E-08  	        1.08655E-10  	        1.16403E-10  	        3.09392E-12  	        1.26169E-06  	        6.48388E-10  	        1.47194E-10  	        1.40560E-11  	        2.29795E-07  	        5.95153E-08  	        3.10196E-09
        9.00000E-03  	        1.40000E+03  	        5.38162E-01  	        1.01325E+05  	        7.78536E-10  	        8.43815E-13  	        1.47732E-04  	        1.10551E-09  	        8.07734E-09  	        8.24815E-07  	        2.26883E-03  	        1.96416E-10  	        6.24678E-07  	        4.26868E-03  	        3.08573E-04  	        3.33138E-06  	        6.60601E-05  	        1.59221E-08  	        1.51657E-10  	        2.64277E-04  	        1.15439E-07  	        4.61272E-08  	        2.45087E-06  	        2.41744E-03  	        1.21255E-06  	        2.24615E-06  	        2.00231E-09  	        4.47113E-04  	        7.67086E-11  	        1.10776E-05  	        5.00762E-05  	        2.68603E-11  	        8.70899E-05  	        2.92990E-07  	        1.75391E-07  	        7.11220E-06  	        1.41348E-04  	        6.57819E-04  	        2.57372E-05  	        1.10496E-04  	        1.88391E-09  	        2.10866E-07  	        1.66386E-03  	        1.55984E-04  	        1.38031E-04  	        3.66299E-03  	        3.91201E-10  	        7.71622E-05  	        1.13565E-06  	        1.02280E-05  	        1.45326E-03  	        2.00445E-07  	        5.85472E-07  	        1.57727E-03  	        2.18665E-05  	        1.40296E-02  	        6.95226E-05  	        2.32920E-01  	        1.36777E-02  	        6.51457E-03  	        0.00000E+00  	        2.32429E-04  	        1.67366E-02  	        3.24352E-03  	        3.90350E-11  	        4.08174E-03  	        7.67080E-01  	        1.75283E-03  	        1.89050E-03  	        8.37036E-05  	        7.91018E-04  	        7.81775E-04  	        3.90284E-03  	        5.67538E-04  	        1.24330E-07  	        4.87439E-10  	        4.58668E-12  	        6.77882E-07  	        1.91557E-08  	        6.33506E-07  	        6.05898E-07  	        1.03480E-10  	        1.88032E-06  	        1.38700E-06  	        4.16502E-04  	        1.09628E-04  	        1.80431E-04  	        1.85959E-04  	        1.77340E-07  	        1.01677E-10  	        7.44053E-06  	        1.20177E-06  	        1.74271E-11  	        6.68395E-07  	        1.11754E-10  	        4.55731E-04  	        5.92917E-07  	        3.87459E-15  	        2.55167E-07  	        8.69071E-10  	        6.37284E-08  	        1.23456E-10  	        1.37237E-10  	        2.84885E-11  	        1.55913E-06  	        8.66808E-10  	        2.09041E-10  	        1.91484E-11  	        2.62127E-07  	        7.54668E-08  	        3.97708E-09
        1.01000E-02  	        1.40000E+03  	        5.47466E-01  	        1.01325E+05  	        8.26621E-10  	        1.14261E-12  	        1.63226E-04  	        1.16345E-09  	        9.48617E-09  	        8.61038E-07  	        2.38086E-03  	        2.32430E-10  	        7.57778E-07  	        4.42762E-03  	        3.77433E-04  	        4.00282E-06  	        7.80786E-05  	        1.84615E-08  	        2.11712E-10  	        2.91085E-04  	        1.16546E-07  	        6.30290E-08  	        2.58295E-06  	        2.53408E-03  	        1.49847E-06  	        2.88296E-06  	        2.26377E-09  	        4.58068E-04  	        9.59506E-11  	        1.18661E-05  	        5.76870E-05  	        4.20522E-11  	        1.04302E-04  	        3.42432E-07  	        1.90307E-07  	        8.20988E-06  	        1.68048E-04  	        7.34579E-04  	        3.01018E-05  	        1.16655E-04  	        2.26533E-09  	        2.45583E-07  	        1.76471E-03  	        1.64319E-04  	        1.46590E-04  	        3.89618E-03  	        5.64218E-10  	        8.72204E-05  	        1.21892E-06  	        1.12784E-05  	        1.52915E-03  	        2.39107E-07  	        7.32360E-07  	        1.68624E-03  	        2.65054E-05  	        1.54857E-02  	        7.95355E-05  	        2.32920E-01  	        1.51238E-02  	        6.80197E-03  	        0.00000E+00  	        2.48937E-04  	        1.84149E-02  	        3.43222E-03  	        5.85263E-11  	        4.27165E-03  	        7.67080E-01  	        1.85593E-03  	        1.99432E-03  	        9.68691E-05  	        8.27644E-04  	        8.24481E-04  	        4.07549E-03  	        5.36645E-04  	        1.38202E-07  	        5.63309E-10  	        5.72673E-12  	        7.32922E-07  	        2.29077E-08  	        6.91361E-07  	        7.74098E-07  	        1.40235E-10  	        2.03517E-06  	        2.22961E-06  	        4.39242E-04  	        1.12383E-04  	        2.12510E-04  	        1.98795E-04  	        2.09396E-07  	        1.33422E-10  	        9.46597E-06  	        1.40535E-06  	        2.39639E-11  	        7.98756E-07  	        1.26381E-10  	        4.79899E-04  	        6.72927E-07  	        4.36979E-15  	        2.85496E-07  	        9.77781E-10  	        7.26094E-08  	        1.45177E-10  	        1.68798E-10  	        8.58996E-11  	        1.92993E-06  	        1.72874E-09  	        2.90705E-10  	        2.64481E-11  	        2.97239E-07  	        9.41842E-08  	        5.11468E-09
