           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.39994E+03  	        2.51193E-01  	        1.01325E+05  	        8.05739E-21  	        0.00000E+00  	        1.78418E-15  	        1.19165E-19  	        2.69202E-17  	        2.69772E-17  	        1.46657E-11  	        4.00090E-19  	        3.14050E-16  	        5.86132E-12  	        6.01818E-15  	        7.82236E-15  	        2.91063E-15  	        3.70261E-17  	        0.00000E+00  	        3.01215E-13  	        5.38696E-17  	        2.51395E-23  	        9.26185E-15  	        1.69006E-11  	        2.05921E-17  	        5.21975E-17  	        5.51737E-18  	        1.12267E-12  	        2.78570E-21  	        2.40521E-15  	        1.42342E-13  	        0.00000E+00  	        3.67114E-12  	        9.34696E-16  	        2.56970E-17  	        2.57897E-14  	        1.52748E-12  	        7.33664E-12  	        5.66666E-16  	        4.66919E-13  	        6.90784E-19  	        1.18578E-15  	        8.93530E-12  	        3.07433E-12  	        4.01105E-13  	        7.13424E-12  	        0.00000E+00  	        8.46015E-14  	        8.73212E-15  	        8.35259E-13  	        4.81077E-12  	        2.96839E-14  	        1.51184E-17  	        1.33979E-11  	        2.00973E-17  	        6.67902E-11  	        3.65350E-13  	        1.82837E-03  	        1.10049E-10  	        9.53179E-12  	        0.00000E+00  	        2.03684E-11  	        6.20647E-11  	        2.19747E-11  	        0.00000E+00  	        4.18214E-12  	        6.87671E-03  	        5.82604E-12  	        2.31760E-11  	        4.12657E-12  	        7.80554E-13  	        2.00428E-12  	        1.42047E-11  	        4.21722E-13  	        4.21518E-17  	        1.03169E-20  	        1.52460E-20  	        1.45841E-14  	        8.83627E-18  	        1.16125E-16  	        2.15222E-17  	        6.25264E-22  	        6.91771E-16  	        1.73567E-14  	        4.78214E-12  	        9.40674E-13  	        1.72000E-15  	        1.19342E-12  	        3.18071E-15  	        6.14639E-20  	        4.47979E-17  	        3.13752E-16  	        4.23531E-26  	        2.23637E-17  	        7.13077E-21  	        1.15551E-12  	        6.58294E-16  	        0.00000E+00  	        6.34727E-19  	        3.88037E-20  	        1.85361E-17  	        1.03120E-20  	        7.69892E-20  	        1.09185E-22  	        3.63002E-19  	        4.32206E-24  	        2.42420E-23  	        0.00000E+00  	        3.35394E-17  	        1.96006E-18  	        5.90796E-21
        2.00000E-03  	        1.39982E+03  	        2.51220E-01  	        1.01325E+05  	        6.08924E-18  	        2.23792E-20  	        3.39054E-12  	        2.89117E-17  	        3.06703E-15  	        3.06678E-15  	        2.79570E-10  	        6.33948E-17  	        5.10687E-14  	        1.14009E-10  	        4.18443E-12  	        2.83062E-13  	        1.28997E-12  	        3.79866E-15  	        8.64352E-21  	        4.23185E-11  	        1.48198E-14  	        5.68136E-18  	        7.57766E-13  	        3.06366E-10  	        1.86226E-14  	        1.88953E-14  	        5.15798E-16  	        1.96460E-11  	        4.75454E-19  	        4.45261E-13  	        1.25942E-11  	        0.00000E+00  	        7.02599E-11  	        8.11279E-14  	        7.99834E-15  	        2.41379E-12  	        2.98270E-11  	        1.36079E-10  	        5.06441E-13  	        9.49914E-12  	        1.02886E-16  	        5.72444E-14  	        1.64940E-10  	        1.48965E-10  	        1.26183E-11  	        1.46281E-10  	        1.10016E-19  	        5.43003E-12  	        6.36382E-13  	        1.95008E-11  	        9.58251E-11  	        1.67258E-12  	        4.24341E-15  	        2.92688E-10  	        7.08734E-14  	        1.72983E-09  	        6.72775E-12  	        1.82856E-03  	        2.61072E-09  	        1.76397E-10  	        0.00000E+00  	        4.21307E-10  	        1.30722E-09  	        4.86636E-10  	        2.08066E-21  	        8.05085E-11  	        6.87743E-03  	        1.14501E-10  	        4.64568E-10  	        1.04424E-10  	        1.61581E-11  	        3.88006E-11  	        2.61797E-10  	        4.22679E-12  	        2.59963E-15  	        3.27284E-17  	        8.99298E-19  	        9.85724E-13  	        2.27527E-15  	        8.60734E-14  	        4.32346E-15  	        1.15001E-18  	        8.19952E-13  	        4.99510E-14  	        9.64626E-11  	        1.84961E-11  	        1.95303E-12  	        2.56090E-11  	        6.46786E-14  	        9.13758E-18  	        4.81578E-14  	        3.29701E-14  	        7.23748E-20  	        2.73215E-14  	        2.48335E-18  	        2.28282E-11  	        7.34034E-14  	        1.55908E-22  	        8.53471E-16  	        6.07896E-18  	        5.20977E-15  	        3.44591E-18  	        1.02303E-17  	        3.69139E-19  	        4.74325E-15  	        3.53929E-20  	        1.96069E-19  	        7.34243E-20  	        8.74396E-15  	        6.44430E-16  	        1.73433E-17
        3.10000E-03  	        1.39966E+03  	        2.51257E-01  	        1.01325E+05  	        7.91167E-17  	        7.92227E-19  	        7.54730E-11  	        2.85794E-16  	        3.42013E-14  	        2.91912E-14  	        1.35581E-09  	        7.62044E-16  	        6.85746E-13  	        6.15979E-10  	        8.80057E-11  	        3.06800E-12  	        1.55900E-11  	        3.49004E-14  	        3.78623E-18  	        5.72737E-10  	        1.23471E-13  	        8.55667E-16  	        4.16451E-12  	        1.38516E-09  	        7.19389E-13  	        4.82118E-13  	        3.28980E-15  	        1.04260E-10  	        6.76372E-18  	        3.22010E-12  	        1.59993E-10  	        8.63968E-21  	        3.34415E-10  	        7.53426E-13  	        6.82826E-14  	        1.74505E-11  	        1.48440E-10  	        5.68156E-10  	        8.07490E-12  	        5.14208E-11  	        1.38609E-15  	        4.88054E-13  	        7.58807E-10  	        7.97259E-10  	        6.01072E-11  	        8.14619E-10  	        1.09763E-17  	        3.84440E-11  	        3.10801E-12  	        8.98389E-11  	        4.95252E-10  	        1.22948E-11  	        8.80190E-14  	        1.54997E-09  	        1.70213E-12  	        1.38745E-08  	        3.40487E-11  	        1.82882E-03  	        1.90856E-08  	        8.43707E-10  	        0.00000E+00  	        2.43920E-09  	        7.83297E-09  	        2.78611E-09  	        7.65343E-19  	        4.01404E-10  	        6.87840E-03  	        4.81365E-10  	        2.44331E-09  	        6.24758E-10  	        8.92659E-11  	        1.92838E-10  	        1.20443E-09  	        1.55088E-11  	        2.30800E-14  	        6.17234E-16  	        7.06387E-18  	        5.90033E-12  	        2.92056E-14  	        1.20075E-12  	        4.69563E-14  	        3.22329E-17  	        6.87417E-12  	        2.21928E-13  	        5.15295E-10  	        9.89809E-11  	        4.39171E-11  	        1.55569E-10  	        4.31687E-13  	        1.19304E-16  	        1.35135E-12  	        3.41295E-13  	        2.44415E-18  	        4.43607E-13  	        2.94065E-17  	        1.16046E-10  	        5.53233E-13  	        2.12621E-21  	        1.66696E-14  	        4.01272E-17  	        4.93222E-14  	        3.82357E-17  	        1.10167E-16  	        9.05748E-18  	        2.34691E-13  	        4.12586E-17  	        1.14018E-17  	        4.26832E-18  	        1.76422E-13  	        1.56697E-14  	        8.11303E-16
        4.10000E-03  	        1.39951E+03  	        2.51293E-01  	        1.01325E+05  	        2.43038E-16  	        3.07588E-18  	        2.48303E-10  	        7.42741E-16  	        9.31127E-14  	        1.01707E-13  	        2.87799E-09  	        2.07104E-15  	        2.03906E-12  	        1.39491E-09  	        3.34675E-10  	        9.75883E-12  	        4.46728E-11  	        8.86836E-14  	        5.45721E-17  	        1.63507E-09  	        2.79100E-13  	        6.46442E-15  	        8.60422E-12  	        2.90311E-09  	        3.54016E-12  	        2.22909E-12  	        6.42244E-15  	        2.33764E-10  	        2.43406E-17  	        7.42001E-12  	        4.41736E-10  	        2.56311E-19  	        7.72693E-10  	        1.76214E-12  	        1.63316E-13  	        3.47835E-11  	        3.73500E-10  	        1.09213E-09  	        2.53700E-11  	        1.18569E-10  	        4.37934E-15  	        1.18158E-12  	        1.59554E-09  	        1.50558E-09  	        1.14018E-10  	        1.91209E-09  	        9.37587E-17  	        8.59123E-11  	        5.77338E-12  	        1.72559E-10  	        1.09121E-09  	        2.94675E-11  	        3.96202E-13  	        3.33688E-09  	        6.80826E-12  	        4.23392E-08  	        7.39784E-11  	        1.82905E-03  	        5.64666E-08  	        1.81646E-09  	        0.00000E+00  	        5.97593E-09  	        2.07766E-08  	        6.18234E-09  	        8.77098E-18  	        8.79068E-10  	        6.87933E-03  	        9.18393E-10  	        5.45736E-09  	        1.47294E-09  	        2.03266E-10  	        4.16381E-10  	        2.50082E-09  	        3.33390E-11  	        5.52608E-14  	        2.39897E-15  	        1.76586E-17  	        1.48094E-11  	        9.89866E-14  	        3.20568E-12  	        1.79130E-13  	        1.45661E-16  	        1.55741E-11  	        7.96848E-13  	        1.16866E-09  	        2.72531E-10  	        1.64044E-10  	        4.01491E-10  	        1.24809E-12  	        3.58641E-16  	        7.38739E-12  	        1.24755E-12  	        1.18146E-17  	        1.79875E-12  	        9.55492E-17  	        2.52451E-10  	        1.27455E-12  	        5.40391E-21  	        5.44019E-14  	        1.00444E-16  	        1.13980E-13  	        9.33001E-17  	        2.82165E-16  	        7.75602E-18  	        1.21074E-12  	        8.95262E-17  	        8.86662E-17  	        2.05232E-17  	        8.02097E-13  	        7.63228E-14  	        4.56611E-15
        5.00000E-03  	        1.39936E+03  	        2.51328E-01  	        1.01325E+05  	        4.34873E-16  	        6.29088E-18  	        4.48243E-10  	        1.22299E-15  	        1.54769E-13  	        1.98959E-13  	        4.39382E-09  	        3.42056E-15  	        3.57903E-12  	        2.23694E-09  	        6.95578E-10  	        1.80583E-11  	        8.05537E-11  	        1.42217E-13  	        2.28923E-16  	        2.66227E-09  	        4.23399E-13  	        1.82997E-14  	        1.25438E-11  	        4.47361E-09  	        8.09458E-12  	        4.99974E-12  	        8.80707E-15  	        3.68217E-10  	        4.89641E-17  	        1.16198E-11  	        6.97151E-10  	        1.53486E-18  	        1.43391E-09  	        2.61999E-12  	        2.54021E-13  	        4.93895E-11  	        6.98122E-10  	        1.57140E-09  	        4.53398E-11  	        1.90301E-10  	        8.08342E-15  	        1.85308E-12  	        2.44969E-09  	        2.02201E-09  	        1.60578E-10  	        3.08749E-09  	        3.01826E-16  	        1.31885E-10  	        7.91676E-12  	        2.35182E-10  	        1.69296E-09  	        4.89771E-11  	        9.30237E-13  	        5.03034E-09  	        1.46085E-11  	        8.22057E-08  	        1.13434E-10  	        1.82924E-03  	        1.09421E-07  	        2.82212E-09  	        0.00000E+00  	        9.90656E-09  	        3.87073E-08  	        9.39637E-09  	        3.22534E-17  	        1.37622E-09  	        6.88019E-03  	        1.34119E-09  	        8.51366E-09  	        2.53354E-09  	        3.25168E-10  	        6.41788E-10  	        3.80912E-09  	        5.49224E-11  	        8.57675E-14  	        5.01424E-15  	        3.06294E-17  	        2.50543E-11  	        2.12272E-13  	        5.39571E-12  	        4.03981E-13  	        3.84867E-16  	        2.26766E-11  	        2.13105E-12  	        1.84281E-09  	        5.60759E-10  	        3.32314E-10  	        7.06926E-10  	        2.36360E-12  	        6.70590E-16  	        2.08221E-11  	        3.11376E-12  	        3.02105E-17  	        4.06328E-12  	        1.85613E-16  	        3.88670E-10  	        1.95388E-12  	        8.70553E-21  	        1.00910E-13  	        1.75012E-16  	        1.73026E-13  	        1.44011E-16  	        4.48483E-16  	        4.14654E-18  	        2.94035E-12  	        2.09658E-16  	        2.99777E-16  	        4.47438E-17  	        1.93259E-12  	        1.79879E-13  	        1.08354E-14
        6.00000E-03  	        1.39920E+03  	        2.51365E-01  	        1.01325E+05  	        6.57298E-16  	        1.11270E-17  	        6.89817E-10  	        1.79108E-15  	        2.22614E-13  	        3.33932E-13  	        6.22478E-09  	        4.84223E-15  	        5.35551E-12  	        3.32436E-09  	        1.22131E-09  	        2.81179E-11  	        1.29847E-10  	        1.98019E-13  	        6.48809E-16  	        3.58481E-09  	        5.70504E-13  	        3.97915E-14  	        1.66519E-11  	        6.44352E-09  	        1.43516E-11  	        8.97324E-12  	        1.11223E-14  	        5.35037E-10  	        8.41845E-17  	        1.63539E-11  	        9.09665E-10  	        5.93500E-18  	        2.77550E-09  	        3.41958E-12  	        3.56155E-13  	        6.53973E-11  	        1.20996E-09  	        2.12501E-09  	        6.94905E-11  	        2.76653E-10  	        1.28577E-14  	        2.56953E-12  	        3.50509E-09  	        2.43266E-09  	        2.13442E-10  	        4.48979E-09  	        7.17218E-16  	        1.85321E-10  	        1.01264E-11  	        2.82449E-10  	        2.40471E-09  	        7.69668E-11  	        1.77298E-12  	        6.90413E-09  	        2.65591E-11  	        1.40108E-07  	        1.57471E-10  	        1.82944E-03  	        1.89488E-07  	        4.07738E-09  	        0.00000E+00  	        1.45912E-08  	        6.73463E-08  	        1.29880E-08  	        8.42475E-17  	        1.99911E-09  	        6.88110E-03  	        1.85529E-09  	        1.20779E-08  	        4.14599E-09  	        4.81211E-10  	        9.14198E-10  	        5.43100E-09  	        8.63144E-11  	        1.14737E-13  	        7.44140E-15  	        5.02619E-17  	        3.43211E-11  	        3.95095E-13  	        7.99098E-12  	        7.89457E-13  	        9.31457E-16  	        2.71233E-11  	        5.56986E-12  	        2.62499E-09  	        1.09489E-09  	        5.64495E-10  	        1.11895E-09  	        3.89077E-12  	        1.12313E-15  	        4.93207E-11  	        7.69944E-12  	        6.70491E-17  	        7.60827E-12  	        3.11363E-16  	        5.49875E-10  	        2.67124E-12  	        1.25332E-20  	        1.62279E-13  	        2.71724E-16  	        2.38220E-13  	        1.99562E-16  	        6.15665E-16  	        6.36465E-18  	        5.78881E-12  	        4.49533E-16  	        7.98110E-16  	        7.81654E-17  	        3.79263E-12  	        3.28369E-13  	        1.88071E-14
        7.00000E-03  	        1.39904E+03  	        2.51403E-01  	        1.01325E+05  	        9.05628E-16  	        1.76577E-17  	        9.49510E-10  	        2.44470E-15  	        2.88347E-13  	        4.91485E-13  	        8.21909E-09  	        6.15119E-15  	        7.15732E-12  	        4.52379E-09  	        1.87984E-09  	        3.81155E-11  	        1.89034E-10  	        2.48626E-13  	        1.34025E-15  	        4.26820E-09  	        7.16562E-13  	        7.04602E-14  	        2.06934E-11  	        8.61841E-09  	        2.09192E-11  	        1.38338E-11  	        1.33772E-14  	        7.17296E-10  	        1.29577E-16  	        2.10097E-11  	        1.07770E-09  	        1.55713E-17  	        5.26387E-09  	        4.16812E-12  	        4.68646E-13  	        8.26258E-11  	        1.87656E-09  	        2.72799E-09  	        9.62531E-11  	        3.66819E-10  	        1.82755E-14  	        3.27046E-12  	        4.66772E-09  	        2.75014E-09  	        2.66218E-10  	        5.94629E-09  	        1.35630E-15  	        2.43039E-10  	        1.23328E-11  	        3.16025E-10  	        3.16077E-09  	        1.16878E-10  	        2.83308E-12  	        8.82838E-09  	        4.17934E-11  	        2.10429E-07  	        2.03644E-10  	        1.82960E-03  	        2.92871E-07  	        5.45556E-09  	        0.00000E+00  	        1.94438E-08  	        1.08140E-07  	        1.67897E-08  	        1.69330E-16  	        2.68454E-09  	        6.88199E-03  	        2.42212E-09  	        1.58211E-08  	        6.30332E-09  	        6.53601E-10  	        1.21143E-09  	        7.21231E-09  	        1.24395E-10  	        1.43561E-13  	        8.23417E-15  	        7.81199E-17  	        3.75786E-11  	        6.01155E-13  	        1.04653E-11  	        1.33971E-12  	        1.86328E-15  	        2.95298E-11  	        1.32644E-11  	        3.42670E-09  	        1.91084E-09  	        8.25625E-10  	        1.58314E-09  	        5.56322E-12  	        1.72076E-15  	        9.66048E-11  	        1.70053E-11  	        1.26009E-16  	        1.19827E-11  	        4.69114E-16  	        7.22585E-10  	        3.37219E-12  	        1.66110E-20  	        2.31027E-13  	        3.91555E-16  	        3.07805E-13  	        2.55350E-16  	        7.68442E-16  	        8.67153E-18  	        9.59349E-12  	        7.76598E-16  	        1.67616E-15  	        1.20079E-16  	        5.99108E-12  	        4.97772E-13  	        2.72106E-14
        8.00000E-03  	        1.39888E+03  	        2.51441E-01  	        1.01325E+05  	        1.15476E-15  	        2.54872E-17  	        1.22170E-09  	        3.13649E-15  	        3.47526E-13  	        6.51380E-13  	        1.03423E-08  	        7.31069E-15  	        8.89110E-12  	        5.79905E-09  	        2.67798E-09  	        4.75275E-11  	        2.57683E-10  	        2.91448E-13  	        2.32195E-15  	        4.80611E-09  	        8.57794E-13  	        1.11266E-13  	        2.44941E-11  	        1.09375E-08  	        2.75299E-11  	        1.96994E-11  	        1.54023E-14  	        9.10301E-10  	        1.85083E-16  	        2.55330E-11  	        1.23880E-09  	        3.24687E-17  	        9.22086E-09  	        4.86771E-12  	        5.84657E-13  	        9.98405E-11  	        2.65000E-09  	        3.36777E-09  	        1.25526E-10  	        4.57615E-10  	        2.38095E-14  	        3.91449E-12  	        5.90750E-09  	        3.03207E-09  	        3.19521E-10  	        7.42513E-09  	        2.26967E-15  	        3.03612E-10  	        1.44022E-11  	        3.43807E-10  	        3.95078E-09  	        1.71847E-10  	        4.06745E-12  	        1.08270E-08  	        5.98130E-11  	        2.90136E-07  	        2.50851E-10  	        1.82975E-03  	        4.19705E-07  	        6.91819E-09  	        0.00000E+00  	        2.44401E-08  	        1.64450E-07  	        2.08411E-08  	        2.96562E-16  	        3.41290E-09  	        6.88288E-03  	        3.02601E-09  	        1.97413E-08  	        8.99336E-09  	        8.37779E-10  	        1.52876E-09  	        9.10516E-09  	        1.66312E-10  	        1.71244E-13  	        8.72997E-15  	        1.15917E-16  	        3.75039E-11  	        8.07229E-13  	        1.26315E-11  	        2.07181E-12  	        3.14772E-15  	        3.18268E-11  	        2.88981E-11  	        4.25005E-09  	        3.01412E-09  	        1.11599E-09  	        2.06241E-09  	        7.17107E-12  	        2.45239E-15  	        1.63592E-10  	        3.11590E-11  	        2.03096E-16  	        1.69993E-11  	        6.51687E-16  	        9.05238E-10  	        4.01922E-12  	        2.04027E-20  	        3.02889E-13  	        5.34013E-16  	        3.81381E-13  	        3.11385E-16  	        9.04466E-16  	        1.11962E-17  	        1.42239E-11  	        1.19255E-15  	        2.96982E-15  	        1.72462E-16  	        8.05968E-12  	        6.89534E-13  	        3.67515E-14
        9.00000E-03  	        1.39874E+03  	        2.51476E-01  	        1.01325E+05  	        1.40255E-15  	        3.42334E-17  	        1.50298E-09  	        3.88180E-15  	        4.05168E-13  	        8.10778E-13  	        1.26411E-08  	        8.47539E-15  	        1.06577E-11  	        7.16266E-09  	        3.61110E-09  	        5.66028E-11  	        3.35158E-10  	        3.33727E-13  	        3.61238E-15  	        5.33503E-09  	        9.98615E-13  	        1.62920E-13  	        2.83660E-11  	        1.34419E-08  	        3.44225E-11  	        2.67157E-11  	        1.75766E-14  	        1.11691E-09  	        2.50809E-16  	        3.01755E-11  	        1.41674E-09  	        5.85573E-17  	        1.44791E-08  	        5.63674E-12  	        7.08790E-13  	        1.18163E-10  	        3.47342E-09  	        4.06832E-09  	        1.57476E-10  	        5.50856E-10  	        2.92965E-14  	        4.56784E-12  	        7.24794E-09  	        3.34343E-09  	        3.75032E-10  	        8.98065E-09  	        3.51332E-15  	        3.68229E-10  	        1.66173E-11  	        3.78472E-10  	        4.79806E-09  	        2.43298E-10  	        5.44223E-12  	        1.29943E-08  	        8.04092E-11  	        3.76354E-07  	        3.00928E-10  	        1.82984E-03  	        5.70094E-07  	        8.49088E-09  	        0.00000E+00  	        2.97884E-08  	        2.39547E-07  	        2.52673E-08  	        4.77991E-16  	        4.19443E-09  	        6.88365E-03  	        3.68380E-09  	        2.39824E-08  	        1.22158E-08  	        1.03497E-09  	        1.87293E-09  	        1.11481E-08  	        2.11342E-10  	        1.98960E-13  	        9.50646E-15  	        1.64896E-16  	        3.76770E-11  	        1.01670E-12  	        1.46536E-11  	        2.99322E-12  	        4.69066E-15  	        3.48082E-11  	        5.64953E-11  	        5.13305E-09  	        4.38133E-09  	        1.45325E-09  	        2.53659E-09  	        8.60932E-12  	        3.28391E-15  	        2.44952E-10  	        4.67902E-11  	        2.87285E-16  	        2.25511E-11  	        8.54785E-16  	        1.10301E-09  	        4.66952E-12  	        2.40009E-20  	        3.77878E-13  	        6.92896E-16  	        4.60081E-13  	        3.70058E-16  	        1.04670E-15  	        1.50303E-17  	        1.94204E-11  	        1.72222E-15  	        4.58856E-15  	        2.35540E-16  	        9.76246E-12  	        9.09748E-13  	        4.80229E-14
        1.01000E-02  	        1.39861E+03  	        2.51508E-01  	        1.01325E+05  	        1.71117E-15  	        4.58532E-17  	        1.83518E-09  	        4.85259E-15  	        4.78043E-13  	        9.84579E-13  	        1.54306E-08  	        1.00221E-14  	        1.29570E-11  	        8.77048E-09  	        4.79802E-09  	        6.74168E-11  	        4.30623E-10  	        3.89788E-13  	        5.45644E-15  	        6.03075E-09  	        1.17131E-12  	        2.34373E-13  	        3.31615E-11  	        1.64650E-08  	        4.29768E-11  	        3.62198E-11  	        2.04338E-14  	        1.36392E-09  	        3.39656E-16  	        3.54849E-11  	        1.66005E-09  	        1.00381E-16  	        2.13646E-08  	        6.70455E-12  	        8.72334E-13  	        1.41317E-10  	        4.41584E-09  	        4.94578E-09  	        1.97631E-10  	        6.61156E-10  	        3.58750E-14  	        5.41403E-12  	        8.87865E-09  	        3.75821E-09  	        4.40688E-10  	        1.08718E-08  	        5.37325E-15  	        4.47334E-10  	        1.94325E-11  	        4.28961E-10  	        5.82880E-09  	        3.41771E-10  	        7.15091E-12  	        1.56770E-08  	        1.06670E-10  	        4.78194E-07  	        3.63034E-10  	        1.82986E-03  	        7.65747E-07  	        1.03827E-08  	        0.00000E+00  	        3.64359E-08  	        3.47820E-07  	        3.07357E-08  	        7.61495E-16  	        5.13208E-09  	        6.88431E-03  	        4.48931E-09  	        2.91914E-08  	        1.64044E-08  	        1.26962E-09  	        2.29257E-09  	        1.36114E-08  	        2.62303E-10  	        2.36078E-13  	        1.08477E-14  	        2.33104E-16  	        3.96014E-11  	        1.26538E-12  	        1.71379E-11  	        4.24476E-12  	        6.66777E-15  	        3.92961E-11  	        1.04193E-10  	        6.21631E-09  	        6.19217E-09  	        1.89184E-09  	        3.06589E-09  	        1.01026E-11  	        4.33218E-15  	        3.42428E-10  	        6.22515E-11  	        3.86694E-16  	        2.93516E-11  	        1.11602E-15  	        1.34431E-09  	        5.48374E-12  	        2.82478E-20  	        4.68226E-13  	        8.79002E-16  	        5.58923E-13  	        4.46241E-16  	        1.24556E-15  	        2.09588E-17  	        2.56847E-11  	        2.47910E-15  	        6.62192E-15  	        3.22380E-16  	        1.13648E-11  	        1.19725E-12  	        6.34530E-14
