           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        1.00000E-03  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        4.1196E-231  	        4.1326E-242  	        8.6247E-236  	        1.1077E-232  	        2.5945E-226  	        0.00000E+00  	        3.3306E-233  	        1.2363E-219  	        8.1372E-221  	        4.0268E-222  	        1.3009E-227  	        1.4942E-231  	        0.00000E+00  	        2.2204E-220  	        2.8049E-226  	        0.00000E+00  	        2.0329E-223  	        6.7332E-220  	        1.8375E-223  	        7.6151E-233  	        3.2871E-235  	        7.3841E-223  	        0.00000E+00  	        5.1052E-231  	        1.4368E-220  	        0.00000E+00  	        7.45222E-12  	        7.9218E-225  	        1.9224E-231  	        8.4555E-222  	        1.8462E-219  	        9.1122E-220  	        1.8684E-226  	        3.7975E-224  	        0.00000E+00  	        1.3560E-224  	        2.2596E-220  	        5.0777E-220  	        3.3051E-220  	        9.1223E-217  	        0.00000E+00  	        8.8213E-225  	        1.2402E-223  	        9.3801E-221  	        7.9183E-223  	        2.9614E-224  	        3.0428E-231  	        1.6585E-219  	        6.4183E-244  	        8.90644E-12  	        2.5693E-223  	        1.61970E-01  	        3.3606E-214  	        1.2812E-222  	        0.00000E+00  	        2.6250E-221  	        8.38030E-01  	        3.6814E-218  	        0.00000E+00  	        4.2946E-222  	        0.00000E+00  	        3.2204E-222  	        3.7176E-219  	        5.8115E-220  	        8.4574E-220  	        3.4370E-221  	        6.6677E-219  	        1.0268E-219  	        4.6519E-224  	        0.00000E+00  	        0.00000E+00  	        1.9709E-223  	        1.3006E-244  	        6.1178E-235  	        1.3357E-231  	        0.00000E+00  	        9.2479E-225  	        0.00000E+00  	        1.0893E-218  	        3.8278E-219  	        6.7385E-226  	        4.3250E-219  	        9.6401E-222  	        0.00000E+00  	        7.3886E-225  	        2.3276E-227  	        0.00000E+00  	        3.3431E-245  	        0.00000E+00  	        6.3335E-219  	        3.2948E-225  	        0.00000E+00  	        3.9209E-239  	        0.00000E+00  	        2.3862E-233  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.4442E-233  	        3.6982E-241  	        0.00000E+00
        2.00000E-03  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        6.6318E-234  	        0.00000E+00  	        9.7018E-221  	        4.9959E-223  	        4.0606E-222  	        3.3903E-221  	        3.9258E-218  	        2.1244E-225  	        5.1988E-221  	        4.5068E-214  	        3.2871E-211  	        1.2447E-212  	        3.2452E-219  	        6.0283E-220  	        0.00000E+00  	        2.0508E-210  	        3.7888E-219  	        0.00000E+00  	        1.3304E-215  	        3.1373E-211  	        3.4591E-215  	        1.8602E-221  	        6.7923E-222  	        5.4097E-215  	        5.0315E-244  	        6.7094E-221  	        2.0376E-210  	        0.00000E+00  	        1.32998E-11  	        2.5582E-217  	        1.1335E-220  	        7.2819E-212  	        9.1826E-210  	        8.4837E-211  	        7.4146E-218  	        6.1946E-215  	        3.0226E-225  	        3.7720E-217  	        6.8927E-212  	        3.8047E-210  	        5.8051E-212  	        9.5674E-207  	        0.00000E+00  	        3.5300E-216  	        9.7581E-216  	        1.6161E-212  	        4.6257E-214  	        5.9423E-217  	        3.4065E-221  	        2.9056E-210  	        1.0201E-223  	        1.58984E-11  	        1.0164E-214  	        1.61970E-01  	        3.4998E-203  	        1.8291E-214  	        0.00000E+00  	        9.3400E-214  	        8.38030E-01  	        7.0545E-209  	        0.00000E+00  	        2.8695E-214  	        1.7361E-226  	        9.7166E-213  	        7.8658E-211  	        1.2339E-209  	        2.6915E-214  	        1.1356E-212  	        1.0365E-209  	        2.0380E-214  	        3.5192E-216  	        0.00000E+00  	        0.00000E+00  	        1.7883E-215  	        3.3374E-224  	        2.1547E-220  	        1.8143E-221  	        0.00000E+00  	        2.8257E-217  	        1.3902E-237  	        7.0719E-210  	        7.3962E-211  	        1.0132E-218  	        1.0330E-210  	        3.2822E-214  	        8.4959E-237  	        1.3217E-217  	        1.3881E-218  	        0.00000E+00  	        1.8664E-224  	        0.00000E+00  	        1.5934E-210  	        5.2750E-218  	        0.00000E+00  	        3.5108E-223  	        6.7643E-226  	        1.0096E-221  	        1.0077E-233  	        6.4011E-230  	        0.00000E+00  	        2.8377E-234  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        8.4389E-222  	        2.9078E-223  	        2.4333E-244
        3.10000E-03  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        5.0751E-220  	        1.8394E-238  	        9.5904E-214  	        2.3414E-216  	        1.0522E-214  	        7.2893E-216  	        3.5266E-210  	        1.3444E-218  	        3.1724E-213  	        1.4730E-210  	        8.4274E-204  	        8.7750E-205  	        1.1608E-212  	        3.9898E-216  	        0.00000E+00  	        8.5656E-203  	        3.9874E-212  	        4.2229E-224  	        1.3292E-208  	        1.6023E-203  	        9.2559E-208  	        1.5878E-214  	        4.7949E-215  	        9.5779E-207  	        3.0674E-222  	        1.4440E-213  	        6.7334E-203  	        0.00000E+00  	        2.00620E-11  	        7.0114E-210  	        6.2183E-214  	        3.2659E-205  	        8.4640E-202  	        7.3621E-203  	        3.2948E-210  	        4.2904E-207  	        3.8839E-218  	        8.4484E-210  	        5.4389E-204  	        2.3514E-202  	        2.2029E-205  	        8.2006E-199  	        3.9211E-228  	        2.6154E-209  	        1.0722E-208  	        1.0119E-204  	        3.3395E-206  	        9.5525E-210  	        1.5476E-214  	        2.1173E-202  	        8.5734E-216  	        2.39871E-11  	        6.6639E-207  	        1.61970E-01  	        1.3464E-194  	        1.3210E-206  	        0.00000E+00  	        1.1793E-205  	        8.38030E-01  	        2.5036E-201  	        0.00000E+00  	        6.3749E-208  	        8.5255E-219  	        5.2945E-205  	        4.2317E-203  	        1.3773E-202  	        1.0476E-210  	        2.8932E-205  	        6.5932E-202  	        6.2095E-211  	        4.4619E-212  	        1.9881E-226  	        0.00000E+00  	        2.1748E-208  	        2.6087E-218  	        1.6473E-213  	        5.0262E-217  	        2.8785E-227  	        7.9089E-210  	        3.9836E-221  	        3.1948E-202  	        3.7694E-203  	        5.3971E-212  	        5.0921E-203  	        3.9452E-206  	        2.0624E-221  	        1.6437E-210  	        1.0937E-212  	        0.00000E+00  	        6.2503E-218  	        7.2595E-223  	        1.2854E-202  	        3.9603E-213  	        0.00000E+00  	        2.6549E-218  	        2.2904E-219  	        1.0322E-216  	        2.9853E-221  	        8.3882E-220  	        0.00000E+00  	        1.5902E-220  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.8806E-215  	        8.9616E-218  	        5.0394E-222
        4.10000E-03  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        7.6205E-217  	        6.0850E-221  	        5.3815E-209  	        1.0391E-211  	        9.4301E-209  	        5.7118E-213  	        1.3120E-202  	        7.2303E-215  	        1.1176E-206  	        3.6072E-208  	        3.7881E-198  	        1.9185E-198  	        4.6995E-209  	        8.3761E-213  	        7.0739E-223  	        1.2894E-195  	        1.6388E-207  	        1.7359E-217  	        1.7332E-202  	        8.1712E-197  	        3.4835E-202  	        8.7020E-208  	        1.5178E-210  	        2.9259E-201  	        3.0099E-217  	        3.4851E-207  	        7.1260E-196  	        0.00000E+00  	        2.66651E-11  	        3.4194E-204  	        1.3154E-209  	        2.5085E-199  	        1.0987E-195  	        3.2072E-196  	        3.5015E-204  	        1.2378E-199  	        9.5101E-213  	        3.6101E-204  	        1.0706E-197  	        1.0082E-195  	        2.3822E-200  	        9.9177E-193  	        1.7329E-218  	        1.0300E-204  	        6.7557E-203  	        2.0517E-198  	        9.6996E-199  	        3.4845E-204  	        5.6761E-209  	        4.5804E-195  	        1.4742E-208  	        3.18882E-11  	        1.4087E-201  	        1.61970E-01  	        4.4798E-187  	        1.9362E-201  	        0.00000E+00  	        2.9032E-199  	        8.38030E-01  	        3.1675E-194  	        5.2429E-226  	        1.4155E-203  	        3.0539E-213  	        2.3456E-197  	        7.1753E-197  	        8.8889E-195  	        1.4497E-208  	        6.6724E-198  	        2.4311E-195  	        7.4034E-209  	        9.8234E-211  	        1.0895E-218  	        0.00000E+00  	        2.0149E-203  	        3.2202E-214  	        5.5780E-208  	        6.5238E-214  	        7.7466E-219  	        8.9736E-205  	        7.5924E-217  	        2.1697E-196  	        1.9150E-197  	        1.5326E-206  	        2.4063E-197  	        1.9571E-201  	        2.9914E-216  	        2.5385E-206  	        2.5869E-208  	        0.00000E+00  	        7.8227E-211  	        1.9147E-218  	        7.5286E-197  	        1.1669E-208  	        0.00000E+00  	        1.7012E-215  	        1.4616E-216  	        1.5352E-212  	        3.9612E-217  	        2.9078E-215  	        5.0621E-223  	        3.9718E-215  	        6.3861E-226  	        0.00000E+00  	        0.00000E+00  	        3.6852E-209  	        7.8194E-213  	        3.8252E-217
        5.00000E-03  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        1.0298E-214  	        1.2548E-216  	        6.7031E-205  	        5.0812E-208  	        8.7788E-205  	        6.4278E-211  	        5.7701E-197  	        1.1277E-210  	        2.2814E-202  	        5.6045E-206  	        3.2864E-194  	        2.2435E-193  	        6.1127E-206  	        9.0496E-209  	        4.2492E-217  	        2.8990E-190  	        2.4103E-203  	        2.5553E-213  	        1.3575E-198  	        1.7059E-191  	        2.6061E-198  	        1.5691E-202  	        9.7276E-207  	        7.1395E-197  	        1.0767E-214  	        1.7497E-202  	        1.0275E-190  	        0.00000E+00  	        3.29943E-11  	        4.3747E-200  	        1.0973E-205  	        2.4406E-195  	        4.2904E-191  	        3.1025E-191  	        1.4671E-199  	        1.5933E-193  	        8.8372E-209  	        2.8924E-200  	        9.7360E-193  	        1.5474E-190  	        2.0470E-196  	        6.2332E-188  	        8.4836E-215  	        6.1038E-201  	        8.4715E-199  	        1.8389E-193  	        6.3078E-193  	        1.8951E-199  	        1.6919E-204  	        1.0448E-189  	        6.7165E-202  	        3.94642E-11  	        7.9923E-198  	        1.61970E-01  	        5.0914E-181  	        1.0547E-197  	        0.00000E+00  	        7.0257E-194  	        8.38030E-01  	        4.1414E-189  	        7.6810E-218  	        8.0359E-201  	        4.9400E-209  	        1.6966E-191  	        9.6252E-192  	        3.5845E-189  	        9.6072E-207  	        1.4391E-192  	        1.6569E-190  	        6.2325E-207  	        7.8586E-208  	        8.1169E-215  	        0.00000E+00  	        4.3261E-199  	        6.2377E-210  	        4.9246E-204  	        1.4615E-210  	        1.2612E-216  	        8.7728E-201  	        5.2927E-213  	        3.9390E-192  	        1.6020E-193  	        1.9233E-201  	        2.3991E-193  	        1.5028E-197  	        1.5478E-212  	        6.9701E-202  	        3.7006E-204  	        0.00000E+00  	        6.2698E-206  	        1.0945E-215  	        1.2233E-192  	        6.5710E-205  	        0.00000E+00  	        1.9190E-212  	        2.6912E-214  	        5.7302E-209  	        2.7214E-214  	        1.2535E-211  	        4.3737E-218  	        1.4516E-209  	        7.8685E-219  	        0.00000E+00  	        0.00000E+00  	        1.0796E-204  	        1.0613E-208  	        1.7569E-212
        6.00000E-03  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        6.9299E-212  	        3.0312E-212  	        5.6634E-201  	        1.3652E-204  	        5.7543E-200  	        1.0112E-209  	        2.5168E-191  	        1.2055E-206  	        1.0306E-197  	        3.9798E-203  	        1.2431E-189  	        1.5078E-188  	        1.4727E-202  	        2.2347E-204  	        1.1739E-211  	        6.8753E-185  	        4.5433E-199  	        1.4862E-209  	        3.3117E-194  	        1.5369E-186  	        3.7856E-194  	        1.2129E-197  	        7.1340E-203  	        3.0922E-192  	        4.0364E-212  	        4.1543E-198  	        2.8577E-185  	        7.4961E-222  	        4.04693E-11  	        4.9557E-195  	        7.0501E-202  	        1.4001E-190  	        1.6624E-186  	        1.4380E-186  	        8.7357E-195  	        1.0077E-187  	        2.7342E-204  	        7.8011E-196  	        3.5440E-188  	        2.2508E-185  	        2.1707E-192  	        2.4862E-183  	        3.3280E-210  	        5.6850E-198  	        8.9782E-195  	        5.9159E-189  	        2.8678E-187  	        1.0446E-194  	        8.0688E-200  	        3.7761E-184  	        6.4525E-196  	        4.84144E-11  	        4.0179E-194  	        1.61970E-01  	        2.6226E-175  	        5.2532E-194  	        0.00000E+00  	        4.3369E-188  	        8.38030E-01  	        1.1219E-183  	        1.5749E-212  	        3.4481E-198  	        1.7330E-204  	        9.3324E-186  	        2.8549E-186  	        1.7599E-183  	        5.8625E-205  	        3.3899E-187  	        7.0250E-186  	        2.0807E-205  	        1.2995E-203  	        4.8984E-211  	        0.00000E+00  	        1.0305E-194  	        6.6447E-206  	        2.3642E-199  	        5.7978E-207  	        9.7163E-213  	        6.9376E-196  	        1.9485E-208  	        2.7957E-187  	        1.4657E-188  	        5.8481E-196  	        1.7020E-188  	        2.1603E-193  	        1.2363E-208  	        7.7792E-198  	        4.3185E-200  	        4.4925E-226  	        2.1562E-201  	        2.8237E-213  	        4.6370E-188  	        5.7802E-201  	        0.00000E+00  	        3.0468E-209  	        3.1262E-211  	        3.1448E-205  	        8.5939E-211  	        5.0141E-208  	        1.0161E-215  	        1.9810E-204  	        4.4707E-214  	        4.8733E-231  	        2.8223E-226  	        4.3293E-200  	        1.6834E-204  	        8.3234E-208
        7.00000E-03  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        2.1594E-209  	        8.8558E-209  	        5.7545E-197  	        7.4222E-202  	        1.3992E-195  	        2.5020E-208  	        4.3070E-186  	        1.1163E-202  	        1.5277E-192  	        1.0762E-200  	        1.4487E-185  	        6.3834E-184  	        1.2807E-199  	        2.5438E-200  	        7.4169E-207  	        5.2079E-180  	        4.7040E-195  	        6.1668E-206  	        4.0367E-190  	        7.5503E-182  	        5.2544E-190  	        4.0551E-193  	        4.8550E-200  	        3.3805E-188  	        6.3891E-210  	        1.9901E-193  	        1.6472E-180  	        1.4112E-214  	        4.83727E-11  	        2.1419E-191  	        6.4285E-199  	        1.8081E-186  	        2.5389E-182  	        9.8413E-182  	        3.9842E-190  	        2.3717E-182  	        2.9125E-200  	        7.7332E-192  	        1.8201E-183  	        7.7541E-181  	        2.4021E-188  	        5.6643E-179  	        6.3226E-206  	        2.4519E-195  	        1.6437E-190  	        2.2327E-184  	        3.8786E-182  	        6.6983E-191  	        3.4543E-195  	        2.4726E-179  	        3.0424E-190  	        5.78808E-11  	        2.8762E-192  	        1.61970E-01  	        8.6200E-170  	        1.2802E-191  	        0.00000E+00  	        6.3296E-183  	        8.38030E-01  	        1.0251E-178  	        5.7649E-208  	        5.5032E-196  	        1.9466E-200  	        2.1837E-180  	        4.4044E-181  	        2.9452E-178  	        2.1806E-203  	        1.3821E-182  	        2.0422E-181  	        4.4003E-204  	        1.1751E-199  	        6.7597E-207  	        0.00000E+00  	        8.8075E-191  	        6.6903E-202  	        4.5901E-195  	        1.7280E-203  	        1.0204E-208  	        4.2128E-191  	        2.9702E-204  	        2.0910E-183  	        1.2155E-184  	        4.2095E-191  	        1.5292E-184  	        1.4425E-189  	        2.6094E-205  	        1.4731E-193  	        5.4757E-196  	        5.9116E-214  	        3.5586E-197  	        2.2697E-210  	        6.2024E-184  	        2.0698E-197  	        0.00000E+00  	        2.4316E-206  	        1.6520E-208  	        6.8906E-202  	        5.2216E-208  	        6.9813E-205  	        1.8877E-210  	        4.6091E-200  	        1.5009E-209  	        1.7945E-216  	        1.4476E-213  	        1.6729E-195  	        1.9736E-200  	        2.2710E-203
        8.00000E-03  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        4.3572E-207  	        7.7622E-206  	        4.7815E-193  	        1.7983E-199  	        6.9317E-192  	        1.9991E-206  	        1.6905E-181  	        9.5948E-199  	        9.3877E-188  	        8.1203E-199  	        2.1257E-181  	        1.7962E-179  	        1.0769E-196  	        3.2521E-196  	        3.0794E-202  	        2.8356E-175  	        5.7514E-192  	        3.2044E-203  	        3.4370E-186  	        1.9614E-177  	        1.3617E-185  	        1.6682E-188  	        5.3276E-197  	        4.1798E-184  	        1.3900E-207  	        4.6274E-189  	        1.1961E-175  	        1.3230E-210  	        5.67014E-11  	        2.9798E-187  	        6.6030E-196  	        1.8350E-182  	        2.7110E-178  	        1.2542E-177  	        4.1090E-185  	        1.5619E-177  	        3.6546E-196  	        1.4713E-187  	        1.8086E-179  	        5.0065E-176  	        3.9833E-184  	        9.6479E-175  	        4.5188E-202  	        9.1451E-193  	        6.0243E-187  	        2.1574E-180  	        1.7760E-177  	        4.0988E-187  	        9.0604E-191  	        1.4974E-174  	        1.2253E-185  	        6.78599E-11  	        7.2583E-190  	        1.61970E-01  	        9.3638E-165  	        1.1562E-189  	        0.00000E+00  	        2.7682E-178  	        8.38030E-01  	        6.0054E-174  	        5.4394E-204  	        5.2626E-194  	        1.2249E-196  	        1.3549E-175  	        1.9380E-176  	        1.3241E-173  	        1.2238E-201  	        1.3205E-177  	        2.2292E-177  	        1.3836E-202  	        9.9378E-196  	        2.1508E-203  	        0.00000E+00  	        1.4342E-186  	        2.0531E-198  	        3.0267E-191  	        3.2900E-200  	        2.1877E-205  	        1.0875E-187  	        3.6464E-200  	        3.1587E-179  	        1.2907E-180  	        1.8743E-186  	        1.4809E-180  	        2.4137E-185  	        1.7162E-202  	        1.7894E-189  	        2.6143E-192  	        2.1122E-211  	        4.0535E-193  	        9.0902E-208  	        6.4030E-180  	        2.0569E-194  	        0.00000E+00  	        7.2831E-204  	        2.8952E-206  	        6.9426E-199  	        1.6959E-205  	        3.6855E-202  	        1.7810E-207  	        1.3694E-195  	        1.3698E-206  	        1.2004E-212  	        2.6369E-210  	        2.1653E-191  	        2.0859E-196  	        2.6306E-199
        9.00000E-03  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        8.3962E-205  	        3.1018E-203  	        1.5569E-189  	        3.0972E-197  	        8.8575E-188  	        6.6190E-205  	        7.8078E-177  	        1.7696E-195  	        2.0936E-184  	        7.8261E-198  	        2.2530E-177  	        2.5237E-175  	        1.2660E-193  	        1.8997E-192  	        6.0095E-198  	        1.3413E-170  	        4.5951E-189  	        1.3446E-200  	        3.6376E-183  	        2.0323E-173  	        1.3570E-181  	        1.4194E-184  	        8.5565E-195  	        6.5358E-180  	        2.2158E-205  	        3.8598E-185  	        5.6133E-171  	        5.9311E-208  	        6.54386E-11  	        8.3823E-184  	        1.1164E-193  	        2.2558E-178  	        3.2899E-174  	        1.0805E-173  	        6.2585E-181  	        9.4597E-173  	        2.0399E-192  	        1.0832E-183  	        2.4853E-175  	        7.2599E-172  	        1.9680E-180  	        1.0627E-170  	        2.3639E-199  	        4.9075E-191  	        6.7457E-184  	        2.9714E-176  	        6.1555E-173  	        5.9462E-183  	        1.4927E-186  	        4.4883E-170  	        9.6669E-181  	        7.83320E-11  	        5.5395E-188  	        1.61970E-01  	        6.5483E-160  	        7.4669E-188  	        0.00000E+00  	        1.6338E-173  	        8.38030E-01  	        2.7053E-169  	        1.1580E-200  	        1.6412E-192  	        4.0417E-193  	        8.3852E-171  	        1.5973E-171  	        1.2019E-168  	        8.4269E-200  	        3.0146E-173  	        3.9345E-173  	        2.0706E-201  	        1.3418E-192  	        8.9249E-201  	        0.00000E+00  	        1.2250E-182  	        2.5628E-195  	        1.0281E-187  	        3.8558E-197  	        1.0584E-202  	        1.2134E-183  	        4.7059E-196  	        4.1798E-175  	        1.5059E-176  	        7.2837E-182  	        1.8350E-176  	        2.0194E-181  	        9.8824E-200  	        1.5926E-185  	        1.8083E-189  	        1.4029E-209  	        5.3101E-189  	        1.4750E-205  	        8.9360E-176  	        2.0868E-191  	        0.00000E+00  	        3.5715E-201  	        1.1844E-203  	        5.8564E-196  	        6.3462E-203  	        2.1676E-199  	        1.3175E-206  	        1.6053E-191  	        2.8663E-206  	        4.4532E-211  	        2.4430E-209  	        2.3049E-187  	        1.2446E-192  	        1.1014E-195
        1.01000E-02  	        1.40000E+03  	        3.61140E-01  	        1.01325E+05  	        2.4095E-203  	        1.4439E-200  	        1.1487E-185  	        9.4000E-197  	        3.8255E-183  	        1.3442E-203  	        3.4719E-172  	        2.3886E-192  	        1.6043E-180  	        4.2249E-196  	        9.3914E-173  	        5.8081E-171  	        6.8000E-191  	        5.2280E-189  	        1.6527E-193  	        8.8981E-166  	        1.1878E-185  	        3.0489E-198  	        7.4362E-180  	        5.2793E-169  	        3.3351E-177  	        7.3330E-180  	        7.8045E-192  	        1.8446E-176  	        1.6382E-203  	        3.2616E-181  	        2.6748E-166  	        2.0281E-205  	        7.55182E-11  	        1.1745E-180  	        1.0199E-191  	        5.3218E-174  	        3.8045E-170  	        4.5812E-169  	        2.0868E-176  	        1.2799E-167  	        4.7039E-189  	        3.6236E-180  	        8.1574E-171  	        2.5873E-167  	        4.9074E-177  	        3.0285E-166  	        1.9737E-196  	        9.6584E-190  	        1.3528E-180  	        9.3952E-172  	        1.8960E-168  	        4.1887E-179  	        4.3712E-182  	        1.7081E-165  	        3.8425E-176  	        9.04175E-11  	        4.0239E-186  	        1.61970E-01  	        1.0673E-154  	        7.0600E-186  	        0.00000E+00  	        1.4596E-168  	        8.38030E-01  	        8.6973E-165  	        1.8486E-197  	        5.1146E-191  	        1.5320E-189  	        5.6129E-166  	        1.6664E-166  	        1.1994E-163  	        1.9770E-197  	        9.0824E-169  	        1.1217E-169  	        5.0160E-200  	        2.9448E-189  	        2.8187E-198  	        0.00000E+00  	        9.1265E-179  	        4.8296E-192  	        8.3781E-184  	        7.6226E-194  	        3.4525E-200  	        9.7377E-180  	        1.1355E-191  	        1.1564E-170  	        3.6029E-172  	        2.6281E-177  	        3.2548E-172  	        1.2229E-177  	        2.0516E-197  	        6.1312E-181  	        4.1403E-186  	        6.3320E-208  	        3.1880E-185  	        6.9077E-203  	        1.5699E-171  	        5.4500E-188  	        0.00000E+00  	        7.5215E-199  	        2.5062E-202  	        6.8273E-193  	        1.2024E-201  	        1.4043E-196  	        2.5224E-205  	        4.9638E-187  	        2.1654E-204  	        2.0475E-207  	        8.5890E-208  	        8.3698E-183  	        2.6626E-189  	        1.7624E-192
