           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        6.7577E-193  	        1.2088E-201  	        1.9392E-201  	        3.0553E-199  	        2.6047E-187  	        0.00000E+00  	        8.5471E-193  	        1.1564E-181  	        4.3653E-184  	        2.3079E-185  	        8.8626E-194  	        2.2050E-193  	        0.00000E+00  	        1.2175E-183  	        8.9583E-190  	        0.00000E+00  	        3.9307E-186  	        8.0701E-182  	        7.2018E-187  	        2.3258E-198  	        1.6261E-196  	        1.2089E-184  	        0.00000E+00  	        5.9138E-192  	        1.7085E-183  	        0.00000E+00  	        1.91504E-14  	        5.2816E-187  	        9.1312E-193  	        6.0830E-185  	        6.6301E-183  	        5.5284E-183  	        7.8492E-189  	        1.8043E-185  	        2.8567E-208  	        5.8474E-187  	        1.4498E-183  	        1.5775E-182  	        1.0532E-184  	        1.1627E-179  	        0.00000E+00  	        1.1247E-186  	        5.0974E-186  	        1.0973E-183  	        1.7870E-184  	        1.4296E-185  	        2.6911E-200  	        1.7927E-182  	        5.4729E-200  	        2.7940E-180  	        6.6175E-186  	        1.82829E-03  	        1.4268E-175  	        1.4045E-184  	        0.00000E+00  	        9.1218E-182  	        1.4073E-179  	        4.3469E-180  	        0.00000E+00  	        4.0194E-184  	        6.87641E-03  	        4.3437E-184  	        7.2170E-181  	        2.0325E-182  	        6.2841E-183  	        2.1918E-183  	        3.9289E-181  	        6.4599E-183  	        3.4534E-187  	        0.00000E+00  	        0.00000E+00  	        7.6347E-186  	        0.00000E+00  	        6.6362E-198  	        8.9780E-197  	        0.00000E+00  	        7.9669E-188  	        5.70627E-15  	        2.0411E-180  	        3.9511E-181  	        2.2276E-188  	        4.9934E-181  	        1.9949E-184  	        0.00000E+00  	        1.6123E-201  	        1.1266E-189  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.6054E-181  	        4.8915E-188  	        0.00000E+00  	        5.7570E-208  	        0.00000E+00  	        3.9988E-197  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.5213E-199  	        0.00000E+00  	        0.00000E+00
        2.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.7699E-198  	        0.00000E+00  	        1.9555E-181  	        1.9467E-184  	        3.3348E-184  	        5.6131E-184  	        3.4176E-178  	        2.3316E-191  	        9.2511E-181  	        3.2501E-175  	        1.0033E-173  	        3.8255E-175  	        3.0490E-182  	        3.3926E-182  	        0.00000E+00  	        7.5066E-173  	        4.9708E-180  	        0.00000E+00  	        5.5882E-177  	        1.4311E-172  	        2.0612E-177  	        2.2542E-183  	        6.1119E-183  	        4.7227E-176  	        0.00000E+00  	        3.1848E-181  	        5.9870E-173  	        0.00000E+00  	        3.39584E-14  	        1.1865E-177  	        8.6938E-182  	        1.5936E-175  	        2.1822E-172  	        1.6407E-172  	        5.0953E-179  	        7.6136E-176  	        2.1760E-186  	        4.4256E-178  	        3.3080E-173  	        8.2963E-172  	        3.3923E-175  	        8.6145E-170  	        0.00000E+00  	        2.5481E-177  	        7.2533E-177  	        1.6167E-173  	        4.8313E-175  	        1.3200E-176  	        3.0624E-184  	        2.3699E-172  	        3.7972E-184  	        1.0997E-170  	        6.5164E-176  	        1.82829E-03  	        3.4067E-164  	        8.3832E-176  	        0.00000E+00  	        3.1194E-173  	        1.1162E-169  	        1.5940E-170  	        0.00000E+00  	        6.7836E-176  	        6.87641E-03  	        2.0742E-174  	        7.2677E-172  	        1.3553E-171  	        1.6309E-176  	        2.1382E-174  	        1.3061E-171  	        1.6844E-176  	        3.7628E-179  	        0.00000E+00  	        2.3277E-202  	        1.8499E-176  	        3.5641E-188  	        3.2986E-182  	        2.2434E-183  	        0.00000E+00  	        1.7216E-178  	        1.00938E-14  	        4.0509E-171  	        3.7168E-172  	        1.9708E-180  	        5.9973E-172  	        1.9466E-175  	        0.00000E+00  	        1.4851E-184  	        1.6989E-180  	        0.00000E+00  	        9.9525E-191  	        0.00000E+00  	        3.6660E-172  	        8.3569E-181  	        0.00000E+00  	        2.8756E-186  	        1.7518E-189  	        1.5732E-183  	        0.00000E+00  	        9.6308E-205  	        0.00000E+00  	        6.6442E-208  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        4.1445E-184  	        1.2492E-187  	        0.00000E+00
        3.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        7.5457E-183  	        0.00000E+00  	        9.3430E-175  	        5.9965E-178  	        4.5233E-177  	        1.3397E-178  	        3.9396E-169  	        3.6500E-181  	        4.1115E-173  	        4.7746E-172  	        1.7743E-167  	        6.0669E-168  	        3.5729E-176  	        5.5919E-177  	        0.00000E+00  	        3.6363E-164  	        7.7858E-174  	        4.7893E-193  	        7.9083E-170  	        4.2177E-164  	        2.3692E-171  	        8.2814E-177  	        8.9040E-177  	        4.4471E-168  	        1.2238E-186  	        6.8079E-174  	        1.2431E-164  	        0.00000E+00  	        5.10781E-14  	        3.6347E-171  	        9.3944E-176  	        8.5205E-168  	        3.2718E-165  	        3.6800E-164  	        9.5052E-172  	        3.0143E-166  	        1.9625E-179  	        1.2861E-171  	        2.9579E-165  	        5.1808E-163  	        2.5698E-168  	        3.4955E-162  	        0.00000E+00  	        1.3282E-170  	        1.1609E-169  	        2.4421E-165  	        1.1458E-165  	        2.1039E-170  	        8.5142E-179  	        1.8479E-163  	        5.2398E-176  	        1.6755E-162  	        4.8093E-168  	        1.82829E-03  	        5.6398E-155  	        7.3342E-168  	        0.00000E+00  	        6.6597E-165  	        3.9626E-161  	        2.7838E-162  	        0.00000E+00  	        2.3230E-168  	        6.87641E-03  	        6.1834E-165  	        4.5281E-164  	        1.3217E-162  	        2.9804E-173  	        8.2458E-166  	        2.3395E-163  	        1.4727E-173  	        5.1229E-175  	        0.00000E+00  	        6.5189E-183  	        1.6324E-170  	        1.6602E-180  	        5.4504E-176  	        5.7469E-179  	        0.00000E+00  	        2.8611E-172  	        1.51429E-14  	        3.6721E-164  	        1.8854E-165  	        2.0237E-174  	        2.5173E-165  	        5.3040E-168  	        5.4779E-190  	        2.5709E-177  	        1.0611E-174  	        0.00000E+00  	        8.4059E-181  	        2.4705E-186  	        2.6112E-165  	        6.8905E-175  	        0.00000E+00  	        1.1378E-180  	        1.0149E-181  	        7.5284E-179  	        8.3601E-187  	        5.3080E-184  	        0.00000E+00  	        7.8039E-185  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.2490E-177  	        2.2396E-180  	        3.6731E-202
        4.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        8.8286E-180  	        2.2579E-197  	        1.5644E-169  	        1.7425E-173  	        2.2754E-171  	        3.9446E-176  	        5.6224E-163  	        5.7477E-176  	        1.1561E-167  	        7.8125E-170  	        7.0601E-162  	        2.7016E-162  	        4.6764E-173  	        2.5422E-174  	        0.00000E+00  	        1.9917E-158  	        5.0691E-168  	        4.5626E-182  	        3.2685E-164  	        8.0433E-159  	        5.7013E-166  	        2.9599E-171  	        1.1042E-171  	        3.1411E-163  	        5.9567E-180  	        1.5063E-168  	        3.3391E-159  	        0.00000E+00  	        6.78225E-14  	        6.9048E-165  	        6.7053E-171  	        8.0579E-163  	        1.2033E-159  	        3.2331E-159  	        3.3669E-166  	        3.2741E-159  	        7.4609E-174  	        2.2573E-165  	        3.3397E-160  	        2.7556E-157  	        1.1922E-163  	        1.5535E-156  	        2.2325E-189  	        2.5238E-165  	        3.8096E-164  	        3.2019E-160  	        5.4196E-159  	        7.4138E-165  	        1.3728E-172  	        3.8363E-157  	        3.3311E-169  	        2.1483E-156  	        3.7059E-163  	        1.82829E-03  	        1.4927E-147  	        1.3304E-162  	        0.00000E+00  	        9.8100E-159  	        2.0277E-155  	        1.0929E-156  	        0.00000E+00  	        7.2254E-164  	        6.87641E-03  	        1.0182E-157  	        5.6213E-158  	        3.5018E-156  	        2.7692E-171  	        6.3605E-160  	        5.0246E-158  	        5.4251E-172  	        3.4146E-173  	        3.0619E-206  	        3.3644E-177  	        3.6545E-165  	        4.4664E-176  	        2.1645E-170  	        1.6643E-176  	        6.8944E-196  	        1.1857E-166  	        2.00605E-14  	        1.6704E-158  	        8.9030E-160  	        1.3664E-168  	        1.1632E-159  	        4.1471E-163  	        1.7086E-179  	        1.0842E-171  	        9.9220E-170  	        1.0924E-184  	        1.1599E-175  	        1.0902E-180  	        8.7305E-160  	        1.8421E-170  	        0.00000E+00  	        1.3737E-178  	        1.1585E-179  	        4.5807E-175  	        8.1763E-181  	        2.3443E-178  	        0.00000E+00  	        1.6638E-179  	        0.00000E+00  	        0.00000E+00  	        4.7582E-192  	        4.9992E-172  	        1.0978E-175  	        6.9241E-183
        5.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        7.7513E-178  	        4.9661E-181  	        1.4034E-165  	        4.5412E-170  	        1.1476E-166  	        2.3914E-175  	        3.8732E-158  	        1.0172E-171  	        1.1021E-162  	        1.3158E-167  	        1.9063E-157  	        4.1864E-157  	        7.4815E-170  	        4.8320E-170  	        4.1046E-186  	        9.7149E-154  	        7.6596E-164  	        1.9724E-177  	        7.2089E-160  	        6.2427E-153  	        7.1243E-162  	        3.1445E-166  	        8.7092E-169  	        4.4307E-158  	        2.5898E-177  	        3.1310E-163  	        6.9138E-154  	        0.00000E+00  	        8.38968E-14  	        1.2679E-160  	        1.0544E-167  	        1.0673E-157  	        6.3638E-155  	        6.1799E-153  	        3.8164E-161  	        9.5644E-155  	        2.2580E-169  	        6.6941E-161  	        1.2605E-154  	        2.7994E-152  	        7.2306E-160  	        8.8435E-152  	        1.1145E-179  	        2.6134E-162  	        1.4804E-159  	        1.3926E-154  	        9.8555E-155  	        4.1939E-159  	        3.0887E-168  	        2.4970E-152  	        1.3048E-164  	        1.6759E-151  	        8.3832E-160  	        1.82829E-03  	        2.8487E-142  	        1.3571E-159  	        0.00000E+00  	        5.9691E-154  	        2.5612E-150  	        1.5672E-151  	        8.8587E-193  	        2.4850E-162  	        6.87641E-03  	        4.4488E-153  	        1.4112E-153  	        6.8150E-152  	        4.4316E-170  	        1.0483E-154  	        3.4384E-152  	        6.4030E-171  	        2.2996E-169  	        6.1765E-184  	        4.9286E-173  	        1.3822E-160  	        5.6477E-172  	        1.1687E-165  	        3.7049E-173  	        6.6966E-180  	        2.5152E-162  	        2.47638E-14  	        1.3376E-153  	        3.1926E-155  	        6.0369E-164  	        4.3592E-155  	        2.6868E-159  	        1.0267E-174  	        1.3177E-166  	        2.4527E-166  	        2.1938E-177  	        1.4238E-170  	        1.9985E-178  	        5.1699E-155  	        1.5224E-167  	        0.00000E+00  	        1.4763E-175  	        1.3281E-177  	        1.0820E-171  	        6.7305E-178  	        1.5526E-174  	        1.7393E-188  	        7.6029E-175  	        8.2989E-189  	        0.00000E+00  	        1.6597E-179  	        2.2887E-167  	        2.3605E-171  	        6.0427E-177
        6.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.2031E-174  	        5.4907E-175  	        6.7134E-162  	        9.4343E-167  	        5.2542E-162  	        5.8750E-174  	        5.1793E-152  	        5.8018E-168  	        4.3197E-157  	        1.7151E-165  	        2.7030E-153  	        2.2796E-152  	        1.5091E-166  	        7.0612E-166  	        2.1803E-176  	        3.7875E-147  	        2.0356E-160  	        1.1207E-173  	        1.4789E-155  	        4.7423E-148  	        2.4974E-158  	        7.9662E-161  	        2.2720E-165  	        1.9027E-153  	        1.4301E-174  	        6.2645E-158  	        3.8511E-148  	        8.9257E-195  	        1.02939E-13  	        4.2214E-156  	        2.6502E-164  	        6.1011E-153  	        2.9721E-150  	        4.7609E-148  	        1.4195E-156  	        1.5834E-148  	        1.5931E-165  	        1.2784E-156  	        2.2045E-149  	        4.8784E-146  	        2.1938E-156  	        4.1547E-147  	        1.3374E-174  	        3.7665E-160  	        8.8256E-156  	        5.4945E-150  	        5.9599E-148  	        4.8522E-155  	        1.6899E-163  	        4.0972E-146  	        4.6750E-158  	        2.9343E-145  	        1.1366E-156  	        1.82829E-03  	        9.4102E-137  	        2.7332E-156  	        0.00000E+00  	        1.5978E-147  	        3.0407E-144  	        1.5487E-145  	        4.0015E-179  	        1.6870E-160  	        6.87641E-03  	        3.8135E-147  	        6.8800E-147  	        2.6329E-145  	        9.6514E-169  	        5.1296E-149  	        1.2764E-147  	        1.1956E-169  	        4.3558E-166  	        1.4430E-175  	        1.9441E-169  	        1.3188E-156  	        1.8723E-168  	        1.2066E-161  	        7.0834E-170  	        4.5042E-173  	        3.8975E-158  	        3.03154E-14  	        4.1308E-149  	        1.5842E-150  	        8.9548E-159  	        2.0296E-150  	        2.6035E-155  	        3.2486E-171  	        8.4620E-162  	        7.5925E-163  	        2.1939E-172  	        1.8942E-165  	        2.1334E-175  	        2.3687E-150  	        4.2198E-164  	        0.00000E+00  	        2.9677E-172  	        1.8582E-174  	        3.6216E-168  	        6.1670E-174  	        4.1411E-171  	        4.1597E-180  	        8.7864E-170  	        4.2988E-180  	        0.00000E+00  	        7.9559E-174  	        1.4545E-162  	        1.6176E-167  	        4.2109E-171
        7.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.7809E-171  	        6.4671E-171  	        4.3732E-158  	        2.0685E-164  	        1.2641E-157  	        1.9867E-172  	        7.2544E-147  	        2.1711E-164  	        1.0263E-152  	        9.7992E-164  	        7.6305E-150  	        3.7033E-148  	        2.4859E-163  	        4.1210E-162  	        1.1702E-170  	        5.3361E-142  	        9.8171E-157  	        8.4912E-170  	        5.3845E-152  	        3.0146E-143  	        4.8789E-154  	        2.4966E-156  	        2.8604E-162  	        3.0952E-149  	        1.1189E-171  	        1.7519E-153  	        6.8644E-143  	        1.5425E-178  	        1.23201E-13  	        1.4029E-152  	        3.9940E-161  	        1.5612E-148  	        1.0161E-146  	        1.7616E-143  	        1.6199E-152  	        6.7680E-143  	        4.8977E-162  	        7.5023E-153  	        5.0569E-145  	        4.4389E-141  	        1.3426E-152  	        6.8794E-143  	        2.5446E-169  	        4.0589E-158  	        3.9400E-152  	        1.5347E-145  	        8.4483E-143  	        3.5308E-151  	        7.4393E-159  	        3.1843E-141  	        6.7194E-153  	        9.2039E-140  	        4.9713E-154  	        1.82829E-03  	        8.3148E-131  	        7.4134E-154  	        0.00000E+00  	        3.2748E-142  	        5.0411E-139  	        1.5786E-140  	        1.5523E-173  	        4.7564E-159  	        6.87641E-03  	        2.8730E-141  	        1.4707E-141  	        6.3380E-140  	        2.3748E-167  	        3.1763E-144  	        2.4907E-143  	        5.4348E-169  	        2.2187E-162  	        6.2165E-171  	        5.1578E-166  	        6.0968E-153  	        8.9261E-165  	        9.6873E-158  	        9.2076E-167  	        9.2547E-169  	        3.7242E-154  	        3.62001E-14  	        5.7415E-145  	        1.2434E-146  	        3.8207E-154  	        1.3052E-146  	        6.6500E-152  	        8.0624E-168  	        3.3011E-157  	        4.0588E-159  	        1.7876E-168  	        9.0659E-161  	        1.7972E-172  	        2.0049E-146  	        8.3438E-161  	        0.00000E+00  	        2.3050E-169  	        1.8883E-171  	        6.0563E-165  	        8.6470E-171  	        8.2801E-168  	        1.2866E-174  	        9.2142E-165  	        1.0056E-175  	        0.00000E+00  	        1.9657E-169  	        3.9973E-158  	        2.0689E-163  	        4.9241E-166
        8.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.0535E-169  	        6.7017E-168  	        8.8852E-155  	        2.4085E-162  	        5.9000E-154  	        2.2337E-171  	        3.2643E-142  	        1.9274E-160  	        7.2999E-149  	        9.2247E-163  	        7.1999E-146  	        3.2012E-144  	        1.6322E-160  	        1.3462E-158  	        3.3286E-165  	        2.4066E-137  	        1.2551E-153  	        4.4656E-167  	        1.0152E-148  	        6.3899E-139  	        1.5267E-150  	        8.7326E-152  	        3.5911E-160  	        9.2387E-146  	        1.8869E-170  	        1.0215E-149  	        2.0364E-138  	        3.0876E-173  	        1.44653E-13  	        6.9044E-149  	        7.0555E-159  	        4.9216E-144  	        8.1909E-143  	        2.0196E-139  	        1.8105E-148  	        4.0748E-138  	        2.1366E-158  	        2.6820E-149  	        3.9345E-141  	        1.0123E-136  	        2.3680E-149  	        1.9176E-139  	        1.0337E-165  	        3.6187E-156  	        3.9827E-149  	        1.0395E-141  	        1.8784E-138  	        1.6093E-147  	        4.0953E-154  	        9.3227E-137  	        4.2721E-148  	        5.8606E-135  	        8.7593E-153  	        1.82829E-03  	        1.4327E-125  	        1.7628E-152  	        0.00000E+00  	        1.3660E-137  	        1.7531E-134  	        3.8939E-136  	        1.2755E-169  	        3.9383E-158  	        6.87641E-03  	        2.5883E-136  	        7.8870E-137  	        3.6815E-135  	        1.2364E-165  	        1.0657E-139  	        8.1988E-140  	        8.0273E-168  	        5.1846E-159  	        4.1549E-167  	        1.0870E-162  	        5.8397E-149  	        1.7934E-161  	        1.6651E-154  	        1.2392E-163  	        2.8387E-165  	        8.4272E-151  	        4.24068E-14  	        1.9238E-141  	        5.4410E-143  	        1.5453E-149  	        6.6366E-143  	        4.2761E-148  	        4.8766E-165  	        1.0879E-152  	        6.9645E-156  	        4.9054E-165  	        1.6019E-156  	        3.8553E-170  	        7.9893E-143  	        1.6931E-157  	        0.00000E+00  	        6.7815E-167  	        1.4681E-169  	        7.9009E-162  	        6.9397E-169  	        4.2758E-165  	        1.5357E-172  	        9.1956E-160  	        1.5910E-173  	        5.7084E-182  	        4.7002E-166  	        3.7413E-154  	        8.7028E-160  	        3.0392E-162
        9.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.0133E-168  	        4.4480E-166  	        1.2208E-151  	        2.4389E-161  	        2.8442E-150  	        1.4420E-169  	        8.3908E-138  	        3.7255E-157  	        2.9655E-145  	        8.2980E-162  	        3.0152E-142  	        1.4277E-140  	        4.8691E-158  	        4.9123E-155  	        5.0025E-161  	        7.0180E-133  	        3.4530E-150  	        3.7103E-165  	        1.7104E-145  	        2.8413E-135  	        9.5976E-147  	        7.9110E-148  	        5.6035E-158  	        5.4757E-142  	        2.4653E-169  	        4.6265E-146  	        6.3483E-134  	        1.5577E-171  	        1.67315E-13  	        7.7416E-146  	        6.6160E-157  	        5.2390E-140  	        1.9070E-139  	        9.0678E-136  	        2.5568E-144  	        1.2678E-133  	        3.3627E-155  	        8.6552E-146  	        3.2536E-137  	        2.2493E-132  	        2.6330E-146  	        1.8616E-135  	        2.7392E-163  	        2.5527E-155  	        7.3697E-146  	        6.1961E-138  	        4.9269E-134  	        1.0286E-143  	        4.6189E-150  	        2.2477E-132  	        1.0676E-143  	        2.2031E-130  	        1.2179E-151  	        1.82829E-03  	        7.3757E-121  	        1.6874E-151  	        0.00000E+00  	        5.2510E-133  	        3.9496E-130  	        9.7896E-132  	        6.9070E-166  	        1.3617E-157  	        6.87641E-03  	        7.8138E-132  	        2.4229E-132  	        7.5130E-131  	        1.2978E-163  	        1.6456E-135  	        2.0201E-136  	        1.2630E-166  	        1.2729E-155  	        6.8377E-165  	        1.9468E-160  	        7.6686E-146  	        4.3649E-158  	        1.9918E-151  	        1.8280E-160  	        5.8816E-162  	        4.6298E-147  	        4.89385E-14  	        1.0217E-137  	        3.2656E-139  	        4.0305E-145  	        2.8013E-139  	        6.2024E-145  	        7.1637E-163  	        1.5392E-148  	        1.1895E-152  	        4.4544E-163  	        4.7676E-153  	        1.7028E-168  	        5.2192E-139  	        2.6141E-154  	        0.00000E+00  	        4.0046E-165  	        2.3347E-168  	        3.1451E-159  	        2.9505E-167  	        6.2956E-163  	        8.5737E-172  	        5.6974E-155  	        4.2167E-172  	        3.5698E-173  	        4.7516E-164  	        1.3783E-150  	        2.7308E-156  	        7.7572E-159
        1.01000E-02  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        5.0993E-168  	        3.9722E-164  	        1.0030E-147  	        1.6186E-162  	        3.5988E-146  	        5.4480E-168  	        2.4799E-133  	        2.0837E-153  	        2.0809E-141  	        8.5821E-162  	        2.9373E-138  	        3.4820E-136  	        1.5510E-155  	        1.0936E-151  	        2.8677E-157  	        5.0853E-128  	        1.7059E-147  	        1.6298E-163  	        3.5587E-142  	        3.8044E-131  	        1.2026E-142  	        8.3229E-144  	        9.4085E-156  	        1.4355E-138  	        1.0814E-169  	        1.4625E-142  	        2.4220E-129  	        2.7903E-170  	        1.93607E-13  	        6.4040E-142  	        2.5753E-156  	        7.3208E-136  	        5.1923E-136  	        8.6265E-132  	        5.4462E-140  	        6.6928E-129  	        9.3208E-152  	        3.3013E-142  	        1.9185E-133  	        5.6009E-128  	        1.4503E-142  	        1.5103E-131  	        2.6184E-161  	        2.1896E-155  	        1.8418E-143  	        4.1170E-134  	        9.0235E-130  	        3.9704E-140  	        1.0515E-145  	        7.7317E-128  	        3.6491E-139  	        1.5020E-125  	        8.5852E-151  	        1.82829E-03  	        6.8423E-116  	        2.3816E-150  	        0.00000E+00  	        2.1339E-128  	        3.0753E-125  	        2.8630E-127  	        4.8448E-163  	        9.9645E-158  	        6.87641E-03  	        3.5129E-127  	        1.6657E-127  	        5.5831E-126  	        1.7078E-161  	        2.2940E-131  	        8.8531E-133  	        1.0829E-165  	        2.4902E-152  	        1.8161E-164  	        4.8214E-158  	        2.0853E-142  	        8.2206E-155  	        1.1293E-147  	        5.6671E-157  	        2.0653E-158  	        7.2170E-144  	        5.64862E-14  	        6.9556E-134  	        1.9570E-135  	        9.8418E-141  	        1.2342E-135  	        1.7339E-141  	        1.3205E-160  	        4.1077E-144  	        3.4767E-149  	        8.3617E-161  	        4.9582E-149  	        1.2507E-166  	        2.4895E-135  	        1.2155E-151  	        0.00000E+00  	        7.9685E-164  	        1.5276E-168  	        9.7949E-157  	        1.2845E-167  	        6.4565E-161  	        1.3536E-171  	        1.5466E-150  	        1.4784E-171  	        2.5280E-170  	        1.4567E-163  	        1.4733E-146  	        1.0742E-152  	        4.2517E-156
