           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolX_C2H5O  	            VolX_CH  	          VolX_H2O2  	     VolX_CH2CH2CHO  	         VolX_T-CH2  	      VolX_C6H5OCH2  	         VolX_CH3OH  	         VolX_S-CH2  	          VolX_HCCO  	        VolX_C3H6O2  	          VolX_C5H6  	        VolX_P-C3H4  	     VolX_C5H5CH3-1  	         VolX_CH2OH  	        VolX_IXC4H7  	         VolX_CH2CO  	          VolX_CH3O  	VolX_CH2CCHCH2CHCH2  	        VolX_CH2CHO  	          VolX_C2H6  	        VolX_A-C3H5  	          VolX_C3H6  	        VolX_C2H5CO  	        VolX_CHOCHO  	        VolX_ACETOL  	         VolX_C4H3O  	          VolX_C2H2  	       VolX_IC5H9OH  	             VolX_O  	          VolX_C2H3  	      VolX_CH3CHCHO  	          VolX_C3H3  	          VolX_C5H5  	       VolX_C2H3CHO  	       VolX_CH3CHCO  	        VolX_C2H5OH  	       VolX_CH3CHOH  	           VolX_HCO  	        VolX_CH3CHO  	           VolX_HO2  	           VolX_A1O  	        VolX_C6H5OH  	        VolX_IXC4H8  	        VolX_C3H4O3  	          VolX_C2H5  	           VolX_CH3  	       VolX_CH3CO2H  	             VolX_H  	         VolX_A1CH3  	          VolX_CH2O  	        VolX_CC4H4O  	            VolX_CO  	        VolX_C6H8O4  	            VolX_O2  	           VolX_H2O  	        VolX_C6H6O3  	            VolX_AR  	            VolX_H2  	           VolX_CO2  	          VolX_C2H4  	          VolX_C5H8  	       VolX_C6H10O5  	            VolX_N2  	      VolX_FURFURAL  	           VolX_CH4  	            VolX_OH  	      VolX_C6H5OCH3  	          VolX_C6H6  	       VolX_C2H5CHO  	      VolX_OC8H7OOH  	           VolX_A1-  	          VolX_N2H2  	           VolX_NNH  	           VolX_NH2  	            VolX_NH  	           VolX_HNO  	          VolX_HONO  	             VolX_N  	          VolX_H2NO  	           VolX_N2O  	           VolX_NH3  	            VolX_NO  	           VolX_NO2  	           VolX_HCN  	           VolX_HNC  	            VolX_CN  	          VolX_HNCO  	           VolX_NCO  	           VolX_NCN  	        VolX_CH3NH2  	          VolX_H2CN  	         VolX_C5H5N  	         VolX_C5H4N  	        VolX_C5H5NO  	        VolX_C5H4NO  	       VolX_C5H4NO2  	        VolX_PYRLYL  	      VolX_BNC4H4CO  	        VolX_C4H4CN  	        VolX_CHCHCN  	         VolX_C4H5N  	       VolX_CH2CHCN  	          VolX_C2N2  	          VolX_HNCN  	          VolX_HOCN  	         VolX_CH3CN  	         VolX_CH2CN
        1.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        7.7633E-191  	        1.3887E-199  	        2.2278E-199  	        3.5099E-197  	        2.9923E-185  	        0.00000E+00  	        9.8189E-191  	        1.3285E-179  	        5.0149E-182  	        2.6514E-183  	        1.0181E-191  	        2.5331E-191  	        0.00000E+00  	        1.3987E-181  	        1.0291E-187  	        0.00000E+00  	        4.5156E-184  	        9.2710E-180  	        8.2735E-185  	        2.6719E-196  	        1.8680E-194  	        1.3887E-182  	        0.00000E+00  	        6.7939E-190  	        1.9627E-181  	        0.00000E+00  	        2.20001E-12  	        6.0675E-185  	        1.0490E-190  	        6.9882E-183  	        7.6167E-181  	        6.3510E-181  	        9.0172E-187  	        2.0728E-183  	        3.2818E-206  	        6.7175E-185  	        1.6656E-181  	        1.8123E-180  	        1.2099E-182  	        1.3357E-177  	        0.00000E+00  	        1.2921E-184  	        5.8559E-184  	        1.2606E-181  	        2.0530E-182  	        1.6424E-183  	        3.0915E-198  	        2.0595E-180  	        6.2873E-198  	        3.2098E-178  	        7.6022E-184  	        2.10035E-01  	        1.6391E-173  	        1.6135E-182  	        0.00000E+00  	        1.0479E-179  	        1.6167E-177  	        4.9938E-178  	        0.00000E+00  	        4.6175E-182  	        7.89965E-01  	        4.9901E-182  	        8.2909E-179  	        2.3350E-180  	        7.2192E-181  	        2.5179E-181  	        4.5136E-179  	        7.4211E-181  	        3.9673E-185  	        0.00000E+00  	        0.00000E+00  	        8.7708E-184  	        0.00000E+00  	        7.6237E-196  	        1.0314E-194  	        0.00000E+00  	        9.1524E-186  	        6.55539E-13  	        2.3449E-178  	        4.5390E-179  	        2.5591E-186  	        5.7365E-179  	        2.2918E-182  	        0.00000E+00  	        1.8522E-199  	        1.2943E-187  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.9931E-179  	        5.6194E-186  	        0.00000E+00  	        6.6137E-206  	        0.00000E+00  	        4.5939E-195  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.8965E-197  	        0.00000E+00  	        0.00000E+00
        2.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.0333E-196  	        0.00000E+00  	        2.2465E-179  	        2.2364E-182  	        3.8310E-182  	        6.4483E-182  	        3.9262E-176  	        2.6786E-189  	        1.0628E-178  	        3.7337E-173  	        1.1526E-171  	        4.3947E-173  	        3.5027E-180  	        3.8975E-180  	        0.00000E+00  	        8.6236E-171  	        5.7105E-178  	        0.00000E+00  	        6.4198E-175  	        1.6441E-170  	        2.3679E-175  	        2.5897E-181  	        7.0213E-181  	        5.4254E-174  	        0.00000E+00  	        3.6587E-179  	        6.8779E-171  	        0.00000E+00  	        3.90116E-12  	        1.3631E-175  	        9.9874E-180  	        1.8308E-173  	        2.5070E-170  	        1.8849E-170  	        5.8535E-177  	        8.7465E-174  	        2.4998E-184  	        5.0841E-176  	        3.8003E-171  	        9.5308E-170  	        3.8970E-173  	        9.8964E-168  	        0.00000E+00  	        2.9273E-175  	        8.3326E-175  	        1.8573E-171  	        5.5502E-173  	        1.5165E-174  	        3.5180E-182  	        2.7225E-170  	        4.3622E-182  	        1.2634E-168  	        7.4860E-174  	        2.10035E-01  	        3.9137E-162  	        9.6306E-174  	        0.00000E+00  	        3.5836E-171  	        1.2823E-167  	        1.8312E-168  	        0.00000E+00  	        7.7930E-174  	        7.89965E-01  	        2.3829E-172  	        8.3492E-170  	        1.5570E-169  	        1.8736E-174  	        2.4564E-172  	        1.5004E-169  	        1.9351E-174  	        4.3227E-177  	        0.00000E+00  	        2.6741E-200  	        2.1251E-174  	        4.0945E-186  	        3.7895E-180  	        2.5773E-181  	        0.00000E+00  	        1.9778E-176  	        1.15958E-12  	        4.6537E-169  	        4.2699E-170  	        2.2641E-178  	        6.8898E-170  	        2.2363E-173  	        0.00000E+00  	        1.7061E-182  	        1.9518E-178  	        0.00000E+00  	        1.1433E-188  	        0.00000E+00  	        4.2116E-170  	        9.6004E-179  	        0.00000E+00  	        3.3035E-184  	        2.0125E-187  	        1.8073E-181  	        0.00000E+00  	        1.1064E-202  	        0.00000E+00  	        7.6329E-206  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        4.7613E-182  	        1.4351E-185  	        0.00000E+00
        3.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        8.6685E-181  	        0.00000E+00  	        1.0733E-172  	        6.8888E-176  	        5.1963E-175  	        1.5390E-176  	        4.5258E-167  	        4.1931E-179  	        4.7234E-171  	        5.4851E-170  	        2.0383E-165  	        6.9697E-166  	        4.1046E-174  	        6.4240E-175  	        0.00000E+00  	        4.1773E-162  	        8.9443E-172  	        5.5019E-191  	        9.0851E-168  	        4.8454E-162  	        2.7218E-169  	        9.5137E-175  	        1.0229E-174  	        5.1089E-166  	        1.4059E-184  	        7.8209E-172  	        1.4280E-162  	        0.00000E+00  	        5.86788E-12  	        4.1756E-169  	        1.0792E-173  	        9.7884E-166  	        3.7587E-163  	        4.2276E-162  	        1.0920E-169  	        3.4629E-164  	        2.2545E-177  	        1.4775E-169  	        3.3981E-163  	        5.9517E-161  	        2.9522E-166  	        4.0156E-160  	        0.00000E+00  	        1.5258E-168  	        1.3337E-167  	        2.8055E-163  	        1.3163E-163  	        2.4170E-168  	        9.7812E-177  	        2.1228E-161  	        6.0195E-174  	        1.9248E-160  	        5.5250E-166  	        2.10035E-01  	        6.4790E-153  	        8.4255E-166  	        0.00000E+00  	        7.6507E-163  	        4.5523E-159  	        3.1981E-160  	        0.00000E+00  	        2.6686E-166  	        7.89965E-01  	        7.1035E-163  	        5.2019E-162  	        1.5184E-160  	        3.4239E-171  	        9.4728E-164  	        2.6876E-161  	        1.6918E-171  	        5.8852E-173  	        0.00000E+00  	        7.4889E-181  	        1.8754E-168  	        1.9073E-178  	        6.2615E-174  	        6.6021E-177  	        0.00000E+00  	        3.2868E-170  	        1.73963E-12  	        4.2186E-162  	        2.1660E-163  	        2.3249E-172  	        2.8919E-163  	        6.0932E-166  	        6.2931E-188  	        2.9534E-175  	        1.2191E-172  	        0.00000E+00  	        9.6567E-179  	        2.8381E-184  	        2.9997E-163  	        7.9158E-173  	        0.00000E+00  	        1.3071E-178  	        1.1659E-179  	        8.6487E-177  	        9.6042E-185  	        6.0979E-182  	        0.00000E+00  	        8.9652E-183  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.4349E-175  	        2.5728E-178  	        4.2197E-200
        4.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.0142E-177  	        2.5939E-195  	        1.7972E-167  	        2.0017E-171  	        2.6140E-169  	        4.5315E-174  	        6.4590E-161  	        6.6030E-174  	        1.3282E-165  	        8.9750E-168  	        8.1107E-160  	        3.1036E-160  	        5.3722E-171  	        2.9205E-172  	        0.00000E+00  	        2.2881E-156  	        5.8234E-166  	        5.2416E-180  	        3.7548E-162  	        9.2402E-157  	        6.5497E-164  	        3.4003E-169  	        1.2685E-169  	        3.6085E-161  	        6.8431E-178  	        1.7305E-166  	        3.8359E-157  	        0.00000E+00  	        7.79148E-12  	        7.9323E-163  	        7.7031E-169  	        9.2570E-161  	        1.3823E-157  	        3.7142E-157  	        3.8679E-164  	        3.7613E-157  	        8.5711E-172  	        2.5932E-163  	        3.8367E-158  	        3.1656E-155  	        1.3696E-161  	        1.7847E-154  	        2.5647E-187  	        2.8994E-163  	        4.3765E-162  	        3.6783E-158  	        6.2260E-157  	        8.5170E-163  	        1.5770E-170  	        4.4071E-155  	        3.8268E-167  	        2.4679E-154  	        4.2574E-161  	        2.10035E-01  	        1.7148E-145  	        1.5284E-160  	        0.00000E+00  	        1.1270E-156  	        2.3294E-153  	        1.2555E-154  	        0.00000E+00  	        8.3006E-162  	        7.89965E-01  	        1.1697E-155  	        6.4578E-156  	        4.0229E-154  	        3.1813E-169  	        7.3069E-158  	        5.7723E-156  	        6.2324E-170  	        3.9227E-171  	        3.5176E-204  	        3.8651E-175  	        4.1983E-163  	        5.1310E-174  	        2.4866E-168  	        1.9119E-174  	        7.9203E-194  	        1.3622E-164  	        2.30456E-12  	        1.9189E-156  	        1.0228E-157  	        1.5698E-166  	        1.3363E-157  	        4.7642E-161  	        1.9629E-177  	        1.2455E-169  	        1.1398E-167  	        1.2549E-182  	        1.3325E-173  	        1.2524E-178  	        1.0030E-157  	        2.1162E-168  	        0.00000E+00  	        1.5781E-176  	        1.3309E-177  	        5.2623E-173  	        9.3930E-179  	        2.6932E-176  	        0.00000E+00  	        1.9114E-177  	        0.00000E+00  	        0.00000E+00  	        5.4663E-190  	        5.7431E-170  	        1.2612E-173  	        7.9544E-181
        5.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        8.9047E-176  	        5.7051E-179  	        1.6122E-163  	        5.2170E-168  	        1.3183E-164  	        2.7473E-173  	        4.4496E-156  	        1.1685E-169  	        1.2661E-160  	        1.5116E-165  	        2.1899E-155  	        4.8093E-155  	        8.5948E-168  	        5.5510E-168  	        4.7154E-184  	        1.1161E-151  	        8.7993E-162  	        2.2659E-175  	        8.2816E-158  	        7.1717E-151  	        8.1844E-160  	        3.6125E-164  	        1.0005E-166  	        5.0900E-156  	        2.9752E-175  	        3.5970E-161  	        7.9426E-152  	        0.00000E+00  	        9.63810E-12  	        1.4565E-158  	        1.2113E-165  	        1.2261E-155  	        7.3107E-153  	        7.0995E-151  	        4.3843E-159  	        1.0988E-152  	        2.5940E-167  	        7.6902E-159  	        1.4480E-152  	        3.2159E-150  	        8.3066E-158  	        1.0159E-149  	        1.2803E-177  	        3.0023E-160  	        1.7007E-157  	        1.5998E-152  	        1.1322E-152  	        4.8179E-157  	        3.5483E-166  	        2.8686E-150  	        1.4990E-162  	        1.9253E-149  	        9.6306E-158  	        2.10035E-01  	        3.2726E-140  	        1.5590E-157  	        0.00000E+00  	        6.8574E-152  	        2.9423E-148  	        1.8005E-149  	        1.0177E-190  	        2.8548E-160  	        7.89965E-01  	        5.1108E-151  	        1.6212E-151  	        7.8291E-150  	        5.0911E-168  	        1.2043E-152  	        3.9500E-150  	        7.3558E-169  	        2.6417E-167  	        7.0956E-182  	        5.6619E-171  	        1.5878E-158  	        6.4881E-170  	        1.3426E-163  	        4.2562E-171  	        7.6931E-178  	        2.8895E-160  	        2.84488E-12  	        1.5367E-151  	        3.6676E-153  	        6.9353E-162  	        5.0078E-153  	        3.0866E-157  	        1.1795E-172  	        1.5138E-164  	        2.8177E-164  	        2.5202E-175  	        1.6356E-168  	        2.2959E-176  	        5.9392E-153  	        1.7490E-165  	        0.00000E+00  	        1.6959E-173  	        1.5257E-175  	        1.2430E-169  	        7.7321E-176  	        1.7836E-172  	        1.9981E-186  	        8.7343E-173  	        9.5338E-187  	        0.00000E+00  	        1.9066E-177  	        2.6293E-165  	        2.7118E-169  	        6.9419E-175
        6.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.5310E-172  	        6.3078E-173  	        7.7124E-160  	        1.0838E-164  	        6.0360E-160  	        6.7492E-172  	        5.9500E-150  	        6.6651E-166  	        4.9625E-155  	        1.9704E-163  	        3.1052E-151  	        2.6189E-150  	        1.7337E-164  	        8.1119E-164  	        2.5047E-174  	        4.3511E-145  	        2.3386E-158  	        1.2875E-171  	        1.6990E-153  	        5.4480E-146  	        2.8690E-156  	        9.1516E-159  	        2.6100E-163  	        2.1859E-151  	        1.6429E-172  	        7.1967E-156  	        4.4242E-146  	        1.0254E-192  	        1.18257E-11  	        4.8495E-154  	        3.0446E-162  	        7.0089E-151  	        3.4144E-148  	        5.4693E-146  	        1.6307E-154  	        1.8190E-146  	        1.8302E-163  	        1.4687E-154  	        2.5325E-147  	        5.6043E-144  	        2.5202E-154  	        4.7729E-145  	        1.5364E-172  	        4.3270E-158  	        1.0139E-153  	        6.3121E-148  	        6.8467E-146  	        5.5742E-153  	        1.9414E-161  	        4.7069E-144  	        5.3707E-156  	        3.3709E-143  	        1.3057E-154  	        2.10035E-01  	        1.0810E-134  	        3.1399E-154  	        0.00000E+00  	        1.8356E-145  	        3.4932E-142  	        1.7792E-143  	        4.5969E-177  	        1.9380E-158  	        7.89965E-01  	        4.3810E-145  	        7.9038E-145  	        3.0247E-143  	        1.1088E-166  	        5.8929E-147  	        1.4663E-145  	        1.3735E-167  	        5.0040E-164  	        1.6577E-173  	        2.2334E-167  	        1.5150E-154  	        2.1509E-166  	        1.3861E-159  	        8.1375E-168  	        5.1745E-171  	        4.4775E-156  	        3.48265E-12  	        4.7455E-147  	        1.8200E-148  	        1.0287E-156  	        2.3316E-148  	        2.9909E-153  	        3.7320E-169  	        9.7212E-160  	        8.7223E-161  	        2.5204E-170  	        2.1761E-163  	        2.4508E-173  	        2.7212E-148  	        4.8477E-162  	        0.00000E+00  	        3.4092E-170  	        2.1347E-172  	        4.1605E-166  	        7.0847E-172  	        4.7574E-169  	        4.7787E-178  	        1.0094E-167  	        4.9385E-178  	        0.00000E+00  	        9.1398E-172  	        1.6709E-160  	        1.8583E-165  	        4.8375E-169
        7.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.0459E-169  	        7.4294E-169  	        5.0239E-156  	        2.3763E-162  	        1.4522E-155  	        2.2824E-170  	        8.3339E-145  	        2.4942E-162  	        1.1791E-150  	        1.1257E-161  	        8.7659E-148  	        4.2544E-146  	        2.8558E-161  	        4.7342E-160  	        1.3444E-168  	        6.1301E-140  	        1.1278E-154  	        9.7547E-168  	        6.1857E-150  	        3.4631E-141  	        5.6049E-152  	        2.8681E-154  	        3.2861E-160  	        3.5558E-147  	        1.2853E-169  	        2.0126E-151  	        7.8858E-141  	        1.7721E-176  	        1.41534E-11  	        1.6117E-150  	        4.5883E-159  	        1.7935E-146  	        1.1674E-144  	        2.0237E-141  	        1.8610E-150  	        7.7751E-141  	        5.6264E-160  	        8.6187E-151  	        5.8094E-143  	        5.0994E-139  	        1.5424E-150  	        7.9031E-141  	        2.9232E-167  	        4.6629E-156  	        4.5263E-150  	        1.7630E-143  	        9.7054E-141  	        4.0562E-149  	        8.5463E-157  	        3.6581E-139  	        7.7193E-151  	        1.0574E-137  	        5.7110E-152  	        2.10035E-01  	        9.5521E-129  	        8.5165E-152  	        0.00000E+00  	        3.7621E-140  	        5.7913E-137  	        1.8135E-138  	        1.7833E-171  	        5.4641E-157  	        7.89965E-01  	        3.3005E-139  	        1.6895E-139  	        7.2812E-138  	        2.7282E-165  	        3.6490E-142  	        2.8614E-141  	        6.2436E-167  	        2.5488E-160  	        7.1415E-169  	        5.9254E-164  	        7.0040E-151  	        1.0254E-162  	        1.1129E-155  	        1.0578E-164  	        1.0632E-166  	        4.2783E-152  	        4.15869E-12  	        6.5959E-143  	        1.4284E-144  	        4.3893E-152  	        1.4994E-144  	        7.6396E-150  	        9.2621E-166  	        3.7923E-155  	        4.6628E-157  	        2.0536E-166  	        1.0415E-158  	        2.0647E-170  	        2.3033E-144  	        9.5853E-159  	        0.00000E+00  	        2.6479E-167  	        2.1693E-169  	        6.9575E-163  	        9.9338E-169  	        9.5122E-166  	        1.4781E-172  	        1.0585E-162  	        1.1552E-173  	        0.00000E+00  	        2.2582E-167  	        4.5922E-156  	        2.3767E-161  	        5.6569E-164
        8.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.2102E-167  	        7.6989E-166  	        1.0207E-152  	        2.7669E-160  	        6.7779E-152  	        2.5661E-169  	        3.7500E-140  	        2.2142E-158  	        8.3861E-147  	        1.0597E-160  	        8.2712E-144  	        3.6775E-142  	        1.8751E-158  	        1.5465E-156  	        3.8240E-163  	        2.7647E-135  	        1.4418E-151  	        5.1300E-165  	        1.1663E-146  	        7.3408E-137  	        1.7539E-148  	        1.0032E-149  	        4.1255E-158  	        1.0613E-143  	        2.1677E-168  	        1.1735E-147  	        2.3394E-136  	        3.5471E-171  	        1.66178E-11  	        7.9318E-147  	        8.1054E-157  	        5.6540E-142  	        9.4098E-141  	        2.3201E-137  	        2.0799E-146  	        4.6812E-136  	        2.4545E-156  	        3.0811E-147  	        4.5200E-139  	        1.1629E-134  	        2.7204E-147  	        2.2029E-137  	        1.1875E-163  	        4.1572E-154  	        4.5754E-147  	        1.1942E-139  	        2.1580E-136  	        1.8487E-145  	        4.7047E-152  	        1.0710E-134  	        4.9079E-146  	        6.7326E-133  	        1.0063E-150  	        2.10035E-01  	        1.6459E-123  	        2.0251E-150  	        0.00000E+00  	        1.5692E-135  	        2.0140E-132  	        4.4733E-134  	        1.4653E-167  	        4.5244E-156  	        7.89965E-01  	        2.9734E-134  	        9.0607E-135  	        4.2293E-133  	        1.4204E-163  	        1.2242E-137  	        9.4188E-138  	        9.2219E-166  	        5.9560E-157  	        4.7731E-165  	        1.2488E-160  	        6.7087E-147  	        2.0603E-159  	        1.9129E-152  	        1.4236E-161  	        3.2611E-163  	        9.6812E-149  	        4.87171E-12  	        2.2100E-139  	        6.2506E-141  	        1.7753E-147  	        7.6241E-141  	        4.9124E-146  	        5.6023E-163  	        1.2498E-150  	        8.0009E-154  	        5.6353E-163  	        1.8403E-154  	        4.4290E-168  	        9.1782E-141  	        1.9450E-155  	        0.00000E+00  	        7.7906E-165  	        1.6866E-167  	        9.0765E-160  	        7.9724E-167  	        4.9121E-163  	        1.7642E-170  	        1.0564E-157  	        1.8277E-171  	        6.5579E-180  	        5.3996E-164  	        4.2980E-152  	        9.9978E-158  	        3.4914E-160
        9.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.1641E-166  	        5.1098E-164  	        1.4025E-149  	        2.8018E-159  	        3.2674E-148  	        1.6566E-167  	        9.6393E-136  	        4.2799E-155  	        3.4068E-143  	        9.5327E-160  	        3.4639E-140  	        1.6402E-138  	        5.5936E-156  	        5.6432E-153  	        5.7469E-159  	        8.0623E-131  	        3.9668E-148  	        4.2624E-163  	        1.9649E-143  	        3.2641E-133  	        1.1026E-144  	        9.0882E-146  	        6.4373E-156  	        6.2905E-140  	        2.8322E-167  	        5.3149E-144  	        7.2930E-132  	        1.7895E-169  	        1.92212E-11  	        8.8936E-144  	        7.6005E-155  	        6.0185E-138  	        2.1907E-137  	        1.0417E-133  	        2.9373E-142  	        1.4564E-131  	        3.8631E-153  	        9.9431E-144  	        3.7378E-135  	        2.5840E-130  	        3.0248E-144  	        2.1386E-133  	        3.1468E-161  	        2.9325E-153  	        8.4664E-144  	        7.1181E-136  	        5.6601E-132  	        1.1817E-141  	        5.3062E-148  	        2.5821E-130  	        1.2264E-141  	        2.5310E-128  	        1.3992E-149  	        2.10035E-01  	        8.4733E-119  	        1.9385E-149  	        0.00000E+00  	        6.0324E-131  	        4.5373E-128  	        1.1246E-129  	        7.9348E-164  	        1.5644E-155  	        7.89965E-01  	        8.9766E-130  	        2.7835E-130  	        8.6310E-129  	        1.4909E-161  	        1.8905E-133  	        2.3207E-134  	        1.4509E-164  	        1.4623E-153  	        7.8552E-163  	        2.2365E-158  	        8.8097E-144  	        5.0144E-156  	        2.2882E-149  	        2.1000E-158  	        6.7569E-160  	        5.3187E-145  	        5.62208E-12  	        1.1737E-135  	        3.7515E-137  	        4.6302E-143  	        3.2182E-137  	        7.1253E-143  	        8.2297E-161  	        1.7682E-146  	        1.3665E-150  	        5.1172E-161  	        5.4770E-151  	        1.9562E-166  	        5.9958E-137  	        3.0031E-152  	        0.00000E+00  	        4.6005E-163  	        2.6821E-166  	        3.6131E-157  	        3.3896E-165  	        7.2325E-161  	        9.8495E-170  	        6.5452E-153  	        4.8442E-170  	        4.1010E-171  	        5.4586E-162  	        1.5834E-148  	        3.1372E-154  	        8.9115E-157
        1.01000E-02  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        5.8581E-166  	        4.5633E-162  	        1.1523E-145  	        1.8594E-160  	        4.1343E-144  	        6.2586E-166  	        2.8489E-131  	        2.3938E-151  	        2.3905E-139  	        9.8591E-160  	        3.3743E-136  	        4.0001E-134  	        1.7818E-153  	        1.2564E-149  	        3.2944E-155  	        5.8420E-126  	        1.9598E-145  	        1.8723E-161  	        4.0882E-140  	        4.3705E-129  	        1.3815E-140  	        9.5614E-142  	        1.0808E-153  	        1.6491E-136  	        1.2423E-167  	        1.6801E-140  	        2.7824E-127  	        3.2055E-168  	        2.22416E-11  	        7.3569E-140  	        2.9585E-154  	        8.4101E-134  	        5.9650E-134  	        9.9102E-130  	        6.2566E-138  	        7.6887E-127  	        1.0708E-149  	        3.7925E-140  	        2.2040E-131  	        6.4344E-126  	        1.6661E-140  	        1.7350E-129  	        3.0081E-159  	        2.5154E-153  	        2.1159E-141  	        4.7297E-132  	        1.0366E-127  	        4.5612E-138  	        1.2080E-143  	        8.8822E-126  	        4.1921E-137  	        1.7255E-123  	        9.8627E-149  	        2.10035E-01  	        7.8605E-114  	        2.7360E-148  	        0.00000E+00  	        2.4514E-126  	        3.5329E-123  	        3.2890E-125  	        5.5657E-161  	        1.1447E-155  	        7.89965E-01  	        4.0356E-125  	        1.9135E-125  	        6.4139E-124  	        1.9620E-159  	        2.6353E-129  	        1.0170E-130  	        1.2441E-163  	        2.8607E-150  	        2.0863E-162  	        5.5389E-156  	        2.3956E-140  	        9.4439E-153  	        1.2974E-145  	        6.5104E-155  	        2.3726E-156  	        8.2909E-142  	        6.48916E-12  	        7.9906E-132  	        2.2482E-133  	        1.1306E-138  	        1.4178E-133  	        1.9919E-139  	        1.5170E-158  	        4.7189E-142  	        3.9941E-147  	        9.6059E-159  	        5.6960E-147  	        1.4368E-164  	        2.8599E-133  	        1.3964E-149  	        0.00000E+00  	        9.1543E-162  	        1.7549E-166  	        1.1252E-154  	        1.4756E-165  	        7.4172E-159  	        1.5550E-169  	        1.7768E-148  	        1.6984E-169  	        2.9042E-168  	        1.6734E-161  	        1.6926E-144  	        1.2341E-150  	        4.8844E-154
