Reactions	Percentage
R537: NNH+NO=HNO+N2	-0.011279578616154915
R645: NCN+NO=N2O+CN	-0.01214084000816067
R579: C2H3+NO=CH2O+HCN	-0.01310413311966849
R495: NH2+NO=OH+NNH	-0.13665358440199796
R492: NH2+NO=H2O+N2	-0.23542159860919873
R577: CH+NO=OH+CN	-0.5185604467555681
R621: NCO+NO=CO2+N2	-0.526037792490538
R575: TXCH2+NO=OH+HCN	-0.5910831408312797
R573: CH3+NO=OH+H2CN	-0.6557146528919624
R580: CH3+NO=H2O+HCN	-0.6694375631221007
R493: NH+NO=OH+N2	-1.0944415098877316
R574: HCCO+NO=CO2+HCN	-2.381062891548706
R496: NH+NO=H+N2O	-3.3648214755082466
R578: SXCH2+NO=OH+HCN	-3.3726932023225227
R576: CH+NO=H+NCO	-8.486829053492936
R508: HNO=NO+H	-11.936089915012333
R497: N+NO=O+N2	-28.760171860918593
R572: CH+NO=O+HCN	-37.23445676046228
