Reactions	Percentage
R917: NCO+HNO=NO+HNCO	0.001108014226277424
R905: H2CN+O2=NO+CH2O	0.0030287169485447092
R806: HNO+NO=OH+N2O	0.013464065124757752
R941: NCN+OH=NO+HCN	0.01970577981694701
R921: NCO+OH=NO+CO+H	0.02524776149825261
R844: NNH+O=NO+NH	0.22038745246290023
R795: NH+NO=H+N2O	0.344531495284286
R807: HNO=NO+H	0.9142098351617259
R946: NCN+O=NO+CN	1.250872412181773
R884: CN+O2=CO+NO	1.4697459543240854
R796: N+NO=O+N2	1.5754621063317753
R797: HNO+H=H2+NO	1.6613887351097953
R755: N+OH=H+NO	2.498046377113948
R798: HNO+O=OH+NO	3.3970643684572317
R754: N+O2=O+NO	3.7515897852558258
R800: HNO+OH=H2O+NO	5.036264307032325
R765: NH+O=H+NO	5.598567924224438
R763: NH+O2=OH+NO	7.235258202165876
R857: N2O+O=NO+NO	8.455007992046
R922: NCO+O2=CO2+NO	17.375210830464706
R802: HNO+O2=HO2+NO	39.14996053468589
