            time[ms]	                  AR	                  N2	                A1CO	                H2O2	                  CH	               TXCH2	          CVCCVCCJVO	              CH2CHO	               CH2OH	                 A1X	             TXC5H5O	              OC6H4O	             C2H3CHO	              NXC4H5	             C5H4CH2	                C3H3	               SXCH2	               A1CHO	              A1CH2O	          C6H5CYCH2O	            C6H5OCH2	             C5H4CH3	                C5H6	           C5H5CH3X1	                C3H2	              AXC3H4	                A1OH	            C6H6OX24	               CH2CO	                HCCO	                C2H3	                 CH4	                C2H6	              AXC3H5	                C3H6	                CH3O	                C2H2	                C5H5	                   O	                  A1	                 HCO	                CH2O	                 HO2	                   H	                C2H4	                C2H5	                 A1O	                 CH3	                  OH	                  CO	            C6H5OCH3	                 CO2	                  O2	                  H2	                 H2O	            OC8H7OOH	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        5.001140E-04	        0.000000E+00	        2.203456E-12	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        7.423785E-10	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        6.420059E-19	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        3.544901E-15	        0.000000E+00	        1.549964E-10	        0.000000E+00	        3.545362E-15	        1.317796E-22	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        1.000110E-03	        0.000000E+00	        4.349341E-12	        0.000000E+00	        8.305216E-35	        1.644691E-49	        4.547788E-31	        0.000000E+00	        4.796364E-40	        1.402826E-35	        8.592452E-30	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        9.989080E-63	        5.165353E-40	        0.000000E+00	        0.000000E+00	        0.000000E+00	        2.896497E-37	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        3.179318E-36	        4.518447E-51	        0.000000E+00	        2.947652E-42	        3.273278E-59	        1.967719E-36	       2.067232E-172	        0.000000E+00	        1.355425E-35	        2.930349E-59	        9.572830E-41	        4.284962E-36	        0.000000E+00	        7.431052E-10	       3.054409E-167	        4.721431E-18	        5.923944E-15	        1.279726E-17	        5.915977E-15	        2.127702E-40	        7.176678E-41	        5.449030E-32	        8.003527E-24	        2.356772E-22	        4.870344E-20	        0.000000E+00	        8.661251E-22	        2.521084E-18	        4.870343E-20	        3.615856E-31	        0.000000E+00	        0.000000E+00	        4.912393E-23	        7.935287E-32	        3.770317E-28	        2.240494E-30	        0.000000E+00	        6.981441E-15	        0.000000E+00	        1.551366E-10	        0.000000E+00	        6.983237E-15	        5.130653E-22	        0.000000E+00	        2.387240E-36	        6.950119E-41	        1.423578E-53	        5.609205E-32	        2.527125E-44	        0.000000E+00	        2.279756E-59	        0.000000E+00	        9.160291E-38	        1.069988E-41	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        1.082177E-52	        0.000000E+00	        0.000000E+00
        1.500110E-03	        0.000000E+00	        6.448505E-12	        0.000000E+00	        1.003100E-28	        2.286314E-34	        5.297501E-28	        0.000000E+00	        9.047316E-28	        1.668375E-29	        1.045151E-17	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        3.147233E-48	        4.159192E-29	        0.000000E+00	        0.000000E+00	        0.000000E+00	        3.398803E-25	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        4.038856E-24	        1.751823E-35	        0.000000E+00	        5.556710E-30	        1.031446E-44	        2.499543E-24	        1.730764E-41	        0.000000E+00	        1.722267E-23	        5.166594E-45	        4.402424E-31	        5.436743E-24	        0.000000E+00	        7.436657E-10	        2.368369E-36	        6.559486E-16	        3.760070E-13	        2.259519E-15	        3.756167E-13	        4.016720E-28	        1.354937E-28	        6.396382E-20	        6.472109E-20	        5.179868E-14	        1.721335E-17	        0.000000E+00	        2.150491E-19	        1.240313E-16	        6.761853E-18	        1.362776E-25	        0.000000E+00	        0.000000E+00	        1.455930E-17	        3.070145E-26	        1.161896E-24	        6.906537E-27	        0.000000E+00	        1.034438E-14	        0.000000E+00	        1.552387E-10	        0.000000E+00	        1.034833E-14	        1.129050E-21	        0.000000E+00	        2.927698E-24	        2.369166E-30	        3.630821E-38	        2.194392E-29	        6.255011E-42	        0.000000E+00	        2.210930E-39	        0.000000E+00	        1.126203E-25	        1.954246E-29	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        2.760665E-37	        0.000000E+00	        0.000000E+00
        2.000110E-03	        0.000000E+00	        8.505319E-12	        0.000000E+00	        1.343300E-25	        8.016095E-32	        5.663045E-26	        0.000000E+00	        1.119827E-25	        1.183896E-26	        9.448406E-16	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        9.097242E-45	        7.555815E-27	        0.000000E+00	        0.000000E+00	        0.000000E+00	        2.978159E-23	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        3.780597E-22	        4.455323E-32	        0.000000E+00	        6.874656E-28	        2.981862E-41	        2.339573E-22	        2.608632E-38	        0.000000E+00	        1.612513E-21	        1.052859E-41	        1.547629E-28	        5.084598E-22	        0.000000E+00	        7.449181E-10	        3.349198E-33	        1.428962E-14	        4.238335E-12	        3.784281E-14	        4.237629E-12	        4.974805E-26	        1.678257E-26	        5.606849E-18	        5.618385E-18	        8.353021E-13	        1.092047E-15	        0.000000E+00	        6.645784E-18	        5.651394E-15	        1.472068E-16	        1.314767E-22	        0.000000E+00	        0.000000E+00	        2.431519E-16	        2.717799E-24	        3.660083E-23	        3.328782E-25	        0.000000E+00	        1.364674E-14	        0.000000E+00	        1.553354E-10	        0.000000E+00	        1.365363E-14	        1.967956E-21	        0.000000E+00	        2.638223E-22	        2.134554E-28	        1.196102E-34	        1.094760E-27	        1.926995E-40	        0.000000E+00	        3.214217E-36	        0.000000E+00	        1.016901E-23	        2.333999E-27	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        9.095197E-34	        0.000000E+00	        0.000000E+00
        2.500110E-03	        0.000000E+00	        1.052247E-11	        2.174319E-29	        1.950618E-23	        6.071553E-30	        1.394038E-22	        0.000000E+00	        2.920528E-22	        1.443645E-24	        4.575581E-14	        1.500537E-27	        4.563086E-17	        0.000000E+00	        2.777754E-23	        2.324347E-31	        1.479953E-18	        4.168684E-25	        3.649733E-30	        5.185135E-31	        0.000000E+00	        2.375218E-20	        0.000000E+00	        8.457312E-28	        0.000000E+00	        2.627582E-22	        8.023332E-19	        1.430633E-27	        2.272888E-26	        1.776832E-24	        7.956247E-37	        4.967069E-19	        4.135095E-34	        0.000000E+00	        3.422935E-18	        2.180541E-37	        1.207332E-26	        2.530742E-18	        1.240036E-15	        7.508764E-10	        1.261168E-28	        1.421511E-13	        3.073691E-11	        3.265161E-13	        3.073007E-11	        1.311252E-22	        4.423858E-23	        4.649761E-15	        4.474173E-15	        6.397961E-12	        5.577963E-14	        0.000000E+00	        8.999245E-17	        7.455696E-14	        1.465264E-15	        1.660313E-20	        0.000000E+00	        0.000000E+00	        1.923800E-15	        1.087449E-22	        3.965806E-22	        4.635881E-24	        0.000000E+00	        1.689921E-14	        0.000000E+00	        1.554290E-10	        0.000000E+00	        1.690979E-14	        3.020109E-21	        0.000000E+00	        1.071984E-20	        8.672278E-27	        5.473259E-32	        2.816880E-26	        2.390483E-39	        0.000000E+00	        9.956613E-34	        0.000000E+00	        1.206760E-20	        3.438847E-24	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        4.162208E-31	        0.000000E+00	        0.000000E+00
        3.000110E-03	        0.000000E+00	        1.250177E-11	        7.177190E-27	        9.757637E-22	        1.974422E-22	        1.488792E-20	        0.000000E+00	        3.073696E-20	        6.687332E-23	        1.020704E-12	        1.571337E-23	        2.027580E-15	        0.000000E+00	        5.082398E-20	        4.467162E-29	        2.267183E-15	        9.915892E-24	        1.015999E-27	        1.443362E-28	        0.000000E+00	        6.484537E-19	        1.945625E-28	        2.860285E-24	        7.660466E-29	        4.019893E-19	        7.013147E-17	        3.098206E-25	        4.632005E-24	        6.258645E-22	        5.530785E-34	        4.379625E-17	        6.537576E-25	        2.715198E-29	        2.992664E-16	        4.043551E-30	        8.131901E-17	        2.349524E-15	        5.512527E-14	        7.730735E-10	        3.321150E-26	        9.110650E-13	        1.446052E-10	        1.930039E-12	        1.440383E-10	        1.369055E-20	        4.619166E-21	        1.298271E-13	        1.222315E-13	        2.915466E-11	        1.356916E-12	        1.392266E-28	        9.451861E-16	        5.493919E-13	        9.536802E-15	        7.875057E-19	        0.000000E+00	        0.000000E+00	        9.023114E-15	        9.349485E-20	        2.566641E-21	        3.721341E-23	        7.428092E-36	        2.012604E-14	        0.000000E+00	        1.555211E-10	        0.000000E+00	        2.014104E-14	        4.280669E-21	        3.968615E-41	        1.108788E-17	        8.972001E-24	        3.826495E-28	        2.035797E-23	        1.811498E-38	        0.000000E+00	        4.567008E-30	        0.000000E+00	        1.439703E-18	        4.898784E-22	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        2.910134E-27	        2.273122E-32	        0.000000E+00
        3.500110E-03	        0.000000E+00	        1.444298E-11	        3.736285E-25	        2.526711E-20	        7.235989E-21	        4.253642E-17	        0.000000E+00	        8.879146E-19	        1.830884E-21	        1.238927E-11	        2.067350E-21	        2.745953E-14	        3.954697E-20	        1.570581E-18	        1.551748E-27	        6.005288E-14	        3.314076E-22	        4.590479E-26	        6.521503E-27	        0.000000E+00	        7.965037E-18	        1.895313E-25	        3.101544E-22	        7.469553E-26	        1.272965E-17	        1.685628E-15	        1.766424E-23	        2.297369E-22	        1.013310E-14	        3.040102E-20	        1.052294E-15	        1.244773E-22	        3.663485E-26	        7.185637E-15	        4.678091E-27	        2.984959E-15	        6.203118E-14	        7.557044E-13	        8.426507E-10	        1.567692E-24	        4.350138E-12	        4.971984E-10	        8.783917E-12	        4.876941E-10	        3.834650E-19	        1.293844E-19	        1.573827E-12	        1.502675E-12	        1.098705E-10	        1.529295E-11	        7.029109E-26	        6.451471E-15	        2.863159E-12	        4.858168E-14	        1.995491E-17	        0.000000E+00	        0.000000E+00	        3.345381E-14	        5.125863E-18	        1.251593E-20	        2.117062E-22	        8.268836E-34	        2.340544E-14	        0.000000E+00	        1.555876E-10	        0.000000E+00	        2.342565E-14	        5.762246E-21	        3.293799E-38	        5.534430E-16	        4.485519E-22	        9.409690E-26	        1.178938E-21	        9.909907E-38	        0.000000E+00	        7.907163E-28	        0.000000E+00	        3.888281E-17	        1.543112E-20	        0.000000E+00	        0.000000E+00	        1.172141E-33	        0.000000E+00	        0.000000E+00	        1.261139E-37	        0.000000E+00	        1.846799E-34	        0.000000E+00	        0.000000E+00	        7.156890E-25	        4.169667E-29	        0.000000E+00
        4.000110E-03	        0.000000E+00	        1.636453E-11	        1.061927E-23	        4.140990E-19	        9.083391E-20	        3.337941E-15	        3.980951E-28	        2.427353E-16	        4.054594E-20	        1.070955E-10	        9.708075E-20	        2.519686E-13	        4.519392E-16	        2.143087E-17	        7.170897E-26	        7.083464E-13	        1.235562E-20	        1.152751E-24	        1.637746E-25	        0.000000E+00	        6.772368E-17	        2.814687E-23	        1.360211E-20	        1.110246E-23	        1.714673E-16	        4.474228E-14	        2.327094E-16	        3.402621E-20	        2.238962E-13	        1.688757E-18	        1.318628E-14	        6.478217E-21	        5.796556E-24	        9.011792E-14	        4.148923E-23	        3.752394E-14	        7.346018E-13	        6.989768E-12	        1.052982E-09	        1.160530E-21	        1.691957E-11	        1.477483E-09	        3.326968E-11	        1.383358E-09	        5.615191E-18	        1.877087E-18	        1.324269E-11	        1.278672E-11	        4.145438E-10	        1.243340E-10	        8.193691E-24	        3.460572E-14	        1.177368E-11	        2.215637E-13	        3.253004E-16	        0.000000E+00	        4.512645E-31	        1.116911E-13	        9.497828E-17	        5.370653E-20	        9.482527E-22	        4.825178E-32	        2.699933E-14	        0.000000E+00	        1.557248E-10	        0.000000E+00	        2.702581E-14	        7.538323E-21	        5.909570E-16	        9.748823E-15	        7.954414E-21	        9.470856E-24	        2.399417E-20	        4.301481E-37	        0.000000E+00	        4.393207E-26	        0.000000E+00	        5.133356E-16	        2.356044E-19	        0.000000E+00	        0.000000E+00	        4.563949E-31	        0.000000E+00	        0.000000E+00	        1.052433E-34	        0.000000E+00	        1.542604E-31	        0.000000E+00	        0.000000E+00	        4.990228E-23	        9.247450E-27	        0.000000E+00
        4.500110E-03	        0.000000E+00	        1.831915E-11	        3.873293E-18	        4.862690E-18	        7.153343E-19	        4.672513E-14	        3.337689E-15	        5.384485E-15	        7.928999E-19	        7.626954E-10	        2.632064E-18	        1.771128E-12	        8.888754E-15	        2.911696E-16	        2.610656E-23	        5.677401E-12	        3.112086E-19	        1.932001E-23	        2.745268E-24	        0.000000E+00	        4.645780E-16	        1.781430E-21	        1.967580E-18	        7.033569E-22	        1.431206E-15	        5.163915E-13	        7.765738E-15	        9.841956E-17	        2.092641E-12	        2.558048E-17	        1.137038E-13	        1.782974E-19	        3.611601E-22	        7.657414E-13	        1.837503E-21	        2.960605E-13	        5.908202E-12	        4.938278E-11	        1.604161E-09	        3.822422E-20	        5.690066E-11	        4.542679E-09	        1.090134E-10	        3.826391E-09	        4.543502E-16	        1.872289E-17	        9.004630E-11	        8.777519E-11	        1.622344E-09	        8.505906E-10	        4.576546E-22	        1.548733E-13	        4.082044E-11	        9.898920E-13	        3.814013E-15	        0.000000E+00	        1.023768E-29	        3.296668E-13	        9.647006E-16	        2.342029E-19	        3.558466E-21	        1.726109E-30	        3.159370E-14	        0.000000E+00	        1.559463E-10	        0.000000E+00	        3.162840E-14	        9.851531E-21	        4.027539E-14	        9.779163E-14	        8.152296E-20	        8.897756E-22	        2.822636E-19	        1.566908E-36	        0.000000E+00	        1.230267E-24	        9.311436E-26	        4.443441E-15	        2.392947E-18	        5.753815E-18	        2.198676E-16	        4.267388E-29	        0.000000E+00	        4.587231E-11	        1.356997E-32	        0.000000E+00	        3.697041E-29	        0.000000E+00	        0.000000E+00	        1.686319E-21	        7.346819E-25	        0.000000E+00
        5.000110E-03	        0.000000E+00	        2.036874E-11	        2.273980E-16	        4.401126E-17	        4.392147E-18	        3.726954E-13	        1.196692E-13	        1.075191E-13	        1.278753E-17	        4.300818E-09	        1.894158E-14	        9.509169E-12	        1.095559E-13	        1.607376E-14	        4.558785E-21	        3.476258E-11	        6.999252E-16	        2.148738E-22	        3.056043E-23	        0.000000E+00	        2.373426E-15	        1.204279E-19	        6.958413E-17	        2.574275E-20	        8.928290E-15	        3.786573E-12	        1.049580E-13	        3.842918E-15	        1.381674E-11	        2.470662E-16	        7.884427E-13	        3.241326E-18	        1.287157E-20	        4.971754E-12	        4.019112E-20	        1.769018E-12	        3.635910E-11	        2.661012E-10	        2.893984E-09	        5.196254E-19	        1.720453E-10	        1.338043E-08	        3.180762E-10	        9.223498E-09	        1.497754E-14	        1.499247E-16	        4.570939E-10	        4.487370E-10	        6.460877E-09	        4.693941E-09	        1.474178E-20	        5.640053E-13	        1.242164E-10	        4.408581E-12	        3.432422E-14	        0.000000E+00	        2.011902E-25	        8.741621E-13	        6.734429E-15	        1.141658E-18	        1.098643E-18	        4.156272E-29	        3.884135E-14	        9.769932E-18	        1.564765E-10	        8.302072E-23	        3.888920E-14	        1.336543E-20	        4.178876E-13	        6.891354E-13	        6.086924E-19	        2.507907E-20	        2.450928E-18	        5.000610E-36	        3.057931E-26	        2.178801E-23	        1.121791E-23	        2.895637E-14	        1.921655E-17	        2.335616E-16	        8.926950E-15	        1.972366E-27	        0.000000E+00	        1.861864E-09	        7.462045E-31	        0.000000E+00	        6.028538E-27	        0.000000E+00	        0.000000E+00	        3.508839E-20	        3.097025E-23	        0.000000E+00
