       time[ms]  	           T[K]  	density[kg/m^3]  	       Pressure  	        VolY_AR  	        VolY_N2  	      VolY_A1CO  	      VolY_H2O2  	        VolY_CH  	     VolY_T-CH2  	VolY_CVCCVCCJVO  	    VolY_CH2CHO  	     VolY_CH2OH  	       VolY_A1-  	   VolY_TXC5H5O  	    VolY_OC6H4O  	   VolY_C2H3CHO  	    VolY_N-C4H5  	   VolY_C5H4CH2  	      VolY_C3H3  	     VolY_S-CH2  	     VolY_A1CHO  	    VolY_A1CH2O  	VolY_C6H5CYCH2O  	  VolY_C6H5OCH2  	   VolY_C5H4CH3  	      VolY_C5H6  	 VolY_C5H5CH3-1  	      VolY_C3H2  	    VolY_A-C3H4  	      VolY_A1OH  	  VolY_C6H6O-24  	     VolY_CH2CO  	      VolY_HCCO  	      VolY_C2H3  	       VolY_CH4  	      VolY_C2H6  	    VolY_A-C3H5  	      VolY_C3H6  	      VolY_CH3O  	      VolY_C2H2  	      VolY_C5H5  	         VolY_O  	        VolY_A1  	       VolY_HCO  	      VolY_CH2O  	       VolY_HO2  	         VolY_H  	      VolY_C2H4  	      VolY_C2H5  	       VolY_A1O  	       VolY_CH3  	        VolY_OH  	        VolY_CO  	  VolY_C6H5OCH3  	       VolY_CO2  	        VolY_O2  	        VolY_H2  	       VolY_H2O  	  VolY_OC8H7OOH  	      VolY_N2H2  	       VolY_NNH  	       VolY_NH2  	        VolY_NH  	       VolY_HNO  	      VolY_HONO  	         VolY_N  	      VolY_H2NO  	       VolY_N2O  	       VolY_NH3  	        VolY_NO  	       VolY_NO2  	       VolY_HCN  	       VolY_HNC  	        VolY_CN  	      VolY_HNCO  	       VolY_NCO  	       VolY_NCN  	    VolY_CH3NH2  	      VolY_H2CN  	     VolY_C5H5N  	     VolY_C5H4N  	    VolY_C5H5NO  	    VolY_C5H4NO  	   VolY_C5H4NO2  	    VolY_PYRLYL  	  VolY_BNC4H4CO  	    VolY_C4H4CN  	    VolY_CHCHCN  	     VolY_C4H5N  	   VolY_CH2CHCN  	      VolY_C2N2  	      VolY_HNCN  	      VolY_HOCN  	     VolY_CH3CN  	     VolY_CH2CN
    5.00114E-04  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.63198E-12  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.32920E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.34574E-12  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    1.00011E-03  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.8629E-284  	    0.00000E+00  	    0.00000E+00  	    2.2555E-284  	    1.3238E-277  	    0.00000E+00  	    0.00000E+00  	    1.27534E-11  	    0.00000E+00  	    0.00000E+00  	    7.1951E-276  	    1.3009E-280  	    1.9738E-282  	    2.1986E-284  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.9796E-278  	    3.5786E-277  	    2.4054E-284  	    4.3101E-276  	    2.32920E-01  	    2.5984E-277  	    3.8364E-278  	    4.3322E-284  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.22572E-12  	    8.6931E-286  	    0.00000E+00  	    0.00000E+00  	    1.0158E-285  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.2079E-284  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    1.50011E-03  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.7252E-279  	    0.00000E+00  	    0.00000E+00  	    3.6527E-279  	    1.5383E-273  	    0.00000E+00  	    0.00000E+00  	    1.78087E-11  	    0.00000E+00  	    0.00000E+00  	    7.4985E-266  	    5.3671E-271  	    1.3275E-274  	    3.5550E-279  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.6396E-268  	    1.2717E-267  	    3.5980E-279  	    1.6314E-266  	    2.32920E-01  	    3.8730E-268  	    2.8524E-270  	    6.7118E-279  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.00413E-11  	    1.3156E-280  	    0.00000E+00  	    0.00000E+00  	    1.5677E-280  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.8696E-279  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    2.00011E-03  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.6694E-274  	    0.00000E+00  	    0.00000E+00  	    3.5578E-274  	    1.8809E-269  	    0.00000E+00  	    0.00000E+00  	    2.30232E-11  	    0.00000E+00  	    0.00000E+00  	    8.4529E-256  	    6.1333E-261  	    3.7260E-270  	    3.4582E-274  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    8.1067E-258  	    2.0623E-257  	    3.2798E-274  	    1.7653E-256  	    2.32920E-01  	    3.7885E-258  	    3.4803E-261  	    6.3077E-274  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.29208E-11  	    1.2117E-275  	    0.00000E+00  	    0.00000E+00  	    1.4685E-275  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.7556E-274  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    2.50011E-03  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.2026E-270  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.5944E-267  	    0.00000E+00  	    0.00000E+00  	    1.0832E-267  	    2.3358E-266  	    0.00000E+00  	    5.9468E-270  	    2.84631E-11  	    0.00000E+00  	    1.2372E-267  	    8.3643E-246  	    9.7546E-251  	    1.2808E-266  	    1.0063E-267  	    0.00000E+00  	    2.3701E-268  	    0.00000E+00  	    1.0395E-247  	    7.7331E-247  	    8.6682E-269  	    1.9958E-246  	    2.32920E-01  	    5.5488E-248  	    5.9955E-252  	    3.9880E-270  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.59005E-11  	    6.5323E-272  	    0.00000E+00  	    0.00000E+00  	    8.0361E-272  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.5642E-269  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    3.00011E-03  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    6.8638E-266  	    0.00000E+00  	    2.2597E-262  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.1072E-258  	    0.00000E+00  	    0.00000E+00  	    8.4305E-259  	    1.1056E-262  	    0.00000E+00  	    3.0854E-259  	    3.41504E-11  	    0.00000E+00  	    1.8379E-258  	    5.2630E-236  	    1.6208E-240  	    1.3050E-262  	    7.1176E-259  	    0.00000E+00  	    9.6829E-263  	    1.6063E-263  	    7.7401E-238  	    1.5209E-236  	    5.6140E-264  	    1.3352E-236  	    2.32920E-01  	    4.9030E-238  	    9.0489E-243  	    9.5039E-266  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.89918E-11  	    2.3613E-265  	    4.8196E-274  	    0.00000E+00  	    5.6466E-265  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.8498E-260  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    3.50011E-03  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.1274E-261  	    0.00000E+00  	    3.3648E-253  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.3878E-255  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.3179E-255  	    0.00000E+00  	    0.00000E+00  	    4.8472E-248  	    0.00000E+00  	    1.2377E-263  	    4.5969E-249  	    3.2738E-259  	    1.3310E-254  	    8.2929E-250  	    4.00955E-11  	    0.00000E+00  	    6.1344E-250  	    1.4156E-226  	    1.0170E-230  	    7.6508E-256  	    4.5364E-249  	    0.00000E+00  	    4.7043E-258  	    4.8800E-256  	    3.7353E-228  	    1.3455E-226  	    8.2046E-260  	    5.2779E-227  	    2.32920E-01  	    2.6927E-228  	    1.6037E-233  	    9.7713E-262  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.21989E-11  	    8.5727E-258  	    9.0029E-270  	    0.00000E+00  	    2.4766E-257  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.2248E-251  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    4.00011E-03  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.4026E-263  	    0.00000E+00  	    7.7506E-258  	    0.00000E+00  	    1.4144E-243  	    4.9069E-263  	    2.8746E-262  	    0.00000E+00  	    1.2161E-245  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.0511E-264  	    0.00000E+00  	    0.00000E+00  	    2.4489E-250  	    1.8478E-263  	    5.0158E-261  	    4.2071E-243  	    0.00000E+00  	    0.00000E+00  	    1.0036E-237  	    0.00000E+00  	    7.9359E-250  	    8.0912E-239  	    8.1398E-256  	    5.1593E-243  	    4.9277E-241  	    4.63003E-11  	    0.00000E+00  	    1.1530E-241  	    2.8263E-217  	    2.5809E-221  	    5.0005E-247  	    1.0706E-238  	    0.00000E+00  	    7.6539E-254  	    1.9309E-248  	    1.1741E-218  	    9.2503E-217  	    5.4729E-256  	    1.2690E-217  	    2.32920E-01  	    1.0380E-218  	    1.1868E-224  	    6.8585E-258  	    0.00000E+00  	    2.9752E-263  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.55215E-11  	    2.5604E-249  	    1.0567E-265  	    0.00000E+00  	    1.1456E-248  	    2.8105E-258  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.4524E-241  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    4.50011E-03  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    6.5521E-258  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.6830E-257  	    0.00000E+00  	    1.8696E-254  	    1.6082E-260  	    9.6594E-234  	    2.0670E-250  	    7.3157E-255  	    0.00000E+00  	    4.2463E-237  	    0.00000E+00  	    4.3964E-258  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.8805E-256  	    0.00000E+00  	    0.00000E+00  	    4.5846E-238  	    2.2839E-254  	    6.0884E-256  	    9.1822E-232  	    0.00000E+00  	    2.1280E-253  	    3.4423E-227  	    0.00000E+00  	    1.3404E-239  	    1.0343E-228  	    7.3539E-253  	    4.2578E-232  	    1.7905E-232  	    5.27608E-11  	    1.1090E-260  	    1.5216E-233  	    2.3390E-208  	    2.8938E-212  	    1.9375E-238  	    1.7303E-228  	    6.4412E-260  	    1.1652E-249  	    3.5007E-241  	    2.7748E-209  	    3.2458E-207  	    5.5958E-252  	    1.3315E-208  	    2.32920E-01  	    2.6443E-209  	    8.4666E-216  	    7.6230E-255  	    0.00000E+00  	    2.2479E-259  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.89558E-11  	    4.3622E-240  	    1.7542E-262  	    0.00000E+00  	    9.7716E-240  	    2.0860E-248  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.8715E-231  	    5.4076E-257  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    5.00011E-03  	    1.50000E+03  	    2.34437E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    6.7832E-252  	    0.00000E+00  	    1.1031E-256  	    1.6148E-257  	    3.6499E-247  	    0.00000E+00  	    4.9948E-251  	    1.5530E-255  	    5.9465E-224  	    9.0824E-240  	    9.0666E-248  	    0.00000E+00  	    4.7777E-229  	    0.00000E+00  	    4.6531E-251  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.1794E-248  	    2.6985E-257  	    0.00000E+00  	    1.2241E-226  	    2.5642E-245  	    2.0390E-251  	    5.9934E-221  	    9.4750E-255  	    1.7395E-243  	    4.7872E-217  	    0.00000E+00  	    8.0728E-230  	    7.8185E-219  	    5.7859E-248  	    9.0970E-222  	    1.8294E-224  	    5.94752E-11  	    8.6854E-254  	    1.4443E-225  	    1.0624E-199  	    2.6519E-203  	    3.3282E-230  	    2.3140E-218  	    1.2553E-254  	    5.1480E-246  	    1.2067E-233  	    3.3777E-200  	    7.1589E-198  	    7.6728E-249  	    1.1692E-199  	    2.32920E-01  	    3.2976E-200  	    2.3498E-207  	    3.3549E-251  	    0.00000E+00  	    5.9667E-256  	    1.3974E-254  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.24993E-11  	    7.7443E-231  	    1.1437E-258  	    0.00000E+00  	    2.1190E-230  	    4.2326E-239  	    0.00000E+00  	    0.00000E+00  	    6.4581E-256  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.6289E-221  	    1.1413E-247  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
