       time[ms]  	           T[K]  	density[kg/m^3]  	       Pressure  	        VolY_AR  	        VolY_N2  	      VolY_A1CO  	      VolY_H2O2  	        VolY_CH  	     VolY_T-CH2  	VolY_CVCCVCCJVO  	    VolY_CH2CHO  	     VolY_CH2OH  	       VolY_A1-  	   VolY_TXC5H5O  	    VolY_OC6H4O  	   VolY_C2H3CHO  	    VolY_N-C4H5  	   VolY_C5H4CH2  	      VolY_C3H3  	     VolY_S-CH2  	     VolY_A1CHO  	    VolY_A1CH2O  	VolY_C6H5CYCH2O  	  VolY_C6H5OCH2  	   VolY_C5H4CH3  	      VolY_C5H6  	 VolY_C5H5CH3-1  	      VolY_C3H2  	    VolY_A-C3H4  	      VolY_A1OH  	  VolY_C6H6O-24  	     VolY_CH2CO  	      VolY_HCCO  	      VolY_C2H3  	       VolY_CH4  	      VolY_C2H6  	    VolY_A-C3H5  	      VolY_C3H6  	      VolY_CH3O  	      VolY_C2H2  	      VolY_C5H5  	         VolY_O  	        VolY_A1  	       VolY_HCO  	      VolY_CH2O  	       VolY_HO2  	         VolY_H  	      VolY_C2H4  	      VolY_C2H5  	       VolY_A1O  	       VolY_CH3  	        VolY_OH  	        VolY_CO  	  VolY_C6H5OCH3  	       VolY_CO2  	        VolY_O2  	        VolY_H2  	       VolY_H2O  	  VolY_OC8H7OOH  	      VolY_N2H2  	       VolY_NNH  	       VolY_NH2  	        VolY_NH  	       VolY_HNO  	      VolY_HONO  	         VolY_N  	      VolY_H2NO  	       VolY_N2O  	       VolY_NH3  	        VolY_NO  	       VolY_NO2  	       VolY_HCN  	       VolY_HNC  	        VolY_CN  	      VolY_HNCO  	       VolY_NCO  	       VolY_NCN  	    VolY_CH3NH2  	      VolY_H2CN  	     VolY_C5H5N  	     VolY_C5H4N  	    VolY_C5H5NO  	    VolY_C5H4NO  	   VolY_C5H4NO2  	    VolY_PYRLYL  	  VolY_BNC4H4CO  	    VolY_C4H4CN  	    VolY_CHCHCN  	     VolY_C4H5N  	   VolY_CH2CHCN  	      VolY_C2N2  	      VolY_HNCN  	      VolY_HOCN  	     VolY_CH3CN  	     VolY_CH2CN
    5.00114E-04  	    1.50000E+03  	    3.11233E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.52392E-11  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.32920E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.43460E-11  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    1.00011E-03  	    1.50000E+03  	    3.20883E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.91562E-91  	    0.00000E+00  	    0.00000E+00  	    4.65841E-91  	    3.43834E-84  	    0.00000E+00  	    0.00000E+00  	    5.05354E-11  	    0.00000E+00  	    0.00000E+00  	    6.54469E-82  	    2.39407E-86  	    2.8021E-149  	    4.54077E-91  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.24140E-84  	    4.91674E-83  	    4.95914E-91  	    4.55185E-82  	    2.32920E-01  	    2.27666E-83  	    3.47189E-84  	    8.93850E-91  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.85204E-11  	    1.4919E-101  	    0.00000E+00  	    0.00000E+00  	    2.09565E-92  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.49212E-91  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    1.50011E-03  	    1.50000E+03  	    3.16276E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.22337E-85  	    0.00000E+00  	    0.00000E+00  	    2.49085E-85  	    1.11519E-79  	    0.00000E+00  	    0.00000E+00  	    7.58923E-11  	    0.00000E+00  	    0.00000E+00  	    2.32910E-72  	    3.47519E-77  	    1.12096E-80  	    2.42409E-85  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.28839E-74  	    4.63310E-74  	    2.44957E-85  	    8.71850E-73  	    2.32920E-01  	    2.15719E-74  	    2.66919E-76  	    4.57283E-85  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.25280E-11  	    8.95908E-87  	    0.00000E+00  	    0.00000E+00  	    1.06801E-86  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.27373E-85  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    2.00011E-03  	    1.50000E+03  	    3.07905E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.36784E-80  	    0.00000E+00  	    0.00000E+00  	    2.56533E-80  	    1.44422E-75  	    0.00000E+00  	    0.00000E+00  	    1.01308E-10  	    0.00000E+00  	    0.00000E+00  	    1.78954E-62  	    1.36939E-67  	    3.52357E-76  	    2.49346E-80  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.66446E-64  	    5.15752E-64  	    2.36157E-80  	    4.48009E-63  	    2.32920E-01  	    1.05335E-64  	    1.03334E-67  	    4.54471E-80  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.63713E-11  	    8.72666E-82  	    0.00000E+00  	    0.00000E+00  	    1.05802E-81  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.26488E-80  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    2.50011E-03  	    1.50000E+03  	    3.10790E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.30525E-76  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.39466E-73  	    0.00000E+00  	    0.00000E+00  	    9.11173E-74  	    7.75796E-72  	    0.00000E+00  	    1.34704E-75  	    1.26777E-10  	    0.00000E+00  	    5.28704E-74  	    2.29347E-52  	    3.40746E-57  	    2.22720E-72  	    7.96469E-74  	    0.00000E+00  	    3.03862E-74  	    0.00000E+00  	    1.42580E-54  	    1.27239E-53  	    1.66038E-74  	    2.19200E-53  	    2.32920E-01  	    7.46516E-55  	    1.55275E-58  	    1.49199E-75  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.00524E-11  	    2.60767E-77  	    0.00000E+00  	    0.00000E+00  	    3.20902E-77  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.48897E-74  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    3.00011E-03  	    1.50000E+03  	    3.08507E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.98440E-72  	    0.00000E+00  	    2.11940E-68  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.63581E-64  	    0.00000E+00  	    0.00000E+00  	    5.05164E-65  	    7.54113E-69  	    0.00000E+00  	    1.61569E-65  	    1.52281E-10  	    0.00000E+00  	    7.63562E-65  	    9.71426E-43  	    3.09918E-47  	    1.03698E-68  	    4.45937E-65  	    0.00000E+00  	    6.76447E-69  	    1.28216E-69  	    1.30088E-44  	    9.22943E-44  	    5.84232E-70  	    8.44635E-44  	    2.32920E-01  	    5.73197E-45  	    1.52514E-49  	    7.13633E-72  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    8.35725E-11  	    3.06389E-71  	    3.28402E-80  	    0.00000E+00  	    5.58185E-71  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.48298E-66  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    3.50011E-03  	    1.50000E+03  	    3.00152E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    6.95945E-68  	    0.00000E+00  	    9.58188E-60  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.36334E-61  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.02683E-61  	    0.00000E+00  	    0.00000E+00  	    8.43998E-55  	    0.00000E+00  	    3.25705E-69  	    1.87614E-55  	    2.20941E-65  	    6.36708E-61  	    2.03768E-56  	    1.77784E-10  	    0.00000E+00  	    1.08151E-56  	    1.39163E-33  	    1.01132E-37  	    1.63579E-62  	    1.86071E-55  	    0.00000E+00  	    2.55780E-64  	    2.45620E-62  	    6.16538E-35  	    1.34838E-33  	    7.23975E-66  	    3.38972E-34  	    2.32920E-01  	    3.84808E-35  	    2.06485E-40  	    6.19488E-68  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    9.69300E-11  	    3.74508E-64  	    5.60088E-76  	    0.00000E+00  	    1.74258E-63  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.20198E-57  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    4.00011E-03  	    1.50000E+03  	    3.01548E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.12808E-69  	    0.00000E+00  	    4.12382E-64  	    0.00000E+00  	    3.26773E-50  	    1.56295E-68  	    4.69470E-68  	    0.00000E+00  	    3.33708E-52  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.11611E-69  	    0.00000E+00  	    0.00000E+00  	    1.00397E-56  	    6.13293E-69  	    1.01741E-66  	    7.03062E-50  	    0.00000E+00  	    0.00000E+00  	    2.13890E-44  	    0.00000E+00  	    4.03851E-56  	    1.87944E-45  	    6.08970E-62  	    1.04079E-49  	    1.48077E-47  	    2.03229E-10  	    0.00000E+00  	    1.33178E-48  	    2.32580E-24  	    1.19267E-28  	    1.82671E-53  	    2.23586E-45  	    0.00000E+00  	    5.76114E-60  	    4.93401E-55  	    1.83566E-25  	    3.63809E-24  	    6.20809E-62  	    1.47110E-24  	    2.32920E-01  	    1.32186E-25  	    2.55472E-31  	    5.13610E-64  	    0.00000E+00  	    4.75515E-69  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.10119E-10  	    1.17079E-55  	    8.07184E-72  	    0.00000E+00  	    3.70783E-55  	    3.75130E-64  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.00332E-47  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    4.50011E-03  	    1.50000E+03  	    3.00910E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    1.03302E-63  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.53547E-63  	    0.00000E+00  	    1.24027E-60  	    3.81959E-66  	    1.75062E-40  	    9.36875E-57  	    6.86734E-61  	    0.00000E+00  	    3.46147E-44  	    0.00000E+00  	    7.84813E-64  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.01189E-62  	    0.00000E+00  	    0.00000E+00  	    1.14935E-44  	    2.49012E-60  	    9.29662E-62  	    6.78972E-39  	    0.00000E+00  	    9.71366E-60  	    2.98617E-34  	    0.00000E+00  	    4.40800E-46  	    1.46041E-35  	    4.39839E-59  	    3.97943E-39  	    2.29386E-39  	    2.28541E-10  	    4.99174E-66  	    8.10340E-41  	    2.50075E-15  	    2.04200E-19  	    1.81653E-45  	    2.22085E-35  	    1.33597E-65  	    7.14143E-56  	    1.10743E-47  	    1.00403E-16  	    1.14292E-14  	    3.46497E-58  	    1.67896E-15  	    2.32920E-01  	    9.78808E-17  	    5.27039E-24  	    4.51466E-61  	    0.00000E+00  	    1.98511E-65  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.23130E-10  	    7.34092E-47  	    1.02955E-68  	    0.00000E+00  	    2.33159E-46  	    7.73919E-55  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.40022E-38  	    6.95718E-63  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    5.00011E-03  	    1.50000E+03  	    2.94085E-01  	    1.01325E+05  	    0.00000E+00  	    7.67080E-01  	    0.00000E+00  	    2.79036E-58  	    0.00000E+00  	    1.42777E-62  	    4.09513E-63  	    3.48947E-54  	    0.00000E+00  	    4.49880E-57  	    2.13168E-61  	    8.49734E-31  	    4.01116E-46  	    3.57473E-54  	    0.00000E+00  	    6.57381E-36  	    0.00000E+00  	    4.77280E-57  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.72099E-54  	    1.01011E-62  	    0.00000E+00  	    1.69613E-33  	    9.44009E-52  	    2.66018E-57  	    2.14982E-28  	    6.17352E-61  	    3.34665E-50  	    3.30178E-24  	    0.00000E+00  	    2.16170E-36  	    9.48953E-26  	    1.60036E-54  	    7.89272E-29  	    3.85077E-31  	    2.53640E-10  	    8.36809E-60  	    1.47483E-32  	    3.33798E-13  	    8.57906E-14  	    4.27966E-37  	    5.61706E-25  	    1.21441E-60  	    4.08253E-52  	    1.85812E-40  	    2.89550E-13  	    6.04381E-13  	    6.89453E-55  	    3.39552E-13  	    2.32920E-01  	    2.91192E-13  	    1.01799E-14  	    2.65673E-57  	    0.00000E+00  	    6.03280E-62  	    1.88829E-60  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.35948E-10  	    1.04203E-37  	    9.11905E-65  	    0.00000E+00  	    1.90997E-37  	    8.11037E-46  	    0.00000E+00  	    0.00000E+00  	    2.84276E-61  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.04168E-28  	    2.98522E-54  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
