       time[ms]  	           T[K]  	density[kg/m^3]  	       Pressure  	        VolX_AR  	        VolX_N2  	      VolX_A1CO  	      VolX_H2O2  	        VolX_CH  	     VolX_T-CH2  	VolX_CVCCVCCJVO  	    VolX_CH2CHO  	     VolX_CH2OH  	       VolX_A1-  	   VolX_TXC5H5O  	    VolX_OC6H4O  	   VolX_C2H3CHO  	    VolX_N-C4H5  	   VolX_C5H4CH2  	      VolX_C3H3  	     VolX_S-CH2  	     VolX_A1CHO  	    VolX_A1CH2O  	VolX_C6H5CYCH2O  	  VolX_C6H5OCH2  	   VolX_C5H4CH3  	      VolX_C5H6  	 VolX_C5H5CH3-1  	      VolX_C3H2  	    VolX_A-C3H4  	      VolX_A1OH  	  VolX_C6H6O-24  	     VolX_CH2CO  	      VolX_HCCO  	      VolX_C2H3  	       VolX_CH4  	      VolX_C2H6  	    VolX_A-C3H5  	      VolX_C3H6  	      VolX_CH3O  	      VolX_C2H2  	      VolX_C5H5  	         VolX_O  	        VolX_A1  	       VolX_HCO  	      VolX_CH2O  	       VolX_HO2  	         VolX_H  	      VolX_C2H4  	      VolX_C2H5  	       VolX_A1O  	       VolX_CH3  	        VolX_OH  	        VolX_CO  	  VolX_C6H5OCH3  	       VolX_CO2  	        VolX_O2  	        VolX_H2  	       VolX_H2O  	  VolX_OC8H7OOH  	      VolX_N2H2  	       VolX_NNH  	       VolX_NH2  	        VolX_NH  	       VolX_HNO  	      VolX_HONO  	         VolX_N  	      VolX_H2NO  	       VolX_N2O  	       VolX_NH3  	        VolX_NO  	       VolX_NO2  	       VolX_HCN  	       VolX_HNC  	        VolX_CN  	      VolX_HNCO  	       VolX_NCO  	       VolX_NCN  	    VolX_CH3NH2  	      VolX_H2CN  	     VolX_C5H5N  	     VolX_C5H4N  	    VolX_C5H5NO  	    VolX_C5H4NO  	   VolX_C5H4NO2  	    VolX_PYRLYL  	  VolX_BNC4H4CO  	    VolX_C4H4CN  	    VolX_CHCHCN  	     VolX_C4H5N  	   VolX_CH2CHCN  	      VolX_C2N2  	      VolX_HNCN  	      VolX_HOCN  	     VolX_CH3CN  	     VolX_CH2CN
    5.00114E-04  	    1.50000E+03  	    3.11233E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.55188E-11  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.10035E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    9.40406E-12  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    1.00011E-03  	    1.50000E+03  	    3.20883E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.06409E-90  	    0.00000E+00  	    0.00000E+00  	    3.19461E-91  	    3.19703E-84  	    0.00000E+00  	    0.00000E+00  	    9.11405E-11  	    0.00000E+00  	    0.00000E+00  	    6.28965E-82  	    2.09292E-86  	    8.0215E-148  	    4.67091E-91  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.80278E-84  	    5.06524E-83  	    1.32336E-91  	    2.98450E-82  	    2.10035E-01  	    3.25869E-82  	    5.56087E-84  	    1.69529E-91  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.86957E-11  	    2.5274E-101  	    0.00000E+00  	    0.00000E+00  	    2.23738E-92  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    9.09133E-92  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    1.50011E-03  	    1.50000E+03  	    3.16276E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.79811E-85  	    0.00000E+00  	    0.00000E+00  	    1.70816E-85  	    1.03693E-79  	    0.00000E+00  	    0.00000E+00  	    1.36871E-10  	    0.00000E+00  	    0.00000E+00  	    2.23834E-72  	    3.03805E-77  	    3.20896E-79  	    2.49356E-85  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.18589E-74  	    4.77302E-74  	    6.53675E-86  	    5.71644E-73  	    2.10035E-01  	    3.08768E-73  	    4.27519E-76  	    8.67293E-86  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.78779E-11  	    1.51769E-86  	    0.00000E+00  	    0.00000E+00  	    1.14024E-86  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.64660E-86  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    2.00011E-03  	    1.50000E+03  	    3.07905E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    6.05799E-80  	    0.00000E+00  	    0.00000E+00  	    1.75923E-80  	    1.34286E-75  	    0.00000E+00  	    0.00000E+00  	    1.82709E-10  	    0.00000E+00  	    0.00000E+00  	    1.71981E-62  	    1.19714E-67  	    1.00869E-74  	    2.56492E-80  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.82394E-64  	    5.31329E-64  	    6.30194E-81  	    2.93745E-63  	    2.10035E-01  	    1.50771E-63  	    1.65509E-67  	    8.61958E-81  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.69524E-11  	    1.47831E-81  	    0.00000E+00  	    0.00000E+00  	    1.12958E-81  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.61434E-81  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    2.50011E-03  	    1.50000E+03  	    3.10790E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.88511E-77  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    6.10623E-73  	    0.00000E+00  	    0.00000E+00  	    6.24858E-74  	    7.21349E-72  	    0.00000E+00  	    5.97176E-76  	    2.28642E-10  	    0.00000E+00  	    5.25751E-74  	    2.20410E-52  	    2.97884E-57  	    6.37580E-71  	    8.19295E-74  	    0.00000E+00  	    9.41806E-75  	    0.00000E+00  	    2.41902E-54  	    1.31082E-53  	    4.43078E-75  	    1.43722E-53  	    2.10035E-01  	    1.06852E-53  	    2.48701E-58  	    2.82973E-76  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.59207E-11  	    4.41745E-77  	    0.00000E+00  	    0.00000E+00  	    3.42605E-77  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.43182E-75  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    3.00011E-03  	    1.50000E+03  	    3.08507E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.86550E-72  	    0.00000E+00  	    5.65789E-69  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.94245E-64  	    0.00000E+00  	    0.00000E+00  	    3.46427E-65  	    7.01187E-69  	    0.00000E+00  	    7.16272E-66  	    2.74639E-10  	    0.00000E+00  	    7.59297E-65  	    9.33571E-43  	    2.70933E-47  	    2.96854E-67  	    4.58717E-65  	    0.00000E+00  	    2.09662E-69  	    2.46095E-69  	    2.20709E-44  	    9.50817E-44  	    1.55904E-70  	    5.53800E-44  	    2.10035E-01  	    8.20444E-44  	    2.44279E-49  	    1.35349E-72  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.47834E-11  	    5.19028E-71  	    3.15773E-80  	    0.00000E+00  	    5.95936E-71  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.40997E-67  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    3.50011E-03  	    1.50000E+03  	    3.00152E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.60469E-68  	    0.00000E+00  	    2.55795E-60  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.00733E-61  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.04877E-62  	    0.00000E+00  	    0.00000E+00  	    1.51816E-54  	    0.00000E+00  	    2.28841E-69  	    1.28661E-55  	    2.05435E-65  	    7.05670E-61  	    9.03352E-57  	    3.20633E-10  	    0.00000E+00  	    1.07547E-56  	    1.33740E-33  	    8.84106E-38  	    4.68276E-61  	    1.91404E-55  	    0.00000E+00  	    7.92781E-65  	    4.71437E-62  	    1.04602E-34  	    1.38910E-33  	    1.93195E-66  	    2.22253E-34  	    2.10035E-01  	    5.50794E-34  	    3.30723E-40  	    1.17493E-68  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    6.35395E-11  	    6.34423E-64  	    5.38549E-76  	    0.00000E+00  	    1.86044E-63  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.38486E-58  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    4.00011E-03  	    1.50000E+03  	    3.01548E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.76740E-69  	    0.00000E+00  	    1.54341E-64  	    0.00000E+00  	    8.72343E-51  	    8.04473E-69  	    2.55219E-68  	    0.00000E+00  	    2.46568E-52  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.36038E-69  	    0.00000E+00  	    0.00000E+00  	    7.23144E-57  	    1.88051E-69  	    3.11964E-67  	    4.82622E-50  	    0.00000E+00  	    0.00000E+00  	    3.84740E-44  	    0.00000E+00  	    2.83747E-56  	    1.28887E-45  	    5.66230E-62  	    1.15352E-49  	    6.56461E-48  	    3.66522E-10  	    0.00000E+00  	    1.32435E-48  	    2.23517E-24  	    1.04264E-28  	    5.22930E-52  	    2.29994E-45  	    0.00000E+00  	    1.78564E-60  	    9.47024E-55  	    3.11441E-25  	    3.74797E-24  	    1.65665E-62  	    9.64551E-25  	    2.10035E-01  	    1.89204E-24  	    4.09186E-31  	    9.74123E-65  	    0.00000E+00  	    4.72696E-69  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.21852E-11  	    1.98335E-55  	    7.76143E-72  	    0.00000E+00  	    3.95860E-55  	    4.00501E-64  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.66014E-48  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    4.50011E-03  	    1.50000E+03  	    3.00910E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    8.76318E-64  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.71088E-63  	    0.00000E+00  	    4.64192E-61  	    1.35920E-66  	    4.67340E-41  	    4.82223E-57  	    3.73330E-61  	    0.00000E+00  	    2.55759E-44  	    0.00000E+00  	    2.13409E-64  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.75144E-62  	    0.00000E+00  	    0.00000E+00  	    8.27855E-45  	    7.63536E-61  	    2.85058E-62  	    4.66086E-39  	    0.00000E+00  	    1.03645E-59  	    5.37144E-34  	    0.00000E+00  	    3.09708E-46  	    1.00151E-35  	    4.08970E-59  	    4.41044E-39  	    1.01692E-39  	    4.12172E-10  	    1.84413E-66  	    8.05814E-41  	    2.40330E-15  	    1.78513E-19  	    5.20015E-44  	    2.28449E-35  	    1.32659E-65  	    2.21346E-56  	    2.12558E-47  	    1.70345E-16  	    1.17744E-14  	    9.24640E-59  	    1.10084E-15  	    2.10035E-01  	    1.40101E-15  	    8.44150E-24  	    8.56259E-62  	    0.00000E+00  	    1.97334E-65  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    8.07139E-11  	    1.24357E-46  	    9.89956E-69  	    0.00000E+00  	    2.48928E-46  	    8.26260E-55  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.69962E-38  	    2.57076E-63  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    5.00011E-03  	    1.50000E+03  	    2.94085E-01  	    1.01325E+05  	    0.00000E+00  	    7.89965E-01  	    0.00000E+00  	    2.36708E-58  	    0.00000E+00  	    2.93737E-62  	    1.45726E-63  	    2.33928E-54  	    0.00000E+00  	    1.68375E-57  	    7.58562E-62  	    2.26843E-31  	    2.06460E-46  	    1.94334E-54  	    0.00000E+00  	    4.85721E-36  	    0.00000E+00  	    1.29783E-57  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.51322E-55  	    3.63782E-63  	    0.00000E+00  	    1.22170E-33  	    2.89457E-52  	    8.15679E-58  	    1.47576E-28  	    4.34198E-61  	    3.57088E-50  	    5.93916E-24  	    0.00000E+00  	    1.51882E-36  	    6.50766E-26  	    1.48804E-54  	    8.74757E-29  	    1.70714E-31  	    4.57438E-10  	    3.09148E-60  	    1.46660E-32  	    3.20790E-13  	    7.49990E-14  	    1.22514E-35  	    5.77804E-25  	    1.20588E-60  	    1.26536E-52  	    3.56643E-40  	    4.91253E-13  	    6.22634E-13  	    1.83983E-55  	    2.22633E-13  	    2.10035E-01  	    4.16796E-12  	    1.63049E-14  	    5.03881E-58  	    0.00000E+00  	    5.99705E-62  	    3.39999E-60  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    8.91162E-11  	    1.76521E-37  	    8.76837E-65  	    0.00000E+00  	    2.03914E-37  	    8.65888E-46  	    0.00000E+00  	    0.00000E+00  	    1.95218E-61  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.44812E-29  	    1.10307E-54  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
