            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        5.000000E-04	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.233006E-96	       -0.000000E+00	       -0.000000E+00	       -4.265234E-82	       -2.825439E-81	       -4.579295E-84	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -6.449262E-82	       -0.000000E+00	       -0.000000E+00	       -3.928041E-89	       -1.376986E-85	       -1.646806E-83	       -0.000000E+00	       -0.000000E+00	       -2.717196E-87	       -0.000000E+00	       -0.000000E+00	       -1.462125E-84	       -0.000000E+00	       -1.110725E-13	       -3.933440E-91	       -0.000000E+00	       -1.880048E-80	       -3.645731E-80	       -1.326075E-83	       -0.000000E+00	      -1.726560E-168	       -0.000000E+00	       -1.109404E-82	       -8.928627E-87	       -1.024743E-80	       -1.194779E-79	       -2.793550E-79	       -0.000000E+00	       -0.000000E+00	       -5.782902E-89	       -7.813268E-86	       -7.811935E-88	       -4.557078E-82	       -0.000000E+00	       -1.989880E-84	       -0.000000E+00	       -4.629317E-84	       -8.693168E-92	       -4.481105E-10	       -1.487784E-80	       -2.494683E-87	       -0.000000E+00	       -1.113380E-87	       -1.031825E-90	       -6.653043E-82	       -0.000000E+00	       -6.655789E-87	       -1.549226E-10	       -1.851122E-89	       -7.481351E-84	       -2.646764E-83	       -2.744075E-82	       -3.169843E-90	       -2.145843E-84	       -3.576547E-80	       -1.600565E-85	       -0.000000E+00	       -0.000000E+00	       -4.947463E-86	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -4.809272E-88	       -5.879392E-13	       -5.363677E-83	       -4.222963E-85	       -1.048339E-93	       -1.716680E-81	       -1.818020E-82	       -0.000000E+00	       -0.000000E+00	       -1.801031E-90	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -8.858965E-84	       -2.615287E-84	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00
        1.000000E-03	       -0.000000E+00	       -0.000000E+00	       -5.578864E-90	       -0.000000E+00	       -3.595631E-91	       -0.000000E+00	       -3.628086E-88	       -0.000000E+00	       -4.986505E-91	       -1.672098E-76	       -2.583089E-76	       -7.769491E-79	       -1.295037E-86	       -2.132961E-89	       -0.000000E+00	       -1.070563E-76	       -1.187483E-81	       -0.000000E+00	       -8.341515E-80	       -2.938507E-80	       -3.538506E-78	       -0.000000E+00	       -5.898508E-88	       -1.936675E-80	       -0.000000E+00	       -9.029089E-90	       -1.824873E-79	       -0.000000E+00	       -1.947907E-13	       -8.061170E-80	       -5.489208E-87	       -1.678526E-75	       -3.830665E-75	       -1.176920E-78	       -3.713237E-92	      -6.092301E-156	       -0.000000E+00	       -1.394529E-76	       -1.396149E-80	       -1.710614E-75	       -2.907308E-75	       -1.626441E-74	       -0.000000E+00	       -1.225629E-82	       -2.859568E-79	       -3.819829E-79	       -2.736151E-82	       -7.133084E-77	      -2.082945E-165	       -2.501306E-78	       -0.000000E+00	       -6.659626E-79	       -6.100627E-82	       -4.481105E-10	       -2.580509E-75	       -4.354551E-81	       -0.000000E+00	       -2.054788E-82	       -5.461520E-86	       -1.544708E-77	       -0.000000E+00	       -1.064435E-80	       -1.550063E-10	       -4.514387E-83	       -1.824081E-79	       -4.431712E-78	       -6.386379E-77	       -2.311941E-84	       -3.183232E-79	       -2.290675E-74	       -1.285034E-78	       -0.000000E+00	       -0.000000E+00	       -2.425978E-80	       -0.000000E+00	       -1.491458E-83	       -0.000000E+00	       -0.000000E+00	       -3.064855E-81	       -1.025734E-12	       -2.416690E-78	       -8.506090E-81	       -2.458134E-85	       -4.572249E-77	       -1.667916E-77	       -0.000000E+00	       -0.000000E+00	       -4.424718E-82	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.411590E-79	       -7.305894E-76	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -6.320244E-92	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00
        1.500000E-03	       -0.000000E+00	       -0.000000E+00	       -5.625902E-81	       -2.852171E-79	       -8.734824E-79	       -3.044265E-81	       -1.023613E-82	       -3.042190E-87	       -2.037348E-80	       -7.201560E-73	       -1.231159E-72	       -6.987463E-75	       -7.302944E-80	       -8.262963E-79	       -0.000000E+00	       -1.158980E-72	       -3.767507E-76	       -0.000000E+00	       -2.332624E-75	       -5.722249E-75	       -1.535704E-74	       -9.073971E-85	       -1.738706E-77	       -4.782423E-76	       -0.000000E+00	       -1.711356E-79	       -1.491426E-75	       -0.000000E+00	       -2.773282E-13	       -1.494016E-75	       -3.164363E-78	       -1.362584E-71	       -2.807204E-71	       -1.708462E-74	       -5.025610E-86	      -1.093798E-146	       -1.615828E-89	       -1.333462E-73	       -1.834290E-75	       -6.065885E-72	       -8.345096E-72	       -8.618136E-71	       -0.000000E+00	       -4.909343E-78	       -4.452852E-75	       -3.685053E-74	       -1.264422E-77	       -2.005278E-73	      -7.041173E-152	       -1.865792E-74	       -1.071039E-93	       -1.140165E-74	       -4.610911E-77	       -4.481105E-10	       -1.491927E-70	       -9.676458E-77	       -0.000000E+00	       -2.328317E-78	       -8.537847E-81	       -7.605264E-74	       -0.000000E+00	       -4.316340E-76	       -1.550888E-10	       -2.592580E-78	       -2.208854E-76	       -4.586898E-74	       -3.793733E-73	       -2.423571E-79	       -1.700931E-73	       -5.207415E-71	       -5.540467E-75	       -0.000000E+00	       -0.000000E+00	       -7.204526E-77	       -6.166126E-88	       -2.456144E-78	       -2.550957E-83	       -0.000000E+00	       -2.413588E-77	       -1.453172E-12	       -4.789753E-75	       -1.489449E-21	       -1.941364E-81	       -5.246948E-74	       -5.839643E-74	       -0.000000E+00	       -9.815228E-89	       -2.106772E-78	       -0.000000E+00	       -5.709429E-92	       -0.000000E+00	       -8.277828E-76	       -2.046012E-72	       -0.000000E+00	       -1.971256E-86	       -0.000000E+00	       -1.065553E-81	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -3.823463E-91	       -1.836034E-90	       -0.000000E+00
        2.000000E-03	       -0.000000E+00	       -0.000000E+00	       -5.568614E-77	       -4.953653E-74	       -6.717676E-74	       -6.828371E-76	       -1.704628E-78	       -7.163920E-77	       -3.556339E-76	       -3.335356E-70	       -4.470374E-69	       -1.075533E-71	       -4.771705E-77	       -3.303633E-74	       -0.000000E+00	       -1.548320E-68	       -5.420076E-73	       -0.000000E+00	       -1.446575E-71	       -1.137598E-70	       -1.503011E-70	       -7.879681E-81	       -1.139362E-73	       -1.903760E-72	       -1.230156E-91	       -6.201482E-76	       -2.339678E-71	       -0.000000E+00	       -3.624978E-13	       -1.156014E-71	       -1.068958E-74	       -2.944937E-68	       -1.114204E-67	       -5.704995E-70	       -2.343351E-82	      -2.610024E-137	       -3.161319E-79	       -3.804704E-70	       -9.094656E-71	       -1.140393E-67	       -1.745210E-68	       -1.471578E-66	       -0.000000E+00	       -8.146573E-75	       -3.167881E-71	       -4.889720E-70	       -1.232067E-73	       -4.622227E-70	      -4.960635E-144	       -2.496123E-70	       -4.813164E-85	       -1.692628E-70	       -9.880999E-74	       -4.481105E-10	       -4.862524E-67	       -2.473128E-73	       -0.000000E+00	       -2.147206E-74	       -1.254371E-77	       -1.223810E-69	       -0.000000E+00	       -2.212685E-73	       -1.551740E-10	       -1.286454E-73	       -3.764534E-72	       -5.834449E-70	       -1.729022E-70	       -2.851364E-75	       -2.255675E-69	       -2.292545E-68	       -2.048218E-73	       -0.000000E+00	       -6.495048E-79	       -4.320166E-73	       -1.728135E-79	       -1.626366E-75	       -4.198640E-79	       -1.845155E-91	       -3.145941E-74	       -1.890428E-12	       -5.652045E-71	       -5.347441E-20	       -3.141956E-78	       -7.184290E-70	       -6.752763E-71	       -2.226362E-82	       -6.221992E-83	       -4.852155E-75	       -0.000000E+00	       -1.208307E-81	       -0.000000E+00	       -7.116010E-72	       -7.563627E-70	       -0.000000E+00	       -3.563498E-76	       -3.769907E-81	       -1.024333E-78	       -5.242674E-83	       -3.811629E-75	       -0.000000E+00	       -3.781224E-92	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -3.700334E-86	       -8.508651E-84	       -0.000000E+00
        2.600000E-03	       -6.542274E-75	       -1.710205E-82	       -4.998849E-73	       -4.363416E-71	       -1.001727E-69	       -1.502160E-72	       -8.844297E-74	       -1.024387E-72	       -9.409341E-72	       -2.621533E-68	       -2.372090E-65	       -4.012932E-68	       -2.047840E-73	       -2.116370E-72	       -2.633188E-93	       -7.638007E-65	       -6.592229E-69	       -5.110874E-82	       -8.699134E-68	       -2.297221E-66	       -1.398482E-67	       -1.180061E-76	       -1.995749E-70	       -2.466533E-68	       -1.804033E-79	       -8.102060E-72	       -1.204268E-67	       -0.000000E+00	       -4.698067E-13	       -4.890601E-68	       -3.438257E-72	       -5.626666E-65	       -3.915122E-64	       -1.667723E-66	       -4.025431E-78	      -8.697963E-129	       -5.597481E-75	       -7.625023E-67	       -3.164513E-67	       -5.422504E-64	       -1.381066E-65	       -7.369215E-63	       -4.825914E-85	       -1.508252E-71	       -1.717508E-67	       -7.109936E-66	       -2.102100E-68	       -9.467354E-67	      -1.791691E-136	       -1.374327E-65	       -9.037135E-81	       -1.381281E-66	       -4.528933E-71	       -4.481105E-10	       -4.949745E-62	       -1.501561E-70	       -0.000000E+00	       -5.208335E-70	       -2.148146E-72	       -2.707509E-65	       -0.000000E+00	       -6.195114E-71	       -1.552813E-10	       -2.675796E-69	       -1.371179E-68	       -7.341193E-66	       -1.486928E-68	       -1.183218E-70	       -9.266011E-66	       -1.678513E-66	       -1.463069E-71	       -1.561270E-86	       -2.339625E-73	       -5.759685E-70	       -7.594854E-76	       -1.020581E-71	       -6.379242E-76	       -6.249963E-77	       -2.426733E-70	       -2.436447E-12	       -3.679421E-67	       -3.307979E-19	       -2.429540E-75	       -4.835671E-66	       -9.535455E-68	       -8.288348E-76	       -1.309654E-79	       -4.104626E-72	       -3.860960E-84	       -2.560722E-78	       -1.510657E-80	       -2.539297E-68	       -1.144672E-67	       -0.000000E+00	       -1.054494E-72	       -2.417320E-74	       -1.464687E-76	       -1.148559E-73	       -9.132401E-70	       -1.035963E-84	       -2.896007E-82	       -0.000000E+00	       -0.000000E+00	       -1.489232E-87	       -6.640933E-83	       -3.549025E-80	       -6.030029E-86
        3.100000E-03	       -4.839686E-72	       -9.893534E-75	       -1.736373E-70	       -2.205825E-69	       -9.601856E-67	       -1.655929E-70	       -1.444783E-69	       -1.424694E-69	       -5.389752E-68	       -4.552024E-67	       -1.224783E-62	       -1.635071E-65	       -1.048663E-70	       -2.666999E-70	       -3.636125E-83	       -8.005097E-62	       -2.837932E-66	       -5.410873E-77	       -3.520284E-65	       -1.511469E-63	       -2.028658E-65	       -1.919756E-72	       -5.527610E-69	       -9.018170E-66	       -2.335946E-77	       -3.292296E-68	       -1.763715E-64	       -0.000000E+00	       -5.638837E-13	       -1.552117E-65	       -5.127800E-70	       -2.283357E-62	       -1.465458E-61	       -1.169484E-63	       -1.170390E-74	      -6.289914E-122	       -6.531142E-72	       -3.171223E-64	       -3.817489E-64	       -3.435037E-61	       -2.704289E-63	       -3.228228E-60	       -4.429337E-80	       -6.750832E-70	       -5.512567E-65	       -1.031380E-62	       -4.436510E-65	       -4.287064E-64	      -4.918744E-130	       -1.067210E-61	       -1.087705E-76	       -1.069381E-63	       -4.019000E-69	       -4.481105E-10	       -2.164333E-58	       -9.995714E-69	       -0.000000E+00	       -3.722106E-66	       -5.593278E-69	       -6.671039E-62	       -4.184846E-83	       -3.373324E-69	       -1.553754E-10	       -8.451176E-65	       -2.497652E-65	       -9.563668E-63	       -2.700764E-67	       -6.263469E-67	       -8.399598E-63	       -2.753134E-65	       -1.113163E-69	       -2.234044E-80	       -1.485701E-70	       -2.387070E-67	       -1.336896E-73	       -3.359316E-69	       -3.963007E-74	       -4.020846E-73	       -6.738629E-68	       -2.911081E-12	       -1.235898E-64	       -6.830055E-19	       -2.810467E-72	       -1.862669E-63	       -2.672347E-64	       -5.679832E-73	       -1.481668E-76	       -2.538207E-70	       -4.958360E-79	       -2.175162E-75	       -5.864519E-77	       -1.245703E-65	       -4.518455E-66	       -0.000000E+00	       -9.527003E-72	       -7.368054E-73	       -4.150875E-74	       -6.516196E-72	       -1.107437E-67	       -2.145625E-74	       -7.325938E-80	       -8.864716E-80	       -1.084172E-98	       -2.508167E-80	       -1.905426E-79	       -1.009717E-77	       -1.131784E-82
        3.600000E-03	       -1.881525E-69	       -1.536828E-72	       -4.283084E-68	       -9.754556E-68	       -3.459742E-64	       -6.789763E-69	       -7.518329E-66	       -2.943802E-67	       -1.130814E-64	       -6.926636E-66	       -3.035574E-60	       -7.316979E-63	       -2.456954E-69	       -3.997059E-68	       -1.579911E-80	       -3.631721E-59	       -4.926027E-64	       -5.249611E-74	       -6.640267E-63	       -1.765429E-60	       -2.371466E-63	       -5.850590E-69	       -2.538009E-67	       -4.542579E-63	       -1.475174E-75	       -3.852616E-65	       -1.448847E-61	       -4.143338E-80	       -6.624478E-13	       -1.557038E-63	       -1.217787E-68	       -3.793029E-60	       -5.968858E-59	       -3.842119E-61	       -8.548901E-72	      -1.508962E-114	       -4.373293E-69	       -1.133599E-61	       -2.094416E-61	       -7.976318E-58	       -1.279354E-61	       -1.809527E-57	       -3.807542E-77	       -4.690597E-69	       -9.277516E-63	       -2.816604E-60	       -9.541851E-62	       -1.177167E-61	      -1.042377E-123	       -1.094212E-58	       -8.056544E-73	       -2.390771E-60	       -6.810968E-68	       -4.481105E-10	       -6.133997E-55	       -1.306041E-67	       -0.000000E+00	       -7.663287E-63	       -3.774304E-66	       -7.415314E-59	       -6.407650E-79	       -5.374293E-68	       -1.554739E-10	       -4.293021E-61	       -3.647595E-62	       -1.337346E-59	       -2.779483E-66	       -2.691202E-63	       -4.246585E-60	       -3.131705E-64	       -6.352826E-68	       -5.182068E-78	       -5.977978E-69	       -6.342482E-65	       -1.823604E-71	       -6.945246E-67	       -8.437994E-73	       -6.587347E-71	       -2.055631E-65	       -3.404652E-12	       -7.344519E-62	       -1.156291E-18	       -1.244648E-69	       -9.479426E-61	       -6.805388E-62	       -2.003079E-71	       -2.405035E-73	       -5.130625E-68	       -3.762308E-75	       -9.122148E-72	       -1.207832E-74	       -5.949583E-63	       -1.876950E-64	       -0.000000E+00	       -7.029369E-70	       -2.115807E-71	       -3.822341E-72	       -6.940277E-70	       -3.033831E-66	       -3.257862E-72	       -8.458467E-77	       -9.789014E-77	       -5.569239E-88	       -3.533981E-77	       -2.716429E-76	       -8.984941E-75	       -2.961807E-79
        4.100000E-03	       -3.079013E-68	       -7.990142E-70	       -4.617575E-66	       -5.027794E-66	       -1.273792E-61	       -1.967296E-67	       -1.931936E-62	       -5.171177E-65	       -4.403623E-62	       -1.541842E-64	       -2.247658E-58	       -3.422560E-60	       -4.069123E-68	       -8.191600E-66	       -5.460986E-77	       -3.036772E-56	       -3.093160E-62	       -5.153276E-71	       -6.659488E-62	       -1.401707E-57	       -1.036174E-61	       -1.077516E-65	       -3.629676E-65	       -1.450609E-60	       -6.248533E-74	       -3.778567E-62	       -8.496946E-59	       -5.576188E-76	       -7.661809E-13	       -1.610967E-62	       -4.384713E-66	       -4.633625E-58	       -1.125878E-56	       -3.886252E-59	       -3.649920E-69	      -4.004267E-108	       -1.017527E-66	       -4.111509E-59	       -7.339353E-59	       -3.956648E-55	       -6.571573E-60	       -4.669237E-55	       -4.587416E-74	       -4.658059E-68	       -2.229042E-61	       -2.342149E-57	       -7.439391E-59	       -6.815582E-59	      -2.012221E-117	       -1.917669E-55	       -1.193011E-68	       -2.959542E-57	       -1.011738E-66	       -4.481105E-10	       -1.973113E-51	       -1.709098E-66	       -0.000000E+00	       -6.804168E-60	       -6.051028E-63	       -1.147423E-55	       -7.509593E-76	       -1.169554E-66	       -1.555777E-10	       -1.185594E-57	       -6.403834E-59	       -1.576014E-56	       -5.361264E-65	       -1.650174E-60	       -5.544765E-58	       -6.265904E-63	       -8.045258E-66	       -2.799791E-76	       -1.166331E-66	       -3.099658E-62	       -1.087201E-69	       -1.347344E-64	       -1.108064E-71	       -1.082753E-68	       -1.136231E-63	       -3.920371E-12	       -2.765112E-59	       -1.759426E-18	       -9.169902E-67	       -2.966425E-58	       -5.188309E-60	       -1.035329E-69	       -5.148660E-70	       -2.811225E-66	       -2.084610E-72	       -4.394154E-69	       -2.135110E-73	       -2.286078E-60	       -1.696291E-62	       -0.000000E+00	       -1.351426E-68	       -5.518407E-70	       -6.574120E-71	       -1.676176E-68	       -8.182811E-65	       -1.159563E-68	       -1.302666E-72	       -2.900791E-74	       -3.683706E-85	       -9.046435E-74	       -2.681485E-73	       -2.095773E-72	       -2.382717E-76
        4.514750E-03	       -1.067607E-70	       -2.916440E-72	       -6.213617E-68	       -5.555164E-68	       -1.001789E-63	       -3.728031E-69	       -3.122437E-64	       -3.296082E-67	       -2.957175E-64	       -4.100893E-67	       -2.777027E-60	       -3.669409E-62	       -5.904963E-70	       -6.548044E-68	       -3.048285E-78	       -6.348768E-58	       -1.235144E-64	       -4.023737E-73	       -1.621711E-63	       -2.179084E-59	       -1.153541E-63	       -1.471470E-67	       -3.037494E-67	       -1.219053E-62	       -1.838097E-76	       -2.748778E-64	       -1.349868E-60	       -4.385149E-78	       -8.722202E-13	       -4.165970E-64	       -2.884232E-68	       -3.059422E-60	       -6.616222E-59	       -2.676883E-61	       -4.025758E-71	      -2.238224E-111	       -8.543947E-69	       -2.616464E-61	       -4.127273E-61	       -6.991526E-57	       -5.417591E-62	       -3.688892E-57	       -3.474364E-76	       -3.553717E-70	       -3.627236E-63	       -1.482300E-59	       -8.739313E-61	       -1.020902E-60	      -5.969900E-121	       -2.316497E-57	       -1.802495E-70	       -4.753260E-59	       -2.880285E-69	       -4.481105E-10	       -2.019884E-52	       -6.658306E-69	       -0.000000E+00	       -1.354125E-61	       -1.039429E-64	       -1.567902E-57	       -1.082656E-77	       -2.139538E-69	       -1.556837E-10	       -1.765696E-59	       -1.330459E-60	       -4.684544E-58	       -1.480254E-67	       -3.482644E-62	       -3.540365E-60	       -1.690860E-65	       -4.505875E-68	       -3.726063E-78	       -2.672901E-69	       -1.591103E-64	       -2.188201E-71	       -1.229106E-66	       -7.100397E-74	       -7.984027E-71	       -1.314305E-65	       -4.449323E-12	       -2.211433E-61	       -2.044404E-18	       -6.938294E-69	       -1.659333E-60	       -4.356627E-62	       -6.931118E-72	       -5.579764E-72	       -4.295264E-68	       -1.679578E-74	       -3.477642E-71	       -7.350353E-76	       -1.497405E-62	       -4.813860E-64	       -0.000000E+00	       -5.686128E-71	       -2.452789E-72	       -3.899318E-73	       -5.201937E-71	       -7.990497E-67	       -2.302395E-69	       -8.272407E-75	       -1.589571E-75	       -1.657841E-87	       -8.748430E-76	       -2.151449E-75	       -1.438744E-74	       -1.983863E-78
        5.005170E-03	       -4.857657E-71	       -1.327641E-72	       -2.845138E-68	       -2.527613E-68	       -4.542622E-64	       -1.689212E-69	       -1.387344E-64	       -1.479077E-67	       -1.328509E-64	       -1.845209E-67	       -1.257847E-60	       -1.636256E-62	       -2.701587E-70	       -2.967484E-68	       -1.366589E-78	       -2.623772E-58	       -5.599698E-65	       -1.828634E-73	       -7.403317E-64	       -9.756610E-60	       -5.232182E-64	       -6.612137E-68	       -1.388674E-67	       -5.507195E-63	       -8.376879E-77	       -1.245299E-64	       -5.586354E-61	       -1.993791E-78	       -9.920284E-13	       -1.900919E-64	       -1.318940E-68	       -1.381999E-60	       -2.995958E-59	       -1.203652E-61	       -2.060143E-71	      -3.591950E-112	       -3.906878E-69	       -1.186025E-61	       -1.846782E-61	       -2.785527E-57	       -2.459722E-62	       -1.570816E-57	       -1.588314E-76	       -1.609996E-70	       -1.647879E-63	       -6.668808E-60	       -3.829267E-61	       -4.622601E-61	      -1.011397E-121	       -8.987883E-58	       -8.043010E-71	       -1.768334E-59	       -1.304218E-69	       -4.481105E-10	       -6.787959E-53	       -3.004632E-69	       -0.000000E+00	       -5.877744E-62	       -4.010268E-65	       -5.994843E-58	       -4.923081E-78	       -9.657630E-70	       -1.558035E-10	       -7.265181E-60	       -5.613799E-61	       -1.781157E-58	       -6.662543E-68	       -1.485711E-62	       -1.605060E-60	       -7.607725E-66	       -2.056555E-68	       -1.699568E-78	       -1.210897E-69	       -7.156994E-65	       -1.000927E-71	       -5.527182E-67	       -3.204227E-74	       -3.654529E-71	       -5.871814E-66	       -5.041555E-12	       -9.872924E-62	       -6.660203E-19	       -3.146654E-69	       -7.522245E-61	       -1.970719E-62	       -3.156837E-72	       -2.494202E-72	       -1.951882E-68	       -7.673550E-75	       -1.576548E-71	       -3.348404E-76	       -6.699875E-63	       -2.191426E-64	       -0.000000E+00	       -2.596384E-71	       -1.112304E-72	       -1.774928E-73	       -2.352626E-71	       -3.639236E-67	       -1.031105E-69	       -3.750728E-75	       -7.829509E-76	       -7.812403E-88	       -3.944605E-76	       -1.103898E-75	       -6.532203E-75	       -1.030599E-78
