            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        5.000000E-04	        1.150360E-97	        2.069024E-92	       2.125864E-156	        2.620630E-86	        6.449337E-82	        1.459533E-87	       -1.233006E-96	       5.864456E-163	        1.204928E-86	       -4.265229E-82	        4.282174E-80	        6.523913E-82	       1.238413E-163	        3.297872E-84	       3.532612E-177	        1.822154E-80	        8.446276E-87	       1.284074E-162	        5.393773E-84	       -1.376986E-85	        3.134461E-82	       1.610724E-159	        4.785455E-86	       -2.717119E-87	       1.181386E-172	        9.255612E-90	        3.629328E-80	        0.000000E+00	        7.418863E-10	        1.458176E-83	        2.749471E-87	        1.701088E-80	        8.545010E-80	        3.652324E-82	       1.440951E-174	      -1.726560E-168	       3.820203E-165	        1.987156E-80	        1.132803E-82	        8.793727E-80	        1.144994E-79	       -2.793550E-79	        0.000000E+00	        5.239413E-88	        1.340096E-84	        2.845931E-82	       -7.811935E-88	        1.629992E-79	       2.169587E-163	        3.588254E-80	       4.136592E-170	        2.028043E-79	        3.066010E-87	       -4.481105E-10	       -1.456790E-80	        5.711552E-88	        0.000000E+00	        6.639744E-82	        4.656049E-84	       -6.653043E-82	       1.120589E-165	       -6.655789E-87	       -1.543346E-10	        2.476172E-87	       -7.480084E-84	        5.107779E-80	       -2.744075E-82	        5.083232E-84	       -2.145843E-84	       -3.576547E-80	        3.576531E-80	        2.650013E-95	        2.364884E-83	        5.358735E-83	        5.131617E-89	        5.428231E-87	       7.897903E-160	        9.657569E-16	        4.404229E-86	        1.543337E-10	       -5.363677E-83	        9.657903E-16	        9.566743E-24	       -1.534878E-81	        1.534877E-81	        1.389737E-87	       4.485779E-160	        1.469258E-88	       1.357759E-106	       6.570817E-169	       1.278692E-164	       -8.858965E-84	        6.243535E-84	        1.425246E-88	        3.277361E-91	        1.250143E-89	       6.704445E-165	        0.000000E+00	        2.615274E-84	       3.754468E-168	        0.000000E+00	       5.463523E-165	        0.000000E+00	        0.000000E+00	       1.920774E-159	       3.637067E-166	        0.000000E+00
        1.000000E-03	        9.975849E-88	        1.010733E-85	       -5.578864E-90	        3.887550E-81	        1.070570E-76	        3.396885E-82	       -3.628086E-88	        4.257002E-92	        2.648467E-81	       -1.672090E-76	        2.399329E-75	        6.895939E-77	       -1.295037E-86	        1.292864E-78	       5.237462E-162	        1.577540E-75	        4.112488E-80	       2.463353E-152	        1.634486E-78	       -2.938507E-80	        2.662308E-77	       5.672708E-149	        7.098956E-81	       -3.421855E-81	       2.322081E-160	        2.257192E-83	        3.759752E-75	        0.000000E+00	        7.422404E-10	        1.126982E-78	        4.078623E-82	        2.084563E-75	       -7.011915E-76	        1.269124E-76	        2.300213E-88	      -6.092301E-156	       2.205396E-155	        1.660959E-75	        4.439877E-77	        5.838814E-75	        1.076427E-74	       -1.626441E-74	        0.000000E+00	        7.153564E-82	       -8.672531E-80	        6.426389E-77	       -2.736151E-82	        1.066502E-74	       6.175465E-152	        2.295025E-74	       4.615793E-159	        2.883529E-74	        4.293428E-81	       -4.481105E-10	       -2.458991E-75	        1.158451E-81	        0.000000E+00	        1.544680E-77	        7.188552E-79	       -1.516112E-77	       5.590419E-156	       -1.064435E-80	       -1.539806E-10	        4.309407E-81	       -1.809249E-79	        2.555681E-74	       -6.386379E-77	        2.959502E-79	       -3.183232E-79	       -2.290675E-74	        2.290546E-74	        2.267011E-89	        3.946445E-78	        2.392440E-78	        5.438221E-84	        5.475881E-81	       2.662731E-150	        1.693671E-15	        1.876696E-80	        1.539789E-10	       -2.416690E-78	        1.693774E-15	        2.927035E-23	       -2.904334E-77	        2.904329E-77	        3.701817E-83	       4.751880E-150	       -4.355249E-82	       1.953238E-101	       1.575192E-156	       6.729307E-102	       -1.411590E-79	       -7.304483E-76	        3.982489E-84	        9.155420E-83	        3.492318E-81	       -6.320244E-92	        0.000000E+00	        7.305859E-76	       1.238776E-158	       1.796031E-165	       1.812356E-155	        0.000000E+00	        0.000000E+00	       8.563979E-150	       4.746141E-155	        0.000000E+00
        1.500000E-03	        2.211634E-83	        9.755657E-81	       -5.625902E-81	        2.077094E-75	        1.158986E-72	        2.014863E-78	       -1.023613E-82	        1.034148E-79	        3.110170E-77	       -7.201222E-73	        1.285104E-71	        4.999245E-73	       -7.302944E-80	        5.567409E-75	       5.379026E-154	        1.249667E-71	        3.625739E-75	       8.678599E-145	        6.292049E-74	       -5.722249E-75	        1.283999E-73	       -9.073971E-85	        3.775884E-75	       -1.800900E-76	       2.275666E-151	        1.125154E-78	        2.751157E-71	        0.000000E+00	        7.425853E-10	        1.574163E-74	        2.147763E-76	        1.395228E-71	       -1.866808E-71	        5.373744E-73	        1.326239E-79	      -1.093798E-146	       -1.615828E-89	        1.442378E-71	        1.894470E-73	        1.688044E-70	        6.413718E-71	       -8.618136E-71	       6.645141E-158	        2.906873E-77	        1.016473E-73	        4.165806E-73	       -1.264422E-77	        5.351887E-71	       3.156779E-143	        5.228583E-71	       -1.071039E-93	        7.656969E-71	        1.527301E-76	       -4.481105E-10	       -1.486687E-70	        1.481613E-76	        0.000000E+00	        7.623380E-74	        1.164020E-74	       -7.159875E-74	       1.194523E-148	       -4.316340E-76	       -1.536357E-10	        9.417200E-77	       -3.827226E-77	        2.016421E-70	       -3.793733E-73	        1.567941E-75	       -1.700931E-73	       -5.207415E-71	        5.206861E-71	        9.537910E-86	        1.399910E-74	        4.718255E-75	        2.562703E-80	        2.888429E-77	       -2.550474E-83	        2.411319E-15	        4.069877E-77	        1.536332E-10	       -4.789753E-75	        2.411524E-15	        1.548488E-21	        5.926952E-75	       -5.927008E-75	        4.248476E-80	       -9.815228E-89	       -2.095421E-78	        5.451921E-97	       -5.709429E-92	        1.651779E-89	       -8.277828E-76	       -2.045184E-72	        3.324803E-80	        2.563970E-79	        9.780215E-78	       -1.065553E-81	        1.968507E-86	        2.046001E-72	       1.153359E-151	       1.076506E-151	       1.698966E-148	        0.000000E+00	       2.872209E-167	       -3.823463E-91	       -1.836034E-90	        1.834542E-90
        2.000000E-03	        2.056624E-79	        1.294694E-76	       -5.568614E-77	        2.749843E-71	        1.548328E-68	        2.368571E-76	       -1.704628E-78	        7.881669E-75	        6.246667E-73	       -3.335182E-70	        2.359882E-67	        2.036144E-69	       -4.771705E-77	        2.545856E-72	       6.400657E-146	        1.407732E-68	        5.246273E-71	       1.835764E-137	        7.734391E-70	       -1.137598E-70	        3.716844E-70	       -7.879681E-81	        5.019032E-71	        3.733910E-73	       -1.230156E-91	        6.370255E-74	        1.101335E-67	        0.000000E+00	        7.429374E-10	        5.613693E-70	        2.879542E-72	        7.999367E-68	       -9.012428E-68	       -2.002215E-70	        4.483922E-76	      -2.610023E-137	       -3.161319E-79	        3.448289E-68	       -2.355817E-72	        8.086393E-67	        1.213814E-66	       -1.471578E-66	       7.656906E-150	        9.271602E-75	        1.375373E-69	        7.874200E-70	       -1.232067E-73	        9.130826E-67	       7.152432E-135	        2.325596E-68	       -4.813164E-85	        2.996246E-67	        3.120915E-75	       -4.481105E-10	       -4.860096E-67	       -4.658344E-74	        0.000000E+00	        1.224589E-69	        1.694667E-70	       -1.192080E-69	       1.881236E-140	       -2.212685E-73	       -1.532836E-10	        1.186675E-73	        5.025002E-72	        5.103402E-67	       -1.729022E-70	        2.677444E-71	       -2.255675E-69	       -2.292545E-68	        2.292524E-68	        7.440294E-82	        2.619743E-70	        5.609021E-71	        2.937940E-76	        7.303625E-74	       -4.176617E-79	        3.151852E-15	        3.573180E-73	        1.532804E-10	       -5.652045E-71	        3.152150E-15	        5.357480E-20	       -6.509014E-70	        6.509005E-70	        5.817716E-76	       -6.221992E-83	       -4.649018E-75	        1.092805E-91	       -1.208307E-81	        1.338387E-84	       -7.116010E-72	       -7.492433E-70	        3.735721E-76	       -2.615658E-76	        3.615514E-75	       -5.273524E-79	        3.558528E-76	        7.563552E-70	        1.578821E-80	       -3.781224E-92	       3.600045E-140	       1.346915E-151	       1.853957E-155	       -3.700334E-86	       -8.508651E-84	        8.501613E-84
        2.600000E-03	       -5.097172E-75	        1.883603E-72	       -4.998849E-73	        1.131184E-67	        7.638071E-65	       -1.423066E-72	       -8.844297E-74	        1.175738E-70	        4.116307E-69	       -2.621048E-68	        1.180422E-63	        7.000563E-66	       -2.047840E-73	        2.006090E-70	        4.825914E-85	       -1.951407E-65	        7.626194E-67	       -5.110874E-82	        3.100466E-66	       -2.297221E-66	        2.629934E-66	       -1.180061E-76	        2.064442E-67	       -1.505106E-68	       -1.804033E-79	        1.329796E-69	        4.095388E-64	       2.837576E-162	        7.433761E-10	        1.672573E-66	        1.186914E-68	        3.283010E-64	       -3.573044E-64	       -1.072840E-66	        1.444324E-73	      -8.697950E-129	       -5.597481E-75	        8.877323E-65	       -3.094882E-67	        5.105003E-62	        6.151142E-63	       -7.369215E-63	       -4.825914E-85	       -1.020575E-71	        5.615977E-66	        9.976106E-67	       -2.102100E-68	        4.551429E-63	       5.208034E-127	       -5.640039E-66	       -9.037135E-81	        1.307380E-63	       -1.675054E-71	       -4.481105E-10	       -4.949743E-62	       -7.633120E-71	        0.000000E+00	        2.716680E-65	        1.394281E-66	       -2.690329E-65	       3.872454E-133	       -6.195114E-71	       -1.528449E-10	       -2.525640E-69	        2.769157E-68	        4.960311E-62	       -1.486928E-68	        1.339742E-67	       -9.266011E-66	       -1.678513E-66	        1.678609E-66	        1.278450E-78	        1.251757E-66	        3.675476E-67	        3.081051E-72	        2.900756E-70	       -4.665737E-76	        4.084881E-15	        2.756465E-70	        1.528408E-10	       -3.679421E-67	        4.085137E-15	        3.309655E-19	       -4.740317E-66	        4.740311E-66	        3.915500E-72	       -1.309654E-79	       -2.331894E-72	       -3.750709E-84	       -2.560722E-78	        1.094117E-80	       -2.539297E-68	       -8.816267E-68	        1.727573E-72	       -9.252932E-73	        5.229955E-73	        1.324172E-75	        9.381671E-73	        1.135533E-67	        3.782746E-75	       -2.896007E-82	       1.234344E-132	       3.371411E-141	        7.299957E-87	       -6.640933E-83	       -3.549025E-80	        3.546018E-80
        3.100000E-03	       -4.282983E-72	        2.742301E-69	       -1.736373E-70	        1.025786E-64	        8.005400E-62	       -1.641563E-70	       -1.444783E-69	        1.122553E-67	        7.053933E-66	       -4.549383E-67	        5.152502E-61	        2.606500E-63	       -1.048663E-70	        3.724962E-69	        4.425701E-80	       -5.690293E-62	        1.112292E-63	       -5.410873E-77	        2.839563E-63	       -1.511469E-63	        1.409836E-63	       -1.919756E-72	        1.873166E-64	       -5.971026E-66	       -2.335946E-77	        4.222296E-65	        2.096062E-61	       4.937825E-150	        7.437567E-10	        1.286411E-63	        1.076190E-65	        1.211560E-61	       -1.333098E-61	       -8.799551E-64	        2.149640E-71	      -6.289907E-122	       -6.531142E-72	        1.399922E-61	       -3.816279E-64	        2.165856E-58	        2.697967E-60	       -3.228228E-60	       -4.429337E-80	       -4.095364E-70	        5.188747E-63	       -4.044773E-63	       -4.436510E-65	        2.129430E-60	       3.309643E-121	       -9.747468E-62	       -1.087705E-76	        6.156193E-61	       -2.465024E-69	       -4.481105E-10	       -2.164333E-58	       -4.422913E-69	        0.000000E+00	        6.766109E-62	        1.096271E-63	       -6.665526E-62	       -4.184846E-83	       -3.373324E-69	       -1.524643E-10	       -8.450177E-65	        3.495682E-65	        2.169788E-58	       -2.700764E-67	        5.811544E-65	       -8.399598E-63	       -2.753134E-65	        2.810286E-65	        6.330393E-76	        8.181128E-64	        1.241440E-64	        3.600610E-69	        8.791276E-68	        4.211923E-73	        4.902860E-15	        1.474279E-67	        1.524594E-10	       -1.235898E-64	        4.903018E-15	        6.832459E-19	       -1.595435E-63	        1.595432E-63	        1.508161E-69	       -1.481668E-76	        5.659369E-70	        5.376334E-78	       -2.175162E-75	       -1.880956E-77	       -1.245703E-65	        8.048300E-66	        1.017144E-69	       -2.444574E-72	        2.086203E-71	       -2.822192E-74	        2.997520E-72	        4.407689E-66	        4.372569E-73	       -7.325938E-80	       -8.864716E-80	       -1.084172E-98	        4.833728E-79	       -1.905426E-79	       -1.009717E-77	        1.008835E-77
        3.600000E-03	       -1.771457E-69	        7.731575E-67	       -4.283084E-68	        5.186168E-62	        3.632165E-59	       -6.774978E-69	       -7.518329E-66	        4.066680E-65	        6.588978E-63	       -6.922427E-66	        2.926442E-58	        1.058676E-60	       -2.456954E-69	        2.470163E-66	        3.807436E-77	       -3.242448E-59	        3.040051E-61	       -5.249611E-74	        1.446647E-60	       -1.765429E-60	        3.520786E-61	       -5.850590E-69	        9.470446E-62	       -4.236961E-63	       -1.475174E-75	        2.146125E-61	        1.321784E-58	       -4.143338E-80	        7.441517E-10	        5.298774E-61	        5.441140E-63	        5.505292E-59	       -5.695041E-59	       -3.129459E-61	        5.025880E-70	      -1.508961E-114	       -4.373293E-69	        1.171844E-58	       -2.094397E-61	        6.113561E-55	        1.513686E-57	       -1.809527E-57	       -3.807542E-77	       -4.599723E-70	        2.646256E-60	        2.394973E-60	       -9.541851E-62	        1.866047E-57	       5.067301E-116	       -1.069015E-58	       -8.056544E-73	        3.333864E-58	       -4.335214E-68	       -4.481105E-10	       -6.133997E-55	       -3.773966E-68	        0.000000E+00	        7.510901E-59	        2.445417E-60	       -7.414386E-59	       -6.140753E-79	       -5.374293E-68	       -1.520693E-10	       -4.293020E-61	        3.375262E-62	        6.152040E-55	       -2.779483E-66	        3.023548E-62	       -4.246585E-60	       -3.131705E-64	        2.771699E-63	        1.967187E-73	        1.914508E-60	        7.562796E-62	        4.840447E-66	        2.622762E-65	        1.090004E-69	        5.759852E-15	        3.651998E-65	        1.520635E-10	       -7.344519E-62	        5.759852E-15	        1.156621E-18	       -8.798887E-61	        8.798873E-61	        7.678761E-67	       -2.405035E-73	        4.386303E-67	       -2.818991E-75	       -9.122148E-72	        4.506704E-75	       -5.949583E-63	        5.764351E-63	        5.706767E-67	        1.461195E-71	        8.760498E-70	       -2.841911E-72	        7.928802E-72	        1.846602E-64	        9.308712E-72	       -8.458467E-77	       -9.789014E-77	       -5.569239E-88	        4.364181E-77	       -2.716429E-76	       -8.984941E-75	        8.976751E-75
        4.100000E-03	       -2.773148E-68	        6.305886E-64	       -4.617575E-66	        6.771585E-60	        3.037444E-56	       -1.964444E-67	       -1.931936E-62	        1.502918E-62	        4.506145E-60	       -1.540926E-64	        7.607133E-56	        1.975164E-58	       -4.069123E-68	        6.305959E-63	        4.601797E-74	       -2.987909E-56	        2.531578E-58	       -5.153276E-71	        1.961992E-58	       -1.401707E-57	        2.614124E-59	       -1.077516E-65	        1.236559E-59	       -1.447447E-60	       -6.248533E-74	        5.927594E-58	        1.254147E-55	       -5.576188E-76	        7.445637E-10	        2.666505E-58	        7.104466E-61	        1.119103E-56	       -1.105893E-56	       -3.359723E-59	        1.801566E-67	      -4.004267E-108	       -1.017527E-66	        1.911194E-55	       -7.339349E-59	        1.966027E-51	        3.906125E-55	       -4.669237E-55	       -4.587416E-74	        4.548631E-68	        3.516473E-58	        7.870123E-58	       -7.439391E-59	        9.336424E-55	       1.087639E-110	       -1.896712E-55	       -1.193011E-68	        1.078009E-55	       -4.729634E-67	       -4.481105E-10	       -1.973113E-51	       -1.586472E-67	        0.000000E+00	        1.164519E-55	        3.003604E-57	       -1.147421E-55	       -3.917640E-76	       -1.169554E-66	       -1.516573E-10	       -1.185594E-57	       -1.790835E-59	        1.979848E-51	       -5.361264E-65	        6.846102E-60	       -5.544765E-58	       -6.265904E-63	        1.513187E-60	        1.107041E-70	        1.176717E-57	        3.484205E-59	        5.596479E-63	        4.135697E-63	        1.957505E-66	        6.661786E-15	        2.675764E-62	        1.516506E-10	       -2.765112E-59	        6.661567E-15	        1.759866E-18	       -2.914541E-58	        2.914537E-58	        2.403382E-64	       -5.148660E-70	        1.746306E-64	       -1.522751E-72	       -4.394154E-69	        1.496455E-71	       -2.286078E-60	        2.268944E-60	        2.535984E-64	        5.373211E-69	        8.053319E-68	       -4.559098E-71	       -3.266342E-69	        1.688100E-62	       -1.125666E-68	       -1.302666E-72	       -2.900791E-74	       -3.683706E-85	       -4.940092E-74	       -2.681485E-73	       -2.095773E-72	        2.093656E-72
        4.514750E-03	       -5.010009E-71	        3.995067E-66	       -6.213617E-68	        4.323695E-62	        6.349839E-58	       -3.727243E-69	       -3.122437E-64	        1.182759E-64	        8.179753E-62	       -4.099218E-67	        5.999938E-58	        1.144337E-60	       -5.904963E-70	        1.019766E-64	        3.459485E-76	       -6.315177E-58	        1.602261E-60	       -4.023737E-73	        1.311530E-60	       -2.179084E-59	        3.231070E-61	       -1.471470E-67	        7.895519E-62	       -1.210876E-62	       -1.838097E-76	        8.828203E-60	        1.627839E-57	       -4.385149E-78	        7.449866E-10	        3.380060E-60	        4.536243E-63	        7.079336E-59	       -6.372013E-59	       -2.026555E-61	        1.168981E-69	      -2.238224E-111	       -8.543947E-69	        2.302799E-57	       -4.127272E-61	        2.011699E-52	        3.086000E-57	       -3.688892E-57	       -3.474364E-76	       -1.869481E-70	        2.299429E-60	        3.171320E-59	       -8.739313E-61	        3.818250E-56	       5.443226E-115	       -2.303178E-57	       -1.802495E-70	        1.242679E-57	       -1.894672E-69	       -4.481105E-10	       -2.019884E-52	       -2.792519E-69	        0.000000E+00	        1.588084E-57	        4.805811E-59	       -1.567898E-57	       -8.001824E-78	       -2.139538E-69	       -1.512344E-10	       -1.765696E-59	       -8.316716E-61	        2.027741E-52	       -1.480254E-67	        3.229766E-62	       -3.540365E-60	       -1.690860E-65	        3.180701E-62	        6.449292E-73	        4.351699E-59	        9.599465E-61	        1.651720E-64	        2.936402E-65	        6.788658E-68	        7.583773E-15	        1.300401E-64	        1.512268E-10	       -2.211433E-61	        7.583717E-15	        2.044972E-18	       -1.615767E-60	        1.615764E-60	        1.346783E-66	       -5.579764E-72	        1.088894E-66	       -1.420540E-74	       -3.477642E-71	        1.121251E-73	       -1.497405E-62	        1.449157E-62	        1.890868E-66	        5.548323E-71	        2.298638E-69	       -3.023583E-73	        4.762603E-72	        4.805845E-64	       -2.299084E-69	       -8.272407E-75	       -1.589571E-75	       -1.657841E-87	       -7.249595E-76	       -2.151449E-75	       -1.438744E-74	        1.437230E-74
        5.005170E-03	       -1.929943E-71	        1.797315E-66	       -2.845138E-68	        1.960190E-62	        2.624243E-58	       -1.688858E-69	       -1.387344E-64	        5.363390E-65	        3.813362E-62	       -1.844453E-67	        2.554158E-58	        5.184323E-61	       -2.701587E-70	        4.531289E-65	        1.581742E-76	       -2.608629E-58	        7.208495E-61	       -1.828634E-73	        5.926692E-61	       -9.756610E-60	        1.463497E-61	       -6.612137E-68	        3.579524E-62	       -5.469884E-63	       -8.376879E-77	        3.632466E-60	        6.269037E-58	       -1.993791E-78	        7.454590E-10	        1.310322E-60	        2.056551E-63	        3.169450E-59	       -2.885339E-59	       -9.090864E-62	        5.323745E-70	      -3.591950E-112	       -3.906878E-69	        8.940073E-58	       -1.846782E-61	        6.756819E-53	        1.314089E-57	       -1.570816E-57	       -1.588314E-76	       -8.497505E-71	        1.041940E-60	        1.413493E-59	       -3.829267E-61	        1.344113E-56	       1.042793E-115	       -8.927976E-58	       -8.043010E-71	        5.225370E-58	       -8.593233E-70	       -4.481105E-10	       -6.787959E-53	       -1.255570E-69	        0.000000E+00	        6.073170E-58	        1.791144E-59	       -5.994827E-58	       -3.638763E-78	       -9.657630E-70	       -1.507620E-10	       -7.265181E-60	       -3.424603E-61	        6.817975E-53	       -6.662543E-68	        1.372588E-62	       -1.605060E-60	       -7.607725E-66	        1.356307E-62	        3.287105E-73	        1.562004E-59	        3.468584E-61	        6.280948E-65	        1.296879E-65	        8.398374E-69	        8.625473E-15	        5.853363E-65	        1.507533E-10	       -9.872924E-62	        8.627371E-15	        6.667529E-19	       -7.325173E-61	        7.325160E-61	        6.106078E-67	       -2.494202E-72	        5.637761E-67	       -6.498100E-75	       -1.576548E-71	        2.195916E-74	       -6.699875E-63	        6.480134E-63	        9.621754E-67	        2.502440E-71	        1.046420E-69	       -1.375318E-73	        2.401369E-72	        2.187776E-64	       -1.029597E-69	       -3.750728E-75	       -7.829509E-76	       -7.812403E-88	       -3.262296E-76	       -1.103898E-75	       -6.532203E-75	        6.525064E-75
