            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        5.000000E-04	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.924473E-28	       -0.000000E+00	       -0.000000E+00	       -1.668300E-16	       -5.260508E-15	       -1.273501E-17	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.854039E-15	       -0.000000E+00	       -0.000000E+00	       -2.076615E-19	       -8.227581E-19	       -4.948461E-17	       -0.000000E+00	       -0.000000E+00	       -7.136571E-20	       -0.000000E+00	       -0.000000E+00	       -3.541236E-18	       -0.000000E+00	       -4.232502E-13	       -1.904689E-21	       -0.000000E+00	       -3.976608E-14	       -5.976032E-14	       -1.285065E-17	       -0.000000E+00	       -5.122345E-35	       -0.000000E+00	       -4.164808E-16	       -4.300450E-19	       -2.252978E-14	       -7.340050E-14	       -1.361925E-13	       -0.000000E+00	       -0.000000E+00	       -3.111272E-19	       -4.831706E-18	       -2.831017E-22	       -1.030158E-15	       -0.000000E+00	       -2.218403E-17	       -0.000000E+00	       -1.304719E-17	       -4.423565E-22	       -4.479912E-10	       -5.556299E-15	       -6.662635E-21	       -0.000000E+00	       -5.405448E-21	       -2.556018E-24	       -5.555888E-16	       -0.000000E+00	       -1.403524E-20	       -1.551715E-10	       -7.990511E-23	       -4.886768E-18	       -6.734579E-17	       -1.073547E-16	       -1.294758E-23	       -1.951221E-17	       -1.133665E-14	       -5.757344E-21	       -0.000000E+00	       -0.000000E+00	       -1.714484E-19	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -7.763692E-21	       -2.240077E-12	       -4.605860E-17	       -3.569130E-19	       -2.636293E-25	       -1.294734E-15	       -1.620254E-16	       -0.000000E+00	       -0.000000E+00	       -6.049564E-22	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -6.874276E-18	       -7.783047E-16	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00
        1.000000E-03	       -0.000000E+00	       -0.000000E+00	       -2.612643E-20	       -0.000000E+00	       -2.156935E-21	       -0.000000E+00	       -8.895349E-22	       -0.000000E+00	       -2.400129E-21	       -5.905824E-13	       -6.684363E-13	       -3.441855E-15	       -4.994181E-20	       -1.074803E-18	       -0.000000E+00	       -2.565716E-13	       -2.527076E-15	       -0.000000E+00	       -1.650835E-13	       -7.922512E-14	       -3.830622E-14	       -0.000000E+00	       -3.111728E-18	       -3.075928E-14	       -0.000000E+00	       -4.135477E-20	       -5.102376E-16	       -0.000000E+00	       -8.398050E-13	       -7.496357E-14	       -3.621005E-18	       -6.254526E-12	       -6.976037E-12	       -2.249905E-13	       -1.251252E-24	       -8.753277E-26	       -0.000000E+00	       -3.589297E-12	       -4.488322E-14	       -3.287613E-12	       -8.661813E-12	       -1.061381E-11	       -0.000000E+00	       -3.865423E-17	       -2.676802E-13	       -5.550392E-13	       -2.001737E-16	       -4.717130E-12	       -2.170455E-32	       -9.448120E-14	       -0.000000E+00	       -2.046068E-15	       -4.332382E-16	       -4.648802E-10	       -9.240809E-13	       -1.328406E-15	       -0.000000E+00	       -1.025680E-16	       -4.636507E-21	       -2.443366E-13	       -0.000000E+00	       -9.577854E-16	       -1.550241E-10	       -1.285342E-16	       -2.525883E-15	       -9.453368E-15	       -3.466626E-13	       -6.043090E-18	       -8.287773E-13	       -3.935415E-11	       -3.727598E-16	       -0.000000E+00	       -0.000000E+00	       -2.490346E-15	       -0.000000E+00	       -6.005336E-18	       -0.000000E+00	       -0.000000E+00	       -5.833600E-16	       -4.415767E-12	       -1.482352E-14	       -1.164282E-16	       -1.594733E-20	       -4.720919E-13	       -4.130840E-13	       -0.000000E+00	       -0.000000E+00	       -4.132284E-17	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -2.338094E-15	       -7.961518E-12	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -2.843343E-22	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00
        1.500000E-03	       -0.000000E+00	       -0.000000E+00	       -1.145241E-15	       -1.396673E-13	       -1.407738E-12	       -1.105985E-16	       -1.071001E-16	       -1.335591E-17	       -2.044942E-14	       -9.629481E-11	       -9.067813E-12	       -8.740293E-14	       -4.918175E-16	       -2.586733E-16	       -0.000000E+00	       -7.409328E-12	       -1.596078E-11	       -0.000000E+00	       -9.423416E-11	       -2.901319E-11	       -6.188240E-13	       -2.706310E-19	       -6.395586E-13	       -1.227525E-11	       -0.000000E+00	       -1.432530E-14	       -1.447665E-14	       -0.000000E+00	       -1.832332E-12	       -5.645217E-11	       -5.976946E-14	       -1.444343E-10	       -1.588754E-10	       -6.445457E-11	       -2.124944E-20	       -8.394440E-20	       -7.207525E-20	       -3.841999E-10	       -1.442782E-11	       -1.460086E-10	       -1.062095E-10	       -1.229165E-10	       -0.000000E+00	       -7.239812E-14	       -1.440548E-10	       -1.860160E-10	       -8.406097E-13	       -5.369258E-10	       -3.493407E-26	       -3.266749E-11	       -3.670124E-25	       -8.574603E-14	       -5.050039E-13	       -1.779444E-09	       -5.496496E-11	       -1.273140E-12	       -0.000000E+00	       -1.635688E-14	       -4.259436E-19	       -1.905783E-11	       -0.000000E+00	       -5.815605E-13	       -1.551819E-10	       -2.376071E-13	       -1.175511E-13	       -5.182642E-13	       -5.439707E-11	       -5.134074E-15	       -2.402049E-10	       -6.481107E-09	       -4.085177E-14	       -0.000000E+00	       -0.000000E+00	       -1.187336E-13	       -9.009744E-20	       -2.878855E-14	       -5.924861E-19	       -0.000000E+00	       -6.442778E-14	       -6.512394E-12	       -3.879787E-13	       -3.039065E-15	       -1.606787E-17	       -1.243560E-11	       -1.206463E-11	       -0.000000E+00	       -6.027243E-23	       -1.006397E-14	       -0.000000E+00	       -2.266173E-22	       -0.000000E+00	       -6.124670E-14	       -3.475004E-09	       -0.000000E+00	       -6.949040E-17	       -0.000000E+00	       -2.247779E-18	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -2.208490E-25	       -1.266577E-23	       -0.000000E+00
        2.000000E-03	       -0.000000E+00	       -0.000000E+00	       -1.895415E-12	       -7.961512E-11	       -2.193147E-10	       -3.262842E-14	       -7.738643E-14	       -2.674497E-12	       -1.664841E-11	       -6.031032E-09	       -5.064491E-11	       -2.332724E-12	       -3.711469E-13	       -1.082646E-12	       -0.000000E+00	       -2.377723E-10	       -1.055967E-09	       -0.000000E+00	       -4.357816E-09	       -1.683020E-09	       -3.692290E-12	       -2.417462E-15	       -1.854939E-10	       -6.010082E-10	       -1.494445E-21	       -2.760459E-11	       -7.785002E-13	       -0.000000E+00	       -7.677838E-11	       -2.672689E-09	       -1.134818E-11	       -3.349319E-09	       -3.615129E-09	       -3.143149E-09	       -2.538415E-17	       -1.555909E-15	       -1.975508E-14	       -1.495257E-08	       -7.280616E-10	       -5.805438E-09	       -5.790324E-10	       -6.257444E-10	       -0.000000E+00	       -4.295227E-12	       -6.572040E-09	       -9.758052E-09	       -2.804644E-10	       -2.111017E-08	       -4.152508E-21	       -1.809591E-09	       -5.242331E-20	       -3.232236E-12	       -3.365946E-11	       -5.161060E-08	       -1.120549E-09	       -8.271529E-11	       -0.000000E+00	       -1.538869E-12	       -2.097536E-17	       -7.599833E-10	       -0.000000E+00	       -3.074544E-11	       -2.096817E-10	       -5.498681E-11	       -5.977269E-12	       -3.080378E-11	       -3.151644E-09	       -5.251609E-13	       -1.111540E-08	       -3.837984E-07	       -5.203893E-13	       -0.000000E+00	       -4.825106E-13	       -1.439683E-12	       -6.360329E-16	       -8.505374E-13	       -2.113336E-16	       -4.721556E-22	       -8.637991E-13	       -8.620664E-12	       -3.490922E-12	       -2.856248E-14	       -5.354417E-16	       -1.108733E-10	       -1.084253E-10	       -2.013741E-15	       -4.147153E-19	       -1.573121E-13	       -0.000000E+00	       -5.820020E-18	       -0.000000E+00	       -5.522647E-13	       -6.206580E-08	       -0.000000E+00	       -1.334150E-13	       -1.691508E-15	       -9.189306E-16	       -5.160897E-15	       -7.425021E-10	       -0.000000E+00	       -1.193320E-23	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -2.869975E-20	       -5.620619E-20	       -0.000000E+00
        2.600000E-03	       -1.181229E-11	       -2.257550E-14	       -8.770718E-10	       -2.581743E-09	       -1.237017E-08	       -9.194048E-12	       -2.332009E-11	       -2.153542E-09	       -5.535576E-09	       -3.263330E-07	       -3.906746E-10	       -6.539549E-11	       -1.421838E-10	       -1.684937E-09	       -1.104104E-23	       -7.202371E-09	       -3.027172E-08	       -2.710720E-16	       -1.214784E-07	       -5.272648E-08	       -2.691690E-11	       -1.047461E-12	       -1.094929E-08	       -2.019623E-08	       -5.365916E-17	       -9.757700E-09	       -2.674995E-10	       -0.000000E+00	       -1.999044E-08	       -8.348721E-08	       -3.588636E-10	       -8.427655E-08	       -8.473516E-08	       -9.515986E-08	       -2.927854E-14	       -9.099489E-12	       -1.582221E-10	       -4.227599E-07	       -2.198236E-08	       -1.726759E-07	       -4.630869E-09	       -2.488839E-09	       -1.004261E-19	       -2.715629E-10	       -1.754794E-07	       -2.733500E-07	       -4.292831E-08	       -6.230065E-07	       -3.219896E-17	       -5.503555E-08	       -1.912653E-15	       -1.945164E-10	       -1.894253E-09	       -1.461572E-06	       -2.610994E-08	       -5.142616E-09	       -0.000000E+00	       -5.704181E-10	       -7.618439E-15	       -2.207659E-08	       -0.000000E+00	       -2.399982E-09	       -3.584662E-09	       -7.188426E-09	       -7.044386E-10	       -9.327443E-09	       -1.405822E-07	       -7.051780E-11	       -2.870870E-07	       -1.729107E-05	       -3.450289E-10	       -2.634105E-20	       -3.487559E-10	       -3.844092E-11	       -2.152109E-12	       -3.057763E-11	       -1.015466E-13	       -7.018875E-13	       -2.333675E-11	       -1.303968E-11	       -3.161896E-11	       -4.667130E-13	       -3.896576E-14	       -7.118189E-10	       -6.911367E-10	       -4.337941E-12	       -2.766295E-16	       -5.099724E-12	       -1.673338E-17	       -4.264788E-14	       -1.174163E-16	       -5.236924E-12	       -2.333837E-06	       -0.000000E+00	       -6.243968E-11	       -1.382107E-12	       -2.925500E-13	       -1.822128E-11	       -1.126127E-06	       -3.666422E-15	       -2.115184E-18	       -0.000000E+00	       -0.000000E+00	       -1.314342E-19	       -2.269928E-16	       -7.378421E-17	       -8.172895E-19
        3.100000E-03	       -4.514918E-09	       -7.480280E-11	       -6.515403E-08	       -1.787561E-08	       -4.501917E-07	       -1.832656E-10	       -1.483478E-09	       -1.128932E-07	       -4.298074E-07	       -5.529639E-06	       -1.707365E-08	       -8.024885E-10	       -7.879062E-09	       -1.816254E-07	       -1.335956E-18	       -1.059114E-07	       -2.792164E-07	       -1.333107E-12	       -1.439878E-06	       -3.568644E-07	       -1.009397E-09	       -5.127451E-11	       -3.377805E-07	       -3.038321E-07	       -5.653267E-15	       -7.147982E-07	       -2.032997E-08	       -0.000000E+00	       -7.447690E-07	       -1.219958E-06	       -9.584836E-09	       -1.240518E-06	       -6.838140E-07	       -7.791272E-07	       -8.694713E-12	       -1.926202E-09	       -2.787937E-08	       -5.777774E-06	       -1.872070E-07	       -1.767883E-06	       -9.217828E-08	       -6.199541E-09	       -3.522852E-16	       -9.039223E-09	       -1.712135E-06	       -2.090313E-06	       -8.695610E-07	       -9.863588E-06	       -1.282796E-14	       -5.606546E-07	       -2.339500E-12	       -1.337843E-08	       -3.806986E-08	       -2.008377E-05	       -4.010478E-07	       -1.135574E-07	       -0.000000E+00	       -7.979008E-08	       -1.449623E-12	       -2.470580E-07	       -5.866750E-18	       -5.353103E-08	       -1.219204E-07	       -1.613536E-07	       -4.989692E-08	       -7.906313E-07	       -1.953054E-06	       -4.199346E-09	       -1.798765E-06	       -2.419347E-04	       -2.543477E-08	       -8.338811E-17	       -5.185031E-09	       -5.715706E-10	       -2.031934E-10	       -9.708043E-10	       -4.953835E-12	       -1.286905E-11	       -4.674903E-10	       -3.076199E-11	       -3.548084E-10	       -9.756656E-12	       -1.487815E-12	       -2.303214E-09	       -2.195005E-09	       -1.356873E-10	       -5.556885E-14	       -8.626607E-11	       -7.194101E-15	       -3.033724E-12	       -2.078599E-14	       -5.904875E-11	       -5.142965E-05	       -0.000000E+00	       -4.962013E-09	       -9.998116E-11	       -8.243260E-12	       -2.506204E-09	       -3.824370E-05	       -1.391358E-11	       -2.161518E-15	       -4.091785E-16	       -2.443549E-25	       -1.025984E-15	       -5.070689E-14	       -5.756460E-15	       -1.950367E-15
        3.600000E-03	       -1.467036E-07	       -1.056110E-08	       -1.253587E-06	       -1.088783E-07	       -1.302859E-05	       -4.508006E-08	       -7.451309E-08	       -3.486648E-06	       -1.497503E-05	       -7.039385E-05	       -5.514251E-07	       -1.638753E-08	       -1.439462E-07	       -1.022765E-05	       -2.553668E-15	       -2.076331E-06	       -2.242346E-06	       -2.756373E-10	       -1.819871E-05	       -7.785539E-07	       -3.675266E-08	       -1.964560E-09	       -3.273791E-06	       -2.777031E-06	       -1.953057E-13	       -7.240192E-06	       -1.040035E-06	       -1.991936E-15	       -1.954939E-05	       -1.462684E-05	       -1.943412E-07	       -1.037212E-05	       -4.152058E-06	       -2.429444E-06	       -1.119484E-09	       -1.167879E-07	       -1.603544E-06	       -9.330163E-05	       -9.646846E-07	       -1.444139E-05	       -1.631281E-06	       -2.354958E-08	       -5.326274E-14	       -9.626035E-08	       -8.462637E-06	       -1.134479E-05	       -6.619016E-06	       -2.316545E-04	       -1.851174E-12	       -6.736784E-06	       -6.755439E-10	       -1.025782E-06	       -3.687185E-07	       -3.739106E-04	       -4.659984E-06	       -1.197726E-06	       -0.000000E+00	       -3.949204E-06	       -3.485602E-10	       -2.704032E-06	       -2.937658E-15	       -6.798655E-07	       -3.494878E-06	       -1.366336E-06	       -1.873857E-06	       -2.758960E-05	       -2.271429E-05	       -9.715802E-08	       -3.490599E-06	       -2.830266E-03	       -4.591657E-07	       -3.197141E-15	       -7.153483E-08	       -4.887477E-09	       -5.717823E-09	       -1.718710E-08	       -1.861408E-10	       -1.919410E-10	       -3.172862E-09	       -1.504518E-10	       -3.900495E-09	       -1.859740E-10	       -7.042403E-11	       -6.348476E-09	       -5.724989E-09	       -1.351887E-09	       -6.979685E-12	       -9.049923E-10	       -3.767197E-13	       -5.772447E-11	       -1.933016E-12	       -5.666570E-10	       -4.778409E-04	       -0.000000E+00	       -6.752762E-08	       -1.953660E-09	       -8.592076E-11	       -4.421641E-08	       -3.646164E-04	       -8.234693E-10	       -2.518212E-13	       -3.728556E-14	       -3.590567E-20	       -9.082135E-14	       -4.264558E-12	       -2.973685E-13	       -2.130257E-13
        4.100000E-03	       -5.230978E-07	       -1.679912E-07	       -4.862490E-06	       -1.913116E-07	       -5.803233E-05	       -2.171784E-07	       -7.613146E-07	       -1.556963E-05	       -7.460353E-05	       -6.425445E-04	       -5.414260E-06	       -1.557476E-07	       -7.071019E-07	       -6.041791E-05	       -6.904849E-13	       -1.617283E-05	       -4.264921E-06	       -3.061614E-09	       -5.454807E-05	       -1.609474E-06	       -2.453110E-07	       -3.938597E-08	       -3.298167E-06	       -5.658126E-06	       -2.168453E-12	       -9.892411E-06	       -9.037558E-06	       -1.368632E-13	       -2.548681E-04	       -2.860175E-05	       -5.215156E-07	       -2.065977E-05	       -2.173287E-05	       -2.685912E-06	       -9.405745E-09	       -1.742529E-06	       -1.990365E-05	       -4.032677E-04	       -4.182281E-06	       -6.484741E-05	       -6.081182E-06	       -1.881664E-07	       -2.349585E-12	       -4.598196E-07	       -7.073105E-06	       -2.750819E-05	       -1.764774E-05	       -2.495902E-03	       -6.779502E-11	       -3.733904E-05	       -1.556678E-08	       -2.730417E-05	       -1.615590E-06	       -3.058049E-03	       -4.018453E-05	       -1.104842E-05	       -0.000000E+00	       -4.179622E-05	       -2.503574E-08	       -9.695491E-06	       -4.590160E-14	       -7.826980E-06	       -1.597098E-05	       -5.341169E-06	       -1.456203E-05	       -3.473180E-04	       -2.050946E-04	       -5.730062E-07	       -2.463427E-06	       -2.559520E-02	       -8.947921E-07	       -6.348749E-15	       -6.702460E-07	       -1.600235E-08	       -2.255379E-08	       -4.812186E-08	       -2.882166E-09	       -1.935218E-09	       -3.401345E-09	       -1.053394E-09	       -1.547858E-08	       -1.362022E-09	       -1.221241E-09	       -1.476302E-08	       -1.132119E-08	       -3.976689E-09	       -2.406749E-10	       -5.581619E-09	       -5.226153E-12	       -2.294523E-10	       -1.995467E-11	       -1.959068E-09	       -8.022754E-04	       -0.000000E+00	       -1.260666E-07	       -3.163867E-09	       -1.746056E-10	       -8.245203E-08	       -6.513938E-04	       -8.446976E-07	       -4.970524E-12	       -2.457377E-11	       -9.680440E-18	       -8.905533E-13	       -9.215080E-11	       -2.133145E-12	       -1.769703E-12
        4.514750E-03	       -2.245601E-06	       -1.667978E-06	       -1.217808E-05	       -1.056896E-06	       -1.703212E-04	       -2.888015E-06	       -3.247867E-06	       -5.881526E-05	       -2.046166E-04	       -1.385020E-03	       -3.243615E-05	       -8.119280E-07	       -1.526778E-06	       -1.408275E-04	       -1.689229E-11	       -4.297601E-05	       -1.042311E-05	       -1.584958E-08	       -1.531809E-04	       -6.038078E-06	       -7.855267E-07	       -4.152915E-07	       -8.462299E-06	       -1.449748E-05	       -8.341524E-12	       -2.703678E-05	       -3.051801E-05	       -6.387863E-13	       -1.358977E-03	       -1.003197E-04	       -2.471310E-06	       -5.551805E-05	       -7.027848E-05	       -5.468381E-06	       -4.258347E-08	       -6.426668E-06	       -7.022088E-05	       -1.149055E-03	       -1.331149E-05	       -1.684780E-04	       -2.078701E-05	       -1.060673E-06	       -3.203059E-11	       -2.146372E-06	       -1.556926E-05	       -6.101860E-05	       -2.983166E-05	       -1.077922E-02	       -6.894627E-10	       -9.204261E-05	       -1.220707E-07	       -1.693341E-04	       -6.799261E-06	       -1.231055E-02	       -1.969665E-04	       -3.915346E-05	       -0.000000E+00	       -1.439349E-04	       -3.639287E-07	       -2.342850E-05	       -2.653389E-13	       -2.300364E-05	       -5.482027E-05	       -1.476143E-05	       -3.882753E-05	       -1.751437E-03	       -3.870527E-04	       -2.274500E-06	       -5.256488E-06	       -4.814559E-02	       -3.088694E-06	       -7.838841E-15	       -2.918867E-06	       -2.767105E-08	       -4.399795E-08	       -6.248127E-08	       -9.621412E-09	       -8.091444E-09	       -3.909495E-09	       -5.477794E-09	       -2.796633E-08	       -4.161095E-09	       -4.160807E-09	       -2.507601E-08	       -1.516561E-08	       -1.209538E-08	       -1.524723E-09	       -1.544173E-08	       -6.472583E-11	       -3.876607E-10	       -8.988681E-11	       -3.707175E-09	       -1.344722E-03	       -0.000000E+00	       -2.236698E-07	       -5.356191E-09	       -4.118095E-10	       -1.779234E-07	       -1.290859E-03	       -1.879704E-06	       -3.118729E-11	       -5.470347E-11	       -1.594245E-16	       -1.179347E-11	       -3.706122E-10	       -4.477844E-12	       -5.359728E-12
        5.005170E-03	       -1.180104E-05	       -4.332917E-05	       -2.792012E-05	       -1.170093E-05	       -9.717005E-04	       -7.504215E-07	       -2.672824E-05	       -5.500782E-04	       -7.699204E-04	       -5.268962E-03	       -1.871017E-04	       -5.382227E-06	       -2.307658E-06	       -5.194781E-04	       -2.614511E-10	       -9.697267E-05	       -3.717020E-05	       -5.569008E-08	       -5.210777E-04	       -5.016383E-05	       -3.750692E-06	       -4.365719E-06	       -4.773119E-05	       -5.547816E-05	       -2.636299E-11	       -9.319196E-05	       -1.708735E-04	       -2.357592E-12	       -7.508361E-03	       -6.513901E-04	       -1.717661E-05	       -1.948220E-04	       -2.408011E-04	       -1.959869E-05	       -2.688245E-07	       -1.625153E-05	       -2.532526E-04	       -5.056320E-03	       -5.203517E-05	       -5.419249E-04	       -6.047703E-05	       -4.579965E-06	       -3.251014E-10	       -6.297726E-06	       -6.708185E-05	       -2.927164E-04	       -5.871864E-05	       -5.022136E-02	       -5.182338E-09	       -3.155160E-04	       -7.195812E-07	       -8.686546E-04	       -1.650325E-05	       -5.682082E-02	       -1.063723E-03	       -1.602512E-04	       -0.000000E+00	       -6.325397E-04	       -5.495403E-06	       -1.339292E-04	       -1.961484E-12	       -8.833745E-05	       -4.233869E-04	       -7.130888E-05	       -1.454759E-04	       -9.094682E-03	       -1.337080E-03	       -1.769197E-05	       -3.306314E-05	       -1.634856E-01	       -2.773833E-05	       -8.180313E-14	       -1.433835E-05	       -6.228357E-08	       -1.271067E-07	       -1.026205E-07	       -2.814673E-08	       -5.105578E-08	       -9.343240E-09	       -3.798770E-08	       -5.885927E-08	       -1.591255E-08	       -1.298454E-08	       -4.172579E-08	       -1.833416E-08	       -8.476625E-08	       -6.058452E-09	       -3.288104E-08	       -2.994480E-09	       -6.397085E-10	       -8.296997E-10	       -9.212857E-09	       -2.617472E-03	       -0.000000E+00	       -3.643795E-07	       -7.368520E-09	       -8.305756E-10	       -4.597771E-07	       -4.432816E-03	       -1.987194E-05	       -1.326317E-10	       -9.311729E-11	       -1.270801E-15	       -4.126404E-10	       -9.901232E-10	       -1.491420E-11	       -8.095593E-11
