            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        5.000000E-04	        1.119162E-23	        1.310190E-21	        2.675587E-22	        4.448879E-16	        6.089289E-15	        1.236924E-17	       -4.317664E-24	        3.355781E-25	        3.567751E-19	       -3.709600E-12	        6.504929E-13	        7.962109E-15	        9.206137E-26	        2.867155E-14	        6.069683E-36	        2.582536E-13	        5.364080E-16	        1.235547E-27	        4.011728E-14	       -2.328589E-15	        2.492038E-15	        1.208581E-24	        8.126992E-16	       -2.388445E-16	        5.418647E-33	        4.478636E-19	        4.562184E-13	        0.000000E+00	        7.426802E-10	        4.299192E-15	        4.669129E-17	        1.558666E-13	        1.076360E-12	        2.692271E-12	        1.203201E-33	       -4.406448E-30	        7.306887E-30	        1.449964E-13	        9.846375E-13	        1.413323E-12	        4.340086E-12	       -4.171707E-12	        0.000000E+00	        1.704330E-17	        2.122571E-14	        2.339913E-12	       -4.986886E-18	        1.897220E-12	        2.057350E-25	        2.646592E-10	        1.930116E-32	        2.660087E-10	        9.691236E-17	       -4.497140E-10	        2.543521E-12	        1.351494E-17	        0.000000E+00	        3.911279E-14	        1.606430E-16	       -3.758454E-14	        4.529824E-30	       -2.165060E-16	       -1.528247E-10	        8.813966E-17	       -3.872251E-16	        2.643588E-10	       -2.326105E-12	        7.578349E-17	       -3.644556E-14	       -2.636702E-10	        2.636701E-10	        2.895250E-25	        4.129862E-16	        3.709954E-15	        2.293856E-20	        4.371527E-17	        5.247622E-25	        3.562903E-15	        1.000310E-16	        1.528207E-10	       -3.853712E-15	        3.539156E-15	        2.992996E-17	       -7.060249E-14	        7.060233E-14	        1.002491E-19	        1.189234E-24	       -5.769701E-18	        1.000078E-32	        1.212287E-28	        1.418674E-27	       -6.092299E-16	       -8.959769E-12	        3.621978E-20	        1.122954E-18	        4.284056E-17	        6.773129E-30	        0.000000E+00	        8.960334E-12	        2.149770E-33	        0.000000E+00	        3.291327E-30	        0.000000E+00	        0.000000E+00	        1.299236E-24	        1.670008E-27	        0.000000E+00
        1.000000E-03	        9.035169E-20	        2.109514E-18	       -4.372062E-17	        4.889614E-13	        1.817475E-13	        8.915695E-15	       -1.447957E-18	        9.900737E-18	        7.701514E-17	       -2.859182E-09	        5.712674E-12	        2.794915E-13	       -1.501919E-16	        2.208747E-11	        9.488304E-30	        8.944197E-12	        2.633080E-13	        7.958730E-25	        3.203091E-11	       -2.903274E-12	        4.265964E-14	        2.292370E-21	        8.870973E-13	       -5.064919E-13	        1.059304E-26	        3.278788E-15	        1.757223E-11	        0.000000E+00	        7.664796E-10	        4.753328E-12	        4.784541E-14	        7.732390E-12	        3.726390E-11	        2.071451E-09	        1.457543E-16	       -3.304287E-23	        3.386652E-23	        2.783928E-11	        7.583525E-10	        2.908473E-11	        1.657334E-09	       -3.860254E-11	        0.000000E+00	        6.575622E-14	        1.884294E-11	        1.691613E-09	       -3.150028E-14	        1.728210E-11	        3.069842E-21	        1.984480E-07	        4.877067E-26	        1.977584E-07	        4.126316E-13	       -5.150465E-10	        2.071118E-09	        2.084372E-15	        0.000000E+00	        2.380048E-12	        3.730377E-14	        4.052792E-12	        5.756254E-27	       -1.024168E-12	       -1.509035E-10	        5.219843E-13	        1.012211E-13	        1.977193E-07	       -1.677002E-09	        3.699670E-16	       -4.006544E-11	       -1.976816E-07	        1.976815E-07	        3.450664E-23	        1.503703E-14	        8.849207E-14	        1.311762E-18	        2.384515E-15	        5.987571E-22	        7.077623E-15	        4.393813E-15	        1.508813E-10	       -9.715722E-14	        9.050076E-15	        7.538746E-16	       -1.145660E-12	        1.145656E-12	        2.526245E-18	        4.845660E-21	       -8.498927E-16	        6.354548E-30	        1.176619E-23	        1.973597E-23	       -1.536160E-14	       -8.006721E-10	        1.815414E-18	        1.003523E-16	        3.828939E-15	       -1.414844E-18	        0.000000E+00	        8.006835E-10	        1.566877E-30	        1.230612E-28	        1.308835E-25	        0.000000E+00	        0.000000E+00	        1.484095E-21	        6.780045E-23	        0.000000E+00
        1.500000E-03	        1.195071E-17	        1.959318E-16	       -7.725028E-14	        2.109103E-11	        2.154401E-12	        1.971551E-13	       -1.819032E-15	        3.905857E-13	        1.500701E-13	       -1.105140E-07	        2.007106E-11	        8.687668E-12	       -2.677685E-13	        8.535425E-10	        2.028629E-26	        3.232666E-10	        8.664775E-12	        1.486940E-22	        1.293009E-09	       -1.754519E-10	        2.357517E-13	       -3.048072E-17	        3.559876E-11	       -4.877378E-11	        4.079318E-23	        2.978912E-13	        5.788449E-10	        0.000000E+00	        1.784180E-09	        2.709310E-10	        1.892100E-12	        2.844471E-10	        6.812198E-10	        7.992549E-08	        3.014360E-14	       -1.156806E-18	       -5.819499E-17	        1.363103E-09	        2.928750E-08	        7.410159E-10	        6.136911E-08	       -1.449064E-10	        3.487688E-26	        7.199397E-12	        8.506789E-10	        6.313040E-08	       -1.349338E-11	        2.550798E-10	        8.087460E-19	        7.534347E-06	        3.670241E-21	        7.506721E-06	        4.623270E-11	       -2.966842E-09	        8.036415E-08	       -4.148075E-12	        0.000000E+00	        8.277482E-11	        9.650830E-12	        3.745547E-10	        1.117447E-24	       -1.226761E-10	       -1.498334E-10	        6.886726E-11	        1.307395E-11	        7.506058E-06	       -6.241161E-08	       -3.376636E-14	       -2.036049E-09	       -7.504483E-06	        7.504482E-06	        5.939214E-22	        5.993504E-13	        5.549512E-13	       -4.574055E-17	        1.209451E-14	       -4.720316E-16	        1.268606E-14	        4.364097E-14	        1.492215E-10	       -6.547626E-13	        6.310204E-14	        5.074067E-15	       -5.577893E-12	        5.578670E-12	        1.772965E-17	        1.224492E-18	       -1.103537E-14	        2.888277E-28	       -1.653474E-19	        8.888004E-21	       -1.035345E-13	       -9.194457E-09	        2.182757E-17	       -8.361644E-14	        4.397794E-14	       -7.075620E-16	        8.465072E-14	        9.194516E-09	        2.761848E-28	        2.820611E-24	        6.664636E-23	        0.000000E+00	        1.514520E-32	        4.911284E-19	        2.428699E-20	        6.603711E-21
        2.000000E-03	        1.175886E-15	        1.152404E-14	       -1.210117E-11	        2.664018E-10	       -3.418467E-11	       -1.579919E-12	       -2.387881E-13	       -5.540842E-12	        5.219909E-11	       -1.358813E-06	        4.570670E-11	        1.206149E-10	       -3.744928E-11	        1.047801E-08	        5.834100E-24	        5.598023E-09	        1.109245E-10	        9.589857E-21	        1.575644E-08	       -3.022948E-09	        8.564210E-13	       -6.813135E-15	        2.825427E-10	       -1.168340E-09	       -2.975055E-19	       -1.080860E-10	        8.468323E-09	        0.000000E+00	        2.016534E-08	        4.044699E-09	        2.226171E-11	        3.790528E-09	        2.517300E-09	        9.812260E-07	        6.197627E-13	       -2.410703E-15	       -7.941360E-13	        1.938429E-08	        3.598339E-07	        1.087105E-08	        6.992706E-07	       -3.640735E-10	        1.382401E-22	        1.825241E-10	        1.055331E-08	        7.186054E-07	       -1.067354E-09	        3.967200E-09	        4.813625E-17	        8.683672E-05	        5.488187E-18	        8.649556E-05	        1.203492E-09	       -4.356309E-08	        9.919143E-07	       -2.786185E-10	        0.000000E+00	        1.392313E-09	        6.909340E-10	        7.054428E-09	        6.674352E-23	       -3.343410E-09	       -1.594471E-10	        2.016319E-09	        6.575389E-10	        8.649386E-05	       -7.082326E-07	       -9.435390E-13	       -2.886458E-08	       -8.646627E-05	        8.646627E-05	        7.529573E-21	        7.547818E-12	        1.574360E-12	       -2.660132E-14	        1.967471E-14	       -2.404241E-14	        5.609054E-14	        4.320694E-13	        1.518440E-10	       -2.488065E-12	        6.768948E-13	        1.932203E-14	       -1.630094E-11	        1.662478E-11	       -7.395713E-14	        9.975013E-17	       -5.452053E-14	        1.475429E-24	       -2.307614E-16	        5.942768E-19	       -3.941110E-13	       -1.122048E-07	        3.616315E-16	       -1.660065E-11	        4.064082E-13	       -6.028819E-15	        1.659464E-11	        1.122044E-07	        1.414388E-13	       -4.743096E-23	        4.992642E-21	        5.017836E-24	        7.242158E-29	        4.325538E-17	        1.160767E-18	        9.059862E-19
        2.600000E-03	       -2.708520E-10	        1.613471E-12	       -1.696336E-09	        1.973981E-09	       -5.936524E-09	       -4.151369E-10	       -1.573810E-11	       -1.479294E-09	        1.575455E-08	       -1.211060E-05	       -1.104182E-10	        1.116814E-09	       -2.324356E-09	        9.095381E-08	        1.178162E-18	        9.808538E-08	       -7.789057E-10	       -5.771706E-15	        1.026236E-07	       -3.220761E-08	        2.135730E-11	       -6.806663E-13	       -1.478033E-08	       -2.147331E-08	       -1.030621E-15	       -4.405689E-08	        1.117483E-07	        3.532032E-28	        3.755293E-07	        2.207183E-08	       -4.535895E-10	        3.978738E-08	        2.435171E-09	        8.734949E-06	        3.236356E-11	       -1.932972E-12	       -4.497581E-10	        1.431196E-07	        3.205432E-06	        1.663591E-07	        5.179107E-06	       -8.119390E-10	       -1.023351E-18	        2.373661E-09	        4.246075E-08	        5.353563E-06	       -4.359095E-08	        2.067578E-08	        3.125651E-15	        6.433966E-04	        5.896512E-15	        6.405021E-04	        2.091155E-08	       -7.207785E-07	        8.901416E-06	       -1.124594E-08	        0.000000E+00	        1.911577E-08	        3.457510E-08	        1.244386E-07	        7.443691E-21	       -5.998482E-08	       -2.686913E-10	        4.042207E-08	        2.383142E-08	        6.405208E-04	       -5.240747E-06	       -2.108573E-11	       -2.473934E-07	       -6.400540E-04	        6.400537E-04	       -1.625903E-19	        6.304428E-11	       -8.780890E-12	       -4.675370E-12	       -6.236313E-12	       -7.394340E-13	        3.406825E-13	        6.045167E-12	        2.051035E-10	       -8.557144E-12	        2.694144E-11	        6.881289E-14	       -1.924351E-11	        4.424391E-11	       -4.476427E-12	        8.554353E-15	        1.332923E-12	        1.369449E-16	       -5.701071E-14	       -2.546328E-15	       -1.390077E-12	       -2.179943E-06	        1.114853E-14	       -5.517172E-10	       -5.416236E-12	        1.473830E-13	        5.511445E-10	        2.179918E-06	        7.018401E-12	       -9.486554E-18	        3.234333E-19	        9.982633E-22	        1.301181E-17	        2.492660E-15	        3.719371E-17	        3.720164E-17
        3.100000E-03	       -1.659371E-08	       -1.040178E-11	       -6.988466E-08	       -9.235304E-10	       -1.890635E-07	       -1.101985E-09	       -2.298840E-10	       -3.892492E-08	        1.939796E-07	       -5.156495E-05	       -8.747003E-09	        4.346396E-09	       -2.897716E-08	        2.780291E-07	        1.919685E-16	        1.112608E-06	       -6.339179E-08	       -5.924085E-12	       -1.609301E-07	       -1.068559E-07	        7.785154E-10	       -1.392588E-11	       -2.543031E-07	       -1.254686E-07	       -1.915399E-14	       -9.032321E-07	        9.513559E-07	        5.575571E-23	        5.361070E-06	       -3.124239E-07	       -2.520621E-08	        1.260658E-07	        1.127765E-08	        3.723709E-05	        1.096886E-09	       -1.220467E-10	       -2.224685E-08	       -5.179243E-07	        1.368306E-05	        2.102620E-06	        1.811305E-05	       -1.426119E-09	       -1.785288E-16	        3.424447E-09	       -3.004871E-07	        1.894466E-05	       -3.782392E-07	       -1.659399E-06	        5.811175E-14	        2.262983E-03	        3.206778E-16	        2.253164E-03	        1.149818E-07	       -9.232888E-06	        3.812242E-05	       -1.060507E-07	        0.000000E+00	        1.133456E-07	        5.494481E-07	        1.000870E-06	       -5.701964E-18	       -3.397628E-07	       -9.817750E-10	        2.662228E-07	        1.995248E-07	        2.254277E-03	       -1.831103E-05	       -2.915975E-10	       -7.251185E-07	       -2.248357E-03	        2.248341E-03	       -4.220371E-17	        4.492066E-10	       -8.314253E-11	       -1.230568E-10	       -2.637476E-10	       -6.157863E-12	        7.607957E-13	       -3.880704E-11	        5.291330E-10	       -2.491375E-11	        5.777014E-10	        2.096413E-13	        1.445254E-10	        8.704862E-11	       -4.963810E-12	        1.670896E-13	        1.675972E-11	        4.379361E-14	       -1.347557E-12	       -7.127859E-14	       -4.397714E-12	       -1.629108E-05	        1.320164E-13	       -5.594538E-09	       -6.364618E-11	        3.369718E-12	        5.586431E-09	        1.629085E-05	        2.769168E-11	       -1.517793E-15	       -1.784963E-15	        2.223640E-20	        3.521339E-15	        3.306118E-14	        2.661496E-16	        4.321502E-16
        3.600000E-03	       -9.033372E-08	       -3.234029E-09	       -5.478216E-07	       -3.303222E-08	       -2.428400E-06	       -9.020768E-08	       -2.468439E-09	       -5.167894E-07	       -2.484154E-06	       -1.651569E-04	       -1.147357E-07	        1.467899E-08	       -1.129311E-07	       -1.236819E-06	        9.948250E-15	        4.696824E-06	       -4.816190E-07	       -2.902104E-10	       -2.831944E-06	       -1.464433E-07	        7.605190E-09	       -1.902424E-10	       -8.029439E-07	       -1.702725E-07	       -1.686114E-13	       -2.277386E-06	        3.232210E-06	       -2.326541E-15	        5.801013E-05	       -3.040876E-06	       -1.270516E-07	       -6.648252E-08	        2.052977E-07	        1.197446E-04	        5.353843E-09	       -3.030164E-09	       -4.447650E-07	       -1.407770E-05	        4.426497E-05	        2.054569E-05	        5.318598E-05	       -3.585865E-09	       -8.836604E-15	        2.545014E-08	       -8.531627E-07	        5.631358E-05	       -1.482550E-06	       -3.814014E-05	        3.586969E-13	        6.661211E-03	       -2.477899E-11	        6.643775E-03	        4.653564E-07	       -8.979309E-05	        1.229175E-04	       -5.985393E-07	        0.000000E+00	        2.684466E-07	        5.376315E-06	        2.159337E-06	        9.343352E-16	       -1.318338E-06	       -4.545685E-09	        1.232684E-06	        7.330529E-07	        6.672034E-03	       -5.378752E-05	       -3.051190E-09	       -8.305816E-07	       -6.611268E-03	        6.611247E-03	       -2.804776E-16	        2.015934E-09	       -2.483539E-10	       -1.236966E-09	       -2.367852E-09	       -6.201770E-11	       -2.240311E-11	       -1.508954E-10	        2.506357E-09	       -9.633524E-11	        4.417762E-09	        5.074486E-13	        5.619990E-10	        1.725030E-10	        1.503133E-10	        1.711309E-12	        6.822920E-11	        2.425802E-12	       -1.155350E-11	       -9.946949E-13	       -1.656909E-11	       -4.615270E-05	        1.010435E-12	       -1.583713E-08	       -1.335376E-10	        1.378066E-11	        1.580897E-08	        4.615182E-05	       -9.263034E-11	       -5.599864E-14	       -2.891582E-14	        2.252483E-19	        2.031984E-13	        2.512447E-13	       -2.350119E-15	        2.444342E-15
        4.100000E-03	       -1.161026E-07	       -2.274235E-08	       -1.123000E-06	       -2.752193E-08	       -5.167927E-06	       -1.273009E-07	       -1.826933E-08	       -1.157775E-06	       -7.239562E-06	       -4.177955E-04	       -3.820404E-07	        4.593404E-08	       -1.982983E-07	       -3.346699E-06	        1.207129E-13	        5.880885E-06	       -7.566039E-07	       -1.107912E-09	       -2.688914E-06	       -2.506695E-07	        2.000976E-08	       -1.000514E-09	       -3.472880E-07	       -7.597346E-07	       -8.740772E-13	       -1.862895E-06	        4.764991E-06	       -3.968088E-14	        2.701468E-04	       -3.138344E-06	       -1.368824E-07	        1.042720E-06	       -4.520471E-07	        3.036095E-04	        5.649927E-09	       -2.324058E-08	       -2.309917E-06	       -2.932091E-05	        1.131409E-04	        4.866232E-05	        1.338951E-04	       -1.110168E-08	       -1.092714E-13	        2.098140E-07	       -3.392616E-07	        1.391258E-04	       -2.514614E-06	       -2.394693E-04	       -2.440506E-13	        1.671048E-02	       -3.079310E-10	        1.664915E-02	        1.881029E-06	       -3.392388E-04	        3.133058E-04	       -3.349892E-06	        0.000000E+00	       -2.146081E-08	        1.189551E-05	        1.014762E-06	        2.026087E-14	       -4.682114E-06	       -1.559208E-08	        5.452232E-06	        1.042889E-06	        1.686315E-02	       -1.349705E-04	       -1.757824E-08	       -6.416380E-07	       -1.658756E-02	        1.658756E-02	       -1.328066E-16	        3.389486E-09	       -2.088435E-10	       -2.422524E-09	       -3.398913E-09	       -3.403359E-10	       -1.190499E-10	        3.176946E-11	        1.208128E-08	       -2.795908E-10	        7.598769E-09	       -4.418879E-12	        1.925414E-10	        2.805907E-10	        3.150844E-07	        6.772911E-12	       -1.356220E-10	        1.457997E-11	       -2.745985E-11	       -3.354224E-12	       -4.355049E-11	       -2.745353E-05	        4.112111E-12	       -1.259807E-08	        3.343308E-11	        1.040577E-11	        1.257458E-08	        2.745273E-05	       -3.152153E-07	       -3.628015E-13	       -1.000406E-11	        5.819363E-19	        1.247443E-12	        6.692682E-13	       -2.255845E-14	       -2.190959E-15
        4.514750E-03	       -2.666402E-07	       -1.286728E-07	       -1.532766E-06	       -1.133283E-07	       -1.028618E-05	       -1.658735E-07	       -5.557178E-08	       -3.188488E-06	       -1.367659E-05	       -3.898161E-04	       -8.283964E-07	        8.955518E-08	       -2.339925E-07	       -7.736961E-06	        4.731123E-13	        1.078539E-05	       -1.393366E-06	       -3.116815E-09	       -7.226972E-06	       -3.094114E-07	        4.604532E-08	       -4.308755E-09	       -6.824824E-07	       -1.959385E-07	       -1.893166E-12	       -3.115517E-06	        9.440788E-06	       -9.419222E-14	        7.608808E-04	       -8.129397E-06	       -3.512453E-07	        1.579966E-06	       -1.381342E-06	        2.833979E-04	        1.438657E-08	       -5.764978E-08	       -5.206205E-06	       -6.085672E-05	        1.086147E-04	        9.908445E-05	        1.083623E-04	       -2.588799E-08	       -4.604982E-13	        1.275664E-07	       -6.603663E-07	        1.177506E-04	       -2.320721E-06	       -7.073592E-04	       -4.527062E-12	        1.365888E-02	       -1.335795E-09	        1.365311E-02	        2.060408E-06	       -9.003420E-04	        2.969723E-04	       -5.478315E-06	        0.000000E+00	       -4.615692E-07	        2.215350E-05	        1.761857E-06	        3.863739E-14	       -5.871583E-06	       -3.566438E-08	        8.429872E-06	        6.883489E-07	        1.430489E-02	       -1.102044E-04	       -4.359738E-08	       -6.723286E-07	       -1.353596E-02	        1.353582E-02	        5.648252E-17	        1.981490E-09	       -8.343704E-11	       -3.122575E-09	       -2.687361E-09	       -7.167470E-10	       -3.380098E-10	        2.043856E-11	        3.330153E-08	       -4.422379E-10	        9.302640E-09	       -1.545252E-11	        1.681840E-10	        2.767395E-10	        3.626727E-07	        9.490338E-12	       -2.272460E-10	        7.783951E-11	       -3.492814E-11	       -8.233558E-12	       -7.043751E-11	       -1.370423E-05	        8.291505E-12	       -1.053568E-08	        9.160489E-11	        4.484791E-12	        1.050807E-08	        1.370326E-05	       -3.632089E-07	       -9.276855E-13	       -8.110122E-12	        8.475411E-19	        6.638916E-12	        5.124791E-13	       -4.292317E-14	       -2.965619E-14
        5.005170E-03	       -4.862389E-07	       -1.404039E-06	       -1.376066E-06	       -4.744075E-07	       -2.419781E-05	       -3.495534E-08	       -1.014008E-07	       -1.466433E-05	       -2.341498E-05	       -2.405749E-04	       -1.349634E-06	        1.256643E-07	       -1.118234E-07	       -1.720311E-05	        1.014615E-12	        1.638490E-05	       -1.439813E-06	       -3.020562E-09	       -9.901607E-06	       -3.205001E-07	        7.271429E-08	       -1.337789E-08	       -1.795188E-06	        3.098126E-06	       -1.489309E-12	       -3.839814E-06	        1.804003E-05	       -1.140776E-13	        2.360271E-03	       -2.348080E-05	       -7.763640E-07	        8.899059E-07	       -3.085129E-06	        1.751786E-04	        3.180095E-08	       -9.233185E-08	       -9.527035E-06	       -1.411665E-04	        7.352301E-05	        2.148319E-04	        5.976660E-05	       -3.402341E-08	       -1.084949E-12	        5.689566E-08	       -6.053045E-07	        7.104952E-05	       -1.286350E-06	       -2.264797E-03	       -2.128635E-11	        7.596569E-03	       -2.445582E-09	        7.729392E-03	        1.154904E-06	       -2.660878E-03	        1.887380E-04	       -4.449790E-06	        0.000000E+00	       -1.180158E-06	        4.321291E-05	        3.042599E-06	       -3.677308E-14	       -3.911873E-06	       -5.720727E-08	        6.555664E-06	       -2.204592E-08	        9.872190E-03	       -6.105775E-05	       -7.679830E-08	       -5.517242E-07	       -7.499763E-03	        7.498749E-03	        1.109880E-17	       -2.875903E-08	       -1.647261E-11	       -4.455079E-09	       -7.860165E-10	       -1.484421E-09	       -1.445075E-09	       -2.899198E-11	        8.428297E-08	       -6.100976E-10	        1.254637E-08	       -3.559459E-11	       -1.753633E-11	        1.669113E-10	        1.228973E-06	       -3.984108E-12	        9.822554E-10	        8.251956E-10	       -3.949563E-11	       -3.153346E-11	       -1.026457E-10	        5.699477E-05	        1.386842E-11	        2.761701E-09	        2.250376E-10	       -1.475331E-11	       -2.772706E-09	       -5.699587E-05	       -1.231143E-06	       -1.650026E-12	       -3.978119E-12	        2.433238E-18	        7.086275E-11	       -6.666174E-13	       -5.967022E-14	       -2.914113E-13
