           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        5.00000E-04  	        1.50000E+03  	        2.99768E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        8.09908E-94  	        0.00000E+00  	        0.00000E+00  	        1.31562E-83  	        4.37706E-80  	        1.07850E-81  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        8.00513E-80  	        0.00000E+00  	        0.00000E+00  	        5.81567E-91  	        3.04158E-84  	        1.01604E-82  	        0.00000E+00  	        0.00000E+00  	        1.57856E-87  	        0.00000E+00  	        0.00000E+00  	        7.72144E-80  	        0.00000E+00  	        6.64654E-12  	        2.02802E-93  	        0.00000E+00  	        6.97097E-81  	        1.28093E-79  	        8.05147E-83  	        0.00000E+00  	        4.71650E-90  	        0.00000E+00  	        1.80805E-85  	        7.10356E-86  	        8.33286E-80  	        7.67788E-81  	        2.62237E-77  	        0.00000E+00  	        0.00000E+00  	        6.51804E-91  	        4.36985E-86  	        2.14594E-86  	        3.84160E-85  	        0.00000E+00  	        1.12676E-82  	        0.00000E+00  	        1.68591E-79  	        3.53960E-91  	        2.32920E-01  	        2.39421E-75  	        4.48369E-87  	        0.00000E+00  	        2.05979E-84  	        3.17109E-80  	        7.96321E-80  	        0.00000E+00  	        1.55836E-86  	        7.67080E-01  	        1.24765E-86  	        1.21105E-80  	        8.21525E-80  	        9.03440E-84  	        7.40584E-86  	        2.71394E-83  	        1.40195E-83  	        2.42485E-87  	        0.00000E+00  	        0.00000E+00  	        6.50480E-85  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.47686E-87  	        3.77216E-12  	        4.61985E-80  	        1.66444E-80  	        6.81614E-91  	        2.06026E-80  	        2.26358E-83  	        0.00000E+00  	        0.00000E+00  	        1.53372E-89  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.59186E-80  	        3.38615E-90  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.00000E-03  	        1.50000E+03  	        2.91701E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        1.61400E-90  	        0.00000E+00  	        2.12338E-94  	        0.00000E+00  	        1.69462E-85  	        0.00000E+00  	        2.31894E-92  	        2.01419E-78  	        1.10084E-75  	        5.03320E-77  	        4.49558E-87  	        4.71918E-93  	        0.00000E+00  	        3.32782E-75  	        8.60735E-85  	        0.00000E+00  	        5.87399E-82  	        3.03599E-79  	        8.22615E-78  	        0.00000E+00  	        1.17977E-91  	        5.14783E-81  	        0.00000E+00  	        7.42522E-92  	        2.37701E-75  	        0.00000E+00  	        1.16562E-11  	        6.55870E-82  	        1.45254E-89  	        1.90797E-76  	        5.31732E-75  	        5.28112E-78  	        1.85712E-84  	        2.64712E-83  	        0.00000E+00  	        9.62593E-80  	        5.61352E-80  	        4.63563E-75  	        1.07344E-76  	        7.31094E-73  	        0.00000E+00  	        5.71164E-83  	        1.64977E-81  	        2.00281E-79  	        2.39219E-81  	        1.18007E-80  	        2.14329E-91  	        3.67090E-77  	        0.00000E+00  	        8.29898E-75  	        1.07669E-81  	        2.32920E-01  	        1.61250E-70  	        2.40215E-81  	        0.00000E+00  	        7.55074E-80  	        7.18001E-76  	        1.08027E-75  	        0.00000E+00  	        6.83599E-81  	        7.67080E-01  	        1.06139E-80  	        1.02957E-76  	        4.28517E-75  	        7.01768E-79  	        2.33523E-80  	        1.10203E-78  	        3.46125E-78  	        7.32517E-81  	        0.00000E+00  	        0.00000E+00  	        1.16670E-79  	        0.00000E+00  	        1.38000E-84  	        0.00000E+00  	        0.00000E+00  	        3.29733E-81  	        6.58101E-12  	        7.12423E-76  	        1.17672E-76  	        9.89158E-83  	        2.34203E-76  	        2.69415E-78  	        0.00000E+00  	        0.00000E+00  	        6.86361E-82  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.78812E-76  	        4.51558E-82  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.81819E-92  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.50000E-03  	        1.50000E+03  	        2.91931E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        5.04250E-82  	        2.58256E-83  	        2.26545E-82  	        2.40135E-85  	        4.74884E-80  	        2.85681E-91  	        3.25235E-82  	        1.16779E-74  	        8.78100E-72  	        4.62061E-73  	        1.52297E-80  	        3.57800E-82  	        0.00000E+00  	        2.16170E-71  	        3.40812E-79  	        0.00000E+00  	        1.03988E-77  	        1.26893E-74  	        3.13639E-74  	        3.16757E-83  	        1.90311E-81  	        5.91951E-77  	        0.00000E+00  	        5.11325E-82  	        1.22062E-71  	        0.00000E+00  	        1.65952E-11  	        3.64571E-78  	        7.67131E-81  	        1.76971E-72  	        6.76793E-71  	        2.35522E-74  	        7.29460E-79  	        3.91210E-78  	        1.75807E-91  	        6.60616E-77  	        5.22840E-75  	        1.56204E-71  	        2.81212E-73  	        2.17572E-69  	        0.00000E+00  	        3.01813E-78  	        1.14063E-77  	        7.36281E-75  	        6.32285E-77  	        2.45504E-77  	        1.95473E-82  	        2.25709E-73  	        1.94259E-89  	        7.68227E-71  	        3.69915E-77  	        2.32920E-01  	        6.10324E-66  	        5.62874E-77  	        0.00000E+00  	        3.77472E-76  	        5.76557E-71  	        7.45579E-72  	        0.00000E+00  	        2.62936E-76  	        7.67080E-01  	        2.40733E-76  	        1.23183E-73  	        3.60818E-71  	        6.49049E-75  	        7.89477E-76  	        2.74125E-73  	        1.01614E-74  	        2.90318E-77  	        0.00000E+00  	        0.00000E+00  	        2.09977E-76  	        1.61334E-89  	        1.18979E-79  	        3.96884E-85  	        0.00000E+00  	        4.22174E-77  	        9.32341E-12  	        4.47948E-72  	        8.74023E-19  	        7.97387E-79  	        1.83106E-73  	        4.14441E-75  	        0.00000E+00  	        3.59542E-84  	        6.23208E-78  	        0.00000E+00  	        6.06851E-91  	        0.00000E+00  	        1.41047E-72  	        1.19390E-78  	        0.00000E+00  	        5.46618E-92  	        0.00000E+00  	        1.11226E-82  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        9.33348E-84  	        3.10094E-87  	        0.00000E+00
        2.00000E-03  	        1.50000E+03  	        2.80571E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        4.43562E-78  	        3.67540E-78  	        1.64500E-77  	        2.15661E-80  	        2.53713E-76  	        2.50463E-81  	        3.05774E-78  	        2.91859E-72  	        1.24008E-68  	        5.04506E-70  	        1.64901E-77  	        1.54562E-77  	        0.00000E+00  	        4.95540E-67  	        1.44295E-76  	        0.00000E+00  	        2.84841E-74  	        2.54395E-70  	        1.06965E-70  	        2.43982E-79  	        8.05230E-78  	        1.40680E-73  	        1.21805E-92  	        5.53817E-79  	        2.29389E-67  	        0.00000E+00  	        2.16917E-11  	        3.02732E-74  	        1.74172E-77  	        1.57686E-69  	        8.57298E-68  	        5.71481E-70  	        1.67768E-75  	        2.18784E-73  	        9.98187E-82  	        7.79989E-74  	        1.65854E-70  	        1.89898E-67  	        2.28146E-70  	        4.78102E-65  	        0.00000E+00  	        3.91293E-75  	        4.35000E-74  	        7.16710E-71  	        4.95978E-73  	        3.99431E-74  	        1.03638E-78  	        3.23867E-69  	        5.20764E-81  	        1.77590E-66  	        4.74996E-74  	        2.32920E-01  	        2.82999E-62  	        8.23611E-74  	        0.00000E+00  	        6.64298E-72  	        6.79463E-68  	        6.23699E-68  	        0.00000E+00  	        8.30345E-74  	        7.67080E-01  	        5.93751E-72  	        1.24472E-69  	        4.56923E-67  	        1.51890E-72  	        6.52891E-72  	        2.82496E-69  	        2.43315E-72  	        6.36413E-76  	        0.00000E+00  	        3.19166E-83  	        5.04881E-73  	        3.02284E-81  	        4.62389E-77  	        8.10484E-81  	        8.20465E-94  	        2.96922E-74  	        1.21288E-11  	        1.45486E-68  	        3.13792E-17  	        5.57415E-76  	        1.91923E-69  	        2.47574E-72  	        2.22033E-85  	        1.89416E-78  	        5.45638E-75  	        0.00000E+00  	        5.42061E-81  	        0.00000E+00  	        6.87287E-69  	        3.17347E-76  	        0.00000E+00  	        2.46041E-82  	        6.91721E-87  	        4.74990E-80  	        3.71712E-89  	        6.33311E-84  	        0.00000E+00  	        2.26509E-89  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        5.83247E-79  	        6.74618E-81  	        0.00000E+00
        2.60000E-03  	        1.50000E+03  	        2.79439E-01  	        1.01325E+05  	        2.56841E-81  	        9.96187E-87  	        2.18269E-74  	        2.69707E-75  	        6.77210E-74  	        4.98126E-77  	        5.48609E-72  	        1.54552E-77  	        1.03559E-73  	        2.39855E-70  	        4.77498E-65  	        1.08709E-66  	        1.96819E-74  	        5.56443E-76  	        1.39488E-89  	        1.44781E-63  	        1.04040E-72  	        2.16175E-83  	        1.13948E-70  	        5.06789E-66  	        1.58554E-67  	        1.37606E-75  	        7.12855E-75  	        1.07549E-69  	        5.22884E-81  	        1.42605E-74  	        9.18441E-64  	        0.00000E+00  	        2.81130E-11  	        6.01107E-71  	        3.92725E-75  	        2.32223E-66  	        3.26269E-64  	        2.45939E-66  	        1.16407E-71  	        6.43661E-69  	        1.07572E-77  	        1.36190E-70  	        6.98297E-67  	        7.19583E-64  	        1.38065E-67  	        2.28547E-61  	        2.94824E-83  	        4.60129E-72  	        1.36478E-70  	        1.00503E-66  	        8.34402E-68  	        5.70754E-71  	        2.46317E-75  	        1.44960E-64  	        3.93451E-77  	        1.26569E-62  	        4.02374E-71  	        2.32920E-01  	        2.12145E-57  	        5.12140E-71  	        0.00000E+00  	        1.06565E-67  	        1.76955E-62  	        9.73523E-64  	        0.00000E+00  	        4.36167E-71  	        7.67080E-01  	        7.79062E-68  	        2.93929E-66  	        4.54548E-63  	        1.59702E-70  	        3.20375E-67  	        8.87812E-66  	        1.88122E-70  	        8.07305E-74  	        3.47910E-85  	        3.45012E-78  	        5.68258E-70  	        6.66254E-78  	        1.59717E-73  	        8.86260E-78  	        1.70670E-79  	        1.09005E-70  	        1.56320E-11  	        6.30699E-65  	        1.94114E-16  	        4.86333E-73  	        7.96800E-66  	        2.31111E-69  	        1.51439E-79  	        2.00077E-75  	        2.43303E-72  	        5.63007E-83  	        8.55302E-78  	        2.15037E-83  	        1.78820E-65  	        3.42722E-74  	        0.00000E+00  	        5.54352E-79  	        3.34828E-80  	        8.81101E-78  	        3.24885E-80  	        5.67481E-79  	        1.49842E-90  	        6.25878E-80  	        0.00000E+00  	        0.00000E+00  	        3.36334E-86  	        5.39547E-76  	        1.96541E-77  	        1.85228E-80
        3.10000E-03  	        1.50000E+03  	        2.74127E-01  	        1.01325E+05  	        1.83016E-78  	        3.84736E-79  	        9.49843E-72  	        8.36794E-74  	        6.00240E-71  	        4.36117E-75  	        1.54065E-67  	        1.42057E-74  	        3.21703E-70  	        3.34582E-69  	        3.33190E-62  	        4.69532E-64  	        1.22121E-71  	        7.03114E-74  	        7.55721E-80  	        2.04622E-60  	        3.69397E-70  	        1.98386E-78  	        3.18352E-68  	        2.54821E-63  	        1.79112E-65  	        3.43811E-71  	        3.17780E-73  	        3.23905E-67  	        5.93986E-79  	        3.21387E-71  	        2.23819E-60  	        0.00000E+00  	        3.37425E-11  	        1.32530E-68  	        6.37770E-73  	        1.39639E-63  	        1.35404E-61  	        8.18128E-64  	        2.29694E-68  	        3.31551E-65  	        7.91100E-75  	        4.29339E-68  	        4.44932E-64  	        8.22321E-61  	        2.84693E-65  	        7.56721E-59  	        7.65391E-79  	        1.30365E-70  	        5.65807E-68  	        1.20429E-63  	        1.50152E-64  	        2.34309E-68  	        1.71247E-72  	        8.25242E-61  	        2.31335E-73  	        8.82835E-60  	        2.57728E-69  	        2.32920E-01  	        6.12067E-54  	        2.66971E-69  	        0.00000E+00  	        5.98550E-64  	        2.67354E-59  	        1.60488E-60  	        2.45807E-81  	        1.02684E-69  	        7.67080E-01  	        6.79402E-63  	        5.72384E-63  	        4.99824E-60  	        2.55021E-69  	        1.63787E-63  	        4.77514E-63  	        2.58906E-69  	        5.05378E-72  	        1.15647E-79  	        1.42895E-75  	        2.37013E-67  	        7.07675E-76  	        3.75599E-71  	        5.21020E-76  	        4.09190E-76  	        2.09541E-68  	        1.86772E-11  	        1.91160E-62  	        4.00790E-16  	        3.50375E-70  	        2.79157E-63  	        8.18138E-66  	        1.89903E-76  	        2.24528E-72  	        1.49253E-70  	        5.40960E-78  	        3.98250E-75  	        1.33110E-79  	        5.78182E-63  	        1.12074E-72  	        0.00000E+00  	        3.85650E-78  	        6.01759E-79  	        2.15386E-75  	        1.57842E-78  	        1.41176E-76  	        1.18831E-80  	        1.59408E-77  	        5.85929E-82  	        2.09817E-90  	        4.24069E-79  	        5.71298E-73  	        3.71487E-75  	        1.42513E-77
        3.60000E-03  	        1.50000E+03  	        2.71937E-01  	        1.01325E+05  	        7.59516E-76  	        2.03619E-77  	        1.13716E-69  	        3.44192E-72  	        1.80004E-68  	        2.98989E-73  	        5.57251E-64  	        2.13489E-72  	        5.23129E-67  	        1.06438E-67  	        7.40320E-60  	        2.52662E-61  	        2.49894E-70  	        4.22931E-72  	        2.13208E-77  	        1.00758E-57  	        7.38886E-68  	        1.86751E-75  	        7.09952E-66  	        2.14619E-60  	        2.64022E-63  	        6.98731E-68  	        1.59344E-71  	        1.51888E-64  	        4.06141E-77  	        2.26821E-68  	        1.27000E-57  	        2.00147E-81  	        3.96405E-11  	        2.19371E-66  	        1.01849E-71  	        2.36568E-61  	        3.12762E-59  	        2.82889E-61  	        1.37884E-65  	        5.32665E-61  	        4.05050E-72  	        1.46322E-65  	        1.67974E-61  	        1.32034E-57  	        1.69904E-63  	        3.97880E-56  	        8.54083E-76  	        3.97440E-70  	        6.41749E-66  	        2.19818E-61  	        1.73576E-61  	        7.02994E-66  	        3.24739E-69  	        9.79438E-58  	        1.68538E-69  	        2.14742E-56  	        4.97360E-68  	        2.32920E-01  	        1.52909E-50  	        2.86002E-68  	        0.00000E+00  	        8.93542E-61  	        2.25246E-56  	        2.00281E-57  	        2.56382E-77  	        2.59357E-68  	        7.67080E-01  	        2.21381E-59  	        7.99784E-60  	        5.23877E-57  	        4.74599E-68  	        4.30802E-60  	        4.23961E-60  	        5.94729E-68  	        2.20934E-70  	        4.35756E-77  	        4.24834E-74  	        7.41655E-65  	        7.73716E-74  	        1.02674E-68  	        1.20138E-74  	        4.40241E-74  	        8.93506E-66  	        2.18439E-11  	        1.31595E-59  	        6.78513E-16  	        1.50129E-67  	        2.33381E-60  	        2.77907E-63  	        6.46779E-75  	        2.12284E-69  	        6.57794E-68  	        2.23225E-74  	        9.46014E-72  	        2.10413E-77  	        3.83121E-60  	        4.39884E-71  	        0.00000E+00  	        3.91164E-76  	        2.94019E-77  	        1.24347E-73  	        1.68406E-76  	        1.82889E-75  	        5.48190E-79  	        1.49573E-74  	        1.37198E-79  	        4.11010E-80  	        2.88680E-76  	        7.38520E-70  	        2.44639E-72  	        2.40568E-74
        4.10000E-03  	        1.50000E+03  	        2.64633E-01  	        1.01325E+05  	        1.15326E-74  	        2.43233E-74  	        1.41419E-67  	        1.86266E-70  	        5.71175E-66  	        1.09823E-71  	        1.41405E-60  	        5.69428E-70  	        1.71295E-64  	        1.36997E-66  	        5.53799E-58  	        1.22029E-58  	        4.30722E-69  	        1.37958E-69  	        4.32014E-74  	        9.42318E-55  	        4.04426E-66  	        2.64554E-72  	        8.59888E-65  	        1.63676E-57  	        1.21083E-61  	        7.18401E-65  	        1.05651E-69  	        8.21835E-62  	        1.05988E-75  	        1.61559E-65  	        7.24792E-55  	        4.33514E-78  	        4.58478E-11  	        1.41365E-65  	        4.11479E-69  	        2.24811E-59  	        9.50788E-57  	        2.34220E-59  	        4.29198E-63  	        8.38337E-58  	        8.54547E-70  	        6.19817E-63  	        7.71094E-59  	        7.93548E-55  	        5.00391E-62  	        1.14890E-53  	        6.01220E-73  	        1.15179E-68  	        3.16239E-64  	        2.09136E-58  	        1.45437E-58  	        4.22834E-63  	        3.13296E-66  	        1.61941E-54  	        3.39580E-65  	        2.08017E-53  	        4.42099E-67  	        2.32920E-01  	        2.28680E-47  	        2.15976E-67  	        0.00000E+00  	        6.19539E-58  	        3.98438E-53  	        4.09547E-54  	        1.43211E-74  	        7.28920E-67  	        7.67080E-01  	        4.45908E-56  	        1.48688E-56  	        7.67674E-54  	        5.39665E-67  	        3.13107E-57  	        6.11089E-58  	        6.92176E-67  	        1.04093E-68  	        2.15463E-75  	        1.29345E-71  	        4.28136E-62  	        2.89966E-72  	        1.92226E-66  	        1.05805E-73  	        5.17910E-72  	        5.32160E-64  	        2.51527E-11  	        4.00586E-57  	        1.03243E-15  	        8.51578E-65  	        5.50126E-58  	        1.88883E-61  	        2.62501E-73  	        3.10158E-66  	        1.83295E-66  	        7.22782E-72  	        4.16191E-69  	        3.91650E-76  	        1.73672E-57  	        7.68935E-69  	        0.00000E+00  	        7.04811E-75  	        7.61853E-76  	        2.56119E-72  	        4.03046E-75  	        2.79344E-74  	        1.06039E-74  	        1.64954E-70  	        1.47832E-76  	        1.86458E-77  	        5.39827E-73  	        4.23313E-67  	        5.47152E-70  	        8.46067E-72
        4.51475E-03  	        1.50000E+03  	        2.67629E-01  	        1.01325E+05  	        3.19345E-77  	        5.11357E-77  	        1.40529E-69  	        1.28560E-72  	        4.32514E-68  	        2.13843E-73  	        2.03462E-62  	        2.28540E-72  	        1.28757E-66  	        2.93612E-69  	        5.65054E-60  	        1.36381E-60  	        6.02018E-71  	        6.12778E-72  	        2.91199E-75  	        1.32600E-56  	        9.61907E-69  	        2.44311E-74  	        2.01171E-66  	        2.24902E-59  	        1.44476E-63  	        9.46759E-67  	        7.01980E-72  	        7.96022E-64  	        5.56645E-78  	        1.39613E-67  	        7.78920E-57  	        1.24519E-79  	        5.21931E-11  	        6.70277E-67  	        1.74332E-71  	        2.06161E-61  	        6.54005E-59  	        2.81103E-61  	        4.23005E-65  	        1.07605E-59  	        5.82921E-72  	        2.67618E-65  	        5.03775E-61  	        6.72300E-57  	        6.24431E-64  	        7.52927E-56  	        4.72939E-75  	        7.84167E-71  	        4.90321E-66  	        1.21061E-60  	        1.82319E-60  	        8.45047E-65  	        3.19430E-68  	        7.90031E-57  	        3.56104E-67  	        2.24197E-55  	        9.58436E-70  	        2.32920E-01  	        1.74144E-48  	        9.91591E-70  	        0.00000E+00  	        1.24282E-59  	        3.65187E-55  	        2.43769E-56  	        1.84088E-76  	        1.12693E-69  	        7.67080E-01  	        5.72940E-58  	        2.81313E-58  	        1.56303E-55  	        1.23759E-69  	        4.50624E-59  	        2.76548E-60  	        1.54277E-69  	        5.46001E-71  	        1.73571E-77  	        2.17585E-74  	        2.36884E-64  	        6.21689E-74  	        1.47500E-68  	        3.41841E-76  	        3.87370E-74  	        7.52855E-66  	        2.85464E-11  	        3.91550E-59  	        1.19965E-15  	        7.56244E-67  	        3.80527E-60  	        2.04817E-63  	        1.97773E-75  	        3.19564E-68  	        2.79161E-68  	        5.23885E-74  	        2.58607E-71  	        7.92132E-79  	        1.11208E-59  	        2.40454E-70  	        0.00000E+00  	        2.73544E-77  	        2.12267E-78  	        1.15488E-74  	        5.68854E-78  	        9.41691E-76  	        1.48618E-75  	        6.03478E-73  	        6.27863E-78  	        7.18753E-80  	        3.69432E-75  	        2.71954E-69  	        3.12399E-72  	        5.94047E-74
        5.00517E-03  	        1.57001E+03  	        2.48824E-01  	        1.01325E+05  	        1.45207E-77  	        2.32312E-77  	        6.38265E-70  	        5.83992E-73  	        1.93956E-68  	        9.68016E-74  	        9.28684E-63  	        1.01859E-72  	        5.74857E-67  	        1.30911E-69  	        2.54980E-60  	        6.17164E-61  	        2.74329E-71  	        2.75817E-72  	        1.30711E-75  	        5.87192E-57  	        4.37127E-69  	        1.09366E-74  	        9.17986E-67  	        1.01341E-59  	        6.55032E-64  	        4.31661E-67  	        3.20032E-72  	        3.60077E-64  	        2.48794E-78  	        6.26751E-68  	        3.44603E-57  	        5.66394E-80  	        5.93623E-11  	        3.02464E-67  	        7.94622E-72  	        9.28568E-62  	        2.94504E-59  	        1.26772E-61  	        1.88324E-65  	        4.84097E-60  	        2.65752E-72  	        1.22863E-65  	        2.27835E-61  	        2.84654E-57  	        2.82911E-64  	        3.30719E-56  	        2.14824E-75  	        3.53644E-71  	        2.23192E-66  	        5.43476E-61  	        8.05650E-61  	        3.82573E-65  	        1.44333E-68  	        3.20830E-57  	        1.58923E-67  	        9.43525E-56  	        4.31171E-70  	        2.32920E-01  	        5.89779E-49  	        4.47734E-70  	        0.00000E+00  	        5.64283E-60  	        1.55714E-55  	        1.03347E-56  	        8.38321E-77  	        5.01346E-70  	        7.67080E-01  	        2.56130E-58  	        1.22486E-58  	        6.48858E-56  	        5.53102E-70  	        1.94793E-59  	        1.25354E-60  	        6.87960E-70  	        2.47138E-71  	        7.83980E-78  	        9.92003E-75  	        1.06669E-64  	        2.83894E-74  	        6.63108E-69  	        1.53546E-76  	        1.76320E-74  	        3.37863E-66  	        3.23461E-11  	        1.75526E-59  	        3.90843E-16  	        3.41038E-67  	        1.70757E-60  	        9.25902E-64  	        8.96130E-76  	        1.44354E-68  	        1.26004E-68  	        2.37980E-74  	        1.17364E-71  	        3.59397E-79  	        4.98191E-60  	        1.09253E-70  	        0.00000E+00  	        1.24221E-77  	        9.58804E-79  	        5.27693E-75  	        2.55436E-78  	        4.28839E-76  	        6.67513E-76  	        2.77669E-73  	        2.80957E-78  	        3.05187E-80  	        1.63719E-75  	        1.21598E-69  	        1.42096E-72  	        2.68994E-74
