           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        5.00000E-04  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        3.95919E-98  	        0.00000E+00  	        0.00000E+00  	        2.08864E-88  	        1.86043E-84  	        6.80213E-86  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        5.79771E-84  	        0.00000E+00  	        0.00000E+00  	        1.56384E-95  	        1.17344E-88  	        5.00883E-87  	        0.00000E+00  	        0.00000E+00  	        2.59709E-92  	        0.00000E+00  	        0.00000E+00  	        7.96284E-84  	        0.00000E+00  	        9.73872E-14  	        2.46016E-97  	        0.00000E+00  	        4.27533E-85  	        7.63073E-84  	        3.22286E-87  	        0.00000E+00  	        8.69649E-95  	        0.00000E+00  	        8.66092E-90  	        4.36340E-90  	        8.21977E-84  	        2.45037E-85  	        1.22620E-81  	        0.00000E+00  	        0.00000E+00  	        2.62139E-95  	        8.77139E-90  	        4.32637E-91  	        4.24279E-88  	        0.00000E+00  	        7.73923E-87  	        0.00000E+00  	        2.30197E-83  	        2.56757E-96  	        1.70641E-03  	        5.59889E-79  	        3.34791E-92  	        0.00000E+00  	        1.17708E-87  	        2.31166E-84  	        1.08787E-83  	        0.00000E+00  	        9.05691E-92  	        6.41798E-03  	        1.26258E-91  	        2.01800E-84  	        1.46019E-83  	        1.00107E-88  	        1.30595E-90  	        5.53476E-88  	        1.06104E-88  	        3.91125E-92  	        0.00000E+00  	        0.00000E+00  	        4.94998E-89  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        9.59855E-92  	        2.00894E-14  	        9.48126E-84  	        1.93588E-84  	        3.96659E-95  	        2.39028E-84  	        3.17329E-87  	        0.00000E+00  	        0.00000E+00  	        4.29471E-94  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.30537E-84  	        1.14814E-94  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.00000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        5.89273E-95  	        0.00000E+00  	        2.32853E-98  	        0.00000E+00  	        1.16495E-89  	        0.00000E+00  	        8.31946E-97  	        8.18807E-83  	        1.70085E-79  	        1.15408E-80  	        1.06036E-91  	        9.09011E-97  	        0.00000E+00  	        9.62412E-79  	        7.82973E-89  	        0.00000E+00  	        3.32094E-86  	        2.50415E-83  	        1.07625E-81  	        0.00000E+00  	        3.31891E-96  	        1.85107E-85  	        0.00000E+00  	        1.03536E-96  	        9.86440E-79  	        0.00000E+00  	        1.70790E-13  	        5.04183E-86  	        8.24262E-94  	        3.81706E-80  	        8.01783E-79  	        2.86036E-82  	        5.86791E-89  	        1.83334E-87  	        0.00000E+00  	        1.08869E-83  	        6.82296E-84  	        1.37213E-78  	        5.96259E-81  	        7.13908E-77  	        0.00000E+00  	        2.02367E-87  	        1.29624E-85  	        4.28824E-83  	        1.51533E-85  	        6.64113E-83  	        2.21921E-96  	        9.72831E-81  	        0.00000E+00  	        3.31155E-78  	        1.80186E-86  	        1.70641E-03  	        9.70746E-74  	        5.84387E-86  	        0.00000E+00  	        2.17206E-82  	        1.22355E-79  	        2.52578E-79  	        0.00000E+00  	        1.44844E-85  	        6.41798E-03  	        3.07910E-85  	        4.91992E-80  	        2.44406E-78  	        2.32982E-83  	        9.52185E-85  	        8.21049E-83  	        6.79566E-83  	        3.14021E-85  	        0.00000E+00  	        0.00000E+00  	        2.42722E-83  	        0.00000E+00  	        9.06174E-89  	        0.00000E+00  	        0.00000E+00  	        6.11696E-85  	        3.50484E-14  	        4.27190E-79  	        3.89932E-80  	        9.30072E-87  	        6.36633E-80  	        2.91129E-82  	        0.00000E+00  	        0.00000E+00  	        1.05511E-85  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.07987E-80  	        3.20737E-86  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.12664E-97  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.50000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        5.94241E-86  	        1.26897E-87  	        5.65665E-86  	        4.15347E-90  	        3.28664E-84  	        2.06985E-95  	        3.39910E-86  	        3.52654E-79  	        8.10667E-76  	        1.03791E-76  	        5.97957E-85  	        3.52145E-86  	        0.00000E+00  	        1.04190E-74  	        2.48411E-83  	        0.00000E+00  	        9.28668E-82  	        4.87641E-78  	        4.67091E-78  	        2.80781E-87  	        9.78317E-86  	        4.57104E-81  	        0.00000E+00  	        1.96239E-86  	        8.00325E-75  	        0.00000E+00  	        2.43158E-13  	        9.34424E-82  	        4.75164E-85  	        3.09859E-76  	        5.87566E-75  	        4.15220E-78  	        5.57819E-83  	        3.18149E-82  	        3.84043E-96  	        1.04101E-80  	        8.96411E-79  	        4.86560E-75  	        1.71150E-77  	        3.78283E-73  	        0.00000E+00  	        8.10593E-83  	        2.01848E-81  	        4.13694E-78  	        7.00259E-81  	        1.86698E-79  	        7.25261E-87  	        7.25657E-77  	        4.12101E-94  	        5.66956E-74  	        1.36186E-81  	        1.70641E-03  	        5.61031E-69  	        1.29860E-81  	        0.00000E+00  	        2.46089E-78  	        1.91269E-74  	        1.24354E-75  	        0.00000E+00  	        5.87349E-81  	        6.41798E-03  	        1.76830E-80  	        5.95737E-77  	        2.52876E-74  	        1.38400E-79  	        9.97834E-80  	        4.38721E-77  	        1.54486E-79  	        1.35391E-81  	        0.00000E+00  	        0.00000E+00  	        7.20817E-80  	        1.53253E-93  	        1.49230E-83  	        2.80224E-89  	        0.00000E+00  	        4.81713E-81  	        4.96536E-14  	        8.46663E-76  	        6.82783E-21  	        7.34542E-83  	        7.30577E-77  	        1.01929E-78  	        0.00000E+00  	        2.32845E-88  	        5.02377E-82  	        0.00000E+00  	        2.22299E-95  	        0.00000E+00  	        1.21961E-76  	        8.98222E-83  	        0.00000E+00  	        4.95035E-97  	        0.00000E+00  	        3.58539E-87  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        6.42824E-88  	        1.53208E-91  	        0.00000E+00
        2.00000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        5.88190E-82  	        2.20395E-82  	        4.35035E-81  	        9.31634E-85  	        5.47311E-80  	        4.87419E-85  	        5.93339E-82  	        1.63328E-76  	        2.94355E-72  	        1.59757E-73  	        3.90701E-82  	        1.40792E-81  	        0.00000E+00  	        1.39190E-70  	        3.57374E-80  	        0.00000E+00  	        5.75913E-78  	        9.69440E-74  	        4.57147E-74  	        2.43824E-83  	        6.41083E-82  	        1.81961E-77  	        1.57570E-97  	        7.11118E-83  	        1.24614E-70  	        0.00000E+00  	        3.17834E-13  	        7.23025E-78  	        1.60515E-81  	        6.69694E-73  	        2.33210E-71  	        1.38653E-73  	        1.98990E-79  	        5.97069E-77  	        7.51369E-86  	        2.97027E-77  	        4.44453E-74  	        9.14732E-71  	        3.57925E-74  	        6.45931E-69  	        0.00000E+00  	        1.34510E-79  	        1.43601E-77  	        5.48933E-74  	        6.82339E-77  	        4.30344E-76  	        4.01884E-83  	        9.70809E-73  	        1.85195E-85  	        8.41670E-70  	        2.91840E-78  	        1.70641E-03  	        1.82783E-65  	        3.31898E-78  	        0.00000E+00  	        2.26916E-74  	        2.81004E-71  	        2.00103E-71  	        0.00000E+00  	        3.01092E-78  	        6.41798E-03  	        8.77442E-76  	        1.01524E-72  	        3.21537E-70  	        6.30766E-77  	        1.17357E-75  	        5.81805E-73  	        6.80121E-77  	        5.00517E-80  	        0.00000E+00  	        1.67632E-87  	        4.32234E-76  	        4.29510E-85  	        9.88143E-81  	        4.61223E-85  	        9.18821E-98  	        6.27879E-78  	        6.45940E-14  	        9.99078E-72  	        2.45133E-19  	        1.18879E-79  	        1.00033E-72  	        1.17867E-75  	        1.57549E-89  	        1.47593E-82  	        1.15704E-78  	        0.00000E+00  	        4.70460E-85  	        0.00000E+00  	        1.04838E-72  	        3.32051E-80  	        0.00000E+00  	        8.94891E-87  	        1.73262E-91  	        3.44668E-84  	        5.61149E-94  	        2.58886E-88  	        0.00000E+00  	        4.86356E-94  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        4.75952E-83  	        7.09991E-85  	        0.00000E+00
        2.60000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        1.95663E-85  	        1.49267E-90  	        5.28008E-78  	        1.94134E-79  	        6.48717E-77  	        2.04949E-81  	        2.83957E-75  	        6.96974E-81  	        1.56985E-77  	        1.28374E-74  	        1.56192E-68  	        5.96064E-70  	        1.67675E-78  	        9.01944E-80  	        2.53335E-94  	        6.86638E-67  	        4.34660E-76  	        1.46256E-87  	        3.46332E-74  	        1.95765E-69  	        4.25354E-71  	        3.65149E-79  	        1.12295E-78  	        2.35751E-73  	        2.31078E-85  	        9.29055E-79  	        6.35438E-67  	        0.00000E+00  	        4.11920E-13  	        3.05881E-74  	        5.16289E-79  	        1.27954E-69  	        8.19459E-68  	        4.05319E-70  	        2.63750E-75  	        1.58208E-72  	        1.33038E-81  	        5.95274E-74  	        1.54649E-70  	        4.34950E-67  	        2.83243E-71  	        3.23462E-65  	        1.11009E-87  	        2.49031E-76  	        7.78548E-74  	        7.98178E-70  	        1.16418E-71  	        8.81442E-73  	        1.15415E-79  	        5.34508E-68  	        3.47719E-81  	        6.86851E-66  	        1.33765E-75  	        1.70641E-03  	        1.85973E-60  	        2.01511E-75  	        0.00000E+00  	        5.50324E-70  	        4.81213E-66  	        4.42692E-67  	        0.00000E+00  	        8.43005E-76  	        6.41798E-03  	        1.82506E-71  	        3.69757E-69  	        4.04391E-66  	        5.42448E-75  	        4.86782E-71  	        2.38998E-69  	        4.97959E-75  	        3.57528E-78  	        2.10231E-89  	        6.03838E-82  	        5.76256E-73  	        1.88762E-81  	        6.20083E-77  	        7.00764E-82  	        3.11225E-83  	        4.84337E-74  	        8.32510E-14  	        6.50382E-68  	        1.51641E-18  	        9.19233E-77  	        6.73311E-69  	        1.66438E-72  	        5.86525E-83  	        3.10636E-79  	        9.78782E-76  	        3.84084E-87  	        9.97027E-82  	        3.34643E-87  	        3.74082E-69  	        5.02523E-78  	        0.00000E+00  	        2.64811E-83  	        1.11098E-84  	        4.92839E-82  	        1.22936E-84  	        6.20273E-83  	        3.01948E-95  	        3.72495E-84  	        0.00000E+00  	        0.00000E+00  	        2.00636E-90  	        6.59078E-80  	        2.96138E-81  	        1.04439E-84
        3.10000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        1.44743E-82  	        8.63508E-83  	        1.83406E-75  	        9.81404E-78  	        6.21814E-74  	        2.25928E-79  	        4.63850E-71  	        9.69336E-78  	        8.99225E-74  	        2.22907E-73  	        8.06465E-66  	        2.42864E-67  	        8.58632E-76  	        1.13660E-77  	        3.49827E-84  	        7.19635E-64  	        1.87120E-73  	        1.54841E-82  	        1.40150E-71  	        1.28805E-66  	        6.17028E-69  	        5.94034E-75  	        3.11022E-77  	        8.61953E-71  	        2.99211E-83  	        3.77523E-75  	        9.23094E-64  	        0.00000E+00  	        4.94405E-13  	        9.70764E-72  	        7.69995E-77  	        5.19248E-67  	        3.06730E-65  	        2.84229E-67  	        6.38912E-72  	        8.78553E-69  	        1.55230E-78  	        2.47572E-71  	        1.86560E-67  	        2.75530E-64  	        5.54623E-69  	        1.41699E-62  	        1.01887E-82  	        1.11465E-74  	        2.49885E-71  	        1.15785E-66  	        2.45701E-68  	        3.99140E-70  	        2.43316E-76  	        4.15061E-64  	        4.18512E-77  	        5.31756E-63  	        1.18703E-73  	        1.70641E-03  	        8.12844E-57  	        1.34144E-73  	        0.00000E+00  	        3.93229E-66  	        1.25293E-62  	        1.09073E-63  	        8.62571E-86  	        4.59027E-74  	        6.41798E-03  	        5.76421E-67  	        6.73475E-66  	        5.26607E-63  	        9.85268E-74  	        2.57587E-67  	        2.16651E-66  	        8.16761E-74  	        2.72021E-76  	        3.00823E-83  	        3.83448E-79  	        2.38826E-70  	        3.32273E-79  	        2.04105E-74  	        4.35338E-80  	        2.00223E-79  	        1.34492E-71  	        9.94691E-14  	        2.18459E-65  	        3.13095E-18  	        1.06335E-73  	        2.59355E-66  	        4.66449E-69  	        4.01933E-80  	        3.51408E-76  	        6.05258E-74  	        4.93246E-82  	        8.46911E-79  	        1.29912E-83  	        1.83503E-66  	        1.98365E-76  	        0.00000E+00  	        2.39249E-82  	        3.38630E-83  	        1.39669E-79  	        6.97460E-83  	        7.52173E-81  	        6.25378E-85  	        9.42291E-82  	        2.78011E-86  	        3.89389E-95  	        3.37909E-83  	        1.57554E-76  	        8.42514E-79  	        1.63320E-81
        3.60000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        5.62714E-80  	        1.34135E-80  	        4.52405E-73  	        4.33994E-76  	        2.24053E-71  	        9.26367E-78  	        2.41370E-67  	        2.00290E-75  	        1.88664E-70  	        3.39190E-72  	        1.99879E-63  	        1.08681E-64  	        2.01173E-74  	        1.70344E-75  	        1.52001E-81  	        3.26481E-61  	        3.24798E-71  	        1.50226E-79  	        2.64363E-69  	        1.50446E-63  	        7.21294E-67  	        1.81034E-71  	        1.42806E-75  	        4.34177E-68  	        1.88955E-81  	        4.41775E-72  	        7.51922E-61  	        4.21940E-86  	        5.80825E-13  	        9.73847E-70  	        1.82864E-75  	        8.62558E-65  	        1.24932E-62  	        9.33778E-65  	        3.97245E-69  	        1.50791E-64  	        1.03942E-75  	        8.84980E-69  	        1.02353E-64  	        6.39791E-61  	        2.62382E-67  	        7.94269E-60  	        8.75839E-80  	        7.74476E-74  	        4.20551E-69  	        3.16198E-64  	        5.28444E-65  	        1.09598E-67  	        3.68895E-73  	        4.25561E-61  	        3.09989E-73  	        1.18882E-59  	        2.01166E-72  	        1.70641E-03  	        2.30268E-53  	        1.75273E-72  	        0.00000E+00  	        8.09477E-63  	        8.45446E-60  	        1.21241E-60  	        1.32073E-81  	        7.31310E-73  	        6.41798E-03  	        2.92811E-63  	        9.83473E-63  	        7.36081E-60  	        1.01399E-72  	        1.10633E-63  	        1.09532E-63  	        9.29071E-73  	        1.55243E-74  	        6.97783E-81  	        1.54287E-77  	        6.34562E-68  	        4.53238E-77  	        4.21978E-72  	        9.26917E-79  	        3.28026E-77  	        4.10270E-69  	        1.16334E-13  	        1.29821E-62  	        5.30051E-18  	        4.70911E-71  	        1.31990E-63  	        1.18785E-66  	        1.41748E-78  	        5.70359E-73  	        1.22344E-71  	        3.74261E-78  	        3.55175E-75  	        2.67561E-81  	        8.76373E-64  	        8.24003E-75  	        0.00000E+00  	        1.76526E-80  	        9.72406E-82  	        1.28614E-77  	        7.42851E-81  	        2.06058E-79  	        9.49556E-83  	        1.08796E-78  	        3.06999E-83  	        1.86570E-84  	        4.76108E-80  	        1.91195E-73  	        7.49697E-76  	        3.63806E-78
        4.10000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        9.20853E-79  	        6.97381E-78  	        4.87736E-71  	        2.23694E-74  	        8.24906E-69  	        2.68411E-76  	        6.20209E-64  	        3.51837E-73  	        7.34697E-68  	        7.55021E-71  	        1.47998E-61  	        5.08358E-62  	        3.33175E-73  	        3.49104E-73  	        5.25393E-78  	        2.72996E-58  	        2.03948E-69  	        1.47469E-76  	        2.65129E-68  	        1.19451E-60  	        3.15157E-65  	        3.33413E-68  	        2.04231E-73  	        1.38649E-65  	        8.00371E-80  	        4.33283E-69  	        4.37104E-58  	        5.67856E-82  	        6.71776E-13  	        1.00757E-68  	        6.58413E-73  	        1.05371E-62  	        2.35653E-60  	        9.44507E-63  	        1.46640E-66  	        3.39700E-61  	        2.41841E-73  	        3.20980E-66  	        3.58672E-62  	        3.17367E-58  	        1.34776E-65  	        2.04951E-57  	        1.05523E-76  	        7.69104E-73  	        1.01043E-67  	        2.62935E-61  	        4.12006E-62  	        6.34555E-65  	        6.04542E-70  	        7.45818E-58  	        4.59031E-69  	        1.47164E-56  	        2.98823E-71  	        1.70641E-03  	        7.40359E-50  	        2.29363E-71  	        0.00000E+00  	        7.18612E-60  	        1.35540E-56  	        1.87601E-57  	        1.54786E-78  	        1.59147E-71  	        6.41798E-03  	        8.08648E-60  	        1.72647E-59  	        8.67066E-57  	        1.95585E-71  	        6.78097E-61  	        1.43016E-61  	        1.85888E-71  	        1.96600E-72  	        3.77001E-79  	        3.01020E-75  	        3.10118E-65  	        2.70212E-75  	        8.18614E-70  	        1.21722E-77  	        5.39172E-75  	        2.26773E-67  	        1.33955E-13  	        4.88754E-60  	        8.06528E-18  	        3.46939E-68  	        4.13040E-61  	        9.05600E-65  	        7.32650E-77  	        1.22091E-69  	        6.70362E-70  	        2.07367E-75  	        1.71088E-72  	        4.72974E-80  	        3.36716E-61  	        7.44691E-73  	        0.00000E+00  	        3.39379E-79  	        2.53621E-80  	        2.21206E-76  	        1.79409E-79  	        5.55777E-78  	        3.37973E-79  	        1.67554E-74  	        9.09733E-81  	        1.15246E-81  	        1.21875E-76  	        1.63182E-70  	        1.74867E-73  	        2.53049E-75
        4.51475E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        3.19294E-81  	        2.54547E-80  	        6.56319E-73  	        2.47157E-76  	        6.48756E-71  	        5.08638E-78  	        1.00236E-65  	        2.24260E-75  	        4.93373E-70  	        2.00816E-73  	        1.82855E-63  	        5.45016E-64  	        4.83491E-75  	        2.79060E-75  	        2.93271E-79  	        5.70731E-60  	        8.14392E-72  	        1.15146E-78  	        6.45636E-70  	        1.85697E-62  	        3.50855E-67  	        4.55310E-70  	        1.70910E-75  	        1.16517E-67  	        2.35441E-82  	        3.15199E-71  	        6.88233E-60  	        4.46566E-84  	        7.64749E-13  	        2.60560E-70  	        4.33099E-75  	        6.95727E-65  	        1.38482E-62  	        6.50585E-65  	        1.42076E-68  	        6.39093E-63  	        2.03069E-75  	        2.04263E-68  	        2.01698E-64  	        5.60795E-60  	        1.11109E-67  	        1.61919E-59  	        7.99197E-79  	        5.86763E-75  	        1.64423E-69  	        1.66406E-63  	        4.83999E-64  	        9.50494E-67  	        6.03678E-72  	        9.00926E-60  	        6.93541E-71  	        2.36358E-58  	        8.50708E-74  	        1.70641E-03  	        7.57550E-51  	        8.93554E-74  	        0.00000E+00  	        1.42990E-61  	        2.32820E-58  	        2.56345E-59  	        2.23155E-80  	        2.91138E-74  	        6.41798E-03  	        1.20431E-61  	        3.58662E-61  	        2.57612E-58  	        5.40013E-74  	        1.43050E-62  	        9.13165E-64  	        5.01621E-74  	        1.10109E-74  	        5.01724E-81  	        6.89854E-78  	        1.59187E-67  	        5.43856E-77  	        7.46778E-72  	        7.79982E-80  	        3.97576E-77  	        2.62313E-69  	        1.52030E-13  	        3.90884E-62  	        9.37158E-18  	        2.62505E-70  	        2.31042E-63  	        7.60435E-67  	        4.90480E-79  	        1.32301E-71  	        1.02424E-71  	        1.67074E-77  	        1.35404E-74  	        1.62826E-82  	        2.20539E-63  	        2.11334E-74  	        0.00000E+00  	        1.42794E-81  	        1.12728E-82  	        1.31204E-78  	        5.56788E-82  	        5.42716E-80  	        6.71068E-80  	        1.06403E-76  	        4.98513E-82  	        4.85831E-84  	        1.17860E-78  	        1.15010E-72  	        1.20043E-75  	        1.85076E-77
        5.00517E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        1.45280E-81  	        1.15877E-80  	        3.00520E-73  	        1.12457E-76  	        2.94179E-71  	        2.30469E-78  	        4.45345E-66  	        1.00634E-75  	        2.21647E-70  	        9.03577E-74  	        8.28235E-64  	        2.43030E-64  	        2.21203E-75  	        1.26466E-75  	        1.31478E-79  	        2.35868E-60  	        3.69218E-72  	        5.23294E-79  	        2.94742E-70  	        8.31435E-63  	        1.59139E-67  	        2.04595E-70  	        7.81365E-76  	        5.26377E-68  	        1.07299E-82  	        1.42797E-71  	        2.81989E-60  	        2.03039E-84  	        8.69795E-13  	        1.18892E-70  	        1.98053E-75  	        3.14274E-65  	        6.27074E-63  	        2.92533E-65  	        6.39253E-69  	        2.69883E-63  	        9.28570E-76  	        9.25908E-69  	        9.02518E-65  	        2.23428E-60  	        5.04466E-68  	        6.89489E-60  	        3.65355E-79  	        2.65830E-75  	        7.46985E-70  	        7.48653E-64  	        2.12071E-64  	        4.30380E-67  	        2.69119E-72  	        3.49553E-60  	        3.09468E-71  	        8.79309E-59  	        3.85208E-74  	        1.70641E-03  	        2.54443E-51  	        4.03226E-74  	        0.00000E+00  	        6.20551E-62  	        8.98223E-59  	        9.80112E-60  	        1.01473E-80  	        1.31417E-74  	        6.41798E-03  	        4.95530E-62  	        1.51321E-61  	        9.78998E-59  	        2.43058E-74  	        6.09968E-63  	        4.13991E-64  	        2.25695E-74  	        5.02556E-75  	        2.28851E-81  	        3.12522E-78  	        7.16045E-68  	        2.48770E-77  	        3.35820E-72  	        3.51986E-80  	        1.81982E-77  	        1.17191E-69  	        1.72265E-13  	        1.74508E-62  	        3.05305E-18  	        1.19050E-70  	        1.04739E-63  	        3.43983E-67  	        2.23393E-79  	        5.91341E-72  	        4.65443E-72  	        7.63308E-78  	        6.13836E-75  	        7.41745E-83  	        9.86693E-64  	        9.62060E-75  	        0.00000E+00  	        6.52022E-82  	        5.11206E-83  	        5.97230E-79  	        2.51812E-82  	        2.47177E-80  	        3.00532E-80  	        4.82431E-77  	        2.45546E-82  	        2.13661E-84  	        5.31419E-79  	        5.18841E-73  	        5.45011E-76  	        8.45338E-78
