           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        5.00000E-04  	        1.50000E+03  	        2.99768E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.32255E-25  	        0.00000E+00  	        0.00000E+00  	        3.56324E-18  	        1.56768E-14  	        7.49372E-16  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        4.71714E-14  	        0.00000E+00  	        0.00000E+00  	        5.75222E-22  	        3.85886E-18  	        8.01507E-17  	        0.00000E+00  	        0.00000E+00  	        6.53234E-21  	        0.00000E+00  	        0.00000E+00  	        3.37181E-14  	        0.00000E+00  	        2.53346E-11  	        6.10859E-24  	        0.00000E+00  	        2.67179E-15  	        5.50526E-14  	        2.41263E-17  	        0.00000E+00  	        3.11316E-23  	        0.00000E+00  	        1.27736E-19  	        1.40604E-18  	        3.96835E-14  	        1.30825E-15  	        4.12693E-12  	        0.00000E+00  	        0.00000E+00  	        6.65962E-22  	        1.21968E-18  	        3.20380E-21  	        1.31031E-19  	        0.00000E+00  	        3.29268E-16  	        0.00000E+00  	        1.26822E-13  	        3.22108E-22  	        2.32920E-01  	        2.95952E-10  	        3.94490E-21  	        0.00000E+00  	        1.74498E-18  	        2.61557E-14  	        2.41973E-14  	        0.00000E+00  	        1.22955E-20  	        7.67080E-01  	        1.32392E-20  	        2.36888E-15  	        4.49038E-14  	        2.36956E-18  	        8.92796E-20  	        5.01769E-17  	        3.24554E-18  	        1.96793E-23  	        0.00000E+00  	        0.00000E+00  	        3.71480E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        6.74899E-21  	        1.43828E-11  	        1.24618E-14  	        4.55592E-15  	        6.76136E-23  	        4.71934E-15  	        1.04218E-17  	        0.00000E+00  	        0.00000E+00  	        7.43450E-22  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        7.45238E-15  	        3.92839E-22  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.00000E-03  	        1.50000E+03  	        2.91701E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        1.60609E-21  	        0.00000E+00  	        3.84134E-25  	        0.00000E+00  	        1.84899E-19  	        0.00000E+00  	        4.59662E-23  	        7.64609E-15  	        1.43280E-12  	        9.75071E-14  	        6.08175E-21  	        2.71712E-22  	        0.00000E+00  	        4.41342E-12  	        8.18812E-19  	        0.00000E+00  	        4.06607E-16  	        1.98363E-13  	        2.40503E-14  	        0.00000E+00  	        1.80354E-22  	        1.99751E-15  	        0.00000E+00  	        6.70731E-23  	        3.09671E-12  	        0.00000E+00  	        5.21874E-11  	        1.99100E-16  	        5.10069E-21  	        2.88718E-13  	        5.07692E-12  	        2.98622E-13  	        4.06061E-18  	        9.45956E-17  	        0.00000E+00  	        7.29352E-16  	        9.55015E-14  	        4.49003E-12  	        9.35389E-14  	        2.41359E-10  	        0.00000E+00  	        9.34727E-18  	        4.90237E-16  	        8.84624E-14  	        9.62685E-16  	        4.37464E-16  	        1.67712E-22  	        9.53154E-13  	        0.00000E+00  	        1.54223E-11  	        2.99171E-16  	        2.32920E-01  	        4.52161E-08  	        3.86884E-16  	        0.00000E+00  	        1.76332E-14  	        3.69002E-11  	        8.25453E-12  	        0.00000E+00  	        4.16250E-16  	        7.67080E-01  	        9.48239E-15  	        7.81021E-13  	        4.30176E-12  	        4.83824E-15  	        2.02036E-14  	        1.24244E-12  	        6.70620E-15  	        1.69450E-18  	        0.00000E+00  	        0.00000E+00  	        3.04092E-15  	        0.00000E+00  	        1.64695E-19  	        0.00000E+00  	        0.00000E+00  	        3.85747E-16  	        2.85947E-11  	        2.85757E-12  	        1.01715E-12  	        4.08506E-18  	        1.14158E-12  	        1.35216E-14  	        0.00000E+00  	        0.00000E+00  	        5.70501E-17  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.74814E-12  	        4.07457E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.45769E-23  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.50000E-03  	        1.50000E+03  	        2.91931E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        7.29320E-17  	        6.29453E-18  	        1.64019E-16  	        4.18457E-21  	        1.30579E-14  	        2.95552E-22  	        2.35584E-16  	        9.54276E-13  	        1.58881E-11  	        2.67827E-12  	        6.07563E-17  	        4.47387E-19  	        0.00000E+00  	        1.50067E-10  	        3.27395E-15  	        0.00000E+00  	        1.46331E-13  	        6.51628E-11  	        2.85940E-13  	        6.44945E-18  	        3.67472E-17  	        6.19333E-13  	        0.00000E+00  	        1.97001E-17  	        9.44156E-11  	        0.00000E+00  	        2.80072E-10  	        8.46292E-14  	        8.93340E-17  	        7.92726E-12  	        1.44328E-10  	        8.24151E-11  	        1.59016E-14  	        1.00254E-12  	        1.77103E-22  	        6.87436E-14  	        2.75523E-11  	        2.41389E-10  	        1.05425E-12  	        2.47666E-09  	        0.00000E+00  	        1.50541E-14  	        1.71116E-13  	        2.61722E-11  	        2.93622E-12  	        3.85511E-14  	        5.17442E-18  	        2.94713E-10  	        1.96633E-21  	        7.68790E-10  	        2.72320E-13  	        2.32920E-01  	        2.59471E-06  	        2.87592E-13  	        0.00000E+00  	        2.57206E-12  	        2.92274E-09  	        6.49223E-10  	        0.00000E+00  	        2.03032E-13  	        7.67080E-01  	        1.46325E-11  	        3.62871E-11  	        2.97522E-10  	        5.83433E-13  	        1.44024E-11  	        3.36055E-10  	        7.99925E-13  	        8.61329E-17  	        0.00000E+00  	        0.00000E+00  	        9.33555E-14  	        6.81205E-22  	        4.58477E-16  	        6.66387E-21  	        0.00000E+00  	        2.00757E-14  	        4.26101E-11  	        6.58974E-11  	        2.34624E-11  	        2.16827E-15  	        2.63645E-11  	        3.18000E-13  	        0.00000E+00  	        1.10265E-18  	        6.18288E-15  	        0.00000E+00  	        6.54814E-22  	        0.00000E+00  	        4.03238E-11  	        1.02895E-15  	        0.00000E+00  	        5.13759E-23  	        0.00000E+00  	        9.19212E-20  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        4.30749E-19  	        7.86114E-21  	        0.00000E+00
        2.00000E-03  	        1.50000E+03  	        2.80571E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        9.98304E-14  	        2.22750E-15  	        1.37680E-14  	        1.64461E-18  	        8.27424E-12  	        4.90313E-17  	        1.17873E-13  	        5.04459E-11  	        8.08440E-11  	        9.12290E-11  	        4.88948E-14  	        2.94747E-16  	        0.00000E+00  	        5.78118E-09  	        1.78828E-13  	        0.00000E+00  	        6.77062E-12  	        3.76679E-09  	        1.44865E-12  	        3.62086E-14  	        6.16482E-15  	        3.12316E-11  	        5.26473E-23  	        2.31410E-14  	        3.28752E-09  	        0.00000E+00  	        9.06205E-09  	        3.92553E-12  	        9.65097E-15  	        2.46525E-10  	        4.50350E-09  	        4.19964E-09  	        9.09900E-13  	        3.92171E-10  	        4.48186E-17  	        2.85442E-12  	        1.40535E-09  	        1.03475E-08  	        7.13979E-12  	        1.22538E-08  	        0.00000E+00  	        1.00032E-12  	        7.79260E-12  	        1.35872E-09  	        9.99745E-10  	        1.59140E-12  	        8.26945E-15  	        1.52915E-08  	        2.80459E-16  	        3.12365E-08  	        2.10665E-11  	        2.32920E-01  	        4.89781E-05  	        2.19126E-11  	        0.00000E+00  	        2.66563E-10  	        6.34130E-08  	        2.63027E-08  	        0.00000E+00  	        1.28201E-11  	        7.67080E-01  	        3.44143E-09  	        2.14986E-09  	        1.42535E-08  	        2.89168E-11  	        1.34101E-09  	        1.60753E-08  	        3.97869E-11  	        1.25465E-15  	        0.00000E+00  	        7.39964E-18  	        1.15106E-12  	        5.02691E-18  	        8.16782E-15  	        2.47474E-18  	        1.03063E-24  	        2.44235E-13  	        5.87583E-11  	        5.64529E-10  	        2.01244E-10  	        6.23948E-14  	        2.26150E-10  	        2.70692E-12  	        7.80034E-19  	        4.85099E-15  	        9.12967E-14  	        0.00000E+00  	        1.49128E-17  	        0.00000E+00  	        3.45328E-10  	        1.57460E-14  	        0.00000E+00  	        6.97982E-20  	        2.02051E-21  	        4.22097E-17  	        1.19104E-21  	        8.39094E-19  	        0.00000E+00  	        2.55115E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.34767E-15  	        3.93264E-17  	        0.00000E+00
        2.60000E-03  	        1.50000E+03  	        2.79439E-01  	        1.01325E+05  	        4.83031E-18  	        6.95212E-19  	        4.98568E-11  	        5.90546E-14  	        1.10995E-12  	        4.08490E-16  	        2.20382E-09  	        2.70143E-14  	        5.15125E-11  	        2.97483E-09  	        1.28053E-09  	        2.38350E-09  	        2.63207E-11  	        3.43849E-13  	        1.58900E-20  	        1.76117E-07  	        5.16084E-12  	        1.85719E-17  	        2.14611E-10  	        1.21341E-07  	        1.84438E-11  	        1.41977E-11  	        5.03782E-13  	        1.28583E-09  	        1.49728E-18  	        1.31673E-11  	        8.94461E-08  	        0.00000E+00  	        2.06839E-07  	        1.39248E-10  	        3.59773E-13  	        7.37597E-09  	        1.27853E-07  	        1.43130E-07  	        3.71987E-11  	        6.44158E-08  	        3.12965E-13  	        9.04743E-11  	        4.57572E-08  	        3.01564E-07  	        1.73704E-10  	        5.01573E-08  	        3.56641E-18  	        1.04080E-10  	        2.37133E-10  	        3.78418E-08  	        1.60981E-07  	        5.35380E-11  	        1.63811E-12  	        4.22324E-07  	        2.86362E-12  	        1.14425E-06  	        1.71357E-09  	        2.32920E-01  	        5.13326E-04  	        2.04712E-09  	        0.00000E+00  	        3.33167E-08  	        1.50210E-06  	        7.20751E-07  	        0.00000E+00  	        1.44750E-09  	        7.67080E-01  	        4.28818E-07  	        1.60482E-07  	        5.08014E-07  	        1.41153E-09  	        6.24476E-08  	        4.58800E-07  	        1.96266E-09  	        1.08548E-12  	        2.92141E-19  	        2.42983E-15  	        4.60447E-11  	        1.35460E-14  	        4.81236E-13  	        1.21723E-15  	        4.81629E-16  	        1.04220E-11  	        2.06598E-10  	        3.60384E-09  	        1.31565E-09  	        5.72549E-12  	        1.47506E-09  	        1.71222E-11  	        1.25924E-15  	        1.46521E-12  	        4.36290E-12  	        1.51510E-16  	        7.01090E-14  	        2.17359E-19  	        2.18721E-09  	        1.07809E-12  	        0.00000E+00  	        4.06917E-17  	        2.01666E-18  	        1.09659E-14  	        5.00648E-18  	        1.03498E-15  	        1.71160E-21  	        4.57947E-16  	        0.00000E+00  	        0.00000E+00  	        1.93402E-18  	        4.34573E-13  	        1.86658E-14  	        2.35492E-16
        3.10000E-03  	        1.50000E+03  	        2.74127E-01  	        1.01325E+05  	        2.11432E-15  	        1.95350E-15  	        4.73915E-09  	        5.55692E-13  	        6.31499E-11  	        1.34367E-14  	        7.12232E-08  	        1.82561E-12  	        5.06808E-09  	        6.49725E-08  	        1.03958E-07  	        1.73957E-08  	        1.69856E-09  	        4.30559E-11  	        1.37313E-15  	        2.85041E-06  	        6.66539E-11  	        1.09458E-13  	        3.85845E-09  	        7.89276E-07  	        1.33046E-09  	        5.90292E-10  	        2.12089E-11  	        2.78340E-08  	        1.89286E-16  	        1.21733E-09  	        1.00205E-06  	        0.00000E+00  	        1.85813E-06  	        2.92989E-09  	        2.32359E-11  	        1.57546E-07  	        1.17971E-06  	        1.30088E-06  	        1.90427E-09  	        1.42979E-06  	        5.88217E-11  	        1.78421E-09  	        4.20926E-07  	        3.02182E-06  	        4.52837E-09  	        1.35604E-07  	        7.13110E-15  	        4.26272E-09  	        3.36015E-09  	        3.11182E-07  	        3.48482E-06  	        1.34212E-09  	        7.22100E-11  	        3.06158E-06  	        5.93105E-10  	        1.90556E-05  	        4.13779E-08  	        2.32920E-01  	        1.41770E-03  	        5.45089E-08  	        0.00000E+00  	        6.84363E-07  	        2.10243E-05  	        5.51562E-06  	        2.46750E-16  	        3.93701E-08  	        7.67080E-01  	        5.97290E-06  	        2.60147E-06  	        5.10074E-06  	        2.53615E-08  	        5.97709E-07  	        3.12035E-06  	        3.53367E-08  	        8.59203E-11  	        6.29160E-16  	        4.01372E-14  	        5.65316E-10  	        1.29564E-12  	        2.45981E-11  	        5.38427E-14  	        6.24303E-15  	        2.73764E-10  	        1.25894E-09  	        1.12022E-08  	        5.00000E-09  	        1.83071E-10  	        5.15881E-09  	        5.66387E-11  	        3.28137E-14  	        6.00286E-11  	        7.85391E-11  	        2.39111E-14  	        4.99002E-12  	        4.39920E-17  	        6.37890E-09  	        2.88718E-11  	        0.00000E+00  	        3.01173E-15  	        1.60491E-16  	        3.58931E-13  	        6.47302E-16  	        2.97194E-14  	        7.16057E-18  	        3.04478E-13  	        2.35908E-18  	        6.90506E-21  	        7.28907E-15  	        1.02605E-11  	        3.64324E-13  	        3.46491E-14
        3.60000E-03  	        1.50000E+03  	        2.71937E-01  	        1.01325E+05  	        7.15068E-14  	        3.41814E-13  	        1.16460E-07  	        7.67969E-12  	        2.26943E-09  	        4.15398E-12  	        7.75426E-07  	        6.83444E-11  	        2.04364E-07  	        1.08431E-06  	        3.41902E-06  	        1.33851E-07  	        3.58751E-08  	        2.74925E-09  	        6.78627E-13  	        3.18668E-05  	        8.87367E-10  	        2.79619E-11  	        6.96570E-08  	        1.22490E-06  	        5.27054E-08  	        1.27499E-08  	        2.24095E-10  	        3.00021E-07  	        7.46459E-15  	        1.27235E-08  	        6.97404E-06  	        8.31410E-17  	        1.98219E-05  	        4.75762E-08  	        6.13692E-10  	        1.42785E-06  	        7.71133E-06  	        4.08220E-06  	        3.72963E-08  	        1.34855E-05  	        3.81846E-09  	        4.09631E-08  	        2.09091E-06  	        1.37216E-05  	        8.43935E-08  	        6.86765E-07  	        6.72411E-13  	        5.68149E-08  	        2.20968E-08  	        1.63472E-06  	        2.73375E-05  	        4.41692E-08  	        1.62890E-09  	        1.40484E-05  	        3.14229E-08  	        2.91890E-04  	        4.63161E-07  	        2.32920E-01  	        1.66307E-03  	        7.18968E-07  	        0.00000E+00  	        5.46741E-06  	        2.46989E-04  	        1.63383E-05  	        6.50731E-14  	        6.47300E-07  	        7.67079E-01  	        1.47717E-05  	        1.59287E-05  	        3.80757E-05  	        3.85457E-07  	        2.01230E-06  	        5.94576E-06  	        5.38967E-07  	        1.68950E-09  	        8.25750E-15  	        9.32079E-13  	        2.31089E-09  	        3.75524E-11  	        5.14981E-10  	        2.31065E-12  	        2.11449E-13  	        1.41111E-09  	        1.04049E-08  	        2.17285E-08  	        2.98756E-08  	        2.49663E-09  	        1.62004E-08  	        1.56802E-10  	        3.48108E-13  	        1.24483E-09  	        8.28914E-10  	        5.60354E-13  	        9.81563E-11  	        3.98073E-15  	        8.96816E-09  	        3.05431E-10  	        0.00000E+00  	        4.37753E-14  	        2.67611E-15  	        4.42955E-12  	        1.06895E-14  	        3.01897E-13  	        4.05738E-16  	        3.29187E-11  	        2.50358E-16  	        8.40513E-17  	        3.07510E-13  	        1.22482E-10  	        3.53557E-12  	        3.86803E-13
        4.10000E-03  	        1.50000E+03  	        2.64633E-01  	        1.01325E+05  	        2.92898E-13  	        5.83451E-12  	        6.85739E-07  	        1.84897E-11  	        9.35950E-09  	        2.49864E-11  	        2.72411E-06  	        3.16059E-10  	        9.01542E-07  	        1.31257E-05  	        2.75319E-05  	        5.10474E-07  	        2.35299E-07  	        1.42951E-08  	        2.13640E-11  	        5.64576E-05  	        3.19272E-09  	        4.46261E-10  	        2.24142E-07  	        4.66320E-06  	        3.33619E-07  	        1.27795E-07  	        1.86668E-10  	        9.87004E-07  	        1.36443E-13  	        2.47728E-08  	        7.46496E-06  	        6.63325E-15  	        1.42861E-04  	        9.52631E-08  	        2.15239E-09  	        2.26020E-06  	        3.85365E-05  	        5.95030E-06  	        1.00003E-07  	        5.06811E-05  	        4.79609E-08  	        1.76958E-07  	        8.06938E-06  	        1.60723E-05  	        3.98432E-07  	        5.12408E-06  	        1.94583E-11  	        4.15441E-07  	        2.42630E-08  	        2.08821E-06  	        8.42197E-05  	        4.66514E-07  	        1.59284E-08  	        2.37089E-05  	        3.14484E-07  	        2.00271E-03  	        2.40900E-06  	        2.32919E-01  	        2.39488E-03  	        1.00003E-05  	        0.00000E+00  	        1.75046E-05  	        1.86212E-03  	        1.83884E-05  	        1.05718E-12  	        1.00049E-05  	        7.67076E-01  	        5.89758E-05  	        3.82128E-05  	        1.54911E-04  	        4.60545E-06  	        6.22497E-06  	        8.43291E-06  	        6.45535E-06  	        4.25338E-09  	        4.03147E-15  	        9.65574E-12  	        1.83364E-09  	        1.32306E-10  	        1.17601E-09  	        3.30340E-11  	        2.61006E-12  	        5.33833E-10  	        6.70762E-08  	        2.37328E-08  	        1.59177E-07  	        5.57811E-09  	        3.85793E-08  	        3.05538E-10  	        1.27955E-12  	        8.32706E-09  	        4.62017E-09  	        2.17307E-12  	        3.99047E-10  	        4.31011E-14  	        8.35142E-09  	        5.49993E-10  	        0.00000E+00  	        1.09249E-13  	        4.76703E-15  	        1.02509E-11  	        2.49945E-14  	        5.77182E-13  	        2.42386E-12  	        3.83616E-10  	        5.93489E-13  	        1.68292E-15  	        1.48981E-12  	        4.35055E-10  	        7.79697E-12  	        5.92663E-13
        4.51475E-03  	        1.50000E+03  	        2.67629E-01  	        1.01325E+05  	        2.35369E-12  	        1.27993E-10  	        2.94880E-06  	        2.12918E-10  	        6.65018E-08  	        4.94297E-10  	        1.70813E-05  	        3.20326E-09  	        5.48518E-06  	        6.15757E-05  	        1.31865E-04  	        3.33304E-06  	        1.02887E-06  	        7.40503E-08  	        1.41321E-10  	        1.09847E-04  	        1.99285E-08  	        4.68334E-09  	        1.28917E-06  	        2.28657E-05  	        1.43405E-06  	        1.02400E-06  	        1.27195E-09  	        5.88876E-06  	        1.20148E-12  	        1.47909E-07  	        3.63246E-05  	        5.35258E-14  	        3.62838E-04  	        8.77705E-07  	        1.93804E-08  	        1.37193E-05  	        1.18525E-04  	        3.01348E-05  	        5.62215E-07  	        1.26279E-04  	        2.67388E-07  	        1.14079E-06  	        3.90533E-05  	        4.88430E-05  	        2.51175E-06  	        3.17594E-05  	        1.80632E-10  	        3.21093E-06  	        1.45399E-07  	        8.24762E-06  	        2.68451E-04  	        2.31343E-06  	        8.79950E-08  	        8.60221E-05  	        2.53785E-06  	        6.80804E-03  	        1.60806E-05  	        2.32917E-01  	        6.17335E-03  	        7.23885E-05  	        0.00000E+00  	        6.31623E-05  	        6.80390E-03  	        8.18234E-05  	        8.59022E-12  	        6.23920E-05  	        7.67071E-01  	        2.13857E-04  	        1.36215E-04  	        3.66018E-04  	        1.89019E-05  	        3.27033E-05  	        4.27555E-05  	        2.65374E-05  	        4.56390E-08  	        1.35813E-14  	        5.00021E-11  	        3.80696E-09  	        4.75025E-10  	        3.06810E-09  	        1.08770E-10  	        1.74048E-11  	        1.74260E-09  	        2.00250E-07  	        5.85016E-08  	        3.97224E-07  	        1.11933E-08  	        7.97147E-08  	        6.00322E-10  	        8.15884E-12  	        2.11565E-08  	        8.64122E-09  	        3.35053E-11  	        9.80943E-10  	        3.82456E-13  	        2.41370E-08  	        2.28603E-09  	        0.00000E+00  	        4.61021E-13  	        1.64903E-14  	        4.12500E-11  	        1.36640E-13  	        3.19934E-12  	        2.99119E-12  	        1.47493E-09  	        7.93424E-13  	        8.87619E-15  	        2.13279E-11  	        6.94875E-10  	        2.51474E-11  	        2.83924E-12
        5.00517E-03  	        1.57001E+03  	        2.48824E-01  	        1.01325E+05  	        2.35918E-11  	        5.13032E-09  	        1.05049E-05  	        4.68708E-09  	        8.02840E-07  	        1.90677E-10  	        1.30537E-04  	        5.35394E-08  	        3.96447E-05  	        4.07941E-04  	        5.49574E-04  	        2.20075E-05  	        3.84132E-06  	        6.32423E-07  	        6.91420E-10  	        2.78208E-04  	        1.59056E-07  	        3.91689E-08  	        8.32393E-06  	        1.65045E-04  	        7.73471E-06  	        8.37845E-06  	        1.78375E-08  	        4.11719E-05  	        9.64292E-12  	        1.09217E-06  	        2.67654E-04  	        5.11470E-13  	        8.86816E-04  	        1.09421E-05  	        2.76966E-07  	        1.26242E-04  	        3.34831E-04  	        1.96085E-04  	        3.35394E-06  	        3.49759E-04  	        1.89656E-06  	        1.01925E-05  	        2.47186E-04  	        1.97944E-04  	        1.40992E-05  	        1.46735E-04  	        1.46900E-09  	        1.90882E-05  	        1.46894E-06  	        5.28175E-05  	        1.02800E-03  	        1.23347E-05  	        4.26312E-07  	        4.48778E-04  	        1.41940E-05  	        2.37269E-02  	        8.05432E-05  	        2.32913E-01  	        2.06115E-02  	        5.55358E-04  	        0.00000E+00  	        2.92805E-04  	        2.46539E-02  	        5.48017E-04  	        8.91550E-11  	        4.26035E-04  	        7.67063E-01  	        1.01403E-03  	        6.56263E-04  	        9.46036E-04  	        1.12611E-04  	        2.26212E-04  	        3.35319E-04  	        1.57982E-04  	        6.99992E-07  	        6.82407E-14  	        2.93449E-10  	        1.32472E-08  	        2.44818E-09  	        1.05013E-08  	        2.74586E-10  	        2.06352E-10  	        7.60673E-09  	        4.86806E-07  	        2.20214E-07  	        1.11412E-06  	        2.88501E-08  	        2.18298E-07  	        1.94060E-09  	        1.29224E-10  	        5.14617E-08  	        1.48933E-08  	        1.00701E-09  	        2.49939E-09  	        6.48465E-12  	        1.04405E-07  	        9.32483E-09  	        0.00000E+00  	        2.04684E-12  	        4.53916E-14  	        1.46290E-10  	        8.04244E-13  	        2.22959E-11  	        9.40343E-11  	        3.42143E-09  	        2.77660E-12  	        4.10120E-14  	        5.36434E-10  	        1.28344E-09  	        1.15631E-10  	        3.78381E-11
