           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolX_C2H5O  	            VolX_CH  	          VolX_H2O2  	     VolX_CH2CH2CHO  	         VolX_T-CH2  	      VolX_C6H5OCH2  	         VolX_CH3OH  	         VolX_S-CH2  	          VolX_HCCO  	        VolX_C3H6O2  	          VolX_C5H6  	        VolX_P-C3H4  	     VolX_C5H5CH3-1  	         VolX_CH2OH  	        VolX_IXC4H7  	         VolX_CH2CO  	          VolX_CH3O  	VolX_CH2CCHCH2CHCH2  	        VolX_CH2CHO  	          VolX_C2H6  	        VolX_A-C3H5  	          VolX_C3H6  	        VolX_C2H5CO  	        VolX_CHOCHO  	        VolX_ACETOL  	         VolX_C4H3O  	          VolX_C2H2  	       VolX_IC5H9OH  	             VolX_O  	          VolX_C2H3  	      VolX_CH3CHCHO  	          VolX_C3H3  	          VolX_C5H5  	       VolX_C2H3CHO  	       VolX_CH3CHCO  	        VolX_C2H5OH  	       VolX_CH3CHOH  	           VolX_HCO  	        VolX_CH3CHO  	           VolX_HO2  	           VolX_A1O  	        VolX_C6H5OH  	        VolX_IXC4H8  	        VolX_C3H4O3  	          VolX_C2H5  	           VolX_CH3  	       VolX_CH3CO2H  	             VolX_H  	         VolX_A1CH3  	          VolX_CH2O  	        VolX_CC4H4O  	            VolX_CO  	        VolX_C6H8O4  	            VolX_O2  	           VolX_H2O  	        VolX_C6H6O3  	            VolX_AR  	            VolX_H2  	           VolX_CO2  	          VolX_C2H4  	          VolX_C5H8  	       VolX_C6H10O5  	            VolX_N2  	      VolX_FURFURAL  	           VolX_CH4  	            VolX_OH  	      VolX_C6H5OCH3  	          VolX_C6H6  	       VolX_C2H5CHO  	      VolX_OC8H7OOH  	           VolX_A1-  	          VolX_N2H2  	           VolX_NNH  	           VolX_NH2  	            VolX_NH  	           VolX_HNO  	          VolX_HONO  	             VolX_N  	          VolX_H2NO  	           VolX_N2O  	           VolX_NH3  	            VolX_NO  	           VolX_NO2  	           VolX_HCN  	           VolX_HNC  	            VolX_CN  	          VolX_HNCO  	           VolX_NCO  	           VolX_NCN  	        VolX_CH3NH2  	          VolX_H2CN  	         VolX_C5H5N  	         VolX_C5H4N  	        VolX_C5H5NO  	        VolX_C5H4NO  	       VolX_C5H4NO2  	        VolX_PYRLYL  	      VolX_BNC4H4CO  	        VolX_C4H4CN  	        VolX_CHCHCN  	         VolX_C4H5N  	       VolX_CH2CHCN  	          VolX_C2N2  	          VolX_HNCN  	          VolX_HOCN  	         VolX_CH3CN  	         VolX_CH2CN
        5.00000E-04  	        1.49994E+03  	        2.34447E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.74393E-23  	        0.00000E+00  	        0.00000E+00  	        2.23739E-16  	        2.51619E-15  	        1.74590E-16  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        6.74222E-15  	        0.00000E+00  	        0.00000E+00  	        5.34108E-20  	        2.44491E-16  	        4.23752E-17  	        0.00000E+00  	        0.00000E+00  	        2.92564E-19  	        0.00000E+00  	        0.00000E+00  	        7.78247E-15  	        0.00000E+00  	        4.42632E-11  	        3.80871E-21  	        0.00000E+00  	        7.36509E-16  	        1.09979E-14  	        1.27918E-16  	        0.00000E+00  	        2.86690E-21  	        0.00000E+00  	        1.54252E-18  	        3.91683E-17  	        1.14676E-14  	        3.72865E-16  	        2.25593E-12  	        0.00000E+00  	        0.00000E+00  	        8.49854E-20  	        6.85061E-17  	        3.40260E-19  	        6.21713E-17  	        0.00000E+00  	        5.99352E-16  	        0.00000E+00  	        8.20959E-14  	        1.02771E-20  	        2.10035E-01  	        7.05638E-10  	        1.47215E-19  	        0.00000E+00  	        3.89100E-16  	        1.10407E-13  	        7.87671E-14  	        0.00000E+00  	        3.62927E-19  	        7.89965E-01  	        7.52363E-19  	        1.50233E-14  	        1.68330E-14  	        1.04538E-16  	        4.97595E-18  	        1.15805E-15  	        9.63318E-17  	        2.35544E-21  	        0.00000E+00  	        0.00000E+00  	        1.77093E-17  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        7.20922E-19  	        9.29547E-12  	        8.39057E-14  	        1.68999E-14  	        2.84505E-20  	        2.12351E-14  	        1.14412E-16  	        0.00000E+00  	        0.00000E+00  	        1.70541E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.10575E-14  	        4.84327E-20  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.00000E-03  	        1.49988E+03  	        2.34456E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        5.73915E-20  	        0.00000E+00  	        6.64979E-22  	        0.00000E+00  	        5.75698E-18  	        0.00000E+00  	        3.19688E-21  	        1.72554E-13  	        4.80762E-14  	        5.08136E-15  	        1.51495E-19  	        1.63520E-20  	        0.00000E+00  	        2.01400E-13  	        5.02061E-18  	        0.00000E+00  	        2.05672E-16  	        3.05121E-13  	        9.94448E-16  	        0.00000E+00  	        4.32310E-21  	        9.76568E-16  	        0.00000E+00  	        2.03510E-21  	        2.25383E-13  	        0.00000E+00  	        8.79270E-11  	        1.20740E-16  	        6.42891E-20  	        2.02110E-14  	        3.92764E-13  	        1.89431E-13  	        5.56622E-18  	        4.65361E-16  	        0.00000E+00  	        1.38023E-16  	        6.37648E-14  	        3.82571E-13  	        1.31346E-14  	        2.08940E-11  	        0.00000E+00  	        3.02719E-17  	        3.44341E-16  	        1.10237E-13  	        2.15124E-15  	        2.61092E-15  	        4.16901E-21  	        7.19992E-13  	        0.00000E+00  	        3.56737E-12  	        2.15454E-16  	        2.10035E-01  	        3.74775E-08  	        8.75206E-16  	        0.00000E+00  	        1.28770E-13  	        1.61908E-11  	        4.26593E-12  	        0.00000E+00  	        1.71815E-15  	        7.89965E-01  	        5.75280E-15  	        5.60658E-13  	        7.60406E-13  	        7.54256E-14  	        1.68208E-14  	        1.27413E-12  	        7.22570E-14  	        5.19510E-19  	        0.00000E+00  	        0.00000E+00  	        1.06778E-15  	        0.00000E+00  	        1.41090E-18  	        0.00000E+00  	        0.00000E+00  	        8.36650E-17  	        1.83590E-11  	        2.11678E-12  	        4.26657E-13  	        7.19311E-18  	        5.34907E-13  	        4.23987E-15  	        0.00000E+00  	        0.00000E+00  	        2.50126E-17  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.78994E-13  	        4.32914E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        5.86597E-22  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.50000E-03  	        1.49982E+03  	        2.34466E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        1.00894E-16  	        2.06107E-18  	        2.69677E-17  	        2.26326E-20  	        7.28831E-15  	        8.39092E-21  	        4.49033E-17  	        6.66941E-12  	        2.91719E-13  	        1.37085E-13  	        2.70114E-16  	        1.49043E-19  	        0.00000E+00  	        6.13043E-12  	        4.14676E-16  	        0.00000E+00  	        1.42686E-14  	        1.84512E-11  	        6.89661E-15  	        1.24005E-17  	        6.78221E-18  	        8.80636E-14  	        0.00000E+00  	        1.03958E-17  	        5.90042E-12  	        0.00000E+00  	        1.56806E-10  	        9.22872E-15  	        1.32828E-17  	        5.44292E-13  	        1.25550E-11  	        1.17269E-11  	        6.49058E-16  	        3.28781E-13  	        1.73484E-21  	        7.22797E-15  	        4.00520E-12  	        1.45832E-11  	        2.94179E-13  	        7.84930E-11  	        0.00000E+00  	        5.00833E-15  	        2.39984E-14  	        7.44823E-12  	        9.22032E-13  	        1.10713E-13  	        3.64988E-18  	        4.41430E-11  	        1.20566E-20  	        9.75149E-11  	        3.74568E-14  	        2.10035E-01  	        6.20162E-07  	        1.17458E-13  	        0.00000E+00  	        7.66406E-12  	        2.97819E-10  	        1.19399E-10  	        0.00000E+00  	        2.05854E-13  	        7.89964E-01  	        1.73742E-12  	        1.30494E-11  	        3.74042E-11  	        2.80737E-12  	        1.84012E-12  	        6.47816E-11  	        2.74249E-12  	        1.76795E-17  	        0.00000E+00  	        0.00000E+00  	        1.23026E-14  	        1.89417E-20  	        3.29956E-17  	        6.38984E-20  	        0.00000E+00  	        1.13524E-15  	        2.72451E-11  	        1.42693E-11  	        2.87853E-12  	        1.28155E-16  	        3.60388E-12  	        3.31586E-14  	        0.00000E+00  	        2.51125E-18  	        3.24743E-16  	        0.00000E+00  	        8.37945E-21  	        0.00000E+00  	        1.88060E-12  	        4.97223E-17  	        0.00000E+00  	        2.62162E-22  	        0.00000E+00  	        3.42456E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.47713E-18  	        6.80968E-20  	        0.00000E+00
        2.00000E-03  	        1.49976E+03  	        2.34475E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        1.58100E-14  	        4.70538E-17  	        1.27776E-15  	        9.00155E-19  	        9.78272E-13  	        2.05424E-17  	        7.52457E-15  	        8.18094E-11  	        1.11686E-12  	        2.45858E-12  	        3.77342E-14  	        7.40531E-17  	        0.00000E+00  	        1.25062E-10  	        7.68208E-15  	        0.00000E+00  	        2.59577E-13  	        3.17811E-10  	        2.83612E-14  	        2.78305E-15  	        2.50005E-16  	        2.01719E-12  	        4.87469E-23  	        2.50706E-15  	        1.12525E-10  	        0.00000E+00  	        6.87346E-10  	        1.82573E-13  	        2.72959E-16  	        8.52989E-12  	        1.75683E-10  	        1.92627E-10  	        1.59232E-14  	        2.96775E-11  	        2.32593E-17  	        1.30211E-13  	        6.71670E-11  	        3.01997E-10  	        2.33781E-12  	        1.97284E-10  	        0.00000E+00  	        1.64379E-13  	        4.36743E-13  	        1.31400E-10  	        7.29032E-11  	        2.06771E-12  	        2.25822E-16  	        7.64789E-10  	        5.43134E-17  	        1.66924E-09  	        1.22666E-12  	        2.10034E-01  	        4.30957E-06  	        3.56561E-12  	        0.00000E+00  	        3.83910E-10  	        2.54195E-09  	        1.73098E-09  	        0.00000E+00  	        5.60089E-12  	        7.89961E-01  	        1.16648E-10  	        3.45295E-10  	        8.71126E-10  	        3.17851E-11  	        4.64424E-11  	        9.17987E-10  	        3.15169E-11  	        1.94442E-16  	        0.00000E+00  	        1.37524E-18  	        1.12609E-13  	        8.20939E-18  	        3.57422E-16  	        3.25158E-18  	        2.29589E-22  	        9.59350E-15  	        3.60840E-11  	        5.39150E-11  	        1.09015E-11  	        2.39719E-15  	        1.36363E-11  	        1.35122E-13  	        6.44469E-19  	        3.02315E-16  	        3.36286E-15  	        0.00000E+00  	        1.11493E-17  	        0.00000E+00  	        7.10186E-12  	        7.91435E-16  	        0.00000E+00  	        5.40151E-20  	        1.66173E-21  	        1.25986E-17  	        1.13415E-21  	        2.85656E-19  	        0.00000E+00  	        3.41170E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.49193E-16  	        9.29557E-18  	        0.00000E+00
        2.60000E-03  	        1.49967E+03  	        2.34487E-01  	        1.01325E+05  	        9.93193E-19  	        2.95854E-19  	        2.21194E-12  	        5.81962E-16  	        7.43109E-14  	        7.43603E-17  	        6.68734E-11  	        2.16397E-15  	        1.55166E-12  	        7.25280E-10  	        1.98567E-11  	        3.09345E-11  	        2.33548E-12  	        1.32803E-14  	        3.20942E-21  	        2.19670E-09  	        1.03566E-13  	        2.02888E-18  	        4.39011E-12  	        3.37740E-09  	        2.96180E-13  	        2.79081E-13  	        1.40538E-14  	        3.89793E-11  	        1.62519E-19  	        6.56875E-13  	        1.73582E-09  	        0.00000E+00  	        6.76907E-09  	        3.68039E-12  	        1.42100E-14  	        1.34570E-10  	        1.63140E-09  	        2.09766E-09  	        5.26852E-13  	        1.32092E-09  	        1.31603E-14  	        2.14396E-12  	        7.70135E-10  	        4.85350E-09  	        1.58286E-11  	        4.39788E-10  	        3.32490E-19  	        4.78108E-12  	        7.37683E-12  	        1.45531E-09  	        2.97357E-09  	        4.06741E-11  	        1.43539E-14  	        8.70568E-09  	        6.64670E-14  	        2.82202E-08  	        2.44636E-11  	        2.10031E-01  	        1.82304E-05  	        7.52245E-11  	        0.00000E+00  	        1.53114E-08  	        2.73802E-08  	        1.82013E-08  	        0.00000E+00  	        1.00085E-10  	        7.89950E-01  	        4.25747E-09  	        8.65796E-09  	        1.57858E-08  	        2.33986E-10  	        7.00250E-10  	        7.85727E-09  	        2.31977E-10  	        2.31991E-14  	        7.99595E-20  	        4.61577E-17  	        2.13319E-12  	        1.43339E-15  	        1.51775E-14  	        9.98428E-17  	        1.35439E-17  	        2.35036E-13  	        4.81206E-11  	        1.69723E-10  	        3.50795E-11  	        9.79598E-14  	        4.37620E-11  	        4.53308E-13  	        3.98501E-17  	        2.61656E-14  	        6.94692E-14  	        3.33585E-18  	        2.75082E-15  	        6.96782E-20  	        2.21960E-11  	        2.10767E-14  	        0.00000E+00  	        2.35038E-18  	        1.35993E-19  	        3.78642E-16  	        2.75722E-19  	        1.43794E-17  	        3.77859E-22  	        1.67515E-17  	        0.00000E+00  	        0.00000E+00  	        2.05608E-19  	        7.45011E-15  	        3.51930E-16  	        7.60754E-18
        3.10000E-03  	        1.49960E+03  	        2.34497E-01  	        1.01325E+05  	        6.09558E-17  	        8.17352E-17  	        9.10361E-11  	        5.78355E-15  	        1.97177E-12  	        2.12460E-16  	        9.06841E-10  	        5.71636E-14  	        5.48046E-11  	        3.09401E-09  	        7.30867E-10  	        1.55774E-10  	        2.91441E-11  	        6.30327E-13  	        1.06975E-17  	        2.34595E-08  	        1.01074E-12  	        2.08492E-15  	        4.81485E-11  	        1.10892E-08  	        1.09996E-11  	        5.49293E-12  	        1.87565E-13  	        3.10370E-10  	        3.02369E-18  	        1.30042E-11  	        1.35085E-08  	        0.00000E+00  	        4.22177E-08  	        4.51489E-11  	        4.82109E-13  	        1.64990E-09  	        6.24446E-09  	        8.20187E-09  	        1.58427E-11  	        1.26606E-08  	        6.51741E-13  	        2.53095E-11  	        3.41599E-09  	        3.18632E-08  	        5.42417E-11  	        7.72045E-10  	        5.34516E-17  	        4.75571E-11  	        5.71726E-11  	        6.87996E-09  	        2.57992E-08  	        5.95367E-10  	        2.87203E-13  	        3.83516E-08  	        4.64054E-12  	        2.52685E-07  	        1.51276E-10  	        2.10028E-01  	        3.12147E-05  	        5.02134E-10  	        0.00000E+00  	        1.39745E-07  	        1.90748E-07  	        7.58688E-08  	        1.73802E-18  	        5.67638E-10  	        7.89939E-01  	        2.81711E-08  	        6.58134E-08  	        1.03022E-07  	        8.19151E-10  	        3.37247E-09  	        2.30201E-08  	        8.16222E-10  	        5.08967E-13  	        8.06696E-18  	        5.37429E-16  	        1.31241E-11  	        3.77881E-14  	        3.61214E-13  	        8.33895E-16  	        1.71083E-16  	        3.32647E-12  	        6.73515E-11  	        3.36597E-10  	        8.08438E-11  	        1.52364E-12  	        9.43292E-11  	        9.94355E-13  	        4.11738E-16  	        4.97356E-13  	        6.29465E-13  	        1.92773E-16  	        6.51987E-14  	        1.94392E-18  	        4.21363E-11  	        1.79653E-13  	        0.00000E+00  	        2.72004E-17  	        1.25958E-18  	        3.69120E-15  	        4.22100E-18  	        1.41500E-16  	        1.52101E-19  	        2.55473E-15  	        6.89254E-20  	        3.14189E-22  	        6.70829E-17  	        8.71338E-14  	        3.38680E-15  	        2.96939E-16
        3.60000E-03  	        1.49955E+03  	        2.34505E-01  	        1.01325E+05  	        3.32966E-16  	        4.44067E-15  	        7.14885E-10  	        2.58685E-14  	        2.43453E-11  	        1.53859E-14  	        5.40716E-09  	        7.36858E-13  	        7.52615E-10  	        9.95099E-09  	        9.26130E-09  	        7.86713E-10  	        1.13886E-10  	        1.32374E-11  	        1.98583E-15  	        1.54525E-07  	        5.55546E-12  	        1.02401E-13  	        2.67596E-10  	        1.43707E-08  	        2.31249E-10  	        6.14798E-11  	        5.73152E-13  	        1.10119E-09  	        2.66683E-17  	        3.29976E-11  	        6.21059E-08  	        2.92812E-19  	        2.58670E-07  	        2.69516E-10  	        2.37100E-12  	        5.59411E-09  	        1.87989E-08  	        1.32015E-08  	        1.34114E-10  	        6.21738E-08  	        1.30643E-11  	        2.17526E-10  	        9.43192E-09  	        9.57253E-08  	        1.80600E-10  	        1.92532E-09  	        2.37129E-15  	        1.60759E-10  	        1.23282E-10  	        2.02022E-08  	        1.00556E-07  	        6.61108E-09  	        3.25866E-12  	        1.13081E-07  	        9.61160E-11  	        1.98655E-06  	        5.17284E-10  	        2.10025E-01  	        3.49735E-05  	        2.22941E-09  	        0.00000E+00  	        6.05524E-07  	        1.12256E-06  	        1.56591E-07  	        1.56216E-16  	        2.20888E-09  	        7.89934E-01  	        5.89453E-08  	        2.37982E-07  	        5.08046E-07  	        2.41632E-09  	        7.91742E-09  	        2.61896E-08  	        2.40962E-09  	        3.42466E-12  	        5.30097E-17  	        5.01042E-15  	        3.91890E-11  	        3.81578E-13  	        2.68568E-12  	        8.43080E-15  	        2.70912E-15  	        1.07901E-11  	        1.42350E-10  	        4.95942E-10  	        2.55913E-10  	        1.14190E-11  	        1.86497E-10  	        1.96311E-12  	        2.14902E-15  	        5.65218E-12  	        3.86187E-12  	        2.52496E-15  	        5.60122E-13  	        2.71729E-17  	        5.26870E-11  	        6.48732E-13  	        0.00000E+00  	        9.59690E-17  	        4.00842E-18  	        1.22403E-14  	        1.99445E-17  	        6.15440E-16  	        1.42873E-18  	        9.11384E-14  	        1.11727E-18  	        2.84042E-19  	        1.42427E-15  	        6.22539E-13  	        1.83621E-14  	        2.09220E-15
        4.10000E-03  	        1.49954E+03  	        2.34505E-01  	        1.01325E+05  	        4.28038E-16  	        2.66305E-14  	        1.46178E-09  	        2.18243E-14  	        5.21187E-11  	        2.31256E-14  	        1.16304E-08  	        1.62223E-12  	        1.71706E-09  	        2.51173E-08  	        2.96063E-08  	        1.49096E-09  	        1.99727E-10  	        3.48969E-11  	        3.82079E-14  	        2.68523E-07  	        7.71862E-12  	        3.90220E-13  	        3.57650E-10  	        2.05731E-08  	        9.10632E-10  	        2.03447E-10  	        2.64282E-13  	        1.89023E-09  	        1.37839E-16  	        2.85771E-11  	        6.91854E-08  	        4.98985E-18  	        1.31080E-06  	        2.74219E-10  	        2.55250E-12  	        6.40939E-09  	        5.72645E-08  	        1.08283E-08  	        1.79311E-10  	        1.47616E-07  	        6.80631E-11  	        4.51088E-10  	        1.97746E-08  	        9.98596E-08  	        3.08634E-10  	        5.52995E-09  	        2.39393E-14  	        3.33894E-10  	        6.53454E-11  	        1.92230E-08  	        1.66821E-07  	        3.16070E-08  	        1.67789E-11  	        1.41471E-07  	        3.69254E-10  	        8.53603E-06  	        9.96370E-10  	        2.10015E-01  	        4.03469E-05  	        9.52131E-09  	        0.00000E+00  	        1.09085E-06  	        4.95935E-06  	        1.25004E-07  	        1.39040E-15  	        7.81784E-09  	        7.89925E-01  	        9.03414E-08  	        3.52234E-07  	        1.60204E-06  	        6.04860E-09  	        1.14426E-08  	        1.96516E-08  	        6.03095E-09  	        4.24917E-12  	        3.04265E-17  	        2.33060E-14  	        4.38271E-11  	        7.56533E-13  	        3.93561E-12  	        4.64490E-14  	        1.40036E-14  	        6.73819E-12  	        5.09829E-10  	        4.69574E-10  	        8.86225E-10  	        2.59587E-11  	        3.06651E-10  	        3.23145E-12  	        4.04114E-15  	        2.74393E-11  	        1.52810E-11  	        4.96761E-15  	        1.32651E-12  	        9.16922E-17  	        4.22873E-11  	        5.69874E-13  	        0.00000E+00  	        8.14588E-17  	        2.66690E-18  	        1.10681E-14  	        1.80601E-17  	        6.49708E-16  	        1.13017E-15  	        5.46123E-13  	        3.83962E-16  	        1.88278E-18  	        2.73654E-15  	        1.97046E-12  	        2.57521E-14  	        2.39194E-15
        4.51475E-03  	        1.49960E+03  	        2.34495E-01  	        1.01325E+05  	        9.85759E-16  	        1.42284E-13  	        1.99845E-09  	        7.29863E-14  	        1.06061E-10  	        3.07723E-14  	        1.45446E-08  	        3.99555E-12  	        3.20453E-09  	        2.35614E-08  	        6.04601E-08  	        2.45585E-09  	        2.35888E-10  	        5.73167E-11  	        1.71773E-13  	        2.62110E-07  	        1.32909E-11  	        1.09892E-12  	        6.51604E-10  	        1.98180E-08  	        1.72796E-09  	        5.03242E-10  	        5.12918E-13  	        2.60450E-09  	        2.98889E-16  	        4.66926E-11  	        7.08415E-08  	        1.18476E-17  	        3.65012E-06  	        6.67782E-10  	        6.53604E-12  	        1.31433E-08  	        1.18083E-07  	        1.29610E-08  	        2.36801E-10  	        1.81395E-07  	        1.53595E-10  	        8.80155E-10  	        2.83926E-08  	        8.94932E-08  	        5.57382E-10  	        1.09187E-08  	        8.82633E-14  	        7.05160E-10  	        1.07530E-10  	        1.74986E-08  	        1.49797E-07  	        8.95531E-08  	        4.66056E-11  	        1.28704E-07  	        8.29760E-10  	        1.91607E-05  	        2.32336E-09  	        2.09995E-01  	        5.44324E-05  	        1.45550E-08  	        0.00000E+00  	        1.11653E-06  	        1.30694E-05  	        9.93591E-08  	        5.67864E-15  	        9.83130E-09  	        7.89908E-01  	        6.51680E-08  	        2.95857E-07  	        3.12467E-06  	        4.96274E-09  	        1.16026E-08  	        1.98344E-08  	        4.94738E-09  	        1.02189E-11  	        8.14691E-18  	        6.70336E-14  	        3.22824E-11  	        9.85212E-13  	        3.72569E-12  	        9.84770E-14  	        3.92282E-14  	        4.33019E-12  	        1.56633E-09  	        3.67584E-10  	        1.81463E-09  	        2.72892E-11  	        3.66983E-10  	        3.98738E-12  	        8.62338E-15  	        5.75626E-11  	        3.12429E-11  	        1.35405E-14  	        1.68362E-12  	        2.25164E-16  	        3.06510E-11  	        6.50400E-13  	        0.00000E+00  	        9.47333E-17  	        2.74065E-18  	        1.62400E-14  	        2.64116E-17  	        8.88828E-16  	        1.30486E-15  	        1.24597E-12  	        3.12221E-16  	        5.06359E-18  	        9.49235E-15  	        2.76539E-12  	        2.09608E-14  	        2.08409E-15
        5.00517E-03  	        1.49979E+03  	        2.34464E-01  	        1.01325E+05  	        1.81178E-15  	        1.51545E-12  	        1.82007E-09  	        2.78772E-13  	        2.78338E-10  	        9.14893E-15  	        1.14269E-08  	        1.57579E-11  	        5.33631E-09  	        1.45947E-08  	        9.10802E-08  	        2.73475E-09  	        1.13406E-10  	        1.01524E-10  	        5.02833E-13  	        1.80417E-07  	        1.52386E-11  	        1.07079E-12  	        9.59332E-10  	        1.38082E-08  	        2.47206E-09  	        8.42029E-10  	        1.30158E-12  	        2.15711E-09  	        2.36309E-16  	        5.66339E-11  	        7.53402E-08  	        1.44242E-17  	        9.29298E-06  	        1.84955E-09  	        1.44903E-11  	        2.19340E-08  	        1.76390E-07  	        1.06024E-08  	        2.24367E-10  	        1.40425E-07  	        2.80878E-10  	        1.78075E-09  	        2.40724E-08  	        7.31097E-08  	        6.07392E-10  	        1.10598E-08  	        2.14779E-13  	        5.41942E-10  	        1.67216E-10  	        1.64189E-08  	        7.87113E-08  	        2.78779E-07  	        8.52248E-11  	        9.03360E-08  	        8.06683E-10  	        3.63467E-05  	        2.32274E-09  	        2.09951E-01  	        8.63496E-05  	        1.13514E-08  	        0.00000E+00  	        9.41082E-07  	        3.42623E-05  	        7.53571E-08  	        2.81263E-14  	        6.55337E-09  	        7.89874E-01  	        3.13545E-08  	        1.76033E-07  	        6.04554E-06  	        2.75767E-09  	        8.71971E-09  	        1.50068E-08  	        2.75245E-09  	        3.26385E-11  	        1.22312E-17  	        2.18285E-13  	        2.17851E-11  	        1.41381E-12  	        2.97537E-12  	        2.05903E-13  	        1.35211E-13  	        2.81402E-12  	        4.80378E-09  	        2.52895E-10  	        3.50803E-09  	        2.29380E-11  	        3.47340E-10  	        3.96663E-12  	        2.49445E-14  	        8.41805E-11  	        4.16345E-11  	        9.24486E-14  	        1.89744E-12  	        8.62672E-16  	        2.01529E-11  	        5.70589E-13  	        0.00000E+00  	        5.39500E-17  	        1.58383E-18  	        1.68522E-14  	        2.65640E-17  	        1.35641E-15  	        4.41538E-15  	        1.74544E-12  	        1.53603E-16  	        4.51747E-18  	        4.44371E-14  	        2.69954E-12  	        1.30761E-14  	        3.96481E-15
