x[cm]_2	X-NO_2
3.014910E-02	1.377850E-03
5.255780E-02	2.778570E-03
6.803670E-02	4.004490E-03
7.996360E-02	5.132730E-03
8.974660E-02	6.201480E-03
9.814670E-02	7.238750E-03
1.056250E-01	8.267530E-03
1.123260E-01	9.280670E-03
1.184560E-01	1.028760E-02
1.241090E-01	1.128990E-02
1.293800E-01	1.229270E-02
1.343320E-01	1.329910E-02
1.388900E-01	1.428430E-02
1.432140E-01	1.527430E-02
1.473430E-01	1.627260E-02
1.512000E-01	1.725450E-02
1.549080E-01	1.824580E-02
1.584600E-01	1.924080E-02
1.617960E-01	2.021770E-02
1.650380E-01	2.120800E-02
1.681770E-01	2.220700E-02
1.711170E-01	2.317990E-02
1.739590E-01	2.415570E-02
1.767570E-01	2.515210E-02
1.794330E-01	2.613860E-02
1.819920E-01	2.711440E-02
1.845150E-01	2.810790E-02
1.869860E-01	2.911230E-02
1.893430E-01	3.010010E-02
1.916270E-01	3.108610E-02
1.939010E-01	3.209650E-02
1.961300E-01	3.311550E-02
1.982650E-01	3.411900E-02
2.003480E-01	3.512430E-02
2.024270E-01	3.615450E-02
2.044740E-01	3.719550E-02
2.064500E-01	3.822580E-02
2.083780E-01	3.925620E-02
2.102980E-01	4.030760E-02
2.122030E-01	4.137420E-02
2.140570E-01	4.243490E-02
2.158600E-01	4.348680E-02
2.176450E-01	4.454900E-02
2.194290E-01	4.563190E-02
2.211870E-01	4.671930E-02
2.228880E-01	4.779150E-02
2.245570E-01	4.886250E-02
2.262230E-01	4.995110E-02
2.278850E-01	5.105700E-02
2.295180E-01	5.216250E-02
2.311020E-01	5.325280E-02
2.326620E-01	5.434520E-02
2.342220E-01	5.545560E-02
2.357800E-01	5.658240E-02
2.373110E-01	5.770820E-02
2.387980E-01	5.881880E-02
2.402640E-01	5.993060E-02
2.417310E-01	6.105950E-02
2.431970E-01	6.220560E-02
2.446440E-01	6.335400E-02
2.460520E-01	6.448750E-02
2.474370E-01	6.561810E-02
2.488190E-01	6.676280E-02
2.502010E-01	6.792370E-02
2.515740E-01	6.909350E-02
2.529210E-01	7.025590E-02
2.542380E-01	7.140830E-02
2.555440E-01	7.256680E-02
2.568510E-01	7.374050E-02
2.581580E-01	7.492960E-02
2.594510E-01	7.612140E-02
2.607130E-01	7.729960E-02
2.619550E-01	7.847340E-02
2.631930E-01	7.965840E-02
2.644320E-01	8.085790E-02
2.656710E-01	8.207210E-02
2.668940E-01	8.328610E-02
2.680880E-01	8.448410E-02
2.692650E-01	8.567980E-02
2.704430E-01	8.688870E-02
2.716200E-01	8.811150E-02
2.727970E-01	8.934810E-02
2.739610E-01	9.058500E-02
2.750980E-01	9.180660E-02
2.762210E-01	9.302560E-02
2.773420E-01	9.425660E-02
2.784640E-01	9.550090E-02
2.795860E-01	9.675850E-02
2.806980E-01	9.801920E-02
2.817890E-01	9.926850E-02
2.828640E-01	1.005120E-01
2.839360E-01	1.017640E-01
2.850080E-01	1.030290E-01
2.860790E-01	1.043060E-01
2.871470E-01	1.055920E-01
2.882010E-01	1.068730E-01
2.892360E-01	1.081440E-01
2.902630E-01	1.094170E-01
2.912900E-01	1.107030E-01
2.923180E-01	1.120010E-01
2.933450E-01	1.133120E-01
2.943650E-01	1.146250E-01
2.953680E-01	1.159290E-01
2.963590E-01	1.172290E-01
2.973490E-01	1.185370E-01
2.983370E-01	1.198580E-01
2.993260E-01	1.211910E-01
3.003150E-01	1.225340E-01
3.012950E-01	1.238790E-01
3.022590E-01	1.252130E-01
3.032150E-01	1.265480E-01
3.041710E-01	1.278940E-01
3.051280E-01	1.292530E-01
3.060840E-01	1.306220E-01
3.070390E-01	1.320020E-01
3.079860E-01	1.333820E-01
3.089200E-01	1.347550E-01
3.098490E-01	1.361310E-01
3.107780E-01	1.375190E-01
3.117070E-01	1.389180E-01
3.126360E-01	1.403290E-01
3.135640E-01	1.417490E-01
3.144840E-01	1.431700E-01
3.153940E-01	1.445860E-01
3.163000E-01	1.460070E-01
3.172050E-01	1.474370E-01
3.181110E-01	1.488770E-01
3.190160E-01	1.503270E-01
3.199210E-01	1.517860E-01
3.208200E-01	1.532450E-01
3.217090E-01	1.546980E-01
3.225940E-01	1.561540E-01
3.234790E-01	1.576200E-01
3.243640E-01	1.590950E-01
3.252490E-01	1.605800E-01
3.261340E-01	1.620740E-01
3.270140E-01	1.635710E-01
3.278850E-01	1.650610E-01
3.287520E-01	1.665530E-01
3.296180E-01	1.680540E-01
3.304840E-01	1.695650E-01
3.313510E-01	1.710860E-01
3.322170E-01	1.726160E-01
3.330800E-01	1.741500E-01
3.339360E-01	1.756800E-01
3.347860E-01	1.772100E-01
3.356360E-01	1.787480E-01
3.364860E-01	1.802960E-01
3.373350E-01	1.818530E-01
3.381850E-01	1.834190E-01
3.390330E-01	1.849920E-01
3.398740E-01	1.865630E-01
3.407110E-01	1.881340E-01
3.415460E-01	1.897110E-01
3.423800E-01	1.912970E-01
3.432150E-01	1.928920E-01
3.440500E-01	1.944970E-01
