[ms]_0	C-NO_0	C-OH_0
1.00000E-08	1.30951E-25	1.25710E-19
2.00000E-08	3.93462E-25	3.77130E-19
3.00000E-08	7.88141E-25	7.54259E-19
6.10205E-08	2.86841E-24	2.73058E-18
9.20410E-08	6.10071E-24	5.78215E-18
1.23062E-07	1.05954E-23	9.99859E-18
1.54082E-07	1.64012E-23	1.54097E-17
2.19474E-07	3.30909E-23	3.07746E-17
3.38561E-07	7.95536E-23	7.25561E-17
5.17882E-07	1.90746E-22	1.69094E-16
6.97203E-07	3.54149E-22	3.06045E-16
8.76524E-07	5.73150E-22	4.83413E-16
1.26139E-06	1.24897E-21	1.00053E-15
1.64625E-06	2.23015E-21	1.70381E-15
2.03111E-06	3.55041E-21	2.59321E-15
2.41597E-06	5.24516E-21	3.66872E-15
2.80083E-06	7.34955E-21	4.93030E-15
3.18570E-06	9.89829E-21	6.37793E-15
3.87220E-06	1.56554E-20	9.42199E-15
4.55871E-06	2.31301E-20	1.30577E-14
5.24521E-06	3.25165E-20	1.72849E-14
5.93171E-06	4.40080E-20	2.21034E-14
7.06624E-06	6.81282E-20	3.13617E-14
8.20077E-06	9.93932E-20	4.22331E-14
9.33529E-06	1.38668E-19	5.47162E-14
1.04698E-05	1.86814E-19	6.88100E-14
1.16044E-05	2.44689E-19	8.45131E-14
1.27389E-05	3.13148E-19	1.01824E-13
1.38734E-05	3.93041E-19	1.20742E-13
1.58543E-05	5.62484E-19	1.57621E-13
1.78352E-05	7.73854E-19	1.99386E-13
1.98162E-05	1.03161E-18	2.46030E-13
2.17971E-05	1.34017E-18	2.97545E-13
2.37780E-05	1.70392E-18	3.53922E-13
2.57589E-05	2.12725E-18	4.15154E-13
2.77399E-05	2.61447E-18	4.81233E-13
2.97208E-05	3.16990E-18	5.52148E-13
3.17017E-05	3.79781E-18	6.27893E-13
3.36826E-05	4.50245E-18	7.08458E-13
3.69043E-05	5.82322E-18	8.49757E-13
4.01260E-05	7.37611E-18	1.00374E-12
4.33477E-05	9.17895E-18	1.17038E-12
4.65694E-05	1.12494E-17	1.34963E-12
4.97911E-05	1.36049E-17	1.54145E-12
5.50095E-05	1.80695E-17	1.87875E-12
6.02280E-05	2.34000E-17	2.24877E-12
6.54465E-05	2.96679E-17	2.65136E-12
7.06650E-05	3.69437E-17	3.08636E-12
7.58835E-05	4.52971E-17	3.55361E-12
