T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	4.622680E+01
1.025000E+03	9.756100E-01	2.719910E+01
1.050000E+03	9.523810E-01	1.610980E+01
1.075000E+03	9.302330E-01	9.536210E+00
1.100000E+03	9.090910E-01	5.611620E+00
1.125000E+03	8.888890E-01	3.267370E+00
1.150000E+03	8.695650E-01	1.887770E+00
1.175000E+03	8.510640E-01	1.095190E+00
1.200000E+03	8.333330E-01	6.581180E-01
1.225000E+03	8.163270E-01	4.229800E-01
1.250000E+03	8.000000E-01	2.890720E-01
1.275000E+03	7.843140E-01	2.054750E-01
1.300000E+03	7.692310E-01	1.502810E-01
1.325000E+03	7.547170E-01	1.115050E-01
1.350000E+03	7.407410E-01	8.473290E-02
1.375000E+03	7.272730E-01	6.520430E-02
1.400000E+03	7.142860E-01	5.104050E-02
1.425000E+03	7.017540E-01	4.055600E-02
1.450000E+03	6.896550E-01	3.200600E-02
1.475000E+03	6.779660E-01	2.591040E-02
1.500000E+03	6.666670E-01	2.090590E-02
1.525000E+03	6.557380E-01	1.787930E-02
1.550000E+03	6.451610E-01	1.428180E-02
1.575000E+03	6.349210E-01	1.243220E-02
1.600000E+03	6.250000E-01	9.791460E-03
1.625000E+03	6.153850E-01	8.198140E-03
1.650000E+03	6.060610E-01	6.910290E-03
1.675000E+03	5.970150E-01	6.151800E-03
1.700000E+03	5.882350E-01	5.416420E-03
