T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	5.357520E+01
1.025000E+03	9.756100E-01	3.335050E+01
1.050000E+03	9.523810E-01	2.105020E+01
1.075000E+03	9.302330E-01	1.334390E+01
1.100000E+03	9.090910E-01	8.489550E+00
1.125000E+03	8.888890E-01	5.414860E+00
1.150000E+03	8.695650E-01	3.466660E+00
1.175000E+03	8.510640E-01	2.254450E+00
1.200000E+03	8.333330E-01	1.510460E+00
1.225000E+03	8.163270E-01	1.039650E+00
1.250000E+03	8.000000E-01	7.377490E-01
1.275000E+03	7.843140E-01	5.270670E-01
1.300000E+03	7.692310E-01	3.974490E-01
1.325000E+03	7.547170E-01	2.841860E-01
1.350000E+03	7.407410E-01	2.111040E-01
1.375000E+03	7.272730E-01	1.682690E-01
1.400000E+03	7.142860E-01	1.355290E-01
1.425000E+03	7.017540E-01	1.017290E-01
1.450000E+03	6.896550E-01	8.164400E-02
1.475000E+03	6.779660E-01	6.079420E-02
1.500000E+03	6.666670E-01	4.661210E-02
1.525000E+03	6.557380E-01	4.410370E-02
1.550000E+03	6.451610E-01	2.914260E-02
1.575000E+03	6.349210E-01	2.262030E-02
1.600000E+03	6.250000E-01	1.993780E-02
1.625000E+03	6.153850E-01	1.648530E-02
1.650000E+03	6.060610E-01	1.286670E-02
1.675000E+03	5.970150E-01	1.155920E-02
1.700000E+03	5.882350E-01	8.242920E-03
