T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	6.840120E+01
1.025000E+03	9.756100E-01	4.021960E+01
1.050000E+03	9.523810E-01	2.385560E+01
1.075000E+03	9.302330E-01	1.419580E+01
1.100000E+03	9.090910E-01	8.462750E+00
1.125000E+03	8.888890E-01	5.082230E+00
1.150000E+03	8.695650E-01	3.120440E+00
1.175000E+03	8.510640E-01	1.999440E+00
1.200000E+03	8.333330E-01	1.344630E+00
1.225000E+03	8.163270E-01	9.443760E-01
1.250000E+03	8.000000E-01	6.800100E-01
1.275000E+03	7.843140E-01	5.026590E-01
1.300000E+03	7.692310E-01	3.762080E-01
1.325000E+03	7.547170E-01	2.860530E-01
1.350000E+03	7.407410E-01	2.199130E-01
1.375000E+03	7.272730E-01	1.724240E-01
1.400000E+03	7.142860E-01	1.397310E-01
1.425000E+03	7.017540E-01	1.087640E-01
1.450000E+03	6.896550E-01	8.790180E-02
1.475000E+03	6.779660E-01	7.222420E-02
1.500000E+03	6.666670E-01	6.018880E-02
1.525000E+03	6.557380E-01	5.001060E-02
1.550000E+03	6.451610E-01	4.206870E-02
1.575000E+03	6.349210E-01	3.559510E-02
1.600000E+03	6.250000E-01	2.919490E-02
1.625000E+03	6.153850E-01	2.477960E-02
1.650000E+03	6.060610E-01	2.116820E-02
1.675000E+03	5.970150E-01	1.822340E-02
1.700000E+03	5.882350E-01	1.619780E-02
