T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	9.753200E+01
1.025000E+03	9.756100E-01	5.301220E+01
1.050000E+03	9.523810E-01	2.827170E+01
1.075000E+03	9.302330E-01	1.454490E+01
1.100000E+03	9.090910E-01	7.315270E+00
1.125000E+03	8.888890E-01	3.683060E+00
1.150000E+03	8.695650E-01	2.008200E+00
1.175000E+03	8.510640E-01	1.207300E+00
1.200000E+03	8.333330E-01	8.351830E-01
1.225000E+03	8.163270E-01	5.920290E-01
1.250000E+03	8.000000E-01	4.201580E-01
1.275000E+03	7.843140E-01	2.975990E-01
1.300000E+03	7.692310E-01	2.446430E-01
1.325000E+03	7.547170E-01	1.819160E-01
1.350000E+03	7.407410E-01	1.423170E-01
1.375000E+03	7.272730E-01	1.103590E-01
1.400000E+03	7.142860E-01	8.779150E-02
1.425000E+03	7.017540E-01	5.869610E-02
1.450000E+03	6.896550E-01	4.698160E-02
1.475000E+03	6.779660E-01	3.414170E-02
1.500000E+03	6.666670E-01	3.010050E-02
1.525000E+03	6.557380E-01	2.513560E-02
1.550000E+03	6.451610E-01	2.010120E-02
1.575000E+03	6.349210E-01	1.555170E-02
1.600000E+03	6.250000E-01	1.615400E-02
1.625000E+03	6.153850E-01	1.465780E-02
1.650000E+03	6.060610E-01	1.243100E-02
1.675000E+03	5.970150E-01	1.139680E-02
1.700000E+03	5.882350E-01	1.029780E-02
