T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	2.766850E+01
1.025000E+03	9.756100E-01	1.641330E+01
1.050000E+03	9.523810E-01	9.591720E+00
1.075000E+03	9.302330E-01	5.545220E+00
1.100000E+03	9.090910E-01	3.096300E+00
1.125000E+03	8.888890E-01	1.627180E+00
1.150000E+03	8.695650E-01	8.284250E-01
1.175000E+03	8.510640E-01	4.529340E-01
1.200000E+03	8.333330E-01	2.811840E-01
1.225000E+03	8.163270E-01	1.911880E-01
1.250000E+03	8.000000E-01	1.383490E-01
1.275000E+03	7.843140E-01	1.045230E-01
1.300000E+03	7.692310E-01	8.177270E-02
1.325000E+03	7.547170E-01	6.551130E-02
1.350000E+03	7.407410E-01	5.348460E-02
1.375000E+03	7.272730E-01	4.480470E-02
1.400000E+03	7.142860E-01	3.796890E-02
1.425000E+03	7.017540E-01	3.197390E-02
1.450000E+03	6.896550E-01	2.793880E-02
1.475000E+03	6.779660E-01	2.415280E-02
1.500000E+03	6.666670E-01	2.108780E-02
1.525000E+03	6.557380E-01	1.865300E-02
1.550000E+03	6.451610E-01	1.682910E-02
