T[K]        	1000/T[1/K]  	IDT[ms]     
1.300000E+03	7.692310E-01	9.590320E+00
1.325000E+03	7.547170E-01	7.178520E+00
1.350000E+03	7.407410E-01	5.397130E+00
1.375000E+03	7.272730E-01	4.076430E+00
1.400000E+03	7.142860E-01	3.093420E+00
1.425000E+03	7.017540E-01	2.357960E+00
1.450000E+03	6.896550E-01	1.806720E+00
1.475000E+03	6.779660E-01	1.390680E+00
1.500000E+03	6.666670E-01	1.076990E+00
1.525000E+03	6.557380E-01	8.385680E-01
1.550000E+03	6.451610E-01	6.569870E-01
1.575000E+03	6.349210E-01	5.177180E-01
1.600000E+03	6.250000E-01	4.108940E-01
1.625000E+03	6.153850E-01	3.284880E-01
1.650000E+03	6.060610E-01	2.644370E-01
1.675000E+03	5.970150E-01	2.144800E-01
1.700000E+03	5.882350E-01	1.750850E-01
1.725000E+03	5.797100E-01	1.440400E-01
1.750000E+03	5.714290E-01	1.195070E-01
1.775000E+03	5.633800E-01	1.001830E-01
1.800000E+03	5.555560E-01	8.414800E-02
1.825000E+03	5.479450E-01	7.085530E-02
1.850000E+03	5.405410E-01	6.061800E-02
1.875000E+03	5.333330E-01	5.208180E-02
1.900000E+03	5.263160E-01	4.522030E-02
1.925000E+03	5.194810E-01	3.879920E-02
1.950000E+03	5.128210E-01	3.438670E-02
1.975000E+03	5.063290E-01	2.974120E-02
2.000000E+03	5.000000E-01	2.627710E-02
