T[K]        	1000/T[1/K]  	IDT[ms]     
1.500000E+03	6.666670E-01	9.418540E+00
1.525000E+03	6.557380E-01	7.130910E+00
1.550000E+03	6.451610E-01	5.431260E+00
1.575000E+03	6.349210E-01	4.168430E+00
1.600000E+03	6.250000E-01	3.225040E+00
1.625000E+03	6.153850E-01	2.529350E+00
1.650000E+03	6.060610E-01	1.997290E+00
1.675000E+03	5.970150E-01	1.594320E+00
1.700000E+03	5.882350E-01	1.284860E+00
1.725000E+03	5.797100E-01	1.047800E+00
1.750000E+03	5.714290E-01	8.520240E-01
1.775000E+03	5.633800E-01	7.132630E-01
1.800000E+03	5.555560E-01	5.886850E-01
1.825000E+03	5.479450E-01	4.937410E-01
1.850000E+03	5.405410E-01	4.173930E-01
1.875000E+03	5.333330E-01	3.560620E-01
1.900000E+03	5.263160E-01	3.044390E-01
1.925000E+03	5.194810E-01	2.632160E-01
1.950000E+03	5.128210E-01	2.298330E-01
1.975000E+03	5.063290E-01	2.007600E-01
2.000000E+03	5.000000E-01	1.746670E-01
2.025000E+03	4.938270E-01	1.525560E-01
2.050000E+03	4.878050E-01	1.398450E-01
2.075000E+03	4.819280E-01	1.261120E-01
2.100000E+03	4.761900E-01	1.080690E-01
2.125000E+03	4.705880E-01	9.847990E-02
2.150000E+03	4.651160E-01	0.000000E+00
2.175000E+03	4.597700E-01	0.000000E+00
2.200000E+03	4.545450E-01	0.000000E+00
2.225000E+03	4.494380E-01	0.000000E+00
2.250000E+03	4.444440E-01	0.000000E+00
