T[K]        	1000/T[1/K]  	IDT[ms]     
1.500000E+03	6.666670E-01	6.656660E+00
1.525000E+03	6.557380E-01	5.030370E+00
1.550000E+03	6.451610E-01	3.841930E+00
1.575000E+03	6.349210E-01	2.948880E+00
1.600000E+03	6.250000E-01	2.275770E+00
1.625000E+03	6.153850E-01	1.781250E+00
1.650000E+03	6.060610E-01	1.393740E+00
1.675000E+03	5.970150E-01	1.106810E+00
1.700000E+03	5.882350E-01	8.874200E-01
1.725000E+03	5.797100E-01	7.125430E-01
1.750000E+03	5.714290E-01	5.816910E-01
1.775000E+03	5.633800E-01	4.756550E-01
1.800000E+03	5.555560E-01	3.918790E-01
1.825000E+03	5.479450E-01	3.262100E-01
1.850000E+03	5.405410E-01	2.742730E-01
1.875000E+03	5.333330E-01	2.333260E-01
1.900000E+03	5.263160E-01	1.982680E-01
1.925000E+03	5.194810E-01	1.669320E-01
1.950000E+03	5.128210E-01	1.448710E-01
1.975000E+03	5.063290E-01	1.273580E-01
2.000000E+03	5.000000E-01	1.112820E-01
2.025000E+03	4.938270E-01	9.471770E-02
2.050000E+03	4.878050E-01	8.729890E-02
2.075000E+03	4.819280E-01	7.373150E-02
2.100000E+03	4.761900E-01	6.823890E-02
2.125000E+03	4.705880E-01	5.842740E-02
2.150000E+03	4.651160E-01	5.215340E-02
2.175000E+03	4.597700E-01	4.640650E-02
2.200000E+03	4.545450E-01	0.000000E+00
2.225000E+03	4.494380E-01	0.000000E+00
2.250000E+03	4.444440E-01	0.000000E+00
