phi         	LBV         
3.999930E-01	5.444240E+01
4.499930E-01	6.988670E+01
4.999810E-01	8.416830E+01
5.499980E-01	9.703520E+01
5.999960E-01	1.083800E+02
6.500030E-01	1.182940E+02
6.999820E-01	1.266360E+02
7.499800E-01	1.335860E+02
8.000080E-01	1.391420E+02
8.500070E-01	1.433640E+02
9.000080E-01	1.463300E+02
9.499930E-01	1.480950E+02
1.000000E+00	1.487160E+02
1.049990E+00	1.482460E+02
1.099990E+00	1.467360E+02
1.150010E+00	1.442250E+02
1.200010E+00	1.407750E+02
1.250020E+00	1.364310E+02
1.300030E+00	1.311940E+02
1.350010E+00	1.252090E+02
1.399960E+00	1.184040E+02
1.450010E+00	1.109430E+02
1.499990E+00	1.028550E+02
1.550000E+00	9.442640E+01
1.599960E+00	8.566390E+01
