phi         	LBV         
3.999930E-01	5.482430E+01
4.499930E-01	7.030500E+01
4.999810E-01	8.459480E+01
5.499980E-01	9.747190E+01
5.999960E-01	1.088100E+02
6.500030E-01	1.186800E+02
6.999820E-01	1.270190E+02
7.499800E-01	1.339470E+02
8.000080E-01	1.394720E+02
8.500070E-01	1.436870E+02
9.000080E-01	1.466330E+02
9.499930E-01	1.483880E+02
1.000000E+00	1.489940E+02
1.049990E+00	1.485140E+02
1.099990E+00	1.469980E+02
1.150010E+00	1.444880E+02
1.200010E+00	1.410350E+02
1.250020E+00	1.366770E+02
1.300030E+00	1.314720E+02
1.350010E+00	1.254830E+02
1.399960E+00	1.187640E+02
1.450010E+00	1.113050E+02
1.499990E+00	1.033080E+02
1.550000E+00	9.485100E+01
1.599960E+00	8.617140E+01
