T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	4.391810E+01
1.025000E+03	9.756100E-01	2.897990E+01
1.050000E+03	9.523810E-01	1.926260E+01
1.075000E+03	9.302330E-01	1.285640E+01
1.100000E+03	9.090910E-01	8.608720E+00
1.125000E+03	8.888890E-01	5.786800E+00
1.150000E+03	8.695650E-01	3.914410E+00
1.175000E+03	8.510640E-01	2.672480E+00
1.200000E+03	8.333330E-01	1.846420E+00
1.225000E+03	8.163270E-01	1.295660E+00
1.250000E+03	8.000000E-01	9.257260E-01
1.275000E+03	7.843140E-01	6.738450E-01
1.300000E+03	7.692310E-01	5.004670E-01
1.325000E+03	7.547170E-01	3.796070E-01
1.350000E+03	7.407410E-01	2.929920E-01
1.375000E+03	7.272730E-01	2.303350E-01
1.400000E+03	7.142860E-01	1.843200E-01
1.425000E+03	7.017540E-01	1.489950E-01
1.450000E+03	6.896550E-01	1.226440E-01
1.475000E+03	6.779660E-01	1.019720E-01
1.500000E+03	6.666670E-01	8.541470E-02
1.525000E+03	6.557380E-01	7.226460E-02
1.550000E+03	6.451610E-01	6.185360E-02
1.575000E+03	6.349210E-01	5.294340E-02
1.600000E+03	6.250000E-01	4.659250E-02
1.625000E+03	6.153850E-01	4.029080E-02
1.650000E+03	6.060610E-01	3.584030E-02
1.675000E+03	5.970150E-01	3.152270E-02
1.700000E+03	5.882350E-01	2.797780E-02
1.725000E+03	5.797100E-01	2.472730E-02
1.750000E+03	5.714290E-01	2.238690E-02
1.775000E+03	5.633800E-01	2.025680E-02
1.800000E+03	5.555560E-01	1.863470E-02
1.825000E+03	5.479450E-01	1.690530E-02
1.850000E+03	5.405410E-01	1.536920E-02
