T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	5.235940E+01
1.025000E+03	9.756100E-01	3.325960E+01
1.050000E+03	9.523810E-01	2.122080E+01
1.075000E+03	9.302330E-01	1.353690E+01
1.100000E+03	9.090910E-01	8.616020E+00
1.125000E+03	8.888890E-01	5.473520E+00
1.150000E+03	8.695650E-01	3.484420E+00
1.175000E+03	8.510640E-01	2.232310E+00
1.200000E+03	8.333330E-01	1.447220E+00
1.225000E+03	8.163270E-01	9.545670E-01
1.250000E+03	8.000000E-01	6.430770E-01
1.275000E+03	7.843140E-01	4.437590E-01
1.300000E+03	7.692310E-01	3.139090E-01
1.325000E+03	7.547170E-01	2.273400E-01
1.350000E+03	7.407410E-01	1.682810E-01
1.375000E+03	7.272730E-01	1.270800E-01
1.400000E+03	7.142860E-01	9.768550E-02
1.425000E+03	7.017540E-01	7.612680E-02
1.450000E+03	6.896550E-01	6.014270E-02
1.475000E+03	6.779660E-01	4.807790E-02
1.500000E+03	6.666670E-01	3.875720E-02
1.525000E+03	6.557380E-01	3.152110E-02
1.550000E+03	6.451610E-01	2.575020E-02
1.575000E+03	6.349210E-01	2.123220E-02
1.600000E+03	6.250000E-01	1.749900E-02
1.625000E+03	6.153850E-01	1.446260E-02
1.650000E+03	6.060610E-01	1.194060E-02
1.675000E+03	5.970150E-01	1.000060E-02
1.700000E+03	5.882350E-01	8.333450E-03
1.725000E+03	5.797100E-01	6.905030E-03
1.750000E+03	5.714290E-01	5.707630E-03
1.775000E+03	5.633800E-01	4.679200E-03
1.800000E+03	5.555560E-01	3.809810E-03
1.825000E+03	5.479450E-01	3.029880E-03
1.850000E+03	5.405410E-01	2.404470E-03
