T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	5.237390E+01
1.025000E+03	9.756100E-01	3.327450E+01
1.050000E+03	9.523810E-01	2.123430E+01
1.075000E+03	9.302330E-01	1.354910E+01
1.100000E+03	9.090910E-01	8.628070E+00
1.125000E+03	8.888890E-01	5.487480E+00
1.150000E+03	8.695650E-01	3.495990E+00
1.175000E+03	8.510640E-01	2.242890E+00
1.200000E+03	8.333330E-01	1.457390E+00
1.225000E+03	8.163270E-01	9.639140E-01
1.250000E+03	8.000000E-01	6.517360E-01
1.275000E+03	7.843140E-01	4.520770E-01
1.300000E+03	7.692310E-01	3.219240E-01
1.325000E+03	7.547170E-01	2.344480E-01
1.350000E+03	7.407410E-01	1.757970E-01
1.375000E+03	7.272730E-01	1.337660E-01
1.400000E+03	7.142860E-01	1.042760E-01
1.425000E+03	7.017540E-01	8.273960E-02
1.450000E+03	6.896550E-01	6.659500E-02
1.475000E+03	6.779660E-01	5.393840E-02
1.500000E+03	6.666670E-01	4.448690E-02
1.525000E+03	6.557380E-01	3.701660E-02
1.550000E+03	6.451610E-01	3.111830E-02
1.575000E+03	6.349210E-01	2.663990E-02
1.600000E+03	6.250000E-01	2.251600E-02
1.625000E+03	6.153850E-01	1.953430E-02
1.650000E+03	6.060610E-01	1.698280E-02
1.675000E+03	5.970150E-01	1.459900E-02
1.700000E+03	5.882350E-01	1.296290E-02
1.725000E+03	5.797100E-01	1.142880E-02
1.750000E+03	5.714290E-01	1.011520E-02
1.775000E+03	5.633800E-01	9.096320E-03
1.800000E+03	5.555560E-01	8.257950E-03
1.825000E+03	5.479450E-01	7.567530E-03
1.850000E+03	5.405410E-01	6.822890E-03
