T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	5.707800E+01
1.025000E+03	9.756100E-01	3.683890E+01
1.050000E+03	9.523810E-01	2.382150E+01
1.075000E+03	9.302330E-01	1.539180E+01
1.100000E+03	9.090910E-01	9.940200E+00
1.125000E+03	8.888890E-01	6.432770E+00
1.150000E+03	8.695650E-01	4.189150E+00
1.175000E+03	8.510640E-01	2.755170E+00
1.200000E+03	8.333330E-01	1.838120E+00
1.225000E+03	8.163270E-01	1.248770E+00
1.250000E+03	8.000000E-01	8.655430E-01
1.275000E+03	7.843140E-01	6.135330E-01
1.300000E+03	7.692310E-01	4.443630E-01
1.325000E+03	7.547170E-01	3.291800E-01
1.350000E+03	7.407410E-01	2.484390E-01
1.375000E+03	7.272730E-01	1.909230E-01
1.400000E+03	7.142860E-01	1.486260E-01
1.425000E+03	7.017540E-01	1.177100E-01
1.450000E+03	6.896550E-01	9.398000E-02
1.475000E+03	6.779660E-01	7.593410E-02
1.500000E+03	6.666670E-01	6.166690E-02
1.525000E+03	6.557380E-01	5.060590E-02
1.550000E+03	6.451610E-01	4.158330E-02
1.575000E+03	6.349210E-01	3.438700E-02
1.600000E+03	6.250000E-01	2.866580E-02
1.625000E+03	6.153850E-01	2.387210E-02
1.650000E+03	6.060610E-01	1.988160E-02
1.675000E+03	5.970150E-01	1.668470E-02
1.700000E+03	5.882350E-01	1.387100E-02
1.725000E+03	5.797100E-01	1.171420E-02
1.750000E+03	5.714290E-01	9.780200E-03
1.775000E+03	5.633800E-01	8.137740E-03
1.800000E+03	5.555560E-01	6.767320E-03
1.825000E+03	5.479450E-01	5.621510E-03
1.850000E+03	5.405410E-01	4.504430E-03
