T[K]        	1000/T[1/K]  	IDT[ms]     
1.000000E+03	1.000000E+00	5.479570E+01
1.025000E+03	9.756100E-01	3.870090E+01
1.050000E+03	9.523810E-01	2.710800E+01
1.075000E+03	9.302330E-01	1.996050E+01
1.100000E+03	9.090910E-01	1.446300E+01
1.125000E+03	8.888890E-01	1.039060E+01
1.150000E+03	8.695650E-01	7.936830E+00
1.175000E+03	8.510640E-01	5.804280E+00
1.200000E+03	8.333330E-01	4.183170E+00
1.225000E+03	8.163270E-01	3.092350E+00
1.250000E+03	8.000000E-01	2.280670E+00
1.275000E+03	7.843140E-01	1.707030E+00
1.300000E+03	7.692310E-01	1.225400E+00
1.325000E+03	7.547170E-01	9.153720E-01
1.350000E+03	7.407410E-01	7.083520E-01
1.375000E+03	7.272730E-01	5.737840E-01
1.400000E+03	7.142860E-01	4.445200E-01
1.425000E+03	7.017540E-01	3.487670E-01
1.450000E+03	6.896550E-01	2.715830E-01
1.475000E+03	6.779660E-01	2.146520E-01
1.500000E+03	6.666670E-01	1.885720E-01
1.525000E+03	6.557380E-01	1.399950E-01
1.550000E+03	6.451610E-01	1.182900E-01
1.575000E+03	6.349210E-01	1.070490E-01
1.600000E+03	6.250000E-01	8.177680E-02
1.625000E+03	6.153850E-01	6.833370E-02
1.650000E+03	6.060610E-01	6.648000E-02
1.675000E+03	5.970150E-01	5.187280E-02
1.700000E+03	5.882350E-01	4.809770E-02
1.725000E+03	5.797100E-01	4.420430E-02
1.750000E+03	5.714290E-01	3.749210E-02
1.775000E+03	5.633800E-01	3.440010E-02
1.800000E+03	5.555560E-01	2.919220E-02
1.825000E+03	5.479450E-01	2.368670E-02
1.850000E+03	5.405410E-01	2.163340E-02
