            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        1.460831E-16	        6.992848E-19	        3.660114E-16	        4.329540E-14	        5.309156E-14	        9.914494E-15	        1.574850E-15	        3.492965E-15	        6.275400E-15	        6.794045E-14	        1.559890E-13	        3.916690E-13	        4.683990E-15	        1.102061E-12	        5.354288E-26	        3.697829E-12	        1.394550E-12	        2.191160E-23	        5.473938E-12	        1.330945E-15	        1.989380E-15	        3.969062E-17	        3.008985E-13	        2.263091E-13	        3.776680E-22	        1.194311E-14	        3.729170E-12	        0.000000E+00	        4.239184E-10	        1.304109E-12	        1.011508E-14	        3.066352E-12	        9.147747E-11	        5.097774E-10	        3.827568E-16	        0.000000E+00	        5.548415E-17	        1.430424E-11	        1.564374E-10	        1.495622E-11	        2.205032E-10	        3.765250E-16	        3.188430E-25	        6.936662E-14	        7.525020E-12	        2.253180E-10	        3.772240E-20	        1.527886E-11	        2.007544E-17	        5.491938E-08	        3.124002E-19	        5.512840E-08	        3.997930E-13	        2.153217E-12	        5.113783E-10	        4.700127E-13	        0.000000E+00	        6.841599E-13	        1.007350E-13	        5.478203E-12	        3.557181E-25	        0.000000E+00	        9.815560E-20	        3.619430E-13	        1.190197E-13	        5.477926E-08	        1.762519E-15	        2.379104E-17	        6.307123E-19	        0.000000E+00	        5.474034E-08	        3.111043E-24	        4.486401E-20	        1.844507E-14	        3.100338E-17	        3.269611E-16	        4.548808E-17	        4.999783E-20	        8.083474E-16	        1.395832E-21	        1.877979E-16	        2.096476E-16	        2.500038E-16	        7.843537E-13	        1.030440E-12	        1.438136E-17	        4.065906E-16	        1.107663E-16	        6.353883E-28	        2.927050E-19	        3.110803E-19	        4.331688E-20	        2.582570E-15	        1.952060E-16	        3.266758E-17	        2.165720E-15	        6.593295E-18	        9.650230E-15	        1.949590E-10	        3.633024E-29	        5.517090E-23	        1.577484E-22	        0.000000E+00	        1.640170E-32	        1.703850E-17	        9.388477E-19	        8.193047E-24
        2.000000E-03	        1.112223E-13	        1.999190E-16	        4.437652E-13	        1.528807E-12	        2.326614E-11	        1.006259E-11	        2.158102E-12	        3.841499E-12	        2.761193E-11	        5.591888E-12	        1.793607E-12	        1.511354E-11	        4.606810E-12	        1.352544E-11	        2.405895E-22	        2.095322E-10	        4.788234E-11	        1.543100E-20	        2.253789E-10	        9.856031E-13	        2.298544E-14	        2.131506E-14	        1.374507E-10	        2.559633E-11	        2.887830E-19	        2.317405E-11	        1.655865E-10	        0.000000E+00	        1.244790E-09	        9.990132E-11	        4.943960E-13	        1.590674E-10	        2.098169E-09	        7.375179E-09	        8.341229E-14	        1.082651E-17	        8.407563E-13	        7.765182E-10	        2.198951E-09	        9.407612E-10	        2.998212E-09	        5.589503E-13	        5.341970E-21	        7.553059E-12	        4.379383E-10	        3.268081E-09	        9.739051E-18	        1.027137E-09	        2.304838E-15	        5.051238E-07	        2.862071E-14	        5.057074E-07	        3.312929E-11	        1.521512E-10	        7.955948E-09	        4.249200E-11	        0.000000E+00	        3.344026E-11	        4.722388E-11	        4.545088E-10	        9.469998E-23	        0.000000E+00	        1.494678E-16	        3.947296E-11	        1.978393E-11	        5.046298E-07	        1.592315E-12	        1.154069E-14	        4.448453E-15	        0.000000E+00	        5.020465E-07	        5.030584E-20	        5.680596E-17	        2.269764E-12	        1.299401E-14	        4.967702E-14	        1.857145E-14	        6.813800E-18	        7.024345E-14	        1.961281E-18	        2.499994E-13	        8.877438E-14	        7.100828E-14	        7.393204E-12	        8.020839E-12	        3.250145E-15	        8.728162E-15	        1.780435E-14	        1.559919E-24	        1.596020E-15	        5.057702E-17	        5.321862E-17	        2.790463E-09	        3.578820E-14	        5.539975E-13	        2.824680E-13	        5.954193E-15	        9.762840E-12	        1.727260E-08	        4.706723E-16	        1.840335E-18	        1.524490E-19	        3.128033E-23	        5.699835E-27	        4.278534E-15	        1.296338E-16	        2.613541E-19
        3.100000E-03	        4.082336E-11	        2.441273E-14	        1.886514E-10	        2.504789E-11	        9.231063E-10	        4.151588E-10	        1.244669E-10	        2.003278E-10	        3.543336E-09	        8.676766E-11	        1.971860E-10	        1.467811E-10	        3.165190E-10	        2.402861E-10	        8.680600E-20	        8.042609E-09	        7.474850E-10	        1.805520E-16	        4.479677E-09	        6.360649E-11	        1.137627E-12	        1.189491E-12	        6.091563E-09	        9.510222E-10	        1.902490E-17	        3.506503E-09	        5.113626E-09	        0.000000E+00	        2.011573E-08	        3.317233E-09	        3.572249E-11	        7.973810E-09	        1.375353E-08	        4.000420E-08	        1.353752E-11	        5.148064E-15	        1.626208E-10	        2.202155E-08	        1.236201E-08	        3.043982E-08	        1.442538E-08	        1.300687E-10	        2.290770E-18	        2.882511E-10	        1.045992E-08	        1.975340E-08	        1.148481E-15	        2.794712E-08	        6.805030E-14	        1.502898E-06	        1.691317E-11	        1.542888E-06	        5.353403E-10	        8.532337E-09	        7.648307E-08	        7.125886E-10	        0.000000E+00	        8.053680E-10	        3.183301E-09	        1.163708E-08	        6.715222E-20	        0.000000E+00	        9.638519E-15	        8.906505E-10	        6.179606E-10	        1.528579E-06	        1.041112E-10	        2.138892E-12	        1.419903E-12	        0.000000E+00	        1.478910E-06	        1.249458E-17	        3.291989E-15	        4.890818E-11	        8.730573E-13	        3.971472E-12	        4.722803E-13	        4.791856E-16	        8.264548E-12	        1.608999E-16	        1.818032E-11	        5.563684E-12	        1.075559E-11	        3.786496E-11	        3.166134E-11	        7.498300E-14	        2.521108E-13	        3.287052E-13	        1.228950E-21	        2.168990E-13	        1.848611E-15	        5.899005E-15	        2.328556E-07	        5.549871E-13	        8.964887E-11	        5.697570E-12	        1.622100E-13	        2.896420E-10	        3.420560E-07	        4.992468E-14	        1.940424E-15	        1.518176E-17	        8.931342E-21	        2.585036E-24	        9.594285E-14	        2.997122E-15	        5.550791E-17
        4.100000E-03	        4.617591E-10	        4.196924E-13	        5.166013E-09	        2.089666E-10	        7.202670E-09	        1.649297E-09	        7.672498E-10	        1.536475E-09	        2.795382E-08	        4.308839E-10	        3.222322E-09	        6.192284E-10	        3.271650E-09	        3.043808E-09	        9.215763E-18	        6.817914E-08	        7.468176E-09	        2.345740E-14	        2.700867E-08	        6.925379E-10	        2.583551E-11	        1.363685E-11	        3.008363E-08	        6.495178E-09	        2.805820E-16	        3.462946E-08	        3.452396E-08	        5.096460E-22	        1.463118E-07	        2.325440E-08	        4.644312E-10	        6.425855E-08	        4.113772E-08	        1.200279E-07	        1.457488E-10	        1.357234E-13	        1.895144E-09	        1.531537E-07	        3.898218E-08	        1.866536E-07	        3.795835E-08	        2.171754E-09	        9.093300E-17	        2.075064E-09	        4.889702E-08	        7.883419E-08	        1.920348E-14	        2.060516E-07	        6.936100E-13	        3.036809E-06	        2.701685E-10	        3.342576E-06	        2.738692E-09	        9.283316E-08	        4.140090E-07	        3.737331E-09	        0.000000E+00	        7.396375E-09	        3.007845E-08	        5.133467E-08	        4.681341E-18	        0.000000E+00	        2.316273E-14	        5.804798E-09	        5.515618E-09	        3.272977E-06	        1.033484E-09	        4.858658E-11	        1.667292E-11	        0.000000E+00	        2.932453E-06	        6.353372E-17	        8.370031E-15	        1.929254E-10	        4.275116E-12	        3.963274E-11	        1.206734E-12	        3.636900E-15	        6.486398E-11	        1.303961E-15	        9.424617E-11	        4.918248E-11	        1.264835E-10	        9.798516E-11	        7.589518E-11	        3.809409E-13	        1.576885E-12	        1.927214E-12	        2.386113E-20	        9.719400E-13	        1.364120E-14	        6.066690E-14	        1.509313E-06	        2.125124E-12	        6.991108E-10	        2.255840E-11	        9.123060E-13	        1.723880E-09	        1.690330E-06	        4.914612E-13	        4.803179E-14	        3.857736E-16	        9.915525E-20	        4.066666E-23	        4.185059E-13	        2.167094E-14	        1.156547E-15
        5.000000E-03	        1.794465E-09	        3.500718E-12	        3.349814E-08	        9.304381E-10	        3.550638E-08	        3.750350E-09	        3.429072E-09	        8.149877E-09	        1.069294E-07	        1.234603E-09	        1.792297E-08	        1.841587E-09	        1.263350E-08	        2.500436E-08	        2.605306E-16	        2.754117E-07	        3.616910E-08	        4.244620E-13	        1.052142E-07	        3.235626E-09	        1.959229E-10	        8.037019E-11	        8.681890E-08	        2.672811E-08	        1.772990E-15	        1.447664E-07	        1.170349E-07	        7.713600E-20	        6.742858E-07	        9.818081E-08	        2.374871E-09	        2.394432E-07	        9.042229E-08	        2.516868E-07	        6.003648E-10	        1.256914E-12	        1.018892E-08	        6.150304E-07	        8.760351E-08	        6.922294E-07	        7.713864E-08	        1.072047E-08	        1.100762E-15	        8.314162E-09	        1.400937E-07	        2.683016E-07	        1.175089E-13	        9.262130E-07	        3.637650E-12	        4.877159E-06	        1.368938E-09	        6.095252E-06	        8.142905E-09	        4.856587E-07	        1.574764E-06	        1.121914E-08	        0.000000E+00	        4.126070E-08	        1.523194E-07	        1.401511E-07	        6.390892E-17	        0.000000E+00	        2.571780E-14	        2.185207E-08	        2.395384E-08	        6.046562E-06	        3.762797E-09	        3.132856E-10	        6.743101E-11	        0.000000E+00	        4.530520E-06	        2.375733E-16	        1.131993E-14	        5.755431E-10	        1.957038E-11	        1.765589E-10	        2.385391E-12	        3.185284E-14	        2.038303E-10	        4.341442E-15	        2.519915E-10	        2.309231E-10	        4.645106E-10	        1.988997E-10	        1.429461E-10	        1.433080E-12	        5.992910E-12	        7.811277E-12	        2.490003E-19	        2.260450E-12	        4.912529E-14	        2.183057E-13	        5.461639E-06	        6.236444E-12	        2.401726E-09	        6.372120E-11	        2.603365E-12	        4.723670E-09	        5.656900E-06	        2.382176E-12	        2.714422E-13	        6.603168E-15	        4.943365E-19	        5.055976E-22	        1.397279E-12	        8.974151E-14	        1.122606E-14
        6.000000E-03	        5.961238E-09	        2.203929E-11	        1.360588E-07	        3.353580E-09	        1.513632E-07	        8.477188E-09	        1.585199E-08	        3.955930E-08	        3.558874E-07	        2.938576E-09	        7.069705E-08	        5.130880E-09	        3.617740E-08	        1.588801E-07	        4.040325E-15	        8.378696E-07	        1.336091E-07	        3.545110E-12	        3.672394E-07	        1.266749E-08	        1.014406E-09	        4.291506E-10	        2.231483E-07	        9.493420E-08	        8.322840E-15	        4.306922E-07	        3.156601E-07	        4.046860E-18	        2.667192E-06	        3.460878E-07	        9.273535E-09	        6.654977E-07	        1.992874E-07	        4.836430E-07	        2.010315E-09	        7.349859E-12	        4.467861E-08	        2.120907E-06	        1.942239E-07	        2.360876E-06	        1.525895E-07	        3.580828E-08	        9.463653E-15	        3.057411E-08	        3.522294E-07	        9.036338E-07	        4.986619E-13	        3.603960E-06	        1.488273E-11	        7.454823E-06	        5.193426E-09	        1.133936E-05	        2.072978E-08	        2.048530E-06	        5.535281E-06	        2.834532E-08	        0.000000E+00	        1.921770E-07	        6.656803E-07	        3.408845E-07	        4.777272E-16	        0.000000E+00	        4.508802E-14	        7.249927E-08	        8.130531E-08	        1.209668E-05	        1.007206E-08	        1.250503E-09	        2.549961E-10	        0.000000E+00	        6.295426E-06	        9.891821E-16	        2.330737E-14	        1.758836E-09	        9.202974E-11	        6.475903E-10	        7.386539E-12	        2.751898E-13	        6.353125E-10	        1.619014E-14	        7.092038E-10	        9.497805E-10	        1.209411E-09	        4.172929E-10	        2.635387E-10	        7.067906E-12	        2.313655E-11	        2.952766E-11	        5.801615E-18	        6.982310E-12	        1.670036E-13	        7.151119E-13	        1.638729E-05	        1.731677E-11	        7.079429E-09	        1.727630E-10	        6.775255E-12	        1.142800E-08	        1.655770E-05	        4.808916E-11	        1.078880E-12	        3.938461E-12	        2.306123E-18	        1.018947E-15	        4.931892E-12	        3.545253E-13	        8.909568E-14
        7.000000E-03	        1.498496E-08	        8.195202E-11	        3.507517E-07	        8.834982E-09	        4.171651E-07	        1.594912E-08	        4.697482E-08	        1.184281E-07	        8.762176E-07	        5.646296E-09	        1.908300E-07	        1.164397E-08	        7.633270E-08	        5.545540E-07	        2.818880E-14	        1.761438E-06	        3.345370E-07	        1.490580E-11	        8.993141E-07	        3.410184E-08	        3.302737E-09	        1.586681E-09	        4.208531E-07	        2.294533E-07	        2.727070E-14	        8.594545E-07	        6.066478E-07	        5.598410E-17	        7.206609E-06	        8.091582E-07	        2.570198E-08	        1.280235E-06	        4.040778E-07	        8.116501E-07	        5.171341E-09	        2.603440E-11	        1.304670E-07	        5.207835E-06	        3.842946E-07	        5.875493E-06	        2.675941E-07	        8.116546E-08	        4.911611E-14	        8.186922E-08	        6.492837E-07	        2.243512E-06	        1.305344E-12	        9.707469E-06	        4.166960E-11	        1.078888E-05	        1.400891E-08	        1.948869E-05	        4.272195E-08	        5.663856E-06	        1.390569E-05	        5.779302E-08	        0.000000E+00	        5.952953E-07	        2.025748E-06	        6.130320E-07	        1.918135E-15	        0.000000E+00	        1.037233E-13	        1.819979E-07	        1.948197E-07	        2.318520E-05	        2.019368E-08	        3.314467E-09	        7.558219E-10	        0.000000E+00	        7.879953E-06	        2.699419E-15	        5.676141E-14	        3.961438E-09	        2.759630E-10	        1.603539E-09	        2.283446E-11	        1.252740E-12	        1.421210E-09	        4.809258E-14	        1.514984E-09	        2.683697E-09	        2.459585E-09	        7.498118E-10	        4.475167E-10	        1.899552E-11	        6.590202E-11	        8.249330E-11	        1.277395E-17	        1.671050E-11	        4.687049E-13	        1.736018E-12	        3.266659E-05	        3.452650E-11	        1.511820E-08	        3.342640E-10	        1.358198E-11	        2.191030E-08	        3.278860E-05	        2.415471E-11	        2.940381E-12	        6.493414E-12	        6.922596E-18	        3.506200E-17	        1.345505E-11	        1.063894E-12	        4.089666E-13
        8.000000E-03	        3.004951E-08	        2.070788E-10	        6.802904E-07	        1.847139E-08	        8.121166E-07	        2.541552E-08	        9.535852E-08	        2.411535E-07	        1.691695E-06	        9.618108E-09	        4.080788E-07	        2.234199E-08	        1.328700E-07	        1.252360E-06	        1.224322E-13	        2.955825E-06	        6.330599E-07	        4.144610E-11	        1.680922E-06	        6.767695E-08	        7.884837E-09	        4.297092E-09	        6.495190E-07	        4.201248E-07	        6.991070E-14	        1.379717E-06	        9.459153E-07	        3.687550E-16	        1.456852E-05	        1.410080E-06	        5.578318E-08	        2.014210E-06	        7.473755E-07	        1.243578E-06	        1.081711E-08	        6.728675E-11	        2.797291E-07	        9.841893E-06	        6.724679E-07	        1.122830E-05	        4.253388E-07	        1.447204E-07	        1.802620E-13	        1.716366E-07	        9.933246E-07	        4.256240E-06	        2.464978E-12	        1.974371E-05	        9.082630E-11	        1.471608E-05	        2.931967E-08	        3.015653E-05	        7.679654E-08	        1.150161E-05	        2.662512E-05	        1.033763E-07	        0.000000E+00	        1.360441E-06	        4.646314E-06	        9.189931E-07	        5.113391E-15	        0.000000E+00	        2.272854E-13	        3.726280E-07	        3.640871E-07	        3.970856E-05	        3.393627E-08	        6.965457E-09	        1.734753E-09	        0.000000E+00	        9.172207E-06	        4.796872E-15	        1.222647E-13	        6.726336E-09	        5.570523E-10	        2.855193E-09	        5.865367E-11	        3.422411E-12	        2.354156E-09	        1.120831E-13	        2.464594E-09	        5.572673E-09	        4.470728E-09	        1.146338E-09	        7.004933E-10	        9.245147E-11	        1.477608E-10	        1.836739E-10	        3.933687E-17	        2.877540E-11	        1.067924E-12	        3.230103E-12	        4.801098E-05	        5.323282E-11	        2.509921E-08	        4.901440E-10	        2.188165E-11	        3.462990E-08	        4.810280E-05	        4.162329E-11	        6.023869E-12	        8.458087E-11	        2.177032E-17	        2.927894E-16	        2.846091E-11	        2.390174E-12	        1.182281E-12
        9.000000E-03	        5.335019E-08	        4.219569E-10	        1.115898E-06	        3.417205E-08	        1.308490E-06	        3.685543E-08	        1.567867E-07	        3.971115E-07	        2.786082E-06	        1.494407E-08	        7.725607E-07	        3.807190E-08	        2.067740E-07	        2.194475E-06	        4.000897E-13	        4.401479E-06	        1.013681E-06	        8.856930E-11	        2.738193E-06	        1.116004E-07	        1.569535E-08	        9.461921E-09	        9.483501E-07	        6.746079E-07	        1.486130E-13	        1.997905E-06	        1.337809E-06	        1.549720E-15	        2.518315E-05	        2.152068E-06	        1.054496E-07	        2.880558E-06	        1.285161E-06	        1.789609E-06	        1.988104E-08	        1.413703E-10	        4.952653E-07	        1.589683E-05	        1.067214E-06	        1.827459E-05	        6.311851E-07	        2.239839E-07	        5.256882E-13	        3.095304E-07	        1.434025E-06	        6.856675E-06	        3.856422E-12	        3.437564E-05	        1.685302E-10	        1.948057E-05	        5.108350E-08	        4.359617E-05	        1.246761E-07	        1.973487E-05	        4.352613E-05	        1.680125E-07	        0.000000E+00	        2.585752E-06	        9.007867E-06	        1.304876E-06	        1.090171E-14	        0.000000E+00	        4.397004E-13	        6.644468E-07	        5.850862E-07	        6.280821E-05	        5.120082E-08	        1.271250E-08	        3.364438E-09	        0.000000E+00	        1.056197E-05	        6.781863E-15	        2.227201E-13	        9.785099E-09	        9.055397E-10	        4.247730E-09	        1.278137E-10	        7.214801E-12	        3.306469E-09	        2.253241E-13	        3.446305E-09	        9.787762E-09	        7.520766E-09	        1.600826E-09	        1.015982E-09	        1.492395E-10	        2.834425E-10	        3.562743E-10	        8.432760E-17	        4.126120E-11	        2.077694E-12	        5.252577E-12	        6.200247E-05	        7.333046E-11	        3.697992E-08	        6.369590E-10	        3.181217E-11	        4.943700E-08	        6.202740E-05	        7.051688E-11	        1.057492E-11	        1.396329E-10	        4.505701E-17	        3.081737E-18	        5.158101E-11	        4.331994E-12	        2.500826E-12
        1.010000E-02	        9.156013E-08	        8.247687E-10	        1.707454E-06	        6.172932E-08	        1.986459E-06	        5.213453E-08	        2.384271E-07	        6.057023E-07	        4.323303E-06	        2.227798E-08	        1.457266E-06	        6.222868E-08	        3.083410E-07	        3.465021E-06	        1.201845E-12	        6.266845E-06	        1.509563E-06	        1.692160E-10	        4.312494E-06	        1.696381E-07	        2.983289E-08	        1.949861E-08	        1.404323E-06	        1.050761E-06	        2.951260E-13	        2.795601E-06	        1.842530E-06	        5.319610E-15	        4.243760E-05	        3.208617E-06	        1.922052E-07	        3.988629E-06	        2.229575E-06	        2.523242E-06	        3.501739E-08	        2.726633E-10	        8.113817E-07	        2.425898E-05	        1.630018E-06	        2.807579E-05	        9.182366E-07	        3.275757E-07	        1.437041E-12	        5.310862E-07	        2.069886E-06	        1.039214E-05	        5.552148E-12	        5.804195E-05	        2.921070E-10	        2.548928E-05	        8.100243E-08	        6.160662E-05	        1.945616E-07	        3.273107E-05	        6.773587E-05	        2.631342E-07	        0.000000E+00	        4.618092E-06	        1.686291E-05	        1.849152E-06	        2.209783E-14	        0.000000E+00	        8.341147E-13	        1.125575E-06	        8.841697E-07	        9.873305E-05	        7.429631E-08	        2.202413E-08	        6.158198E-09	        0.000000E+00	        1.204332E-05	        9.010301E-15	        3.772697E-13	        1.355610E-08	        1.382425E-09	        5.960799E-09	        2.698582E-10	        1.462432E-11	        4.358833E-09	        4.521756E-13	        4.559499E-09	        1.641971E-08	        1.241068E-08	        2.183368E-09	        1.428591E-09	        1.781563E-10	        5.365938E-10	        6.869659E-10	        2.214703E-16	        5.513570E-11	        3.827606E-12	        8.298782E-12	        7.828332E-05	        9.924063E-11	        5.293134E-08	        8.084660E-10	        4.579740E-11	        6.884430E-08	        7.813530E-05	        1.050450E-10	        1.787641E-11	        1.651305E-10	        7.542678E-17	        4.932790E-17	        9.063516E-11	        7.067944E-12	        4.569688E-12
