            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        2.676900E-16	        8.943208E-18	        8.717302E-15	        1.158989E-12	        4.935467E-13	        7.749838E-14	        1.067640E-14	        6.112799E-14	        1.487822E-13	        1.664919E-12	        9.958515E-13	        5.450194E-12	        3.272880E-14	        3.256918E-11	        2.063076E-24	        7.848087E-11	        2.135679E-11	        3.078590E-22	        1.312001E-10	        1.097012E-14	        1.340315E-14	        6.275884E-16	        5.417331E-12	        6.104956E-12	        8.954550E-21	        3.129336E-13	        7.729264E-11	        0.000000E+00	        3.025477E-10	        3.181346E-11	        2.436583E-13	        6.656189E-11	        5.969745E-10	        1.024619E-08	        9.949376E-15	        6.232425E-22	        7.803051E-16	        3.049358E-10	        3.299062E-09	        2.595022E-10	        4.546008E-09	        2.981783E-15	        1.152940E-23	        1.687743E-12	        1.687173E-10	        4.701869E-09	        4.445601E-19	        2.359776E-10	        1.286148E-16	        1.318960E-06	        2.842684E-18	        1.316266E-06	        9.795838E-12	        1.514855E-11	        1.028084E-08	        1.205365E-11	        0.000000E+00	        1.278747E-11	        1.340589E-12	        1.151679E-10	        3.200603E-24	        0.000000E+00	        1.781823E-13	        1.041049E-11	        2.569542E-12	        1.315899E-06	        5.888693E-15	        1.575787E-16	        9.836165E-18	        0.000000E+00	        1.315370E-06	        2.630886E-23	        9.747139E-14	        1.088377E-13	        1.491007E-16	        2.675866E-15	        8.088718E-17	        2.181630E-16	        6.833552E-15	        1.743985E-11	        1.300815E-15	        2.159478E-15	        1.620558E-15	        2.793199E-12	        3.730240E-12	        8.659174E-17	        6.072821E-17	        5.207037E-16	        5.160282E-27	        1.318260E-18	        2.179880E-18	        3.722875E-19	        1.556332E-14	        6.738760E-16	        2.590716E-16	        1.382880E-14	        3.866278E-17	        4.215900E-14	        1.722720E-09	        8.538967E-28	        7.339649E-22	        3.388706E-21	        0.000000E+00	        4.785020E-31	        7.849825E-17	        7.082119E-18	        5.123655E-22
        2.000000E-03	        5.037474E-12	        3.233461E-14	        5.090100E-11	        1.074516E-10	        1.063482E-09	        2.190181E-10	        6.797116E-11	        2.633351E-10	        2.244448E-09	        3.580371E-10	        1.141530E-10	        4.773593E-10	        1.164970E-10	        1.421067E-09	        4.744029E-20	        1.387064E-08	        1.919403E-09	        8.524140E-18	        1.243546E-08	        3.716858E-11	        1.474631E-12	        1.899753E-12	        4.468782E-09	        1.798918E-09	        4.048460E-17	        1.867162E-09	        9.724206E-09	        0.000000E+00	        5.031859E-08	        5.966009E-09	        4.037206E-11	        9.889333E-09	        2.594075E-08	        4.404061E-07	        6.712054E-12	        2.541106E-15	        6.862206E-11	        4.076693E-08	        1.408914E-07	        4.127476E-08	        1.551818E-07	        1.473450E-11	        2.183300E-18	        4.349437E-10	        2.102535E-08	        1.750029E-07	        1.234570E-15	        4.899741E-08	        9.419440E-14	        4.782826E-05	        7.539281E-13	        4.775051E-05	        2.115026E-09	        5.140380E-09	        4.705660E-07	        2.987283E-09	        0.000000E+00	        1.991917E-09	        2.956356E-09	        2.219898E-08	        3.250361E-20	        0.000000E+00	        3.178698E-10	        3.375970E-09	        1.635189E-09	        4.776319E-05	        1.519990E-11	        2.878535E-13	        1.404278E-13	        0.000000E+00	        4.765843E-05	        1.798800E-18	        2.066221E-11	        2.503122E-11	        2.704295E-13	        1.377617E-12	        5.703199E-14	        1.385410E-14	        2.061470E-12	        2.575244E-11	        5.238179E-12	        2.290595E-12	        8.987781E-13	        4.167253E-11	        4.275481E-11	        6.434865E-14	        1.278132E-13	        3.495588E-13	        9.160806E-22	        2.273670E-14	        9.408232E-16	        1.687487E-15	        3.010115E-07	        2.568370E-13	        4.147010E-11	        4.331620E-12	        1.086772E-13	        1.166660E-10	        5.142770E-07	        1.900500E-13	        7.455847E-17	        9.025064E-18	        9.789922E-21	        2.390019E-21	        5.844591E-14	        2.810556E-15	        3.567489E-17
        3.100000E-03	        1.446505E-08	        1.031713E-10	        9.712598E-08	        1.771165E-08	        4.994297E-07	        4.578286E-08	        2.993529E-08	        1.222444E-07	        9.196818E-07	        1.076785E-08	        1.316122E-07	        1.262884E-08	        2.334600E-08	        2.582456E-07	        5.662461E-15	        2.422469E-06	        1.818908E-07	        4.195070E-12	        1.162207E-06	        1.519315E-08	        2.700127E-09	        9.812734E-10	        7.038538E-07	        2.995019E-07	        1.327110E-14	        1.250183E-06	        1.000106E-06	        1.338250E-18	        9.184324E-06	        9.290041E-07	        3.173639E-08	        2.013556E-06	        3.604263E-07	        7.525726E-06	        4.724574E-09	        1.973531E-11	        8.947711E-08	        5.503600E-06	        2.602957E-06	        5.986224E-06	        1.865647E-06	        7.519297E-09	        1.767929E-14	        5.179554E-08	        1.392234E-06	        4.165852E-06	        3.460027E-13	        9.263911E-06	        3.067816E-11	        5.888417E-04	        9.522212E-10	        5.974399E-04	        6.845407E-08	        3.825177E-06	        1.934318E-05	        1.033184E-07	        0.000000E+00	        5.684270E-07	        1.527858E-06	        1.454607E-06	        8.850317E-16	        0.000000E+00	        1.307383E-07	        2.020115E-07	        1.644162E-07	        5.989564E-04	        2.296745E-09	        2.643279E-09	        3.628493E-10	        0.000000E+00	        5.837758E-04	        6.932467E-16	        3.259930E-09	        1.874655E-09	        1.106848E-10	        5.923372E-10	        4.603383E-12	        1.127292E-12	        5.457017E-10	        3.826811E-10	        5.323764E-10	        8.583116E-10	        2.251002E-10	        4.421311E-10	        2.222068E-10	        1.550058E-11	        2.598304E-11	        4.670340E-11	        4.572041E-14	        6.351630E-12	        1.448462E-13	        6.004399E-13	        2.551535E-05	        2.592543E-11	        7.467518E-09	        2.346160E-10	        1.018114E-11	        1.059230E-08	        2.931820E-05	        2.143154E-11	        5.636583E-13	        5.640331E-15	        2.838078E-18	        1.539276E-14	        4.847441E-12	        2.677547E-13	        6.214793E-14
        4.100000E-03	        1.787098E-07	        1.009589E-08	        1.181596E-06	        2.257279E-07	        1.085933E-05	        9.254108E-07	        7.313233E-07	        2.931413E-06	        1.633364E-05	        8.474567E-08	        4.904095E-06	        1.693174E-07	        2.835830E-07	        1.151412E-05	        5.333087E-12	        2.125159E-05	        1.953822E-06	        3.343410E-10	        1.805704E-05	        2.225400E-07	        1.452060E-07	        7.917868E-08	        4.329898E-06	        3.057909E-06	        4.151050E-13	        1.674407E-05	        5.649150E-06	        1.043240E-14	        1.878227E-04	        1.250597E-05	        4.816575E-07	        1.983941E-05	        7.747991E-06	        4.949713E-05	        2.480649E-08	        1.860914E-09	        2.996698E-06	        9.462490E-05	        2.068927E-05	        8.949514E-05	        1.337930E-05	        2.108164E-07	        4.478046E-12	        1.575343E-06	        9.685165E-06	        5.810477E-05	        2.300884E-12	        2.165502E-04	        7.031180E-10	        3.478190E-03	        1.719247E-08	        3.598043E-03	        6.846914E-07	        1.092126E-04	        3.146333E-04	        9.167475E-07	        0.000000E+00	        1.995588E-05	        4.675240E-05	        4.507531E-06	        6.741350E-14	        0.000000E+00	        2.681527E-06	        4.353970E-06	        1.694303E-06	        3.722439E-03	        3.332564E-08	        4.523095E-08	        7.373855E-09	        0.000000E+00	        3.414067E-03	        8.970962E-15	        5.831122E-08	        1.857885E-08	        2.396065E-09	        8.116865E-09	        1.462041E-10	        5.570820E-11	        3.843608E-09	        4.968655E-09	        3.538830E-09	        1.402547E-08	        3.307197E-09	        1.753308E-09	        7.606108E-10	        9.234378E-08	        5.719480E-10	        9.746284E-10	        5.173465E-12	        4.997270E-11	        3.405832E-12	        9.908075E-12	        1.481708E-04	        1.981030E-10	        4.329018E-08	        1.085050E-09	        5.295859E-11	        4.857880E-08	        1.478310E-04	        3.426964E-10	        1.367216E-11	        1.018347E-11	        1.171931E-16	        1.398277E-12	        8.531013E-11	        4.039462E-12	        4.063604E-12
        5.074450E-03	        9.458912E-07	        1.094008E-07	        2.276040E-06	        3.080026E-06	        5.178140E-05	        5.903781E-06	        1.438987E-06	        8.012737E-06	        6.283135E-05	        4.656391E-07	        6.476221E-05	        7.786483E-07	        5.850670E-07	        5.029059E-05	        1.743173E-10	        4.942127E-05	        2.347852E-06	        1.632330E-09	        1.045080E-04	        2.818938E-07	        1.625221E-06	        9.442748E-07	        3.585898E-05	        7.594794E-06	        3.736640E-12	        5.981839E-05	        1.694767E-05	        2.153090E-13	        1.151336E-03	        5.760899E-05	        5.731179E-06	        6.845037E-05	        7.805479E-05	        2.535521E-04	        6.910507E-08	        1.043731E-08	        1.025762E-05	        3.606079E-04	        1.078822E-04	        1.961391E-04	        7.023241E-05	        1.427985E-06	        1.287899E-10	        1.199287E-05	        6.474351E-05	        2.258910E-04	        6.536269E-12	        1.377408E-03	        2.729586E-09	        1.219339E-02	        6.802785E-08	        1.249629E-02	        4.179088E-06	        7.658966E-04	        1.363272E-03	        4.435599E-06	        0.000000E+00	        1.233978E-04	        2.931001E-04	        8.346907E-06	        7.397507E-13	        0.000000E+00	        6.858832E-06	        3.762670E-05	        3.177741E-06	        1.375331E-02	        6.990108E-08	        2.835775E-07	        1.665559E-08	        0.000000E+00	        1.195681E-02	        1.400902E-14	        3.236549E-07	        4.048250E-08	        7.740168E-09	        1.574035E-08	        1.320291E-09	        4.632230E-10	        2.129454E-09	        3.713520E-08	        2.352140E-09	        3.978915E-08	        8.231424E-09	        2.660529E-09	        1.711319E-09	        1.192852E-06	        3.418794E-09	        7.117596E-09	        7.730829E-11	        2.766370E-11	        1.588315E-11	        3.047780E-11	        1.802177E-04	        6.484915E-10	        4.350719E-08	        9.044640E-10	        1.151166E-10	        5.102850E-08	        1.492910E-04	        1.426709E-09	        5.243074E-11	        5.698316E-11	        7.003390E-16	        1.280289E-11	        3.890727E-10	        6.526636E-12	        1.474654E-11
        6.002060E-03	        2.207362E-06	        2.155170E-05	        8.823872E-06	        1.653372E-05	        1.213979E-04	        7.582285E-06	        1.086151E-06	        7.657759E-05	        1.656713E-04	        1.712482E-06	        2.915222E-04	        6.244985E-06	        2.062270E-08	        8.327938E-05	        1.893462E-10	        6.085867E-05	        1.484054E-06	        9.012220E-10	        1.373961E-04	        1.226789E-07	        9.001014E-06	        4.918798E-06	        2.845125E-05	        3.490062E-06	        1.401410E-12	        2.763516E-05	        1.046261E-04	        4.238730E-14	        1.152606E-02	        1.208555E-04	        1.910263E-05	        6.462480E-05	        2.995969E-04	        6.694987E-04	        2.834561E-08	        1.207471E-07	        9.042933E-06	        5.487300E-04	        3.093812E-04	        3.616608E-04	        5.401156E-04	        3.696995E-06	        2.159291E-10	        9.211295E-06	        9.199488E-05	        7.300081E-04	        6.832902E-12	        1.112637E-02	        2.481649E-09	        2.229547E-02	        2.247333E-07	        2.276926E-02	        1.100678E-05	        7.729748E-03	        4.526886E-03	        1.204117E-05	        0.000000E+00	        1.345945E-03	        1.467890E-03	        1.270249E-05	        4.022980E-13	        0.000000E+00	        5.670404E-05	        9.846430E-05	        6.542889E-06	        3.704535E-02	        1.794127E-08	        2.176094E-06	        1.492922E-08	        0.000000E+00	        2.180073E-02	        8.613021E-13	        2.729321E-06	        3.960400E-08	        7.024155E-08	        3.847648E-08	        1.141976E-08	        3.086221E-08	        4.554765E-10	        1.719721E-07	        2.422533E-09	        1.883677E-07	        1.457157E-08	        3.152646E-08	        9.941168E-09	        3.452999E-07	        1.095094E-08	        5.735258E-08	        5.227360E-08	        6.378920E-12	        8.312568E-10	        1.326199E-10	        6.583396E-05	        3.443730E-10	        2.031203E-09	        1.301580E-10	        8.868768E-11	        1.873730E-09	        6.104910E-05	        3.263153E-07	        4.157956E-11	        3.017688E-12	        2.083541E-13	        2.332927E-09	        1.714327E-09	        4.486195E-11	        3.449137E-10
        7.001440E-03	        4.650092E-06	        2.055947E-05	        2.609682E-05	        8.161603E-05	        6.240073E-05	        3.919320E-07	        2.762660E-07	        4.862640E-05	        9.367889E-05	        4.247399E-06	        1.304971E-05	        3.967716E-06	        2.388030E-10	        3.763458E-04	        2.458222E-11	        3.215966E-05	        1.980896E-07	        5.552300E-12	        2.441740E-04	        8.006161E-09	        2.804378E-07	        1.531796E-07	        1.102533E-04	        7.972658E-07	        1.349470E-12	        6.755042E-06	        4.617032E-05	        3.582670E-16	        3.559878E-02	        4.130275E-05	        8.874497E-05	        1.292906E-05	        1.349174E-05	        2.048428E-03	        1.056382E-08	        2.166348E-09	        4.000325E-07	        7.659614E-04	        9.409285E-04	        5.976114E-04	        2.838340E-05	        1.382331E-07	        2.627955E-11	        2.246643E-05	        4.491865E-05	        1.137634E-04	        2.609438E-12	        3.185456E-02	        5.730380E-12	        2.026144E-03	        2.005032E-07	        1.991832E-03	        2.726076E-05	        2.620747E-02	        1.221082E-02	        2.641267E-05	        0.000000E+00	        3.787209E-03	        1.803245E-03	        3.466856E-06	        1.065788E-15	        0.000000E+00	        3.970305E-05	        4.245838E-04	        3.003743E-06	        4.710175E-02	        4.389322E-11	        9.085208E-08	        7.155773E-09	        0.000000E+00	        1.016146E-03	        3.708361E-12	        8.131936E-06	        1.235477E-07	        1.617217E-07	        9.494365E-08	        1.390678E-07	        7.975160E-08	        2.516767E-10	        4.632021E-07	        3.911536E-09	        6.528779E-07	        1.438114E-07	        6.591490E-08	        2.911691E-08	        7.448095E-06	        1.412750E-08	        1.034290E-07	        6.743368E-08	        1.307240E-12	        5.827408E-10	        2.978904E-10	        7.159003E-05	        1.265820E-09	        1.508722E-09	        9.027940E-11	        3.172991E-11	        1.448160E-09	        6.638630E-05	        1.807171E-07	        1.740651E-11	        9.738866E-12	        5.723173E-13	        2.395687E-09	        3.808211E-09	        1.565637E-11	        1.185929E-10
        8.002400E-03	        2.450422E-06	        6.978304E-06	        2.231985E-05	        4.351740E-05	        3.539344E-05	        3.508853E-08	        1.587343E-07	        2.033455E-05	        4.651355E-05	        2.406537E-06	        3.520795E-06	        1.563438E-06	        3.745970E-11	        1.911256E-04	        1.234562E-11	        1.837178E-05	        8.609739E-08	        1.616980E-12	        1.522645E-04	        3.615801E-09	        1.088279E-07	        5.692236E-08	        7.124642E-05	        5.430404E-07	        6.449070E-13	        6.326311E-06	        1.861644E-05	        9.279390E-17	        2.845102E-02	        3.141605E-05	        4.843861E-05	        8.909167E-06	        3.654002E-06	        1.306941E-03	        6.612133E-09	        6.438003E-10	        1.982539E-07	        4.739082E-04	        5.920680E-04	        4.950771E-04	        2.751428E-06	        4.619230E-08	        1.309345E-11	        1.347367E-05	        1.816821E-04	        8.736488E-05	        1.526999E-12	        2.470356E-02	        4.456830E-12	        8.862529E-04	        8.135551E-08	        8.269025E-04	        1.553882E-05	        2.135817E-02	        9.028384E-03	        1.488974E-05	        0.000000E+00	        2.213239E-03	        1.230613E-03	        1.827683E-06	        7.399272E-16	        0.000000E+00	        2.078555E-05	        2.516775E-04	        1.530259E-06	        3.662657E-02	        2.073987E-11	        4.373756E-08	        3.291330E-09	        0.000000E+00	        2.474674E-04	        2.053724E-12	        6.421507E-06	        2.413094E-07	        1.516353E-07	        1.175091E-07	        1.573844E-07	        5.022805E-08	        3.668161E-10	        4.753572E-07	        4.871591E-09	        6.387117E-07	        1.514418E-07	        3.081832E-08	        2.042511E-08	        8.406481E-07	        1.393416E-08	        8.320656E-08	        1.880911E-08	        1.101450E-12	        2.410788E-10	        4.945475E-10	        1.491339E-04	        3.198280E-09	        4.056586E-09	        2.121350E-10	        6.345454E-11	        4.164720E-09	        1.363400E-04	        3.406850E-08	        3.878884E-11	        1.345767E-12	        2.081584E-13	        7.220105E-10	        3.414111E-09	        3.602025E-12	        2.494096E-11
        9.002430E-03	        2.907253E-07	        9.407558E-07	        1.149938E-05	        2.891123E-06	        2.462587E-05	        5.759962E-08	        1.332058E-07	        4.989602E-06	        1.476640E-05	        6.863060E-07	        2.811532E-06	        2.311198E-07	        6.836890E-11	        3.345167E-05	        8.473108E-12	        5.990316E-06	        5.689900E-08	        1.087560E-12	        3.817261E-05	        2.062845E-09	        7.280885E-08	        4.684670E-08	        8.540802E-06	        4.293552E-07	        5.463400E-14	        5.829900E-06	        5.216703E-06	        1.058630E-16	        1.262192E-02	        2.187848E-05	        3.556301E-06	        6.732191E-06	        2.891799E-06	        1.382639E-04	        1.621140E-09	        2.750485E-11	        8.321719E-08	        1.048124E-04	        6.152516E-05	        2.765342E-04	        2.670375E-06	        3.279664E-08	        8.941266E-12	        5.228813E-06	        2.905368E-04	        8.303920E-05	        8.246915E-13	        1.059951E-02	        3.623750E-12	        2.776078E-04	        1.886957E-08	        3.476180E-04	        4.604686E-06	        9.817974E-03	        3.301574E-03	        4.471976E-06	        0.000000E+00	        4.347612E-04	        4.663817E-04	        6.848593E-07	        2.338125E-15	        0.000000E+00	        7.260206E-06	        2.520514E-05	        3.487270E-07	        1.600788E-02	        2.539498E-11	        2.666632E-08	        4.455859E-10	        0.000000E+00	        1.721173E-04	        7.950360E-13	        2.937310E-06	        3.500042E-07	        1.431485E-07	        1.450217E-07	        1.446388E-07	        2.562395E-08	        7.651109E-10	        3.715457E-07	        5.200880E-09	        5.762258E-07	        1.277372E-07	        1.587446E-08	        1.352323E-08	        3.682225E-07	        2.652520E-08	        8.731212E-08	        1.547805E-09	        3.032780E-12	        1.500562E-10	        8.581354E-10	        5.660920E-04	        6.088710E-09	        2.694080E-08	        1.284510E-09	        2.498052E-10	        3.507110E-08	        5.077200E-04	        1.364644E-08	        1.321219E-10	        8.467814E-13	        1.504966E-13	        8.194964E-11	        3.817853E-09	        3.069901E-12	        1.219878E-11
        1.000320E-02	        1.099047E-08	        3.003349E-08	        5.610372E-06	        4.567848E-08	        1.503826E-05	        8.729284E-08	        4.251701E-08	        5.783569E-07	        2.904987E-06	        3.963455E-07	        1.508841E-06	        3.613610E-08	        9.857480E-11	        3.620862E-06	        5.871395E-12	        1.554287E-06	        2.074483E-08	        5.496090E-13	        2.004866E-05	        1.555265E-10	        2.144561E-08	        1.560834E-08	        3.457843E-07	        1.807564E-07	        7.619700E-16	        5.685375E-06	        1.149894E-06	        6.164290E-17	        5.381473E-03	        1.061242E-05	        6.566355E-08	        6.081687E-06	        1.603624E-06	        5.910865E-06	        6.016213E-11	        6.046122E-13	        4.008360E-08	        2.823741E-05	        2.575184E-06	        1.352825E-04	        2.263973E-06	        1.352228E-08	        6.077557E-12	        4.342322E-06	        1.004260E-04	        3.956997E-05	        2.888183E-13	        4.440144E-03	        9.229220E-13	        2.112600E-04	        3.442014E-09	        2.424553E-04	        2.824560E-06	        4.288448E-03	        1.262802E-03	        2.612979E-06	        0.000000E+00	        6.284338E-05	        1.775030E-04	        1.148960E-07	        2.001535E-15	        0.000000E+00	        1.951233E-06	        5.041176E-06	        5.417741E-08	        6.853998E-03	        1.444551E-11	        1.127891E-08	        9.901194E-12	        0.000000E+00	        1.838627E-04	        6.096804E-13	        1.309237E-06	        3.939479E-07	        1.032830E-07	        1.157412E-07	        1.209626E-07	        1.014741E-08	        7.032936E-10	        2.876242E-07	        2.818973E-09	        4.511877E-07	        9.851410E-08	        1.196142E-08	        1.098325E-08	        1.489667E-07	        3.797055E-08	        9.108493E-08	        3.334887E-11	        1.966260E-12	        8.444473E-11	        3.911267E-10	        9.108367E-04	        1.012750E-08	        6.724200E-08	        3.212670E-09	        4.552983E-10	        7.503140E-08	        8.009670E-04	        5.203036E-09	        1.799400E-10	        3.011950E-13	        1.096756E-13	        2.351985E-12	        3.997708E-09	        1.580347E-12	        3.645823E-12
