            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        3.127839E-15	        1.750329E-17	        1.845989E-15	        8.427413E-13	        2.645418E-13	        6.131822E-15	        1.869824E-14	        5.309113E-14	        6.665838E-14	       -1.204363E-08	        9.392402E-13	        8.333874E-12	       -1.057839E-13	        2.742847E-11	        1.982063E-24	        7.737467E-11	        2.204664E-12	        4.793810E-22	        5.288848E-11	       -1.931839E-11	        1.362423E-14	        8.669586E-16	        2.085181E-12	       -9.819177E-12	        1.456980E-20	        3.064218E-14	        7.687043E-11	        0.000000E+00	        6.401795E-10	        7.795787E-12	        9.984854E-14	        1.527793E-11	        5.152882E-10	        9.073031E-09	        1.305901E-14	       -1.466394E-15	        1.181583E-15	        7.979240E-11	        2.903705E-09	        2.506366E-10	        3.382323E-09	       -1.744534E-11	        2.078470E-23	        1.166647E-12	        4.793429E-11	        3.788377E-09	       -1.413120E-12	        1.355533E-11	        1.870902E-16	        1.192162E-06	        7.091359E-18	        1.190100E-06	        7.058182E-12	       -9.883227E-10	        9.079804E-09	        1.577465E-12	        0.000000E+00	        1.220090E-11	       -2.528637E-10	        1.052644E-10	        7.312622E-24	       -1.998585E-11	        4.674228E-19	        8.853335E-12	        2.492484E-12	        1.189594E-06	       -3.953932E-09	       -3.278653E-14	       -2.500998E-10	       -1.188940E-06	        1.188940E-06	        9.134430E-23	        2.731552E-19	        1.595157E-13	        1.971284E-16	        2.882260E-15	       -2.898766E-16	        9.182457E-19	        9.921423E-15	        7.958851E-21	       -1.797130E-13	        2.947154E-15	        2.739894E-15	       -1.265165E-12	        1.263912E-12	        1.670682E-16	        2.912953E-15	        1.259406E-16	        7.966716E-27	        3.383249E-18	        3.193648E-18	       -2.635667E-14	       -1.888458E-09	        1.213620E-15	       -1.108996E-13	        2.317360E-14	       -2.298969E-16	        1.112250E-13	        1.888460E-09	        1.298622E-27	        2.145112E-21	        3.382994E-21	        0.000000E+00	        9.882440E-31	        1.555035E-16	        1.034660E-17	        1.215719E-21
        2.000000E-03	       -2.181071E-11	        6.676429E-14	       -1.952213E-12	        1.433380E-11	       -1.563323E-10	        6.595372E-11	        8.510845E-11	       -1.421809E-10	        1.431051E-09	       -4.970198E-07	        1.689121E-10	        6.791866E-10	       -2.408466E-10	        8.920321E-10	        8.776186E-20	        1.565964E-08	       -1.330359E-10	       -8.872600E-18	       -6.278374E-10	       -5.486234E-09	        2.224229E-12	        2.236155E-12	       -9.579055E-10	       -1.406954E-09	       -5.909611E-18	       -2.943025E-09	        1.087299E-08	        0.000000E+00	        2.777770E-08	       -9.757437E-10	       -2.881653E-11	        2.035611E-09	        1.910810E-08	        3.716147E-07	        9.289775E-12	       -1.198792E-10	       -5.897908E-12	        1.013311E-09	        1.181001E-07	        4.027671E-08	        1.046391E-07	       -1.376398E-10	        3.360335E-18	        2.462494E-10	       -2.506353E-09	        1.234130E-07	       -2.269326E-09	        2.861321E-09	        1.168304E-13	        4.167615E-05	        1.742615E-12	        4.165290E-05	        1.116179E-09	       -1.410723E-07	        3.990739E-07	       -3.713705E-10	        0.000000E+00	       -1.115511E-09	       -3.380193E-10	        2.076086E-08	        8.454739E-20	       -4.272981E-09	        8.238611E-16	       -3.137243E-09	       -3.826869E-10	        4.163199E-05	       -1.297070E-07	       -2.439413E-10	       -2.673046E-08	       -4.153760E-05	        4.153779E-05	        6.572778E-18	        4.840096E-16	        2.624615E-11	       -3.813968E-13	       -5.177911E-13	       -1.427942E-13	        5.455585E-16	        3.095503E-12	        1.694715E-17	       -3.318223E-11	        3.190506E-12	        1.970312E-12	       -2.898283E-13	        6.476146E-12	       -1.032630E-13	        2.721771E-13	        8.024421E-14	        1.431680E-21	        4.806892E-14	        6.682571E-16	       -6.680192E-12	       -2.137763E-07	        3.842830E-13	       -1.110476E-10	        7.240900E-13	        3.473445E-14	        1.110027E-10	        2.137748E-07	        2.108826E-13	        2.407044E-16	        1.423604E-17	        1.354058E-20	        2.050034E-24	        1.086476E-13	        3.639856E-15	        7.780339E-17
        3.100000E-03	       -1.676544E-08	       -2.203336E-11	       -5.943895E-08	       -1.532375E-09	       -3.249614E-08	        5.194463E-08	       -1.296691E-08	       -2.334082E-08	        3.401381E-08	       -8.653225E-06	        8.312330E-08	        7.693744E-09	       -3.519125E-08	       -5.070090E-08	        1.083319E-14	        2.118621E-06	       -1.303194E-07	       -8.084350E-12	       -1.070548E-07	       -6.552703E-07	        2.662004E-09	        3.681344E-10	        1.238525E-07	       -7.146975E-08	       -1.318095E-14	        2.172117E-07	        7.746896E-07	        3.174571E-18	        2.296506E-06	       -8.092885E-08	       -1.164411E-08	        5.319783E-07	        1.233359E-07	        5.982066E-06	        2.882481E-09	       -1.233852E-07	        1.044876E-08	       -1.170501E-07	        2.005775E-06	        1.693649E-06	        1.321687E-06	        3.490541E-09	        1.530762E-14	        2.150069E-08	        4.811299E-08	        2.191918E-06	       -7.792389E-07	        1.548458E-07	        3.829618E-11	        5.136041E-04	        1.341431E-10	        5.278785E-04	        2.529567E-08	       -1.632081E-05	        2.156966E-05	       -1.023184E-07	        0.000000E+00	       -2.629523E-06	        1.254720E-06	       -1.630257E-07	        1.731351E-15	       -1.785732E-07	        2.940826E-14	       -2.776946E-06	       -1.379741E-06	        5.128111E-04	       -1.561503E-06	       -9.576310E-08	       -1.154116E-06	       -5.114290E-04	        5.114370E-04	        5.215196E-16	        1.761556E-14	        6.061551E-10	       -3.509753E-11	       -1.802532E-10	       -2.041339E-12	       -1.727392E-13	        1.106697E-10	        5.935321E-15	       -1.774263E-09	        9.865575E-10	        3.097652E-10	        2.298700E-10	        2.217687E-11	       -1.121264E-11	        3.724019E-11	        1.161434E-11	        3.917958E-18	        8.126990E-12	       -3.641292E-14	       -3.816679E-10	       -2.613082E-06	        3.219349E-11	       -2.884418E-09	        1.145500E-11	        2.385565E-12	        2.880550E-09	        2.613082E-06	        1.246754E-11	        9.149359E-13	        1.619582E-15	        3.168810E-18	        1.029848E-20	        6.528929E-12	        2.567419E-13	        3.716603E-14
        4.100000E-03	       -6.996333E-08	       -2.062363E-09	       -1.704810E-06	        8.814350E-08	        1.237979E-06	        6.861022E-07	       -2.224029E-06	       -2.010969E-07	       -8.604103E-07	       -6.117681E-05	       -7.825573E-07	       -2.128539E-07	       -2.733425E-07	        7.807709E-07	        3.866110E-12	        9.445872E-07	       -1.136399E-06	       -5.913640E-10	        5.298809E-06	       -6.695291E-06	        4.379569E-08	       -3.642734E-08	        2.626531E-06	       -2.253050E-06	       -6.507642E-13	        1.229408E-05	       -2.906425E-06	       -5.701167E-15	       -6.042794E-07	        3.281059E-06	        1.270088E-07	        1.201954E-05	        2.051904E-06	        3.991908E-05	       -3.655890E-08	       -3.143593E-06	        4.230952E-07	        1.423116E-05	        1.192108E-05	        1.679769E-06	        1.008431E-05	       -1.502340E-07	       -1.641370E-12	        7.424097E-07	        5.357447E-06	        2.283682E-05	       -1.334441E-05	        1.781469E-05	        7.370978E-10	        3.123411E-03	       -7.148021E-08	        3.287699E-03	        2.530365E-07	       -1.723888E-04	        3.065314E-04	       -3.310079E-06	        0.000000E+00	       -5.787157E-05	        3.931370E-05	       -1.346622E-05	        9.298602E-14	       -2.660147E-06	        3.255275E-13	       -2.884174E-05	       -2.972300E-05	        3.074962E-03	       -1.110973E-05	       -1.934250E-06	       -4.888002E-06	       -3.123440E-03	        3.124096E-03	        4.663439E-16	        1.632941E-13	        4.527617E-09	       -2.672769E-10	       -8.483979E-10	       -1.815196E-11	       -7.802774E-12	       -2.034943E-10	        1.498538E-13	       -1.348753E-08	        1.053904E-08	        1.488966E-10	       -2.879817E-11	        4.554380E-11	        7.609574E-09	        5.702172E-10	        8.226035E-11	        1.588215E-16	        4.106710E-11	       -4.585758E-13	       -1.919858E-09	       -4.246827E-07	        1.825334E-10	       -5.641696E-09	        9.783600E-11	        7.416821E-12	        5.628600E-09	        4.252103E-07	       -7.630595E-09	        1.054798E-11	       -4.923565E-12	        6.302779E-17	        2.311274E-17	        4.064004E-11	       -1.813556E-12	        1.290463E-13
        5.055060E-03	        1.431142E-07	       -4.652751E-08	       -7.582746E-06	        2.406426E-06	        2.627360E-05	        5.433858E-06	       -2.732475E-05	        6.518354E-08	        1.232606E-05	       -3.451569E-04	       -8.565659E-06	       -1.804913E-06	       -5.903913E-07	        2.852478E-05	        8.580159E-11	       -5.506818E-06	       -2.876646E-06	       -4.046980E-09	        7.579833E-05	       -5.573064E-05	        4.063598E-07	       -9.843240E-07	        3.268763E-05	       -2.158904E-05	       -9.205320E-12	        5.563742E-05	       -2.579721E-05	       -1.713398E-13	       -2.168681E-04	        3.982534E-05	        4.106977E-06	        5.170231E-05	        8.669788E-06	        2.196709E-04	       -4.384015E-07	       -1.087451E-05	        2.434953E-06	        1.951944E-04	        5.427901E-05	       -4.280173E-05	        6.187177E-05	       -1.635306E-06	       -9.261887E-11	        8.182898E-06	        5.719012E-05	        1.286543E-04	       -3.963294E-05	        1.608614E-04	       -6.435020E-10	        1.143681E-02	       -5.137938E-07	        1.180421E-02	        2.292455E-06	       -4.953296E-04	        1.300363E-03	       -3.359064E-05	        0.000000E+00	       -1.975902E-04	        2.894049E-04	       -9.321365E-05	        1.012754E-12	       -1.904968E-05	        2.022418E-12	       -8.661304E-05	       -1.236622E-04	        1.110614E-02	       -6.107350E-05	       -1.530092E-05	       -4.352983E-05	       -1.145550E-02	        1.146120E-02	       -2.795553E-15	        2.817357E-13	        2.328112E-08	       -3.313246E-10	       -2.551333E-10	        2.225206E-11	       -9.287513E-11	       -2.117358E-09	        1.334826E-12	       -3.794858E-08	        3.057435E-08	       -8.373831E-09	       -5.745699E-09	       -1.992163E-11	        9.498584E-07	        2.629494E-09	       -1.555572E-10	       -3.594353E-14	       -2.176020E-11	       -1.370621E-13	       -5.422343E-09	        2.346278E-05	        5.849879E-10	       -2.607151E-09	        1.789460E-10	        6.954857E-12	        2.581700E-09	       -2.345922E-05	       -9.501927E-07	       -3.507849E-12	       -1.574806E-11	       -2.795057E-16	       -8.050690E-14	        5.951933E-11	       -1.929405E-11	       -1.659903E-11
        6.001100E-03	        1.223221E-06	       -2.901096E-06	        2.150149E-07	        2.658125E-05	        2.241593E-05	        1.528051E-05	       -5.511761E-05	       -6.288459E-06	       -8.044557E-06	       -1.682770E-03	       -6.816920E-06	       -1.059576E-06	       -1.652971E-09	        1.083156E-04	       -1.266000E-11	       -3.452846E-07	        1.576650E-06	        2.367700E-11	        1.284786E-04	       -1.757253E-04	       -7.654668E-07	       -1.817305E-08	        4.691018E-05	       -2.826036E-05	        1.224072E-12	        3.628218E-05	       -7.773771E-05	        1.458705E-14	        1.057307E-04	        6.451106E-05	        2.943572E-05	        1.074280E-05	       -2.475864E-05	        1.093072E-03	       -1.777545E-07	       -1.008940E-05	        2.776119E-06	        3.315571E-04	        4.547686E-04	        2.941604E-06	        1.077199E-03	       -2.228187E-07	       -4.044099E-12	        1.521539E-05	        1.831067E-04	        1.179681E-03	       -3.478624E-05	       -3.955277E-06	       -2.950687E-09	        3.890237E-02	       -6.824145E-07	        3.839443E-02	        1.711795E-05	       -1.697457E-03	        2.681323E-03	       -1.676695E-04	        0.000000E+00	       -1.641496E-04	        1.220030E-03	       -1.512773E-04	       -4.967048E-13	       -5.056820E-05	        7.277237E-12	        1.066295E-04	       -1.789242E-04	        3.832556E-02	       -1.079991E-03	       -3.500100E-05	       -1.093990E-04	       -3.854340E-02	        3.855663E-02	       -1.512537E-15	        9.129757E-14	        1.718152E-08	       -2.476132E-09	       -5.643263E-10	        2.062058E-10	       -1.002768E-09	       -9.032125E-11	       -1.447741E-13	       -4.212860E-08	        4.638310E-08	       -2.570364E-10	       -1.335157E-08	       -9.571203E-11	       -2.441792E-09	       -7.071105E-10	       -7.569829E-10	       -6.607796E-15	       -7.104045E-11	       -1.689263E-11	       -6.621295E-09	        1.902837E-06	        3.827273E-10	        1.141240E-10	        4.888570E-11	       -1.561432E-12	       -1.131800E-10	       -1.898332E-06	        1.898776E-09	       -2.951872E-11	       -1.962142E-13	       -1.558012E-15	        2.245307E-17	        1.004217E-11	       -4.969217E-12	       -1.374495E-11
        7.002350E-03	        3.234067E-06	       -8.347308E-07	        2.551579E-07	        6.933385E-05	        4.976429E-08	        2.626014E-07	       -2.912318E-04	       -2.072075E-06	       -6.743005E-06	       -3.110735E-03	       -2.328314E-07	       -7.434923E-07	       -1.655370E-11	        3.777885E-04	       -1.520427E-12	        2.368265E-06	        3.429588E-08	       -4.529100E-13	        2.165515E-04	       -2.597563E-05	       -2.548362E-08	       -3.419765E-09	        1.391995E-04	       -8.025502E-05	        1.493555E-12	        3.058752E-06	       -2.948753E-05	        5.077630E-16	        6.990489E-05	        1.511037E-06	        7.910753E-05	       -9.268553E-06	       -1.517462E-06	        2.056004E-03	       -2.395324E-07	       -2.052292E-07	       -1.049197E-08	        5.874873E-04	        8.163918E-04	        6.128694E-06	        1.222463E-05	       -5.629233E-08	       -3.560908E-13	        2.812161E-05	        5.641415E-05	        5.368848E-05	       -2.165124E-05	       -1.712520E-04	       -3.408152E-10	        1.314642E-03	       -6.341572E-07	       -1.222155E-04	        2.402024E-05	       -1.111016E-03	        3.202268E-03	       -3.539597E-04	        0.000000E+00	        1.669275E-04	        1.231543E-03	       -1.593523E-05	       -4.839926E-13	       -7.548589E-05	        2.742557E-11	        3.670646E-04	       -2.497597E-05	        2.670719E-04	       -1.238260E-05	       -2.545185E-07	       -2.986435E-04	       -5.961550E-04	        5.962622E-04	       -3.995208E-15	        1.160651E-13	        8.478678E-08	       -4.049233E-09	       -2.130964E-09	        7.326005E-10	       -2.245329E-09	       -6.273463E-11	       -1.531887E-12	       -1.296358E-07	        8.786564E-08	       -3.638405E-11	       -3.187880E-08	        2.378248E-10	        5.643727E-06	       -1.009236E-09	        1.751130E-10	       -3.122856E-14	       -2.754191E-11	        8.491915E-12	       -2.401234E-08	        4.943762E-06	        1.591797E-09	        1.927077E-10	        4.319810E-11	       -1.977707E-12	       -1.919400E-10	       -4.923895E-06	       -5.644084E-06	       -1.930914E-11	        6.808953E-12	       -8.495613E-15	        1.430017E-16	        1.018562E-10	       -1.652873E-12	       -1.665728E-12
        8.003810E-03	        1.605666E-06	       -2.914817E-07	        1.520283E-07	        3.401119E-05	        6.598568E-06	        4.315060E-08	       -1.335567E-04	       -9.536336E-07	       -3.725374E-06	       -1.874599E-03	       -4.489930E-08	       -3.347293E-07	       -1.266640E-11	        1.798178E-04	       -7.556342E-13	        9.641342E-07	        8.738473E-09	       -2.993500E-13	        1.321725E-04	       -1.653272E-04	       -1.404298E-08	       -1.518160E-09	        8.462288E-05	       -5.735085E-05	        8.410084E-13	        5.107815E-06	       -1.558102E-05	        1.659840E-16	       -4.769411E-05	        1.126942E-05	        3.968154E-05	       -4.340341E-07	       -5.726101E-07	        1.246584E-03	       -1.165862E-07	       -1.093110E-07	       -7.304092E-09	        3.657149E-04	        4.877921E-04	        5.788761E-06	        2.175183E-06	       -1.256814E-07	       -6.414917E-14	        1.622924E-05	        1.813094E-04	        5.712748E-05	       -1.325609E-05	       -1.177213E-04	       -1.723027E-10	        6.751239E-04	       -2.793115E-07	       -3.574696E-04	        1.328395E-05	       -7.512327E-04	        2.071128E-03	       -2.022811E-04	        0.000000E+00	        7.612032E-05	        9.258039E-04	       -3.289475E-05	       -2.477686E-13	       -4.228101E-05	        9.159379E-11	        2.026600E-04	       -4.188733E-05	       -1.084051E-05	       -1.784663E-06	       -6.484559E-07	       -1.647994E-04	       -2.552320E-04	        2.554673E-04	       -1.878780E-14	        1.119154E-14	        1.744034E-07	       -5.382771E-09	       -4.010047E-09	        1.267299E-09	       -2.630993E-09	       -1.003045E-10	       -2.597865E-12	       -2.452314E-07	        1.415215E-07	        2.014320E-10	       -5.577262E-08	        6.482907E-10	        5.958083E-07	        2.430291E-10	       -9.623977E-10	       -8.267438E-14	       -2.448533E-11	        1.059082E-11	       -4.837184E-08	        1.129354E-05	        3.465194E-09	        4.401028E-10	        4.928200E-11	       -4.045202E-12	       -4.389300E-10	       -1.125257E-05	       -5.964622E-07	       -3.588353E-11	        3.075736E-13	       -3.016842E-14	       -1.157000E-16	        2.181152E-10	       -1.836176E-12	       -1.255072E-12
        9.000420E-03	        6.491578E-08	       -4.719463E-08	        3.444329E-08	        3.108598E-06	        1.447195E-05	        6.579435E-08	       -3.702414E-05	       -2.625589E-07	       -1.188199E-06	       -2.849105E-04	       -1.493001E-08	       -5.591361E-08	       -6.143241E-11	        4.130699E-05	       -4.981046E-13	       -2.097407E-06	        4.757642E-09	       -2.177150E-13	        3.631558E-05	       -3.298240E-04	       -1.017492E-08	       -1.396543E-09	        1.381210E-05	       -2.136815E-05	        7.659913E-14	        6.341859E-06	       -3.501323E-06	        1.871810E-16	       -1.764732E-04	        1.755250E-05	        3.905649E-06	        5.344759E-06	       -2.924033E-07	        1.923351E-04	       -1.408190E-08	       -6.949780E-08	       -7.879668E-10	        7.579867E-05	        7.166083E-05	        4.403809E-06	        2.391276E-06	       -1.415097E-07	        1.101234E-14	        6.827333E-06	        3.290861E-04	        6.927621E-05	       -2.937251E-06	       -7.632648E-05	       -1.169729E-10	        2.677722E-04	       -4.211803E-08	       -1.375858E-04	        4.589095E-06	       -3.616128E-04	        6.609706E-04	       -2.789333E-05	        0.000000E+00	       -9.877381E-06	        4.617260E-04	       -5.416489E-05	       -1.383395E-13	       -1.590826E-05	        2.636519E-10	        1.874327E-05	       -6.322216E-05	        1.059717E-04	       -2.099539E-06	       -4.780409E-07	       -2.180153E-05	       -2.024160E-04	        2.025839E-04	       -7.613051E-14	       -6.765790E-13	        2.674635E-07	       -5.080920E-09	       -5.510148E-09	        1.420935E-09	       -2.039201E-09	       -1.888977E-10	        5.082643E-11	       -3.561183E-07	        1.812406E-07	       -3.911114E-10	       -7.584464E-08	        9.205751E-10	        7.282758E-07	        1.617603E-08	       -1.597710E-08	       -2.215337E-13	       -6.048804E-11	        8.348429E-12	       -7.335137E-08	        3.314783E-05	        6.136120E-09	        2.236354E-09	        1.021400E-10	       -1.457983E-11	       -2.231400E-09	       -3.308661E-05	       -7.292561E-07	       -9.867639E-11	        6.815826E-13	       -8.088864E-14	       -8.363520E-16	        3.352035E-10	       -2.780017E-12	       -1.203071E-12
        1.001090E-02	        4.590066E-09	       -6.200249E-09	       -5.683828E-09	        8.156960E-08	        1.429235E-05	       -5.794863E-08	       -5.142005E-06	       -7.330403E-08	       -3.682600E-07	       -1.535195E-05	       -2.112911E-08	       -1.222838E-08	       -1.088244E-10	        5.076335E-06	       -2.967771E-13	       -1.494677E-06	        3.636520E-09	       -1.374200E-13	        2.073146E-05	       -1.753262E-04	       -4.741241E-09	       -9.186688E-10	        7.235966E-07	       -1.411620E-05	        1.633315E-15	        6.294039E-06	       -7.629917E-07	        2.243240E-16	       -1.072625E-04	        1.358878E-05	        1.130569E-07	        6.041118E-06	       -1.247746E-07	        1.068624E-05	       -4.539949E-10	       -4.434639E-08	        1.778146E-10	        2.062002E-05	        3.868159E-06	        3.957685E-06	        2.261770E-06	       -1.375290E-07	        2.133102E-14	        5.135891E-06	        1.741894E-04	        4.848814E-05	       -8.754507E-07	       -4.570331E-05	       -8.306337E-11	        1.995315E-04	       -8.279390E-09	        1.114365E-06	        2.956265E-06	       -1.876503E-04	        2.419488E-04	       -3.433805E-06	        0.000000E+00	       -8.795324E-06	        2.429455E-04	       -4.834450E-05	       -8.405148E-14	       -1.093842E-05	        5.873496E-10	       -6.884894E-06	       -4.544095E-05	        1.396459E-04	       -2.216528E-06	       -9.816612E-08	       -9.609419E-07	       -1.804910E-04	        1.806735E-04	       -1.457801E-13	       -2.445142E-12	        3.309001E-07	       -5.125941E-09	       -4.930460E-09	        6.512945E-10	       -1.584009E-09	       -2.166268E-10	        2.616930E-10	       -4.126790E-07	        1.763064E-07	       -1.182126E-09	       -8.352049E-08	        1.353321E-09	        2.956091E-07	        3.409962E-08	       -2.922446E-08	       -2.915657E-13	       -1.273757E-10	        5.058025E-12	       -8.843105E-08	        4.949199E-05	        8.779834E-09	        1.977715E-08	        1.025100E-10	       -3.556540E-11	       -1.976440E-08	       -4.941819E-05	       -2.965027E-07	       -1.859642E-10	       -8.226870E-14	       -1.011489E-13	       -1.047081E-15	        4.301001E-10	       -2.964186E-12	       -7.269344E-13
