           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolX_C2H5O  	            VolX_CH  	          VolX_H2O2  	     VolX_CH2CH2CHO  	         VolX_T-CH2  	      VolX_C6H5OCH2  	         VolX_CH3OH  	         VolX_S-CH2  	          VolX_HCCO  	        VolX_C3H6O2  	          VolX_C5H6  	        VolX_P-C3H4  	     VolX_C5H5CH3-1  	         VolX_CH2OH  	        VolX_IXC4H7  	         VolX_CH2CO  	          VolX_CH3O  	VolX_CH2CCHCH2CHCH2  	        VolX_CH2CHO  	          VolX_C2H6  	        VolX_A-C3H5  	          VolX_C3H6  	        VolX_C2H5CO  	        VolX_CHOCHO  	        VolX_ACETOL  	         VolX_C4H3O  	          VolX_C2H2  	       VolX_IC5H9OH  	             VolX_O  	          VolX_C2H3  	      VolX_CH3CHCHO  	          VolX_C3H3  	          VolX_C5H5  	       VolX_C2H3CHO  	       VolX_CH3CHCO  	        VolX_C2H5OH  	       VolX_CH3CHOH  	           VolX_HCO  	        VolX_CH3CHO  	           VolX_HO2  	           VolX_A1O  	        VolX_C6H5OH  	        VolX_IXC4H8  	        VolX_C3H4O3  	          VolX_C2H5  	           VolX_CH3  	       VolX_CH3CO2H  	             VolX_H  	         VolX_A1CH3  	          VolX_CH2O  	        VolX_CC4H4O  	            VolX_CO  	        VolX_C6H8O4  	            VolX_O2  	           VolX_H2O  	        VolX_C6H6O3  	            VolX_AR  	            VolX_H2  	           VolX_CO2  	          VolX_C2H4  	          VolX_C5H8  	       VolX_C6H10O5  	            VolX_N2  	      VolX_FURFURAL  	           VolX_CH4  	            VolX_OH  	      VolX_C6H5OCH3  	          VolX_C6H6  	       VolX_C2H5CHO  	      VolX_OC8H7OOH  	           VolX_A1-  	          VolX_N2H2  	           VolX_NNH  	           VolX_NH2  	            VolX_NH  	           VolX_HNO  	          VolX_HONO  	             VolX_N  	          VolX_H2NO  	           VolX_N2O  	           VolX_NH3  	            VolX_NO  	           VolX_NO2  	           VolX_HCN  	           VolX_HNC  	            VolX_CN  	          VolX_HNCO  	           VolX_NCO  	           VolX_NCN  	        VolX_CH3NH2  	          VolX_H2CN  	         VolX_C5H5N  	         VolX_C5H4N  	        VolX_C5H5NO  	        VolX_C5H4NO  	       VolX_C5H4NO2  	        VolX_PYRLYL  	      VolX_BNC4H4CO  	        VolX_C4H4CN  	        VolX_CHCHCN  	         VolX_C4H5N  	       VolX_CH2CHCN  	          VolX_C2N2  	          VolX_HNCN  	          VolX_HOCN  	         VolX_CH3CN  	         VolX_CH2CN
        1.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        5.8652E-194  	        0.00000E+00  	        7.7265E-195  	        3.1840E-194  	        5.6859E-186  	        0.00000E+00  	        1.3337E-196  	        4.2617E-180  	        2.0697E-181  	        1.8361E-182  	        2.4891E-188  	        7.5744E-198  	        0.00000E+00  	        3.5354E-181  	        7.2906E-186  	        0.00000E+00  	        8.5450E-185  	        4.4267E-180  	        1.0284E-183  	        4.1218E-193  	        2.0933E-201  	        3.9845E-183  	        0.00000E+00  	        1.6944E-192  	        1.1073E-180  	        0.00000E+00  	        2.20051E-12  	        1.0657E-185  	        1.0969E-197  	        4.9168E-182  	        5.0306E-180  	        6.5631E-181  	        1.0300E-188  	        4.7971E-184  	        0.00000E+00  	        4.2294E-185  	        1.4062E-181  	        2.5689E-180  	        1.8034E-181  	        3.9810E-177  	        0.00000E+00  	        2.3722E-185  	        1.2333E-184  	        5.7665E-181  	        5.6106E-183  	        1.4105E-183  	        5.4356E-194  	        1.4858E-179  	        1.1949E-207  	        2.7434E-177  	        3.0032E-184  	        2.10035E-01  	        5.7308E-174  	        4.6798E-183  	        0.00000E+00  	        4.3582E-180  	        5.1189E-178  	        3.9537E-177  	        0.00000E+00  	        1.2471E-182  	        7.89965E-01  	        1.4724E-182  	        7.1756E-178  	        2.4382E-180  	        5.1930E-180  	        5.6495E-181  	        1.5325E-179  	        5.4068E-180  	        7.9697E-184  	        0.00000E+00  	        0.00000E+00  	        3.0880E-182  	        7.7060E-200  	        2.1057E-187  	        4.7322E-189  	        0.00000E+00  	        1.0302E-183  	        6.55686E-13  	        2.0345E-177  	        4.0764E-178  	        4.6335E-185  	        5.1131E-178  	        4.2994E-181  	        0.00000E+00  	        2.5345E-194  	        3.1098E-185  	        0.00000E+00  	        7.1326E-207  	        0.00000E+00  	        2.6734E-178  	        2.0452E-184  	        0.00000E+00  	        1.8778E-195  	        2.9282E-207  	        1.3568E-187  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.6565E-191  	        5.8749E-200  	        0.00000E+00
        2.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.1189E-200  	        0.00000E+00  	        1.5564E-180  	        1.1844E-190  	        3.8623E-181  	        2.8346E-181  	        4.1826E-178  	        1.0343E-187  	        6.0657E-181  	        5.9882E-174  	        3.5749E-171  	        3.7313E-172  	        1.7297E-179  	        7.9223E-181  	        0.00000E+00  	        3.7401E-170  	        1.7010E-178  	        0.00000E+00  	        2.5655E-176  	        1.8684E-171  	        3.2082E-174  	        1.0650E-180  	        4.8811E-183  	        3.1576E-175  	        0.00000E+00  	        6.1549E-181  	        4.7087E-170  	        0.00000E+00  	        3.90193E-12  	        2.8811E-177  	        8.5926E-182  	        2.3342E-172  	        7.6729E-170  	        1.4611E-171  	        7.4529E-179  	        1.8481E-175  	        1.3723E-187  	        1.1272E-176  	        1.5196E-172  	        1.0656E-169  	        1.3115E-172  	        2.5106E-167  	        0.00000E+00  	        5.6367E-177  	        4.7829E-176  	        3.5267E-172  	        1.2920E-174  	        2.2335E-175  	        4.3317E-181  	        2.5302E-170  	        9.8624E-185  	        8.6987E-168  	        1.7227E-175  	        2.10035E-01  	        5.5638E-163  	        2.0731E-175  	        0.00000E+00  	        2.7909E-171  	        9.7040E-169  	        2.0957E-167  	        0.00000E+00  	        1.5034E-175  	        7.89965E-01  	        1.0467E-173  	        1.0296E-168  	        1.0567E-169  	        6.1507E-174  	        2.2590E-172  	        1.2465E-170  	        4.3875E-174  	        7.4595E-176  	        0.00000E+00  	        4.9219E-206  	        5.8984E-173  	        1.7019E-182  	        1.1905E-177  	        5.1307E-180  	        0.00000E+00  	        8.1349E-175  	        1.15981E-12  	        4.9501E-168  	        5.3769E-169  	        2.5170E-176  	        8.9909E-169  	        5.6277E-172  	        7.6386E-196  	        3.9930E-181  	        5.5663E-177  	        0.00000E+00  	        3.6502E-184  	        5.0828E-202  	        5.3940E-169  	        4.7762E-177  	        0.00000E+00  	        6.2780E-182  	        2.1039E-184  	        3.2846E-180  	        1.0860E-191  	        1.0431E-189  	        0.00000E+00  	        5.1192E-197  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.1922E-180  	        1.4499E-182  	        0.00000E+00
        3.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.0582E-181  	        0.00000E+00  	        1.0946E-174  	        2.0140E-178  	        3.0497E-176  	        4.8403E-176  	        2.2549E-170  	        2.5662E-178  	        2.0851E-174  	        6.4449E-171  	        5.1662E-164  	        1.5141E-164  	        9.3600E-174  	        3.0017E-176  	        0.00000E+00  	        1.9897E-162  	        7.9462E-173  	        1.2762E-194  	        1.7940E-170  	        1.1149E-163  	        3.3098E-168  	        1.3890E-175  	        4.4840E-177  	        1.0678E-168  	        2.6743E-201  	        5.3206E-175  	        3.5859E-162  	        0.00000E+00  	        5.86645E-12  	        4.6214E-171  	        9.8668E-176  	        1.5393E-164  	        1.3794E-162  	        4.4535E-164  	        1.7480E-172  	        2.8511E-167  	        6.2466E-179  	        1.7317E-170  	        5.1765E-165  	        5.0902E-162  	        1.6186E-165  	        1.8983E-159  	        0.00000E+00  	        2.0210E-170  	        5.0486E-170  	        9.2876E-165  	        1.5889E-166  	        1.2716E-169  	        2.1131E-176  	        4.3200E-162  	        1.9109E-177  	        1.3046E-159  	        4.9324E-169  	        2.10035E-01  	        9.4474E-154  	        6.7204E-169  	        0.00000E+00  	        3.8384E-164  	        2.7677E-161  	        1.5407E-159  	        0.00000E+00  	        1.7001E-169  	        7.89965E-01  	        3.5202E-165  	        2.0540E-161  	        1.4133E-161  	        7.1409E-171  	        3.4025E-164  	        3.4223E-163  	        2.3616E-171  	        1.4538E-172  	        8.6020E-184  	        1.1502E-182  	        7.4150E-167  	        1.2056E-177  	        2.0554E-171  	        5.7954E-176  	        2.1429E-187  	        2.4039E-168  	        1.73921E-12  	        1.2712E-160  	        6.5766E-162  	        3.0216E-170  	        1.0487E-161  	        4.0918E-164  	        3.9305E-180  	        4.8849E-175  	        9.9975E-171  	        0.00000E+00  	        3.2448E-177  	        2.1620E-181  	        1.5541E-161  	        3.4329E-171  	        0.00000E+00  	        1.8842E-177  	        1.3182E-178  	        3.5860E-175  	        9.2762E-180  	        2.7943E-179  	        2.6730E-198  	        1.8122E-180  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        4.5704E-175  	        3.2520E-177  	        1.3003E-184
        4.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.4910E-177  	        0.00000E+00  	        1.9093E-169  	        6.9140E-174  	        1.8096E-170  	        3.0821E-173  	        7.7319E-165  	        1.3834E-175  	        1.2896E-168  	        5.5365E-169  	        1.3049E-158  	        1.5551E-159  	        2.9687E-170  	        3.6933E-174  	        0.00000E+00  	        2.6503E-157  	        8.5383E-168  	        7.0676E-180  	        4.5202E-164  	        1.8591E-158  	        9.1223E-163  	        1.8135E-169  	        3.0373E-172  	        5.1008E-163  	        5.0644E-182  	        2.0665E-169  	        8.6866E-157  	        0.00000E+00  	        7.78408E-12  	        4.6718E-165  	        3.7879E-171  	        1.9327E-159  	        2.1621E-156  	        9.2505E-159  	        2.5700E-166  	        8.2195E-161  	        1.2984E-174  	        7.1178E-165  	        1.8568E-159  	        6.4708E-157  	        5.0023E-160  	        6.6038E-154  	        8.9678E-193  	        7.1398E-166  	        6.4115E-164  	        2.0909E-159  	        3.2014E-160  	        1.2110E-163  	        1.7140E-170  	        8.7388E-157  	        1.2847E-170  	        2.4969E-154  	        8.7676E-164  	        2.10035E-01  	        7.5964E-147  	        8.1351E-164  	        0.00000E+00  	        6.7176E-159  	        1.8405E-155  	        2.7736E-154  	        0.00000E+00  	        1.0970E-165  	        7.89965E-01  	        3.9130E-159  	        1.1135E-155  	        3.0705E-156  	        4.8714E-169  	        6.8784E-159  	        8.4691E-158  	        2.3719E-169  	        1.6943E-170  	        1.4670E-177  	        2.4641E-177  	        2.3261E-161  	        2.0289E-173  	        5.6765E-166  	        2.8115E-173  	        5.8309E-178  	        1.0367E-162  	        2.30238E-12  	        8.9138E-155  	        5.3102E-156  	        7.4702E-165  	        6.5692E-156  	        3.1343E-159  	        1.2141E-175  	        2.8997E-169  	        6.9707E-166  	        2.3737E-194  	        4.9473E-172  	        2.0085E-177  	        6.6182E-156  	        1.4064E-166  	        0.00000E+00  	        1.3472E-175  	        1.4763E-176  	        6.1811E-172  	        9.1780E-177  	        2.3440E-175  	        3.8964E-181  	        1.0150E-176  	        2.9127E-189  	        6.1211E-194  	        1.7535E-195  	        5.5526E-169  	        6.7004E-172  	        1.8351E-177
        5.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.9167E-175  	        3.6974E-183  	        1.9238E-165  	        1.8014E-170  	        4.3920E-166  	        6.4225E-171  	        1.5580E-159  	        4.8510E-172  	        1.4252E-163  	        1.0153E-166  	        1.9641E-154  	        2.1791E-154  	        1.0686E-167  	        1.4970E-170  	        8.5727E-191  	        1.1526E-151  	        9.8589E-164  	        2.2535E-176  	        5.8021E-160  	        1.1028E-152  	        1.1114E-158  	        1.4502E-164  	        4.1613E-169  	        9.6633E-159  	        1.5481E-176  	        3.6488E-164  	        1.9926E-151  	        0.00000E+00  	        9.62690E-12  	        1.1368E-160  	        6.1726E-168  	        1.8659E-155  	        1.1404E-151  	        2.9047E-153  	        7.3273E-162  	        5.6408E-156  	        2.8216E-170  	        2.1703E-160  	        1.7569E-154  	        4.7375E-151  	        1.9737E-156  	        1.4079E-148  	        3.9920E-179  	        8.3360E-163  	        6.2203E-160  	        2.3540E-154  	        2.9261E-155  	        2.4510E-159  	        3.3142E-166  	        3.8523E-151  	        3.2686E-165  	        7.3545E-149  	        6.0932E-161  	        2.10035E-01  	        1.1776E-142  	        1.1991E-160  	        0.00000E+00  	        8.0102E-154  	        1.6949E-150  	        7.7950E-149  	        5.6319E-199  	        7.0785E-163  	        7.89965E-01  	        1.5529E-154  	        6.4175E-151  	        5.1757E-151  	        2.2273E-167  	        2.2437E-153  	        1.8734E-152  	        1.1369E-167  	        1.7181E-168  	        2.7556E-172  	        5.2580E-174  	        1.1041E-156  	        5.5104E-170  	        1.2857E-161  	        8.6674E-171  	        3.6933E-176  	        2.5600E-158  	        2.84158E-12  	        1.1845E-149  	        3.9079E-151  	        1.1993E-160  	        5.6014E-151  	        2.1924E-155  	        3.5648E-172  	        5.5743E-164  	        1.6289E-162  	        3.0511E-180  	        2.1537E-166  	        2.4380E-175  	        4.1796E-151  	        3.8047E-163  	        0.00000E+00  	        9.2290E-173  	        2.0354E-174  	        1.4947E-168  	        2.4388E-174  	        6.9516E-172  	        1.2832E-177  	        1.0957E-171  	        1.3648E-178  	        9.5746E-180  	        4.1764E-180  	        2.9524E-164  	        1.5641E-167  	        2.1037E-173
        6.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.1315E-173  	        1.3914E-176  	        5.0067E-162  	        5.5501E-167  	        7.4868E-162  	        8.7342E-170  	        1.5925E-153  	        2.5975E-168  	        1.2845E-158  	        9.2150E-165  	        4.2021E-150  	        2.1706E-149  	        1.0108E-164  	        8.7109E-167  	        5.8689E-178  	        7.3365E-146  	        2.6435E-160  	        8.5351E-173  	        1.3953E-156  	        3.1706E-147  	        3.5524E-155  	        7.4709E-160  	        1.5248E-165  	        1.9377E-153  	        4.7771E-174  	        2.2864E-159  	        4.6065E-146  	        0.00000E+00  	        1.18033E-11  	        1.0884E-156  	        1.5733E-164  	        4.1401E-151  	        3.4297E-147  	        2.7988E-148  	        2.5636E-157  	        7.8101E-150  	        7.8345E-167  	        1.0585E-156  	        5.3948E-150  	        7.3782E-146  	        1.0625E-152  	        3.7847E-144  	        1.7787E-174  	        1.4999E-159  	        1.8494E-156  	        6.4523E-150  	        3.1145E-149  	        3.3500E-155  	        2.1117E-161  	        7.2204E-146  	        1.9337E-159  	        1.3137E-143  	        2.5040E-157  	        2.10035E-01  	        5.8145E-136  	        2.2903E-157  	        0.00000E+00  	        3.7650E-148  	        2.8318E-145  	        1.0590E-143  	        1.1578E-179  	        2.0026E-160  	        7.89965E-01  	        8.0838E-148  	        1.1609E-145  	        5.0795E-145  	        3.4559E-166  	        1.9447E-147  	        1.0211E-147  	        1.5123E-166  	        4.6630E-165  	        3.6064E-168  	        5.7330E-170  	        2.2016E-152  	        2.2859E-166  	        9.8978E-158  	        1.2060E-167  	        5.6579E-174  	        4.3216E-154  	        3.47609E-12  	        3.1225E-145  	        1.5986E-146  	        8.4460E-156  	        2.2669E-146  	        4.0996E-151  	        9.0379E-169  	        1.0725E-158  	        4.4691E-159  	        4.6430E-176  	        5.1170E-161  	        4.1194E-173  	        2.3288E-146  	        1.3192E-159  	        0.00000E+00  	        9.9096E-170  	        1.2681E-171  	        3.4472E-165  	        3.5502E-171  	        1.7381E-168  	        6.3805E-175  	        8.0121E-166  	        3.6628E-176  	        8.6181E-177  	        3.1056E-176  	        2.6453E-159  	        8.5106E-164  	        3.3043E-168
        7.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.2939E-171  	        5.7510E-174  	        2.4904E-158  	        2.1320E-164  	        2.0691E-158  	        6.7170E-169  	        2.0284E-148  	        1.2691E-164  	        2.6133E-154  	        1.1222E-162  	        1.4040E-146  	        8.2695E-145  	        1.7395E-161  	        6.8052E-163  	        2.7525E-173  	        1.8474E-141  	        1.6490E-156  	        3.4580E-169  	        6.1053E-153  	        1.0304E-142  	        2.5702E-151  	        2.5633E-155  	        2.0685E-162  	        3.7161E-149  	        1.0677E-171  	        4.4060E-155  	        1.8297E-141  	        1.5124E-194  	        1.41127E-11  	        4.6952E-153  	        2.5428E-161  	        1.5720E-147  	        2.7681E-143  	        7.2275E-144  	        3.9917E-153  	        1.1243E-144  	        4.1079E-163  	        2.9002E-153  	        9.3265E-146  	        7.7832E-141  	        3.8986E-149  	        1.0011E-139  	        1.8260E-170  	        1.5563E-157  	        5.9880E-153  	        2.3582E-145  	        2.7981E-144  	        1.2320E-151  	        5.5787E-157  	        1.2321E-140  	        8.1321E-154  	        5.2133E-139  	        3.8418E-155  	        2.10035E-01  	        1.7911E-130  	        4.7122E-155  	        0.00000E+00  	        1.4312E-143  	        7.7157E-141  	        3.8773E-139  	        2.6225E-173  	        2.3322E-158  	        7.89965E-01  	        8.5852E-143  	        4.2694E-141  	        5.8800E-140  	        7.5180E-165  	        6.3887E-143  	        1.0468E-143  	        3.0440E-165  	        2.8347E-161  	        2.1247E-164  	        2.6782E-166  	        9.9105E-149  	        5.8662E-163  	        3.5304E-154  	        1.9078E-164  	        3.0292E-169  	        1.3811E-150  	        4.14678E-12  	        8.4597E-141  	        3.1184E-142  	        5.2512E-151  	        3.7273E-142  	        2.7380E-147  	        2.7327E-165  	        3.2722E-154  	        7.3135E-156  	        1.0615E-170  	        2.1281E-156  	        8.7488E-171  	        4.4844E-142  	        1.8369E-156  	        0.00000E+00  	        9.8156E-167  	        4.9921E-169  	        4.6401E-162  	        2.6856E-168  	        2.9515E-165  	        8.7704E-172  	        6.4929E-161  	        1.4285E-173  	        8.8398E-174  	        1.6166E-172  	        7.3682E-155  	        2.9756E-160  	        9.7294E-164
        8.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        6.6748E-169  	        9.7847E-170  	        3.5433E-155  	        3.6256E-162  	        1.1378E-154  	        1.3123E-167  	        6.1507E-144  	        2.5933E-161  	        2.5981E-150  	        9.2871E-161  	        9.6389E-143  	        1.1069E-140  	        1.0071E-158  	        1.3276E-159  	        6.7629E-168  	        7.6333E-137  	        2.0016E-153  	        5.3232E-166  	        5.0065E-150  	        2.7087E-138  	        9.5500E-148  	        2.5509E-151  	        4.8727E-160  	        1.0391E-145  	        1.1255E-169  	        1.7076E-151  	        7.0683E-137  	        9.9383E-178  	        1.65575E-11  	        8.0849E-150  	        5.6568E-159  	        8.6607E-144  	        1.1639E-139  	        6.9759E-140  	        5.4721E-149  	        1.0077E-139  	        1.8072E-159  	        2.2005E-149  	        3.1159E-142  	        1.6056E-136  	        5.5867E-146  	        3.7766E-136  	        1.0747E-166  	        3.3046E-155  	        1.0745E-149  	        2.4263E-141  	        8.1698E-140  	        5.2307E-148  	        4.6652E-153  	        3.0779E-136  	        1.0858E-148  	        1.8194E-134  	        6.3460E-153  	        2.10035E-01  	        1.4529E-125  	        1.4116E-152  	        0.00000E+00  	        5.4207E-139  	        2.5792E-136  	        8.2638E-135  	        2.1294E-168  	        2.8320E-156  	        7.89965E-01  	        7.0178E-138  	        1.0914E-136  	        2.7527E-135  	        2.6007E-163  	        2.9250E-138  	        4.4068E-140  	        6.2882E-164  	        7.1401E-158  	        2.8014E-161  	        5.0581E-163  	        5.0280E-145  	        1.1513E-159  	        2.0672E-150  	        1.8512E-161  	        6.9089E-166  	        3.6024E-146  	        4.85411E-12  	        6.0565E-137  	        1.6867E-138  	        2.2078E-146  	        1.5780E-138  	        1.5136E-143  	        2.1148E-162  	        3.3597E-150  	        1.1130E-152  	        7.0237E-167  	        4.7462E-153  	        2.3415E-168  	        2.8065E-138  	        3.0617E-153  	        0.00000E+00  	        2.5978E-164  	        1.2443E-166  	        6.7425E-159  	        9.4794E-166  	        2.4500E-162  	        5.9433E-169  	        2.1507E-156  	        5.9821E-169  	        7.5358E-170  	        2.6755E-168  	        4.6469E-151  	        1.4866E-156  	        3.9508E-160
        9.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        6.0087E-167  	        4.1075E-166  	        5.9103E-152  	        2.1273E-160  	        7.8696E-151  	        9.3490E-167  	        1.3860E-139  	        5.1670E-158  	        6.7776E-147  	        1.4742E-159  	        4.2493E-139  	        6.1688E-137  	        2.0292E-156  	        3.8110E-156  	        3.5305E-163  	        1.1923E-132  	        3.0412E-150  	        4.6410E-163  	        1.8406E-146  	        1.9561E-134  	        4.5134E-143  	        1.4229E-147  	        9.2128E-158  	        1.5220E-142  	        4.0233E-168  	        1.6882E-147  	        9.9703E-133  	        2.6932E-173  	        1.91261E-11  	        9.4746E-147  	        9.0601E-157  	        3.9743E-140  	        3.1334E-136  	        2.7375E-136  	        7.2359E-145  	        2.5948E-135  	        3.2482E-156  	        5.3494E-146  	        2.9146E-138  	        2.0694E-132  	        1.5229E-142  	        3.7647E-132  	        6.3456E-163  	        2.9452E-153  	        1.9203E-146  	        5.5688E-138  	        1.5931E-135  	        7.5503E-145  	        3.9518E-149  	        4.5315E-132  	        4.1859E-144  	        4.1246E-130  	        7.3495E-151  	        2.10035E-01  	        5.1063E-121  	        1.3286E-150  	        0.00000E+00  	        1.6737E-134  	        1.1135E-131  	        1.0154E-130  	        6.0515E-165  	        4.2313E-155  	        7.89965E-01  	        1.6187E-133  	        2.0942E-132  	        8.7847E-131  	        3.0288E-162  	        5.6874E-134  	        7.6586E-137  	        5.4178E-163  	        7.8965E-155  	        4.2901E-158  	        4.5683E-160  	        1.1231E-141  	        2.2011E-156  	        5.8087E-147  	        2.6488E-158  	        1.6223E-162  	        9.7522E-143  	        5.59444E-12  	        3.0715E-133  	        7.9151E-135  	        4.7884E-142  	        1.0945E-134  	        5.3243E-140  	        7.5138E-160  	        5.0539E-146  	        2.8912E-149  	        1.9540E-163  	        1.1693E-149  	        7.9818E-166  	        1.6656E-134  	        8.0011E-150  	        0.00000E+00  	        9.1201E-162  	        3.3839E-164  	        3.5043E-156  	        1.8014E-163  	        8.7052E-160  	        8.0021E-167  	        2.1754E-152  	        8.5525E-168  	        4.2581E-166  	        2.2022E-164  	        1.3997E-147  	        7.6782E-153  	        2.7360E-156
        1.01000E-02  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        4.1063E-165  	        1.4474E-163  	        4.2380E-148  	        1.7760E-158  	        3.2403E-147  	        1.2948E-165  	        4.6489E-135  	        1.8548E-154  	        1.2983E-143  	        2.4528E-158  	        1.5391E-135  	        1.1290E-132  	        7.7541E-154  	        1.1862E-152  	        1.9220E-158  	        4.8496E-128  	        1.6139E-146  	        1.2652E-160  	        6.2530E-143  	        2.7411E-130  	        1.6740E-139  	        1.5240E-143  	        1.4050E-155  	        5.2712E-139  	        7.9900E-166  	        3.2342E-144  	        2.7177E-128  	        1.7669E-168  	        2.21006E-11  	        3.7482E-143  	        1.2480E-154  	        1.7684E-136  	        1.2688E-132  	        2.2165E-132  	        1.1592E-140  	        1.3766E-130  	        8.9810E-153  	        2.2367E-142  	        2.2732E-134  	        4.6987E-128  	        2.3752E-139  	        1.9546E-128  	        5.3215E-159  	        8.0244E-152  	        1.1135E-143  	        1.2150E-133  	        2.5344E-131  	        7.5247E-141  	        3.5145E-145  	        9.8811E-128  	        2.3756E-139  	        1.3613E-125  	        8.1004E-149  	        2.10035E-01  	        3.3038E-116  	        1.0384E-148  	        0.00000E+00  	        5.5048E-130  	        5.3668E-127  	        1.5537E-126  	        5.0947E-161  	        1.0363E-153  	        7.89965E-01  	        7.5826E-129  	        6.0702E-128  	        3.4327E-126  	        5.9007E-160  	        1.6488E-129  	        3.8399E-133  	        6.5698E-162  	        4.6197E-151  	        1.5930E-154  	        1.1043E-157  	        7.1922E-138  	        6.3768E-153  	        1.5391E-143  	        3.6933E-155  	        6.6775E-159  	        1.8703E-139  	        6.44832E-12  	        5.9804E-129  	        8.1938E-131  	        2.2627E-137  	        1.0881E-130  	        2.3951E-136  	        2.7773E-157  	        3.4510E-142  	        7.8713E-146  	        1.5220E-160  	        2.9952E-146  	        1.5907E-163  	        2.5618E-130  	        1.0592E-146  	        0.00000E+00  	        3.1958E-159  	        3.9144E-162  	        2.7114E-153  	        4.2741E-161  	        3.0154E-157  	        6.4508E-165  	        1.8279E-148  	        1.5613E-166  	        6.5379E-163  	        1.4443E-161  	        2.7131E-143  	        4.7414E-149  	        1.4786E-152
