           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        1.00000E-03  	        1.40000E+03  	        4.02509E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        3.6551E-190  	        2.6081E-202  	        8.9394E-195  	        1.5987E-190  	        2.1718E-183  	        0.00000E+00  	        1.1574E-191  	        7.3057E-177  	        8.8077E-179  	        7.4627E-180  	        1.0833E-185  	        1.2346E-189  	        0.00000E+00  	        1.5521E-178  	        1.4225E-183  	        0.00000E+00  	        7.6990E-182  	        2.1613E-177  	        1.9496E-181  	        1.4238E-191  	        3.5613E-194  	        2.7750E-180  	        0.00000E+00  	        2.2144E-189  	        6.8671E-179  	        0.00000E+00  	        1.24402E-12  	        5.9638E-183  	        1.1991E-189  	        1.0645E-179  	        1.9750E-177  	        6.6339E-178  	        1.5138E-184  	        2.2836E-181  	        0.00000E+00  	        7.5983E-183  	        1.4092E-178  	        6.3005E-178  	        1.1847E-178  	        2.5998E-174  	        0.00000E+00  	        2.0678E-182  	        7.7421E-182  	        7.8916E-179  	        3.4632E-180  	        9.3308E-183  	        9.1228E-190  	        3.6392E-177  	        2.8440E-203  	        7.7043E-176  	        1.4261E-181  	        2.32920E-01  	        8.0221E-172  	        6.2237E-180  	        0.00000E+00  	        8.9460E-179  	        5.4750E-175  	        1.1491E-175  	        0.00000E+00  	        2.1277E-179  	        7.67080E-01  	        1.4439E-179  	        1.0689E-176  	        4.2345E-178  	        4.6445E-177  	        1.2725E-178  	        2.0948E-176  	        6.9704E-177  	        4.0815E-182  	        0.00000E+00  	        0.00000E+00  	        6.0159E-182  	        1.0609E-204  	        2.6409E-194  	        2.4380E-190  	        0.00000E+00  	        8.8269E-183  	        1.01984E-12  	        3.1594E-176  	        1.0982E-176  	        4.6749E-184  	        1.2454E-176  	        7.1234E-180  	        0.00000E+00  	        5.1851E-195  	        1.6357E-185  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.9293E-176  	        3.1557E-183  	        0.00000E+00  	        9.0235E-201  	        0.00000E+00  	        5.4847E-192  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.0554E-192  	        1.7811E-203  	        0.00000E+00
        2.00000E-03  	        1.40000E+03  	        4.37578E-01  	        1.01325E+05  	        2.0840E-193  	        0.00000E+00  	        1.5944E-178  	        1.9981E-181  	        7.3812E-180  	        1.0929E-177  	        1.8024E-175  	        9.0659E-184  	        1.4708E-178  	        5.4808E-171  	        1.9156E-169  	        2.0563E-170  	        1.5865E-176  	        1.3873E-177  	        0.00000E+00  	        1.5960E-168  	        2.5943E-176  	        0.00000E+00  	        2.9574E-173  	        2.7913E-169  	        1.0777E-172  	        1.0411E-178  	        6.0136E-179  	        1.9892E-172  	        0.00000E+00  	        8.8550E-178  	        8.7376E-169  	        0.00000E+00  	        2.17926E-12  	        1.2429E-174  	        2.9235E-178  	        4.3525E-170  	        7.9806E-168  	        9.6080E-169  	        2.1462E-175  	        4.0599E-173  	        1.4620E-183  	        2.0346E-174  	        9.1745E-170  	        4.6842E-168  	        3.6087E-170  	        1.8878E-165  	        0.00000E+00  	        5.3774E-174  	        2.5630E-173  	        2.7483E-170  	        3.0155E-172  	        1.1323E-174  	        1.5942E-178  	        2.3121E-168  	        7.9703E-182  	        4.6149E-167  	        1.1033E-172  	        2.32920E-01  	        1.3144E-161  	        2.1968E-172  	        0.00000E+00  	        4.5322E-171  	        3.8821E-166  	        4.6851E-167  	        0.00000E+00  	        3.3867E-172  	        7.67080E-01  	        4.2270E-171  	        1.3676E-168  	        3.7051E-168  	        3.7135E-171  	        1.0582E-170  	        6.0872E-168  	        4.6326E-171  	        4.5247E-173  	        0.00000E+00  	        2.1186E-195  	        3.6786E-173  	        1.1430E-182  	        1.7485E-178  	        4.9271E-178  	        0.00000E+00  	        8.8738E-175  	        1.78213E-12  	        6.4336E-168  	        1.7770E-168  	        1.3351E-176  	        1.8246E-168  	        1.0118E-171  	        0.00000E+00  	        8.7688E-180  	        1.2295E-176  	        0.00000E+00  	        7.3718E-183  	        0.00000E+00  	        3.7236E-168  	        3.9643E-176  	        0.00000E+00  	        2.9697E-181  	        2.2611E-184  	        2.4262E-179  	        5.1104E-197  	        5.6466E-193  	        0.00000E+00  	        2.1275E-198  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.6919E-179  	        9.3752E-182  	        0.00000E+00
        3.10000E-03  	        1.40000E+03  	        4.48004E-01  	        1.01325E+05  	        5.0413E-178  	        0.00000E+00  	        5.2546E-172  	        1.1093E-174  	        5.0926E-174  	        2.1036E-173  	        9.3990E-168  	        1.3503E-176  	        2.9463E-171  	        4.1007E-168  	        4.0381E-163  	        4.4895E-163  	        4.5680E-171  	        4.3443E-173  	        0.00000E+00  	        1.9307E-160  	        2.6957E-170  	        9.2234E-186  	        1.8315E-167  	        1.6767E-161  	        1.0595E-166  	        7.3954E-173  	        1.6017E-173  	        1.6950E-164  	        9.4693E-185  	        3.0516E-172  	        9.6914E-161  	        0.00000E+00  	        3.28493E-12  	        1.7421E-168  	        2.5281E-172  	        8.1279E-164  	        3.4639E-160  	        5.5575E-161  	        5.6312E-169  	        2.5108E-164  	        2.9181E-176  	        1.7390E-168  	        3.1522E-162  	        1.0501E-159  	        9.5335E-164  	        3.4386E-157  	        0.00000E+00  	        1.0263E-167  	        3.4110E-167  	        4.3047E-163  	        1.5608E-163  	        2.3153E-168  	        8.3218E-174  	        6.4279E-160  	        8.6658E-174  	        6.4523E-159  	        6.8914E-165  	        2.32920E-01  	        2.3251E-152  	        1.3585E-164  	        0.00000E+00  	        3.9425E-164  	        9.6353E-158  	        2.9191E-159  	        0.00000E+00  	        2.4686E-166  	        7.67080E-01  	        2.1708E-162  	        6.0693E-162  	        8.8725E-160  	        2.7568E-168  	        1.2521E-162  	        3.4850E-160  	        2.3942E-168  	        3.3381E-170  	        1.1765E-197  	        2.4096E-178  	        3.3361E-167  	        1.7402E-176  	        3.6275E-172  	        1.1146E-174  	        2.8920E-193  	        2.2674E-168  	        2.67927E-12  	        3.2687E-161  	        1.6815E-162  	        1.3631E-170  	        1.4700E-162  	        4.5413E-164  	        1.3977E-181  	        2.6587E-174  	        9.4194E-171  	        0.00000E+00  	        2.0925E-176  	        5.6740E-182  	        7.2166E-162  	        1.2983E-170  	        0.00000E+00  	        5.4161E-176  	        6.4398E-177  	        4.1834E-175  	        5.2980E-179  	        2.3262E-178  	        0.00000E+00  	        1.5625E-178  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        3.5874E-174  	        9.4870E-176  	        8.1140E-187
        4.10000E-03  	        1.40000E+03  	        4.67099E-01  	        1.01325E+05  	        3.3152E-175  	        2.6814E-193  	        2.4759E-167  	        4.5871E-170  	        3.0404E-168  	        1.1994E-170  	        2.9876E-162  	        1.0318E-172  	        1.4816E-165  	        2.7876E-166  	        6.2732E-157  	        2.2901E-157  	        7.0751E-168  	        2.4517E-171  	        0.00000E+00  	        5.6037E-155  	        3.3642E-165  	        2.1168E-176  	        4.1870E-161  	        5.2763E-156  	        1.7824E-160  	        6.9482E-167  	        1.0126E-168  	        6.8065E-160  	        1.2022E-175  	        2.4226E-166  	        1.3120E-155  	        0.00000E+00  	        4.36813E-12  	        1.6709E-162  	        1.3540E-167  	        3.3883E-158  	        7.2115E-155  	        6.2314E-156  	        5.1694E-163  	        2.2024E-158  	        1.9154E-171  	        2.3569E-162  	        8.6030E-157  	        2.0329E-154  	        1.2856E-158  	        3.5094E-151  	        1.0088E-182  	        6.4087E-163  	        4.9390E-161  	        2.4147E-157  	        7.9738E-158  	        6.5499E-163  	        5.1172E-168  	        2.0440E-154  	        2.1162E-167  	        1.4597E-153  	        5.8736E-160  	        2.32920E-01  	        9.5826E-146  	        7.6796E-160  	        0.00000E+00  	        9.5438E-159  	        9.6669E-153  	        5.4677E-154  	        0.00000E+00  	        2.3738E-162  	        7.67080E-01  	        6.5938E-156  	        2.4233E-156  	        6.4115E-154  	        2.5316E-166  	        2.8913E-157  	        2.2855E-154  	        1.5146E-166  	        2.8626E-168  	        8.1601E-179  	        5.8511E-175  	        3.7965E-162  	        1.3440E-172  	        1.1174E-166  	        3.8812E-172  	        9.6535E-179  	        3.4955E-163  	        3.55444E-12  	        3.3963E-155  	        3.1719E-156  	        4.6499E-165  	        5.8417E-156  	        5.9591E-160  	        7.4334E-176  	        1.8289E-168  	        2.9237E-166  	        8.8387E-185  	        1.2848E-170  	        3.2587E-176  	        1.2788E-155  	        4.4923E-167  	        0.00000E+00  	        5.9841E-174  	        9.4580E-175  	        2.0921E-171  	        3.7519E-175  	        9.2067E-175  	        2.7558E-183  	        9.1409E-175  	        5.5992E-192  	        0.00000E+00  	        1.1193E-183  	        7.5458E-169  	        1.2880E-171  	        3.0276E-176
        5.00000E-03  	        1.40000E+03  	        4.79234E-01  	        1.01325E+05  	        9.0156E-173  	        6.4975E-178  	        3.8675E-163  	        5.2777E-167  	        4.1518E-164  	        8.8654E-169  	        5.7959E-157  	        1.4885E-169  	        8.0558E-161  	        1.4735E-164  	        1.4891E-152  	        3.1265E-152  	        3.0857E-165  	        1.0800E-167  	        2.2249E-186  	        1.4294E-149  	        3.5013E-161  	        4.1340E-173  	        7.4190E-157  	        1.6271E-150  	        7.7095E-157  	        3.2516E-162  	        6.3768E-166  	        2.9609E-155  	        2.7586E-173  	        4.2428E-161  	        9.5370E-150  	        0.00000E+00  	        5.41036E-12  	        5.7540E-158  	        1.1770E-164  	        6.0260E-154  	        8.6926E-150  	        2.0021E-150  	        2.5919E-158  	        6.1546E-154  	        2.0341E-167  	        4.4366E-158  	        1.8636E-151  	        4.3986E-149  	        1.1563E-154  	        9.9737E-147  	        5.1874E-175  	        3.0761E-160  	        7.3231E-157  	        3.0271E-152  	        9.6833E-153  	        7.3599E-158  	        9.7449E-164  	        4.9838E-149  	        1.1664E-162  	        4.6432E-148  	        1.6365E-156  	        2.32920E-01  	        8.3963E-141  	        2.1755E-156  	        0.00000E+00  	        2.7891E-153  	        2.1808E-146  	        1.6781E-148  	        1.8658E-191  	        9.4151E-160  	        7.67080E-01  	        1.1323E-151  	        1.1216E-150  	        7.7911E-149  	        5.0130E-165  	        5.4539E-152  	        2.4450E-149  	        9.0654E-165  	        1.7487E-166  	        1.9795E-174  	        1.5838E-170  	        1.2305E-157  	        2.8291E-169  	        1.1659E-162  	        7.1228E-170  	        1.8554E-175  	        4.7120E-159  	        4.39336E-12  	        6.3347E-151  	        4.7145E-152  	        5.0094E-161  	        6.9191E-152  	        5.3550E-156  	        5.4125E-172  	        9.9303E-164  	        2.9373E-163  	        4.7016E-176  	        6.4252E-166  	        1.1357E-174  	        1.5633E-151  	        1.1167E-163  	        0.00000E+00  	        1.7333E-171  	        3.0512E-173  	        2.0437E-168  	        3.5285E-173  	        4.2038E-171  	        3.1341E-176  	        3.4943E-170  	        7.3841E-178  	        0.00000E+00  	        8.6131E-176  	        4.5956E-164  	        6.7974E-168  	        2.0356E-172
        6.00000E-03  	        1.40000E+03  	        4.85501E-01  	        1.01325E+05  	        5.3396E-171  	        2.1204E-174  	        1.9451E-159  	        1.1586E-163  	        4.9155E-160  	        1.5876E-167  	        5.4156E-151  	        3.9592E-166  	        1.7709E-156  	        3.1000E-162  	        3.5075E-148  	        1.9381E-147  	        3.8351E-162  	        5.0858E-164  	        3.7927E-175  	        9.0968E-144  	        1.5481E-157  	        1.2941E-169  	        6.4677E-153  	        3.1785E-145  	        2.8472E-153  	        1.0254E-157  	        1.9130E-162  	        9.2475E-151  	        3.4226E-171  	        6.0351E-157  	        2.3550E-144  	        0.00000E+00  	        6.64264E-12  	        7.3985E-154  	        2.1824E-161  	        2.5540E-149  	        2.6211E-145  	        2.1248E-145  	        6.3059E-154  	        5.9888E-147  	        6.0118E-164  	        4.9749E-154  	        4.3284E-147  	        2.8642E-143  	        5.8055E-151  	        4.2696E-142  	        2.2068E-171  	        2.1328E-157  	        5.3751E-153  	        7.8070E-148  	        1.1167E-146  	        7.6780E-154  	        3.2916E-159  	        3.0142E-143  	        6.6871E-157  	        3.8277E-142  	        2.0803E-153  	        2.32920E-01  	        2.5369E-134  	        3.4595E-153  	        0.00000E+00  	        1.6536E-147  	        2.0029E-141  	        1.3898E-142  	        1.8656E-175  	        1.6691E-157  	        7.67080E-01  	        1.5873E-145  	        1.0703E-145  	        9.7892E-143  	        1.8434E-163  	        2.8913E-146  	        6.7939E-145  	        1.4914E-163  	        2.3417E-163  	        3.2223E-171  	        4.6071E-167  	        1.0214E-153  	        8.6478E-166  	        2.1464E-158  	        1.1596E-166  	        4.3906E-173  	        4.5443E-155  	        5.38166E-12  	        3.7466E-146  	        2.4461E-147  	        5.9693E-156  	        2.6034E-147  	        2.8838E-152  	        1.7640E-168  	        5.8269E-159  	        3.4262E-159  	        7.1009E-172  	        6.5465E-161  	        1.4748E-172  	        9.3866E-147  	        1.1892E-160  	        0.00000E+00  	        1.2501E-168  	        1.2211E-170  	        6.1668E-165  	        1.9935E-170  	        9.8213E-168  	        5.6497E-174  	        4.1543E-165  	        2.8570E-174  	        0.00000E+00  	        3.2284E-173  	        1.6917E-159  	        1.6046E-164  	        7.0869E-168
        7.00000E-03  	        1.40000E+03  	        5.00666E-01  	        1.01325E+05  	        1.2953E-168  	        8.9064E-171  	        1.2504E-155  	        5.1392E-161  	        1.9835E-156  	        5.3650E-166  	        4.3490E-146  	        2.9214E-162  	        1.9716E-151  	        3.4480E-160  	        1.2170E-144  	        5.2681E-143  	        3.7897E-159  	        2.1080E-160  	        8.3224E-170  	        4.0083E-139  	        1.8832E-154  	        2.0410E-166  	        3.3638E-149  	        7.5230E-141  	        1.2039E-149  	        4.6674E-153  	        4.0929E-159  	        6.5136E-147  	        7.7629E-169  	        1.8718E-152  	        1.0072E-139  	        1.2260E-191  	        7.95207E-12  	        2.4999E-150  	        4.4960E-158  	        1.1602E-145  	        1.7234E-141  	        5.6272E-141  	        1.4898E-149  	        4.8866E-142  	        4.6140E-160  	        1.2677E-150  	        1.1394E-142  	        8.8668E-139  	        3.1684E-147  	        6.9117E-138  	        8.2241E-168  	        6.8929E-155  	        1.6764E-149  	        1.6736E-143  	        1.0123E-141  	        2.3516E-150  	        3.4990E-155  	        1.8308E-138  	        5.9515E-151  	        3.2376E-137  	        4.3313E-151  	        2.32920E-01  	        4.1083E-129  	        2.7854E-150  	        0.00000E+00  	        2.0468E-142  	        1.4511E-136  	        7.5048E-138  	        1.0146E-169  	        1.5872E-155  	        7.67080E-01  	        9.1921E-140  	        1.6575E-140  	        9.3455E-138  	        2.2143E-162  	        6.9911E-142  	        1.2802E-140  	        1.9729E-162  	        9.7112E-160  	        8.5361E-168  	        1.0005E-163  	        3.3398E-150  	        1.4594E-162  	        6.1011E-155  	        9.0589E-164  	        1.6379E-167  	        1.3268E-150  	        6.42774E-12  	        3.2118E-142  	        1.0792E-143  	        1.9085E-151  	        1.0020E-143  	        1.2024E-148  	        3.2701E-165  	        1.5588E-154  	        3.0993E-156  	        1.1058E-167  	        2.9991E-157  	        3.4612E-170  	        6.3815E-143  	        2.0389E-157  	        0.00000E+00  	        4.9795E-166  	        3.5429E-168  	        9.8686E-162  	        1.2733E-167  	        1.1779E-164  	        3.4711E-172  	        1.4616E-160  	        8.4691E-172  	        0.00000E+00  	        9.6018E-169  	        1.6519E-155  	        1.5033E-160  	        3.9284E-164
        8.00000E-03  	        1.40000E+03  	        5.21490E-01  	        1.01325E+05  	        1.5281E-166  	        5.1487E-167  	        1.4661E-152  	        1.2694E-158  	        2.0139E-152  	        4.5023E-165  	        2.0324E-141  	        2.5489E-159  	        1.9670E-147  	        1.7068E-158  	        7.7328E-141  	        6.9189E-139  	        1.3777E-156  	        8.9693E-157  	        6.5318E-165  	        9.8383E-135  	        2.6737E-151  	        2.6867E-163  	        3.9059E-146  	        1.0397E-136  	        8.5154E-146  	        3.6109E-149  	        7.8021E-157  	        3.0647E-143  	        3.5643E-167  	        1.4653E-148  	        2.2955E-135  	        1.5909E-175  	        9.33699E-12  	        4.9096E-147  	        1.5459E-155  	        5.9848E-142  	        1.3772E-137  	        3.1750E-137  	        2.1964E-145  	        3.1022E-137  	        5.6348E-157  	        1.0337E-146  	        3.4155E-139  	        2.6081E-134  	        7.3020E-144  	        3.9613E-134  	        4.2378E-164  	        1.1869E-152  	        3.2980E-146  	        5.8866E-140  	        3.2367E-137  	        1.2723E-146  	        1.7885E-151  	        3.7797E-134  	        5.1905E-146  	        1.1496E-132  	        1.2720E-149  	        2.32920E-01  	        3.8291E-124  	        1.8626E-149  	        0.00000E+00  	        7.8953E-138  	        2.2395E-132  	        1.4223E-133  	        4.6615E-166  	        1.0414E-153  	        7.67080E-01  	        3.8619E-135  	        5.5420E-136  	        4.7332E-133  	        7.3387E-161  	        3.1999E-137  	        8.9222E-137  	        3.1449E-161  	        1.7153E-156  	        1.3172E-164  	        1.1111E-160  	        2.4492E-146  	        2.1486E-159  	        1.1940E-151  	        1.1036E-160  	        3.7122E-164  	        2.4446E-147  	        7.52987E-12  	        1.6413E-138  	        9.2486E-140  	        1.2361E-146  	        6.9338E-140  	        4.8749E-145  	        1.1655E-162  	        1.5747E-150  	        5.3427E-153  	        5.1685E-164  	        6.9714E-154  	        6.0045E-168  	        4.1543E-139  	        4.6706E-154  	        0.00000E+00  	        1.1724E-163  	        6.3209E-166  	        1.2145E-158  	        1.4629E-165  	        3.8342E-162  	        1.0555E-166  	        1.3811E-156  	        2.8236E-169  	        1.0301E-176  	        4.8728E-165  	        6.0819E-152  	        2.9468E-157  	        1.6863E-160
        9.00000E-03  	        1.40000E+03  	        5.32386E-01  	        1.01325E+05  	        6.1481E-165  	        3.2307E-164  	        1.1655E-149  	        8.2501E-157  	        8.6605E-149  	        4.6695E-164  	        3.9081E-137  	        5.8262E-156  	        3.5090E-144  	        6.0905E-157  	        4.8468E-137  	        4.4609E-135  	        2.8977E-154  	        6.7985E-154  	        1.0233E-160  	        1.9956E-130  	        3.3396E-148  	        5.7764E-161  	        7.1455E-143  	        3.8983E-133  	        5.9224E-142  	        1.5661E-145  	        1.8610E-154  	        1.0715E-139  	        4.3721E-165  	        6.0253E-145  	        4.3902E-131  	        4.2899E-170  	        1.07961E-11  	        5.9213E-144  	        5.7651E-153  	        3.9672E-138  	        2.8569E-134  	        2.3058E-133  	        1.7470E-141  	        6.8188E-133  	        6.5565E-154  	        1.9753E-143  	        4.7155E-135  	        3.1705E-130  	        1.2660E-140  	        3.9706E-130  	        1.0476E-160  	        7.7439E-151  	        6.1387E-143  	        4.2922E-136  	        4.9236E-133  	        5.6364E-143  	        6.8587E-148  	        6.1536E-130  	        1.1312E-141  	        2.3529E-128  	        5.3058E-148  	        2.32920E-01  	        1.2757E-119  	        1.1333E-147  	        0.00000E+00  	        1.7162E-133  	        5.6981E-128  	        2.7363E-129  	        1.7871E-162  	        1.5810E-152  	        7.67080E-01  	        1.0628E-130  	        1.1562E-131  	        7.2218E-129  	        1.7706E-159  	        3.0232E-133  	        1.4540E-133  	        2.8483E-160  	        3.0664E-153  	        1.9517E-161  	        3.3264E-158  	        3.9853E-143  	        5.6268E-156  	        2.5035E-148  	        8.5854E-158  	        1.1403E-160  	        2.4916E-144  	        8.68659E-12  	        1.0522E-134  	        4.3888E-136  	        1.9067E-142  	        1.9941E-136  	        4.3733E-142  	        3.2862E-160  	        7.1904E-147  	        1.2980E-149  	        7.4347E-161  	        1.6311E-150  	        1.4048E-165  	        1.3364E-135  	        4.6992E-151  	        0.00000E+00  	        1.7278E-161  	        5.4689E-164  	        1.9173E-156  	        2.3902E-163  	        9.0970E-160  	        1.1799E-166  	        2.2806E-153  	        8.3498E-166  	        8.6979E-171  	        7.8579E-162  	        5.8660E-148  	        3.5433E-154  	        2.2406E-157
        1.01000E-02  	        1.40000E+03  	        5.33791E-01  	        1.01325E+05  	        9.9338E-163  	        7.1456E-162  	        9.3676E-146  	        9.8790E-155  	        3.1656E-145  	        1.0355E-162  	        1.0524E-132  	        1.7591E-152  	        1.4948E-140  	        4.8349E-156  	        3.9563E-133  	        7.3151E-131  	        1.1544E-151  	        2.7066E-150  	        7.9534E-157  	        6.6192E-126  	        7.9744E-145  	        1.1597E-158  	        2.3319E-139  	        1.0905E-128  	        6.0360E-138  	        2.8845E-141  	        2.0778E-152  	        1.6737E-136  	        2.7496E-163  	        2.4065E-141  	        1.0476E-126  	        4.3556E-166  	        1.24869E-11  	        4.7202E-140  	        5.2163E-151  	        3.3718E-134  	        1.3954E-130  	        2.0551E-129  	        1.6302E-137  	        2.9892E-128  	        3.0523E-150  	        3.4677E-140  	        1.8490E-131  	        6.2281E-126  	        2.9922E-137  	        4.2819E-126  	        1.9961E-157  	        2.9169E-149  	        5.4464E-140  	        3.2746E-132  	        6.8595E-129  	        1.3910E-139  	        1.4139E-143  	        1.3825E-125  	        4.0195E-137  	        1.1076E-123  	        4.7048E-146  	        2.32920E-01  	        7.6217E-115  	        6.3173E-146  	        0.00000E+00  	        5.5257E-129  	        2.0928E-123  	        8.8190E-125  	        8.6185E-159  	        5.8789E-151  	        7.67080E-01  	        3.8024E-126  	        4.8701E-127  	        3.5939E-124  	        1.0336E-157  	        4.7651E-129  	        6.5282E-130  	        4.2237E-159  	        1.2167E-149  	        7.3590E-159  	        9.2134E-156  	        1.0967E-139  	        6.8521E-153  	        7.9562E-145  	        8.2126E-155  	        1.7687E-157  	        7.9300E-141  	        1.00216E-11  	        7.1305E-131  	        1.5397E-132  	        2.1314E-138  	        1.0746E-132  	        1.0286E-138  	        8.1850E-158  	        9.7547E-143  	        1.5200E-146  	        2.2211E-158  	        2.7743E-147  	        1.6375E-163  	        9.2439E-132  	        5.9058E-148  	        0.00000E+00  	        2.0517E-159  	        5.9595E-162  	        9.0622E-154  	        4.8834E-161  	        4.0700E-157  	        1.2734E-163  	        4.0464E-149  	        7.2600E-165  	        1.3919E-169  	        1.1542E-159  	        4.6450E-144  	        1.7874E-150  	        1.5923E-153
