           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        7.6330E-193  	        0.00000E+00  	        8.0184E-185  	        1.3611E-187  	        2.9801E-186  	        4.3115E-186  	        6.8755E-178  	        8.7133E-189  	        1.0602E-183  	        5.1153E-178  	        1.4013E-183  	        6.6174E-182  	        2.3328E-184  	        1.0890E-185  	        0.00000E+00  	        6.8497E-180  	        3.4612E-184  	        5.9175E-202  	        2.2999E-182  	        7.6631E-178  	        9.4142E-187  	        3.6959E-186  	        1.6462E-186  	        6.4740E-179  	        2.3402E-192  	        1.3295E-183  	        3.8137E-180  	        0.00000E+00  	        1.91648E-14  	        2.0930E-182  	        2.6170E-186  	        4.0918E-181  	        3.1542E-179  	        2.1065E-178  	        2.6948E-184  	        8.1881E-179  	        3.8528E-187  	        4.4034E-182  	        4.1107E-178  	        1.0127E-178  	        9.0171E-181  	        3.8063E-179  	        1.1980E-208  	        1.3900E-180  	        2.7290E-182  	        2.2354E-179  	        3.8399E-178  	        6.9029E-181  	        5.8620E-187  	        6.0675E-178  	        2.3891E-187  	        2.6872E-177  	        1.1634E-179  	        1.82829E-03  	        5.7671E-177  	        4.8723E-178  	        0.00000E+00  	        1.3858E-177  	        2.8416E-177  	        7.4100E-178  	        0.00000E+00  	        2.1514E-178  	        6.87641E-03  	        4.5776E-178  	        1.3178E-177  	        1.5547E-178  	        4.5147E-179  	        9.8363E-179  	        7.3912E-178  	        4.6312E-179  	        3.0536E-184  	        1.2516E-201  	        1.7432E-189  	        1.4612E-184  	        1.0315E-188  	        1.8176E-187  	        7.1316E-187  	        5.6531E-202  	        1.8293E-186  	        5.71054E-15  	        2.7877E-179  	        5.3573E-180  	        8.4796E-186  	        6.8418E-180  	        4.5622E-183  	        1.2484E-193  	        1.4017E-187  	        5.7129E-186  	        3.1685E-208  	        8.0440E-189  	        1.8736E-196  	        6.4287E-180  	        1.3352E-185  	        0.00000E+00  	        1.7553E-188  	        3.0029E-191  	        3.1219E-187  	        2.3541E-194  	        4.1052E-192  	        1.1458E-207  	        4.9203E-194  	        0.00000E+00  	        0.00000E+00  	        1.5803E-209  	        4.2332E-187  	        1.3911E-188  	        8.5961E-199
        2.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.9798E-182  	        8.0500E-187  	        3.0693E-176  	        5.0218E-180  	        6.2802E-178  	        6.6734E-178  	        3.7358E-168  	        1.0868E-180  	        2.9174E-174  	        2.0135E-172  	        2.9326E-173  	        3.6604E-171  	        1.6575E-176  	        6.4091E-178  	        1.4855E-189  	        8.1401E-169  	        3.9272E-175  	        9.9513E-185  	        4.7291E-173  	        4.4208E-168  	        5.1797E-176  	        3.2069E-177  	        8.7364E-179  	        1.6774E-171  	        1.4087E-182  	        9.6857E-175  	        3.2795E-169  	        4.8801E-206  	        3.39758E-14  	        3.5182E-173  	        4.4028E-178  	        4.5550E-171  	        2.9758E-169  	        2.8697E-168  	        1.2345E-174  	        2.2301E-169  	        6.3277E-180  	        3.4964E-173  	        1.4903E-168  	        6.3174E-168  	        6.2366E-174  	        1.2478E-169  	        3.9565E-186  	        3.7350E-171  	        6.8980E-173  	        2.1725E-169  	        1.2944E-168  	        2.9675E-172  	        3.2623E-178  	        9.7940E-168  	        2.1431E-178  	        5.2265E-167  	        4.7757E-170  	        1.82829E-03  	        7.4168E-167  	        1.4037E-169  	        0.00000E+00  	        4.3821E-168  	        4.3967E-167  	        5.7100E-168  	        2.1878E-191  	        1.7026E-170  	        6.87641E-03  	        1.1418E-167  	        8.0051E-168  	        1.5265E-167  	        1.8851E-173  	        4.2437E-169  	        2.8151E-168  	        1.4207E-173  	        2.0350E-176  	        1.0079E-184  	        2.0892E-181  	        2.2635E-174  	        1.2913E-180  	        4.3873E-178  	        3.2944E-179  	        7.4612E-184  	        8.6416E-176  	        1.00990E-14  	        3.5173E-170  	        5.6673E-171  	        2.9498E-176  	        6.1780E-171  	        1.2823E-173  	        6.1881E-182  	        1.1399E-178  	        7.0177E-177  	        7.0269E-186  	        6.7746E-180  	        3.0395E-183  	        9.4453E-171  	        1.0248E-177  	        2.6601E-200  	        9.3203E-181  	        2.1422E-182  	        9.4448E-180  	        2.5693E-183  	        7.7297E-182  	        7.3804E-186  	        5.6850E-182  	        3.2531E-187  	        2.9132E-189  	        6.8763E-187  	        1.8408E-178  	        1.2776E-180  	        8.9525E-184
        3.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.4132E-177  	        2.1040E-179  	        1.8939E-170  	        5.9435E-174  	        9.0734E-172  	        1.1343E-174  	        2.7082E-159  	        4.3733E-175  	        2.6604E-168  	        3.4969E-170  	        7.5572E-165  	        3.4339E-163  	        1.1023E-171  	        3.2260E-172  	        2.1900E-179  	        1.1521E-159  	        2.2135E-169  	        8.7330E-178  	        8.9155E-166  	        2.4493E-159  	        1.3735E-167  	        7.6513E-169  	        5.3110E-173  	        4.4466E-164  	        1.3563E-178  	        2.0563E-168  	        3.7506E-160  	        2.1096E-184  	        5.10674E-14  	        1.6094E-166  	        3.2953E-172  	        1.0707E-163  	        2.6611E-161  	        2.3467E-159  	        1.0617E-166  	        9.8313E-161  	        1.8374E-174  	        4.1685E-167  	        9.4089E-160  	        1.2932E-158  	        1.6602E-168  	        5.2662E-161  	        1.1272E-178  	        4.1155E-165  	        1.3146E-166  	        6.2809E-161  	        7.0358E-160  	        7.0300E-166  	        3.1558E-170  	        2.0720E-158  	        4.9120E-169  	        7.1571E-158  	        1.1794E-163  	        1.82829E-03  	        1.0559E-157  	        1.8474E-163  	        0.00000E+00  	        1.9773E-159  	        6.7190E-158  	        1.0004E-158  	        1.5715E-180  	        6.2302E-165  	        6.87641E-03  	        1.4712E-158  	        8.7613E-159  	        2.4220E-158  	        3.1928E-171  	        2.5682E-160  	        8.9021E-160  	        2.4568E-171  	        7.9015E-174  	        5.5150E-177  	        1.3686E-175  	        2.1227E-166  	        1.4275E-174  	        3.4232E-170  	        1.3799E-175  	        3.9154E-177  	        1.2310E-167  	        1.51398E-14  	        6.7871E-162  	        4.0115E-163  	        1.8945E-167  	        4.7747E-163  	        2.0299E-167  	        6.8376E-176  	        6.3903E-170  	        3.4558E-170  	        3.2326E-178  	        5.7679E-171  	        8.3174E-179  	        1.9581E-162  	        3.2805E-172  	        1.0971E-183  	        3.5032E-176  	        3.2086E-178  	        3.4830E-174  	        5.3427E-178  	        4.9825E-176  	        6.2636E-178  	        5.1295E-173  	        2.1760E-177  	        5.4137E-181  	        5.2485E-179  	        2.1714E-170  	        3.6708E-173  	        1.3137E-175
        4.10000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        4.5021E-175  	        4.8823E-175  	        4.0869E-165  	        4.2384E-170  	        5.1231E-166  	        1.2562E-172  	        4.2021E-153  	        6.8916E-170  	        3.3804E-162  	        6.5065E-168  	        2.2246E-158  	        7.0751E-158  	        1.4118E-167  	        6.2947E-167  	        1.3771E-173  	        2.8848E-153  	        3.0223E-163  	        3.3273E-173  	        2.9250E-160  	        9.6448E-154  	        3.9091E-161  	        2.8025E-163  	        2.7345E-168  	        2.5142E-158  	        4.1112E-175  	        1.4861E-162  	        3.7776E-154  	        4.0757E-179  	        6.77959E-14  	        2.9774E-160  	        2.5077E-167  	        1.8311E-158  	        5.4031E-156  	        2.1076E-154  	        3.9865E-160  	        2.8992E-155  	        4.1773E-169  	        4.0444E-161  	        1.8624E-154  	        2.6161E-152  	        1.7001E-162  	        1.1567E-155  	        6.4190E-173  	        1.5455E-162  	        2.9413E-160  	        7.9565E-156  	        2.0111E-154  	        2.5155E-160  	        1.2591E-164  	        3.2743E-152  	        6.9683E-162  	        7.2269E-151  	        2.5558E-159  	        1.82829E-03  	        3.4663E-151  	        4.6267E-159  	        0.00000E+00  	        5.4653E-154  	        1.8829E-151  	        1.1920E-152  	        3.9794E-175  	        1.4567E-163  	        6.87641E-03  	        3.1460E-152  	        9.7237E-153  	        1.4109E-151  	        1.4745E-169  	        1.0409E-154  	        1.6580E-154  	        9.1132E-170  	        6.1560E-168  	        1.6142E-171  	        7.0745E-171  	        4.4105E-161  	        2.6018E-169  	        1.1624E-164  	        5.2459E-171  	        3.3253E-172  	        1.7262E-162  	        2.00527E-14  	        4.7834E-157  	        7.3623E-158  	        1.0510E-160  	        7.6257E-158  	        3.1893E-161  	        1.4177E-171  	        3.8589E-163  	        3.6354E-164  	        3.7062E-173  	        1.6157E-165  	        1.5078E-175  	        1.1968E-157  	        2.0621E-166  	        1.6411E-179  	        1.8040E-173  	        6.3907E-175  	        1.4719E-169  	        2.4897E-174  	        6.5593E-172  	        6.6343E-173  	        5.2449E-166  	        2.0007E-172  	        1.7319E-175  	        2.4578E-173  	        5.7726E-165  	        1.1539E-167  	        3.4720E-170
        5.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.7327E-173  	        4.5961E-172  	        8.4712E-161  	        7.1142E-167  	        8.0158E-161  	        2.3599E-171  	        5.0784E-148  	        1.0461E-165  	        2.0117E-157  	        1.2673E-166  	        8.4731E-154  	        6.2680E-152  	        8.4533E-165  	        4.7523E-163  	        3.6807E-168  	        8.3102E-149  	        2.8603E-159  	        1.8251E-170  	        8.6827E-156  	        2.2545E-148  	        6.9532E-156  	        5.2774E-158  	        1.5823E-165  	        1.9888E-153  	        1.1858E-173  	        7.8327E-158  	        1.3058E-149  	        6.4592E-176  	        8.38879E-14  	        6.5584E-156  	        1.8049E-164  	        6.4872E-153  	        1.8187E-150  	        2.3023E-148  	        6.5960E-156  	        6.9056E-150  	        3.0709E-165  	        2.3174E-156  	        8.2824E-149  	        6.7360E-148  	        1.1410E-156  	        4.0095E-150  	        5.8987E-168  	        1.6799E-160  	        6.4628E-156  	        4.5260E-150  	        1.7234E-148  	        2.4562E-154  	        3.7402E-159  	        2.5928E-147  	        9.9945E-158  	        1.9183E-146  	        3.3996E-156  	        1.82829E-03  	        9.6753E-147  	        5.8261E-156  	        0.00000E+00  	        2.4441E-148  	        4.4370E-147  	        1.2371E-147  	        5.2619E-170  	        3.3947E-162  	        6.87641E-03  	        1.2308E-147  	        6.0326E-148  	        7.2073E-147  	        1.6131E-168  	        2.1437E-149  	        9.0074E-149  	        9.7711E-169  	        3.2565E-164  	        5.3241E-167  	        6.7132E-168  	        1.7341E-155  	        2.2492E-165  	        1.2080E-159  	        1.8277E-167  	        4.1879E-169  	        8.8683E-157  	        2.47612E-14  	        8.2035E-151  	        1.6416E-152  	        3.2626E-156  	        2.7995E-152  	        3.3880E-155  	        1.2632E-168  	        1.2146E-158  	        1.4368E-159  	        9.2781E-170  	        6.8540E-160  	        1.5081E-172  	        1.6663E-151  	        3.3083E-162  	        2.8534E-178  	        5.8908E-170  	        1.7907E-171  	        4.3754E-166  	        5.4303E-171  	        1.0564E-168  	        4.0174E-172  	        8.8449E-162  	        6.8935E-172  	        2.6390E-171  	        5.1034E-170  	        1.7616E-159  	        3.0694E-162  	        6.7334E-165
        6.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        2.9815E-171  	        1.1045E-169  	        2.7939E-157  	        8.3311E-165  	        3.1572E-156  	        1.9105E-170  	        3.7120E-142  	        2.5798E-162  	        6.7257E-152  	        2.7340E-165  	        3.3779E-147  	        8.5636E-147  	        1.7490E-161  	        1.9513E-159  	        7.1407E-163  	        3.0520E-142  	        7.0593E-156  	        3.4526E-167  	        7.2968E-152  	        8.8131E-143  	        1.6872E-150  	        3.0670E-152  	        1.5577E-162  	        6.9324E-149  	        2.3000E-173  	        1.1297E-153  	        8.7444E-143  	        4.0102E-174  	        1.02949E-13  	        9.2597E-152  	        1.4697E-161  	        5.7681E-148  	        8.6982E-146  	        2.0854E-143  	        2.3775E-149  	        6.7737E-144  	        7.8870E-162  	        7.3894E-152  	        1.1971E-143  	        1.8283E-141  	        8.2131E-152  	        1.5086E-144  	        2.2200E-164  	        1.0304E-158  	        3.5409E-152  	        3.4627E-145  	        1.9281E-143  	        3.9465E-150  	        1.1107E-153  	        5.3115E-141  	        2.5046E-151  	        3.2388E-140  	        2.1399E-155  	        1.82829E-03  	        2.3753E-140  	        2.0065E-155  	        0.00000E+00  	        5.8386E-143  	        1.2542E-140  	        1.7269E-141  	        3.0799E-166  	        1.2834E-160  	        6.87641E-03  	        2.3939E-141  	        8.1455E-142  	        2.3952E-140  	        4.3085E-167  	        1.6062E-143  	        4.0195E-144  	        7.3154E-168  	        1.0482E-160  	        9.7124E-164  	        1.1873E-164  	        1.2839E-150  	        5.3736E-162  	        4.3360E-155  	        7.3462E-164  	        9.7003E-166  	        9.0562E-152  	        3.03182E-14  	        7.2040E-146  	        8.5815E-147  	        1.4904E-149  	        8.7034E-147  	        4.5161E-151  	        3.5673E-165  	        3.7600E-152  	        4.1112E-156  	        5.9257E-167  	        8.5684E-155  	        5.1449E-170  	        2.2465E-146  	        7.5099E-159  	        2.7285E-176  	        7.1608E-167  	        3.3059E-169  	        2.1159E-162  	        2.3123E-168  	        2.5832E-165  	        2.4220E-171  	        2.6295E-155  	        6.2910E-171  	        7.7418E-168  	        1.0806E-167  	        5.2134E-154  	        2.0027E-157  	        1.4843E-160
        7.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.8501E-170  	        6.7687E-168  	        4.0020E-154  	        3.5593E-164  	        2.6998E-152  	        1.3744E-169  	        3.0110E-137  	        4.5347E-159  	        2.2338E-148  	        6.9382E-165  	        2.6216E-142  	        7.8814E-142  	        6.5068E-159  	        2.0802E-156  	        7.7364E-159  	        1.1194E-136  	        1.2097E-152  	        5.5316E-165  	        1.6246E-148  	        3.7369E-138  	        1.7473E-145  	        1.3522E-147  	        1.6023E-160  	        3.5746E-145  	        1.4310E-172  	        5.7428E-150  	        1.3127E-137  	        3.6527E-172  	        1.23228E-13  	        2.2284E-148  	        2.2427E-159  	        1.1466E-143  	        2.4598E-141  	        5.4710E-139  	        2.7279E-144  	        3.5577E-139  	        1.1663E-158  	        2.7514E-148  	        2.3146E-139  	        2.4941E-136  	        5.1083E-148  	        1.1591E-139  	        4.4246E-161  	        2.8744E-158  	        9.4094E-149  	        6.2579E-141  	        8.1632E-139  	        1.5891E-146  	        6.1338E-149  	        5.8628E-136  	        4.1017E-146  	        2.0994E-134  	        3.5990E-154  	        1.82829E-03  	        8.0589E-135  	        6.9317E-154  	        0.00000E+00  	        3.6983E-138  	        4.7528E-135  	        1.7088E-136  	        9.9018E-163  	        5.8639E-160  	        6.87641E-03  	        3.0425E-136  	        1.0983E-136  	        3.9383E-135  	        2.3047E-165  	        9.3348E-139  	        3.3195E-140  	        1.2491E-166  	        1.7176E-157  	        1.7781E-160  	        1.9653E-162  	        2.2810E-146  	        7.9572E-159  	        2.0774E-151  	        1.2969E-160  	        1.5206E-162  	        1.0946E-147  	        3.62079E-14  	        3.0790E-141  	        4.5517E-142  	        2.0771E-144  	        2.9356E-142  	        8.6796E-147  	        1.4842E-162  	        6.8907E-147  	        1.7606E-152  	        4.9754E-165  	        8.4435E-151  	        2.1341E-168  	        8.0300E-142  	        2.5401E-155  	        9.8321E-175  	        9.2425E-165  	        2.4625E-167  	        3.4329E-159  	        1.0085E-166  	        7.0229E-163  	        2.6354E-170  	        1.9973E-150  	        3.0649E-171  	        3.1915E-164  	        1.7753E-166  	        3.9177E-149  	        8.5725E-154  	        2.8673E-157
        8.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        5.1178E-170  	        4.4677E-166  	        1.3113E-150  	        1.5647E-164  	        1.0900E-148  	        7.5528E-169  	        7.2239E-133  	        9.7781E-156  	        4.8538E-145  	        4.0915E-164  	        7.6944E-138  	        1.5947E-137  	        1.1435E-156  	        8.2441E-153  	        2.7706E-155  	        7.4802E-132  	        4.7316E-150  	        4.5582E-163  	        7.9200E-145  	        5.1365E-134  	        1.9190E-141  	        6.6733E-144  	        1.9201E-158  	        9.8318E-142  	        6.6094E-172  	        4.2099E-146  	        5.0622E-133  	        1.3037E-171  	        1.44668E-13  	        7.2874E-145  	        9.0295E-159  	        6.1027E-140  	        2.6000E-137  	        2.9826E-135  	        7.2182E-140  	        9.6519E-135  	        2.5341E-155  	        6.0169E-145  	        1.2519E-135  	        9.2164E-132  	        2.3110E-144  	        3.1724E-135  	        6.3590E-159  	        1.2725E-158  	        1.4341E-145  	        2.8811E-137  	        1.2619E-134  	        9.0170E-143  	        1.1806E-144  	        1.2559E-131  	        7.2782E-142  	        2.3614E-129  	        4.7287E-153  	        1.82829E-03  	        1.2854E-129  	        5.7641E-153  	        0.00000E+00  	        1.4088E-133  	        3.5201E-130  	        8.3040E-132  	        1.2905E-159  	        3.4367E-160  	        6.87641E-03  	        1.1725E-131  	        4.9937E-132  	        4.1394E-130  	        1.8284E-163  	        2.4568E-134  	        1.1547E-136  	        9.3630E-166  	        3.2075E-154  	        1.9825E-158  	        1.8920E-160  	        8.9649E-143  	        1.8111E-155  	        3.1846E-148  	        2.1594E-157  	        2.7199E-159  	        3.3490E-144  	        4.24112E-14  	        7.4224E-137  	        1.2381E-137  	        8.6454E-140  	        7.1477E-138  	        1.3340E-142  	        2.4277E-160  	        1.9079E-142  	        2.5435E-149  	        2.6144E-163  	        3.5925E-147  	        2.8423E-166  	        1.2881E-137  	        3.5981E-152  	        9.4161E-174  	        7.7555E-163  	        3.7758E-166  	        4.5675E-156  	        9.8290E-165  	        1.1435E-160  	        3.1592E-170  	        8.6283E-146  	        1.8950E-169  	        7.7523E-161  	        2.0370E-165  	        9.9725E-145  	        2.4863E-150  	        5.8953E-154
        9.00000E-03  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        1.1266E-168  	        2.6428E-164  	        2.0246E-147  	        7.4319E-167  	        1.4189E-145  	        1.1716E-167  	        1.3322E-128  	        1.1124E-153  	        4.0210E-142  	        4.0157E-163  	        3.6352E-134  	        2.8900E-133  	        1.9390E-154  	        5.3620E-150  	        3.1078E-152  	        2.0795E-127  	        1.2124E-147  	        3.2464E-161  	        2.7500E-142  	        2.1230E-130  	        1.1435E-137  	        1.8784E-140  	        1.4589E-157  	        2.7847E-138  	        4.6231E-171  	        5.8566E-143  	        1.4681E-128  	        9.2905E-171  	        1.67314E-13  	        3.5709E-142  	        7.0539E-159  	        4.7584E-136  	        1.1236E-133  	        1.7858E-131  	        5.2583E-136  	        1.7480E-130  	        3.2566E-152  	        7.6235E-142  	        1.9217E-132  	        1.3692E-127  	        1.3583E-140  	        4.7855E-131  	        1.4057E-156  	        9.0904E-159  	        1.7139E-144  	        1.0498E-133  	        6.4413E-131  	        1.2086E-139  	        5.6971E-141  	        2.9927E-127  	        4.2432E-138  	        1.4222E-124  	        7.0744E-153  	        1.82829E-03  	        6.0017E-125  	        1.4468E-152  	        0.00000E+00  	        2.1927E-129  	        1.3256E-125  	        1.5862E-127  	        2.5359E-157  	        2.8998E-160  	        6.87641E-03  	        1.4213E-127  	        6.8327E-128  	        1.1510E-125  	        1.7908E-162  	        2.8207E-130  	        2.1239E-133  	        1.9695E-164  	        3.0952E-152  	        2.7549E-158  	        1.2427E-158  	        2.2198E-139  	        7.5198E-153  	        7.4053E-145  	        4.3592E-154  	        1.6032E-156  	        5.3359E-141  	        4.89384E-14  	        4.1671E-133  	        2.8790E-133  	        1.7583E-135  	        1.0560E-133  	        5.3440E-139  	        4.5636E-158  	        5.1903E-138  	        8.3581E-146  	        2.0849E-161  	        4.3336E-144  	        5.7485E-165  	        4.9241E-134  	        8.4843E-149  	        5.4796E-173  	        3.7140E-161  	        1.8053E-166  	        9.9820E-153  	        5.2872E-165  	        8.3672E-159  	        7.6035E-169  	        7.7587E-142  	        9.5610E-168  	        2.0136E-158  	        1.6884E-164  	        3.4141E-141  	        7.5487E-147  	        8.4370E-152
        1.01000E-02  	        1.40000E+03  	        2.51182E-01  	        1.01325E+05  	        3.9564E-167  	        1.0980E-162  	        2.0318E-144  	        2.4650E-166  	        4.2191E-142  	        8.2275E-165  	        1.6720E-124  	        4.3167E-151  	        3.3563E-139  	        3.5655E-162  	        7.7238E-130  	        3.5844E-129  	        1.5235E-152  	        1.0773E-147  	        2.6711E-148  	        9.6952E-123  	        1.1164E-145  	        1.4343E-159  	        1.5584E-139  	        1.3402E-126  	        2.9457E-134  	        8.2816E-137  	        4.5701E-158  	        3.2614E-135  	        9.1541E-170  	        2.6588E-140  	        5.3653E-124  	        1.0294E-169  	        1.93584E-13  	        1.7950E-139  	        8.1286E-161  	        1.2025E-132  	        1.4170E-129  	        3.3910E-128  	        9.7779E-132  	        4.3240E-126  	        1.0932E-149  	        5.5132E-138  	        1.0183E-128  	        1.3948E-123  	        7.5073E-137  	        7.9785E-127  	        3.2609E-154  	        7.0516E-159  	        2.5956E-142  	        3.4186E-130  	        5.0519E-127  	        5.3995E-136  	        8.0512E-137  	        4.6371E-123  	        4.9090E-134  	        7.9132E-120  	        2.9013E-152  	        1.82829E-03  	        4.5410E-120  	        3.1324E-152  	        0.00000E+00  	        2.7239E-125  	        8.5988E-121  	        6.8066E-123  	        7.6093E-155  	        2.1512E-159  	        6.87641E-03  	        2.2154E-123  	        2.1273E-123  	        5.3614E-121  	        3.8345E-162  	        3.2175E-126  	        1.4775E-130  	        2.3159E-163  	        1.3274E-149  	        1.6373E-160  	        2.5052E-156  	        9.9175E-136  	        1.6721E-150  	        1.8393E-141  	        5.9769E-151  	        1.5001E-153  	        3.7577E-137  	        5.64796E-14  	        1.0277E-128  	        1.0414E-128  	        2.4102E-131  	        1.0501E-129  	        8.5677E-135  	        8.3560E-156  	        8.0723E-134  	        1.1525E-142  	        7.3815E-160  	        3.7910E-140  	        6.1466E-163  	        1.1334E-129  	        2.7970E-146  	        4.5942E-172  	        3.7969E-160  	        9.7457E-168  	        2.2031E-149  	        2.4931E-167  	        1.5846E-156  	        2.5195E-166  	        8.6378E-138  	        1.2918E-166  	        7.9321E-156  	        1.5924E-163  	        6.8368E-137  	        4.2403E-144  	        1.1153E-149
