           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        1.00000E-03  	        1.39995E+03  	        2.51193E-01  	        1.01325E+05  	        3.67487E-18  	        0.00000E+00  	        7.63599E-13  	        6.35860E-17  	        2.20555E-15  	        6.64405E-15  	        2.31412E-09  	        3.79071E-17  	        1.53770E-13  	        2.14440E-09  	        3.27180E-12  	        1.65793E-12  	        1.67790E-12  	        8.50464E-15  	        0.00000E+00  	        1.10500E-10  	        1.21387E-14  	        1.32238E-19  	        2.59154E-12  	        2.40038E-09  	        6.37590E-15  	        1.33330E-14  	        2.40562E-15  	        2.94078E-10  	        1.89390E-18  	        2.05180E-12  	        2.75552E-11  	        0.00000E+00  	        3.47533E-10  	        1.71886E-13  	        1.56487E-14  	        9.99532E-12  	        4.64618E-10  	        2.34742E-09  	        3.75221E-13  	        4.18695E-10  	        8.83089E-16  	        2.31629E-13  	        2.11736E-09  	        6.91720E-10  	        1.70968E-10  	        3.98218E-10  	        5.12597E-22  	        4.62232E-11  	        1.76195E-12  	        6.66608E-11  	        2.44134E-09  	        1.94063E-13  	        4.33835E-15  	        2.31056E-09  	        3.89666E-14  	        8.31444E-09  	        2.98584E-10  	        2.32920E-01  	        1.11931E-08  	        6.07568E-09  	        0.00000E+00  	        3.12044E-10  	        1.28055E-08  	        2.26764E-09  	        0.00000E+00  	        3.31671E-09  	        7.67080E-01  	        4.72739E-09  	        2.24361E-09  	        4.09263E-10  	        3.30075E-10  	        8.38125E-10  	        4.41936E-09  	        2.39643E-10  	        1.21651E-14  	        5.45866E-20  	        3.03229E-18  	        2.39505E-13  	        1.68841E-16  	        5.20169E-15  	        1.04007E-15  	        1.97177E-20  	        4.00275E-14  	        3.08667E-12  	        5.66991E-11  	        1.96745E-11  	        1.28123E-13  	        2.25641E-11  	        6.69637E-14  	        1.76332E-18  	        3.08984E-15  	        1.47642E-14  	        8.09218E-22  	        1.10354E-15  	        2.33701E-19  	        6.04593E-11  	        4.94564E-14  	        0.00000E+00  	        7.70204E-17  	        3.38427E-18  	        1.25918E-15  	        1.00371E-18  	        6.35935E-18  	        6.01731E-22  	        5.24268E-17  	        0.00000E+00  	        0.00000E+00  	        6.92368E-23  	        1.61415E-15  	        8.94038E-17  	        3.29391E-19
        2.00000E-03  	        1.39984E+03  	        2.51217E-01  	        1.01325E+05  	        8.39176E-16  	        2.81683E-18  	        7.24477E-10  	        9.20757E-15  	        2.37348E-13  	        3.18944E-13  	        3.49954E-08  	        5.66256E-15  	        1.84406E-11  	        2.99686E-08  	        1.57396E-09  	        6.32808E-11  	        4.28418E-10  	        7.03062E-13  	        7.28522E-18  	        1.31550E-08  	        2.07246E-12  	        6.83798E-15  	        1.27456E-10  	        3.38113E-08  	        5.76701E-12  	        4.80561E-12  	        1.63454E-13  	        4.18193E-09  	        2.37321E-16  	        1.40715E-10  	        2.38359E-09  	        6.34710E-22  	        5.74987E-09  	        1.28794E-11  	        2.42429E-12  	        7.18920E-10  	        7.30073E-09  	        3.62626E-08  	        1.66966E-10  	        6.95241E-09  	        1.00990E-13  	        1.03740E-11  	        3.10497E-08  	        2.47300E-08  	        3.43584E-09  	        7.55964E-09  	        6.04564E-17  	        2.21398E-09  	        7.86229E-11  	        1.41505E-09  	        3.92985E-08  	        9.25257E-12  	        1.02558E-12  	        4.02798E-08  	        4.32903E-11  	        2.04709E-07  	        4.77472E-09  	        2.32920E-01  	        2.28850E-07  	        8.82334E-08  	        0.00000E+00  	        5.25702E-09  	        2.24588E-07  	        4.45245E-08  	        1.82150E-18  	        4.99483E-08  	        7.67079E-01  	        6.93028E-08  	        3.64016E-08  	        9.37397E-09  	        5.06651E-09  	        1.28991E-08  	        6.41514E-08  	        1.94555E-09  	        8.10635E-13  	        1.17388E-16  	        1.49572E-16  	        1.05572E-11  	        2.95915E-14  	        2.13887E-12  	        8.68440E-14  	        2.00898E-17  	        1.88692E-11  	        9.74215E-12  	        9.30343E-10  	        3.15967E-10  	        7.52327E-11  	        4.02819E-10  	        1.23670E-12  	        2.31278E-16  	        2.08608E-12  	        1.13954E-12  	        1.10179E-17  	        6.19585E-13  	        4.01295E-17  	        9.59999E-10  	        3.79560E-12  	        1.94281E-22  	        3.77320E-14  	        2.19377E-16  	        2.40306E-13  	        2.26100E-16  	        7.17512E-16  	        1.86159E-18  	        3.16814E-13  	        3.42802E-18  	        1.17840E-18  	        1.71558E-17  	        3.23762E-13  	        2.51940E-14  	        8.40945E-16
        3.10000E-03  	        1.39967E+03  	        2.51255E-01  	        1.01325E+05  	        7.96340E-15  	        6.25278E-17  	        1.07385E-08  	        6.81175E-14  	        2.21493E-12  	        3.69114E-12  	        1.45392E-07  	        5.34236E-14  	        1.68329E-10  	        1.45069E-07  	        2.13707E-08  	        6.25259E-10  	        3.62831E-09  	        5.22168E-12  	        1.70310E-15  	        1.27397E-07  	        1.41538E-11  	        4.70828E-13  	        6.32889E-10  	        1.30666E-07  	        1.39714E-10  	        9.62526E-11  	        8.13262E-13  	        2.00412E-08  	        2.66989E-15  	        8.02868E-10  	        2.12103E-08  	        5.43880E-18  	        2.45812E-08  	        8.95453E-11  	        1.65017E-11  	        3.52803E-09  	        2.84157E-08  	        1.29071E-07  	        1.99361E-09  	        3.31279E-08  	        9.64287E-13  	        6.82650E-11  	        1.21869E-07  	        1.07101E-07  	        1.40400E-08  	        4.59721E-08  	        4.03609E-15  	        1.22719E-08  	        3.23503E-10  	        5.71287E-09  	        1.76366E-07  	        5.75251E-11  	        1.65715E-11  	        1.80182E-07  	        7.05093E-10  	        1.58562E-06  	        2.01339E-08  	        2.32917E-01  	        1.53273E-06  	        3.69778E-07  	        0.00000E+00  	        2.63916E-08  	        1.24615E-06  	        2.27307E-07  	        2.86270E-16  	        2.19319E-07  	        7.67075E-01  	        2.38749E-07  	        1.66275E-07  	        4.85675E-08  	        2.50674E-08  	        5.48168E-08  	        2.51957E-07  	        5.87849E-09  	        5.78058E-12  	        1.73817E-15  	        9.46908E-16  	        5.76293E-11  	        3.13331E-13  	        2.08179E-11  	        8.73469E-13  	        3.96721E-16  	        1.22476E-10  	        3.89924E-11  	        4.35110E-09  	        1.64422E-09  	        1.19708E-09  	        2.20868E-09  	        7.30731E-12  	        2.29648E-15  	        4.56689E-11  	        1.01634E-11  	        1.79310E-16  	        8.78689E-12  	        3.94967E-16  	        4.20991E-09  	        2.38439E-11  	        1.33704E-20  	        5.07956E-13  	        1.35557E-15  	        1.72993E-12  	        1.87551E-15  	        5.59042E-15  	        2.45993E-15  	        1.07227E-11  	        8.54848E-15  	        7.03994E-17  	        4.64106E-16  	        5.36294E-12  	        4.77765E-13  	        2.63029E-14
        4.10000E-03  	        1.39951E+03  	        2.51293E-01  	        1.01325E+05  	        2.07610E-14  	        2.25003E-16  	        3.03007E-08  	        1.51316E-13  	        5.66203E-12  	        1.23717E-11  	        2.79442E-07  	        1.35905E-13  	        4.34638E-10  	        3.05267E-07  	        6.42247E-08  	        1.64391E-09  	        8.75183E-09  	        1.23743E-11  	        1.73668E-14  	        3.03296E-07  	        2.97012E-11  	        2.41653E-12  	        1.25484E-09  	        2.50109E-07  	        5.18945E-10  	        3.44582E-10  	        1.46089E-12  	        4.13290E-08  	        7.78631E-15  	        1.66377E-09  	        4.69427E-08  	        9.35534E-17  	        5.96955E-08  	        1.88554E-10  	        3.53693E-11  	        6.21618E-09  	        6.35179E-08  	        2.25432E-07  	        5.32235E-09  	        7.03654E-08  	        2.74830E-12  	        1.52098E-10  	        2.33306E-07  	        1.85630E-07  	        2.45475E-08  	        1.11717E-07  	        2.49368E-14  	        2.46570E-08  	        5.66402E-10  	        1.02383E-08  	        3.53592E-07  	        1.37270E-10  	        6.28607E-11  	        3.50576E-07  	        2.30067E-09  	        4.62837E-06  	        3.96703E-08  	        2.32913E-01  	        4.29612E-06  	        7.30568E-07  	        0.00000E+00  	        5.80511E-08  	        3.23865E-06  	        4.51860E-07  	        2.29674E-15  	        4.41212E-07  	        7.67069E-01  	        4.23545E-07  	        3.36609E-07  	        1.14399E-07  	        5.25264E-08  	        1.06611E-07  	        4.75863E-07  	        1.12177E-08  	        1.28465E-11  	        6.41328E-15  	        2.25949E-15  	        1.41697E-10  	        1.09622E-12  	        5.26301E-11  	        3.10901E-12  	        1.91858E-15  	        2.52240E-10  	        1.12480E-10  	        9.01328E-09  	        4.74252E-09  	        3.87583E-09  	        5.36741E-09  	        1.94841E-11  	        6.07856E-15  	        2.26561E-10  	        3.85048E-11  	        5.43259E-16  	        3.35101E-11  	        1.19972E-15  	        8.29579E-09  	        5.21305E-11  	        5.76220E-20  	        1.44462E-12  	        3.15220E-15  	        3.66330E-12  	        4.20294E-15  	        1.29664E-14  	        2.13902E-16  	        4.82314E-11  	        4.04465E-15  	        4.72610E-16  	        1.42441E-15  	        2.20647E-11  	        1.90249E-12  	        1.13122E-13
        5.00000E-03  	        1.39937E+03  	        2.51326E-01  	        1.01325E+05  	        3.37024E-14  	        4.87983E-16  	        5.09526E-08  	        2.28933E-13  	        9.26585E-12  	        2.23361E-11  	        3.95911E-07  	        2.19741E-13  	        7.12703E-10  	        4.62650E-07  	        1.17257E-07  	        2.64602E-09  	        1.43119E-08  	        1.92951E-11  	        5.75244E-14  	        4.38373E-07  	        4.23567E-11  	        5.56155E-12  	        1.80039E-09  	        3.60027E-07  	        9.84012E-10  	        6.42076E-10  	        1.92913E-12  	        6.12748E-08  	        1.36456E-14  	        2.36777E-09  	        6.31601E-08  	        4.10255E-16  	        1.25455E-07  	        2.66872E-10  	        5.26965E-11  	        8.27150E-09  	        1.11411E-07  	        3.02190E-07  	        8.61127E-09  	        1.06250E-07  	        5.09838E-12  	        2.32264E-10  	        3.34448E-07  	        2.32994E-07  	        3.26624E-08  	        1.80158E-07  	        6.36043E-14  	        3.56107E-08  	        7.52094E-10  	        1.29475E-08  	        5.10450E-07  	        2.43503E-10  	        1.31846E-10  	        4.89186E-07  	        4.30793E-09  	        8.79615E-06  	        5.67672E-08  	        2.32906E-01  	        8.16997E-06  	        1.06433E-06  	        0.00000E+00  	        8.84716E-08  	        6.13052E-06  	        6.25969E-07  	        6.78229E-15  	        6.49588E-07  	        7.67061E-01  	        5.85805E-07  	        4.85353E-07  	        2.06322E-07  	        7.92306E-08  	        1.51922E-07  	        6.76059E-07  	        1.77397E-08  	        1.87238E-11  	        1.20777E-14  	        4.00266E-15  	        2.25765E-10  	        2.49958E-12  	        8.88950E-11  	        6.77872E-12  	        6.08459E-15  	        3.25818E-10  	        2.59559E-10  	        1.31906E-08  	        1.04407E-08  	        7.18894E-09  	        9.12214E-09  	        3.49406E-11  	        1.14243E-14  	        6.29729E-10  	        1.11113E-10  	        9.45402E-16  	        7.34873E-11  	        2.33140E-15  	        1.18354E-08  	        7.89595E-11  	        1.27361E-19  	        2.44873E-12  	        4.97523E-15  	        5.45174E-12  	        6.34271E-15  	        1.98175E-14  	        1.02867E-16  	        1.12506E-10  	        3.81718E-15  	        1.49204E-15  	        2.34689E-15  	        5.07444E-11  	        3.81496E-12  	        2.15969E-13
        6.00000E-03  	        1.39922E+03  	        2.51362E-01  	        1.01325E+05  	        4.70886E-14  	        9.60181E-16  	        7.45930E-08  	        3.10698E-13  	        1.28384E-11  	        3.32224E-11  	        5.19653E-07  	        2.97348E-13  	        9.86413E-10  	        6.49800E-07  	        1.88374E-07  	        3.69072E-09  	        2.12221E-08  	        2.53730E-11  	        1.32024E-13  	        5.15525E-07  	        5.38037E-11  	        1.04085E-11  	        2.32627E-09  	        4.83319E-07  	        1.45479E-09  	        9.88418E-10  	        2.29539E-12  	        8.36409E-08  	        2.09754E-14  	        3.06571E-09  	        7.14369E-08  	        1.20646E-15  	        2.88678E-07  	        3.28377E-10  	        7.14734E-11  	        1.01333E-08  	        1.83881E-07  	        3.77929E-07  	        1.21502E-08  	        1.43913E-07  	        8.34701E-12  	        3.09743E-10  	        4.45913E-07  	        2.58380E-07  	        4.13304E-08  	        2.53740E-07  	        1.24894E-13  	        4.70323E-08  	        9.11960E-10  	        1.39119E-08  	        6.70851E-07  	        4.33794E-10  	        2.27035E-10  	        6.17129E-07  	        6.90974E-09  	        1.47050E-05  	        7.30602E-08  	        2.32896E-01  	        1.40827E-05  	        1.43708E-06  	        0.00000E+00  	        1.19329E-07  	        1.11557E-05  	        7.85239E-07  	        1.49411E-14  	        8.85408E-07  	        7.67051E-01  	        7.63267E-07  	        6.32309E-07  	        3.54896E-07  	        1.10778E-07  	        2.00226E-07  	        8.96729E-07  	        2.65651E-08  	        2.37701E-11  	        1.41818E-14  	        7.15163E-15  	        2.58286E-10  	        4.55374E-12  	        1.26798E-10  	        1.35328E-11  	        1.69167E-14  	        3.37351E-10  	        6.30985E-10  	        1.72214E-08  	        2.18525E-08  	        1.10892E-08  	        1.38458E-08  	        5.37428E-11  	        1.98550E-14  	        1.51264E-09  	        3.28700E-10  	        1.39542E-15  	        1.33181E-10  	        4.08602E-15  	        1.54642E-08  	        1.05966E-10  	        2.44706E-19  	        3.60915E-12  	        6.94395E-15  	        7.43241E-12  	        8.63901E-15  	        2.58873E-14  	        2.96669E-16  	        2.21274E-10  	        6.74817E-15  	        3.81487E-15  	        3.34745E-15  	        9.26407E-11  	        5.90602E-12  	        3.05446E-13
        7.00000E-03  	        1.39907E+03  	        2.51395E-01  	        1.01325E+05  	        6.06467E-14  	        1.58282E-15  	        9.85379E-08  	        3.91669E-13  	        1.54407E-11  	        4.43907E-11  	        6.46210E-07  	        3.53261E-13  	        1.19954E-09  	        8.50689E-07  	        2.75641E-07  	        4.69402E-09  	        2.88265E-08  	        2.92604E-11  	        2.25526E-13  	        5.41783E-07  	        6.39659E-11  	        1.65959E-11  	        2.77066E-09  	        6.11179E-07  	        1.82657E-09  	        1.35774E-09  	        2.55442E-12  	        1.06726E-07  	        2.92095E-14  	        3.71112E-09  	        7.75270E-08  	        2.53655E-15  	        5.93067E-07  	        3.73867E-10  	        9.04594E-11  	        1.17657E-08  	        2.71776E-07  	        4.51248E-07  	        1.57436E-08  	        1.77887E-07  	        1.16922E-11  	        3.70222E-10  	        5.60389E-07  	        2.75147E-07  	        4.99507E-08  	        3.21898E-07  	        2.02466E-13  	        5.80947E-08  	        1.04133E-09  	        1.41299E-08  	        8.25555E-07  	        7.44624E-10  	        3.28370E-10  	        7.36298E-07  	        9.85586E-09  	        2.14798E-05  	        8.70606E-08  	        2.32883E-01  	        2.17413E-05  	        1.82004E-06  	        0.00000E+00  	        1.47682E-07  	        1.89689E-05  	        9.41231E-07  	        2.65407E-14  	        1.12909E-06  	        7.67039E-01  	        9.46536E-07  	        7.72909E-07  	        5.50662E-07  	        1.44483E-07  	        2.49736E-07  	        1.12424E-06  	        3.70461E-08  	        2.81023E-11  	        1.41829E-14  	        1.23827E-14  	        2.41230E-10  	        6.64600E-12  	        1.54295E-10  	        2.40699E-11  	        3.50114E-14  	        3.38298E-10  	        1.45795E-09  	        2.08981E-08  	        3.92924E-08  	        1.52051E-08  	        1.84654E-08  	        6.98327E-11  	        3.08713E-14  	        2.92416E-09  	        7.26424E-10  	        1.85006E-15  	        2.03088E-10  	        6.40926E-15  	        1.90732E-08  	        1.28959E-10  	        3.80960E-19  	        4.81808E-12  	        8.85633E-15  	        9.59472E-12  	        1.08810E-14  	        3.02223E-14  	        3.76207E-16  	        3.67553E-10  	        1.27685E-14  	        7.42135E-15  	        4.45358E-15  	        1.29219E-10  	        7.83119E-12  	        3.79628E-13
        8.00000E-03  	        1.39893E+03  	        2.51429E-01  	        1.01325E+05  	        7.78456E-14  	        2.32962E-15  	        1.24721E-07  	        4.87563E-13  	        1.76481E-11  	        5.76062E-11  	        7.94021E-07  	        4.05536E-13  	        1.40524E-09  	        1.08663E-06  	        3.83149E-07  	        5.80614E-09  	        3.74925E-08  	        3.26305E-11  	        3.29842E-13  	        5.65821E-07  	        7.48572E-11  	        2.46162E-11  	        3.19073E-09  	        7.59868E-07  	        2.20414E-09  	        1.81434E-09  	        2.80194E-12  	        1.33365E-07  	        3.98023E-14  	        4.40115E-09  	        8.60231E-08  	        4.47111E-15  	        1.01076E-06  	        4.21728E-10  	        1.12478E-10  	        1.34535E-08  	        3.67495E-07  	        5.35475E-07  	        1.98992E-08  	        2.12227E-07  	        1.48540E-11  	        4.26930E-10  	        6.92907E-07  	        2.96846E-07  	        5.95513E-08  	        3.94576E-07  	        3.00922E-13  	        7.00206E-08  	        1.16945E-09  	        1.46134E-08  	        1.00091E-06  	        1.18138E-09  	        4.31828E-10  	        8.75484E-07  	        1.34102E-08  	        2.87228E-05  	        1.00922E-07  	        2.32865E-01  	        3.12331E-05  	        2.26207E-06  	        0.00000E+00  	        1.79287E-07  	        3.04573E-05  	        1.12651E-06  	        4.25275E-14  	        1.40911E-06  	        7.67025E-01  	        1.16091E-06  	        9.35735E-07  	        7.90991E-07  	        1.83932E-07  	        3.07603E-07  	        1.38884E-06  	        4.94521E-08  	        3.33465E-11  	        1.49285E-14  	        1.98665E-14  	        2.25732E-10  	        8.83961E-12  	        1.78125E-10  	        3.91460E-11  	        5.94043E-14  	        3.50500E-10  	        2.99196E-09  	        2.50723E-08  	        6.24941E-08  	        2.04052E-08  	        2.27101E-08  	        8.15674E-11  	        4.36817E-14  	        4.65894E-09  	        1.14693E-09  	        2.34862E-15  	        2.81871E-10  	        9.31150E-15  	        2.32749E-08  	        1.50655E-10  	        5.18450E-19  	        6.19990E-12  	        1.08553E-14  	        1.20703E-11  	        1.33147E-14  	        3.45883E-14  	        7.35615E-16  	        5.44309E-10  	        1.83228E-14  	        1.16087E-14  	        5.89160E-15  	        1.53594E-10  	        9.96437E-12  	        4.66036E-13
        9.00000E-03  	        1.39881E+03  	        2.51458E-01  	        1.01325E+05  	        9.89702E-14  	        3.40815E-15  	        1.55790E-07  	        6.19878E-13  	        2.06345E-11  	        7.19052E-11  	        9.78017E-07  	        4.82899E-13  	        1.69861E-09  	        1.36696E-06  	        5.17293E-07  	        7.26084E-09  	        4.76712E-08  	        3.77061E-11  	        4.52901E-13  	        6.14631E-07  	        8.89164E-11  	        3.55822E-11  	        3.70921E-09  	        9.43284E-07  	        2.70150E-09  	        2.46202E-09  	        3.19422E-12  	        1.65753E-07  	        5.50230E-14  	        5.20027E-09  	        9.98111E-08  	        7.23735E-15  	        1.49544E-06  	        4.98905E-10  	        1.42425E-10  	        1.58316E-08  	        4.72420E-07  	        6.47008E-07  	        2.52417E-08  	        2.52693E-07  	        1.85705E-11  	        5.05414E-10  	        8.58241E-07  	        3.31402E-07  	        7.07692E-08  	        4.84044E-07  	        4.40345E-13  	        8.46872E-08  	        1.34787E-09  	        1.60472E-08  	        1.22034E-06  	        1.75648E-09  	        5.48525E-10  	        1.05643E-06  	        1.80009E-08  	        3.65251E-05  	        1.18705E-07  	        2.32842E-01  	        4.30030E-05  	        2.80449E-06  	        0.00000E+00  	        2.19887E-07  	        4.65925E-05  	        1.36667E-06  	        6.56696E-14  	        1.74966E-06  	        7.67007E-01  	        1.43030E-06  	        1.14286E-06  	        1.08156E-06  	        2.30967E-07  	        3.80044E-07  	        1.71537E-06  	        6.32922E-08  	        4.06266E-11  	        1.68226E-14  	        2.99020E-14  	        2.28289E-10  	        1.13907E-11  	        2.07166E-10  	        5.97699E-11  	        9.24940E-14  	        3.82375E-10  	        5.37756E-09  	        3.03928E-08  	        9.19709E-08  	        2.73306E-08  	        2.70791E-08  	        9.20902E-11  	        5.96586E-14  	        6.47102E-09  	        1.48312E-09  	        3.06379E-15  	        3.73744E-10  	        1.30583E-14  	        2.85575E-08  	        1.78131E-10  	        6.76562E-19  	        7.90241E-12  	        1.30643E-14  	        1.51069E-11  	        1.65438E-14  	        4.17558E-14  	        2.74564E-15  	        7.55732E-10  	        2.61699E-14  	        1.61038E-14  	        8.13775E-15  	        1.72396E-10  	        1.27403E-11  	        5.91094E-13
        1.01000E-02  	        1.39871E+03  	        2.51484E-01  	        1.01325E+05  	        1.24958E-13  	        5.47624E-15  	        1.96088E-07  	        8.07622E-13  	        2.52811E-11  	        8.84267E-11  	        1.21340E-06  	        6.11524E-13  	        2.17199E-09  	        1.71434E-06  	        7.03061E-07  	        9.42675E-09  	        6.04303E-08  	        4.55828E-11  	        6.34180E-13  	        6.91854E-07  	        1.07006E-10  	        5.27412E-11  	        4.35332E-09  	        1.17725E-06  	        3.46832E-09  	        3.50679E-09  	        3.72288E-12  	        2.06766E-07  	        7.88101E-14  	        6.12811E-09  	        1.21426E-07  	        1.18448E-14  	        2.09457E-06  	        6.20885E-10  	        1.84418E-10  	        1.91773E-08  	        6.07189E-07  	        7.95016E-07  	        3.26408E-08  	        3.04498E-07  	        2.43250E-11  	        6.22921E-10  	        1.07206E-06  	        3.77320E-07  	        8.38252E-08  	        6.02371E-07  	        6.80279E-13  	        1.03565E-07  	        1.57304E-09  	        1.82332E-08  	        1.50447E-06  	        2.61826E-09  	        7.09548E-10  	        1.29427E-06  	        2.44821E-08  	        4.60834E-05  	        1.42898E-07  	        2.32810E-01  	        5.95299E-05  	        3.49345E-06  	        0.00000E+00  	        2.75407E-07  	        7.14887E-05  	        1.68413E-06  	        1.06325E-13  	        2.17989E-06  	        7.66982E-01  	        1.77674E-06  	        1.41398E-06  	        1.47849E-06  	        2.89598E-07  	        4.73872E-07  	        2.12926E-06  	        7.95179E-08  	        5.01582E-11  	        2.00214E-14  	        4.52875E-14  	        2.45345E-10  	        1.51169E-11  	        2.47605E-10  	        9.07103E-11  	        1.51022E-13  	        4.29454E-10  	        9.08215E-09  	        3.73827E-08  	        1.34270E-07  	        3.69311E-08  	        3.25302E-08  	        1.06186E-10  	        8.76832E-14  	        8.51863E-09  	        1.79934E-09  	        4.41430E-15  	        4.98240E-10  	        1.87145E-14  	        3.53904E-08  	        2.15512E-10  	        8.92349E-19  	        1.01825E-11  	        1.54716E-14  	        1.91941E-11  	        2.10685E-14  	        5.43236E-14  	        6.16734E-15  	        1.04799E-09  	        4.65606E-14  	        2.23529E-14  	        1.22675E-14  	        1.95080E-10  	        1.67947E-11  	        7.92187E-13
