           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        1.00000E-03  	        1.40000E+03  	        4.18362E-01  	        1.01325E+05  	        5.5596E-191  	        0.00000E+00  	        1.1164E-180  	        2.7059E-183  	        2.3918E-182  	        8.8763E-182  	        8.5559E-174  	        7.5989E-185  	        1.4540E-179  	        1.3478E-173  	        4.9933E-178  	        1.2068E-177  	        9.7159E-180  	        1.2869E-181  	        0.00000E+00  	        8.5616E-176  	        4.4750E-180  	        2.0428E-200  	        3.5308E-178  	        9.2455E-174  	        6.0507E-181  	        1.0463E-181  	        3.2803E-182  	        1.4511E-174  	        1.4074E-189  	        3.7730E-180  	        4.1862E-176  	        0.00000E+00  	        1.27064E-12  	        1.9792E-178  	        2.9390E-182  	        7.3195E-177  	        8.3115E-175  	        3.6685E-174  	        4.1591E-180  	        3.5517E-175  	        1.5312E-183  	        4.4441E-178  	        6.4375E-174  	        1.4997E-174  	        1.7933E-176  	        1.1908E-173  	        0.00000E+00  	        4.6638E-176  	        2.8921E-178  	        1.4247E-175  	        5.0707E-174  	        2.2693E-178  	        6.8409E-182  	        6.0846E-174  	        1.7237E-183  	        3.3112E-173  	        6.4735E-175  	        2.32920E-01  	        3.4806E-173  	        2.1191E-173  	        0.00000E+00  	        6.7511E-175  	        5.0427E-173  	        1.0848E-173  	        0.00000E+00  	        1.2469E-173  	        7.67080E-01  	        1.0859E-173  	        6.6503E-174  	        1.1273E-174  	        2.2047E-174  	        2.6858E-174  	        1.4686E-173  	        2.9359E-174  	        2.2635E-180  	        1.2562E-193  	        2.2308E-185  	        4.9350E-180  	        1.7550E-183  	        2.5314E-182  	        6.9326E-182  	        6.9770E-197  	        4.3065E-181  	        1.04168E-12  	        1.3938E-174  	        4.6811E-175  	        7.7630E-181  	        5.3455E-175  	        3.4046E-178  	        4.8114E-186  	        2.3159E-182  	        1.6236E-181  	        9.9860E-205  	        1.0055E-183  	        2.3186E-191  	        1.5801E-174  	        2.0976E-180  	        0.00000E+00  	        3.3059E-183  	        1.1712E-184  	        7.4358E-182  	        1.2193E-186  	        7.0155E-185  	        1.3622E-196  	        2.9726E-189  	        1.0059E-202  	        5.4018E-200  	        0.00000E+00  	        6.2813E-182  	        3.3013E-183  	        9.1117E-193
        2.00000E-03  	        1.40000E+03  	        4.74693E-01  	        1.01325E+05  	        1.8952E-177  	        1.1893E-183  	        3.9249E-173  	        2.4854E-176  	        2.5957E-175  	        4.0358E-174  	        1.1629E-164  	        2.4288E-177  	        7.2618E-171  	        4.0070E-168  	        2.9186E-168  	        1.6100E-167  	        2.1600E-172  	        2.8737E-174  	        1.8449E-186  	        3.6912E-165  	        4.2033E-172  	        4.5715E-181  	        1.0575E-169  	        9.9971E-165  	        2.7631E-171  	        8.7118E-174  	        1.9979E-175  	        9.4334E-168  	        1.2622E-178  	        2.1061E-171  	        1.0891E-165  	        0.00000E+00  	        2.17983E-12  	        7.1535E-170  	        1.6151E-174  	        1.0509E-167  	        1.5843E-165  	        1.8464E-164  	        3.7410E-171  	        3.1262E-166  	        1.2024E-176  	        2.2189E-170  	        7.5587E-165  	        1.9087E-164  	        1.3454E-169  	        1.3877E-164  	        2.8995E-182  	        7.1651E-168  	        9.2505E-170  	        2.8365E-166  	        5.0194E-165  	        2.0067E-170  	        4.2435E-174  	        2.6691E-164  	        5.3784E-175  	        1.6912E-163  	        1.6699E-165  	        2.32920E-01  	        9.2203E-164  	        4.1694E-165  	        0.00000E+00  	        4.7262E-166  	        1.4343E-163  	        2.6444E-164  	        1.7825E-188  	        9.6753E-166  	        7.67080E-01  	        7.4337E-164  	        7.8085E-165  	        2.5963E-164  	        6.6059E-169  	        2.8415E-165  	        1.9601E-164  	        5.9295E-169  	        9.1744E-172  	        6.6668E-179  	        6.3552E-178  	        4.3992E-170  	        3.0152E-176  	        1.6329E-173  	        2.7936E-174  	        3.6819E-180  	        3.3526E-171  	        1.78259E-12  	        9.7879E-166  	        2.0365E-166  	        1.4329E-171  	        3.9309E-166  	        4.1001E-169  	        2.7916E-177  	        2.8654E-174  	        3.3887E-172  	        4.6352E-182  	        2.0630E-175  	        6.8371E-179  	        1.2133E-165  	        1.0788E-172  	        2.8082E-184  	        6.4036E-176  	        1.4218E-176  	        9.2044E-175  	        4.6200E-178  	        2.9419E-177  	        2.6610E-180  	        7.1500E-177  	        1.3135E-181  	        6.6287E-181  	        5.8869E-183  	        3.8405E-174  	        9.8552E-176  	        8.7737E-179
        3.10000E-03  	        1.40000E+03  	        4.70445E-01  	        1.01325E+05  	        4.1904E-173  	        2.1532E-176  	        1.4658E-165  	        5.3531E-170  	        1.3691E-167  	        1.4500E-169  	        8.1466E-156  	        3.8559E-171  	        6.2371E-163  	        3.7343E-166  	        2.4016E-159  	        2.6942E-159  	        1.8449E-167  	        8.9032E-168  	        5.8003E-176  	        2.4153E-156  	        2.3097E-164  	        7.9746E-174  	        1.4816E-161  	        6.5323E-156  	        1.8619E-162  	        9.0566E-165  	        1.2944E-168  	        1.3781E-159  	        1.5915E-174  	        2.3162E-163  	        5.8980E-157  	        1.6860E-181  	        3.32442E-12  	        7.0483E-162  	        9.4832E-168  	        3.1813E-159  	        2.9008E-157  	        6.1098E-156  	        1.7490E-162  	        2.8063E-158  	        1.7783E-170  	        3.2062E-162  	        2.8496E-156  	        1.8736E-155  	        4.2556E-161  	        1.0367E-155  	        8.2307E-175  	        2.7972E-161  	        9.0971E-162  	        6.5648E-158  	        1.5653E-156  	        1.8051E-162  	        4.2530E-165  	        2.6537E-155  	        2.3784E-165  	        2.0187E-154  	        6.4915E-159  	        2.32920E-01  	        1.2863E-154  	        1.1338E-158  	        0.00000E+00  	        1.1329E-157  	        2.0963E-154  	        2.5804E-155  	        1.1981E-176  	        2.7590E-161  	        7.67080E-01  	        7.4091E-155  	        6.8203E-156  	        3.5232E-155  	        7.7845E-167  	        1.3824E-156  	        4.1154E-156  	        1.3734E-166  	        1.8408E-168  	        1.7374E-170  	        6.1896E-172  	        5.5270E-161  	        1.6079E-169  	        2.1483E-164  	        1.0436E-170  	        2.2150E-173  	        6.5162E-162  	        2.71167E-12  	        3.9685E-157  	        5.1670E-158  	        5.7779E-162  	        5.9039E-158  	        8.7337E-161  	        4.1027E-171  	        1.9048E-164  	        9.4016E-164  	        2.7901E-174  	        9.5357E-166  	        5.8682E-174  	        4.0644E-157  	        3.4241E-165  	        3.2736E-177  	        4.0588E-171  	        1.6928E-172  	        1.0482E-168  	        1.1697E-172  	        6.1258E-171  	        1.4847E-174  	        9.6799E-168  	        5.9282E-173  	        2.0794E-174  	        4.9522E-175  	        9.3337E-165  	        2.4599E-167  	        1.9835E-170
        4.10000E-03  	        1.40000E+03  	        4.95167E-01  	        1.01325E+05  	        5.2764E-171  	        6.2857E-172  	        6.4789E-162  	        3.3712E-166  	        9.4021E-163  	        1.4763E-167  	        1.9386E-149  	        1.6186E-166  	        4.6788E-158  	        6.2632E-164  	        6.0681E-154  	        7.8166E-154  	        8.4618E-164  	        2.1766E-163  	        5.3633E-170  	        4.9545E-150  	        5.7563E-160  	        3.5671E-169  	        3.9339E-157  	        2.2365E-150  	        2.1880E-157  	        1.0608E-159  	        1.6905E-164  	        1.3215E-153  	        3.5675E-171  	        1.5203E-158  	        9.7396E-151  	        3.2978E-175  	        4.37121E-12  	        1.8686E-157  	        1.8620E-163  	        1.3022E-153  	        3.9150E-152  	        1.3646E-150  	        4.2869E-157  	        5.5588E-153  	        4.1705E-166  	        4.0917E-158  	        1.4255E-150  	        8.6974E-149  	        5.6321E-157  	        1.4441E-149  	        7.9439E-170  	        1.3077E-158  	        2.3794E-157  	        7.8723E-153  	        2.8638E-151  	        1.4476E-157  	        9.6342E-160  	        1.0264E-148  	        6.9697E-159  	        1.6567E-147  	        4.2637E-155  	        2.32920E-01  	        3.0295E-148  	        2.0526E-154  	        0.00000E+00  	        3.0378E-152  	        1.0286E-147  	        6.7635E-149  	        9.6301E-172  	        1.9793E-159  	        7.67080E-01  	        2.9533E-148  	        1.2533E-149  	        1.6854E-148  	        3.7892E-165  	        6.6280E-151  	        1.3019E-150  	        4.3900E-165  	        3.3406E-164  	        2.0820E-165  	        3.6470E-167  	        3.5224E-156  	        4.9274E-165  	        1.5882E-159  	        2.8472E-166  	        3.2118E-168  	        6.0059E-157  	        3.55694E-12  	        1.3235E-151  	        3.5942E-152  	        9.7905E-156  	        2.5851E-152  	        3.8857E-156  	        1.0220E-166  	        6.0190E-158  	        5.0435E-159  	        6.9731E-169  	        5.7920E-160  	        4.1577E-171  	        1.4078E-151  	        9.0007E-161  	        6.7628E-174  	        1.7606E-167  	        3.0869E-169  	        2.5182E-164  	        7.1587E-169  	        3.1605E-166  	        4.7113E-169  	        8.1878E-161  	        2.5661E-168  	        3.0121E-169  	        1.9180E-169  	        1.2645E-159  	        2.0016E-162  	        2.5729E-165
        5.00000E-03  	        1.40000E+03  	        5.20416E-01  	        1.01325E+05  	        4.5833E-169  	        1.0312E-168  	        3.0401E-157  	        6.3737E-163  	        9.5212E-158  	        1.8422E-166  	        1.1032E-144  	        1.4379E-162  	        1.3280E-153  	        4.1054E-162  	        1.0871E-148  	        1.9008E-148  	        1.3048E-160  	        2.6215E-159  	        1.5981E-164  	        2.1152E-145  	        1.2401E-155  	        2.3638E-166  	        1.1048E-152  	        5.6254E-145  	        6.3361E-152  	        1.8364E-154  	        8.2754E-162  	        2.8157E-149  	        1.8920E-169  	        7.5378E-154  	        2.0095E-146  	        4.6641E-172  	        5.41616E-12  	        5.8600E-153  	        1.7078E-160  	        3.7400E-149  	        1.3156E-146  	        1.2266E-144  	        4.1373E-152  	        3.5759E-147  	        1.7159E-162  	        4.1656E-153  	        3.1258E-145  	        1.5110E-144  	        7.7775E-151  	        6.6405E-145  	        2.5328E-164  	        3.4083E-156  	        4.1491E-153  	        4.8997E-147  	        2.7060E-145  	        3.8430E-153  	        2.4939E-154  	        1.0015E-144  	        2.3938E-154  	        5.9056E-143  	        2.2258E-153  	        2.32920E-01  	        1.5390E-143  	        2.8728E-153  	        0.00000E+00  	        8.1844E-147  	        1.6144E-143  	        2.2086E-144  	        4.9517E-166  	        2.2304E-157  	        7.67080E-01  	        1.2561E-143  	        9.0462E-145  	        1.2187E-143  	        6.4389E-164  	        1.0455E-145  	        4.7830E-145  	        5.3239E-164  	        3.4056E-160  	        1.0088E-159  	        2.5351E-164  	        1.3774E-150  	        6.8579E-161  	        8.8948E-154  	        2.8455E-162  	        2.9040E-165  	        2.6868E-151  	        4.39806E-12  	        3.9680E-146  	        1.1092E-146  	        2.8781E-150  	        1.1803E-146  	        7.6710E-150  	        1.2553E-163  	        1.1821E-152  	        2.8070E-154  	        1.0082E-165  	        8.7099E-155  	        6.5835E-168  	        2.8066E-146  	        2.0461E-156  	        9.6483E-172  	        1.7994E-164  	        3.1526E-166  	        3.1169E-160  	        1.0976E-165  	        3.4017E-163  	        1.3480E-167  	        7.3108E-156  	        3.0768E-167  	        8.2396E-164  	        9.1554E-166  	        1.3775E-154  	        4.7720E-157  	        9.5589E-160
        6.00000E-03  	        1.40000E+03  	        5.25303E-01  	        1.01325E+05  	        2.8223E-167  	        2.8628E-166  	        1.2326E-153  	        7.9153E-161  	        2.9418E-153  	        2.9352E-166  	        1.1818E-138  	        4.6081E-159  	        3.1427E-149  	        6.4748E-161  	        8.0861E-143  	        1.1583E-142  	        1.7737E-157  	        8.3553E-156  	        1.4333E-159  	        3.8235E-139  	        4.2939E-152  	        5.2650E-163  	        5.1245E-149  	        4.2224E-139  	        1.0940E-145  	        1.5950E-148  	        2.0886E-158  	        5.6494E-145  	        3.5001E-168  	        1.5539E-149  	        2.4384E-139  	        1.3580E-169  	        6.65527E-12  	        6.9746E-149  	        1.0069E-157  	        3.0510E-144  	        4.8164E-141  	        1.0937E-139  	        9.5982E-146  	        5.0854E-142  	        7.6754E-159  	        1.3467E-148  	        5.0964E-140  	        4.3820E-138  	        3.6792E-145  	        2.0635E-138  	        1.0790E-160  	        2.9358E-154  	        2.4423E-149  	        6.0341E-142  	        3.5720E-140  	        7.9634E-149  	        5.5918E-149  	        1.4772E-137  	        4.6290E-148  	        8.0195E-137  	        2.0724E-151  	        2.32920E-01  	        2.5723E-137  	        5.3470E-151  	        0.00000E+00  	        6.9945E-141  	        7.5169E-137  	        2.6229E-138  	        6.2841E-162  	        3.0295E-156  	        7.67080E-01  	        1.9039E-137  	        1.1551E-138  	        3.7617E-137  	        3.6475E-162  	        1.0256E-139  	        1.1092E-140  	        1.4825E-163  	        1.0058E-156  	        3.1421E-155  	        5.4922E-161  	        3.1701E-145  	        2.4540E-157  	        2.9942E-149  	        7.9768E-159  	        5.9681E-162  	        6.1832E-146  	        5.39185E-12  	        2.6234E-140  	        1.8622E-141  	        1.7591E-144  	        1.7580E-141  	        5.7491E-145  	        1.9261E-160  	        4.8542E-147  	        2.6290E-150  	        2.9026E-162  	        2.2275E-149  	        4.2441E-165  	        3.0906E-140  	        6.5354E-152  	        6.5144E-170  	        3.2437E-161  	        5.5365E-163  	        1.3529E-156  	        1.8623E-162  	        5.2114E-160  	        2.5542E-165  	        5.7616E-150  	        2.7025E-167  	        4.3081E-159  	        1.6512E-162  	        2.0481E-148  	        8.5425E-152  	        9.6617E-155
        7.00000E-03  	        1.40000E+03  	        5.26741E-01  	        1.01325E+05  	        1.3340E-165  	        3.4319E-164  	        4.1163E-150  	        2.5123E-159  	        3.2682E-149  	        1.2319E-164  	        1.1543E-133  	        4.6555E-156  	        1.0454E-145  	        2.7182E-160  	        5.0635E-138  	        7.4184E-138  	        5.2368E-154  	        9.4117E-153  	        2.4401E-155  	        3.4838E-133  	        6.7306E-149  	        3.3140E-160  	        1.9022E-145  	        9.1252E-135  	        1.3000E-141  	        4.6687E-144  	        2.7690E-156  	        5.0645E-141  	        8.7726E-168  	        3.5182E-146  	        2.0019E-134  	        4.5205E-168  	        7.97516E-12  	        1.9067E-145  	        1.1425E-155  	        8.1516E-140  	        1.3204E-136  	        2.2064E-135  	        1.1318E-140  	        4.0078E-137  	        4.9446E-156  	        4.6960E-145  	        7.8068E-136  	        8.4564E-133  	        2.8945E-141  	        2.5079E-133  	        2.8394E-157  	        2.6910E-153  	        1.1308E-145  	        9.2581E-138  	        8.6944E-136  	        4.4237E-145  	        3.0447E-144  	        1.5118E-132  	        3.4083E-143  	        6.1904E-131  	        8.8772E-150  	        2.32920E-01  	        1.8015E-131  	        1.4351E-149  	        0.00000E+00  	        3.2790E-136  	        2.0575E-131  	        7.4845E-133  	        8.7278E-159  	        2.4933E-155  	        7.67080E-01  	        1.7818E-132  	        9.8492E-134  	        4.7846E-132  	        4.1315E-160  	        6.0383E-135  	        1.7178E-136  	        5.4938E-162  	        1.2926E-153  	        1.8004E-151  	        1.1021E-158  	        6.7538E-141  	        5.4952E-154  	        1.4240E-145  	        3.0980E-155  	        1.4825E-158  	        7.4421E-142  	        6.44632E-12  	        1.2358E-135  	        2.6656E-136  	        1.1173E-138  	        1.8010E-136  	        4.8016E-141  	        6.5005E-157  	        1.9592E-141  	        1.3811E-146  	        4.4144E-160  	        3.3940E-145  	        6.5281E-163  	        1.5744E-135  	        1.4221E-148  	        6.1206E-168  	        3.0864E-158  	        8.9985E-161  	        5.8544E-153  	        4.2758E-160  	        1.8964E-156  	        1.3711E-163  	        1.8900E-144  	        1.1490E-165  	        1.2235E-155  	        2.6798E-160  	        1.3921E-143  	        1.8304E-147  	        6.7686E-151
        8.00000E-03  	        1.40000E+03  	        5.28275E-01  	        1.01325E+05  	        7.8433E-165  	        4.7707E-162  	        4.0756E-147  	        3.5328E-159  	        1.7332E-145  	        3.8304E-164  	        1.9946E-129  	        1.7380E-152  	        3.3623E-142  	        3.0808E-159  	        1.3141E-133  	        1.4757E-133  	        3.2359E-152  	        2.4763E-149  	        1.1546E-151  	        2.2891E-128  	        5.7207E-146  	        4.7582E-158  	        4.3894E-142  	        1.6966E-130  	        1.8181E-137  	        3.1314E-140  	        2.9522E-154  	        1.1181E-137  	        7.0150E-167  	        1.2396E-142  	        2.0732E-129  	        7.8516E-166  	        9.37145E-12  	        4.0297E-142  	        1.9994E-154  	        9.3474E-136  	        2.5311E-132  	        1.3031E-131  	        2.0229E-136  	        7.8945E-133  	        1.9176E-152  	        3.0663E-141  	        4.2328E-132  	        1.7520E-128  	        1.1833E-137  	        5.8884E-129  	        1.0111E-154  	        8.4593E-154  	        2.3382E-142  	        5.0963E-134  	        1.6204E-131  	        2.8571E-141  	        9.9406E-140  	        2.5850E-128  	        1.0419E-138  	        5.1372E-126  	        2.1404E-148  	        2.32920E-01  	        1.3046E-126  	        2.9286E-148  	        0.00000E+00  	        7.5270E-132  	        1.5030E-126  	        2.8617E-128  	        3.0504E-155  	        8.1696E-155  	        7.67080E-01  	        3.8929E-128  	        2.2245E-129  	        5.6498E-127  	        4.0042E-158  	        1.1136E-130  	        9.8909E-133  	        4.2469E-161  	        3.7776E-150  	        2.5794E-148  	        2.5954E-156  	        3.7350E-137  	        7.6396E-151  	        1.0572E-141  	        3.5139E-152  	        2.0006E-155  	        4.1148E-138  	        7.55752E-12  	        2.7428E-131  	        6.0972E-132  	        5.1090E-134  	        3.4301E-132  	        9.3418E-137  	        2.2544E-154  	        1.2739E-136  	        2.3904E-143  	        7.6058E-158  	        2.0965E-141  	        7.7883E-161  	        3.0689E-131  	        5.1354E-145  	        8.1557E-167  	        3.7804E-156  	        1.0751E-158  	        2.8796E-149  	        1.3085E-157  	        3.8573E-154  	        1.6026E-161  	        4.8952E-140  	        2.0042E-164  	        1.1128E-151  	        1.3261E-159  	        6.4027E-139  	        6.3315E-144  	        3.4088E-147
        9.00000E-03  	        1.40000E+03  	        5.38162E-01  	        1.01325E+05  	        4.2686E-164  	        2.2209E-160  	        1.0585E-143  	        1.7537E-160  	        2.7661E-142  	        2.0114E-163  	        3.3190E-125  	        1.3398E-149  	        4.0949E-139  	        3.9505E-158  	        2.0632E-129  	        2.9033E-129  	        1.4995E-149  	        2.9776E-146  	        1.6351E-148  	        3.7490E-124  	        9.6796E-144  	        4.4407E-156  	        8.8815E-139  	        1.0336E-126  	        8.5190E-134  	        2.9098E-136  	        6.1815E-153  	        1.4693E-134  	        2.1549E-166  	        1.7912E-139  	        3.4287E-125  	        7.9360E-165  	        1.08456E-11  	        1.0973E-138  	        4.0579E-154  	        4.3663E-132  	        2.7394E-128  	        9.1125E-128  	        2.5056E-132  	        8.3620E-129  	        1.1053E-149  	        3.9608E-138  	        1.0286E-128  	        3.1089E-124  	        3.7400E-134  	        1.1755E-124  	        1.1527E-152  	        5.4445E-153  	        2.6822E-140  	        2.1775E-130  	        7.9463E-128  	        3.1608E-138  	        9.3100E-136  	        7.5083E-124  	        3.7550E-135  	        3.0218E-121  	        1.5530E-147  	        2.32920E-01  	        6.8432E-122  	        2.2611E-147  	        0.00000E+00  	        9.6265E-128  	        3.6314E-122  	        6.0793E-124  	        2.3017E-152  	        3.2232E-154  	        7.67080E-01  	        6.5556E-124  	        4.7383E-125  	        1.0771E-122  	        4.3126E-156  	        1.9976E-126  	        1.4121E-129  	        2.1524E-160  	        8.5920E-148  	        2.4267E-145  	        3.9592E-154  	        4.1955E-133  	        1.6079E-147  	        1.6060E-138  	        6.6991E-149  	        1.0361E-152  	        3.0824E-134  	        8.72615E-12  	        3.9517E-127  	        1.6782E-127  	        1.3800E-129  	        6.9363E-128  	        9.7024E-133  	        2.8014E-152  	        2.0555E-132  	        3.6454E-140  	        6.8533E-156  	        1.1645E-137  	        4.1394E-159  	        4.4445E-127  	        5.7557E-142  	        6.1983E-166  	        9.0741E-154  	        1.1823E-156  	        8.4774E-146  	        6.1330E-156  	        4.4181E-152  	        2.1803E-161  	        1.1248E-135  	        1.3536E-163  	        1.9772E-148  	        3.3657E-158  	        8.5498E-135  	        4.8206E-140  	        6.3222E-144
        1.01000E-02  	        1.40000E+03  	        5.47466E-01  	        1.01325E+05  	        6.2976E-163  	        2.4943E-158  	        2.3310E-140  	        2.1032E-161  	        8.2559E-139  	        2.7648E-162  	        8.5108E-121  	        2.1739E-147  	        1.9917E-135  	        3.4898E-157  	        2.3481E-125  	        8.8709E-125  	        2.3003E-147  	        1.6002E-143  	        5.7392E-145  	        2.3645E-119  	        1.7101E-141  	        1.1298E-153  	        1.0251E-135  	        6.7631E-123  	        1.1427E-129  	        8.8528E-133  	        2.3624E-152  	        7.4922E-131  	        3.3970E-165  	        1.6313E-136  	        1.8529E-120  	        1.3824E-163  	        1.25586E-11  	        8.4238E-136  	        2.0919E-154  	        7.0342E-128  	        4.1849E-124  	        1.7662E-124  	        3.4041E-128  	        1.6738E-124  	        3.1829E-147  	        1.4907E-134  	        7.2417E-125  	        6.9428E-120  	        1.1183E-129  	        5.3300E-120  	        5.1242E-150  	        3.5666E-153  	        1.8663E-138  	        8.4734E-127  	        1.0906E-123  	        9.0364E-135  	        1.3461E-131  	        1.4903E-119  	        1.0226E-130  	        1.5036E-116  	        5.5006E-147  	        2.32920E-01  	        3.2517E-117  	        4.4375E-147  	        0.00000E+00  	        2.7142E-123  	        2.5882E-117  	        2.0823E-119  	        4.6411E-150  	        6.4050E-154  	        7.67080E-01  	        1.1762E-119  	        1.6175E-120  	        4.9801E-118  	        2.4873E-154  	        1.7551E-122  	        1.8392E-126  	        2.6620E-159  	        3.2885E-145  	        8.6658E-143  	        4.8514E-152  	        1.5852E-129  	        9.9312E-145  	        3.6897E-135  	        2.5292E-145  	        4.2716E-150  	        7.4292E-131  	        1.00788E-11  	        1.0168E-122  	        8.8167E-123  	        4.5968E-125  	        2.1270E-123  	        1.0997E-128  	        1.2252E-149  	        7.9244E-128  	        1.3329E-136  	        5.4348E-154  	        2.1655E-134  	        4.6754E-157  	        4.2015E-123  	        3.1923E-138  	        2.7511E-165  	        4.9360E-152  	        2.2989E-155  	        2.4942E-142  	        5.8260E-154  	        2.7611E-149  	        1.9077E-161  	        1.8629E-131  	        3.6888E-162  	        5.5190E-145  	        1.2115E-156  	        9.0452E-131  	        1.1244E-136  	        4.3232E-141
