           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.39993E+03  	        3.61161E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        2.14884E-20  	        6.64841E-24  	        1.70192E-21  	        2.20496E-21  	        7.11204E-18  	        0.00000E+00  	        4.80377E-21  	        1.96001E-14  	        3.88619E-17  	        6.83542E-17  	        4.57718E-19  	        3.04780E-22  	        0.00000E+00  	        7.26184E-16  	        1.17613E-19  	        0.00000E+00  	        4.50828E-18  	        3.29575E-14  	        4.17781E-19  	        4.15929E-21  	        6.81440E-22  	        1.55740E-16  	        0.00000E+00  	        2.40448E-20  	        6.58263E-16  	        0.00000E+00  	        4.20202E-13  	        5.51561E-19  	        1.86134E-21  	        6.32880E-17  	        1.62182E-14  	        2.00382E-14  	        1.15247E-19  	        3.63154E-16  	        0.00000E+00  	        7.08844E-19  	        5.60681E-15  	        2.57186E-15  	        6.43490E-15  	        2.90304E-13  	        0.00000E+00  	        5.14985E-18  	        4.91434E-18  	        6.08961E-15  	        1.05042E-15  	        1.84626E-17  	        2.35781E-21  	        6.48579E-14  	        8.77487E-24  	        4.34098E-13  	        3.04599E-17  	        1.82804E-03  	        1.78812E-09  	        2.75055E-16  	        0.00000E+00  	        1.16466E-14  	        6.87716E-03  	        2.47624E-13  	        0.00000E+00  	        6.51114E-16  	        0.00000E+00  	        1.77279E-15  	        2.81529E-14  	        2.11026E-14  	        9.93360E-15  	        2.20422E-15  	        1.35069E-13  	        5.04733E-15  	        1.08296E-19  	        0.00000E+00  	        0.00000E+00  	        3.32804E-18  	        7.00609E-24  	        1.16285E-21  	        2.55648E-21  	        0.00000E+00  	        1.05501E-19  	        0.00000E+00  	        4.30309E-14  	        8.66380E-15  	        3.56313E-20  	        1.09244E-14  	        2.95236E-17  	        0.00000E+00  	        7.70557E-20  	        2.48774E-20  	        0.00000E+00  	        7.28443E-25  	        0.00000E+00  	        5.67225E-15  	        4.24431E-20  	        0.00000E+00  	        8.99952E-24  	        0.00000E+00  	        6.34931E-22  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.66343E-21  	        1.05520E-23  	        0.00000E+00
        2.00000E-03  	        1.39982E+03  	        3.61196E-01  	        1.01325E+05  	        1.48811E-22  	        0.00000E+00  	        4.67366E-17  	        6.12237E-21  	        1.55426E-18  	        1.47771E-17  	        5.35921E-15  	        1.42518E-20  	        1.37266E-17  	        8.77363E-13  	        5.53259E-16  	        4.50576E-15  	        6.29133E-16  	        9.48399E-20  	        0.00000E+00  	        5.52790E-14  	        4.75032E-18  	        0.00000E+00  	        7.51943E-16  	        1.66546E-12  	        6.07201E-18  	        4.80873E-18  	        8.26947E-19  	        2.06919E-14  	        1.06265E-25  	        3.89279E-16  	        4.16867E-14  	        0.00000E+00  	        1.48250E-12  	        5.39028E-17  	        4.37471E-19  	        3.48017E-15  	        7.22795E-13  	        9.82294E-13  	        1.78151E-17  	        1.65012E-13  	        1.11201E-19  	        4.92933E-17  	        2.64693E-13  	        2.17078E-13  	        3.48408E-13  	        2.01515E-12  	        0.00000E+00  	        1.14757E-15  	        9.60785E-16  	        2.28009E-13  	        4.19381E-13  	        1.38279E-15  	        6.11860E-19  	        3.02576E-12  	        3.95317E-18  	        6.84505E-12  	        4.90740E-15  	        1.82821E-03  	        3.23115E-08  	        4.08877E-14  	        0.00000E+00  	        2.08100E-12  	        6.87782E-03  	        8.48884E-12  	        0.00000E+00  	        9.23526E-14  	        2.80931E-20  	        5.76134E-13  	        1.71304E-12  	        1.37137E-12  	        4.27244E-13  	        1.78691E-13  	        5.95817E-12  	        1.14430E-13  	        2.72792E-17  	        0.00000E+00  	        0.00000E+00  	        5.12236E-16  	        6.94001E-20  	        1.29577E-18  	        2.18138E-18  	        0.00000E+00  	        1.07248E-17  	        1.31766E-23  	        4.37985E-13  	        8.82821E-14  	        1.25781E-17  	        1.11395E-13  	        2.83247E-16  	        1.58530E-23  	        2.39678E-18  	        4.82563E-18  	        0.00000E+00  	        2.50347E-19  	        0.00000E+00  	        5.77258E-14  	        8.91275E-18  	        0.00000E+00  	        1.98549E-20  	        1.62508E-21  	        2.29646E-19  	        9.60413E-24  	        7.30750E-23  	        0.00000E+00  	        1.32094E-22  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.04137E-18  	        2.51555E-20  	        8.79545E-26
        3.10000E-03  	        1.39968E+03  	        3.61240E-01  	        1.01325E+05  	        1.56065E-19  	        2.45586E-24  	        2.75704E-14  	        3.41856E-19  	        6.13915E-17  	        2.19465E-15  	        3.34462E-13  	        8.33235E-19  	        1.94248E-15  	        9.52579E-12  	        6.06857E-14  	        6.83787E-14  	        6.35763E-14  	        8.35737E-18  	        0.00000E+00  	        2.59498E-12  	        1.95185E-16  	        2.39266E-20  	        3.07185E-14  	        1.78284E-11  	        2.36129E-16  	        3.92268E-16  	        3.69527E-17  	        4.47344E-13  	        6.42969E-22  	        1.19175E-13  	        1.18697E-12  	        0.00000E+00  	        6.88327E-12  	        1.86470E-15  	        7.45953E-17  	        1.88267E-13  	        7.41596E-12  	        1.12878E-11  	        4.31772E-15  	        6.97029E-12  	        1.99137E-17  	        1.58651E-15  	        3.36185E-12  	        9.30260E-12  	        3.52232E-12  	        6.72465E-12  	        1.28194E-22  	        7.64097E-14  	        3.80210E-14  	        2.16721E-12  	        1.71269E-11  	        4.14119E-14  	        2.55195E-17  	        3.10126E-11  	        4.32330E-15  	        1.09335E-10  	        1.26649E-13  	        1.82843E-03  	        1.61934E-07  	        1.01093E-12  	        0.00000E+00  	        8.01913E-11  	        6.87861E-03  	        8.29990E-11  	        0.00000E+00  	        2.05029E-12  	        4.28213E-18  	        2.06167E-11  	        4.10539E-11  	        1.65544E-11  	        3.99395E-12  	        2.57295E-12  	        5.62276E-11  	        8.04201E-13  	        5.20420E-16  	        2.34274E-22  	        0.00000E+00  	        1.23857E-14  	        4.61139E-18  	        1.47873E-16  	        1.00464E-16  	        4.10748E-23  	        1.70577E-15  	        3.60250E-20  	        1.79213E-12  	        3.62454E-13  	        2.81431E-15  	        4.61172E-13  	        1.17320E-15  	        3.67516E-21  	        9.23237E-17  	        9.06285E-17  	        0.00000E+00  	        6.63827E-17  	        1.13181E-21  	        2.35582E-13  	        2.12555E-16  	        0.00000E+00  	        1.27479E-18  	        1.07445E-19  	        7.56589E-18  	        1.83592E-21  	        6.31528E-21  	        0.00000E+00  	        4.91103E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        4.08792E-17  	        1.12501E-18  	        6.37041E-21
        4.10000E-03  	        1.39954E+03  	        3.61286E-01  	        1.01325E+05  	        1.73196E-18  	        8.92720E-22  	        1.03722E-12  	        3.28735E-18  	        4.66202E-16  	        1.15727E-14  	        3.75666E-12  	        6.42076E-18  	        2.15729E-14  	        4.15877E-11  	        1.44085E-12  	        3.80916E-13  	        9.10253E-13  	        1.17674E-16  	        8.52185E-22  	        3.33320E-11  	        2.96470E-15  	        4.28399E-18  	        1.45000E-13  	        6.92038E-11  	        6.73299E-15  	        5.68478E-15  	        1.63036E-16  	        2.62346E-12  	        1.96477E-20  	        1.20192E-12  	        1.23875E-11  	        0.00000E+00  	        2.35363E-11  	        1.28296E-14  	        8.05578E-16  	        1.64283E-12  	        2.82876E-11  	        5.05989E-11  	        8.73731E-14  	        5.89746E-11  	        2.44258E-16  	        1.07089E-14  	        1.78052E-11  	        6.92891E-11  	        1.28903E-11  	        1.49719E-11  	        2.00918E-20  	        7.69492E-13  	        1.37804E-13  	        8.65741E-12  	        1.42594E-10  	        2.91457E-13  	        3.32396E-16  	        1.26764E-10  	        1.31739E-13  	        7.57912E-10  	        8.83854E-13  	        1.82864E-03  	        3.56228E-07  	        7.37805E-12  	        0.00000E+00  	        6.67820E-10  	        6.87941E-03  	        3.20958E-10  	        2.13971E-22  	        1.31068E-11  	        2.84186E-17  	        1.54834E-10  	        2.95005E-10  	        6.44703E-11  	        1.49453E-11  	        1.24241E-11  	        1.96211E-10  	        2.64928E-12  	        2.02528E-15  	        5.94598E-21  	        0.00000E+00  	        3.31870E-14  	        1.74577E-17  	        1.21145E-15  	        3.93002E-16  	        5.17809E-22  	        2.05871E-14  	        6.33727E-19  	        4.18149E-12  	        8.21599E-13  	        5.42122E-14  	        1.09475E-12  	        2.84384E-15  	        4.32612E-20  	        8.74944E-16  	        3.62566E-16  	        0.00000E+00  	        6.75813E-16  	        1.28171E-20  	        5.43901E-13  	        6.78313E-16  	        0.00000E+00  	        1.50801E-17  	        4.04327E-19  	        4.89446E-17  	        1.44428E-20  	        4.79222E-20  	        1.94265E-22  	        2.06338E-17  	        2.00391E-22  	        0.00000E+00  	        0.00000E+00  	        2.66488E-16  	        1.09753E-17  	        2.40772E-19
        5.00000E-03  	        1.39939E+03  	        3.61331E-01  	        1.01325E+05  	        4.71533E-18  	        1.63304E-20  	        8.01241E-12  	        1.30406E-17  	        2.28795E-15  	        1.75624E-14  	        1.90888E-11  	        3.49012E-17  	        1.08785E-13  	        1.14068E-10  	        9.86750E-12  	        1.30487E-12  	        4.26834E-12  	        9.89932E-16  	        5.44159E-20  	        1.69657E-10  	        1.15701E-14  	        8.44232E-17  	        3.67002E-13  	        1.63756E-10  	        5.92784E-14  	        3.39330E-14  	        4.24820E-16  	        8.64202E-12  	        1.67198E-19  	        3.54514E-12  	        5.84706E-11  	        0.00000E+00  	        7.09961E-11  	        5.30271E-14  	        3.31442E-15  	        6.10851E-12  	        6.50965E-11  	        1.36885E-10  	        4.98696E-13  	        2.21653E-10  	        1.43061E-15  	        4.16471E-14  	        5.67853E-11  	        2.17419E-10  	        2.88312E-11  	        3.03955E-11  	        3.42080E-19  	        3.14129E-12  	        2.74720E-13  	        2.32972E-11  	        5.28787E-10  	        1.23507E-12  	        2.13716E-15  	        3.38352E-10  	        9.79237E-13  	        2.87559E-09  	        3.19881E-12  	        1.82885E-03  	        5.52564E-07  	        2.95454E-11  	        0.00000E+00  	        2.48857E-09  	        6.88021E-03  	        7.68241E-10  	        1.20377E-20  	        4.57864E-11  	        5.75060E-17  	        5.27081E-10  	        1.04400E-09  	        1.93831E-10  	        3.68646E-11  	        3.56900E-11  	        4.21611E-10  	        5.84345E-12  	        4.74177E-15  	        4.03789E-20  	        0.00000E+00  	        6.63996E-14  	        7.02857E-17  	        4.63304E-15  	        5.79127E-16  	        1.37332E-20  	        5.54441E-14  	        2.91154E-18  	        7.44056E-12  	        1.36845E-12  	        2.83463E-13  	        1.99622E-12  	        5.33243E-15  	        2.01536E-19  	        3.89798E-15  	        1.10968E-15  	        0.00000E+00  	        2.07235E-15  	        4.16383E-20  	        9.53273E-13  	        1.40571E-15  	        0.00000E+00  	        4.72767E-17  	        4.83090E-19  	        1.36733E-16  	        4.63476E-20  	        1.89936E-19  	        8.91805E-22  	        1.65564E-16  	        5.78989E-20  	        0.00000E+00  	        0.00000E+00  	        9.34909E-16  	        5.19202E-17  	        2.07164E-18
        6.00000E-03  	        1.39923E+03  	        3.61380E-01  	        1.01325E+05  	        1.06861E-17  	        1.44920E-19  	        3.75504E-11  	        4.22359E-17  	        9.74250E-15  	        2.47043E-14  	        7.68343E-11  	        1.71012E-16  	        4.18689E-13  	        2.72188E-10  	        4.43808E-11  	        3.82224E-12  	        1.35514E-11  	        6.29584E-15  	        1.19257E-18  	        6.26830E-10  	        3.05446E-14  	        8.05878E-16  	        9.41483E-13  	        3.25709E-10  	        3.36285E-13  	        1.61342E-13  	        1.02093E-15  	        2.41908E-11  	        9.91573E-19  	        7.94931E-12  	        2.01661E-10  	        1.15206E-22  	        2.07110E-10  	        1.82094E-13  	        1.10966E-14  	        1.64115E-11  	        1.25749E-10  	        3.04166E-10  	        1.97061E-12  	        6.22794E-10  	        6.64029E-15  	        1.40413E-13  	        1.57241E-10  	        5.22422E-10  	        5.45233E-11  	        6.84389E-11  	        3.21737E-18  	        1.03608E-11  	        5.52131E-13  	        5.82251E-11  	        1.45597E-09  	        4.59040E-12  	        1.10379E-14  	        8.03037E-10  	        4.74408E-12  	        9.21222E-09  	        9.58449E-12  	        1.82907E-03  	        7.82342E-07  	        9.99210E-11  	        0.00000E+00  	        6.90964E-09  	        6.88105E-03  	        1.56336E-09  	        1.82105E-19  	        1.35481E-10  	        1.06073E-16  	        1.31612E-09  	        2.82722E-09  	        5.60014E-10  	        8.07919E-11  	        8.66991E-11  	        7.60148E-10  	        1.13725E-11  	        1.04323E-14  	        2.24361E-19  	        0.00000E+00  	        1.45370E-13  	        3.15357E-16  	        1.31622E-14  	        8.23692E-16  	        1.73163E-19  	        1.19322E-13  	        1.21422E-17  	        1.22536E-11  	        2.16025E-12  	        9.65166E-13  	        3.45854E-12  	        9.63998E-15  	        7.31242E-19  	        1.65430E-14  	        3.61326E-15  	        7.33227E-21  	        6.32242E-15  	        1.20186E-19  	        1.52806E-12  	        3.22021E-15  	        0.00000E+00  	        1.05249E-16  	        5.30050E-19  	        3.08921E-16  	        1.26906E-19  	        5.94168E-19  	        1.12789E-19  	        8.59301E-16  	        1.98864E-17  	        2.88650E-23  	        1.76874E-20  	        3.21312E-15  	        2.08800E-16  	        1.21145E-17
        7.00000E-03  	        1.39905E+03  	        3.61434E-01  	        1.01325E+05  	        2.10118E-17  	        5.96649E-19  	        1.09828E-10  	        1.05470E-16  	        2.66874E-14  	        3.53299E-14  	        2.19233E-10  	        5.10944E-16  	        1.08844E-12  	        5.37151E-10  	        1.27137E-10  	        8.64628E-12  	        3.00544E-11  	        2.18087E-14  	        9.87147E-18  	        1.51421E-09  	        6.25497E-14  	        3.93351E-15  	        2.01651E-12  	        5.47217E-10  	        1.12456E-12  	        5.40211E-13  	        1.81730E-15  	        5.31950E-11  	        3.97387E-18  	        1.39457E-11  	        4.51432E-10  	        4.33980E-21  	        4.73010E-10  	        4.14295E-13  	        2.86385E-14  	        3.04039E-11  	        2.06190E-10  	        5.48089E-10  	        5.52910E-12  	        1.29346E-09  	        1.99876E-14  	        3.39740E-13  	        3.55652E-10  	        9.41985E-10  	        8.55972E-11  	        1.44684E-10  	        1.69392E-17  	        2.57220E-11  	        9.46025E-13  	        1.12189E-10  	        2.95198E-09  	        1.19497E-11  	        3.91424E-14  	        1.56993E-09  	        1.49708E-11  	        2.29205E-08  	        2.25091E-11  	        1.82930E-03  	        1.03726E-06  	        2.59848E-10  	        0.00000E+00  	        1.41517E-08  	        6.88197E-03  	        2.59894E-09  	        1.12486E-18  	        3.18522E-10  	        2.12953E-16  	        2.48859E-09  	        5.71198E-09  	        1.25101E-09  	        1.49009E-10  	        1.69162E-10  	        1.18156E-09  	        1.89685E-11  	        1.94551E-14  	        6.18819E-19  	        0.00000E+00  	        2.58687E-13  	        9.18117E-16  	        2.67346E-14  	        1.41906E-15  	        8.38737E-19  	        2.00862E-13  	        4.23749E-17  	        1.80496E-11  	        3.52907E-12  	        2.21772E-12  	        5.49453E-12  	        1.59683E-14  	        1.75499E-18  	        5.58337E-14  	        9.38856E-15  	        1.73218E-22  	        1.74164E-14  	        3.01766E-19  	        2.17628E-12  	        5.90773E-15  	        0.00000E+00  	        1.87917E-16  	        6.13823E-19  	        5.51884E-16  	        2.61641E-19  	        1.19932E-18  	        5.22365E-20  	        2.96544E-15  	        4.65699E-18  	        6.18552E-23  	        9.04974E-21  	        8.86272E-15  	        6.25130E-16  	        4.04485E-17
        8.00000E-03  	        1.39887E+03  	        3.61490E-01  	        1.01325E+05  	        3.73400E-17  	        1.56381E-18  	        2.36722E-10  	        2.15612E-16  	        5.13964E-14  	        5.02235E-14  	        4.84239E-10  	        1.03412E-15  	        2.13424E-12  	        9.25602E-10  	        2.70320E-10  	        1.63980E-11  	        5.32985E-11  	        4.87302E-14  	        4.54632E-17  	        2.69833E-09  	        1.07397E-13  	        1.24735E-14  	        3.55700E-12  	        8.42333E-10  	        2.57881E-12  	        1.36557E-12  	        2.65701E-15  	        9.87364E-11  	        1.19858E-17  	        2.05503E-11  	        7.45756E-10  	        4.28285E-20  	        8.81326E-10  	        7.01522E-13  	        6.02585E-14  	        4.63003E-11  	        3.13781E-10  	        8.86429E-10  	        1.22706E-11  	        2.20225E-09  	        4.36308E-14  	        6.34518E-13  	        6.92128E-10  	        1.41011E-09  	        1.19322E-10  	        2.71222E-10  	        6.16332E-17  	        5.22217E-11  	        1.42133E-12  	        1.71949E-10  	        4.92402E-09  	        2.35868E-11  	        1.04931E-13  	        2.63309E-09  	        3.58799E-11  	        4.68561E-08  	        4.47374E-11  	        1.82953E-03  	        1.33126E-06  	        5.54645E-10  	        0.00000E+00  	        2.38328E-08  	        6.88292E-03  	        3.78109E-09  	        4.12449E-18  	        6.32426E-10  	        4.58246E-16  	        4.01628E-09  	        9.53738E-09  	        2.23125E-09  	        2.42106E-10  	        2.86117E-10  	        1.74003E-09  	        2.84872E-11  	        3.13451E-14  	        9.79454E-19  	        0.00000E+00  	        3.65073E-13  	        1.81285E-15  	        4.24767E-14  	        2.65648E-15  	        2.31790E-18  	        2.68894E-13  	        1.19056E-16  	        2.46104E-11  	        5.98861E-12  	        4.03833E-12  	        8.13139E-12  	        2.44162E-14  	        3.28447E-18  	        1.47324E-13  	        1.99193E-14  	        1.27935E-21  	        3.83353E-14  	        6.46027E-19  	        2.89190E-12  	        8.58561E-15  	        0.00000E+00  	        2.92867E-16  	        7.18847E-19  	        8.15179E-16  	        4.30136E-19  	        1.75598E-18  	        1.42388E-18  	        7.62076E-15  	        7.90838E-18  	        1.59063E-22  	        2.12481E-20  	        1.89266E-14  	        1.42369E-15  	        9.22063E-17
        9.00000E-03  	        1.39867E+03  	        3.61547E-01  	        1.01325E+05  	        6.27284E-17  	        3.25197E-18  	        4.20282E-10  	        3.93419E-16  	        8.16358E-14  	        6.89813E-14  	        8.94529E-10  	        1.68850E-15  	        3.51100E-12  	        1.44922E-09  	        4.79661E-10  	        2.74784E-11  	        8.25562E-11  	        8.42932E-14  	        1.43997E-16  	        3.97988E-09  	        1.63874E-13  	        2.93998E-14  	        5.59952E-12  	        1.21899E-09  	        4.63839E-12  	        2.81226E-12  	        3.70196E-15  	        1.63741E-10  	        2.90631E-17  	        2.68965E-11  	        1.04481E-09  	        2.23852E-19  	        1.45640E-09  	        1.04059E-12  	        1.11552E-13  	        6.43423E-11  	        4.57595E-10  	        1.33778E-09  	        2.33653E-11  	        3.27767E-09  	        7.80752E-14  	        1.01342E-12  	        1.19355E-09  	        1.88754E-09  	        1.54434E-10  	        4.51537E-10  	        1.73689E-16  	        9.23546E-11  	        2.03458E-12  	        2.28986E-10  	        7.24171E-09  	        3.99972E-11  	        2.31081E-13  	        3.96819E-09  	        7.09479E-11  	        8.28942E-08  	        7.87087E-11  	        1.82976E-03  	        1.67234E-06  	        1.01811E-09  	        0.00000E+00  	        3.53336E-08  	        6.88387E-03  	        5.13637E-09  	        1.10603E-17  	        1.10405E-09  	        9.52537E-16  	        5.82373E-09  	        1.40683E-08  	        3.47622E-09  	        3.58153E-10  	        4.39086E-10  	        2.50837E-09  	        3.95515E-11  	        4.69843E-14  	        1.13695E-18  	        0.00000E+00  	        4.42335E-13  	        2.89534E-15  	        5.89263E-14  	        4.79152E-15  	        4.91314E-18  	        3.16050E-13  	        2.80531E-16  	        3.18875E-11  	        9.85616E-12  	        6.38272E-12  	        1.13391E-11  	        3.47691E-14  	        5.30583E-18  	        3.20930E-13  	        3.76171E-14  	        1.18158E-23  	        6.91477E-14  	        1.21376E-18  	        3.70375E-12  	        1.12308E-14  	        0.00000E+00  	        4.17861E-16  	        8.44641E-19  	        1.09493E-15  	        6.31480E-19  	        2.24091E-18  	        1.94238E-18  	        1.59484E-14  	        1.65415E-17  	        3.99881E-22  	        1.52399E-20  	        3.30010E-14  	        2.61852E-15  	        1.61791E-16
        1.01000E-02  	        1.39846E+03  	        3.61606E-01  	        1.01325E+05  	        1.02593E-16  	        6.46953E-18  	        6.85299E-10  	        6.95313E-16  	        1.21269E-13  	        9.30663E-14  	        1.52319E-09  	        2.54197E-15  	        5.38094E-12  	        2.17959E-09  	        7.94036E-10  	        4.35420E-11  	        1.20829E-10  	        1.30639E-13  	        3.85699E-16  	        5.33440E-09  	        2.37541E-13  	        6.03800E-14  	        8.48096E-12  	        1.72063E-09  	        7.47591E-12  	        5.29045E-12  	        5.20396E-15  	        2.59393E-10  	        6.46956E-17  	        3.29588E-11  	        1.37679E-09  	        8.91332E-19  	        2.37205E-09  	        1.49833E-12  	        1.98279E-13  	        8.60590E-11  	        6.67251E-10  	        1.96465E-09  	        4.21453E-11  	        4.54981E-09  	        1.28612E-13  	        1.52291E-12  	        1.94465E-09  	        2.39702E-09  	        1.93592E-10  	        7.06932E-10  	        4.39248E-16  	        1.53865E-10  	        2.89454E-12  	        2.83955E-10  	        1.00301E-08  	        6.57976E-11  	        4.67759E-13  	        5.71617E-09  	        1.27215E-10  	        1.37949E-07  	        1.31025E-10  	        1.82996E-03  	        2.10490E-06  	        1.73855E-09  	        0.00000E+00  	        4.93153E-08  	        6.88483E-03  	        6.87793E-09  	        2.66260E-17  	        1.81617E-09  	        1.96399E-15  	        8.01094E-09  	        1.95774E-08  	        5.24906E-09  	        5.08104E-10  	        6.46152E-10  	        3.63699E-09  	        5.32653E-11  	        6.74195E-14  	        1.17163E-18  	        0.00000E+00  	        4.93288E-13  	        4.33054E-15  	        7.79013E-14  	        8.50208E-15  	        1.00441E-17  	        3.50902E-13  	        6.32561E-16  	        4.06650E-11  	        1.61007E-11  	        9.47516E-12  	        1.54735E-11  	        4.80302E-14  	        8.37540E-18  	        6.51347E-13  	        7.13566E-14  	        2.49403E-22  	        1.13934E-13  	        2.16989E-18  	        4.71854E-12  	        1.44114E-14  	        0.00000E+00  	        5.77461E-16  	        1.01416E-18  	        1.43586E-15  	        8.99976E-19  	        2.78970E-18  	        1.42345E-18  	        3.08649E-14  	        2.72782E-17  	        5.57353E-21  	        1.30718E-20  	        5.21074E-14  	        4.31443E-15  	        2.49805E-16
