            time[ms]	                  AR	                  N2	                A1CO	                H2O2	                  CH	               TXCH2	          CVCCVCCJVO	              CH2CHO	               CH2OH	                 A1X	             TXC5H5O	              OC6H4O	             C2H3CHO	              NXC4H5	             C5H4CH2	                C3H3	               SXCH2	               A1CHO	              A1CH2O	          C6H5CYCH2O	            C6H5OCH2	             C5H4CH3	                C5H6	           C5H5CH3X1	                C3H2	              AXC3H4	                A1OH	            C6H6OX24	               CH2CO	                HCCO	                C2H3	                 CH4	                C2H6	              AXC3H5	                C3H6	                CH3O	                C2H2	                C5H5	                   O	                  A1	                 HCO	                CH2O	                 HO2	                   H	                C2H4	                C2H5	                 A1O	                 CH3	                  OH	                  CO	            C6H5OCH3	                 CO2	                  O2	                  H2	                 H2O	            OC8H7OOH	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        5.001140E-04	        0.000000E+00	        6.773389E-13	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        7.420868E-10	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        6.190215E-20	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        1.108943E-15	        0.000000E+00	        1.549379E-10	        0.000000E+00	        1.108988E-15	        1.265550E-23	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        1.000110E-03	        0.000000E+00	        1.126221E-12	        0.000000E+00	        0.000000E+00	       1.155567E-298	       5.249882E-289	        0.000000E+00	       3.317295E-289	        0.000000E+00	       2.250151E-278	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       7.603455E-286	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       8.325399E-285	        0.000000E+00	        0.000000E+00	       2.038312E-291	        0.000000E+00	       5.153161E-285	        0.000000E+00	        0.000000E+00	       3.547962E-284	        0.000000E+00	        0.000000E+00	       1.121425E-284	        0.000000E+00	        7.425357E-10	        0.000000E+00	       1.429666E-275	       1.516679E-272	       3.487948E-275	       1.514626E-272	       1.471662E-289	       4.963207E-290	       1.429489E-280	       1.483785E-280	       5.055042E-277	       1.701414E-277	        0.000000E+00	       6.023435E-280	        1.722187E-19	       1.476399E-277	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.358150E-280	       6.773245E-287	       1.752546E-286	       2.678107E-289	        0.000000E+00	        1.853097E-15	        0.000000E+00	        1.550228E-10	        0.000000E+00	        1.853220E-15	        3.516296E-23	        0.000000E+00	       6.327914E-285	       5.123364E-291	        0.000000E+00	       2.454855E-290	       1.766646E-302	        0.000000E+00	        0.000000E+00	        0.000000E+00	       2.429657E-286	       7.500124E-291	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        1.500110E-03	        0.000000E+00	        1.565065E-12	        0.000000E+00	        0.000000E+00	       2.490325E-293	       5.310991E-279	        0.000000E+00	       7.495400E-284	        0.000000E+00	       3.486119E-273	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.137348E-280	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.348268E-279	        0.000000E+00	        0.000000E+00	       4.602251E-286	        0.000000E+00	       8.345301E-280	        0.000000E+00	        0.000000E+00	       5.745803E-279	        0.000000E+00	        0.000000E+00	       1.813274E-279	        0.000000E+00	        7.429745E-10	        0.000000E+00	       1.489956E-265	       1.762465E-268	       1.485115E-265	       7.532314E-268	       3.328017E-284	       1.122380E-284	       2.138231E-275	       2.147139E-275	       3.431624E-269	       1.538659E-267	        0.000000E+00	       2.140505E-270	        3.346156E-19	       1.538655E-267	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.987629E-272	       1.386390E-281	       1.446489E-276	       3.082455E-279	        0.000000E+00	        2.587643E-15	        0.000000E+00	        1.551065E-10	        0.000000E+00	        2.587882E-15	        6.823395E-23	        0.000000E+00	       9.765968E-280	       7.908699E-286	        0.000000E+00	       9.930717E-281	       6.277995E-293	        0.000000E+00	        0.000000E+00	        0.000000E+00	       3.760796E-281	       1.621035E-285	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        2.000110E-03	        0.000000E+00	        2.013872E-12	        0.000000E+00	        0.000000E+00	       3.015785E-288	       7.739937E-269	        0.000000E+00	       9.431803E-279	        0.000000E+00	       3.276229E-268	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.036784E-275	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.313239E-274	        0.000000E+00	        0.000000E+00	       5.787811E-281	        0.000000E+00	       8.128438E-275	        0.000000E+00	        0.000000E+00	       5.596532E-274	        0.000000E+00	        0.000000E+00	       1.763900E-274	        0.000000E+00	        7.434233E-10	        0.000000E+00	       1.679602E-255	       2.155274E-264	       1.674222E-255	       6.444505E-258	       4.190700E-279	       1.413321E-279	       1.949130E-270	       1.950627E-270	       2.673493E-260	       1.734493E-257	        0.000000E+00	       3.471234E-260	        5.573337E-19	       1.734493E-257	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.247796E-262	       4.418629E-273	       7.151613E-266	       1.961112E-268	        0.000000E+00	        3.345322E-15	        0.000000E+00	        1.551929E-10	        0.000000E+00	        3.345719E-15	        1.135098E-22	        0.000000E+00	       9.148003E-275	       1.680476E-279	        0.000000E+00	       1.520725E-270	       1.018095E-282	        0.000000E+00	        0.000000E+00	        0.000000E+00	       3.531623E-276	       1.967899E-280	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        2.500110E-03	        0.000000E+00	        2.478296E-12	        0.000000E+00	        0.000000E+00	       8.758612E-282	       9.468427E-259	        0.000000E+00	       3.465206E-272	        0.000000E+00	       2.071373E-264	        0.000000E+00	       1.040780E-266	        0.000000E+00	       4.555309E-274	        0.000000E+00	       1.005063E-268	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       2.740177E-270	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.795604E-272	       3.998258E-268	        0.000000E+00	        0.000000E+00	       2.082132E-274	        0.000000E+00	       2.474473E-268	        0.000000E+00	        0.000000E+00	       1.703911E-267	        0.000000E+00	        0.000000E+00	       6.132717E-268	       2.915971E-265	        7.438878E-10	        0.000000E+00	       1.662003E-245	       2.678196E-261	       1.656930E-245	       6.607878E-248	       1.577358E-272	       5.319666E-273	       5.295068E-265	       5.155257E-265	       3.285060E-250	       1.716313E-247	        0.000000E+00	       1.301626E-249	        8.489477E-19	       1.716313E-247	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.984376E-252	       7.610332E-264	       9.170320E-256	       3.094598E-258	        0.000000E+00	        4.135751E-15	        0.000000E+00	        1.552830E-10	        0.000000E+00	        4.136355E-15	        1.726917E-22	        0.000000E+00	       5.006079E-271	       5.900472E-269	        0.000000E+00	       4.947748E-260	       3.817596E-272	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.521704E-270	       1.048230E-274	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        3.000110E-03	        0.000000E+00	        2.960115E-12	        0.000000E+00	        0.000000E+00	       5.903960E-268	       7.148175E-249	        0.000000E+00	       3.079647E-263	        0.000000E+00	       4.936340E-260	        0.000000E+00	       4.189689E-261	        0.000000E+00	       2.835696E-263	        0.000000E+00	       5.214607E-258	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.774727E-265	        0.000000E+00	        0.000000E+00	        0.000000E+00	       9.316196E-262	       3.111828E-259	        0.000000E+00	        0.000000E+00	       1.780712E-265	        0.000000E+00	       1.934324E-259	        0.000000E+00	        0.000000E+00	       1.326149E-258	        0.000000E+00	       2.411985E-262	       5.551132E-258	       1.189215E-259	        7.443696E-10	        0.000000E+00	       1.045773E-235	       1.271824E-257	       1.042762E-235	       4.402357E-238	       1.472952E-263	       4.967555E-264	       3.418324E-260	       5.019669E-259	       2.494130E-240	       1.079942E-237	        0.000000E+00	       2.559963E-239	        1.218063E-18	       1.079942E-237	        0.000000E+00	        0.000000E+00	        0.000000E+00	       3.295892E-242	       1.148614E-254	       6.828207E-246	       2.752211E-248	        0.000000E+00	        4.962128E-15	        0.000000E+00	        1.553772E-10	        0.000000E+00	        4.962994E-15	        2.474801E-22	        0.000000E+00	       3.517543E-264	       1.303635E-258	        0.000000E+00	       1.049440E-249	       7.508219E-262	        0.000000E+00	        0.000000E+00	        0.000000E+00	       3.721443E-262	       3.075615E-266	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        3.500110E-03	        0.000000E+00	        3.459982E-12	        0.000000E+00	        0.000000E+00	       1.794208E-260	       2.257367E-239	        0.000000E+00	       2.139811E-253	        0.000000E+00	       5.075228E-256	        0.000000E+00	       2.032245E-256	       3.633261E-263	       8.948586E-254	        0.000000E+00	       1.401576E-248	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       2.593740E-261	        0.000000E+00	        0.000000E+00	        0.000000E+00	       2.504238E-252	       1.696787E-249	        0.000000E+00	        0.000000E+00	       1.159586E-252	       1.059410E-258	       1.052818E-249	        0.000000E+00	        0.000000E+00	       7.231106E-249	        0.000000E+00	       7.327700E-255	       1.625833E-248	       5.776545E-255	        7.448694E-10	        0.000000E+00	       2.812848E-226	       2.965878E-253	       2.806662E-226	       1.386864E-228	       9.429747E-254	       3.180199E-254	       5.010573E-256	       3.673160E-249	       8.035991E-231	       2.904741E-228	        0.000000E+00	       2.264734E-229	        1.673593E-18	       2.904741E-228	        0.000000E+00	        0.000000E+00	        0.000000E+00	       2.067949E-232	       2.035642E-245	       3.295230E-236	       1.552480E-238	        0.000000E+00	        5.825965E-15	        0.000000E+00	        1.554757E-10	        0.000000E+00	        5.827153E-15	        3.396295E-22	        0.000000E+00	       1.542795E-256	       1.327073E-248	        0.000000E+00	       1.056489E-239	       6.642323E-252	        0.000000E+00	        0.000000E+00	        0.000000E+00	       8.499884E-253	       8.247328E-257	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        4.000110E-03	        0.000000E+00	        3.977852E-12	        0.000000E+00	        0.000000E+00	       7.110088E-253	       5.204369E-230	        0.000000E+00	       5.155892E-243	        0.000000E+00	       3.562316E-252	       2.376289E-269	       3.304901E-252	       2.329579E-249	       6.140170E-245	        0.000000E+00	       8.328262E-240	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.730202E-257	        0.000000E+00	       1.713594E-264	        0.000000E+00	       1.488564E-243	       2.986587E-239	       2.929182E-258	       1.022898E-262	       3.246222E-243	       4.837566E-247	       1.851613E-239	        0.000000E+00	        0.000000E+00	       1.272780E-238	        0.000000E+00	       2.899397E-247	       6.289326E-239	       9.397921E-251	        7.453873E-10	       1.417463E-263	       5.615984E-217	       4.748278E-243	       5.610181E-217	       3.369065E-219	       1.916620E-243	       6.463835E-244	       3.345072E-252	       7.281131E-239	       1.919239E-221	       5.799428E-219	        0.000000E+00	       1.557005E-219	        2.224457E-18	       5.799428E-219	        0.000000E+00	        0.000000E+00	        0.000000E+00	       5.248972E-223	       1.506454E-236	       1.035775E-226	       5.610224E-229	        0.000000E+00	        6.727536E-15	        0.000000E+00	        1.555785E-10	        0.000000E+00	        6.729113E-15	        4.508877E-22	       1.396638E-255	       7.136502E-248	       1.041782E-238	        0.000000E+00	       8.252810E-230	       4.566591E-242	        0.000000E+00	        0.000000E+00	        0.000000E+00	       6.946228E-243	       7.782451E-247	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        4.500110E-03	        0.000000E+00	        4.513132E-12	       3.138370E-257	        0.000000E+00	       1.306571E-245	       4.908035E-221	       6.875397E-255	       8.732391E-233	        0.000000E+00	       3.959418E-249	       1.925404E-261	       5.029788E-248	       3.934736E-239	       2.542366E-236	       1.575767E-263	       3.026109E-231	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	       1.769099E-253	        0.000000E+00	       2.118020E-255	        0.000000E+00	       5.408663E-235	       3.817761E-229	       3.555571E-253	       1.264313E-253	       1.784881E-234	       4.717517E-236	       2.370408E-229	        0.000000E+00	        0.000000E+00	       1.627001E-228	        0.000000E+00	       5.256574E-240	       8.855729E-229	       1.430654E-246	        7.459226E-10	       1.956417E-258	       4.647718E-208	       8.002603E-233	       4.667031E-208	       4.823197E-210	       2.791883E-233	       9.415675E-234	       3.347897E-248	       2.101445E-228	       2.080067E-212	       4.799513E-210	        0.000000E+00	       5.463317E-210	        2.879318E-18	       4.799513E-210	        0.000000E+00	        0.000000E+00	        0.000000E+00	       5.889635E-214	       1.074701E-227	       2.447891E-217	       1.504306E-219	        0.000000E+00	        7.666261E-15	        0.000000E+00	        1.556855E-10	        0.000000E+00	        7.668300E-15	        5.829420E-22	       1.036608E-245	       6.087207E-239	       4.138214E-229	        0.000000E+00	       3.272947E-220	       1.602352E-232	        0.000000E+00	        0.000000E+00	        0.000000E+00	       9.801952E-233	       1.251369E-236	       4.633968E-256	       1.767618E-254	        0.000000E+00	        0.000000E+00	       3.697822E-249	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
        5.000110E-03	        0.000000E+00	        5.065432E-12	       3.321616E-250	        0.000000E+00	       4.648379E-238	       2.512986E-212	       6.639405E-250	       1.127180E-222	        0.000000E+00	       1.742550E-245	       2.345448E-251	       2.222175E-244	       2.369765E-229	       2.928174E-228	       1.234101E-256	       3.092762E-223	       3.370779E-252	        0.000000E+00	        0.000000E+00	        0.000000E+00	       2.425801E-250	       3.807971E-257	       2.377961E-246	        0.000000E+00	       5.526413E-227	       2.885929E-219	       1.190758E-248	       1.419480E-244	       1.019624E-224	       1.270034E-225	       1.802049E-219	        0.000000E+00	        0.000000E+00	       1.229888E-218	        0.000000E+00	       1.811954E-232	       1.180317E-218	       6.320986E-243	        7.464749E-10	       2.648656E-250	       2.111055E-199	       1.023495E-222	       2.148162E-199	       4.620816E-201	       2.379023E-223	       8.023298E-224	       5.839165E-245	       2.773334E-218	       1.422800E-203	       2.179993E-201	        0.000000E+00	       1.204985E-200	        3.647201E-18	       2.179992E-201	        0.000000E+00	        0.000000E+00	       9.428643E-262	       5.399840E-205	       2.982699E-219	       2.979763E-208	       2.055247E-210	        0.000000E+00	        8.641878E-15	       1.838671E-253	        1.557968E-10	        0.000000E+00	        8.644458E-15	        7.375446E-22	       2.103331E-236	       1.320029E-229	       1.023892E-219	        0.000000E+00	       8.095025E-211	       3.534131E-223	        0.000000E+00	       5.328399E-262	        0.000000E+00	       1.132651E-222	       1.629937E-226	       9.780212E-247	       3.730643E-245	        0.000000E+00	        0.000000E+00	       7.804431E-240	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00
