            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        5.000000E-04	        1.150360E-97	        2.069024E-92	       2.125864E-156	        2.620630E-86	        6.449337E-82	        1.459533E-87	       1.540990E-163	       5.864456E-163	        1.204928E-86	        5.211777E-88	        4.564717E-80	        6.569705E-82	       1.238413E-163	        3.297872E-84	       3.532612E-177	        1.886646E-80	        8.446276E-87	       1.284074E-162	        5.393813E-84	       3.098475E-167	        3.299142E-82	       1.610724E-159	        4.785455E-86	        7.720489E-92	       1.181386E-172	        9.255612E-90	        3.629474E-80	        0.000000E+00	        7.419974E-10	        1.458176E-83	        2.749471E-87	        3.581136E-80	        1.219074E-79	        3.784931E-82	       1.440951E-174	        0.000000E+00	       3.820203E-165	        1.998250E-80	        1.132892E-82	        9.818470E-80	        2.339773E-79	        3.223876E-95	        0.000000E+00	        5.239413E-88	        1.340154E-84	        2.846712E-82	       2.346375E-160	        1.634549E-79	       2.169587E-163	        3.588453E-80	       4.136592E-170	        2.028089E-79	        3.066097E-87	        4.683441E-20	        3.099423E-82	        3.065838E-87	        0.000000E+00	        6.639755E-82	        4.656050E-84	        7.050996E-89	       1.120589E-165	        0.000000E+00	        5.879392E-13	        2.494683E-87	        1.267018E-87	        5.110425E-80	       3.213787E-164	        5.083235E-84	       6.413055E-175	        0.000000E+00	        3.576547E-80	        2.650013E-95	        2.364884E-83	        5.363682E-83	        5.131617E-89	        5.428231E-87	       7.897903E-160	        9.657569E-16	        4.452322E-86	        1.549216E-10	       1.606576E-159	        9.657903E-16	        9.566743E-24	        1.818020E-82	        1.716679E-81	        1.389737E-87	       4.485779E-160	        1.487268E-88	       1.357759E-106	       6.570817E-169	       1.278692E-164	       8.595469E-167	        8.858822E-84	        1.425246E-88	        3.277361E-91	        1.250143E-89	       6.704445E-165	        0.000000E+00	        2.615274E-84	       3.754468E-168	        0.000000E+00	       5.463523E-165	        0.000000E+00	        0.000000E+00	       1.920774E-159	       3.637067E-166	        0.000000E+00
        1.000000E-03	        9.975849E-88	        1.010733E-85	       5.460398E-146	        3.887550E-81	        1.070570E-76	        3.396885E-82	       1.260995E-151	        4.257002E-92	        2.648467E-81	        8.334996E-82	        2.657637E-75	        6.973634E-77	       6.361594E-152	        1.292864E-78	       5.237462E-162	        1.684596E-75	        4.231236E-80	       2.463353E-152	        1.717901E-78	       2.631659E-152	        3.016159E-77	       5.672708E-149	        7.098957E-81	        1.594489E-80	       2.322081E-160	        2.257193E-83	        3.759935E-75	        0.000000E+00	        7.424352E-10	        1.207593E-78	        4.078678E-82	        3.763089E-75	        3.129474E-75	        1.280893E-76	        2.300584E-88	        0.000000E+00	       2.205396E-155	        1.800412E-75	        4.441273E-77	        7.549428E-75	        1.367158E-74	        4.122249E-89	        0.000000E+00	        8.379193E-82	        1.992315E-79	        6.464588E-77	       6.753075E-150	        1.073635E-74	       6.175465E-152	        2.295275E-74	       4.615793E-159	        2.883595E-74	        4.903491E-81	        1.434900E-19	        1.215183E-76	        5.513001E-81	        0.000000E+00	        1.544701E-77	        7.188552E-79	        2.859605E-79	       5.590419E-156	        0.000000E+00	        1.025734E-12	        4.354551E-81	        1.483139E-81	        2.556124E-74	       3.965172E-153	        2.959525E-79	       5.832063E-159	        0.000000E+00	        2.290675E-74	        2.267011E-89	        3.946445E-78	        2.416700E-78	        5.438221E-84	        5.490796E-81	       2.662731E-150	        1.693671E-15	        2.183181E-80	        1.550046E-10	       1.365301E-148	        1.693774E-15	        2.927035E-23	        1.667916E-77	        4.572245E-77	        3.701817E-83	       4.751880E-150	        6.946907E-84	       1.953238E-101	       1.575192E-156	       6.729307E-102	       4.161967E-153	        1.411550E-79	        3.982489E-84	        9.155420E-83	        3.492318E-81	       1.594272E-155	        0.000000E+00	        7.305859E-76	       1.238776E-158	       1.796031E-165	       1.812356E-155	        0.000000E+00	        0.000000E+00	       8.563979E-150	       4.746141E-155	        0.000000E+00
        1.500000E-03	        2.211634E-83	        9.755657E-81	       9.834132E-138	        2.077379E-75	        1.158987E-72	        2.017907E-78	       1.258663E-142	        1.034148E-79	        3.112208E-77	        3.379885E-77	        1.408220E-71	        5.069119E-73	       4.497439E-143	        5.568235E-75	       5.379026E-154	        1.365565E-71	        4.002490E-75	       8.678599E-145	        6.525311E-74	       2.368615E-143	        1.437570E-73	       1.331283E-140	        3.793271E-75	        2.981523E-76	       2.275666E-151	        1.296290E-78	        2.751306E-71	        0.000000E+00	        7.428626E-10	        1.723565E-74	        2.179406E-76	        2.757812E-71	        9.403967E-72	        5.544590E-73	        1.326240E-79	       1.096751E-157	       1.935899E-146	        1.455713E-71	        1.912812E-73	        1.748703E-70	        7.248228E-71	        6.150306E-84	       6.645141E-158	        3.397807E-77	        1.061001E-73	        4.534312E-73	       4.225194E-141	        5.371940E-71	       3.156779E-143	        5.230449E-71	       1.005979E-147	        7.658109E-71	        1.988392E-76	        2.897970E-19	        5.239466E-73	        2.449259E-76	        0.000000E+00	        7.623613E-74	        1.164021E-74	        4.453898E-75	       1.194523E-148	        0.000000E+00	        1.453172E-12	        9.676458E-77	        1.826131E-76	        2.016880E-70	       1.155236E-144	        1.568183E-75	       9.953691E-149	        0.000000E+00	        5.207415E-71	        9.537910E-86	        1.399910E-74	        4.790300E-75	        2.562703E-80	        3.134043E-77	        4.824295E-87	        2.411319E-15	        6.483465E-77	        1.550864E-10	       2.319845E-140	        2.411526E-15	        1.548488E-21	        5.839643E-74	        5.246942E-74	        4.248476E-80	       2.913559E-142	        1.135016E-80	        5.451921E-97	       4.512843E-148	        1.651779E-89	       6.688300E-145	        8.277495E-76	        3.324803E-80	        2.563970E-79	        9.780215E-78	        2.749196E-89	        1.968507E-86	        2.046001E-72	       1.153359E-151	       1.076506E-151	       1.698966E-148	        0.000000E+00	       2.872209E-167	       1.019745E-142	       5.287086E-147	        1.834542E-90
        2.000000E-03	        2.056624E-79	        1.294694E-76	       6.335655E-130	        2.754797E-71	        1.548335E-68	        9.196942E-76	       2.123605E-134	        7.953308E-75	        6.250223E-73	        1.732630E-74	        2.404586E-67	        2.046899E-69	       2.368622E-135	        2.578892E-72	       6.400657E-146	        2.956052E-68	        5.300474E-71	       1.835764E-137	        7.879049E-70	       5.593730E-136	        5.219856E-70	       4.349960E-133	        5.030426E-71	        2.277151E-72	       1.509482E-142	        6.432269E-74	        1.101569E-67	        0.000000E+00	        7.432999E-10	        5.729294E-70	        2.890231E-72	        1.094430E-67	        2.129610E-68	        3.702780E-70	        4.483925E-76	       6.990883E-144	       2.659190E-137	        3.486336E-68	        8.859074E-71	        9.226786E-67	        1.231266E-66	        9.454924E-80	       7.656906E-150	        1.741818E-74	        1.407052E-69	        1.276392E-69	       1.838991E-133	        9.135448E-67	       7.152432E-135	        2.350557E-68	       1.190183E-140	        2.997938E-67	        1.019309E-73	        4.933948E-19	        2.428002E-70	        2.007294E-73	        0.000000E+00	        1.224610E-69	        1.694667E-70	        3.173076E-71	       1.881236E-140	        0.000000E+00	        1.890428E-12	        2.473128E-73	        8.789537E-72	        5.109236E-67	       5.682111E-137	        2.677729E-71	       3.340628E-141	        0.000000E+00	        2.292545E-68	        7.440294E-82	        2.619743E-70	        5.652223E-71	        2.939668E-76	        7.466261E-74	        2.202226E-81	        3.151852E-15	        3.887774E-73	        1.551708E-10	       4.546487E-133	        3.152203E-15	        5.357480E-20	        6.752763E-71	        7.184282E-70	        5.817718E-76	       5.202379E-135	        2.031379E-76	        1.092805E-91	       3.590740E-140	        1.338387E-84	       8.074201E-139	        7.119448E-72	        3.735721E-76	        9.478404E-77	        3.615518E-75	        4.969803E-79	        3.558529E-76	        7.563590E-70	        1.578821E-80	       1.938954E-144	       3.600045E-140	       1.346915E-151	       1.853957E-155	       1.770313E-134	       9.524733E-139	        8.501613E-84
        2.600000E-03	        1.445102E-75	        1.883603E-72	       2.889493E-121	        1.131621E-67	        7.638171E-65	        7.909398E-74	       3.883515E-126	        1.185982E-70	        4.125717E-69	        4.851048E-72	        1.204143E-63	        7.040693E-66	       1.210202E-127	        2.027254E-70	        4.825914E-85	        5.686601E-65	        7.692117E-67	       3.263522E-131	        3.187457E-66	       3.043813E-127	        2.769782E-66	       4.003456E-125	        2.066438E-67	        9.614271E-69	       2.891817E-134	        1.337898E-69	        4.096592E-64	       2.837576E-162	        7.438459E-10	        1.721479E-66	        1.187258E-68	        3.845677E-64	        3.420782E-65	        5.948823E-67	        1.444364E-73	       1.259408E-134	       9.245313E-129	        8.953573E-65	        6.963118E-69	        5.159228E-62	        6.164953E-63	        5.082754E-75	       1.667353E-141	        4.876771E-72	        5.787728E-66	        8.107547E-66	       9.230199E-125	        4.552376E-63	       5.208034E-127	        8.103233E-66	       1.578152E-131	        1.308761E-63	        2.853879E-71	        8.253652E-19	        2.469739E-68	        7.382491E-71	        0.000000E+00	        2.716732E-65	        1.394283E-66	        1.717956E-67	       3.872454E-133	        0.000000E+00	        2.436447E-12	        1.501561E-70	        4.140336E-68	        4.961045E-62	       2.384223E-129	        1.340925E-67	       3.800037E-133	        0.000000E+00	        1.678623E-66	        1.278450E-78	        1.251758E-66	        3.681236E-67	        3.081811E-72	        3.002814E-70	        1.713504E-76	        4.084881E-15	        5.183198E-70	        1.552772E-10	       6.144692E-125	        4.085468E-15	        3.309655E-19	        9.535457E-68	        4.835665E-66	        3.916329E-72	       3.347162E-127	        1.772732E-72	        1.102512E-85	       6.960847E-133	        2.604774E-80	       1.239917E-131	        2.630448E-68	        1.727573E-72	        1.292004E-73	        5.471687E-73	        1.470641E-75	        1.053023E-72	        1.144666E-67	        3.782746E-75	       1.326135E-138	       1.234344E-132	       3.371411E-141	        8.789189E-87	       1.498629E-126	       9.316170E-131	        3.546024E-80
        3.100000E-03	        5.567031E-73	        2.742311E-69	       7.976909E-115	        1.025808E-64	        8.005496E-62	        1.436645E-72	       7.336061E-120	        1.136800E-67	        7.107830E-66	        2.641462E-70	        5.274981E-61	        2.622851E-63	       6.571103E-122	        3.991662E-69	        4.429337E-80	        2.314805E-62	        1.115130E-63	       1.921150E-126	        2.874766E-63	       4.286673E-121	        1.430123E-63	       2.538271E-119	        1.873221E-64	        3.047145E-66	       2.708941E-127	        4.225588E-65	        2.097826E-61	       4.937825E-150	        7.443205E-10	        1.301932E-63	        1.076241E-65	        1.439896E-61	        1.323597E-62	        2.895288E-64	        2.150810E-71	       6.422760E-128	       6.855185E-122	        1.403093E-61	        1.209228E-67	        2.169291E-58	        2.700671E-60	        3.228178E-71	       3.934795E-134	        2.655469E-70	        5.243873E-63	        6.269024E-63	       4.228202E-118	        2.129859E-60	       3.309643E-121	        9.246313E-63	       2.802662E-124	        6.166887E-61	        1.553976E-69	        1.185056E-18	        1.198338E-65	        5.572801E-69	        0.000000E+00	        6.766481E-62	        1.096276E-63	        5.512822E-65	       1.384062E-127	        0.000000E+00	        2.911080E-12	        9.995714E-69	        5.993335E-65	        2.169884E-58	       1.399342E-123	        5.874179E-65	       8.745702E-128	        0.000000E+00	        2.810397E-65	        6.330617E-76	        8.181129E-64	        1.243827E-64	        3.600744E-69	        9.127208E-68	        4.608223E-73	        4.902860E-15	        2.148142E-67	        1.553705E-10	       1.112900E-118	        4.903701E-15	        6.832459E-19	        2.672347E-64	        1.862667E-63	        1.508729E-69	        2.568327E-89	        8.197576E-70	        5.872170E-78	       4.184849E-127	        3.983562E-77	       2.138972E-126	        1.256676E-65	        1.017144E-69	        7.082429E-72	        2.159883E-71	        1.328683E-74	        9.513717E-72	        4.518433E-66	        4.587131E-73	       2.420049E-133	       6.879841E-127	       8.915518E-136	        5.084545E-79	       7.516787E-121	       5.210960E-125	        1.008847E-77
        3.600000E-03	        1.100686E-70	        7.731591E-67	       5.244452E-108	        5.186177E-62	        3.632200E-59	        1.478552E-71	       2.800327E-114	        4.096118E-65	        6.702059E-63	        4.208309E-69	        2.956798E-58	        1.065993E-60	       7.309086E-117	        2.510134E-66	        3.809016E-77	        3.892726E-60	        3.044977E-61	       3.730626E-122	        1.453288E-60	       2.023343E-115	        3.544500E-61	       8.403950E-114	        9.470471E-62	        3.056174E-64	       1.523823E-121	        2.146510E-61	        1.323232E-58	       3.215491E-145	        7.448141E-10	        5.314345E-61	        5.441152E-63	        5.884595E-59	        2.738170E-60	        7.126598E-62	        5.111369E-70	       1.218342E-121	       1.526544E-114	        1.172978E-58	        1.846151E-66	        6.121537E-55	        1.513814E-57	        1.628850E-67	       3.274767E-128	        4.230624E-69	        2.655534E-60	        5.211578E-60	       5.434119E-112	        1.866165E-57	       5.067301E-116	        2.519688E-60	       9.290761E-118	        3.357772E-58	        2.475755E-68	        1.630191E-18	        2.504805E-62	        9.286444E-68	        0.000000E+00	        7.511668E-59	        2.445421E-60	        9.277736E-63	        2.668969E-80	        0.000000E+00	        3.404651E-12	        1.306041E-67	        7.022856E-62	        6.152174E-55	       2.011029E-118	        3.292668E-62	       7.262609E-123	        0.000000E+00	        2.771763E-63	        1.967239E-73	        1.914508E-60	        7.569138E-62	        4.840465E-66	        2.692215E-65	        1.090847E-69	        5.759852E-15	        5.707629E-65	        1.554682E-10	       8.376737E-113	        5.761008E-15	        1.156621E-18	        6.805388E-62	        9.479412E-61	        7.678961E-67	        3.331856E-86	        4.899365E-67	        9.433163E-76	       3.036542E-122	        1.658502E-74	       2.517054E-121	        5.952046E-63	        5.706767E-67	        7.175488E-70	        8.972078E-70	        9.804296E-73	        7.019565E-70	        1.876941E-64	        1.256657E-71	       5.153968E-128	       2.849243E-121	       1.598449E-131	        7.898162E-77	       5.347015E-115	       7.237903E-120	        8.977047E-75
        4.100000E-03	        3.058646E-69	        6.305894E-64	       8.362781E-102	        6.771590E-60	        3.037457E-56	        2.852004E-70	       2.742983E-108	        1.508090E-62	        4.550181E-60	        9.158128E-68	        7.629609E-56	        2.009389E-58	       1.146440E-111	        6.314151E-63	        4.607258E-74	        4.886262E-58	        2.531888E-58	       1.991280E-118	        1.962658E-58	       1.586220E-110	        2.624486E-59	       1.194073E-108	        1.236563E-59	        3.162026E-63	       9.358359E-116	        5.927972E-58	        1.254997E-55	       2.277791E-139	        7.453298E-10	        2.666666E-58	        7.104510E-61	        1.165439E-56	        1.998435E-58	        5.265292E-60	        1.838065E-67	       9.114102E-116	       4.091360E-108	        1.911605E-55	        4.204538E-65	        1.966422E-51	        3.906191E-55	        1.154690E-64	       5.015228E-122	        9.206690E-68	        3.518702E-58	        3.129161E-57	       1.460950E-105	        9.337105E-55	       1.087639E-110	        2.095635E-57	       2.929738E-111	        1.107604E-55	        5.387741E-67	        2.173643E-18	        1.952500E-59	        1.550451E-66	        0.000000E+00	        1.164587E-55	        3.003610E-57	        2.229756E-61	        3.591953E-76	        0.000000E+00	        3.920370E-12	        1.709098E-66	        4.612999E-59	        1.979864E-51	       4.294191E-113	        8.496276E-60	       2.122472E-117	        0.000000E+00	        1.513195E-60	        1.107044E-70	        1.176717E-57	        3.487305E-59	        5.596480E-63	        4.270432E-63	        1.957516E-66	        6.661786E-15	        2.789387E-62	        1.555710E-10	       1.316216E-106	        6.663326E-15	        1.759866E-18	        5.188309E-60	        2.966420E-58	        2.403392E-64	        1.141940E-83	        1.774419E-64	        5.618595E-73	       1.234016E-116	        1.517806E-71	       7.313758E-116	        2.285907E-60	        2.535984E-64	        1.888747E-68	        8.108503E-68	        2.015022E-71	        1.349541E-68	        1.696283E-62	        3.389705E-70	       4.740734E-124	       5.182605E-116	       2.583357E-127	        4.106343E-74	       1.970951E-109	       1.882649E-114	        2.093894E-72
        4.514750E-03	        5.666064E-71	        3.995070E-66	       1.511904E-104	        4.323700E-62	        6.349849E-58	        7.874622E-73	       5.157719E-112	        1.186055E-64	        8.209325E-62	        1.675353E-70	        6.027708E-58	        1.181031E-60	       4.263745E-116	        1.020421E-64	        3.489968E-76	        3.359059E-60	        1.602384E-60	       1.463696E-122	        1.313152E-60	       2.598653E-113	        3.242606E-61	       1.344143E-111	        7.895549E-62	        8.176930E-65	       6.357134E-120	        8.828478E-60	        1.629189E-57	       1.016345E-142	        7.458588E-10	        3.380477E-60	        4.536272E-63	        7.385278E-59	        2.442091E-60	        6.503284E-62	        1.209239E-69	       7.830606E-119	       2.359955E-111	        2.303061E-57	        1.178818E-67	        2.011769E-52	        3.086055E-57	        2.773048E-66	       4.334827E-126	        1.684237E-70	        2.303056E-60	        4.653620E-59	       3.125223E-108	        3.818352E-56	       5.443232E-115	        1.331871E-59	       2.180771E-114	        1.290212E-57	        9.856127E-70	        2.810648E-18	        2.293659E-61	        3.865786E-69	        0.000000E+00	        1.588220E-57	        4.805821E-59	        3.628096E-63	        2.824734E-78	        0.000000E+00	        4.449322E-12	        6.658306E-69	        4.987877E-61	        2.027746E-52	       2.147505E-117	        6.712411E-62	       1.800936E-120	        0.000000E+00	        3.180706E-62	        6.449329E-73	        4.351699E-59	        9.601056E-61	        1.651720E-64	        3.059313E-65	        6.788665E-68	        7.583773E-15	        1.431831E-64	        1.556761E-10	       6.913182E-110	        7.585762E-15	        2.044972E-18	        4.356627E-62	        1.659330E-60	        1.346790E-66	        7.123630E-85	        1.131847E-66	        2.590383E-75	       4.008897E-121	        1.128601E-73	       2.123740E-118	        1.497296E-62	        1.890868E-66	        1.123445E-70	        2.301091E-69	        8.757351E-74	        5.678198E-71	        4.813836E-64	        3.311345E-72	       6.743086E-128	       4.596525E-120	       9.675318E-132	        1.498835E-76	       3.276339E-113	       6.670300E-119	        1.437428E-74
        5.005170E-03	        2.927714E-71	        1.797317E-66	       2.023208E-105	        1.960193E-62	        2.624247E-58	        3.544422E-73	       8.818304E-113	        5.378181E-65	        3.826647E-62	        7.562351E-71	        2.566737E-58	        5.347948E-61	       8.686175E-117	        4.534257E-65	        1.595408E-76	        1.514267E-60	        7.209055E-61	       2.998951E-123	        5.934095E-61	       3.965844E-114	        1.468729E-61	       2.048005E-112	        3.579538E-62	        3.731108E-65	       1.103665E-120	        3.632591E-60	        6.274624E-58	       2.064906E-143	        7.464510E-10	        1.310512E-60	        2.056564E-63	        3.307650E-59	        1.106197E-60	        2.945655E-62	        5.529759E-70	       1.202672E-119	       3.748281E-112	        8.941259E-58	        5.310877E-68	        6.757098E-53	        1.314114E-57	        1.344852E-66	       8.763275E-127	        7.602451E-71	        1.043587E-60	        2.080374E-59	       4.338080E-109	        1.344160E-56	       1.042794E-115	        5.990675E-60	       3.318369E-115	        5.402203E-58	        4.448943E-70	        3.625877E-18	        1.005002E-61	        1.749062E-69	        0.000000E+00	        6.073758E-58	        1.791148E-59	        1.648312E-63	        1.284319E-78	        0.000000E+00	        5.041554E-12	        3.004632E-69	        2.189196E-61	        6.817992E-53	       4.114324E-118	        2.858299E-62	       2.767264E-121	        0.000000E+00	        1.356309E-62	        3.287122E-73	        1.562004E-59	        3.469300E-61	        6.280949E-65	        1.352151E-65	        8.398406E-69	        8.625473E-15	        6.440544E-65	        1.557949E-10	       1.044454E-110	        8.628037E-15	        6.667529E-19	        1.970719E-62	        7.522231E-61	        6.106109E-67	        3.990740E-85	        5.832949E-67	        1.175450E-75	       8.112733E-122	        2.229400E-74	       3.247248E-119	        6.699277E-63	        9.621754E-67	        5.098824E-71	        1.047532E-69	        3.996098E-74	        2.592763E-71	        2.191416E-64	        1.508197E-72	       1.162800E-128	       8.526346E-121	       1.997688E-132	        6.823092E-77	       5.644244E-114	       1.360150E-119	        6.526095E-75
