           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        5.00000E-04  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        5.41128E-96  	        0.00000E+00  	        0.00000E+00  	        6.59973E-86  	        5.24537E-82  	        1.16239E-83  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.03957E-81  	        0.00000E+00  	        0.00000E+00  	        2.87130E-93  	        1.50502E-86  	        8.77476E-85  	        0.00000E+00  	        0.00000E+00  	        6.42922E-90  	        0.00000E+00  	        0.00000E+00  	        8.84334E-82  	        0.00000E+00  	        6.64654E-12  	        2.83797E-95  	        0.00000E+00  	        7.12212E-83  	        2.11863E-81  	        7.70698E-85  	        0.00000E+00  	        1.70890E-92  	        0.00000E+00  	        1.07203E-87  	        8.19907E-88  	        1.15732E-81  	        9.73097E-83  	        4.92222E-79  	        0.00000E+00  	        0.00000E+00  	        3.24939E-93  	        5.62493E-88  	        1.10822E-88  	        1.82426E-87  	        0.00000E+00  	        9.91218E-85  	        0.00000E+00  	        2.75034E-81  	        1.57846E-93  	        2.32920E-01  	        4.30264E-77  	        1.80090E-89  	        0.00000E+00  	        1.01221E-86  	        4.33959E-82  	        1.30171E-81  	        0.00000E+00  	        6.26389E-89  	        7.67080E-01  	        5.17458E-89  	        1.38088E-82  	        1.05934E-81  	        4.61743E-86  	        4.35107E-88  	        1.37115E-85  	        6.88590E-86  	        1.28631E-89  	        0.00000E+00  	        0.00000E+00  	        3.38379E-87  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.31124E-89  	        3.77216E-12  	        6.88901E-82  	        2.47809E-82  	        7.78473E-93  	        2.75573E-82  	        3.65846E-85  	        0.00000E+00  	        0.00000E+00  	        7.69775E-92  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        4.40436E-82  	        3.82451E-92  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.00000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        8.55015E-93  	        0.00000E+00  	        1.39312E-96  	        0.00000E+00  	        1.59221E-87  	        0.00000E+00  	        1.45596E-94  	        2.58729E-80  	        4.79545E-77  	        1.97216E-78  	        3.62402E-89  	        1.20332E-94  	        0.00000E+00  	        1.72566E-76  	        1.03647E-86  	        0.00000E+00  	        6.09744E-84  	        3.21173E-81  	        1.88544E-79  	        0.00000E+00  	        8.07937E-94  	        4.58241E-83  	        0.00000E+00  	        2.96178E-94  	        1.09552E-76  	        0.00000E+00  	        1.16562E-11  	        5.81612E-84  	        2.00654E-91  	        6.35870E-78  	        2.22610E-76  	        6.84011E-80  	        1.40322E-86  	        3.60260E-85  	        0.00000E+00  	        1.34755E-81  	        1.28207E-81  	        1.93192E-76  	        2.36788E-78  	        2.86578E-74  	        0.00000E+00  	        7.60154E-85  	        1.60678E-83  	        2.74997E-81  	        3.88157E-83  	        2.85547E-82  	        8.72154E-94  	        1.24597E-78  	        0.00000E+00  	        3.95657E-76  	        1.10772E-83  	        2.32920E-01  	        7.45998E-72  	        3.14353E-83  	        0.00000E+00  	        1.86783E-81  	        2.29692E-77  	        3.02228E-77  	        0.00000E+00  	        1.00176E-82  	        7.67080E-01  	        1.26194E-82  	        3.36660E-78  	        1.77312E-76  	        1.07463E-80  	        3.17242E-82  	        2.03402E-80  	        4.41022E-80  	        1.03273E-82  	        0.00000E+00  	        0.00000E+00  	        1.65923E-81  	        0.00000E+00  	        1.19895E-86  	        0.00000E+00  	        0.00000E+00  	        8.35627E-83  	        6.58101E-12  	        3.10393E-77  	        4.99147E-78  	        1.82534E-84  	        7.33968E-78  	        3.35640E-80  	        0.00000E+00  	        0.00000E+00  	        1.89116E-83  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        7.01756E-78  	        1.06839E-83  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        5.99447E-95  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.50000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        8.62224E-84  	        3.08911E-85  	        3.38429E-84  	        1.89793E-87  	        4.49207E-82  	        1.23836E-93  	        5.94865E-84  	        1.11432E-76  	        2.28562E-73  	        1.77364E-74  	        2.04365E-82  	        4.66159E-84  	        0.00000E+00  	        1.86818E-72  	        3.28839E-81  	        0.00000E+00  	        1.70509E-79  	        6.25430E-76  	        8.18277E-76  	        5.03961E-85  	        2.38156E-83  	        1.13158E-78  	        0.00000E+00  	        5.61370E-84  	        8.88822E-73  	        0.00000E+00  	        1.65952E-11  	        1.07793E-79  	        1.15671E-82  	        5.16183E-74  	        1.63134E-72  	        9.92936E-76  	        1.33394E-80  	        6.25178E-80  	        7.38151E-94  	        1.28854E-78  	        1.68441E-76  	        6.85062E-73  	        6.79673E-75  	        1.51851E-70  	        0.00000E+00  	        3.04485E-80  	        2.50204E-79  	        2.65294E-76  	        1.79374E-78  	        8.02740E-79  	        2.85029E-84  	        9.29400E-75  	        1.19659E-91  	        6.77386E-72  	        8.37225E-79  	        2.32920E-01  	        4.31141E-67  	        6.98539E-79  	        0.00000E+00  	        2.11620E-77  	        3.59063E-72  	        1.48798E-73  	        0.00000E+00  	        4.06219E-78  	        7.67080E-01  	        7.24723E-78  	        4.07649E-75  	        1.83457E-72  	        6.38368E-77  	        3.32451E-77  	        1.08686E-74  	        1.00258E-76  	        4.45265E-79  	        0.00000E+00  	        0.00000E+00  	        4.92747E-78  	        9.81736E-92  	        1.97444E-81  	        5.62009E-87  	        0.00000E+00  	        6.58060E-79  	        9.32341E-12  	        6.15178E-74  	        8.74023E-19  	        1.44159E-80  	        8.42275E-75  	        1.17513E-76  	        0.00000E+00  	        4.27358E-86  	        9.00451E-80  	        0.00000E+00  	        2.94519E-93  	        0.00000E+00  	        4.11502E-74  	        2.99202E-80  	        0.00000E+00  	        1.98684E-94  	        0.00000E+00  	        1.01063E-84  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.17982E-85  	        2.68293E-89  	        0.00000E+00
        2.00000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        8.53444E-80  	        5.36517E-80  	        2.60275E-79  	        4.25711E-82  	        7.48045E-78  	        2.91616E-83  	        1.03838E-79  	        5.16090E-74  	        8.29915E-70  	        2.73002E-71  	        1.33531E-79  	        1.86376E-79  	        0.00000E+00  	        2.49576E-68  	        4.73080E-78  	        0.00000E+00  	        1.05741E-75  	        1.24337E-71  	        8.00857E-72  	        4.37629E-81  	        1.56062E-79  	        4.50453E-75  	        4.97895E-95  	        2.03425E-80  	        1.38394E-68  	        0.00000E+00  	        2.16917E-11  	        8.34062E-76  	        3.90750E-79  	        1.11562E-70  	        6.47493E-69  	        3.31567E-71  	        4.75854E-77  	        1.17327E-74  	        1.44417E-83  	        3.67653E-75  	        8.35153E-72  	        1.28792E-68  	        1.42140E-71  	        2.59291E-66  	        0.00000E+00  	        5.05263E-77  	        1.78002E-75  	        3.52020E-72  	        1.74784E-74  	        1.85034E-75  	        1.57941E-80  	        1.24338E-70  	        5.37738E-83  	        1.00561E-67  	        1.79414E-75  	        2.32920E-01  	        1.40465E-63  	        1.78534E-75  	        0.00000E+00  	        1.95133E-73  	        5.27519E-69  	        2.39437E-69  	        0.00000E+00  	        2.08240E-75  	        7.67080E-01  	        3.59612E-73  	        6.94707E-71  	        2.33270E-68  	        2.90941E-74  	        3.91001E-73  	        1.44133E-70  	        4.41382E-74  	        1.64607E-77  	        0.00000E+00  	        2.07562E-85  	        2.95473E-74  	        2.75144E-83  	        1.30740E-78  	        9.25015E-83  	        5.49089E-96  	        8.57734E-76  	        1.21288E-11  	        7.25922E-70  	        3.13792E-17  	        2.33309E-77  	        1.15327E-70  	        1.35888E-73  	        1.74862E-87  	        2.70888E-80  	        2.07385E-76  	        0.00000E+00  	        6.23301E-83  	        0.00000E+00  	        3.53728E-70  	        1.10608E-77  	        0.00000E+00  	        3.59167E-84  	        8.13640E-89  	        9.71534E-82  	        2.25219E-91  	        8.62362E-86  	        0.00000E+00  	        1.39183E-91  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        8.73552E-81  	        1.24332E-82  	        0.00000E+00
        2.60000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        3.76074E-83  	        8.28861E-89  	        7.66122E-76  	        4.72590E-77  	        3.88117E-75  	        9.36513E-79  	        3.88102E-73  	        4.16989E-79  	        2.74734E-75  	        4.05638E-72  	        4.40373E-66  	        1.01859E-67  	        5.73066E-76  	        1.19396E-77  	        5.95374E-92  	        1.23118E-64  	        5.75389E-74  	        4.99862E-85  	        6.35885E-72  	        2.51081E-67  	        7.45160E-69  	        6.55389E-77  	        2.73364E-76  	        5.83612E-71  	        7.30167E-83  	        2.65769E-76  	        7.05702E-65  	        0.00000E+00  	        2.81130E-11  	        3.52856E-72  	        1.25683E-76  	        2.13153E-67  	        2.27518E-65  	        9.69259E-68  	        6.30718E-73  	        3.10886E-70  	        2.55707E-79  	        7.36815E-72  	        2.90594E-68  	        6.12396E-65  	        1.12482E-68  	        1.29845E-62  	        2.65660E-85  	        9.35441E-74  	        9.65061E-72  	        5.11857E-68  	        2.98209E-69  	        3.78991E-72  	        4.53584E-77  	        6.84583E-66  	        1.00965E-78  	        8.20634E-64  	        8.22340E-73  	        2.32920E-01  	        1.42916E-58  	        1.08397E-72  	        0.00000E+00  	        4.73242E-69  	        9.03364E-64  	        5.29712E-65  	        0.00000E+00  	        5.83034E-73  	        7.67080E-01  	        7.47985E-69  	        2.53016E-67  	        2.93379E-64  	        2.50204E-72  	        1.62183E-68  	        5.92079E-67  	        3.23163E-72  	        1.17581E-75  	        2.69348E-87  	        7.47673E-80  	        3.93926E-71  	        1.20921E-79  	        8.20423E-75  	        1.40543E-79  	        1.85989E-81  	        6.61643E-72  	        1.56320E-11  	        4.72563E-66  	        1.94114E-16  	        1.80406E-74  	        7.76254E-67  	        1.91885E-70  	        6.50980E-81  	        5.70135E-77  	        1.75435E-73  	        6.55822E-85  	        1.32094E-79  	        4.00196E-85  	        1.26217E-66  	        1.67393E-75  	        0.00000E+00  	        1.06283E-80  	        5.21718E-82  	        1.38919E-79  	        4.93407E-82  	        2.06616E-80  	        6.70466E-93  	        1.06599E-81  	        0.00000E+00  	        0.00000E+00  	        3.51211E-88  	        1.20966E-77  	        5.18589E-79  	        1.78401E-82
        3.10000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        2.78203E-80  	        4.79496E-81  	        2.66116E-73  	        2.38907E-75  	        3.72022E-72  	        1.03238E-76  	        6.33974E-69  	        5.79939E-76  	        1.57370E-71  	        7.04349E-71  	        2.27378E-63  	        4.15021E-65  	        2.93457E-73  	        1.50460E-75  	        8.22142E-82  	        1.29035E-61  	        2.47703E-71  	        5.29203E-80  	        2.57324E-69  	        1.65200E-64  	        1.08094E-66  	        1.06620E-72  	        7.57134E-75  	        2.13381E-68  	        9.45454E-81  	        1.07996E-72  	        1.02517E-61  	        0.00000E+00  	        3.37425E-11  	        1.11985E-69  	        1.87443E-74  	        8.64996E-65  	        8.51616E-63  	        6.79689E-65  	        1.52786E-69  	        1.72640E-66  	        2.98359E-76  	        3.06439E-69  	        3.50556E-65  	        3.87938E-62  	        2.20253E-66  	        5.68811E-60  	        2.43829E-80  	        4.18697E-72  	        3.09749E-69  	        7.42508E-65  	        6.29374E-66  	        1.71617E-69  	        9.56234E-74  	        5.31599E-62  	        1.21521E-74  	        6.35330E-61  	        7.29749E-71  	        2.32920E-01  	        6.24654E-55  	        7.21586E-71  	        0.00000E+00  	        3.38150E-65  	        2.35209E-60  	        1.30514E-61  	        2.50614E-83  	        3.17470E-71  	        7.67080E-01  	        2.36242E-64  	        4.60844E-64  	        3.82045E-61  	        4.54455E-71  	        8.58210E-65  	        5.36717E-64  	        5.30059E-71  	        8.94604E-74  	        3.85413E-81  	        4.74785E-77  	        1.63260E-68  	        2.12853E-77  	        2.70048E-72  	        8.73102E-78  	        1.19654E-77  	        1.83727E-69  	        1.86772E-11  	        1.58730E-63  	        4.00790E-16  	        2.08690E-71  	        2.99008E-64  	        5.37765E-67  	        4.46103E-78  	        6.44967E-74  	        1.08485E-71  	        8.42216E-80  	        1.12205E-76  	        1.55360E-81  	        6.19147E-64  	        6.60764E-74  	        0.00000E+00  	        9.60232E-80  	        1.59021E-80  	        3.93692E-77  	        2.79928E-80  	        2.50552E-78  	        1.38863E-82  	        2.69660E-79  	        6.29269E-84  	        8.64360E-93  	        5.91507E-81  	        2.89172E-74  	        1.47539E-76  	        2.78979E-79
        3.60000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        1.08157E-77  	        7.44833E-79  	        6.56424E-71  	        1.05649E-73  	        1.34047E-69  	        4.23304E-75  	        3.29895E-65  	        1.19831E-73  	        3.30175E-68  	        1.07178E-69  	        5.63547E-61  	        1.85721E-62  	        6.87552E-72  	        2.25496E-73  	        3.57224E-79  	        5.85400E-59  	        4.29958E-69  	        5.13431E-77  	        4.85387E-67  	        1.92957E-61  	        1.26360E-64  	        3.24930E-69  	        3.47639E-73  	        1.07483E-65  	        5.97064E-79  	        1.26376E-69  	        8.35067E-59  	        1.55017E-83  	        3.96405E-11  	        1.12340E-67  	        4.45153E-73  	        1.43690E-62  	        3.46866E-60  	        2.23299E-62  	        9.49951E-67  	        2.96312E-62  	        1.99783E-73  	        1.09541E-66  	        1.92328E-62  	        9.00807E-59  	        1.04198E-64  	        3.18837E-57  	        2.09600E-77  	        2.90918E-71  	        5.21300E-67  	        2.02772E-62  	        1.35363E-62  	        4.71236E-67  	        1.44976E-70  	        5.45047E-59  	        9.00096E-71  	        1.42038E-57  	        1.23670E-69  	        2.32920E-01  	        1.76957E-51  	        9.42825E-70  	        0.00000E+00  	        6.96096E-62  	        1.58713E-57  	        1.45073E-58  	        3.83729E-79  	        5.05785E-70  	        7.67080E-01  	        1.20006E-60  	        6.72969E-61  	        5.34015E-58  	        4.67701E-70  	        3.68600E-61  	        2.71348E-61  	        6.02945E-70  	        5.10551E-72  	        8.93998E-79  	        1.91038E-75  	        4.33783E-66  	        2.90344E-75  	        5.58313E-70  	        1.85900E-76  	        1.96029E-75  	        5.60462E-67  	        2.18439E-11  	        9.43270E-61  	        6.78513E-16  	        9.24199E-69  	        1.52170E-61  	        1.36947E-64  	        1.57325E-76  	        1.04682E-70  	        2.19287E-69  	        6.39049E-76  	        4.70563E-73  	        3.19973E-79  	        2.95692E-61  	        2.74479E-72  	        0.00000E+00  	        7.08494E-78  	        4.56644E-79  	        3.62532E-75  	        2.98146E-78  	        6.86389E-77  	        2.10846E-80  	        3.11347E-76  	        6.94881E-81  	        4.14145E-82  	        8.33423E-78  	        3.50914E-71  	        1.31285E-73  	        6.21445E-76
        4.10000E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        1.76993E-76  	        3.87247E-76  	        7.07688E-69  	        5.44547E-72  	        4.93528E-67  	        1.22650E-73  	        8.47680E-62  	        2.10499E-71  	        1.28577E-65  	        2.38574E-68  	        4.17272E-59  	        8.68712E-60  	        1.13870E-70  	        4.62133E-71  	        1.23475E-75  	        4.89499E-56  	        2.69980E-67  	        5.04009E-74  	        4.86792E-66  	        1.53203E-58  	        5.52110E-63  	        5.98427E-66  	        4.97168E-71  	        3.43232E-63  	        2.52904E-77  	        1.23947E-66  	        4.85438E-56  	        2.08625E-79  	        4.58478E-11  	        1.16231E-66  	        1.60280E-70  	        1.75534E-60  	        6.54277E-58  	        2.25864E-60  	        3.50667E-64  	        6.67527E-59  	        4.64832E-71  	        3.97300E-64  	        6.73965E-60  	        4.46843E-56  	        5.35227E-63  	        8.22715E-55  	        2.52531E-74  	        2.88900E-70  	        1.25249E-65  	        1.68615E-59  	        1.05537E-59  	        2.72837E-64  	        2.37586E-67  	        9.55222E-56  	        1.33286E-66  	        1.75829E-54  	        1.83706E-68  	        2.32920E-01  	        5.68951E-48  	        1.23379E-68  	        0.00000E+00  	        6.17958E-59  	        2.54444E-54  	        2.24478E-55  	        4.49720E-76  	        1.10069E-68  	        7.67080E-01  	        3.31418E-57  	        1.18139E-57  	        6.29042E-55  	        9.02135E-69  	        2.25923E-58  	        3.54299E-59  	        1.20637E-68  	        6.46565E-70  	        4.83012E-77  	        3.72724E-73  	        2.11995E-63  	        1.73098E-73  	        1.08310E-67  	        2.44121E-75  	        3.22210E-73  	        3.09790E-65  	        2.51527E-11  	        3.55125E-58  	        1.03243E-15  	        6.80894E-66  	        4.76190E-59  	        1.04406E-62  	        8.13164E-75  	        2.24082E-67  	        1.20154E-67  	        3.54078E-73  	        2.26671E-70  	        5.65623E-78  	        1.13610E-58  	        2.48060E-70  	        0.00000E+00  	        1.36211E-76  	        1.19101E-77  	        6.23526E-74  	        7.20065E-77  	        1.85132E-75  	        7.50459E-77  	        4.79497E-72  	        2.05915E-78  	        2.55822E-79  	        2.13342E-74  	        2.99501E-68  	        3.06222E-71  	        4.32254E-73
        4.51475E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        6.13700E-79  	        1.41347E-78  	        9.52297E-71  	        6.01665E-74  	        3.88141E-69  	        2.32422E-75  	        1.36999E-63  	        1.34171E-73  	        8.63436E-68  	        6.34544E-71  	        5.15548E-61  	        9.31357E-62  	        1.65244E-72  	        3.69411E-73  	        6.89229E-77  	        1.02336E-57  	        1.07807E-69  	        3.93536E-76  	        1.18543E-67  	        2.38168E-60  	        6.14647E-65  	        8.17215E-68  	        4.16055E-73  	        2.88443E-65  	        7.43954E-80  	        9.01672E-69  	        7.64335E-58  	        1.64064E-81  	        5.21931E-11  	        3.00574E-68  	        1.05431E-72  	        1.15899E-62  	        3.84486E-60  	        1.55577E-62  	        3.39754E-66  	        1.25585E-60  	        3.90309E-73  	        2.52832E-66  	        3.79003E-62  	        7.89583E-58  	        4.41240E-65  	        6.49979E-57  	        1.91259E-76  	        2.20407E-72  	        2.03813E-67  	        1.06713E-61  	        1.23978E-61  	        4.08681E-66  	        2.37246E-69  	        1.15388E-57  	        2.01379E-68  	        2.82395E-56  	        5.22987E-71  	        2.32920E-01  	        5.82162E-49  	        4.80660E-71  	        0.00000E+00  	        1.22962E-60  	        4.37064E-56  	        3.06734E-57  	        6.48360E-78  	        2.01356E-71  	        7.67080E-01  	        4.93578E-59  	        2.45425E-59  	        1.86893E-56  	        2.49081E-71  	        4.76604E-60  	        2.26222E-61  	        3.25540E-71  	        3.62119E-72  	        6.42808E-79  	        8.54178E-76  	        1.08820E-65  	        3.48393E-75  	        9.88051E-70  	        1.56431E-77  	        2.37592E-75  	        3.58341E-67  	        2.85464E-11  	        2.84013E-60  	        1.19965E-15  	        5.15185E-68  	        2.66367E-61  	        8.76698E-65  	        5.44381E-77  	        2.42823E-69  	        1.83583E-69  	        2.85278E-75  	        1.79393E-72  	        1.94722E-80  	        7.44109E-61  	        7.03963E-72  	        0.00000E+00  	        5.73108E-79  	        5.29373E-80  	        3.69833E-76  	        2.23469E-79  	        1.80781E-77  	        1.49009E-77  	        3.04498E-74  	        1.12837E-79  	        1.07844E-81  	        2.06313E-76  	        2.11086E-70  	        2.10217E-73  	        3.16143E-75
        5.00517E-03  	        1.50000E+03  	        2.34437E-01  	        1.01325E+05  	        2.79236E-79  	        6.43449E-79  	        4.36045E-71  	        2.73759E-74  	        1.76003E-69  	        1.05313E-75  	        6.08682E-64  	        6.02076E-74  	        3.87898E-68  	        2.85515E-71  	        2.33516E-61  	        4.15304E-62  	        7.56010E-73  	        1.67412E-73  	        3.08991E-77  	        4.22926E-58  	        4.88758E-70  	        1.78847E-76  	        5.41164E-68  	        1.06637E-60  	        2.78789E-65  	        3.67218E-68  	        1.90211E-73  	        1.30307E-65  	        3.39047E-80  	        4.08491E-69  	        3.13170E-58  	        7.45948E-82  	        5.93623E-11  	        1.37151E-68  	        4.82129E-73  	        5.23538E-63  	        1.74103E-60  	        6.99547E-63  	        1.52868E-66  	        5.30333E-61  	        1.78476E-73  	        1.14607E-66  	        1.69588E-62  	        3.14580E-58  	        2.00334E-65  	        2.76776E-57  	        8.74345E-77  	        9.98544E-73  	        9.25937E-68  	        4.80097E-62  	        5.43229E-62  	        1.85049E-66  	        1.05764E-69  	        4.47697E-58  	        8.98584E-69  	        1.05058E-56  	        2.36813E-71  	        2.32920E-01  	        1.95535E-49  	        2.16903E-71  	        0.00000E+00  	        5.33632E-61  	        1.68620E-56  	        1.17277E-57  	        2.94824E-78  	        9.08898E-72  	        7.67080E-01  	        2.03089E-59  	        1.03546E-59  	        7.10246E-57  	        1.12110E-71  	        2.03225E-60  	        1.02560E-61  	        1.46471E-71  	        1.65277E-72  	        2.93203E-79  	        3.86966E-76  	        4.89485E-66  	        1.59362E-75  	        4.44318E-70  	        7.05933E-78  	        1.08753E-75  	        1.60093E-67  	        3.23461E-11  	        1.26796E-60  	        3.90817E-16  	        2.33644E-68  	        1.20752E-61  	        3.96574E-65  	        2.47943E-77  	        1.08533E-69  	        8.34250E-70  	        1.30334E-75  	        8.13257E-73  	        8.87043E-81  	        3.32914E-61  	        3.20467E-72  	        0.00000E+00  	        2.61691E-79  	        2.40063E-80  	        1.68344E-76  	        1.01066E-79  	        8.23359E-78  	        6.67322E-78  	        1.38060E-74  	        5.55784E-80  	        4.74283E-82  	        9.30245E-77  	        9.52269E-71  	        9.54410E-74  	        1.44399E-75
