           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolX_C2H5O  	            VolX_CH  	          VolX_H2O2  	     VolX_CH2CH2CHO  	         VolX_T-CH2  	      VolX_C6H5OCH2  	         VolX_CH3OH  	         VolX_S-CH2  	          VolX_HCCO  	        VolX_C3H6O2  	          VolX_C5H6  	        VolX_P-C3H4  	     VolX_C5H5CH3-1  	         VolX_CH2OH  	        VolX_IXC4H7  	         VolX_CH2CO  	          VolX_CH3O  	VolX_CH2CCHCH2CHCH2  	        VolX_CH2CHO  	          VolX_C2H6  	        VolX_A-C3H5  	          VolX_C3H6  	        VolX_C2H5CO  	        VolX_CHOCHO  	        VolX_ACETOL  	         VolX_C4H3O  	          VolX_C2H2  	       VolX_IC5H9OH  	             VolX_O  	          VolX_C2H3  	      VolX_CH3CHCHO  	          VolX_C3H3  	          VolX_C5H5  	       VolX_C2H3CHO  	       VolX_CH3CHCO  	        VolX_C2H5OH  	       VolX_CH3CHOH  	           VolX_HCO  	        VolX_CH3CHO  	           VolX_HO2  	           VolX_A1O  	        VolX_C6H5OH  	        VolX_IXC4H8  	        VolX_C3H4O3  	          VolX_C2H5  	           VolX_CH3  	       VolX_CH3CO2H  	             VolX_H  	         VolX_A1CH3  	          VolX_CH2O  	        VolX_CC4H4O  	            VolX_CO  	        VolX_C6H8O4  	            VolX_O2  	           VolX_H2O  	        VolX_C6H6O3  	            VolX_AR  	            VolX_H2  	           VolX_CO2  	          VolX_C2H4  	          VolX_C5H8  	       VolX_C6H10O5  	            VolX_N2  	      VolX_FURFURAL  	           VolX_CH4  	            VolX_OH  	      VolX_C6H5OCH3  	          VolX_C6H6  	       VolX_C2H5CHO  	      VolX_OC8H7OOH  	           VolX_A1-  	          VolX_N2H2  	           VolX_NNH  	           VolX_NH2  	            VolX_NH  	           VolX_HNO  	          VolX_HONO  	             VolX_N  	          VolX_H2NO  	           VolX_N2O  	           VolX_NH3  	            VolX_NO  	           VolX_NO2  	           VolX_HCN  	           VolX_HNC  	            VolX_CN  	          VolX_HNCO  	           VolX_NCO  	           VolX_NCN  	        VolX_CH3NH2  	          VolX_H2CN  	         VolX_C5H5N  	         VolX_C5H4N  	        VolX_C5H5NO  	        VolX_C5H4NO  	       VolX_C5H4NO2  	        VolX_PYRLYL  	      VolX_BNC4H4CO  	        VolX_C4H4CN  	        VolX_CHCHCN  	         VolX_C4H5N  	       VolX_CH2CHCN  	          VolX_C2N2  	          VolX_HNCN  	          VolX_HOCN  	         VolX_CH3CN  	         VolX_CH2CN
        5.00000E-04  	        1.50000E+03  	        2.99768E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.19105E-25  	        0.00000E+00  	        0.00000E+00  	        1.38801E-18  	        6.84390E-15  	        5.39759E-16  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        3.23812E-14  	        0.00000E+00  	        0.00000E+00  	        3.85619E-22  	        3.70331E-18  	        5.63142E-17  	        0.00000E+00  	        0.00000E+00  	        3.24793E-21  	        0.00000E+00  	        0.00000E+00  	        3.73701E-14  	        0.00000E+00  	        4.56909E-11  	        6.51786E-24  	        0.00000E+00  	        1.97411E-15  	        2.44061E-14  	        1.24182E-17  	        0.00000E+00  	        1.95001E-23  	        0.00000E+00  	        1.27023E-19  	        9.21015E-19  	        3.46917E-14  	        4.05486E-16  	        1.26542E-12  	        0.00000E+00  	        0.00000E+00  	        6.61286E-22  	        2.34102E-18  	        1.53948E-21  	        3.75100E-18  	        0.00000E+00  	        3.16437E-16  	        0.00000E+00  	        1.30652E-13  	        6.44911E-23  	        2.10035E-01  	        4.74022E-10  	        9.02668E-22  	        0.00000E+00  	        2.49768E-17  	        1.71494E-14  	        2.48908E-14  	        0.00000E+00  	        2.18821E-21  	        7.89965E-01  	        3.97609E-21  	        4.26108E-15  	        7.61843E-14  	        6.32325E-19  	        3.29831E-20  	        2.49303E-17  	        6.15555E-19  	        7.36531E-24  	        0.00000E+00  	        0.00000E+00  	        6.68875E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        6.08095E-21  	        9.42819E-12  	        2.11105E-14  	        4.38071E-15  	        4.24050E-23  	        5.03852E-15  	        1.11267E-17  	        0.00000E+00  	        0.00000E+00  	        5.10541E-22  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.71865E-15  	        1.45159E-22  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.00000E-03  	        1.50000E+03  	        2.91701E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        1.36246E-21  	        0.00000E+00  	        7.90287E-25  	        0.00000E+00  	        1.66514E-19  	        0.00000E+00  	        3.23291E-23  	        2.97841E-15  	        6.25508E-13  	        7.02326E-14  	        2.19029E-21  	        2.52643E-22  	        0.00000E+00  	        3.02962E-12  	        7.61346E-19  	        0.00000E+00  	        2.72582E-16  	        1.90367E-13  	        1.68978E-14  	        0.00000E+00  	        9.11915E-23  	        9.93179E-16  	        0.00000E+00  	        2.88599E-23  	        3.43212E-12  	        0.00000E+00  	        9.41197E-11  	        2.12439E-16  	        2.57903E-21  	        2.13326E-13  	        2.25072E-12  	        1.53705E-13  	        2.09005E-18  	        5.92525E-17  	        0.00000E+00  	        7.25279E-16  	        6.25575E-14  	        3.92523E-12  	        2.89920E-14  	        7.40069E-11  	        0.00000E+00  	        3.06289E-18  	        4.86794E-16  	        1.69793E-13  	        4.62585E-16  	        1.25232E-14  	        5.25265E-23  	        9.16011E-13  	        0.00000E+00  	        1.58881E-11  	        5.98989E-17  	        2.10035E-01  	        7.24218E-08  	        8.85265E-17  	        0.00000E+00  	        2.52391E-13  	        2.41943E-11  	        8.49109E-12  	        0.00000E+00  	        7.40797E-17  	        7.89965E-01  	        2.84781E-15  	        1.40488E-12  	        7.29840E-12  	        1.29110E-15  	        7.46394E-15  	        6.17304E-13  	        1.27191E-15  	        6.34196E-19  	        0.00000E+00  	        0.00000E+00  	        5.47539E-15  	        0.00000E+00  	        1.53215E-19  	        0.00000E+00  	        0.00000E+00  	        3.47564E-16  	        1.87443E-11  	        4.84079E-12  	        9.78037E-13  	        2.56201E-18  	        1.21879E-12  	        1.44361E-14  	        0.00000E+00  	        0.00000E+00  	        3.91774E-17  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        6.37727E-13  	        1.50560E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        6.36528E-24  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        1.50000E-03  	        1.50000E+03  	        2.91931E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        6.18684E-17  	        3.18266E-18  	        3.37438E-16  	        1.12717E-21  	        1.17594E-14  	        6.08044E-22  	        1.65691E-16  	        3.71723E-13  	        6.93616E-12  	        1.92911E-12  	        2.18808E-17  	        4.15987E-19  	        0.00000E+00  	        1.03014E-10  	        3.04417E-15  	        0.00000E+00  	        9.80976E-14  	        6.25359E-11  	        2.00902E-13  	        4.42284E-18  	        1.85802E-17  	        3.07936E-13  	        0.00000E+00  	        8.47642E-18  	        1.04641E-10  	        0.00000E+00  	        5.05108E-10  	        9.02991E-14  	        4.51693E-17  	        5.85722E-12  	        6.39841E-11  	        4.24202E-11  	        8.18477E-15  	        6.27970E-13  	        1.13414E-22  	        6.83595E-14  	        1.80479E-11  	        2.11024E-10  	        3.26760E-13  	        7.59407E-10  	        0.00000E+00  	        4.93289E-15  	        1.69914E-13  	        5.02342E-11  	        1.41090E-12  	        1.10360E-12  	        1.62060E-18  	        2.83228E-10  	        8.33531E-22  	        7.92006E-10  	        5.45228E-14  	        2.10035E-01  	        4.15589E-06  	        6.58064E-14  	        0.00000E+00  	        3.68150E-11  	        1.91634E-09  	        6.67828E-10  	        0.00000E+00  	        3.61333E-14  	        7.89965E-01  	        4.39451E-12  	        6.52721E-11  	        5.04778E-10  	        1.55691E-13  	        5.32076E-12  	        1.66968E-10  	        1.51715E-13  	        3.22366E-17  	        0.00000E+00  	        0.00000E+00  	        1.68093E-13  	        1.30888E-21  	        4.26518E-16  	        4.08975E-21  	        0.00000E+00  	        1.80884E-14  	        2.79317E-11  	        1.11631E-10  	        2.25601E-11  	        1.35986E-15  	        2.81475E-11  	        3.39506E-13  	        0.00000E+00  	        7.39473E-19  	        4.24589E-15  	        0.00000E+00  	        6.08346E-22  	        0.00000E+00  	        1.47102E-11  	        3.80207E-16  	        0.00000E+00  	        1.57558E-23  	        0.00000E+00  	        4.01390E-20  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.88874E-19  	        5.52541E-21  	        0.00000E+00
        2.00000E-03  	        1.50000E+03  	        2.80571E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        8.46840E-14  	        1.12624E-15  	        2.83242E-14  	        4.42986E-19  	        7.45126E-12  	        1.00870E-16  	        8.28998E-14  	        1.96498E-11  	        3.52924E-11  	        6.57085E-11  	        1.76085E-14  	        2.74052E-16  	        0.00000E+00  	        3.96841E-09  	        1.66272E-13  	        0.00000E+00  	        4.53876E-12  	        3.61484E-09  	        1.01780E-12  	        2.48301E-14  	        3.11698E-15  	        1.55281E-11  	        2.05073E-23  	        9.95668E-15  	        3.64347E-09  	        0.00000E+00  	        1.63429E-08  	        4.18840E-12  	        4.87960E-15  	        1.82145E-10  	        1.99644E-09  	        2.16155E-09  	        4.68324E-13  	        2.45639E-10  	        2.87004E-17  	        2.83839E-12  	        9.20532E-10  	        9.04558E-09  	        2.21288E-12  	        3.75721E-09  	        0.00000E+00  	        3.27773E-13  	        7.73763E-12  	        2.60781E-09  	        4.80378E-10  	        4.55555E-11  	        2.58987E-15  	        1.46952E-08  	        1.18884E-16  	        3.21788E-08  	        4.21772E-12  	        2.10035E-01  	        7.84449E-05  	        5.01387E-12  	        0.00000E+00  	        3.81532E-09  	        4.15766E-08  	        2.70556E-08  	        0.00000E+00  	        2.28151E-12  	        7.89965E-01  	        1.03352E-09  	        3.86698E-09  	        2.41818E-08  	        7.71630E-12  	        4.95401E-10  	        7.98673E-09  	        7.54582E-12  	        4.69558E-16  	        0.00000E+00  	        7.35554E-18  	        2.07249E-12  	        9.65852E-18  	        7.59825E-15  	        1.51875E-18  	        2.12269E-24  	        2.20052E-13  	        3.85160E-11  	        9.56294E-10  	        1.93499E-10  	        3.91307E-14  	        2.41437E-10  	        2.88990E-12  	        8.65023E-19  	        3.25313E-15  	        6.26932E-14  	        0.00000E+00  	        1.38541E-17  	        0.00000E+00  	        1.25973E-10  	        5.81816E-15  	        0.00000E+00  	        2.14049E-20  	        5.29574E-22  	        1.84311E-17  	        3.65254E-22  	        3.10045E-19  	        0.00000E+00  	        1.09724E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.57437E-15  	        2.76408E-17  	        0.00000E+00
        2.60000E-03  	        1.50000E+03  	        2.79439E-01  	        1.01325E+05  	        3.09257E-18  	        1.54067E-18  	        4.22841E-11  	        2.98525E-14  	        2.28299E-12  	        1.10007E-16  	        1.98423E-09  	        5.55641E-14  	        3.62216E-11  	        1.15853E-09  	        5.58903E-10  	        1.71640E-09  	        9.47697E-12  	        3.19643E-13  	        8.32030E-21  	        1.20869E-07  	        4.79753E-12  	        6.68695E-18  	        1.43838E-10  	        1.16423E-07  	        1.29557E-11  	        9.73413E-12  	        2.54665E-13  	        6.39177E-10  	        5.83107E-19  	        5.66424E-12  	        9.91111E-08  	        0.00000E+00  	        3.72948E-07  	        1.48544E-10  	        1.81868E-13  	        5.44865E-09  	        5.66673E-08  	        7.36540E-08  	        1.91423E-11  	        4.03393E-08  	        2.00373E-13  	        8.99483E-11  	        2.99660E-08  	        2.63570E-07  	        5.38264E-11  	        1.53760E-08  	        1.83389E-18  	        3.40970E-11  	        2.35414E-10  	        7.26161E-08  	        7.73361E-08  	        1.53227E-09  	        5.12932E-13  	        4.05774E-07  	        1.21362E-12  	        1.17853E-06  	        3.43006E-10  	        2.10035E-01  	        8.21997E-04  	        4.68312E-10  	        0.00000E+00  	        4.76768E-07  	        9.84653E-07  	        7.41236E-07  	        0.00000E+00  	        2.57551E-10  	        7.89965E-01  	        1.28756E-07  	        2.88604E-07  	        8.61703E-07  	        3.76586E-10  	        2.30651E-08  	        2.27902E-07  	        3.72157E-10  	        4.06165E-13  	        2.80598E-19  	        2.41488E-15  	        8.28877E-11  	        2.60216E-14  	        4.47589E-13  	        7.46870E-16  	        9.91766E-16  	        9.38822E-12  	        1.35398E-10  	        6.10358E-09  	        1.26476E-09  	        3.59001E-12  	        1.57445E-09  	        1.82759E-11  	        1.39617E-15  	        9.82390E-13  	        2.99540E-12  	        1.09192E-16  	        6.51189E-14  	        2.23664E-19  	        7.97718E-10  	        3.98274E-13  	        0.00000E+00  	        1.24764E-17  	        5.28460E-19  	        4.78738E-15  	        1.53502E-18  	        3.82350E-16  	        9.48563E-22  	        1.96921E-16  	        0.00000E+00  	        0.00000E+00  	        1.35960E-18  	        2.91371E-13  	        1.31168E-14  	        1.69650E-16
        3.10000E-03  	        1.50000E+03  	        2.74127E-01  	        1.01325E+05  	        1.35323E-15  	        4.32774E-15  	        4.01798E-09  	        2.80813E-13  	        1.29846E-10  	        3.61732E-15  	        6.41051E-08  	        3.75374E-12  	        3.56249E-09  	        2.52948E-08  	        4.53587E-08  	        1.25228E-08  	        6.11377E-10  	        4.00116E-11  	        7.18758E-16  	        1.95559E-06  	        6.19410E-11  	        3.93981E-14  	        2.58518E-09  	        7.57034E-07  	        9.34258E-10  	        4.04579E-10  	        1.07177E-11  	        1.38315E-08  	        7.36919E-17  	        5.23492E-10  	        1.10996E-06  	        0.00000E+00  	        3.34925E-06  	        3.12444E-09  	        1.17420E-11  	        1.16341E-07  	        5.22700E-07  	        6.69207E-07  	        9.79604E-10  	        8.95087E-07  	        3.76476E-11  	        1.77325E-09  	        2.75569E-07  	        2.64022E-06  	        1.40276E-09  	        4.15563E-08  	        3.66567E-15  	        1.39601E-09  	        3.33468E-09  	        5.96940E-07  	        1.67357E-06  	        3.83993E-08  	        2.26031E-11  	        2.94062E-06  	        2.51278E-10  	        1.96200E-05  	        8.27986E-09  	        2.10035E-01  	        2.26944E-03  	        1.24657E-08  	        0.00000E+00  	        9.79010E-06  	        1.37772E-05  	        5.67050E-06  	        1.04475E-16  	        7.00273E-09  	        7.89964E-01  	        1.79281E-06  	        4.67683E-06  	        8.64910E-06  	        6.76399E-09  	        2.20691E-07  	        1.54947E-06  	        6.69826E-09  	        3.21390E-11  	        6.04101E-16  	        3.98768E-14  	        1.01732E-09  	        2.48808E-12  	        2.28706E-11  	        3.30258E-14  	        1.28513E-14  	        2.46527E-10  	        8.24792E-10  	        1.89660E-08  	        4.80502E-09  	        1.14752E-10  	        5.50460E-09  	        6.04353E-11  	        3.63697E-14  	        4.02345E-11  	        5.39040E-11  	        1.72268E-14  	        4.63331E-12  	        4.52531E-17  	        2.32574E-09  	        1.06625E-11  	        0.00000E+00  	        9.23112E-16  	        4.20421E-17  	        1.56646E-13  	        1.98402E-16  	        1.09755E-14  	        3.96705E-18  	        1.30885E-13  	        1.28213E-18  	        3.82667E-21  	        5.12244E-15  	        6.87715E-12  	        2.55931E-13  	        2.49531E-14
        3.60000E-03  	        1.50000E+03  	        2.71937E-01  	        1.01325E+05  	        4.57517E-14  	        7.57002E-13  	        9.87064E-08  	        3.87960E-12  	        4.66482E-09  	        1.11807E-12  	        6.97706E-07  	        1.40482E-10  	        1.43607E-07  	        4.22003E-07  	        1.49130E-06  	        9.63254E-08  	        1.29087E-08  	        2.55404E-09  	        3.55110E-13  	        2.18559E-05  	        8.24360E-10  	        1.00613E-11  	        4.66556E-08  	        1.17448E-06  	        3.69983E-08  	        8.73582E-09  	        1.13208E-10  	        1.49041E-07  	        2.90515E-15  	        5.46978E-09  	        7.72257E-06  	        2.78300E-17  	        3.57171E-05  	        5.07190E-08  	        3.10023E-10  	        1.05407E-06  	        3.41560E-06  	        2.09931E-06  	        1.91800E-08  	        8.43954E-06  	        2.44314E-09  	        4.06983E-08  	        1.36842E-06  	        1.19849E-05  	        2.61343E-08  	        2.10394E-07  	        3.45535E-13  	        1.86005E-08  	        2.19222E-08  	        3.13488E-06  	        1.31245E-05  	        1.26331E-06  	        5.09712E-10  	        1.34890E-05  	        1.33085E-08  	        3.00440E-04  	        9.26504E-08  	        2.10035E-01  	        2.66136E-03  	        1.64369E-07  	        0.00000E+00  	        7.81884E-05  	        1.61800E-04  	        1.67917E-05  	        2.75434E-14  	        1.15098E-07  	        7.89963E-01  	        4.43241E-06  	        2.86269E-05  	        6.45425E-05  	        1.02770E-07  	        7.42761E-07  	        2.95153E-06  	        1.02131E-07  	        6.31765E-10  	        7.92607E-15  	        9.25736E-13  	        4.15724E-09  	        7.20903E-11  	        4.78662E-10  	        1.41684E-12  	        4.35130E-13  	        1.27031E-09  	        6.81458E-09  	        3.67759E-08  	        2.87013E-08  	        1.56442E-09  	        1.72808E-08  	        1.67258E-10  	        3.85708E-13  	        8.34086E-10  	        5.68728E-10  	        4.03579E-13  	        9.11104E-11  	        4.09353E-15  	        3.26873E-09  	        1.12761E-10  	        0.00000E+00  	        1.34131E-14  	        7.00809E-16  	        1.93254E-12  	        3.27534E-15  	        1.11456E-13  	        2.24712E-16  	        1.41461E-11  	        1.36023E-16  	        4.65649E-17  	        2.16035E-13  	        8.20675E-11  	        2.48288E-12  	        2.78472E-13
        4.10000E-03  	        1.50000E+03  	        2.64633E-01  	        1.01325E+05  	        1.87071E-13  	        1.28986E-11  	        5.80172E-07  	        9.32404E-12  	        1.92044E-08  	        6.71590E-12  	        2.44673E-06  	        6.48508E-10  	        6.32393E-07  	        5.09935E-06  	        1.19875E-05  	        3.66710E-07  	        8.45158E-08  	        1.32565E-08  	        1.11595E-11  	        3.86530E-05  	        2.96077E-09  	        1.60291E-10  	        1.49862E-07  	        4.46335E-06  	        2.33780E-07  	        8.74058E-08  	        9.41336E-11  	        4.89444E-07  	        5.30082E-14  	        1.06308E-08  	        8.25153E-06  	        2.21643E-15  	        2.56966E-04  	        1.01376E-07  	        1.08541E-09  	        1.66557E-06  	        1.70388E-05  	        3.05458E-06  	        5.13366E-08  	        3.16613E-05  	        3.06322E-08  	        1.75503E-07  	        5.27177E-06  	        1.40133E-05  	        1.23165E-07  	        1.56701E-06  	        9.98143E-12  	        1.35769E-07  	        2.40287E-08  	        3.99744E-06  	        4.03615E-05  	        1.33194E-05  	        4.97546E-09  	        2.27245E-05  	        1.32957E-07  	        2.05772E-03  	        4.81041E-07  	        2.10033E-01  	        3.82567E-03  	        2.28220E-06  	        0.00000E+00  	        2.49887E-04  	        1.21769E-03  	        1.88652E-05  	        4.46679E-13  	        1.77585E-06  	        7.89958E-01  	        1.76650E-05  	        6.85539E-05  	        2.62126E-04  	        1.22572E-06  	        2.29363E-06  	        4.17876E-06  	        1.22109E-06  	        1.58767E-09  	        3.86280E-15  	        9.57304E-12  	        3.29284E-09  	        2.53541E-10  	        1.09114E-09  	        2.02199E-11  	        5.36159E-12  	        4.79716E-10  	        4.38531E-08  	        4.00972E-08  	        1.52650E-07  	        3.48913E-09  	        4.10792E-08  	        3.25337E-10  	        1.41594E-12  	        5.56957E-09  	        3.16434E-09  	        1.56232E-12  	        3.69746E-10  	        4.42439E-14  	        3.03854E-09  	        2.02690E-10  	        0.00000E+00  	        3.34154E-14  	        1.24616E-15  	        4.46436E-12  	        7.64493E-15  	        2.12710E-13  	        1.34004E-12  	        1.64558E-10  	        3.21880E-13  	        9.30695E-16  	        1.04478E-12  	        2.90987E-10  	        5.46578E-12  	        4.25922E-13
        4.51475E-03  	        1.50000E+03  	        2.67629E-01  	        1.01325E+05  	        1.49426E-12  	        2.81261E-10  	        2.47987E-06  	        1.06727E-10  	        1.35634E-07  	        1.32320E-10  	        1.52500E-05  	        6.53321E-09  	        3.82453E-06  	        2.37787E-05  	        5.70702E-05  	        2.37999E-06  	        3.67337E-07  	        6.82586E-08  	        7.33761E-11  	        7.47539E-05  	        1.83699E-08  	        1.67209E-09  	        8.56771E-07  	        2.17544E-05  	        9.98865E-07  	        6.96164E-07  	        6.37573E-10  	        2.90265E-06  	        4.63977E-13  	        6.30918E-08  	        3.99112E-05  	        1.77778E-14  	        6.50314E-04  	        9.28423E-07  	        9.71456E-09  	        1.00492E-05  	        5.20910E-05  	        1.53769E-05  	        2.86881E-07  	        7.84152E-05  	        1.69754E-07  	        1.12462E-06  	        2.53606E-05  	        4.23303E-05  	        7.71782E-07  	        9.65414E-06  	        9.21022E-11  	        1.04306E-06  	        1.43131E-07  	        1.56936E-05  	        1.27881E-04  	        6.56544E-05  	        2.73216E-08  	        8.19560E-05  	        1.06651E-06  	        6.95307E-03  	        3.19180E-06  	        2.10031E-01  	        9.80235E-03  	        1.64208E-05  	        0.00000E+00  	        8.96263E-04  	        4.42257E-03  	        8.34415E-05  	        3.60775E-12  	        1.10080E-05  	        7.89950E-01  	        6.36721E-05  	        2.42903E-04  	        6.15626E-04  	        5.00047E-06  	        1.19775E-05  	        2.10595E-05  	        4.98967E-06  	        1.69336E-08  	        1.29351E-14  	        4.92765E-11  	        6.79549E-09  	        9.04842E-10  	        2.82959E-09  	        6.61777E-11  	        3.55385E-11  	        1.55655E-09  	        1.30134E-07  	        9.82470E-08  	        3.78650E-07  	        6.95942E-09  	        8.43709E-08  	        6.35387E-10  	        8.98169E-12  	        1.40657E-08  	        5.89056E-09  	        2.39439E-11  	        9.03463E-10  	        3.90242E-13  	        8.72920E-09  	        8.37420E-10  	        0.00000E+00  	        1.40164E-13  	        4.28491E-15  	        1.78570E-11  	        4.15425E-14  	        1.17199E-12  	        1.64780E-12  	        6.28902E-10  	        4.28295E-13  	        4.87930E-15  	        1.48672E-11  	        4.61981E-10  	        1.75229E-11  	        2.02820E-12
        5.00517E-03  	        1.57001E+03  	        2.48824E-01  	        1.01325E+05  	        1.49111E-11  	        1.12238E-08  	        8.79522E-06  	        2.33902E-09  	        1.63018E-06  	        5.08188E-11  	        1.16026E-04  	        1.08713E-07  	        2.75198E-05  	        1.56837E-04  	        2.36798E-04  	        1.56451E-05  	        1.36539E-06  	        5.80376E-07  	        3.57406E-10  	        1.88490E-04  	        1.45966E-07  	        1.39226E-08  	        5.50752E-06  	        1.56329E-04  	        5.36364E-06  	        5.67086E-06  	        8.90157E-09  	        2.02043E-05  	        3.70731E-12  	        4.63810E-07  	        2.92779E-04  	        1.69124E-13  	        1.58379E-03  	        1.15232E-05  	        1.38216E-07  	        9.20615E-05  	        1.46505E-04  	        9.96130E-05  	        1.70383E-06  	        2.16227E-04  	        1.19872E-06  	        1.00036E-05  	        1.59808E-04  	        1.70790E-04  	        4.31306E-06  	        4.44065E-05  	        7.45708E-10  	        6.17327E-06  	        1.43962E-06  	        1.00056E-04  	        4.87534E-04  	        3.48504E-04  	        1.31780E-07  	        4.25671E-04  	        5.93848E-06  	        2.41251E-02  	        1.59160E-05  	        2.10027E-01  	        3.25831E-02  	        1.25421E-04  	        0.00000E+00  	        4.13645E-03  	        1.59542E-02  	        5.56379E-04  	        3.72777E-11  	        7.48334E-05  	        7.89938E-01  	        3.00571E-04  	        1.16509E-03  	        1.58510E-03  	        2.96591E-05  	        8.24821E-05  	        1.64432E-04  	        2.95728E-05  	        2.58570E-07  	        6.47056E-14  	        2.87909E-10  	        2.35417E-08  	        4.64270E-09  	        9.64205E-09  	        1.66324E-10  	        4.19479E-10  	        6.76450E-09  	        3.16001E-07  	        3.68186E-07  	        1.05732E-06  	        1.78581E-08  	        2.30025E-07  	        2.04486E-09  	        1.41441E-10  	        3.40622E-08  	        1.00950E-08  	        7.16457E-10  	        2.29178E-09  	        6.58735E-12  	        3.75909E-08  	        3.40075E-09  	        0.00000E+00  	        6.19543E-13  	        1.17425E-14  	        6.30480E-11  	        2.43431E-13  	        8.13128E-12  	        5.15744E-11  	        1.45241E-09  	        1.49394E-12  	        2.24447E-14  	        3.72280E-10  	        8.49503E-10  	        8.02159E-11  	        2.69098E-11
