time	Min
5.207561E-04	0.000000E+00
7.593509E-04	0.000000E+00
9.979458E-04	0.000000E+00
1.236541E-03	0.000000E+00
1.475135E-03	0.000000E+00
1.713730E-03	0.000000E+00
1.952325E-03	0.000000E+00
2.190920E-03	0.000000E+00
2.429515E-03	0.000000E+00
2.668110E-03	0.000000E+00
2.906705E-03	0.000000E+00
3.145299E-03	0.000000E+00
3.383894E-03	0.000000E+00
3.622489E-03	0.000000E+00
3.861084E-03	0.000000E+00
4.099679E-03	0.000000E+00
4.338274E-03	0.000000E+00
4.576868E-03	0.000000E+00
4.815463E-03	0.000000E+00
5.054058E-03	0.000000E+00
5.292653E-03	0.000000E+00
5.531248E-03	0.000000E+00
5.769843E-03	0.000000E+00
6.008438E-03	0.000000E+00
6.247032E-03	0.000000E+00
6.485627E-03	0.000000E+00
6.724222E-03	0.000000E+00
6.962817E-03	0.000000E+00
7.201412E-03	0.000000E+00
7.440007E-03	0.000000E+00
7.678601E-03	0.000000E+00
7.917196E-03	0.000000E+00
8.155791E-03	0.000000E+00
8.394386E-03	1.251841E-01
8.632981E-03	4.235538E-01
8.871576E-03	7.534085E-01
9.110170E-03	1.108876E+00
9.348765E-03	1.483605E+00
9.587360E-03	1.870947E+00
9.825955E-03	2.264143E+00
1.006455E-02	2.656492E+00
1.030314E-02	3.041506E+00
1.054174E-02	3.413054E+00
1.078033E-02	3.765477E+00
1.101893E-02	4.093697E+00
1.125752E-02	4.393292E+00
1.149612E-02	4.660561E+00
1.173471E-02	4.892560E+00
1.197331E-02	5.087126E+00
1.221190E-02	5.242877E+00
1.245050E-02	5.359199E+00
1.268909E-02	5.436212E+00
1.292769E-02	5.474730E+00
1.316628E-02	5.476206E+00
1.340488E-02	5.442664E+00
1.364347E-02	5.376629E+00
1.388207E-02	5.281050E+00
1.412066E-02	5.159219E+00
1.435926E-02	5.014689E+00
1.459785E-02	4.851191E+00
1.483645E-02	4.672556E+00
1.507504E-02	4.482640E+00
1.531364E-02	4.285248E+00
1.555223E-02	4.084074E+00
1.579083E-02	3.882638E+00
1.602942E-02	3.684238E+00
1.626802E-02	3.491904E+00
1.650661E-02	3.308366E+00
1.674521E-02	3.136023E+00
1.698380E-02	2.976932E+00
1.722240E-02	2.832789E+00
1.746099E-02	2.704935E+00
1.769958E-02	2.594355E+00
1.793818E-02	2.501694E+00
1.817677E-02	2.427271E+00
1.841537E-02	2.371106E+00
1.865396E-02	2.332943E+00
1.889256E-02	2.312284E+00
1.913115E-02	2.308420E+00
1.936975E-02	2.320469E+00
1.960834E-02	2.347407E+00
1.984694E-02	2.388109E+00
2.008553E-02	2.441380E+00
2.032413E-02	2.505990E+00
2.056272E-02	2.580704E+00
2.080132E-02	2.664312E+00
2.103991E-02	2.755651E+00
2.127851E-02	2.853629E+00
2.151710E-02	2.957238E+00
2.175570E-02	3.065570E+00
2.199429E-02	3.177823E+00
2.223289E-02	3.293305E+00
2.247148E-02	3.411436E+00
2.271008E-02	3.531738E+00
2.294867E-02	3.653832E+00
2.318727E-02	3.777420E+00
2.342586E-02	3.902277E+00
2.366446E-02	4.028227E+00
2.390305E-02	4.155128E+00
2.414165E-02	4.282848E+00
2.438024E-02	4.411245E+00
2.461884E-02	4.540145E+00
2.485743E-02	4.669320E+00
2.509603E-02	4.798471E+00
2.533462E-02	4.927205E+00
2.557321E-02	5.055023E+00
2.581181E-02	5.181305E+00
2.605040E-02	5.305302E+00
2.628900E-02	5.426130E+00
2.652759E-02	5.542767E+00
2.676619E-02	5.654057E+00
2.700478E-02	5.758716E+00
2.724338E-02	5.855346E+00
2.748197E-02	5.942448E+00
2.772057E-02	6.018445E+00
2.795916E-02	6.081706E+00
2.819776E-02	6.130572E+00
2.843635E-02	6.163393E+00
