time	Min
5.165953E-04	0.000000E+00
8.507149E-04	0.000000E+00
1.184834E-03	0.000000E+00
1.518954E-03	0.000000E+00
1.853074E-03	0.000000E+00
2.187193E-03	0.000000E+00
2.521313E-03	0.000000E+00
2.855432E-03	0.000000E+00
3.189552E-03	0.000000E+00
3.523671E-03	0.000000E+00
3.857791E-03	0.000000E+00
4.191911E-03	0.000000E+00
4.526030E-03	0.000000E+00
4.860150E-03	0.000000E+00
5.194269E-03	0.000000E+00
5.528389E-03	0.000000E+00
5.862508E-03	0.000000E+00
6.196628E-03	0.000000E+00
6.530748E-03	0.000000E+00
6.864867E-03	0.000000E+00
7.198987E-03	0.000000E+00
7.533106E-03	0.000000E+00
7.867226E-03	0.000000E+00
8.201345E-03	0.000000E+00
8.535465E-03	0.000000E+00
8.869585E-03	0.000000E+00
9.203704E-03	0.000000E+00
9.537824E-03	0.000000E+00
9.871943E-03	0.000000E+00
1.020606E-02	0.000000E+00
1.054018E-02	0.000000E+00
1.087430E-02	0.000000E+00
1.120842E-02	0.000000E+00
1.154254E-02	0.000000E+00
1.187666E-02	0.000000E+00
1.221078E-02	-7.559995E-01
1.254490E-02	-5.547863E-01
1.287902E-02	-3.043522E-01
1.321314E-02	-9.453887E-03
1.354726E-02	3.241377E-01
1.388138E-02	6.898552E-01
1.421550E-02	1.080556E+00
1.454962E-02	1.488738E+00
1.488374E-02	1.906753E+00
1.521786E-02	2.326994E+00
1.555198E-02	2.742082E+00
1.588610E-02	3.145017E+00
1.622022E-02	3.529321E+00
1.655433E-02	3.889146E+00
1.688845E-02	4.219370E+00
1.722257E-02	4.515657E+00
1.755669E-02	4.774507E+00
1.789081E-02	4.993274E+00
1.822493E-02	5.170167E+00
1.855905E-02	5.304233E+00
1.889317E-02	5.395323E+00
1.922729E-02	5.444042E+00
1.956141E-02	5.451688E+00
1.989553E-02	5.420179E+00
2.022965E-02	5.351975E+00
2.056377E-02	5.249994E+00
2.089789E-02	5.117523E+00
2.123201E-02	4.958129E+00
2.156613E-02	4.775573E+00
2.190025E-02	4.573723E+00
2.223437E-02	4.356475E+00
2.256849E-02	4.127677E+00
2.290261E-02	3.891060E+00
2.323673E-02	3.650179E+00
2.357085E-02	3.408362E+00
2.390497E-02	3.168661E+00
2.423908E-02	2.933826E+00
2.457320E-02	2.706274E+00
2.490732E-02	2.488077E+00
2.524144E-02	2.280953E+00
2.557556E-02	2.086266E+00
2.590968E-02	1.905039E+00
2.624380E-02	1.737967E+00
2.657792E-02	1.585435E+00
2.691204E-02	1.447554E+00
2.724616E-02	1.324184E+00
2.758028E-02	1.214971E+00
2.791440E-02	1.119384E+00
2.824852E-02	1.036754E+00
2.858264E-02	9.663056E-01
2.891676E-02	9.072027E-01
2.925088E-02	8.585777E-01
2.958500E-02	8.195673E-01
2.991912E-02	7.893419E-01
3.025324E-02	7.671323E-01
3.058736E-02	7.522518E-01
3.092148E-02	7.441144E-01
3.125560E-02	7.422471E-01
3.158972E-02	7.462981E-01
3.192384E-02	7.560403E-01
3.225795E-02	7.713686E-01
3.259207E-02	7.922938E-01
3.292619E-02	8.189313E-01
3.326031E-02	8.514859E-01
3.359443E-02	8.902337E-01
3.392855E-02	9.354997E-01
3.426267E-02	9.876342E-01
3.459679E-02	1.046987E+00
3.493091E-02	1.113880E+00
3.526503E-02	1.188583E+00
3.559915E-02	1.271281E+00
3.593327E-02	1.362056E+00
3.626739E-02	1.460859E+00
3.660151E-02	1.567489E+00
3.693563E-02	1.681579E+00
3.726975E-02	1.802577E+00
3.760387E-02	1.929740E+00
3.793799E-02	2.062127E+00
3.827211E-02	2.198601E+00
3.860623E-02	2.337830E+00
3.894035E-02	2.478302E+00
3.927447E-02	2.618336E+00
3.960859E-02	2.756109E+00
3.994270E-02	2.889672E+00
4.027682E-02	3.016989E+00
4.061094E-02	3.135968E+00
4.094506E-02	3.244494E+00
4.127918E-02	3.340478E+00
4.161330E-02	3.421891E+00
4.194742E-02	3.486813E+00
4.228154E-02	3.533474E+00
4.261566E-02	3.560298E+00
4.294978E-02	3.565944E+00
4.328390E-02	3.549345E+00
4.361802E-02	3.509745E+00
4.395214E-02	3.446725E+00
4.428626E-02	3.360235E+00
4.462038E-02	3.250606E+00
4.495450E-02	3.118567E+00
4.528862E-02	2.965245E+00
4.562274E-02	2.792166E+00
4.595686E-02	2.601236E+00
4.629098E-02	2.394725E+00
4.662510E-02	2.175236E+00
4.695922E-02	1.945664E+00
4.729334E-02	1.709150E+00
4.762745E-02	1.469026E+00
4.796157E-02	1.228756E+00
4.829569E-02	9.918653E-01
4.862981E-02	7.618698E-01
4.896393E-02	5.422011E-01
4.929805E-02	3.361280E-01
4.963217E-02	1.466803E-01
