         time	         Dpar	   rf_plus_rp	         rfrp	  rf_minus_rp
 5.165088E-04	 9.000000E-05	 6.630191E+02	 6.620191E+02	 6.610191E+02
 1.023273E-03	 9.000000E-05	 6.751285E+02	 6.741285E+02	 6.731285E+02
 1.501877E-03	 9.000000E-05	 6.770714E+02	 6.760714E+02	 6.750714E+02
 2.008634E-03	 9.000000E-05	 7.189233E+02	 7.179233E+02	 7.169233E+02
 2.515390E-03	 9.000000E-05	 7.211146E+02	 7.201146E+02	 7.191146E+02
 3.022147E-03	 9.000000E-05	 7.051412E+02	 7.041412E+02	 7.031412E+02
 3.500751E-03	 9.000000E-05	 7.049594E+02	 7.039594E+02	 7.029594E+02
 4.007507E-03	 9.000000E-05	 7.169375E+02	 7.159375E+02	 7.149375E+02
 4.514264E-03	 9.000000E-05	 6.999242E+00	 5.999242E+00	 4.999242E+00
 5.021016E-03	 9.000000E-05	 6.999242E+00	 5.999242E+00	 4.999242E+00
 5.500524E-03	 9.000000E-05	 6.999242E+00	 5.999242E+00	 4.999242E+00
 6.003037E-03	 9.000000E-05	 5.898361E+00	 4.898361E+00	 3.898361E+00
 6.501731E-03	 9.000000E-05	 8.482370E+00	 7.482370E+00	 6.482370E+00
 7.000664E-03	 9.000000E-05	 9.484210E+00	 8.484210E+00	 7.484210E+00
 7.502159E-03	 9.000000E-05	 9.716697E+00	 8.716697E+00	 7.716697E+00
 8.001983E-03	 9.000000E-05	 9.245170E+00	 8.245170E+00	 7.245170E+00
 8.508147E-03	 9.000000E-05	 6.999242E+00	 5.999242E+00	 4.999242E+00
 9.005736E-03	 9.000000E-05	 2.999747E+00	 1.999747E+00	 9.997475E-01
 9.502192E-03	 9.000000E-05	 3.828070E+00	 2.828070E+00	 1.828070E+00
 1.000078E-02	 9.000000E-05	 5.471571E+00	 4.471571E+00	 3.471571E+00
 1.050391E-02	 9.000000E-05	 5.898361E+00	 4.898361E+00	 3.898361E+00
 1.100346E-02	 9.000000E-05	 4.463664E+00	 3.463664E+00	 2.463664E+00
 1.150119E-02	 9.000000E-05	 3.828070E+00	 2.828070E+00	 1.828070E+00
 1.200031E-02	 9.000000E-05	 3.828070E+00	 2.828070E+00	 1.828070E+00
 1.250349E-02	 9.000000E-05	 4.463664E+00	 3.463664E+00	 2.463664E+00
 1.300092E-02	 9.000000E-05	 4.463664E+00	 3.463664E+00	 2.463664E+00
 1.350466E-02	 9.000000E-05	 5.898361E+00	 4.898361E+00	 3.898361E+00
 1.400299E-02	 9.000000E-05	 6.656140E+00	 5.656140E+00	 4.656140E+00
 1.450235E-02	 9.000000E-05	 7.927329E+00	 6.927329E+00	 5.927329E+00
 1.500171E-02	 9.000000E-05	 7.927329E+00	 6.927329E+00	 5.927329E+00
 1.550627E-02	 9.000000E-05	 7.927329E+00	 6.927329E+00	 5.927329E+00
 1.600347E-02	 9.000000E-05	 8.482370E+00	 7.482370E+00	 6.482370E+00
 1.650469E-02	 9.000000E-05	 4.463664E+00	 3.463664E+00	 2.463664E+00
 1.700871E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.750473E-02	 9.000000E-05	 2.999747E+00	 1.999747E+00	 9.997475E-01
 1.800307E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.850272E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.900334E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.950465E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.000654E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.050890E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.101154E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.151423E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.201667E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.251848E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.301844E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.351543E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.400695E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.451998E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.501034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.550034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.600034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.650034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.700034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.750034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.800034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.850034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.900034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.950034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.000034E-02	 9.000000E-05	 1.000000E+00	 0.000000E+00	 -1.000000E+00
