time	rfrp
5.000686E-04	0.000000E+00
7.035862E-04	0.000000E+00
9.071038E-04	0.000000E+00
1.110621E-03	0.000000E+00
1.314139E-03	0.000000E+00
1.517657E-03	0.000000E+00
1.721174E-03	0.000000E+00
1.924692E-03	0.000000E+00
2.128209E-03	0.000000E+00
2.331727E-03	0.000000E+00
2.535245E-03	0.000000E+00
2.738762E-03	0.000000E+00
2.942280E-03	0.000000E+00
3.145797E-03	0.000000E+00
3.349315E-03	0.000000E+00
3.552833E-03	0.000000E+00
3.756350E-03	0.000000E+00
3.959868E-03	0.000000E+00
4.163385E-03	0.000000E+00
4.366903E-03	0.000000E+00
4.570420E-03	0.000000E+00
4.773938E-03	0.000000E+00
4.977456E-03	0.000000E+00
5.180973E-03	0.000000E+00
5.384491E-03	0.000000E+00
5.588008E-03	0.000000E+00
5.791526E-03	0.000000E+00
5.995044E-03	0.000000E+00
6.198561E-03	0.000000E+00
6.402079E-03	0.000000E+00
6.605596E-03	0.000000E+00
6.809114E-03	0.000000E+00
7.012632E-03	0.000000E+00
7.216149E-03	0.000000E+00
7.419667E-03	-2.062263E-01
7.623184E-03	-2.143985E-01
7.826702E-03	-2.129893E-01
8.030220E-03	-2.012579E-01
8.233737E-03	-1.787028E-01
8.437255E-03	-1.450650E-01
8.640772E-03	-1.003251E-01
8.844290E-03	-4.469570E-02
9.047808E-03	2.139152E-02
9.251325E-03	9.730179E-02
9.454843E-03	1.822172E-01
9.658360E-03	2.751589E-01
9.861878E-03	3.750115E-01
1.006540E-02	4.805489E-01
1.026891E-02	5.904604E-01
1.047243E-02	7.033778E-01
1.067595E-02	8.179015E-01
1.087947E-02	9.326265E-01
1.108298E-02	1.046167E+00
1.128650E-02	1.157177E+00
1.149002E-02	1.264377E+00
1.169354E-02	1.366566E+00
1.189705E-02	1.462643E+00
1.210057E-02	1.551619E+00
1.230409E-02	1.632630E+00
1.250761E-02	1.704944E+00
1.271112E-02	1.767969E+00
1.291464E-02	1.821257E+00
1.311816E-02	1.864501E+00
1.332168E-02	1.897542E+00
1.352519E-02	1.920356E+00
1.372871E-02	1.933057E+00
1.393223E-02	1.935882E+00
1.413575E-02	1.929188E+00
1.433927E-02	1.913438E+00
1.454278E-02	1.889191E+00
1.474630E-02	1.857086E+00
1.494982E-02	1.817833E+00
1.515334E-02	1.772196E+00
1.535685E-02	1.720980E+00
1.556037E-02	1.665017E+00
1.576389E-02	1.605151E+00
1.596741E-02	1.542226E+00
1.617092E-02	1.477071E+00
1.637444E-02	1.410490E+00
1.657796E-02	1.343250E+00
1.678148E-02	1.276073E+00
1.698499E-02	1.209623E+00
1.718851E-02	1.144503E+00
1.739203E-02	1.081247E+00
1.759555E-02	1.020314E+00
1.779906E-02	9.620879E-01
1.800258E-02	9.068738E-01
1.820610E-02	8.548977E-01
1.840962E-02	8.063078E-01
1.861313E-02	7.611772E-01
1.881665E-02	7.195066E-01
1.902017E-02	6.812295E-01
1.922369E-02	6.462178E-01
1.942720E-02	6.142880E-01
1.963072E-02	5.852085E-01
1.983424E-02	5.587077E-01
2.003776E-02	5.344815E-01
2.024128E-02	5.122028E-01
2.044479E-02	4.915293E-01
2.064831E-02	4.721122E-01
2.085183E-02	4.536050E-01
2.105535E-02	4.356714E-01
2.125886E-02	4.179924E-01
2.146238E-02	4.002742E-01
2.166590E-02	3.822536E-01
2.186942E-02	3.637041E-01
2.207293E-02	3.444401E-01
2.227645E-02	3.243207E-01
2.247997E-02	3.032523E-01
2.268349E-02	2.811898E-01
2.288700E-02	2.581376E-01
2.309052E-02	2.341483E-01
2.329404E-02	2.093213E-01
2.349756E-02	1.838005E-01
2.370107E-02	1.577697E-01
2.390459E-02	1.314488E-01
2.410811E-02	1.050883E-01
2.431163E-02	7.896273E-02
2.451514E-02	5.336481E-02
2.471866E-02	2.859775E-02
2.492218E-02	4.968165E-03
2.512570E-02	-1.722154E-02
2.532922E-02	-3.768066E-02
2.553273E-02	-5.613761E-02
2.573625E-02	-7.234696E-02
2.593977E-02	-8.609607E-02
2.614329E-02	-9.721107E-02
2.634680E-02	-1.055621E-01
2.655032E-02	-1.110679E-01
2.675384E-02	-1.136987E-01
2.695736E-02	-1.134791E-01
2.716087E-02	-1.104888E-01
2.736439E-02	-1.048628E-01
2.756791E-02	-9.678968E-02
2.777143E-02	-8.650937E-02
2.797494E-02	-7.430892E-02
2.817846E-02	-6.051755E-02
2.838198E-02	-4.550025E-02
2.858550E-02	-2.965055E-02
2.878901E-02	-1.338212E-02
2.899253E-02	2.880284E-03
2.919605E-02	1.871050E-02
2.939957E-02	3.369114E-02
2.960308E-02	4.742387E-02
2.980660E-02	5.953980E-02
3.001012E-02	6.970943E-02
3.021364E-02	7.765220E-02
3.041716E-02	8.314514E-02
3.062067E-02	8.603053E-02
3.082419E-02	8.622214E-02
3.102771E-02	8.370998E-02
3.123123E-02	7.856320E-02
3.143474E-02	7.093103E-02
3.163826E-02	6.104145E-02
3.184178E-02	4.919767E-02
3.204530E-02	3.577218E-02
3.224881E-02	2.119835E-02
3.245233E-02	5.959725E-03
3.265585E-02	-9.422993E-03
3.285937E-02	-2.440703E-02
3.306288E-02	-3.844442E-02
3.326640E-02	-5.100044E-02
3.346992E-02	-6.157304E-02
3.367344E-02	-6.971281E-02
3.387695E-02	-7.504293E-02
3.408047E-02	-7.727828E-02
3.428399E-02	-7.624321E-02
3.448751E-02	-7.188678E-02
3.469102E-02	-6.429506E-02
3.489454E-02	-5.369915E-02
3.509806E-02	-4.047833E-02
3.530158E-02	-2.515742E-02
3.550509E-02	-8.397405E-03
3.570861E-02	9.021389E-03
3.591213E-02	2.622374E-02
3.611565E-02	4.227249E-02
3.631917E-02	5.620966E-02
3.652268E-02	6.710557E-02
3.672620E-02	7.411511E-02
3.692972E-02	7.653983E-02
3.713324E-02	7.389392E-02
3.733675E-02	6.597108E-02
3.754027E-02	5.290839E-02
3.774379E-02	3.524265E-02
3.794731E-02	1.395240E-02
3.815082E-02	-9.522159E-03
3.835434E-02	-3.329027E-02
3.855786E-02	-5.506568E-02
3.876138E-02	-7.227812E-02
3.896489E-02	-8.225871E-02
3.916841E-02	-8.251885E-02
3.937193E-02	-7.114477E-02
3.957545E-02	-4.733518E-02
3.977896E-02	-1.211219E-02
3.998248E-02	3.075819E-02
4.018600E-02	7.359684E-02
4.038952E-02	1.033441E-01
4.059303E-02	9.974512E-02
4.079655E-02	3.312469E-02
4.100007E-02	-1.383157E-01
