time	rfrp
5.204416E-04	0.000000E+00
6.635981E-04	0.000000E+00
8.067546E-04	0.000000E+00
9.499112E-04	0.000000E+00
1.093068E-03	0.000000E+00
1.236224E-03	0.000000E+00
1.379381E-03	0.000000E+00
1.522537E-03	0.000000E+00
1.665694E-03	0.000000E+00
1.808850E-03	0.000000E+00
1.952007E-03	0.000000E+00
2.095163E-03	0.000000E+00
2.238320E-03	0.000000E+00
2.381476E-03	0.000000E+00
2.524633E-03	0.000000E+00
2.667789E-03	0.000000E+00
2.810946E-03	0.000000E+00
2.954103E-03	0.000000E+00
3.097259E-03	0.000000E+00
3.240416E-03	0.000000E+00
3.383572E-03	0.000000E+00
3.526729E-03	0.000000E+00
3.669885E-03	0.000000E+00
3.813042E-03	0.000000E+00
3.956198E-03	0.000000E+00
4.099355E-03	0.000000E+00
4.242511E-03	-9.170772E-02
4.385668E-03	-6.698878E-02
4.528824E-03	-3.687638E-02
4.671981E-03	-2.008443E-03
4.815137E-03	3.691759E-02
4.958294E-03	7.917225E-02
5.101450E-03	1.240186E-01
5.244607E-03	1.707335E-01
5.387763E-03	2.186259E-01
5.530920E-03	2.670508E-01
5.674076E-03	3.154214E-01
5.817233E-03	3.632167E-01
5.960390E-03	4.099868E-01
6.103546E-03	4.553557E-01
6.246703E-03	4.990211E-01
6.389859E-03	5.407526E-01
6.533016E-03	5.803880E-01
6.676172E-03	6.178279E-01
6.819329E-03	6.530291E-01
6.962485E-03	6.859978E-01
7.105642E-03	7.167811E-01
7.248798E-03	7.454595E-01
7.391955E-03	7.721382E-01
7.535111E-03	7.969388E-01
7.678268E-03	8.199923E-01
7.821424E-03	8.414313E-01
7.964581E-03	8.613833E-01
8.107737E-03	8.799654E-01
8.250894E-03	8.972790E-01
8.394050E-03	9.134058E-01
8.537207E-03	9.284045E-01
8.680364E-03	9.423090E-01
8.823520E-03	9.551270E-01
8.966677E-03	9.668395E-01
9.109833E-03	9.774019E-01
9.252990E-03	9.867446E-01
9.396146E-03	9.947759E-01
9.539303E-03	1.001384E+00
9.682459E-03	1.006442E+00
9.825616E-03	1.009808E+00
9.968772E-03	1.011333E+00
1.011193E-02	1.010866E+00
1.025509E-02	1.008252E+00
1.039824E-02	1.003344E+00
1.054140E-02	9.960038E-01
1.068455E-02	9.861074E-01
